Geneid	0_R1	0_R2	0_R3	0_R4	2_R1	2_R2	2_R3	2_R4	5_R1	5_R2	5_R3	5_R4	10_R1	10_R2	10_R3	10_R4	20_R1	20_R2	20_R3	20_R4	30_R1	30_R2	30_R3	30_R4	40_R1	40_R2	40_R3	40_R4	Entity	Symbol
gene-NRS_2161	7210	7232	8576	7743	7687	7623	6055	5673	6889	4901	5679	6567	3786	4427	3484	3453	748	1662	877	1901	686	755	507	769	514	494	574	616	host	gene-NRS_2161
gene-NRS_2527	2	16	5	9	15	8	10	3	11	8	12	10	5	3	5	2	3	4	3	4	0	4	1	4	0	4	1	1	host	gene-NRS_2527
gene-NRS_1730	8492	8244	9957	9214	7900	9699	7942	6203	8910	6542	5773	7952	4816	5682	4524	3516	1540	2186	1731	2603	1141	1460	804	1477	1016	1089	1056	1412	host	gene-NRS_1730
gene-NRS_2603	1366	1216	1570	1285	1123	1385	1048	907	1216	894	699	1136	675	849	636	537	121	142	118	198	79	68	54	90	81	66	58	60	host	gene-NRS_2603
gene-NRS_216	230	188	267	325	347	299	325	242	352	219	275	252	238	260	216	188	100	199	128	195	84	98	93	103	96	83	95	120	host	gene-NRS_216
gene-NRS_369	215	211	255	210	173	189	141	179	254	198	126	261	147	228	169	202	52	88	51	101	42	40	31	47	33	36	39	44	host	gene-NRS_369
gene-NRS_1803	611	904	810	751	728	719	737	503	719	561	606	1019	447	504	385	368	119	170	109	164	57	89	63	97	51	71	70	102	host	gene-NRS_1803
gene-NRS_492	72586	58769	84616	78583	85322	80776	69921	61848	83599	54748	63040	56768	46601	43326	42677	24886	13025	17622	17531	15970	9188	9692	5737	10383	7737	9327	8065	14011	host	gene-NRS_492
gene-CPT_phageK_gp024	29	35	47	37	491	249	321	264	3896	2205	9222	3359	7746	6405	6167	4077	2154	7411	5044	6017	2125	2034	3117	1972	1232	1241	1259	1693	phage	gene-CPT_phageK_gp024
gene-NRS_310	517	557	592	660	738	535	608	363	561	364	678	404	334	330	296	232	108	254	145	200	88	116	79	122	78	98	109	123	host	gene-NRS_310
gene-NRS_1347	6563	6907	8397	7595	7385	8109	6506	6105	8722	5989	4170	7285	4297	5480	4341	3308	1501	1602	1431	1989	965	1023	705	1027	728	752	740	956	host	gene-NRS_1347
gene-NRS_1692	5091	5970	5974	4903	4761	5322	3978	3045	4987	3269	4084	3914	2077	2191	2260	990	535	537	609	628	392	379	370	347	274	324	275	448	host	gene-NRS_1692
gene-NRS_449	19797	19900	24058	21027	18201	21125	14830	13889	19768	14104	12458	20190	10119	12955	9708	7656	2981	4524	3880	6183	3397	3484	2463	4180	2738	3389	2877	3867	host	gene-NRS_449
gene-NRS_1152	4213	4436	4718	4483	4101	4370	3483	2702	4263	2946	2304	3132	1891	2321	1934	1358	312	604	350	569	195	271	112	282	221	241	211	389	host	gene-NRS_1152
gene-NRS_2195	1214	1464	1570	1362	1399	1413	1004	1063	1399	1099	1298	1522	854	1204	699	780	260	579	318	661	289	357	204	329	253	259	315	312	host	gene-NRS_2195
gene-NRS_1115	8607	9449	11338	7490	7246	8008	6422	4982	9230	4441	5632	2590	2450	1195	3071	355	265	214	345	202	232	144	173	109	118	106	100	97	host	gene-NRS_1115
gene-NRS_706	5923	4795	7020	7163	6144	7173	6631	5337	7124	4861	3372	5270	4026	4692	3657	3183	1383	2292	1503	2571	895	1512	622	1431	1222	1201	1284	1693	host	gene-NRS_706
gene-NRS_1293	22278	19233	25753	23407	20695	24013	20166	16159	22534	15505	11115	15893	11071	12684	11073	8278	3347	4696	3878	5818	2485	3081	1622	2901	2188	2241	2103	2341	host	gene-NRS_1293
gene-CPT_phageK_gp114	50	33	97	91	567	356	424	396	2076	1150	1206	1183	5112	3658	3691	2512	9436	15445	12064	14809	51962	56542	41680	59627	103293	87536	151053	170533	phage	gene-CPT_phageK_gp114
gene-CPT_phageK_gp131	2014	1803	2514	2444	23955	21217	23962	21897	285868	181436	161752	196742	537929	578372	520962	369731	262939	359365	264456	348272	127833	134399	107362	125369	128698	106036	139891	125489	phage	gene-CPT_phageK_gp131
gene-NRS_685	26162	30593	31697	25795	23503	28727	20976	17022	27306	19318	19493	29635	12788	17288	12635	8862	2495	2788	3028	3452	2048	1593	1782	1617	1240	1427	1226	1230	host	gene-NRS_685
gene-NRS_1386	5623	6846	7249	6340	6875	6673	5244	4731	6691	4295	6987	6249	3259	3991	3006	2192	1085	1474	1378	1810	1284	1235	1197	1041	970	922	1063	1003	host	gene-NRS_1386
gene-NRS_1341	8099	7144	9774	9411	8517	9334	7627	6685	9966	6715	4307	7802	4993	6239	5075	4350	1889	2531	1871	2949	1306	1649	881	1553	1125	1006	1162	1298	host	gene-NRS_1341
gene-NRS_2383	826	825	831	733	693	511	584	570	579	389	744	483	291	220	258	227	48	97	72	133	39	35	13	34	23	20	20	30	host	gene-NRS_2383
gene-NRS_2488	6330	6644	7544	6355	5771	6857	5503	5019	7712	5549	5351	7707	4068	5293	3851	3244	1315	1588	1534	1924	1027	942	838	921	681	698	823	751	host	gene-NRS_2488
gene-NRS_2581	7347	7985	8534	7424	6740	7884	5740	5704	7755	5571	6371	8554	4483	6148	4036	4246	1710	2792	1899	3768	1857	1726	1479	1572	1115	1058	1293	1098	host	gene-NRS_2581
gene-NRS_2651	89	91	121	120	85	70	96	63	189	89	115	119	98	136	88	82	29	39	23	50	21	13	15	15	17	14	16	9	host	gene-NRS_2651
gene-CPT_phageK_gp031	103	45	158	152	909	766	1228	713	4498	2586	3008	1963	10326	7516	9278	5704	17914	32274	21706	26148	14516	33432	8660	27533	30608	23777	38728	35211	phage	gene-CPT_phageK_gp031
gene-NRS_353	111	136	146	145	138	151	102	94	138	116	170	266	113	204	77	222	55	191	84	194	102	95	99	87	75	62	73	73	host	gene-NRS_353
gene-CPT_phageK_gp097	110	108	229	230	4096	1957	3351	1876	10728	5499	8394	4662	15291	8745	10445	5918	3375	8068	4512	5486	2070	3863	2301	3451	3219	2454	4563	5933	phage	gene-CPT_phageK_gp097
gene-NRS_14	63502	69959	72375	61166	52924	63656	46748	46121	63972	46336	41259	59134	31685	39990	31081	24266	10475	11837	11327	15655	8991	8023	7063	7922	6118	6224	6631	6517	host	gene-NRS_14
gene-CPT_phageK_gp196	237	289	405	459	6838	5150	8430	4331	36325	22090	31309	18523	60343	46127	53039	33171	20949	35626	28563	32817	7999	12515	6621	11203	6329	5293	5893	7069	phage	gene-CPT_phageK_gp196
gene-NRS_736	1825	1860	2103	1869	1825	2248	1872	1216	2046	1336	1552	1529	928	1014	948	512	265	309	330	365	175	210	173	235	144	154	169	215	host	gene-NRS_736
gene-NRS_708	1888	2063	2103	2038	1852	2080	1683	1451	2239	1673	1516	2398	1360	2057	1232	1307	630	753	548	1027	600	584	523	704	497	632	559	717	host	gene-NRS_708
gene-NRS_1811	368	941	451	549	258	342	221	278	319	175	171	267	119	144	126	72	25	27	27	45	10	7	10	15	10	11	5	4	host	gene-NRS_1811
gene-CPT_phageK_gp004	164	264	287	353	6681	5060	5826	4667	30995	18709	32670	23106	19832	20412	17896	11757	4374	5856	5204	6171	3342	2093	2122	1978	1442	1270	1498	1622	phage	gene-CPT_phageK_gp004
gene-NRS_214	933	1002	1032	885	768	937	675	690	889	650	563	798	559	639	512	405	184	205	202	308	208	198	187	160	163	156	166	145	host	gene-NRS_214
gene-NRS_1716	22824	17619	26234	23708	21281	24589	22156	17945	25424	17344	16734	18599	12903	15162	12266	10728	2812	4856	3151	5877	1941	2720	1037	2725	2064	2289	1855	2159	host	gene-NRS_1716
gene-NRS_62	1408	1023	1652	1389	1531	1565	1876	1085	1628	1153	1067	1179	834	1060	809	638	265	558	353	450	158	268	100	246	163	181	159	195	host	gene-NRS_62
gene-NRS_247	1096	1607	1421	1096	1055	1094	818	863	1272	834	1211	1663	602	849	563	565	170	239	247	382	280	219	258	184	139	154	136	119	host	gene-NRS_247
gene-NRS_1131	807	839	1253	1086	1229	1031	1002	825	1019	573	655	795	438	517	435	255	81	111	101	116	55	48	43	72	55	51	35	63	host	gene-NRS_1131
gene-NRS_1675	36042	46356	41172	35545	34478	34669	24000	22980	35573	26915	42066	47865	18169	26267	16606	16499	5160	7783	6252	10240	5682	4550	6407	4842	3408	3820	3859	4202	host	gene-NRS_1675
gene-NRS_919	26	20	23	35	26	23	34	25	35	19	15	12	20	17	19	13	8	7	10	14	2	8	1	8	2	1	2	4	host	gene-NRS_919
gene-NRS_173	366	378	407	429	401	403	369	289	415	271	162	306	213	216	198	155	61	80	66	110	29	50	24	69	42	55	38	43	host	gene-NRS_173
gene-NRS_178	270	250	365	331	367	303	299	209	346	217	214	293	173	198	156	133	57	122	73	114	28	55	25	65	41	51	43	73	host	gene-NRS_178
gene-NRS_2250	8593	9418	10867	9719	8554	9948	7715	6860	9293	6604	7474	8968	4851	6251	4634	3867	1210	2103	1524	2482	1063	1177	700	1202	904	909	861	1017	host	gene-NRS_2250
gene-NRS_1532	223	149	260	241	192	225	218	156	200	128	93	149	84	99	117	57	24	35	23	46	29	20	10	23	29	20	15	20	host	gene-NRS_1532
gene-NRS_1240	56	35	52	44	38	48	77	55	37	30	14	41	28	33	24	22	7	21	12	14	2	14	12	7	1	7	22	3	host	gene-NRS_1240
gene-NRS_2652	100	78	98	94	84	92	71	80	104	82	92	122	90	83	92	60	32	42	31	34	18	14	15	20	13	12	10	5	host	gene-NRS_2652
gene-NRS_525	4758	4843	5921	5204	4943	5906	5023	3830	5591	3567	3078	4395	2706	3189	2623	1717	810	939	794	1169	517	655	331	619	492	444	502	559	host	gene-NRS_525
gene-CPT_phageK_gp102	218	227	414	473	8053	4382	7640	4402	39944	21445	38921	17085	65120	42163	54197	31380	19911	45663	30226	38733	12165	20992	8940	19128	16113	12582	19550	23237	phage	gene-CPT_phageK_gp102
gene-NRS_1420	618	657	636	526	566	492	327	360	512	373	484	498	257	250	267	169	86	61	70	121	77	56	44	63	60	44	47	74	host	gene-NRS_1420
gene-NRS_506	2021	2393	2492	2314	2509	2260	1820	1509	2208	1447	2305	1992	1110	1124	933	772	381	550	447	699	371	386	375	355	277	252	294	332	host	gene-NRS_506
gene-NRS_634	25962	27739	31954	27989	23158	30019	22645	21622	27787	19647	15798	30861	13365	20635	12742	11572	4152	5158	3942	5661	2354	2540	1947	2354	1697	1693	1802	1962	host	gene-NRS_634
gene-NRS_2228	243221	231043	284153	274407	271666	261011	231796	202388	273109	172444	139557	170474	126651	115018	124305	54394	33379	32326	44071	36777	22153	27134	17258	29539	21060	25836	20347	34206	host	gene-NRS_2228
gene-NRS_534	19120	18965	23377	20655	19744	20016	16447	13454	20166	13308	14931	15734	10034	10592	9311	5961	2381	3313	3192	4110	1986	2038	1662	2197	1601	1713	1577	1947	host	gene-NRS_534
gene-NRS_1016	182718	177347	210089	183278	164569	187586	134719	140383	200752	142859	129688	185114	97701	124196	97018	69206	31538	31979	34972	43375	29631	24603	22786	25106	17974	21316	18888	22192	host	gene-NRS_1016
gene-NRS_2223	336849	332805	388912	328094	291296	324855	226709	251008	340062	233881	203673	296367	159018	175421	150050	79293	33150	33582	46751	40422	27848	24425	21278	29070	20178	25311	17544	29556	host	gene-NRS_2223
gene-NRS_588	9859	9874	12203	9870	8869	10767	7864	6355	10053	6860	5216	7578	4621	5101	4853	2377	982	1042	1110	1357	622	721	354	719	506	598	493	687	host	gene-NRS_588
gene-NRS_1262	51347	55684	58477	52148	46579	53505	39596	38910	54304	40103	35423	52481	28265	37941	26529	26588	10287	14047	10346	19230	10588	10116	8423	10203	7205	7628	7584	7727	host	gene-NRS_1262
gene-NRS_1966	562	336	758	575	519	409	448	392	523	277	563	407	333	211	354	242	68	82	115	149	75	40	52	65	47	25	50	67	host	gene-NRS_1966
gene-NRS_113	533	539	561	573	634	530	520	358	611	383	422	441	327	314	274	217	86	133	77	131	67	81	47	85	64	65	62	95	host	gene-NRS_113
gene-NRS_1687	23155	21230	29554	25922	22890	27199	21726	19236	26309	18745	13292	22390	13054	16657	13102	10279	3866	4803	4330	6116	2779	3128	2154	3068	2037	2330	2318	2739	host	gene-NRS_1687
gene-NRS_509	31297	30138	37400	33992	30018	34921	27595	23624	33172	23548	19464	26936	16830	19497	16442	11212	4831	6305	5907	8211	4142	4958	2836	4905	3688	4182	3692	4835	host	gene-NRS_509
gene-NRS_2643	105	111	167	138	117	106	142	108	144	117	124	87	101	96	92	52	35	55	33	58	12	33	25	29	23	21	31	20	host	gene-NRS_2643
gene-NRS_281	2973	2877	3478	3128	2810	3565	2776	2415	3445	2562	1749	2947	1704	2215	1726	1393	700	790	651	916	507	589	359	492	441	443	424	493	host	gene-NRS_281
gene-NRS_2272	390	482	508	497	681	520	549	377	500	327	655	427	306	302	294	240	132	314	242	376	153	149	135	161	113	102	142	154	host	gene-NRS_2272
gene-NRS_761	5137	5122	5812	5138	4788	5234	4091	3113	5583	3851	4341	4958	2593	3707	2594	2526	1066	1276	839	1720	746	846	613	798	726	647	728	677	host	gene-NRS_761
gene-NRS_28	73	127	135	87	98	114	74	44	95	56	35	115	42	52	68	22	21	10	17	9	13	3	6	6	7	11	7	7	host	gene-NRS_28
gene-NRS_1921	9542	9336	11516	10678	9067	10717	8141	8042	10921	8212	6083	11483	5820	8420	5232	5967	2359	3083	2323	3599	1833	1757	1401	1779	1252	1245	1726	1479	host	gene-NRS_1921
gene-NRS_1585	3719	3450	4787	4618	4749	4061	3951	3006	4378	2798	2968	3217	2353	2295	2074	1318	734	1020	828	1029	521	688	468	690	473	518	613	706	host	gene-NRS_1585
gene-CPT_phageK_gp007	42	51	66	75	1339	894	1045	950	7499	5123	11744	5794	7550	7374	6536	4343	1470	3339	2328	3003	910	767	894	786	551	536	527	690	phage	gene-CPT_phageK_gp007
gene-NRS_2673	241	187	320	222	199	273	240	188	225	148	83	196	117	169	107	81	48	50	40	77	24	35	15	54	23	31	41	34	host	gene-NRS_2673
gene-NRS_395	2444	2158	2735	2488	2718	2542	2631	2201	3239	2314	2481	2156	1925	1956	1747	1547	745	1101	882	1427	670	897	375	813	562	563	603	590	host	gene-NRS_395
gene-CPT_phageK_gt002	171	84	142	126	369	341	475	412	1136	887	556	912	2926	3735	3248	2385	827	1248	877	1287	443	440	181	482	452	362	355	279	phage	tRNA-Trp
gene-NRS_272	929	897	1023	920	919	922	705	760	1001	689	562	937	527	628	540	418	167	273	218	316	156	138	97	161	124	110	107	111	host	gene-NRS_272
gene-NRS_775	90818	88749	106967	97082	83181	98427	76850	70817	102619	74176	50430	92058	54980	69598	53104	44141	18487	22216	19465	28235	15157	14711	11111	14299	10152	10562	10838	11857	host	gene-NRS_775
gene-NRS_2281	6828	7445	8104	8993	10114	7603	7962	4791	9921	6927	13107	8512	6036	5206	4598	3034	1363	2064	1805	2471	1217	2042	1759	1737	1402	1548	1684	2352	host	gene-NRS_2281
gene-NRS_1099	8657	9805	10142	8308	7266	8730	7089	5559	9311	6087	7225	7653	4311	5077	4365	2694	1406	1556	1608	1941	1152	1219	1048	1168	911	1027	927	1170	host	gene-NRS_1099
gene-NRS_38	166	166	247	176	201	199	217	156	179	122	105	152	91	107	97	82	17	23	12	41	11	23	9	17	6	14	4	8	host	gene-NRS_38
gene-NRS_2135	11675	8375	13864	14971	13892	16855	19031	12878	19352	10867	9286	9628	10632	10620	9960	7411	4874	6475	4352	6443	2019	4753	972	3794	3185	3013	2832	3758	host	gene-NRS_2135
gene-NRS_48	795	798	975	772	747	836	673	632	932	602	482	726	471	482	457	336	163	164	164	253	130	149	96	144	116	132	111	153	host	gene-NRS_48
gene-NRS_96	679	721	790	693	639	722	535	460	736	501	533	675	416	452	377	347	130	155	147	224	128	144	139	124	79	76	78	84	host	gene-NRS_96
gene-CPT_phageK_gp206	1166	1193	1624	1696	18529	16438	19294	15641	131791	82596	81181	79262	188870	194797	183846	130199	92891	109756	103042	122108	43781	50454	32074	44387	42692	38103	43513	41672	phage	gene-CPT_phageK_gp206
gene-NRS_591	646	517	765	693	703	738	700	545	728	422	414	696	408	524	349	319	147	215	171	212	105	177	66	146	103	94	107	132	host	gene-NRS_591
gene-NRS_1592	337	248	336	397	400	399	354	321	499	328	226	368	314	384	255	271	114	146	89	127	60	71	31	67	47	26	48	52	host	gene-NRS_1592
gene-NRS_2046	444	416	508	383	346	376	322	265	492	371	268	434	399	475	357	379	172	238	168	350	155	132	92	107	69	73	112	98	host	gene-NRS_2046
gene-NRS_1248	158	111	144	149	117	168	123	94	144	111	71	136	97	115	98	93	21	60	44	68	17	29	7	17	24	25	32	26	host	gene-NRS_1248
gene-NRS_2137	1868	1820	2262	2011	2045	2203	1932	1582	2345	1583	1882	1822	1202	1294	1129	811	508	702	596	908	488	513	362	516	341	405	478	436	host	gene-NRS_2137
gene-NRS_1877	5258	5752	6496	5515	4912	5496	3998	3798	5207	3812	3210	5184	2707	3759	2758	2345	811	1067	880	1487	784	716	652	701	550	614	544	555	host	gene-NRS_1877
gene-NRS_764	31261	33792	36298	32211	30975	31149	23805	22628	34236	24778	28348	35047	19046	24257	16969	16236	5997	9410	6962	13414	7588	6968	6463	6679	5419	5118	5998	5046	host	gene-NRS_764
gene-NRS_100	148	173	175	160	227	154	154	93	169	93	202	163	97	95	81	59	26	61	38	53	32	32	30	30	28	33	33	41	host	gene-NRS_100
gene-NRS_874	31961	30659	38728	33335	28969	36457	27679	26390	39626	27207	19645	36916	20622	27899	19846	17384	7647	9197	7435	11938	6293	6583	4173	6141	4937	4711	5071	5215	host	gene-NRS_874
gene-NRS_1238	145	129	173	248	228	243	405	200	229	130	148	128	107	105	122	122	81	183	66	181	66	164	33	93	95	84	85	106	host	gene-NRS_1238
gene-NRS_2562	260	332	306	361	470	297	310	244	300	221	495	232	195	154	171	96	31	109	45	84	39	32	29	36	40	34	35	62	host	gene-NRS_2562
gene-NRS_85	2213	2562	2816	2186	1825	2361	1678	1604	2191	1586	1250	2029	1058	1230	1015	653	201	255	226	336	144	161	111	163	127	99	116	125	host	gene-NRS_85
gene-NRS_1577	900	916	1058	925	860	837	753	647	909	689	693	853	462	571	457	373	112	184	107	244	99	90	54	113	83	85	75	95	host	gene-NRS_1577
gene-NRS_959	1049	1035	1435	1035	875	1295	1177	745	1085	857	625	950	692	807	812	475	258	477	434	454	215	234	109	221	159	252	122	181	host	gene-NRS_959
gene-NRS_1748	338	338	487	381	404	457	397	281	476	310	336	372	227	289	233	163	81	164	130	183	80	106	43	80	76	64	62	65	host	gene-NRS_1748
gene-NRS_886	4661	5311	6267	4832	4367	5243	4340	3304	4959	3235	3463	5026	2403	2988	2318	1592	385	505	350	522	169	224	117	242	136	149	121	207	host	gene-NRS_886
gene-NRS_181	1051	784	1078	1009	875	963	882	709	984	720	478	790	569	672	540	473	210	287	170	408	160	232	86	211	177	157	151	211	host	gene-NRS_181
gene-NRS_1924	6450	5627	7543	7032	6616	7071	6654	5134	6452	4540	4174	5206	3363	3994	3264	3082	975	1717	1198	1841	720	985	511	923	776	773	686	828	host	gene-NRS_1924
gene-NRS_541	391227	375015	448778	383887	330037	416278	300349	297948	422939	298742	194140	334090	211864	244533	219409	126137	67765	62462	70551	77663	47736	48413	30543	49332	37556	41175	37563	46987	host	gene-NRS_541
gene-NRS_2148	7976	8641	9636	8607	8193	9489	7808	6330	9102	6625	6413	8083	4610	5353	4510	3393	1449	1990	1572	2292	1077	1207	1018	1061	821	833	931	1063	host	gene-NRS_2148
gene-NRS_424	175	125	146	129	114	91	108	59	104	86	122	68	50	51	51	27	12	26	24	33	12	10	14	19	16	12	15	29	host	gene-NRS_424
gene-NRS_1775	422	401	604	545	514	629	576	336	584	355	292	342	251	281	244	101	47	48	57	35	19	17	18	33	15	18	16	15	host	gene-NRS_1775
gene-NRS_2100	40489	44810	46933	41247	34678	42603	29958	28722	43785	32679	30287	46358	23570	30860	23309	20027	8292	9838	7754	13648	6653	6872	5442	6674	4953	4718	5246	5533	host	gene-NRS_2100
gene-NRS_1042	1292	1403	1640	1424	1403	1429	1347	973	1365	968	910	1076	660	771	706	545	220	324	267	391	122	187	125	180	119	131	123	147	host	gene-NRS_1042
gene-NRS_670	128	86	186	188	181	221	267	135	174	106	88	103	87	93	79	79	42	57	47	51	10	46	8	26	26	32	19	16	host	gene-NRS_670
gene-NRS_962	2412	2535	3250	2576	2842	3203	3285	2315	2668	1873	3374	2759	1496	1789	1413	885	548	953	824	1058	593	698	433	598	514	646	545	579	host	gene-NRS_962
gene-NRS_1880	1114	1199	1352	1314	1434	1349	1341	899	1258	767	932	932	636	672	656	382	220	325	258	308	158	170	124	158	132	141	112	179	host	gene-NRS_1880
gene-NRS_119	50	56	63	57	70	55	45	34	55	33	13	24	32	29	26	17	12	21	6	18	9	13	4	4	2	6	2	8	host	gene-NRS_119
gene-NRS_406	92	61	103	84	108	77	94	70	96	53	57	53	51	59	52	34	17	29	29	31	12	19	14	19	18	12	18	24	host	gene-NRS_406
gene-NRS_1119	30451	29594	35857	29062	27596	30034	23542	18349	31635	19907	19194	15817	11380	7260	12847	2258	1387	1357	2020	1324	1160	947	864	760	484	419	511	487	host	gene-NRS_1119
gene-NRS_1357	4138	4583	4656	4314	3908	4526	3653	3159	4424	3236	2824	4464	2507	3123	2397	2105	978	1457	1097	1630	883	894	731	845	669	718	631	887	host	gene-NRS_1357
gene-NRS_1380	8363	8276	9681	8646	7361	8897	7234	5796	8621	6170	5105	7324	4332	5230	4129	3345	1459	1893	1498	2361	1089	1285	904	1218	948	1001	962	1243	host	gene-NRS_1380
gene-NRS_1765	1139	1609	1559	1252	1199	1330	1055	935	1305	892	1117	1473	684	913	594	480	205	249	243	345	197	127	209	168	93	106	105	112	host	gene-NRS_1765
gene-NRS_1210	5192	5092	5841	5272	4640	5427	4151	3744	5476	3720	3370	4661	2602	3454	2557	2302	941	1119	894	1466	686	788	549	795	637	640	668	689	host	gene-NRS_1210
gene-NRS_2442	1284	997	1570	1818	1932	1679	2112	1462	1601	1111	1251	984	1040	925	884	872	253	702	374	596	191	357	92	295	262	229	231	311	host	gene-NRS_2442
gene-NRS_926	730	581	846	865	688	887	973	682	994	665	356	817	502	689	545	536	234	321	175	399	151	173	76	194	115	127	125	101	host	gene-NRS_926
gene-NRS_2449	1312	1315	1639	1500	1341	1612	1161	1100	1622	1034	746	1449	765	972	748	502	243	228	253	248	135	145	102	179	77	112	118	119	host	gene-NRS_2449
gene-NRS_837	3920	3619	5966	5324	6393	5297	6113	4060	5883	3437	4975	3215	3111	2695	2767	1887	1399	2900	2200	2754	1160	1729	751	1606	1166	1168	1373	1996	host	gene-NRS_837
gene-NRS_1299	258	243	306	255	230	330	248	193	284	207	117	230	132	169	121	89	45	51	52	68	30	34	16	25	30	24	16	23	host	gene-NRS_1299
gene-NRS_1999	784	518	952	845	796	592	740	654	937	478	549	694	573	396	620	355	224	208	350	405	229	176	185	293	281	145	282	329	host	gene-NRS_1999
gene-NRS_101	527	423	534	508	442	565	489	338	452	301	329	404	247	265	253	156	48	105	91	113	51	54	40	44	44	61	37	54	host	gene-NRS_101
gene-NRS_1991	326	189	407	316	328	225	298	257	421	179	259	337	244	208	270	173	97	86	148	161	89	62	55	99	103	45	87	95	host	gene-NRS_1991
gene-NRS_33	1549	1549	2162	1840	1718	1916	1638	1292	1761	1051	1302	1390	830	853	748	530	163	277	241	327	184	143	119	136	102	130	102	128	host	gene-NRS_33
gene-NRS_2126	17507	17846	21218	17371	14350	18621	13579	14342	18915	14152	11125	20444	9619	13792	9469	9578	3029	4430	3626	6375	3160	2874	1876	2800	2040	2245	2071	1767	host	gene-NRS_2126
gene-NRS_1080	1163	1108	1350	1371	1538	1376	1602	841	1555	996	1563	1081	751	745	702	474	298	385	315	429	170	301	149	255	204	204	189	250	host	gene-NRS_1080
gene-NRS_2590	922	1030	1186	1086	931	997	775	794	987	614	511	869	399	543	378	355	114	169	98	229	88	77	43	102	57	53	43	72	host	gene-NRS_2590
gene-NRS_1860	12875	19746	18456	11769	11482	13240	9001	9211	11127	7772	8953	13693	5045	6618	4732	2236	802	761	1120	1011	1362	700	1301	769	647	1019	604	549	host	gene-NRS_1860
gene-NRS_232	1487	1483	1849	1606	1508	1967	1629	1357	1699	1304	1053	2051	911	1516	903	948	459	615	486	767	418	419	296	427	290	323	356	419	host	gene-NRS_232
gene-NRS_42	4134	3413	4859	4592	4289	5145	5256	3898	5544	3293	2583	3177	3062	3074	2866	1917	1164	1596	1225	1639	673	1015	370	978	696	735	652	934	host	gene-NRS_42
