# Program:featureCounts v2.0.1; Command:"featureCounts" "-p" "-M" "-O" "--primary" "-a" "dualGenome.gff3" "-t" "gene" "-o" "countData.tsv" "-g" "ID" "SRR21013141_sorted.bam" "SRR21013146_sorted.bam" "SRR21013150_sorted.bam" "SRR21013144_sorted.bam" "SRR21013140_sorted.bam" "SRR21013139_sorted.bam" "SRR21013138_sorted.bam" "SRR21013145_sorted.bam" "SRR21013142_sorted.bam" "SRR21013136_sorted.bam" "SRR21013149_sorted.bam" "SRR21013137_sorted.bam" "SRR21013143_sorted.bam" "SRR21013147_sorted.bam" "SRR21013148_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR21013141_sorted.bam	SRR21013146_sorted.bam	SRR21013150_sorted.bam	SRR21013144_sorted.bam	SRR21013140_sorted.bam	SRR21013139_sorted.bam	SRR21013138_sorted.bam	SRR21013145_sorted.bam	SRR21013142_sorted.bam	SRR21013136_sorted.bam	SRR21013149_sorted.bam	SRR21013137_sorted.bam	SRR21013143_sorted.bam	SRR21013147_sorted.bam	SRR21013148_sorted.bam
gene-b0014	U00096.3	12163	14079	+	1917	6030	44572	80624	13121	11922	10772	3304	48448	28777	1760	63063	3676	18376	66183	41444
gene-b0015	U00096.3	14168	15298	+	1131	951	5236	9334	3256	1882	1609	478	6050	5336	280	6338	537	3403	7814	4666
gene-b0016	U00096.3	15445	16557	+	1113	208	2229	2417	1701	560	254	118	1707	1014	41	2154	182	790	2931	1112
gene-b0018	U00096.3	16751	16960	-	210	35	212	206	235	70	29	10	136	124	2	185	15	114	318	101
gene-b4412	U00096.3	16751	16903	-	153	34	208	201	215	70	29	10	131	123	2	183	15	113	311	93
gene-b4413	U00096.3	16952	17010	+	59	9	30	33	65	15	4	5	34	24	2	23	1	19	64	24
gene-b0019	U00096.3	17489	18655	+	1167	405	2696	1619	2346	1007	634	292	2202	1952	123	1903	376	1997	3072	785
gene-b0020	U00096.3	18715	19620	+	906	128	989	681	815	313	171	82	702	475	38	796	105	455	1381	333
gene-b0021	U00096.3	19811	20314	-	504	359	4515	4060	2286	851	554	181	2911	1344	81	3518	247	1200	6543	1646
gene-b0022	U00096.3	20233	20508	-	276	274	3110	2967	1583	601	398	124	2088	949	41	2538	180	890	4683	1294
gene-b0023	U00096.3	20815	21078	-	264	13403	73044	50174	31699	32703	15243	4011	57800	57722	1759	76958	5601	57059	85373	27364
gene-b0024	U00096.3	21181	21399	+	219	12	362	504	257	166	45	41	466	367	3	490	66	398	772	316
gene-b0025	U00096.3	21407	22348	+	942	607	11380	11899	1995	1760	889	501	7713	2742	239	13774	792	2646	14358	5106
gene-b0026	U00096.3	22391	25207	+	2817	6141	45344	52623	14821	14569	9848	3479	33401	29096	1770	55218	5082	25453	49789	24728
gene-b0027	U00096.3	25207	25701	+	495	899	7411	6961	2018	2020	1354	406	4495	4090	224	6881	646	3379	8141	3675
gene-b0028	U00096.3	25826	26275	+	450	395	4870	3755	1337	927	508	300	2917	1933	148	5255	444	1734	6389	2037
gene-b0029	U00096.3	26277	27227	+	951	651	8188	6483	2461	1734	814	566	5381	3638	198	10983	755	3079	10557	3814
gene-b0030	U00096.3	27293	28207	+	915	32	382	638	488	107	40	26	230	130	13	619	45	164	535	237
gene-b0031	U00096.3	28374	29195	+	822	245	2158	2707	1112	585	425	148	1772	912	77	3109	178	930	3338	1376
gene-b0032	U00096.3	29651	30799	+	1149	659	8582	31890	2416	1522	1173	712	9246	2453	559	13866	914	1965	17334	10142
gene-b0033	U00096.3	30817	34038	+	3222	3374	26347	183513	10497	5923	6253	2821	31364	16484	1836	72207	2731	9349	71441	56591
gene-b0034	U00096.3	34300	34695	+	396	17	293	419	387	28	26	14	223	41	2	334	14	39	512	206
gene-b0035	U00096.3	34781	35371	-	591	9	92	106	942	14	8	4	54	21	0	90	8	34	151	50
gene-b0036	U00096.3	35377	36162	-	786	7	47	51	530	16	10	4	33	13	1	57	6	20	69	27
gene-b0037	U00096.3	36271	37824	-	1554	14	203	170	1059	48	22	10	140	68	4	244	25	85	280	78
gene-b0038	U00096.3	37898	39115	-	1218	20	423	194	934	50	30	18	210	58	8	272	27	96	479	113
gene-b0039	U00096.3	39244	40386	-	1143	67	995	1022	1080	175	94	36	619	206	15	1195	79	260	1218	371
gene-b0040	U00096.3	40417	41931	-	1515	4	52	51	1182	14	2	5	20	14	2	80	6	13	76	30
gene-b0041	U00096.3	42403	43173	+	771	5	58	65	780	13	11	2	60	16	2	107	9	19	91	29
gene-b0042	U00096.3	43188	44129	+	942	8	100	105	756	22	17	5	62	27	2	114	6	23	137	42
gene-b0043	U00096.3	44180	45466	+	1287	3	56	89	959	18	8	0	44	15	2	82	12	18	123	40
gene-b0044	U00096.3	45463	45750	+	288	1	14	11	253	3	4	1	7	4	0	10	2	4	27	5
gene-b0045	U00096.3	45807	47138	+	1332	7	57	63	1097	18	12	3	36	10	0	64	10	18	89	27
gene-b0046	U00096.3	47246	47776	+	531	19	216	280	576	46	16	12	150	59	5	282	25	64	326	128
gene-b0047	U00096.3	47769	49631	+	1863	61	792	1049	2185	165	91	67	693	254	21	1137	94	282	1258	478
gene-b0048	U00096.3	49823	50302	+	480	181	1894	1233	868	573	231	181	1219	931	57	2179	240	1149	2333	628
gene-b0049	U00096.3	50380	51222	-	843	334	4834	4466	1652	905	484	306	3546	1394	127	4869	429	1298	7114	2147
gene-b0050	U00096.3	51229	51606	-	378	525	5482	4953	1631	1440	655	369	3732	2189	120	5888	449	2046	7336	2346
gene-b0051	U00096.3	51609	52430	-	822	1295	10886	9654	3280	3179	1596	773	7387	5193	289	12244	989	4922	13979	4590
gene-b0052	U00096.3	52427	53416	-	990	701	8427	6611	2723	1703	921	407	5432	2937	182	8555	600	2658	10712	3780
gene-b0053	U00096.3	53416	54702	-	1287	1487	18228	18120	4870	3348	1938	1004	12982	6478	512	18426	1477	5681	21296	9504
gene-b0054	U00096.3	54755	57109	-	2355	1335	22507	23275	4776	3632	1910	1311	19035	5516	539	27541	1923	5097	31345	11420
gene-b0055	U00096.3	57364	58179	+	816	177	3272	2950	1145	574	247	215	2138	757	96	3838	254	766	4350	1464
gene-b0056	U00096.3	58474	59124	+	651	0	0	2	0	1	0	0	0	0	0	0	1	0	0	1
gene-b0057	U00096.3	59121	59279	+	159	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
gene-b0058	U00096.3	59687	60346	-	660	389	1765	1520	1271	915	459	175	1876	1399	67	1394	186	1291	2152	846
gene-b0059	U00096.3	60358	63264	-	2907	1441	6218	7324	6510	3306	1627	714	7473	7436	318	7651	966	7184	8072	4233
gene-b0060	U00096.3	63429	65780	-	2352	77	1268	1568	1291	173	105	56	883	226	33	1262	111	211	1811	589
gene-b0061	U00096.3	65855	66550	-	696	1	59	77	520	16	9	3	30	15	1	74	2	26	94	30
gene-b0062	U00096.3	66835	68337	-	1503	26	427	480	1075	73	54	12	288	109	5	411	30	100	583	177
gene-b0063	U00096.3	68348	70048	-	1701	13	170	197	1739	36	6	5	92	31	5	191	11	37	228	64
gene-b0064	U00096.3	70387	71265	+	879	23	408	671	795	55	37	25	307	72	13	601	37	56	678	253
gene-b0065	U00096.3	71351	72115	+	765	20	231	292	572	55	28	12	138	40	6	207	17	67	441	107
gene-b0066	U00096.3	72229	72927	-	699	27	263	238	553	47	24	13	182	90	6	201	20	88	367	97
gene-b0067	U00096.3	72911	74521	-	1611	20	233	312	1453	85	38	21	227	100	9	374	46	100	325	146
gene-b0068	U00096.3	74497	75480	-	984	48	798	652	858	126	60	45	503	161	13	1119	82	288	931	287
gene-b4762	U00096.3	75516	75608	-	93	4	79	114	118	19	9	4	79	29	1	158	13	37	148	49
gene-b0069	U00096.3	75644	77299	-	1656	42	813	1232	989	119	77	42	591	176	25	1041	84	160	1312	485
gene-b4577	U00096.3	77367	77593	+	227	90	679	809	307	246	145	68	462	281	26	935	80	288	1050	320
gene-b4662	U00096.3	77388	77519	+	132	89	671	806	268	242	143	68	455	277	26	917	80	288	1040	316
gene-b0070	U00096.3	77621	78799	+	1179	65	1138	1312	1079	140	68	42	735	142	20	1361	53	186	1966	439
gene-b0071	U00096.3	78848	79453	-	606	99	1040	2127	643	177	151	80	942	342	37	1541	94	274	2019	824
gene-b0072	U00096.3	79464	80864	-	1401	139	1157	3282	1451	268	193	133	1235	675	67	2077	147	425	2317	1361
gene-b0073	U00096.3	80867	81958	-	1092	128	882	2444	1403	262	236	122	956	643	54	1599	117	409	1792	1119
gene-b0074	U00096.3	81958	83529	-	1572	84	758	1294	1255	186	125	98	733	356	36	1574	118	310	1174	610
gene-b0075	U00096.3	83622	83708	-	87	20	167	826	94	75	27	31	383	128	4	536	51	119	817	169
gene-b0076	U00096.3	84368	85312	+	945	11	220	151	658	50	30	8	162	64	4	141	17	64	335	49
gene-b4726	U00096.3	85467	85511	-	45	0	3	1	68	2	1	0	0	0	0	0	0	0	2	1
gene-b0077	U00096.3	85630	87354	+	1725	137	1650	2055	1677	329	227	130	1292	466	68	2220	160	494	2659	980
gene-b0078	U00096.3	87357	87848	+	492	35	410	582	647	106	63	29	382	180	19	653	40	153	703	264
gene-b0080	U00096.3	88028	89032	+	1005	491	7606	6437	1769	1152	685	410	4967	1788	184	8355	508	1688	10032	3390
gene-b0081	U00096.3	89634	90092	+	459	483	8283	7684	1414	1161	724	349	6067	1756	153	8794	493	1719	11637	3302
gene-b0082	U00096.3	90094	91035	+	942	632	11146	11317	2336	1635	894	560	8469	2305	263	11682	881	2350	15909	5349
gene-b0083	U00096.3	91032	91397	+	366	214	3689	4428	1015	651	356	219	3044	943	109	4234	310	913	5458	2246
gene-b0084	U00096.3	91413	93179	+	1767	632	5766	9141	2309	2033	1066	743	5761	2478	256	8110	1063	2585	9986	3953
gene-b4810	U00096.3	92485	92658	+	174	371	1302	2812	688	1259	688	472	2028	1493	122	2554	639	1571	3734	1226
gene-b0085	U00096.3	93166	94653	+	1488	717	9938	9724	3255	1733	1044	666	7066	3240	330	12440	940	3168	14564	5707
gene-b0086	U00096.3	94650	96008	+	1359	740	7394	9168	2633	1608	917	660	6129	2903	283	11900	769	2586	11990	4809
gene-b0087	U00096.3	96002	97084	+	1083	464	5421	7743	1975	941	543	402	4613	1695	195	7002	470	1614	9241	3113
gene-b0088	U00096.3	97087	98403	+	1317	674	9595	10589	2584	1395	946	603	7418	2429	260	10439	691	2169	14592	5319
gene-b0089	U00096.3	98403	99647	+	1245	410	7943	7863	2095	985	594	383	5756	1499	160	6803	501	1413	10809	3360
gene-b0090	U00096.3	99644	100711	+	1068	405	7289	7109	2152	1031	543	400	5141	1488	200	6241	612	1539	9597	3303
gene-b0091	U00096.3	100765	102240	+	1476	616	8921	9496	2639	1680	902	564	7621	2463	288	10340	902	2538	12999	4702
gene-b0092	U00096.3	102233	103153	+	921	523	7748	8702	2267	1362	787	426	6085	2398	216	10336	679	2287	10818	4403
gene-b0093	U00096.3	103155	103985	+	831	383	7769	8048	1819	1148	605	384	5723	1740	161	8124	558	1760	10842	3292
gene-b0094	U00096.3	103982	105244	+	1263	458	8697	8676	2332	1344	701	432	6461	1640	233	9972	598	1921	12760	4001
gene-b4840	U00096.3	104948	105499	-	552	398	5061	4995	1387	1124	588	346	4277	1494	184	6910	497	1728	7748	2919
gene-b0095	U00096.3	105305	106456	+	1152	1908	26490	26551	5951	5435	3071	1733	20007	8123	872	33254	2558	8232	37147	13971
gene-b0096	U00096.3	106557	107474	+	918	4323	80290	70398	9750	11694	5688	3686	51788	16383	1481	99047	5038	17436	103514	36194
gene-b0097	U00096.3	107705	108217	+	513	543	8304	5918	1692	1404	697	379	5971	1987	162	6208	627	1940	10985	2992
gene-b0098	U00096.3	108279	110984	+	2706	6038	43919	31462	15235	13951	7527	2873	34232	23449	1233	42226	4095	20687	48202	18315
gene-b0099	U00096.3	111044	111433	+	390	70	561	359	457	142	98	35	459	256	23	463	45	277	694	241
gene-b0101	U00096.3	111649	111846	-	198	95	1257	1245	516	300	139	77	1062	422	29	1630	102	438	1671	684
gene-b0102	U00096.3	111856	112599	-	744	231	3599	3224	894	545	273	216	2640	704	94	3911	275	821	4544	1630
gene-b0103	U00096.3	112599	113219	-	621	149	3891	3380	882	448	217	128	2787	534	53	3217	202	597	5590	1348
gene-b4727	U00096.3	113244	113288	+	45	6	51	103	50	30	7	4	100	31	4	98	7	32	191	53
gene-b0104	U00096.3	113444	114487	+	1044	544	8278	8315	2300	1386	919	444	6309	2079	163	12332	552	1816	11792	4828
gene-b0106	U00096.3	114522	115724	-	1203	33	466	345	855	79	40	24	329	77	6	449	36	99	783	212
gene-b0107	U00096.3	115714	117099	-	1386	58	1240	1099	855	128	90	48	679	181	17	894	56	188	2022	453
gene-b0108	U00096.3	117109	117549	-	441	5	106	59	395	13	7	0	53	15	3	50	7	12	133	26
gene-b0109	U00096.3	117752	118645	-	894	200	3131	3303	1161	488	282	193	2270	639	55	3939	253	541	4354	1694
gene-b0110	U00096.3	118733	119284	+	552	65	1471	1657	439	221	101	64	847	189	29	1684	96	215	2416	705
gene-b0111	U00096.3	119281	120135	+	855	100	2258	2500	1417	249	123	89	1271	202	42	2735	134	241	3768	1125
gene-b0112	U00096.3	120178	121551	-	1374	302	5736	7164	1768	796	497	315	4735	1211	118	7192	407	1034	8980	3874
gene-b0113	U00096.3	122092	122856	+	765	648	5964	3762	2587	1558	662	425	4719	3154	172	2633	747	2859	7148	1591
gene-b0114	U00096.3	123017	125680	+	2664	24952	53122	184039	41909	42759	36238	8431	65962	68503	4326	120800	8435	46930	133340	70519
gene-b0115	U00096.3	125695	127587	+	1893	16062	36486	131059	22256	23224	26667	7138	44340	42554	3845	84462	6521	24173	97335	49228
gene-b0116	U00096.3	127912	129336	+	1425	10143	45527	98664	18463	20125	18424	5154	44808	34443	2649	78942	5893	25792	89730	38656
gene-b0117	U00096.3	129407	131260	-	1854	60	805	728	1517	119	77	21	497	124	10	633	43	157	1298	337
gene-b0118	U00096.3	131615	134212	+	2598	9910	44539	80688	18508	17604	15052	4531	34300	29030	1957	71048	5674	23926	79256	34877
gene-b0119	U00096.3	134388	134750	+	363	145	1051	1468	782	363	215	96	758	462	37	1534	103	461	1927	688
gene-b0120	U00096.3	134788	135582	-	795	1127	7762	8238	3295	2663	1596	489	5997	4347	239	10381	665	3746	10159	4340
gene-b0121	U00096.3	135598	136464	-	867	1166	11439	11036	3634	3097	1895	626	8314	4856	309	11963	901	4061	15175	5490
gene-b0122	U00096.3	136570	136917	-	348	158	4943	3237	524	440	224	127	3264	494	64	2355	211	482	6737	1223
gene-b0123	U00096.3	137083	138633	+	1551	499	9855	5760	2832	1353	504	454	3849	1158	143	12301	785	2013	12569	2228
gene-b0124	U00096.3	138835	141225	-	2391	2460	8188	13459	6311	5431	3524	940	7617	8671	533	13482	1256	6748	13516	7039
gene-b0125	U00096.3	141431	141967	+	537	921	9555	8022	2680	2169	1250	519	7207	3564	201	11024	692	3240	13106	4450
gene-b0126	U00096.3	142008	142670	-	663	1476	19450	21782	4638	3436	2134	938	16227	5963	463	22425	1265	5085	29386	10719
gene-b0127	U00096.3	142779	143705	+	927	392	5298	4721	2024	939	435	314	3758	1285	158	6901	418	1379	8102	2214
gene-b0128	U00096.3	143702	144472	+	771	381	4284	4595	1709	914	530	284	3201	1391	154	6343	436	1298	6743	2251
gene-b0129	U00096.3	144577	145017	+	441	68	1158	1060	715	198	93	44	754	227	21	1120	66	227	1862	449
gene-b0130	U00096.3	145081	146310	+	1230	163	4064	3511	1181	566	240	146	2474	677	83	3960	210	601	5493	1497
gene-b0131	U00096.3	146314	146694	-	381	777	10674	14479	1799	1939	1192	643	7459	2691	328	17466	884	2725	13819	6162
gene-b0132	U00096.3	146968	147870	+	903	24	498	295	897	86	41	16	277	82	7	306	31	99	676	186
gene-b0133	U00096.3	147944	148795	-	852	757	11707	12433	2116	1894	1102	585	7684	2571	245	14477	816	2438	15658	5728
gene-b0134	U00096.3	148807	149601	-	795	509	8563	8446	1761	1385	925	438	5547	2241	164	10054	615	1952	12029	4133
gene-b0135	U00096.3	149715	150953	-	1239	0	1	0	1	0	1	0	0	2	0	1	0	0	1	1
gene-b0136	U00096.3	151003	151599	-	597	0	11	7	88	2	1	0	8	3	0	3	1	3	10	5
gene-b0137	U00096.3	151626	152231	-	606	3	15	10	124	3	0	0	13	4	0	20	0	8	21	11
gene-b0138	U00096.3	152243	152812	-	570	13	56	36	296	26	23	2	39	40	3	52	6	40	69	20
gene-b0139	U00096.3	152829	155426	-	2598	10	75	70	750	33	18	3	69	55	2	60	11	56	112	22
gene-b0140	U00096.3	155461	156201	-	741	5	46	27	384	15	9	1	34	26	1	41	3	22	65	10
gene-b0141	U00096.3	156299	156883	-	585	5	45	25	187	22	4	1	29	44	1	41	7	58	46	21
gene-b0142	U00096.3	157253	157732	-	480	89	652	769	663	232	135	96	717	439	22	1276	111	406	829	591
gene-b0143	U00096.3	157729	159126	-	1398	1190	14838	12031	4680	2980	1584	1075	13061	5440	412	16667	1699	5144	18285	7921
gene-b0144	U00096.3	159186	160112	-	927	96	847	784	628	212	84	68	730	444	25	830	79	378	1090	419
gene-b0145	U00096.3	160149	160604	-	456	1693	13578	21304	3734	4037	2807	1070	11541	6818	421	22009	1359	5882	21355	9019
gene-b0146	U00096.3	160782	161486	-	705	53	844	863	434	176	79	52	646	142	22	1068	50	190	1222	413
gene-b0147	U00096.3	161501	162031	-	531	60	1086	1270	512	167	77	50	823	206	27	1126	76	210	1510	485
gene-b0148	U00096.3	162105	164534	+	2430	256	3801	4099	2314	634	350	223	2691	922	81	4088	336	877	4791	1911
gene-b0149	U00096.3	164730	167264	+	2535	500	6183	6847	2553	1274	714	410	4983	2255	209	8137	520	2188	8262	3076
gene-b0150	U00096.3	167484	169727	+	2244	184	2313	6690	1516	396	216	90	1511	595	46	3151	138	643	3978	1619
gene-b0151	U00096.3	169778	170575	+	798	38	837	1510	572	102	56	40	523	136	18	805	41	128	1271	388
gene-b0152	U00096.3	170575	171465	+	891	16	290	566	493	47	24	20	206	55	7	370	31	76	443	189
gene-b0153	U00096.3	171462	173444	+	1983	65	810	1040	2483	148	77	68	627	209	19	860	78	223	1264	394
gene-b0154	U00096.3	173602	174882	-	1281	963	10720	12569	2833	2255	1723	629	7959	4579	319	13691	1027	3625	14434	6519
gene-b4765	U00096.3	175048	175095	+	48	7	98	121	57	20	12	6	80	20	4	94	10	31	202	51
gene-b0155	U00096.3	175107	176528	+	1422	131	2500	2129	1387	393	180	128	1722	393	51	2285	182	496	3828	970
gene-b4728	U00096.3	176552	176617	+	66	47	640	718	176	182	76	42	587	235	19	869	59	277	979	386
gene-b0156	U00096.3	176610	176954	+	345	323	4274	4575	1012	1122	564	256	3333	1426	147	5196	393	1608	5539	2300
gene-b0157	U00096.3	177001	177624	-	624	102	1484	993	671	236	120	61	897	351	28	1252	114	345	1753	524
gene-b0158	U00096.3	177662	178462	-	801	242	2869	2552	1179	674	391	146	1851	927	69	2686	230	902	3678	1233
gene-b0159	U00096.3	178455	179153	-	699	1706	13591	13328	4082	3986	2582	871	9065	6090	341	16141	1289	5737	17849	6770
gene-b0160	U00096.3	179237	180754	+	1518	130	3250	3292	943	394	229	120	2462	392	68	3416	177	367	4644	1559
gene-b0161	U00096.3	180884	182308	+	1425	1196	5668	6204	3710	2298	1045	478	4077	2508	176	6929	701	3295	8789	2764
gene-b0162	U00096.3	182463	183620	+	1158	44	537	375	1026	98	45	18	316	73	14	433	36	105	890	196
gene-b0163	U00096.3	183709	184095	-	387	119	3245	2978	650	362	180	130	1938	266	48	4097	190	310	4878	1593
gene-b0164	U00096.3	184257	185069	-	813	34	585	329	429	79	49	16	349	131	6	326	26	103	759	170
gene-b0166	U00096.3	185123	185947	-	825	5386	36540	33680	9131	11928	9524	2186	26422	18260	948	42077	3339	14723	49153	19249
gene-b0167	U00096.3	185978	188650	-	2673	181	2949	3302	2320	474	265	153	2046	590	62	3378	262	658	4459	1496
gene-b0168	U00096.3	188712	189506	-	795	1207	9649	13337	3166	2696	1373	622	6495	4420	248	14547	882	4303	14658	5631
gene-b4414	U00096.3	189712	189847	+	136	1983	9946	24772	4605	4992	3394	1042	14299	10169	399	21345	1277	8037	26311	12826
gene-b0169	U00096.3	189874	190599	+	726	15044	90419	184699	30570	33750	23181	7961	86755	60226	3966	149950	9492	44624	175985	76448
gene-b0170	U00096.3	190857	191708	+	852	10640	55451	128577	20589	20431	15653	4876	56224	38218	2365	111489	5268	28517	124155	51617
gene-b0171	U00096.3	191855	192580	+	726	612	5312	9448	2192	1637	820	348	4381	2878	177	7306	486	2505	7852	3819
gene-b0172	U00096.3	192872	193429	+	558	1940	21082	24360	5076	5016	2705	1142	14584	8548	537	29181	1603	8330	28727	10521
gene-b0173	U00096.3	193521	194717	+	1197	190	2389	2524	1144	478	268	186	1886	758	88	2796	243	768	3266	1208
gene-b4809	U00096.3	194784	194844	+	61	37	366	492	142	103	59	22	371	171	10	578	41	132	617	222
gene-b0174	U00096.3	194903	195664	+	762	412	4725	3697	1666	1068	460	326	3643	1617	132	4940	388	1812	6370	1696
gene-b0175	U00096.3	195677	196534	+	858	335	3462	3866	1788	849	401	272	3208	1275	125	5013	331	1409	5349	1898
gene-b0176	U00096.3	196546	197898	+	1353	921	9416	9528	3494	2309	937	521	7566	3384	285	9982	651	3799	13875	4092
gene-b0177	U00096.3	197928	200360	+	2433	2998	28053	37507	9156	7020	3837	1995	22991	11574	921	38569	2479	10272	40175	16759
gene-b0178	U00096.3	200482	200967	+	486	3248	34383	39109	6590	7811	5499	1819	23344	12473	867	41951	2476	10115	49522	18973
gene-b0179	U00096.3	200971	201996	+	1026	2871	36629	43232	7212	7103	4102	1845	26273	13335	836	42124	2597	11509	51367	19467
gene-b0180	U00096.3	202101	202556	+	456	1243	11038	9422	3498	2913	1694	622	8150	5624	328	12258	913	4916	14154	5217
gene-b0181	U00096.3	202560	203348	+	789	4169	27662	23702	8411	9524	5886	2410	20129	16311	985	30125	2929	13231	32865	13087
gene-b0182	U00096.3	203348	204496	+	1149	1066	12032	11206	3892	2413	1357	699	9372	4762	299	11339	948	4481	14986	5325
gene-b0183	U00096.3	204493	205089	+	597	280	4171	3149	1551	693	343	250	3010	1300	90	3517	332	1343	4778	1816
gene-b0184	U00096.3	205126	208608	+	3483	1445	16519	14398	5246	3531	1780	951	12006	5696	410	17705	1244	5252	19432	6969
gene-b0185	U00096.3	208621	209580	+	960	1472	18418	18657	3765	3681	2180	1087	13079	6547	535	21408	1470	5683	22183	8849
gene-b0186	U00096.3	209679	211820	+	2142	77	829	806	1687	189	109	53	605	295	25	857	74	283	1178	425
gene-b0187	U00096.3	211877	212266	+	390	32	323	394	498	85	40	26	263	118	17	491	33	94	494	174
gene-b0188	U00096.3	212331	213629	+	1299	119	1759	1532	993	287	152	92	1110	438	48	1788	134	374	2458	711
gene-b0189	U00096.3	213678	213932	-	255	106	2929	2738	458	347	160	101	1511	267	56	3500	130	336	4194	1145
gene-b4406	U00096.3	213925	214125	-	201	153	3129	3789	609	410	241	151	1950	414	60	4860	186	509	5365	1670
gene-b0190	U00096.3	214291	214836	+	546	146	1729	1639	772	395	212	122	1246	602	50	2212	178	674	2489	844
gene-b0191	U00096.3	214833	215255	+	423	91	1074	998	422	248	100	50	797	313	22	1201	86	366	1526	539
gene-b0192	U00096.3	215269	215979	+	711	122	1831	1811	883	398	177	95	1287	496	46	2098	171	568	2597	822
gene-b0193	U00096.3	216179	217003	-	825	25	409	246	464	59	27	10	217	97	6	264	29	91	476	119
gene-b0194	U00096.3	217057	218775	-	1719	3679	24902	27894	9453	8206	5221	1915	20777	17360	971	32639	2686	14511	27863	13575
gene-b0195	U00096.3	218887	219594	-	708	258	4498	3731	1235	669	371	221	3418	1157	101	4410	329	1004	5428	1838
gene-b0196	U00096.3	219591	219995	-	405	262	3421	3792	924	575	368	207	2883	1039	85	5384	332	873	4973	1960
gene-b0197	U00096.3	220113	220928	-	816	1110	10720	16239	2570	2441	1991	697	8929	3778	329	15055	796	2785	18681	7438
gene-b0198	U00096.3	220968	221621	-	654	104	1719	2684	792	304	185	114	1664	486	62	2215	136	407	2911	1204
gene-b0199	U00096.3	221614	222645	-	1032	201	1641	2330	954	472	280	185	1490	691	86	2900	282	759	2317	929
gene-b0200	U00096.3	222833	223408	+	576	140	1671	1759	798	340	151	112	1106	424	61	2094	182	533	2889	827
gene-b0201	U00096.3	223771	225312	+	1542	15520	9479	8830	7783	18180	26398	11254	16063	34759	20356	9684	25167	16069	31771	4214
gene-b0202	U00096.3	225381	225457	+	77	357	1303	825	894	1007	383	228	1503	963	105	2347	384	1202	1673	883
gene-b0203	U00096.3	225500	225575	+	76	403	1734	906	855	939	380	230	1529	914	106	2526	333	1101	1700	825
gene-b0204	U00096.3	225759	228662	+	2904	36266	20813	12267	13252	40427	64378	27094	45299	85427	50872	25384	59394	44116	81722	8800
gene-b0205	U00096.3	228756	228875	+	120	39	48	155	313	133	29	34	31	39	8	73	109	49	104	60
gene-b0206	U00096.3	228928	229004	+	77	17	136	179	245	50	63	42	187	119	20	197	88	140	290	76
