# Program:featureCounts v2.0.1; Command:"featureCounts" "-p" "-M" "-O" "--primary" "-a" "dualGenome.gff3" "-t" "gene" "-o" "countData.tsv" "-g" "ID" "SRR11805719_sorted.bam" "SRR11805717_sorted.bam" "SRR11805716_sorted.bam" "SRR11805720_sorted.bam" "SRR11805718_sorted.bam" "SRR11805721_sorted.bam" "SRR11805715_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR11805719_sorted.bam	SRR11805717_sorted.bam	SRR11805716_sorted.bam	SRR11805720_sorted.bam	SRR11805718_sorted.bam	SRR11805721_sorted.bam	SRR11805715_sorted.bam
gene-SynWH7803_0019	CT971583.1	24364	25599	-	1236	84	125	120	361	168	317	306
gene-SynWH7803_0020	CT971583.1	25800	26873	-	1074	93	153	115	311	181	350	322
gene-SynWH7803_0021	CT971583.1	26884	28569	-	1686	95	79	109	229	155	220	294
gene-SynWH7803_0022	CT971583.1	28665	29387	+	723	140	719	364	417	294	375	1065
gene-SynWH7803_0023	CT971583.1	29438	30568	+	1131	181	791	322	342	309	337	1177
gene-SynWH7803_0024	CT971583.1	30571	30813	+	243	58	143	63	85	91	90	215
gene-SynWH7803_0025	CT971583.1	30806	31714	+	909	128	388	234	234	190	217	609
gene-SynWH7803_0026	CT971583.1	31689	32030	-	342	131	406	280	355	201	301	790
gene-SynWH7803_0027	CT971583.1	32055	32987	-	933	123	183	168	375	200	316	447
gene-SynWH7803_0028	CT971583.1	32963	34423	-	1461	243	536	356	1021	424	727	1391
gene-SynWH7803_0029	CT971583.1	34586	35611	+	1026	416	1647	1160	1227	905	840	3887
gene-SynWH7803_0030	CT971583.1	35675	36661	-	987	68	134	108	165	121	180	261
gene-SynWH7803_0031	CT971583.1	36668	37786	-	1119	190	665	386	427	313	466	1676
gene-SynWH7803_0032	CT971583.1	37819	38382	+	564	247	1369	689	776	490	854	2823
gene-SynWH7803_0033	CT971583.1	38385	38864	+	480	156	953	445	531	336	511	1955
gene-SynWH7803_0034	CT971583.1	38851	39879	-	1029	120	338	198	329	195	252	738
gene-SynWH7803_0035	CT971583.1	39878	40069	+	192	30	66	33	51	49	68	128
gene-SynWH7803_0036	CT971583.1	40035	40961	-	927	86	128	86	149	128	166	312
gene-SynWH7803_0037	CT971583.1	41034	41228	+	195	64	93	43	298	105	225	170
gene-SynWH7803_0038	CT971583.1	41229	41663	-	435	189	221	143	809	364	596	334
gene-SynWH7803_0039	CT971583.1	41916	43424	+	1509	188	291	204	502	215	284	595
gene-SynWH7803_0040	CT971583.1	43379	43771	-	393	173	570	363	791	333	521	1039
gene-SynWH7803_0041	CT971583.1	43771	44175	-	405	239	779	501	1213	498	821	1459
gene-SynWH7803_0042	CT971583.1	44239	44757	-	519	46	184	90	112	79	109	273
gene-SynWH7803_0043	CT971583.1	44887	45156	+	270	233	404	289	1186	355	1015	876
gene-SynWH7803_0044	CT971583.1	45279	45440	+	162	391	888	684	2376	801	1753	1650
gene-SynWH7803_0045	CT971583.1	45605	45781	+	177	226	394	387	1181	468	787	687
gene-RNA_1	CT971583.1	45805	45876	-	72	86	184	154	420	189	276	203
gene-SynWH7803_0046	CT971583.1	45936	47066	-	1131	151	682	452	391	312	446	1201
gene-SynWH7803_0047	CT971583.1	47188	48285	+	1098	53	39	61	94	77	73	144
gene-SynWH7803_0048	CT971583.1	48299	49918	+	1620	187	836	462	366	382	485	1505
gene-SynWH7803_0049	CT971583.1	49961	50593	+	633	509	1104	601	2371	1043	1416	1755
gene-SynWH7803_0050	CT971583.1	50612	50989	+	378	183	474	217	589	331	420	807
gene-SynWH7803_0051	CT971583.1	50994	52808	+	1815	216	445	276	477	334	373	795
gene-SynWH7803_0052	CT971583.1	52818	53966	-	1149	170	701	346	551	315	508	1626
gene-SynWH7803_0053	CT971583.1	53980	55173	-	1194	936	3074	1789	4286	1965	2682	6873
gene-SynWH7803_0054	CT971583.1	55232	55399	-	168	515	1056	672	2554	1076	1556	1803
gene-SynWH7803_0055	CT971583.1	55500	56312	-	813	76	236	126	188	148	175	476
gene-SynWH7803_0056	CT971583.1	56426	56929	+	504	215	704	483	615	339	591	1413
gene-SynWH7803_0057	CT971583.1	56897	57490	-	594	197	1191	820	751	471	628	1935
gene-SynWH7803_0058	CT971583.1	57525	57872	-	348	257	2024	1325	944	703	938	3603
gene-SynWH7803_0059	CT971583.1	57916	58113	-	198	146	1124	712	580	374	439	2015
gene-SynWH7803_0060	CT971583.1	58173	59750	+	1578	102	181	135	220	126	195	317
gene-SynWH7803_0061	CT971583.1	59781	61115	+	1335	130	253	197	300	236	261	569
gene-SynWH7803_0062	CT971583.1	61131	62996	-	1866	133	253	184	278	241	279	476
gene-SynWH7803_0063	CT971583.1	63024	63698	-	675	91	278	141	322	155	213	468
gene-SynWH7803_0064	CT971583.1	63703	65058	-	1356	360	1129	578	1637	653	1175	3024
gene-SynWH7803_0065	CT971583.1	65425	66303	+	879	98	97	90	143	105	111	206
gene-SynWH7803_0066	CT971583.1	66313	67197	+	885	105	172	125	171	159	194	339
gene-SynWH7803_0067	CT971583.1	67241	68863	+	1623	162	157	116	201	205	201	292
gene-SynWH7803_0068	CT971583.1	68830	70071	-	1242	96	77	74	105	94	89	166
gene-SynWH7803_0069	CT971583.1	70114	70749	+	636	169	531	250	474	252	463	1352
gene-SynWH7803_0070	CT971583.1	70751	71440	-	690	122	740	373	476	297	419	1325
gene-SynWH7803_0071	CT971583.1	71487	72932	-	1446	131	1077	566	367	357	355	1801
gene-SynWH7803_0072	CT971583.1	73098	74126	+	1029	167	288	252	440	281	397	666
gene-SynWH7803_0073	CT971583.1	74133	75041	+	909	174	475	288	466	330	409	867
gene-SynWH7803_0074	CT971583.1	75108	77150	+	2043	327	1882	824	945	686	1016	3295
gene-SynWH7803_0075	CT971583.1	77153	77818	-	666	67	226	118	118	109	188	318
gene-SynWH7803_0076	CT971583.1	77824	78876	-	1053	48	56	41	73	50	89	76
gene-SynWH7803_0077	CT971583.1	78916	79692	+	777	196	1129	520	438	361	534	1695
gene-SynWH7803_0078	CT971583.1	79755	80141	+	387	70	415	132	168	103	184	519
gene-SynWH7803_0079	CT971583.1	80134	80676	+	543	42	133	47	69	66	81	166
gene-SynWH7803_0080	CT971583.1	80713	82749	+	2037	188	225	187	292	292	280	410
gene-SynWH7803_0081	CT971583.1	82767	84569	-	1803	105	224	189	218	173	169	447
gene-SynWH7803_0082	CT971583.1	84625	85605	-	981	37	37	37	44	45	40	71
gene-SynWH7803_0083	CT971583.1	85674	86309	+	636	32	64	30	54	55	75	82
gene-SynWH7803_0084	CT971583.1	86294	89026	-	2733	165	209	150	270	240	273	355
gene-SynWH7803_0085	CT971583.1	89122	90003	-	882	150	291	296	1027	373	829	485
gene-SynWH7803_0086	CT971583.1	90026	90940	-	915	81	91	92	143	118	167	231
gene-SynWH7803_0087	CT971583.1	91067	91255	+	189	177	605	356	471	375	398	1074
gene-SynWH7803_0088	CT971583.1	91288	91773	+	486	280	946	660	869	598	823	1633
gene-SynWH7803_0089	CT971583.1	91897	93081	+	1185	188	596	726	1395	764	1045	415
gene-SynWH7803_0090	CT971583.1	93071	93910	-	840	190	604	716	1854	976	989	441
gene-SynWH7803_0091	CT971583.1	93911	94438	-	528	197	587	813	2525	850	1448	539
gene-SynWH7803_0092	CT971583.1	94448	95503	-	1056	318	648	976	3602	1231	2142	817
gene-SynWH7803_0093	CT971583.1	95561	96175	-	615	195	604	620	2620	1034	1102	414
gene-SynWH7803_0094	CT971583.1	96399	97148	-	750	212	667	607	2214	899	1108	332
gene-SynWH7803_0095	CT971583.1	97155	98078	-	924	420	1467	1537	5825	2322	2826	898
gene-SynWH7803_0096	CT971583.1	98537	99292	-	756	160	578	560	1563	722	743	391
gene-SynWH7803_0097	CT971583.1	100017	100739	-	723	191	709	680	1509	764	841	384
gene-RNA_2	CT971583.1	100928	100999	+	72	51	65	69	86	93	96	102
gene-SynWH7803_0098	CT971583.1	101009	101464	-	456	72	135	131	194	149	198	206
gene-SynWH7803_0099	CT971583.1	101493	102401	-	909	51	30	28	74	70	66	101
gene-SynWH7803_0100	CT971583.1	102513	102677	+	165	16	16	18	22	28	25	27
gene-SynWH7803_0101	CT971583.1	102623	102820	+	198	24	19	21	30	48	43	33
gene-SynWH7803_0102	CT971583.1	102879	103820	+	942	104	159	114	162	175	158	301
gene-SynWH7803_0103	CT971583.1	103810	104427	+	618	71	100	70	115	103	100	170
gene-SynWH7803_0104	CT971583.1	104424	105311	+	888	82	127	95	142	106	125	240
gene-SynWH7803_0105	CT971583.1	105304	106653	+	1350	106	185	129	186	146	149	328
gene-SynWH7803_0106	CT971583.1	106766	108073	+	1308	469	1221	868	2768	768	1886	2381
gene-SynWH7803_0107	CT971583.1	108146	109177	+	1032	150	380	326	774	304	621	660
gene-SynWH7803_0108	CT971583.1	109338	109940	+	603	104	251	281	791	325	505	244
gene-SynWH7803_0109	CT971583.1	110048	111349	-	1302	149	181	227	650	282	452	260
gene-SynWH7803_0110	CT971583.1	111312	111599	-	288	60	62	85	194	76	177	153
gene-SynWH7803_0111	CT971583.1	111813	117053	-	5241	398	193	312	575	567	628	414
gene-SynWH7803_0112	CT971583.1	117737	118072	-	336	52	48	82	208	123	188	98
gene-SynWH7803_0113	CT971583.1	118383	119414	-	1032	103	199	179	329	222	302	513
gene-SynWH7803_0114	CT971583.1	119419	120510	-	1092	148	389	196	216	258	258	993
gene-SynWH7803_0115	CT971583.1	120544	121770	-	1227	88	117	86	180	168	144	254
gene-SynWH7803_0116	CT971583.1	121767	122984	-	1218	179	230	206	456	269	396	554
gene-SynWH7803_0117	CT971583.1	123150	123923	+	774	104	188	203	316	208	292	436
gene-SynWH7803_0118	CT971583.1	123916	124854	+	939	67	141	125	190	168	157	295
gene-SynWH7803_0119	CT971583.1	124866	126068	+	1203	179	333	286	474	342	433	643
gene-SynWH7803_0120	CT971583.1	126335	127276	+	942	244	1206	679	950	610	1033	2118
gene-SynWH7803_0121	CT971583.1	127295	128512	+	1218	279	571	481	1088	520	936	1021
gene-SynWH7803_0122	CT971583.1	128570	130174	+	1605	6567	19208	18339	54959	18384	41842	65052
gene-SynWH7803_0123	CT971583.1	129916	133428	+	3513	5390	12025	12713	43634	13556	33427	38104
gene-SynWH7803_0124	CT971583.1	133554	135644	+	2091	148	99	108	269	253	219	253
gene-SynWH7803_0125	CT971583.1	135608	137773	-	2166	402	829	703	1797	821	1677	1815
gene-SynWH7803_0126	CT971583.1	137775	139523	+	1749	284	726	436	832	522	702	1428
gene-SynWH7803_0127	CT971583.1	139590	140270	+	681	196	549	410	885	466	808	1076
gene-SynWH7803_0128	CT971583.1	140267	143281	+	3015	854	2706	2359	5155	2274	4459	5466
gene-SynWH7803_0129	CT971583.1	143379	144530	+	1152	587	1877	2144	4884	2096	4060	2649
gene-SynWH7803_0130	CT971583.1	144555	145688	-	1134	311	808	833	1782	810	1461	1368
gene-SynWH7803_0131	CT971583.1	145757	146884	+	1128	135	195	240	568	240	421	524
gene-SynWH7803_0132	CT971583.1	146894	147757	-	864	156	229	225	594	286	571	495
gene-SynWH7803_0133	CT971583.1	147760	149190	-	1431	191	197	200	459	322	414	589
gene-SynWH7803_0134	CT971583.1	149622	150779	+	1158	190	249	246	452	294	357	545
gene-SynWH7803_0135	CT971583.1	150932	152077	+	1146	81	46	51	122	92	102	135
gene-SynWH7803_0136	CT971583.1	152145	152888	+	744	97	139	96	201	143	126	268
gene-SynWH7803_0137	CT971583.1	152888	153712	+	825	94	98	105	225	154	204	233
gene-SynWH7803_0138	CT971583.1	153712	154812	+	1101	86	93	84	148	137	137	206
gene-SynWH7803_0139	CT971583.1	154785	156380	-	1596	180	283	290	479	324	523	880
gene-SynWH7803_0140	CT971583.1	156377	157357	-	981	111	175	200	339	240	354	439
gene-SynWH7803_0141	CT971583.1	157511	160378	+	2868	454	1112	586	792	679	863	2238
gene-SynWH7803_0142	CT971583.1	160398	161141	-	744	62	187	111	185	117	143	271
gene-SynWH7803_0143	CT971583.1	161197	162186	-	990	114	231	102	425	191	235	532
gene-SynWH7803_0144	CT971583.1	162266	163072	+	807	74	167	90	254	151	185	305
gene-SynWH7803_0145	CT971583.1	163069	163731	-	663	392	830	642	1560	653	1379	1900
gene-SynWH7803_0146	CT971583.1	163789	164721	-	933	69	135	65	104	105	103	233
gene-SynWH7803_0147	CT971583.1	164838	166805	+	1968	317	877	594	1286	673	1076	1871
gene-SynWH7803_0148	CT971583.1	166805	167143	+	339	42	160	86	143	74	109	286
gene-SynWH7803_0149	CT971583.1	167136	167537	+	402	55	138	73	117	69	99	209
gene-SynWH7803_0150	CT971583.1	167530	167946	+	417	62	194	95	157	77	143	326
gene-SynWH7803_0151	CT971583.1	167912	168391	-	480	70	256	137	178	115	163	486
gene-SynWH7803_0152	CT971583.1	168466	169890	+	1425	103	148	90	177	139	201	369
gene-SynWH7803_0153	CT971583.1	169943	171010	+	1068	145	157	142	213	197	204	400
gene-SynWH7803_0154	CT971583.1	171026	172009	-	984	121	139	98	247	176	220	252
gene-SynWH7803_0155	CT971583.1	172006	172956	-	951	103	136	101	252	173	205	241
gene-SynWH7803_0156	CT971583.1	172946	176236	-	3291	442	919	595	1566	840	1402	2104
gene-SynWH7803_0157	CT971583.1	176244	177362	-	1119	225	332	270	974	402	791	885
gene-SynWH7803_0158	CT971583.1	177480	177794	-	315	65	26	41	59	71	69	68
gene-SynWH7803_0159	CT971583.1	177810	178037	+	228	50	59	58	58	55	57	106
gene-SynWH7803_0160	CT971583.1	178044	178568	-	525	32	69	58	117	65	104	119
gene-SynWH7803_0161	CT971583.1	178784	179317	-	534	37	40	36	53	68	71	67
gene-SynWH7803_0162	CT971583.1	179378	180496	+	1119	58	95	69	114	95	97	194
gene-SynWH7803_0163	CT971583.1	180496	181623	+	1128	91	101	84	110	104	109	213
gene-SynWH7803_0164	CT971583.1	181607	183190	-	1584	103	156	140	275	204	264	283
gene-SynWH7803_0165	CT971583.1	183384	184412	+	1029	45	52	44	80	53	72	158
gene-SynWH7803_0166	CT971583.1	184415	185920	+	1506	80	89	75	150	136	148	226
gene-SynWH7803_0167	CT971583.1	185901	186848	-	948	60	63	40	74	103	76	111
gene-SynWH7803_0168	CT971583.1	186861	187322	-	462	65	48	34	66	82	62	98
gene-SynWH7803_0169	CT971583.1	187422	188852	+	1431	186	1100	681	538	484	607	2190
gene-SynWH7803_0170	CT971583.1	188913	189572	+	660	112	407	312	255	201	281	738
gene-SynWH7803_0171	CT971583.1	189581	189979	-	399	79	267	203	243	160	261	552
gene-SynWH7803_0172	CT971583.1	190132	191184	+	1053	145	354	188	516	247	343	780
gene-SynWH7803_0173	CT971583.1	191190	191939	+	750	48	97	67	115	65	90	156
gene-SynWH7803_0174	CT971583.1	191973	192446	+	474	54	57	43	71	79	48	100
gene-SynWH7803_0175	CT971583.1	192443	193756	+	1314	83	132	82	189	166	177	283
gene-SynWH7803_0176	CT971583.1	193868	194677	+	810	210	719	541	690	437	649	1140
gene-SynWH7803_0177	CT971583.1	194732	196201	+	1470	144	400	264	261	262	318	716
gene-SynWH7803_0178	CT971583.1	196281	196544	+	264	134	798	348	319	234	349	1539
gene-SynWH7803_0179	CT971583.1	196577	197062	-	486	164	601	280	310	218	275	1076
gene-SynWH7803_0180	CT971583.1	197062	197310	-	249	88	154	105	140	103	141	433
gene-SynWH7803_0181	CT971583.1	197337	198308	-	972	39	67	58	62	57	73	114
gene-SynWH7803_0182	CT971583.1	198305	199516	-	1212	98	83	70	79	101	98	171
gene-SynWH7803_0183	CT971583.1	199547	201634	+	2088	153	325	178	315	261	283	569
gene-SynWH7803_0184	CT971583.1	201653	202150	-	498	77	74	52	87	92	112	135
gene-SynWH7803_0185	CT971583.1	202215	203312	+	1098	103	219	130	296	158	263	418
gene-SynWH7803_0186	CT971583.1	203309	204109	+	801	90	158	68	160	103	167	252
gene-SynWH7803_0187	CT971583.1	204106	205278	+	1173	148	180	113	167	146	199	263
gene-SynWH7803_0188	CT971583.1	205275	205505	+	231	43	48	29	51	61	50	98
gene-SynWH7803_0189	CT971583.1	205510	206136	+	627	64	98	61	103	85	101	212
gene-SynWH7803_0190	CT971583.1	206326	207729	+	1404	364	1593	940	1218	752	1362	6065
gene-SynWH7803_0191	CT971583.1	207756	209747	-	1992	308	662	622	1419	749	1203	1875
gene-SynWH7803_0192	CT971583.1	209752	210693	-	942	163	268	250	531	326	392	828
gene-SynWH7803_0193	CT971583.1	210700	211392	-	693	126	184	229	553	277	358	488
gene-SynWH7803_0194	CT971583.1	211392	211715	-	324	65	130	154	369	178	224	281
gene-SynWH7803_0195	CT971583.1	211894	213903	-	2010	556	3261	1703	2056	1433	1819	8450
gene-SynWH7803_0196	CT971583.1	213954	215201	-	1248	504	3118	1652	1703	1393	1298	8146
gene-SynWH7803_0197	CT971583.1	215213	215455	-	243	358	1607	938	1175	794	877	4276
gene-SynWH7803_0198	CT971583.1	215607	215852	+	246	721	2362	1165	3235	1370	2478	6061
gene-SynWH7803_0199	CT971583.1	215935	217821	+	1887	207	459	256	462	311	416	957
gene-SynWH7803_0200	CT971583.1	217808	219274	-	1467	161	421	233	311	249	340	979
gene-SynWH7803_0201	CT971583.1	219353	219880	-	528	39	69	62	59	69	74	127
gene-SynWH7803_0202	CT971583.1	219949	220131	+	183	44	150	81	129	58	137	342
gene-SynWH7803_0203	CT971583.1	220137	220958	+	822	94	236	128	172	104	162	526
gene-SynWH7803_0204	CT971583.1	220955	221677	-	723	63	85	64	70	73	96	228
gene-RNA_3	CT971583.1	221709	222102	-	394	38762	50438	30790	36964	22312	34340	95299
gene-RNA_4	CT971583.1	222125	222198	+	74	26	20	27	58	47	36	54
gene-SynWH7803_0205	CT971583.1	222294	222647	+	354	139	383	210	705	236	486	707
gene-SynWH7803_0206	CT971583.1	222685	223140	+	456	404	1631	889	1219	635	1215	3667
gene-SynWH7803_0207	CT971583.1	223123	224181	-	1059	161	604	345	437	273	427	1450
gene-SynWH7803_0208	CT971583.1	224192	226714	-	2523	240	572	280	733	394	652	1625
gene-SynWH7803_0209	CT971583.1	226771	229206	-	2436	266	480	228	628	378	539	1231
gene-SynWH7803_0210	CT971583.1	229381	230775	+	1395	144	499	293	389	269	306	916
gene-SynWH7803_0211	CT971583.1	230772	231077	-	306	42	102	90	107	63	72	154
gene-SynWH7803_0212	CT971583.1	231148	232080	+	933	53	118	110	107	84	81	278
gene-SynWH7803_0213	CT971583.1	232111	232974	+	864	96	241	103	227	134	231	543
gene-SynWH7803_0214	CT971583.1	232982	234187	-	1206	67	115	69	91	108	121	223
gene-SynWH7803_0215	CT971583.1	234237	235655	+	1419	97	87	96	135	161	147	188
gene-SynWH7803_0216	CT971583.1	235638	236978	-	1341	91	272	130	189	158	152	400
gene-SynWH7803_0217	CT971583.1	237012	238436	-	1425	146	576	347	275	270	324	1015
gene-SynWH7803_0218	CT971583.1	238528	239484	+	957	94	126	113	187	179	171	347
gene-SynWH7803_0219	CT971583.1	239453	240757	-	1305	106	172	118	186	142	181	322
gene-SynWH7803_0220	CT971583.1	240820	241281	+	462	56	95	67	183	108	199	208
gene-SynWH7803_0221	CT971583.1	241357	242070	+	714	833	3009	1680	2932	1838	2349	8304
gene-SynWH7803_0222	CT971583.1	242067	243134	+	1068	232	737	394	958	455	775	1761
gene-SynWH7803_0223	CT971583.1	243214	245037	+	1824	302	763	1067	999	685	1279	1072
gene-SynWH7803_0224	CT971583.1	245030	247255	+	2226	201	335	416	489	337	466	404
gene-SynWH7803_0225	CT971583.1	247255	248403	+	1149	88	152	146	155	145	156	189
gene-SynWH7803_0226	CT971583.1	248396	249679	+	1284	86	167	101	134	164	151	240
gene-SynWH7803_0227	CT971583.1	249676	250824	+	1149	111	111	80	125	148	112	232
gene-SynWH7803_0228	CT971583.1	250821	251687	+	867	88	107	95	113	105	135	190
gene-SynWH7803_0229	CT971583.1	251654	253495	-	1842	163	292	252	367	278	365	799
gene-SynWH7803_0230	CT971583.1	253508	255118	-	1611	82	134	93	154	145	149	303
gene-SynWH7803_0231	CT971583.1	255118	255969	-	852	64	123	101	110	125	128	346
gene-SynWH7803_0232	CT971583.1	256046	256762	+	717	49	127	95	137	124	119	245
gene-SynWH7803_0233	CT971583.1	256768	257580	+	813	62	76	75	84	103	94	160
gene-SynWH7803_0234	CT971583.1	257583	258830	+	1248	62	75	86	99	112	137	130
gene-SynWH7803_0235	CT971583.1	258827	260320	+	1494	68	103	84	113	116	116	168
gene-SynWH7803_0236	CT971583.1	260244	261098	-	855	51	78	76	97	100	96	115
gene-SynWH7803_0237	CT971583.1	261091	261654	-	564	42	69	63	56	48	67	131
gene-SynWH7803_0238	CT971583.1	261654	262676	-	1023	65	98	80	73	79	90	180
gene-SynWH7803_0239	CT971583.1	262742	263947	+	1206	84	195	136	180	157	164	407
gene-SynWH7803_0240	CT971583.1	263944	266331	+	2388	200	244	218	302	308	341	563
gene-SynWH7803_0241	CT971583.1	266336	268489	-	2154	122	140	114	222	210	200	332
gene-SynWH7803_0242	CT971583.1	268486	269562	-	1077	120	178	151	223	140	202	511
gene-SynWH7803_0243	CT971583.1	269636	270961	+	1326	110	238	163	207	178	185	357
gene-SynWH7803_0244	CT971583.1	270997	272439	+	1443	193	395	240	492	302	361	796
gene-SynWH7803_0245	CT971583.1	272436	273467	+	1032	109	218	161	274	195	235	468
gene-SynWH7803_0246	CT971583.1	273520	273720	-	201	271	2221	869	1099	685	1055	3911
gene-SynWH7803_0247	CT971583.1	273732	273851	-	120	270	2675	964	1067	790	979	5148
gene-SynWH7803_0248	CT971583.1	273870	274007	-	138	277	2851	967	1059	817	856	5580
gene-SynWH7803_0249	CT971583.1	274017	274265	-	249	306	2602	882	1069	764	974	5179
gene-SynWH7803_0250	CT971583.1	274353	275372	-	1020	224	892	448	650	368	595	2065
gene-SynWH7803_0251	CT971583.1	275395	275823	-	429	140	493	228	394	229	314	1070
gene-SynWH7803_0252	CT971583.1	275924	276286	+	363	154	565	327	429	315	427	1281
gene-SynWH7803_0253	CT971583.1	276318	277064	+	747	269	940	503	727	489	855	2278
gene-SynWH7803_0254	CT971583.1	277061	277609	+	549	145	466	336	502	328	498	1218
gene-SynWH7803_0255	CT971583.1	277603	278955	-	1353	170	472	340	682	317	584	1038
gene-SynWH7803_0256	CT971583.1	279150	279959	+	810	76	149	104	184	112	197	299
gene-SynWH7803_0257	CT971583.1	279963	280895	+	933	132	236	191	413	235	312	475
gene-SynWH7803_0258	CT971583.1	280903	283089	-	2187	203	355	251	338	274	311	643
gene-SynWH7803_0259	CT971583.1	283093	283602	+	510	26	25	24	45	34	38	24
gene-SynWH7803_0260	CT971583.1	283604	285352	-	1749	96	114	85	109	143	116	209
gene-SynWH7803_0261	CT971583.1	285419	285979	+	561	32	86	71	68	94	66	184
gene-SynWH7803_0262	CT971583.1	285994	287472	+	1479	74	183	112	183	168	158	356
gene-SynWH7803_0263	CT971583.1	287488	288711	-	1224	153	273	195	347	226	323	679
gene-SynWH7803_0264	CT971583.1	288722	289354	-	633	64	85	81	85	62	85	231
gene-SynWH7803_0265	CT971583.1	289421	289951	+	531	58	71	64	132	73	107	178
gene-SynWH7803_0266	CT971583.1	289948	290376	-	429	35	57	36	65	54	59	108
gene-SynWH7803_0267	CT971583.1	290404	291426	-	1023	85	55	83	107	97	97	151
gene-SynWH7803_0268	CT971583.1	291450	292232	+	783	148	437	269	292	205	253	946
gene-SynWH7803_0269	CT971583.1	292273	292881	+	609	99	435	234	259	165	296	980
gene-SynWH7803_0270	CT971583.1	292937	294424	+	1488	133	254	168	207	231	241	480
gene-SynWH7803_0271	CT971583.1	294531	295235	+	705	137	268	266	155	128	160	371
gene-SynWH7803_0272	CT971583.1	295293	296525	+	1233	83	131	128	149	126	148	232
gene-SynWH7803_0273	CT971583.1	296452	298032	-	1581	202	362	211	433	298	334	617
gene-SynWH7803_0274	CT971583.1	298068	299240	-	1173	183	341	202	442	277	353	689
gene-SynWH7803_0275	CT971583.1	299252	300307	-	1056	144	394	265	313	261	319	1185
gene-SynWH7803_0276	CT971583.1	300307	301344	-	1038	274	950	590	630	462	691	2874
gene-SynWH7803_0277	CT971583.1	301421	302014	-	594	55	116	76	110	83	103	246
gene-SynWH7803_0278	CT971583.1	302011	303474	-	1464	100	253	189	173	157	206	524
gene-SynWH7803_0279	CT971583.1	303527	305005	+	1479	100	145	86	150	161	178	269
gene-SynWH7803_0280	CT971583.1	305002	305874	-	873	89	98	87	138	115	112	216
gene-SynWH7803_0281	CT971583.1	305871	306452	-	582	58	85	48	71	78	57	182
gene-SynWH7803_0282	CT971583.1	306451	307032	+	582	110	337	143	333	176	211	511
gene-RNA_5	CT971583.1	307045	307117	+	73	23	157	54	125	52	66	207
gene-SynWH7803_0283	CT971583.1	307131	308438	+	1308	93	335	145	264	145	193	603
gene-SynWH7803_0284	CT971583.1	308499	309503	+	1005	132	265	172	317	228	302	748
gene-SynWH7803_0285	CT971583.1	309529	312717	-	3189	267	479	371	469	415	499	1258
gene-SynWH7803_0286	CT971583.1	312767	313513	+	747	149	843	402	472	231	418	1714
gene-SynWH7803_0287	CT971583.1	313519	313662	-	144	80	663	302	374	154	286	1317
gene-SynWH7803_0288	CT971583.1	313694	314818	-	1125	112	140	117	134	165	191	375
gene-SynWH7803_0289	CT971583.1	315002	315655	+	654	53	114	92	93	94	79	283
gene-SynWH7803_0290	CT971583.1	315603	316748	-	1146	103	165	178	362	192	253	320
