# Program:featureCounts v2.0.1; Command:"featureCounts" "-p" "-M" "-O" "--primary" "-a" "dualGenome.gff3" "-t" "gene" "-o" "countData.tsv" "-g" "ID" "SRR8782499_sorted.bam" "SRR8782500_sorted.bam" "SRR8782496_sorted.bam" "SRR8782494_sorted.bam" "SRR8782492_sorted.bam" "SRR8782497_sorted.bam" "SRR8782493_sorted.bam" "SRR8782490_sorted.bam" "SRR8782498_sorted.bam" "SRR8782495_sorted.bam" "SRR8782501_sorted.bam" "SRR8782491_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR8782499_sorted.bam	SRR8782500_sorted.bam	SRR8782496_sorted.bam	SRR8782494_sorted.bam	SRR8782492_sorted.bam	SRR8782497_sorted.bam	SRR8782493_sorted.bam	SRR8782490_sorted.bam	SRR8782498_sorted.bam	SRR8782495_sorted.bam	SRR8782501_sorted.bam	SRR8782491_sorted.bam
gene-PA0015	NC_002516.2	16900	17217	-	318	293	393	188	719	464	418	254	267	339	397	361	583
gene-PA0016	NC_002516.2	17366	18739	-	1374	1117	1505	1023	3276	1095	2302	1128	668	1503	1938	1779	1543
gene-PA0017	NC_002516.2	18767	20071	-	1305	995	1146	916	2869	1084	2021	1346	595	1484	1976	1674	1148
gene-PA0018	NC_002516.2	20068	21012	-	945	692	777	610	1887	1025	1270	822	492	1236	1386	1411	960
gene-PA0019	NC_002516.2	21067	21573	-	507	1704	2193	1229	3833	3442	2245	1643	1938	1788	2286	2284	4209
gene-PA0020	NC_002516.2	21712	22737	+	1026	1921	3420	1458	4067	1824	3365	1029	2214	4069	1693	3929	3297
gene-PA0021	NC_002516.2	22872	23960	+	1089	29	67	35	91	121	84	49	89	50	39	70	136
gene-PA0022	NC_002516.2	24001	24558	+	558	627	719	412	1248	776	832	465	586	647	810	798	949
gene-PA0023	NC_002516.2	24568	25545	-	978	304	548	264	778	940	429	265	653	626	509	449	1227
gene-PA0024	NC_002516.2	25736	26653	+	918	2660	2926	1234	2365	3409	1296	1029	1463	1650	1745	1905	1572
gene-PA0025	NC_002516.2	26711	27535	+	825	1184	1248	510	1293	1774	775	597	891	953	984	1054	1074
gene-PA0026	NC_002516.2	27646	28632	+	987	276	539	185	587	727	483	196	475	571	195	394	1199
gene-PA0027	NC_002516.2	28613	29899	+	1287	162	370	135	484	450	455	253	395	291	203	290	1027
gene-PA0028	NC_002516.2	29896	30498	+	603	64	146	72	232	207	199	115	201	65	87	117	433
gene-PA0029	NC_002516.2	30502	32055	-	1554	56	106	71	217	187	146	117	169	74	74	82	386
gene-PA0030	NC_002516.2	32060	32983	-	924	29	47	28	88	93	41	51	54	48	33	51	178
gene-PA0031	NC_002516.2	33000	34511	-	1512	101	126	77	211	247	125	87	145	146	106	127	381
gene-PA0032	NC_002516.2	34624	35538	+	915	80	157	69	320	375	142	90	200	233	137	164	457
gene-PA0032a	NC_002516.2	35549	35926	+	378	115	176	92	388	448	172	142	267	198	165	187	666
gene-PA0033	NC_002516.2	35905	36270	-	366	85	142	59	292	345	136	120	171	156	114	165	523
gene-PA0034	NC_002516.2	36278	36901	-	624	76	100	46	253	171	122	102	132	113	98	126	304
gene-PA0035	NC_002516.2	37087	37893	-	807	233	289	129	362	545	228	115	338	324	177	419	904
gene-PA0036	NC_002516.2	37890	39098	-	1209	378	589	211	598	763	306	169	463	656	301	726	1220
gene-PA0037	NC_002516.2	39202	40089	+	888	254	190	129	247	238	131	128	211	347	140	354	380
gene-PA0038	NC_002516.2	40190	40405	+	216	282	371	199	946	1346	390	330	445	327	375	372	1408
gene-PA0039	NC_002516.2	40589	40816	+	228	768	955	274	1767	3274	875	609	852	888	1204	1025	2146
gene-PA0040	NC_002516.2	41113	42801	+	1689	548	821	536	829	517	672	451	505	1017	903	1422	581
gene-PA0041	NC_002516.2	42914	53521	+	10608	1734	1696	1403	1242	2001	913	1336	1704	2083	1124	3553	1768
gene-PA0041a	NC_002516.2	54121	54822	+	702	66	59	40	56	513	45	113	157	45	21	69	337
gene-PA0042	NC_002516.2	56546	56941	+	396	155	171	127	395	273	179	278	204	170	208	197	250
gene-PA0043	NC_002516.2	57212	58594	-	1383	119	194	107	272	323	156	145	194	200	187	179	419
gene-PA0044	NC_002516.2	58786	60159	+	1374	180	303	134	367	697	237	205	320	649	626	608	597
gene-PA0045	NC_002516.2	60656	61342	+	687	1403	2161	1785	1744	441	1689	705	411	2578	2475	5295	399
gene-PA0046	NC_002516.2	61373	61726	+	354	975	1437	1130	963	236	901	390	270	1644	1372	3146	241
gene-PA0047	NC_002516.2	61879	62388	+	510	716	1094	642	569	231	560	206	234	1224	929	2206	257
gene-PA0048	NC_002516.2	62403	62786	-	384	285	426	316	220	137	216	78	106	508	368	891	168
gene-PA0049	NC_002516.2	63068	64729	-	1662	170	202	155	124	69	95	57	106	127	113	407	158
gene-PA0050	NC_002516.2	65339	65479	+	141	127	75	107	93	137	60	202	257	87	101	74	132
gene-PA0051	NC_002516.2	66303	68135	+	1833	31	46	31	92	62	65	40	56	43	57	65	86
gene-PA0052	NC_002516.2	68188	68616	-	429	19	23	19	34	65	29	25	32	16	26	23	94
gene-PA0054	NC_002516.2	69543	70091	-	549	312	394	281	676	542	488	440	431	464	357	467	753
gene-PA0055	NC_002516.2	70130	70636	-	507	338	417	259	806	467	480	367	414	486	365	470	669
gene-PA0056	NC_002516.2	70702	71622	-	921	107	114	72	195	85	117	98	105	116	71	132	231
gene-PA0057	NC_002516.2	71730	72617	+	888	51	54	49	147	58	78	65	60	52	52	45	97
gene-PA0058	NC_002516.2	72680	73384	+	705	31	47	27	99	67	52	48	37	35	37	40	98
gene-PA0059	NC_002516.2	73468	73923	+	456	54	67	50	314	463	114	113	160	74	86	116	432
gene-PA0060	NC_002516.2	74034	74267	+	234	165	219	138	465	556	254	138	240	245	201	297	524
gene-PA0061	NC_002516.2	74279	74716	-	438	194	278	148	585	916	243	187	308	276	224	311	870
gene-PA0062	NC_002516.2	74773	75189	-	417	118	113	81	404	263	112	140	210	103	132	221	249
gene-PA0063	NC_002516.2	75281	76408	+	1128	303	463	239	782	893	493	328	447	700	473	583	864
gene-PA0064	NC_002516.2	76416	77399	-	984	396	547	239	679	562	461	281	618	601	583	749	753
gene-PA0065	NC_002516.2	77432	78097	-	666	317	522	284	686	505	380	240	489	438	498	594	735
gene-PA0066	NC_002516.2	78090	78632	-	543	304	442	222	615	451	349	199	421	411	417	469	645
gene-PA0067	NC_002516.2	78710	80755	+	2046	1753	3187	1137	4058	4401	4525	1399	3020	8446	2494	3272	7718
gene-PA0068	NC_002516.2	80752	81027	+	276	327	615	214	755	932	1225	347	653	892	623	757	1931
gene-PA0069	NC_002516.2	81116	82174	+	1059	249	322	223	386	489	601	250	267	522	500	740	477
gene-PA0070	NC_002516.2	82404	83318	-	915	2637	3246	2495	2330	5557	1843	2335	3604	5296	4755	8064	2043
gene-PA0071	NC_002516.2	83380	85092	-	1713	1275	1629	1197	1660	2242	1239	1077	1516	1805	2330	3124	1218
gene-PA0072	NC_002516.2	85085	86284	-	1200	130	117	121	140	280	113	163	185	156	223	255	121
gene-PA0073	NC_002516.2	86284	87003	-	720	125	111	108	121	321	78	156	191	163	225	282	150
gene-PA0074	NC_002516.2	87000	90098	-	3099	562	521	518	582	1113	375	603	763	673	716	1329	545
gene-PA0075	NC_002516.2	90106	90834	-	729	158	156	135	157	327	98	210	172	254	166	441	139
gene-PA0076	NC_002516.2	90844	91524	-	681	146	150	127	182	349	124	156	185	245	159	414	163
gene-PA0077	NC_002516.2	91521	94826	-	3306	665	840	647	637	1129	467	652	860	1450	968	1740	657
gene-PA0078	NC_002516.2	95048	96397	-	1350	376	476	358	368	402	264	307	371	765	453	989	283
gene-PA0079	NC_002516.2	96404	97738	-	1335	458	615	428	423	559	377	374	473	997	730	1319	462
gene-PA0080	NC_002516.2	97754	98218	-	465	270	364	267	208	296	201	168	287	478	512	825	224
gene-PA0081	NC_002516.2	98263	99756	-	1494	754	951	603	869	1623	603	489	892	1055	1149	1613	1622
gene-PA0082	NC_002516.2	100124	101158	+	1035	729	1236	619	970	1424	665	451	761	1801	2092	2831	954
gene-PA0083	NC_002516.2	101247	101765	+	519	573	1027	571	393	858	455	455	921	1642	1178	2264	330
gene-PA0084	NC_002516.2	101778	103274	+	1497	1350	1929	1277	874	2357	942	1266	2008	3695	1986	4502	811
gene-PA0085	NC_002516.2	103350	103838	+	489	957	1082	896	574	2943	508	1211	2029	2405	1299	3219	714
gene-PA0086	NC_002516.2	104006	104851	+	846	374	446	330	322	652	247	500	405	920	427	1233	289
gene-PA0087	NC_002516.2	104853	105362	+	510	179	225	163	132	244	108	247	184	449	210	643	131
gene-PA0088	NC_002516.2	105359	107218	+	1860	329	417	325	267	489	153	425	351	837	335	1118	252
gene-PA0089	NC_002516.2	107182	108228	+	1047	197	196	134	113	279	81	200	189	422	222	610	127
gene-PA0090	NC_002516.2	108221	110929	+	2709	612	534	520	359	1448	321	637	866	897	873	2086	701
gene-PA0091	NC_002516.2	110976	112907	+	1932	493	412	380	386	873	292	513	592	530	503	1049	371
gene-PA0092	NC_002516.2	113022	113306	-	285	281	360	277	436	299	341	272	355	379	402	589	208
gene-PA0093	NC_002516.2	113303	114595	-	1293	402	584	406	517	390	444	308	475	678	631	1064	338
gene-PA0094	NC_002516.2	114611	115045	-	435	259	383	227	321	269	241	142	251	400	428	744	170
gene-PA0095	NC_002516.2	115299	117524	+	2226	580	968	468	618	1277	490	419	857	1195	757	1512	1539
gene-PA0096	NC_002516.2	117552	118001	+	450	98	142	81	75	202	82	101	106	162	124	254	182
gene-PA0097	NC_002516.2	117931	119130	+	1200	124	177	109	166	249	131	158	159	233	145	395	236
gene-PA0098	NC_002516.2	119127	120164	+	1038	106	132	89	147	179	83	117	95	191	92	302	168
gene-PA0099	NC_002516.2	120164	121324	+	1161	158	199	137	287	363	163	218	196	295	187	498	296
gene-PA0100	NC_002516.2	121346	122266	+	921	231	370	220	678	674	332	315	487	409	380	684	803
gene-PA0101	NC_002516.2	122248	123495	+	1248	148	200	133	398	403	214	203	250	232	274	414	457
gene-PA0102	NC_002516.2	123871	124599	+	729	476	582	257	987	1247	525	320	443	603	648	690	1353
gene-PA0103	NC_002516.2	124810	126381	+	1572	135	137	103	323	145	188	109	160	142	190	200	177
gene-PA0103a	NC_002516.2	126368	127006	-	639	226	246	170	496	275	287	183	266	236	258	345	293
gene-PA0105	NC_002516.2	127378	128502	+	1125	167	352	107	341	207	219	126	212	148	144	163	616
gene-PA0106	NC_002516.2	128512	130104	+	1593	87	101	44	152	201	81	67	123	73	55	70	388
gene-PA0107	NC_002516.2	130115	130669	+	555	17	26	14	47	50	14	16	29	16	13	18	110
gene-PA0108	NC_002516.2	130680	131567	+	888	79	114	52	145	331	52	60	164	61	53	52	642
gene-PA0109	NC_002516.2	131583	131792	-	210	76	106	36	110	271	38	30	140	41	30	27	366
gene-PA0110	NC_002516.2	131808	132602	+	795	15	26	13	58	42	25	17	26	12	19	19	66
gene-PA0111	NC_002516.2	132577	133155	+	579	10	21	6	41	16	12	16	18	6	11	12	44
gene-PA0112	NC_002516.2	133220	134293	+	1074	36	34	19	79	60	54	36	59	25	25	38	108
gene-PA0113	NC_002516.2	134319	135233	+	915	134	126	90	178	514	115	142	184	122	122	123	324
gene-PA0114	NC_002516.2	135259	135894	+	636	483	412	388	711	2105	420	804	1206	475	565	493	866
gene-PA0115	NC_002516.2	135934	136386	-	453	220	285	217	475	739	299	440	473	358	366	339	372
gene-PA0116	NC_002516.2	136518	136991	+	474	232	294	140	399	462	236	232	374	271	287	323	588
gene-PA0117	NC_002516.2	137248	137976	+	729	60	40	26	83	108	52	40	68	99	84	120	170
gene-PA0118	NC_002516.2	138001	138588	+	588	34	27	23	94	166	46	31	45	76	83	108	197
gene-PA0119	NC_002516.2	138818	140167	+	1350	76	116	57	100	870	64	71	144	221	98	192	620
gene-PA0120	NC_002516.2	140216	140902	+	687	29	62	24	123	501	53	60	84	79	42	54	572
gene-PA0121	NC_002516.2	141003	141737	+	735	47	58	34	224	436	88	102	92	58	68	78	810
gene-PA0122	NC_002516.2	141917	142327	+	411	188	207	141	360	367	166	251	486	158	132	189	905
gene-PA0123	NC_002516.2	142359	143267	-	909	351	202	175	560	253	242	317	324	290	170	539	1237
gene-PA0124	NC_002516.2	143567	143848	-	282	429	224	198	372	191	175	262	249	476	249	530	921
gene-PA0125	NC_002516.2	143845	144072	-	228	358	187	141	280	155	141	213	202	392	188	451	706
gene-PA0126	NC_002516.2	144248	144868	-	621	501	466	388	478	373	334	313	496	636	560	889	205
gene-PA0127	NC_002516.2	144969	145469	+	501	113	225	107	383	355	217	149	173	237	229	181	413
gene-PA0128	NC_002516.2	145542	145883	+	342	816	941	586	2623	1291	1344	1200	722	779	1654	958	751
gene-PA0129	NC_002516.2	145965	147392	-	1428	318	374	346	890	477	702	573	351	302	526	341	631
gene-PA0130	NC_002516.2	147561	149054	-	1494	257	502	207	1010	612	533	245	416	398	496	527	1096
gene-PA0131	NC_002516.2	149138	149425	-	288	39	96	35	150	140	90	53	70	77	77	89	169
gene-PA0132	NC_002516.2	149425	150771	-	1347	105	211	66	371	305	191	104	144	118	113	162	484
gene-PA0133	NC_002516.2	150906	151823	+	918	127	158	110	414	369	160	221	224	194	149	295	596
gene-PA0134	NC_002516.2	151936	153306	-	1371	285	338	196	734	1414	264	441	633	289	200	353	2547
gene-PA0135	NC_002516.2	153696	153836	+	141	7	4	7	17	18	10	12	12	7	4	8	47
gene-PA0136	NC_002516.2	154417	155988	+	1572	39	62	44	133	113	59	68	72	60	43	38	157
gene-PA0137	NC_002516.2	155988	157085	+	1098	30	35	21	91	42	55	37	52	43	51	38	114
gene-PA0138	NC_002516.2	157108	158034	+	927	66	130	64	422	218	118	156	140	96	116	100	320
gene-PA0139	NC_002516.2	158199	158762	+	564	8454	57300	8707	4838	27887	80991	3345	5470	75363	10550	79108	3342
gene-PA0140	NC_002516.2	158907	160472	+	1566	2440	26004	3943	6680	5306	93786	4981	3472	45669	3081	27449	5554
gene-PA0141	NC_002516.2	160552	161448	-	897	5495	7823	8008	26255	30040	14555	18666	20896	7045	12218	4433	38847
gene-PA0142	NC_002516.2	161906	163255	+	1350	158	170	124	429	294	213	302	337	269	206	211	587
gene-PA0143	NC_002516.2	163363	164415	+	1053	167	239	142	482	386	204	227	407	239	329	226	534
gene-PA0144	NC_002516.2	164443	165069	-	627	61	97	53	227	187	109	104	193	125	132	116	321
gene-PA0145	NC_002516.2	165219	165737	-	519	168	285	121	438	543	234	168	334	283	202	203	762
gene-PA0146	NC_002516.2	165976	167073	+	1098	32	79	36	127	97	69	59	71	50	72	67	143
gene-PA0147	NC_002516.2	167146	168108	+	963	61	134	45	166	255	66	62	158	99	65	96	583
gene-PA0148	NC_002516.2	168213	169163	+	951	432	483	362	1074	482	661	421	454	452	712	696	721
gene-PA0149	NC_002516.2	169361	169906	+	546	128	213	193	289	96	194	110	85	232	213	314	122
gene-PA0150	NC_002516.2	169903	170898	+	996	191	273	206	380	149	236	150	120	247	290	342	115
gene-PA0151	NC_002516.2	171047	173434	+	2388	68	92	77	154	115	78	78	98	81	72	135	146
gene-PA0152	NC_002516.2	173811	174638	+	828	148	206	122	354	317	208	187	202	191	204	202	439
gene-PA0153	NC_002516.2	174773	175492	+	720	33	59	33	69	66	56	46	70	56	38	65	118
gene-PA0154	NC_002516.2	175503	176108	+	606	66	127	61	147	184	116	93	127	159	101	146	257
gene-PA0155	NC_002516.2	176315	177154	+	840	233	266	114	424	144	208	107	191	164	184	490	284
gene-PA0156	NC_002516.2	177307	178458	+	1152	252	329	191	523	517	365	202	356	308	423	511	656
gene-PA0157	NC_002516.2	178455	179525	+	1071	217	263	155	475	343	261	172	318	306	327	418	453
gene-PA0158	NC_002516.2	179522	182569	+	3048	537	791	457	1204	1059	901	603	797	904	1002	932	1074
gene-PA0159	NC_002516.2	182768	183706	+	939	221	284	180	458	586	332	245	342	303	324	306	747
gene-PA0160	NC_002516.2	183822	184007	+	186	240	341	110	498	257	215	286	258	71	82	87	550
gene-PA0162	NC_002516.2	184594	185928	+	1335	1993	2293	2177	4951	940	3371	2914	1330	682	720	884	1274
gene-PA0163	NC_002516.2	185957	186754	-	798	436	657	488	1200	444	877	532	348	297	286	313	481
gene-PA0164	NC_002516.2	186832	188448	+	1617	328	1300	432	4225	2392	1424	814	373	936	1436	945	2198
gene-PA0165	NC_002516.2	189120	189956	+	837	1057	1172	871	1513	400	923	424	343	1290	1714	1769	379
gene-PA0166	NC_002516.2	190198	191604	+	1407	48	77	48	98	144	80	59	94	66	90	71	264
gene-PA0167	NC_002516.2	191697	192362	+	666	212	274	146	590	490	298	159	359	438	466	366	485
gene-PA0168	NC_002516.2	192368	192958	+	591	191	255	118	324	351	216	116	271	329	325	276	337
gene-PA0169	NC_002516.2	192965	193672	-	708	572	807	439	360	427	586	223	357	837	772	887	380
gene-PA0170	NC_002516.2	193799	194179	-	381	473	682	414	298	258	430	160	337	736	587	709	265
gene-PA0171	NC_002516.2	194206	194748	-	543	521	673	494	397	270	472	136	274	762	766	822	240
gene-PA0172	NC_002516.2	194757	196748	-	1992	1309	1636	1139	1909	601	1775	656	538	1929	2408	2632	574
gene-PA0173	NC_002516.2	197011	198060	-	1050	11	36	10	106	44	59	41	34	19	28	26	129
gene-PA0174	NC_002516.2	198080	198682	-	603	9	18	6	80	38	61	36	27	13	31	11	106
gene-PA0175	NC_002516.2	198688	199530	-	843	30	45	24	237	76	102	102	103	22	90	30	294
gene-PA0176	NC_002516.2	199600	201639	-	2040	145	155	162	1308	468	305	591	524	75	295	82	1630
gene-PA0177	NC_002516.2	201675	202160	-	486	68	43	46	258	122	85	196	133	23	72	29	418
gene-PA0178	NC_002516.2	202147	204066	-	1920	268	189	139	588	403	203	489	559	75	159	91	1429
gene-PA0179	NC_002516.2	204094	204459	-	366	257	217	125	277	425	80	234	548	45	54	40	1157
gene-PA0180	NC_002516.2	204657	205829	-	1173	267	337	182	376	663	194	208	372	172	160	172	1151
gene-PA0181	NC_002516.2	206022	206954	-	933	79	111	45	298	243	110	92	182	155	117	107	479
gene-PA0182	NC_002516.2	207071	207823	+	753	39	50	28	84	127	51	43	64	54	71	56	111
gene-PA0183	NC_002516.2	207923	209533	-	1611	59	123	65	227	226	100	79	110	98	122	102	314
gene-PA0184	NC_002516.2	209621	210460	-	840	22	38	30	67	75	34	48	50	48	58	42	128
gene-PA0185	NC_002516.2	210457	212073	-	1617	28	41	26	97	68	59	40	65	52	46	48	110
gene-PA0186	NC_002516.2	212340	213401	+	1062	68	94	46	146	154	85	78	98	79	94	82	268
gene-PA0187	NC_002516.2	213819	214634	+	816	20	29	14	49	28	44	27	39	34	29	28	74
gene-PA0188	NC_002516.2	214631	215512	+	882	10	36	20	53	29	35	36	46	22	17	26	59
gene-PA0189	NC_002516.2	215550	216908	-	1359	26	73	33	93	117	54	60	95	21	55	37	155
gene-PA0190	NC_002516.2	217156	217881	+	726	37	62	42	99	61	36	46	62	55	53	59	195
gene-PA0191	NC_002516.2	217905	218822	-	918	32	40	29	95	65	45	49	46	63	79	63	143
gene-PA0192	NC_002516.2	219172	221544	+	2373	27	46	20	90	76	46	43	76	56	51	41	115
gene-PA0193	NC_002516.2	221585	222487	+	903	19	27	13	45	49	25	32	28	24	28	21	45
gene-PA0194	NC_002516.2	222555	223454	+	900	41	69	26	69	111	48	40	57	55	40	39	139
gene-PA0195	NC_002516.2	224101	225219	+	1119	498	1489	598	1359	526	2172	499	283	3302	526	1918	684
gene-PA0195.1	NC_002516.2	225295	225603	+	309	145	345	122	414	129	596	126	87	326	132	597	212
gene-PA0196	NC_002516.2	225603	227039	+	1437	341	1146	328	1328	390	1795	384	239	622	552	1553	521
gene-PA0197	NC_002516.2	227382	228194	+	813	20	16	29	157	99	45	75	45	24	40	23	119
gene-PA0198	NC_002516.2	228223	228942	+	720	40	56	26	201	331	72	169	110	61	39	24	363
gene-PA0199	NC_002516.2	228944	229345	+	402	141	143	53	140	1121	69	167	324	162	43	65	1181
gene-PA0200	NC_002516.2	229526	229738	-	213	530	499	101	183	2572	79	112	1007	252	76	128	2525
gene-PA0201	NC_002516.2	229954	230535	+	582	145	151	128	450	1335	195	519	473	321	143	159	908
gene-PA0202	NC_002516.2	230543	232000	-	1458	153	131	158	371	436	201	391	433	111	111	85	424
gene-PA0203	NC_002516.2	232066	233100	-	1035	46	36	74	81	49	53	100	171	16	42	25	108
gene-PA0204	NC_002516.2	233123	233932	-	810	43	53	62	71	149	44	90	155	32	33	34	230
gene-PA0205	NC_002516.2	233929	234849	-	921	73	64	65	122	115	67	88	158	49	39	52	258
gene-PA0206	NC_002516.2	234875	235987	-	1113	63	87	67	153	136	73	84	124	93	70	71	228
gene-PA0207	NC_002516.2	236218	237111	+	894	72	105	65	149	500	78	59	150	135	68	72	620
gene-PA0208	NC_002516.2	237232	238896	+	1665	44	90	53	325	160	87	130	130	139	170	61	496
gene-PA0209	NC_002516.2	238896	239777	+	882	13	25	22	90	45	51	56	36	25	23	13	120
gene-PA0210	NC_002516.2	239779	240078	+	300	9	8	5	38	28	22	27	15	13	13	8	52
gene-PA0211	NC_002516.2	240071	240934	+	864	25	48	19	142	49	73	63	45	16	39	18	134
gene-PA0212	NC_002516.2	240931	241737	+	807	11	38	29	161	72	70	46	43	19	40	16	138
gene-PA0213	NC_002516.2	241753	242445	+	693	27	33	25	114	70	38	31	63	20	30	23	104
gene-PA0214	NC_002516.2	242442	243374	+	933	57	86	52	154	217	66	76	104	35	43	56	320
gene-PA0215	NC_002516.2	243431	243835	+	405	44	59	20	92	117	43	39	62	53	30	49	183
gene-PA0216	NC_002516.2	243841	244605	+	765	60	59	53	134	114	80	67	101	60	58	96	181
gene-PA0217	NC_002516.2	244690	245619	-	930	92	126	83	231	190	114	95	127	130	121	143	261
gene-PA0218	NC_002516.2	245948	246868	-	921	52	120	52	172	280	83	83	150	139	100	121	429
gene-PA0219	NC_002516.2	247219	248709	+	1491	19	33	19	58	59	21	23	49	46	44	36	80
gene-PA0220	NC_002516.2	248767	250200	+	1434	47	65	43	73	108	43	46	77	49	55	54	157
gene-PA0221	NC_002516.2	250231	251613	+	1383	13	38	13	60	78	41	20	41	23	37	26	102
gene-PA0222	NC_002516.2	251777	252835	+	1059	13	22	6	32	34	18	18	24	21	24	27	60
gene-PA0223	NC_002516.2	252913	253794	-	882	40	41	15	97	98	55	43	51	60	65	62	110
gene-PA0224	NC_002516.2	253854	254636	-	783	72	129	59	181	203	75	70	155	113	104	113	298
gene-PA0225	NC_002516.2	254791	255330	+	540	149	251	109	386	259	174	147	251	222	223	219	357
gene-PA0226	NC_002516.2	255481	256332	+	852	45	77	40	124	96	98	59	80	95	66	100	145
gene-PA0227	NC_002516.2	256329	257111	+	783	34	64	10	67	84	57	44	56	54	38	35	145
gene-PA0228	NC_002516.2	257108	258313	+	1206	38	91	35	138	175	93	67	133	81	73	62	280
gene-PA0229	NC_002516.2	258463	259761	+	1299	57	106	43	135	175	73	69	138	79	73	72	271
gene-PA0230	NC_002516.2	259784	261163	+	1380	98	213	81	299	424	143	135	208	213	177	190	601
gene-PA0231	NC_002516.2	261179	261970	+	792	42	93	59	287	227	146	105	158	115	106	101	375
gene-PA0232	NC_002516.2	261981	262382	+	402	28	75	37	250	216	113	80	125	69	73	63	376
gene-PA0233	NC_002516.2	262557	263498	+	942	119	183	101	385	338	168	122	190	241	187	148	345
gene-PA0234	NC_002516.2	263689	264522	+	834	48	72	45	84	100	65	45	71	52	51	71	152
gene-PA0235	NC_002516.2	264964	266310	-	1347	14	18	24	27	26	18	24	38	29	22	25	60
gene-PA0236	NC_002516.2	266616	267395	+	780	126	168	72	310	142	162	58	106	102	211	196	155
gene-PA0237	NC_002516.2	267638	268681	+	1044	11	35	7	45	34	23	11	28	24	32	25	46
gene-PA0238	NC_002516.2	268704	269519	+	816	24	35	25	67	88	30	20	55	33	24	22	151
gene-PA0239	NC_002516.2	269669	270547	+	879	99	137	59	217	186	108	63	151	180	108	131	210
gene-PA0240	NC_002516.2	270573	271838	-	1266	83	116	74	151	158	82	89	116	101	87	88	230
gene-PA0241	NC_002516.2	271904	273229	-	1326	28	28	18	37	50	31	22	45	17	29	21	89
gene-PA0242	NC_002516.2	273775	275679	+	1905	42	56	28	111	101	44	70	98	36	36	61	278
gene-PA0243	NC_002516.2	275772	276440	+	669	139	203	122	408	257	260	182	174	207	269	236	267
gene-PA0244	NC_002516.2	276480	277334	-	855	49	67	42	112	57	85	50	68	48	85	77	83
gene-PA0245	NC_002516.2	277331	277777	-	447	24	44	31	95	35	54	41	47	38	47	51	61
gene-PA0246	NC_002516.2	277894	279399	-	1506	218	273	167	516	307	249	234	237	266	271	314	334
gene-PA0247	NC_002516.2	279574	280758	-	1185	50	64	37	62	65	44	37	60	41	46	37	99
gene-PA0248	NC_002516.2	280936	281802	+	867	100	238	73	266	369	363	106	196	717	157	160	391
gene-PA0249	NC_002516.2	281799	282245	-	447	114	241	70	244	281	624	84	181	4062	130	137	447
gene-PA0250	NC_002516.2	282323	282757	-	435	109	283	74	239	384	769	91	221	7888	126	176	629
gene-PA0251	NC_002516.2	282912	283553	-	642	27	53	19	79	95	64	51	47	154	41	35	114
