Geneid	5_R1	5_R2	30_R1	30_R2	60_R1	60_R2	120_R1	120_R2	Entity	Symbol
gene-SynWH7803_2297	417	219	63	38	6	33	7	8	host	gene-SynWH7803_2297
gene-SynWH7803_1687	118	58	16	18	1	10	8	2	host	gene-SynWH7803_1687
gene-SynWH7803_1044	121	41	4	8	0	7	2	3	host	gene-SynWH7803_1044
gene-SynWH7803_1900	596	340	95	101	11	47	28	18	host	gene-SynWH7803_1900
gene-SynWH7803_1914	152	68	26	31	4	18	3	4	host	gene-SynWH7803_1914
gene-SynWH7803_2479	64	48	26	30	6	16	8	3	host	mobA
gene-SynWH7803_0833	591	367	80	48	7	47	20	5	host	gene-SynWH7803_0833
gene-SynWH7803_0876	63	48	9	20	1	10	4	4	host	gene-SynWH7803_0876
gene-SynWH7803_0682	223	182	57	59	13	31	15	6	host	gene-SynWH7803_0682
gene-SynWH7803_0869	362	214	43	52	6	30	11	5	host	pdc
gene-SynWH7803_2195	539	326	88	53	9	56	17	16	host	gene-SynWH7803_2195
gene-SynWH7803_0430	1677	1353	484	531	102	219	191	93	host	rpsS
gene-SynWH7803_2202	180	72	26	24	8	16	19	7	host	gene-SynWH7803_2202
gene-SynWH7803_0403	260	117	21	32	5	19	11	6	host	alr
gene-SynWH7803_1312	570	299	57	62	10	35	14	14	host	gene-SynWH7803_1312
gene-SynWH7803_0338	396	248	42	58	7	17	15	10	host	gatC
gene-SynWH7803_0971	209	92	23	33	1	13	8	2	host	gene-SynWH7803_0971
gene-SynWH7803_1055	143	110	19	17	1	8	5	4	host	gene-SynWH7803_1055
gene-BSV9_gp145	0	0	3868	7010	25504	40275	7986	9027	phage	gene-BSV9_gp145
gene-SynWH7803_0411	4833	2615	692	700	129	390	247	122	host	rpoA
gene-SynWH7803_0519	472	185	60	45	7	24	12	12	host	gene-SynWH7803_0519
gene-SynWH7803_1949	45	26	1	12	1	2	3	1	host	gene-SynWH7803_1949
gene-SynWH7803_0551	229	222	45	40	10	22	18	12	host	gene-SynWH7803_0551
gene-SynWH7803_1065	488	253	49	42	12	40	20	10	host	gene-SynWH7803_1065
gene-SynWH7803_0672	80	29	13	15	1	5	5	3	host	chlN
gene-BSV9_gp4	0	0	60697	108217	144074	277439	76665	80093	phage	32
gene-SynWH7803_0920	145	70	16	19	6	5	5	3	host	gene-SynWH7803_0920
gene-SynWH7803_2274	532	390	35	46	3	19	8	5	host	gene-SynWH7803_2274
gene-SynWH7803_1619	209	73	34	17	1	14	9	4	host	gene-SynWH7803_1619
gene-SynWH7803_2508	281	145	25	32	6	19	8	3	host	gene-SynWH7803_2508
gene-SynWH7803_1959	2282	943	259	230	34	161	105	43	host	gene-SynWH7803_1959
gene-BSV9_gp9	1	0	293	585	2529	5692	9121	9956	phage	gene-BSV9_gp9
gene-SynWH7803_0164	175	110	36	32	6	23	8	10	host	gene-SynWH7803_0164
gene-SynWH7803_0745	105	60	22	19	2	13	2	2	host	gene-SynWH7803_0745
gene-SynWH7803_0606	211	110	25	25	3	15	7	3	host	gene-SynWH7803_0606
gene-SynWH7803_0419	1450	770	209	281	52	100	60	48	host	rplR
gene-SynWH7803_0410	2001	1145	291	304	41	133	85	46	host	rplQ
gene-SynWH7803_1799	118	75	39	37	6	22	8	6	host	gene-SynWH7803_1799
gene-SynWH7803_0448	259	168	47	41	12	37	26	14	host	moeB
gene-SynWH7803_0402	347	241	43	52	10	29	12	4	host	gene-SynWH7803_0402
gene-SynWH7803_1932	79	48	10	23	1	14	5	1	host	gene-SynWH7803_1932
gene-SynWH7803_1180	32	32	6	6	0	4	2	3	host	gene-SynWH7803_1180
gene-SynWH7803_2302	247	156	44	41	9	23	12	11	host	cysC
gene-SynWH7803_1275	851	496	132	112	25	71	22	17	host	cobN
gene-SynWH7803_1952	173	100	16	30	5	23	10	5	host	gene-SynWH7803_1952
gene-SynWH7803_2015	211	122	26	24	1	22	10	7	host	gene-SynWH7803_2015
gene-SynWH7803_0957	114	75	22	10	3	9	5	1	host	gene-SynWH7803_0957
gene-SynWH7803_0787	305	106	60	50	6	40	15	1	host	gene-SynWH7803_0787
gene-SynWH7803_1217	721	404	100	108	18	36	22	12	host	gene-SynWH7803_1217
gene-SynWH7803_1046	102	60	17	22	4	7	9	3	host	ptrA
gene-SynWH7803_1054	138	62	18	26	2	4	5	3	host	gene-SynWH7803_1054
gene-SynWH7803_1510	71	47	6	9	3	3	2	1	host	gene-SynWH7803_1510
gene-SynWH7803_2115	68	32	18	17	4	7	3	0	host	gene-SynWH7803_2115
gene-SynWH7803_0378	2649	1773	310	308	52	158	72	44	host	rpsJ
gene-SynWH7803_1989	910	491	144	108	26	93	51	29	host	rpoZ
gene-SynWH7803_1229	51	48	23	21	5	16	5	1	host	corA
gene-SynWH7803_2093	4758	2320	478	295	51	378	139	61	host	gene-SynWH7803_2093
gene-SynWH7803_1732	128	67	10	19	3	8	1	2	host	gene-SynWH7803_1732
gene-RNA_5	22	15	1	2	0	1	2	1	host	gene-RNA_5
gene-SynWH7803_1339	66	55	10	12	0	4	2	1	host	gene-SynWH7803_1339
gene-SynWH7803_1894	218	130	38	38	8	17	8	2	host	gene-SynWH7803_1894
gene-SynWH7803_2001	853	422	120	127	11	86	32	26	host	atpE
gene-SynWH7803_1897	1957	1062	140	120	17	77	48	19	host	gene-SynWH7803_1897
gene-SynWH7803_2370	80	34	19	13	1	13	14	9	host	gene-SynWH7803_2370
gene-SynWH7803_1103	536	363	64	50	7	39	24	15	host	gene-SynWH7803_1103
gene-SynWH7803_0084	104	71	18	35	7	16	7	2	host	mutS
gene-SynWH7803_0292	679	335	106	129	24	65	27	33	host	gene-SynWH7803_0292
gene-SynWH7803_0204	72	35	13	15	0	4	1	3	host	rnc
gene-SynWH7803_1160	429	224	63	62	10	41	21	13	host	gene-SynWH7803_1160
gene-SynWH7803_2505	2090	1226	213	226	43	138	80	40	host	acnB
gene-SynWH7803_0236	91	55	9	14	3	9	4	2	host	gene-SynWH7803_0236
gene-SynWH7803_2526	422	258	44	52	9	17	14	7	host	purT
gene-SynWH7803_0231	93	62	19	27	2	11	4	1	host	kdsA
gene-SynWH7803_0109	160	92	26	25	9	11	3	3	host	gene-SynWH7803_0109
gene-SynWH7803_1751	115	48	10	24	1	11	5	2	host	codA
gene-SynWH7803_1048	52	23	10	7	1	4	2	1	host	gene-SynWH7803_1048
gene-SynWH7803_0321	343	170	43	49	9	26	20	8	host	cobA
gene-SynWH7803_0966	101	53	17	20	2	10	5	1	host	gene-SynWH7803_0966
gene-SynWH7803_2184	114	101	10	22	4	10	8	0	host	gene-SynWH7803_2184
gene-SynWH7803_0030	185	109	29	22	7	15	7	10	host	thiL
gene-SynWH7803_1301	2639	1384	356	230	40	203	117	53	host	rpe%2C cbbE%2C ppe
gene-BSV9_gp131	0	0	2117	3191	4101	13312	31451	40681	phage	21
gene-RNA_10	171	138	87	59	20	150	69	43	host	gene-RNA_10
gene-SynWH7803_0571	201	78	36	26	3	10	7	10	host	gene-SynWH7803_0571
gene-SynWH7803_0415	517	214	63	72	10	31	17	13	host	adk
gene-SynWH7803_1041	210	114	32	29	3	11	10	4	host	gene-SynWH7803_1041
gene-SynWH7803_0458	179	106	27	39	3	17	6	4	host	gene-SynWH7803_0458
gene-SynWH7803_1731	647	349	76	75	18	39	20	5	host	ffh
gene-SynWH7803_1149	137	55	14	10	2	14	3	1	host	gene-SynWH7803_1149
gene-SynWH7803_1824	140	81	21	12	2	23	3	5	host	gene-SynWH7803_1824
gene-SynWH7803_2086	180	80	20	22	7	28	4	0	host	gene-SynWH7803_2086
gene-SynWH7803_0127	1019	430	121	93	25	68	35	16	host	gene-SynWH7803_0127
gene-SynWH7803_1892	101	59	14	21	5	7	5	0	host	gene-SynWH7803_1892
gene-SynWH7803_1196	75	58	10	9	1	5	0	1	host	gene-SynWH7803_1196
gene-SynWH7803_0416	1841	976	306	323	43	186	92	47	host	secY
gene-SynWH7803_0252	1245	697	163	155	27	87	62	18	host	ndhC
gene-SynWH7803_0984	335	215	63	58	9	20	26	13	host	petJ
gene-SynWH7803_1005	134	64	18	14	2	5	3	1	host	gene-SynWH7803_1005
gene-SynWH7803_1795	1755	819	278	206	41	269	60	44	host	gene-SynWH7803_1795
gene-SynWH7803_1473	126	98	19	20	3	14	2	3	host	gene-SynWH7803_1473
gene-SynWH7803_1607	364	166	28	21	4	9	9	2	host	gene-SynWH7803_1607
gene-BSV9_gp224	0	0	6174	11819	37630	54706	38969	51860	phage	gene-BSV9_gp224
gene-SynWH7803_0082	34	20	4	9	0	5	2	2	host	holA
gene-SynWH7803_0925	42	26	4	2	1	3	0	0	host	gene-SynWH7803_0925
gene-SynWH7803_1325	48	23	5	7	0	5	0	0	host	proA
gene-SynWH7803_0079	25	18	1	10	0	3	1	1	host	gene-SynWH7803_0079
gene-SynWH7803_1345	1588	1163	280	290	62	183	132	91	host	spt%2C agt
gene-SynWH7803_2168	228	115	33	36	3	16	6	4	host	gene-SynWH7803_2168
gene-BSV9_gp148	0	0	16066	26246	72718	123661	21888	22758	phage	46
gene-SynWH7803_1237	3740	2029	495	444	86	277	141	80	host	rpmB
gene-SynWH7803_2254	83	52	9	21	2	11	4	2	host	gene-SynWH7803_2254
gene-SynWH7803_2216	171	72	27	18	5	16	27	8	host	gst
gene-SynWH7803_1578	21	10	6	0	0	2	1	1	host	gene-SynWH7803_1578
gene-SynWH7803_2109	33	23	12	11	2	3	2	0	host	gene-SynWH7803_2109
gene-SynWH7803_0743	165	94	27	43	5	18	13	4	host	gene-SynWH7803_0743
gene-SynWH7803_1407	3933	2148	440	386	71	248	135	69	host	cysD
gene-SynWH7803_0183	129	65	21	20	6	10	4	4	host	gene-SynWH7803_0183
gene-SynWH7803_1672	40	15	8	6	2	4	1	0	host	gene-SynWH7803_1672
gene-SynWH7803_1326	58	31	6	6	1	6	1	1	host	gene-SynWH7803_1326_gene_proA
gene-SynWH7803_2143	191	109	20	39	9	15	7	2	host	fucA
gene-SynWH7803_1170	413	225	68	60	2	29	20	6	host	gene-SynWH7803_1170
gene-SynWH7803_2030	438	278	58	49	8	36	20	8	host	ccdA
gene-SynWH7803_0573	201	116	42	29	9	23	13	8	host	proC
gene-SynWH7803_1865	269	160	47	44	7	24	10	12	host	nanE
gene-SynWH7803_2384	132	67	16	20	7	10	9	4	host	coaE
gene-SynWH7803_1867	379	181	62	54	7	38	19	10	host	gene-SynWH7803_1867
gene-SynWH7803_2307	354	234	72	29	13	28	11	8	host	gene-SynWH7803_2307
gene-SynWH7803_0404	508	234	74	52	6	38	8	7	host	gene-SynWH7803_0404
gene-SynWH7803_1807	635	349	48	55	8	30	11	7	host	gene-SynWH7803_1807
gene-SynWH7803_1719	123	67	10	8	3	10	6	2	host	gene-SynWH7803_1719
gene-SynWH7803_1809	353	232	41	49	8	25	17	10	host	futB
gene-SynWH7803_2397	219	94	40	37	8	25	10	4	host	gene-SynWH7803_2397
gene-SynWH7803_1529	365	203	48	39	7	18	13	16	host	gene-SynWH7803_1529
gene-SynWH7803_1934	167	89	22	23	7	14	4	3	host	gene-SynWH7803_1934
gene-SynWH7803_0857	99	61	14	18	2	4	3	1	host	gene-SynWH7803_0857
gene-SynWH7803_0242	566	239	39	45	9	37	8	11	host	galE
gene-RNA_36	296	4493	259	251	61	510	164	159	host	ffs
gene-SynWH7803_1247	136	114	19	18	4	4	7	3	host	dnaJ
gene-SynWH7803_0451	1667	710	184	114	14	90	36	14	host	speH
gene-SynWH7803_1895	554	308	71	70	15	44	19	11	host	sppA
gene-SynWH7803_2147	759	390	100	103	15	53	24	15	host	csd
gene-SynWH7803_1817	180	98	27	14	3	18	12	10	host	gene-SynWH7803_1817
gene-BSV9_gp172	0	0	8105	14575	38737	76011	18946	23119	phage	gene-BSV9_gp172
gene-BSV9_gp190	0	0	1714	2301	3611	7028	12483	18591	phage	gene-BSV9_gp190
gene-SynWH7803_1183	312	181	47	32	10	35	9	12	host	gene-SynWH7803_1183
gene-SynWH7803_2196	246	145	29	32	5	21	9	7	host	gene-SynWH7803_2196
gene-SynWH7803_2253	99	67	13	14	5	6	3	1	host	gene-SynWH7803_2253
gene-SynWH7803_0771	967	380	79	85	16	57	14	13	host	prlC
gene-SynWH7803_0974	67	45	8	7	1	3	2	2	host	gene-SynWH7803_0974
gene-RNA_41	18	5	42	57	33	77	14	23	host	gene-RNA_41
gene-SynWH7803_0994	926	661	107	136	18	53	51	35	host	hupE
gene-SynWH7803_1677	1080	495	123	85	21	70	24	18	host	gene-SynWH7803_1677
gene-SynWH7803_1139	86	41	21	11	5	10	1	0	host	gene-SynWH7803_1139
gene-SynWH7803_1851	2403	1947	379	402	56	209	144	80	host	petA
gene-SynWH7803_0012	174	106	29	31	5	15	10	3	host	rsbU
gene-SynWH7803_0536	109	63	23	33	4	13	5	9	host	gene-SynWH7803_0536
gene-SynWH7803_1864	302	190	46	43	7	15	13	9	host	gene-SynWH7803_1864
gene-SynWH7803_1029	32	17	8	7	1	2	0	0	host	gene-SynWH7803_1029
gene-SynWH7803_2154	72	54	4	15	1	7	1	1	host	gene-SynWH7803_2154
gene-SynWH7803_1768	151	99	34	29	7	26	9	7	host	gene-SynWH7803_1768
gene-SynWH7803_1839	89	58	10	17	2	10	6	2	host	gene-SynWH7803_1839
gene-SynWH7803_2289	838	534	158	110	19	67	44	26	host	ndhG
gene-SynWH7803_0133	598	345	66	79	7	41	13	9	host	gene-SynWH7803_0133
gene-SynWH7803_0799	532	226	58	41	5	47	19	5	host	gene-SynWH7803_0799
gene-BSV9_gp163	1	0	1290	2604	4579	8747	9280	12018	phage	gene-BSV9_gp163
gene-SynWH7803_0509	402	180	58	55	19	36	13	9	host	gene-SynWH7803_0509
gene-SynWH7803_1124	922	520	106	105	19	70	57	23	host	gene-SynWH7803_1124
gene-SynWH7803_1919	84	31	10	11	2	8	3	1	host	gene-SynWH7803_1919
gene-SynWH7803_0420	2201	1370	375	488	76	169	103	62	host	rplF
gene-SynWH7803_2000	3857	2062	549	540	94	362	221	99	host	atpB
gene-SynWH7803_0299	336	174	46	37	12	43	21	15	host	gene-SynWH7803_0299
gene-SynWH7803_2108	8	4	2	3	0	1	0	0	host	gene-SynWH7803_2108
gene-SynWH7803_1502	98	90	23	19	1	8	2	0	host	gene-SynWH7803_1502
gene-SynWH7803_1294	46	32	9	8	2	2	1	1	host	gene-SynWH7803_1294
gene-SynWH7803_1621	223	162	33	42	10	32	19	11	host	gene-SynWH7803_1621
gene-SynWH7803_0372	1132	534	111	139	18	60	21	16	host	cafA
gene-BSV9_gp2	0	0	6286	11138	19756	32848	4481	6017	phage	59
gene-SynWH7803_0955	102	61	8	11	3	7	6	3	host	gene-SynWH7803_0955
gene-SynWH7803_1168	302	174	42	48	16	31	23	9	host	gene-SynWH7803_1168
gene-SynWH7803_2148	970	367	96	97	16	62	31	11	host	sufD
gene-SynWH7803_1448	358	176	93	78	17	89	16	9	host	gene-SynWH7803_1448
gene-SynWH7803_1315	548	275	72	70	11	51	18	15	host	gene-SynWH7803_1315
gene-SynWH7803_1615	640	262	67	69	15	60	28	11	host	gene-SynWH7803_1615
gene-SynWH7803_0863	85	47	14	15	0	7	3	3	host	gene-SynWH7803_0863
gene-SynWH7803_1628	754	363	101	86	18	45	44	14	host	pntAB
gene-SynWH7803_2072	1408	634	106	84	10	50	25	18	host	gene-SynWH7803_2072
gene-SynWH7803_1477	241	109	40	21	11	11	13	7	host	gene-SynWH7803_1477
gene-SynWH7803_1289	201	146	42	50	10	22	4	3	host	gene-SynWH7803_1289
gene-SynWH7803_1873	181	77	18	12	2	7	0	2	host	ctaE%2C coxC
gene-SynWH7803_0042	224	124	21	39	6	19	15	14	host	gene-SynWH7803_0042
gene-SynWH7803_1726	225	120	26	31	4	22	10	2	host	era
gene-SynWH7803_0960	176	89	21	27	4	11	9	6	host	gene-SynWH7803_0960
gene-SynWH7803_0670	3459	2495	363	334	51	155	69	63	host	chlL%2C frxC
gene-SynWH7803_2411	141	49	30	18	2	21	17	3	host	gene-SynWH7803_2411
gene-SynWH7803_1940	191	88	36	46	13	32	3	1	host	gene-SynWH7803_1940
gene-SynWH7803_1161	609	255	83	66	8	48	30	8	host	gene-SynWH7803_1161
gene-SynWH7803_0583	232	96	35	36	4	14	5	5	host	gene-SynWH7803_0583
gene-SynWH7803_0496	807	342	122	55	17	63	32	25	host	gene-SynWH7803_0496
gene-BSV9_gp52	0	0	4121	7542	27057	50123	12385	14456	phage	gene-BSV9_gp52
gene-SynWH7803_0948	1808	757	278	191	45	248	86	44	host	gene-SynWH7803_0948
gene-SynWH7803_1995	2836	1450	261	253	44	168	67	48	host	gpmI
gene-SynWH7803_0864	249	189	42	41	9	20	10	17	host	gene-SynWH7803_0864
gene-SynWH7803_2283	319	159	46	54	5	31	19	3	host	metF
gene-SynWH7803_2219	261	136	40	29	6	11	6	4	host	gene-SynWH7803_2219
gene-SynWH7803_0176	379	200	41	48	9	37	18	16	host	gene-SynWH7803_0176
gene-SynWH7803_0434	3589	2708	719	1085	171	386	347	168	host	rplC
gene-SynWH7803_1971	70	41	4	15	0	2	2	3	host	truB
gene-SynWH7803_0715	105	41	22	24	2	12	3	4	host	ctaC%2C coxB
gene-SynWH7803_0946	153	97	23	29	4	7	5	5	host	gene-SynWH7803_0946
gene-SynWH7803_0087	624	418	98	106	24	68	62	51	host	psbZ
gene-SynWH7803_1656	31	13	2	4	2	7	3	0	host	gene-SynWH7803_1656
gene-SynWH7803_2478	117	113	50	39	2	14	9	4	host	moaA
gene-BSV9_gt24	0	0	3536	8192	11433	19503	2318	3326	phage	gene-BSV9_gt24
gene-SynWH7803_2207	941	616	144	154	20	82	65	33	host	gene-SynWH7803_2207
gene-SynWH7803_0119	860	477	113	109	16	66	33	23	host	gene-SynWH7803_0119
gene-SynWH7803_0853	34	15	5	1	2	0	2	1	host	gene-SynWH7803_0853
gene-SynWH7803_1198	525	338	69	60	6	23	11	7	host	nadA
gene-SynWH7803_0271	139	50	33	23	4	20	8	3	host	gene-SynWH7803_0271
gene-SynWH7803_1051	666	403	96	76	17	46	19	13	host	gene-SynWH7803_1051
gene-SynWH7803_2164	1093	638	168	163	36	73	70	32	host	pmg
gene-SynWH7803_0486	13108	7682	1794	1619	275	1210	988	366	host	cpeA
gene-SynWH7803_1830	61	35	10	5	0	6	2	1	host	gene-SynWH7803_1830
gene-SynWH7803_2063	389	285	52	72	9	23	21	12	host	tatD
gene-SynWH7803_0906	13	11	2	3	1	1	0	0	host	gene-SynWH7803_0906
gene-SynWH7803_2126	192	96	25	14	0	11	5	3	host	msrB
gene-SynWH7803_2304	212	137	28	39	2	5	9	6	host	purE
gene-SynWH7803_0116	346	210	36	40	6	30	8	7	host	gene-SynWH7803_0116
gene-SynWH7803_0232	195	117	26	28	4	17	9	7	host	gene-SynWH7803_0232
gene-SynWH7803_0850	146	98	14	19	3	11	7	2	host	gene-SynWH7803_0850
gene-SynWH7803_2463	13	6	3	4	0	1	1	0	host	gene-SynWH7803_2463
gene-BSV9_gp225	0	0	6978	14369	38438	61174	36470	45230	phage	gene-BSV9_gp225
gene-SynWH7803_0090	718	348	197	124	48	228	35	21	host	gene-SynWH7803_0090
gene-SynWH7803_0266	37	20	7	4	1	1	0	1	host	gene-SynWH7803_0266
gene-SynWH7803_2161	162	87	18	11	0	6	7	3	host	gene-SynWH7803_2161
gene-SynWH7803_1906	451	216	54	50	8	24	12	3	host	gene-SynWH7803_1906
gene-SynWH7803_1700	12	11	5	5	1	1	2	0	host	gene-SynWH7803_1700
gene-SynWH7803_2096	371	185	35	28	5	17	14	1	host	malK
gene-SynWH7803_1730	2015	1249	269	251	61	141	83	52	host	rpsP
gene-SynWH7803_0228	104	62	13	14	4	14	6	2	host	gene-SynWH7803_0228
gene-SynWH7803_0237	86	43	6	16	2	5	6	4	host	gene-SynWH7803_0237
gene-SynWH7803_1090	3464	1211	366	179	42	217	78	46	host	gene-SynWH7803_1090
gene-SynWH7803_1324	654	306	60	63	12	33	8	7	host	gene-SynWH7803_1324
gene-SynWH7803_1870	58	9	15	18	2	12	3	4	host	gene-SynWH7803_1870
gene-SynWH7803_0836	23	11	2	6	1	2	1	0	host	gene-SynWH7803_0836
gene-SynWH7803_0019	143	79	23	23	2	11	5	0	host	pilC%2CpulF
gene-SynWH7803_1413	75	52	18	18	3	10	6	1	host	gene-SynWH7803_1413
gene-SynWH7803_1461	58	39	5	7	0	4	2	3	host	arsR
gene-SynWH7803_1571	711	326	78	73	11	48	24	9	host	gene-SynWH7803_1571
gene-SynWH7803_1999	4277	2103	542	459	87	214	136	105	host	groS
gene-SynWH7803_0158	13	7	5	4	2	3	0	1	host	gene-SynWH7803_0158
gene-SynWH7803_0287	352	342	23	33	5	33	14	8	host	psbK
gene-SynWH7803_1622	1298	699	160	105	27	90	48	17	host	dxr
gene-SynWH7803_0953	145	75	17	18	5	12	5	2	host	gene-SynWH7803_0953
gene-SynWH7803_2439	82	65	14	24	2	15	3	3	host	gene-SynWH7803_2439
gene-SynWH7803_0140	676	280	56	52	10	42	13	8	host	gene-SynWH7803_0140
gene-SynWH7803_0937	69	37	11	8	1	5	1	0	host	hli
gene-SynWH7803_0839	239	131	38	40	15	48	25	8	host	gene-SynWH7803_0839
gene-SynWH7803_1083	104	47	14	11	3	10	4	3	host	gene-SynWH7803_1083
gene-SynWH7803_0989	19	22	7	8	0	1	3	0	host	znuC
gene-SynWH7803_1218	2794	1558	370	312	49	213	110	76	host	pykF
gene-SynWH7803_1171	97	63	13	16	2	7	6	1	host	gene-SynWH7803_1171
gene-SynWH7803_2067	540	257	67	58	12	28	27	8	host	degQ
gene-SynWH7803_1967	2046	1646	134	179	25	103	44	21	host	rplU
gene-SynWH7803_2450	239	157	24	28	5	23	13	5	host	gene-SynWH7803_2450
gene-BSV9_gp201	0	0	606	649	526	1806	3064	4583	phage	gene-BSV9_gp201
gene-SynWH7803_2261	183	71	26	36	3	14	11	11	host	devA
gene-SynWH7803_0099	17	13	5	6	0	3	0	1	host	gene-SynWH7803_0099
