# Program:featureCounts v2.0.1; Command:"featureCounts" "-p" "-M" "-O" "--primary" "-a" "dualGenome.gff3" "-t" "gene" "-o" "countData.tsv" "-g" "ID" "SRR8948478_sorted.bam" "SRR8948479_sorted.bam" "SRR8948485_sorted.bam" "SRR8948481_sorted.bam" "SRR8948484_sorted.bam" "SRR8948482_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR8948478_sorted.bam	SRR8948479_sorted.bam	SRR8948485_sorted.bam	SRR8948481_sorted.bam	SRR8948484_sorted.bam	SRR8948482_sorted.bam
gene-PA0102	NC_002516.2	123871	124599	+	729	153	368	17	56	10	112
gene-PA0103	NC_002516.2	124810	126381	+	1572	36	75	3	11	3	22
gene-PA0103a	NC_002516.2	126368	127006	-	639	49	54	5	8	4	34
gene-PA0105	NC_002516.2	127378	128502	+	1125	113	87	16	22	14	34
gene-PA0106	NC_002516.2	128512	130104	+	1593	61	55	8	13	13	31
gene-PA0107	NC_002516.2	130115	130669	+	555	15	8	2	9	4	6
gene-PA0108	NC_002516.2	130680	131567	+	888	45	32	5	8	7	15
gene-PA0109	NC_002516.2	131583	131792	-	210	22	28	2	5	4	9
gene-PA0110	NC_002516.2	131808	132602	+	795	24	40	0	2	5	9
gene-PA0111	NC_002516.2	132577	133155	+	579	5	8	1	1	1	4
gene-PA0112	NC_002516.2	133220	134293	+	1074	16	18	2	3	2	6
gene-PA0113	NC_002516.2	134319	135233	+	915	22	35	3	9	3	7
gene-PA0114	NC_002516.2	135259	135894	+	636	75	108	9	9	5	40
gene-PA0115	NC_002516.2	135934	136386	-	453	70	96	5	10	4	29
gene-PA0116	NC_002516.2	136518	136991	+	474	67	124	10	25	8	30
gene-PA0117	NC_002516.2	137248	137976	+	729	50	74	6	4	4	14
gene-PA0118	NC_002516.2	138001	138588	+	588	24	18	4	2	2	7
gene-PA0119	NC_002516.2	138818	140167	+	1350	89	81	6	25	7	30
gene-PA0120	NC_002516.2	140216	140902	+	687	51	67	4	17	4	20
gene-PA0121	NC_002516.2	141003	141737	+	735	33	50	0	6	3	8
gene-PA0122	NC_002516.2	141917	142327	+	411	50	83	13	10	5	28
gene-PA0123	NC_002516.2	142359	143267	-	909	61	69	5	11	7	16
gene-PA0124	NC_002516.2	143567	143848	-	282	41	42	0	7	1	5
gene-PA0125	NC_002516.2	143845	144072	-	228	43	48	0	6	2	5
gene-PA0126	NC_002516.2	144248	144868	-	621	92	100	5	16	12	50
gene-PA0127	NC_002516.2	144969	145469	+	501	30	73	4	6	8	13
gene-PA0128	NC_002516.2	145542	145883	+	342	131	432	19	33	9	107
gene-PA0129	NC_002516.2	145965	147392	-	1428	115	257	22	46	14	84
gene-PA0130	NC_002516.2	147561	149054	-	1494	81	245	16	30	13	100
gene-PA0131	NC_002516.2	149138	149425	-	288	46	102	8	10	3	22
gene-PA0132	NC_002516.2	149425	150771	-	1347	82	209	13	27	9	70
gene-PA0133	NC_002516.2	150906	151823	+	918	65	54	11	16	11	19
gene-PA0134	NC_002516.2	151936	153306	-	1371	88	131	18	25	11	54
gene-PA0135	NC_002516.2	153696	153836	+	141	1	2	0	1	2	1
gene-PA0136	NC_002516.2	154417	155988	+	1572	27	46	1	8	8	9
gene-PA0137	NC_002516.2	155988	157085	+	1098	17	37	5	2	2	8
gene-PA0138	NC_002516.2	157108	158034	+	927	41	42	3	11	5	14
gene-PA0139	NC_002516.2	158199	158762	+	564	970	1164	163	382	142	610
gene-PA0140	NC_002516.2	158907	160472	+	1566	196	737	58	156	38	200
gene-PA0141	NC_002516.2	160552	161448	-	897	168	1130	48	66	34	168
gene-PA0142	NC_002516.2	161906	163255	+	1350	143	230	12	45	11	61
gene-PA0143	NC_002516.2	163363	164415	+	1053	138	233	13	36	7	115
gene-PA0144	NC_002516.2	164443	165069	-	627	89	179	7	16	3	48
gene-PA0145	NC_002516.2	165219	165737	-	519	47	64	5	19	3	10
gene-PA0146	NC_002516.2	165976	167073	+	1098	31	38	2	13	5	10
gene-PA0147	NC_002516.2	167146	168108	+	963	43	42	5	17	8	12
gene-PA0148	NC_002516.2	168213	169163	+	951	78	105	14	43	17	83
gene-PA0149	NC_002516.2	169361	169906	+	546	79	146	10	14	5	44
gene-PA0150	NC_002516.2	169903	170898	+	996	116	260	11	19	4	58
gene-PA0151	NC_002516.2	171047	173434	+	2388	30	58	10	16	1	21
gene-PA0152	NC_002516.2	173811	174638	+	828	93	209	7	17	7	32
gene-PA0153	NC_002516.2	174773	175492	+	720	22	23	4	5	2	5
gene-PA0154	NC_002516.2	175503	176108	+	606	29	52	4	10	4	7
gene-PA0155	NC_002516.2	176315	177154	+	840	37	38	4	9	3	10
gene-PA0156	NC_002516.2	177307	178458	+	1152	171	204	13	32	7	56
gene-PA0157	NC_002516.2	178455	179525	+	1071	92	126	6	22	5	43
gene-PA0158	NC_002516.2	179522	182569	+	3048	429	510	41	117	27	199
gene-PA0159	NC_002516.2	182768	183706	+	939	79	105	9	15	6	40
gene-PA0160	NC_002516.2	183822	184007	+	186	32	29	6	16	3	16
gene-PA0162	NC_002516.2	184594	185928	+	1335	186	189	37	79	23	81
gene-PA0163	NC_002516.2	185957	186754	-	798	76	102	15	22	7	30
gene-PA0164	NC_002516.2	186832	188448	+	1617	278	398	13	45	17	60
gene-PA0165	NC_002516.2	189120	189956	+	837	197	215	14	45	15	71
gene-PA0166	NC_002516.2	190198	191604	+	1407	42	54	4	8	4	13
gene-PA0167	NC_002516.2	191697	192362	+	666	126	243	13	18	6	51
gene-PA0168	NC_002516.2	192368	192958	+	591	106	165	6	12	5	46
gene-PA0169	NC_002516.2	192965	193672	-	708	176	139	11	39	13	100
gene-PA0170	NC_002516.2	193799	194179	-	381	91	56	4	15	6	59
gene-PA0171	NC_002516.2	194206	194748	-	543	67	48	5	19	1	49
gene-PA0172	NC_002516.2	194757	196748	-	1992	655	496	37	119	22	279
gene-PA0173	NC_002516.2	197011	198060	-	1050	12	14	1	4	1	6
gene-PA0174	NC_002516.2	198080	198682	-	603	12	11	1	3	5	7
gene-PA0175	NC_002516.2	198688	199530	-	843	39	38	8	14	5	11
gene-PA0176	NC_002516.2	199600	201639	-	2040	140	139	23	41	20	60
gene-PA0177	NC_002516.2	201675	202160	-	486	25	50	7	6	4	24
gene-PA0178	NC_002516.2	202147	204066	-	1920	130	122	10	40	30	53
gene-PA0179	NC_002516.2	204094	204459	-	366	131	112	26	48	27	73
gene-PA0180	NC_002516.2	204657	205829	-	1173	83	123	5	19	5	22
gene-PA0181	NC_002516.2	206022	206954	-	933	55	67	4	7	2	22
gene-PA0182	NC_002516.2	207071	207823	+	753	28	38	1	11	0	13
gene-PA0183	NC_002516.2	207923	209533	-	1611	31	51	3	15	6	22
gene-PA0184	NC_002516.2	209621	210460	-	840	22	29	2	5	1	10
gene-PA0185	NC_002516.2	210457	212073	-	1617	19	35	4	6	3	11
gene-PA0186	NC_002516.2	212340	213401	+	1062	46	46	1	10	0	8
gene-PA0187	NC_002516.2	213819	214634	+	816	7	17	4	3	4	3
gene-PA0188	NC_002516.2	214631	215512	+	882	25	19	4	7	3	15
gene-PA0189	NC_002516.2	215550	216908	-	1359	27	34	4	5	9	7
gene-PA0190	NC_002516.2	217156	217881	+	726	18	30	0	9	7	5
gene-PA0191	NC_002516.2	217905	218822	-	918	23	48	2	12	3	7
gene-PA0192	NC_002516.2	219172	221544	+	2373	20	33	5	2	7	12
gene-PA0193	NC_002516.2	221585	222487	+	903	10	11	1	5	1	3
gene-PA0194	NC_002516.2	222555	223454	+	900	14	34	1	5	4	6
gene-PA0195	NC_002516.2	224101	225219	+	1119	67	68	6	11	6	15
gene-PA0195.1	NC_002516.2	225295	225603	+	309	13	18	0	3	1	5
gene-PA0196	NC_002516.2	225603	227039	+	1437	79	74	3	15	7	22
gene-PA0197	NC_002516.2	227382	228194	+	813	8	33	2	4	1	0
gene-PA0198	NC_002516.2	228223	228942	+	720	14	40	4	5	3	4
gene-PA0199	NC_002516.2	228944	229345	+	402	12	32	1	3	4	3
gene-PA0200	NC_002516.2	229526	229738	-	213	11	46	3	3	0	3
gene-PA0201	NC_002516.2	229954	230535	+	582	25	152	4	17	4	17
gene-PA0202	NC_002516.2	230543	232000	-	1458	35	97	9	13	3	10
gene-PA0203	NC_002516.2	232066	233100	-	1035	16	20	2	7	7	4
gene-PA0204	NC_002516.2	233123	233932	-	810	12	15	1	5	2	5
gene-PA0205	NC_002516.2	233929	234849	-	921	19	26	2	6	2	10
gene-PA0206	NC_002516.2	234875	235987	-	1113	25	42	8	10	7	3
gene-PA0207	NC_002516.2	236218	237111	+	894	44	63	3	9	2	11
gene-PA0208	NC_002516.2	237232	238896	+	1665	168	292	8	28	11	50
gene-PA0209	NC_002516.2	238896	239777	+	882	11	16	0	2	2	3
gene-PA0210	NC_002516.2	239779	240078	+	300	2	6	0	0	0	1
gene-PA0211	NC_002516.2	240071	240934	+	864	13	26	1	3	0	3
gene-PA0212	NC_002516.2	240931	241737	+	807	12	31	1	1	1	7
gene-PA0213	NC_002516.2	241753	242445	+	693	8	39	2	4	2	9
gene-PA0214	NC_002516.2	242442	243374	+	933	26	57	1	4	2	9
gene-PA0215	NC_002516.2	243431	243835	+	405	15	36	1	2	1	9
gene-PA0216	NC_002516.2	243841	244605	+	765	57	116	16	41	18	55
gene-PA0217	NC_002516.2	244690	245619	-	930	44	56	3	19	6	12
gene-PA0218	NC_002516.2	245948	246868	-	921	35	37	3	15	3	15
gene-PA0219	NC_002516.2	247219	248709	+	1491	20	31	5	3	7	9
gene-PA0220	NC_002516.2	248767	250200	+	1434	37	37	4	4	5	14
gene-PA0221	NC_002516.2	250231	251613	+	1383	19	17	4	3	3	10
gene-PA0222	NC_002516.2	251777	252835	+	1059	5	8	1	0	1	3
gene-PA0223	NC_002516.2	252913	253794	-	882	191	220	11	40	15	68
gene-PA0224	NC_002516.2	253854	254636	-	783	34	53	3	12	5	12
gene-PA0225	NC_002516.2	254791	255330	+	540	40	61	7	17	5	26
gene-PA0226	NC_002516.2	255481	256332	+	852	17	18	3	7	3	9
gene-PA0227	NC_002516.2	256329	257111	+	783	14	16	3	4	3	7
gene-PA0228	NC_002516.2	257108	258313	+	1206	30	42	2	6	5	14
gene-PA0229	NC_002516.2	258463	259761	+	1299	41	51	4	12	6	13
gene-PA0230	NC_002516.2	259784	261163	+	1380	84	171	7	13	5	33
gene-PA0231	NC_002516.2	261179	261970	+	792	18	20	1	7	3	4
gene-PA0232	NC_002516.2	261981	262382	+	402	16	20	3	6	4	3
gene-PA0233	NC_002516.2	262557	263498	+	942	45	83	6	5	4	18
gene-PA0234	NC_002516.2	263689	264522	+	834	49	57	6	21	2	9
gene-PA0235	NC_002516.2	264964	266310	-	1347	15	34	2	6	6	8
gene-PA0236	NC_002516.2	266616	267395	+	780	92	106	1	23	5	29
gene-PA0237	NC_002516.2	267638	268681	+	1044	8	21	0	2	2	2
gene-PA0238	NC_002516.2	268704	269519	+	816	21	43	0	4	1	3
gene-PA0239	NC_002516.2	269669	270547	+	879	28	39	4	8	2	12
gene-PA0240	NC_002516.2	270573	271838	-	1266	46	73	3	14	2	13
gene-PA0241	NC_002516.2	271904	273229	-	1326	19	11	3	2	2	2
gene-PA0242	NC_002516.2	273775	275679	+	1905	23	36	2	6	8	4
gene-PA0243	NC_002516.2	275772	276440	+	669	82	114	6	15	3	33
gene-PA0244	NC_002516.2	276480	277334	-	855	39	51	3	4	2	6
gene-PA0245	NC_002516.2	277331	277777	-	447	21	32	0	3	4	9
gene-PA0246	NC_002516.2	277894	279399	-	1506	100	165	9	18	6	69
gene-PA0247	NC_002516.2	279574	280758	-	1185	32	63	2	8	1	14
gene-PA0248	NC_002516.2	280936	281802	+	867	87	132	2	11	7	30
gene-PA0249	NC_002516.2	281799	282245	-	447	43	58	2	9	7	20
gene-PA0250	NC_002516.2	282323	282757	-	435	77	100	4	17	9	25
gene-PA0251	NC_002516.2	282912	283553	-	642	18	31	1	7	3	2
gene-PA0252	NC_002516.2	283818	284105	-	288	17	14	1	1	1	8
gene-PA0253	NC_002516.2	284197	284673	-	477	127	221	9	21	3	52
gene-PA0254	NC_002516.2	284714	286204	-	1491	60	65	5	7	6	12
gene-PA0255	NC_002516.2	286338	287024	-	687	87	154	3	13	2	22
gene-PA0256	NC_002516.2	287188	288120	-	933	62	106	3	17	11	23
gene-PA0257	NC_002516.2	288384	289175	-	792	46	86	6	8	5	17
gene-PA0258	NC_002516.2	289205	289390	-	186	25	63	4	5	2	20
gene-PA0259	NC_002516.2	289562	291004	-	1443	250	516	37	60	13	128
gene-PA0260	NC_002516.2	291154	293304	-	2151	142	248	16	26	11	79
gene-PA0261	NC_002516.2	293301	293798	-	498	23	28	3	8	0	7
gene-PA0262	NC_002516.2	293802	296861	-	3060	92	178	10	20	5	37
gene-PA0263	NC_002516.2	297043	297561	-	519	9	12	0	1	2	1
gene-PA0263.1	NC_002516.2	298816	298892	-	77	850	1375	38	95	21	297
gene-PA0265	NC_002516.2	299522	300973	+	1452	825	1901	71	206	80	466
gene-PA0266	NC_002516.2	301218	302498	+	1281	1224	2213	123	308	118	778
gene-PA0267	NC_002516.2	302824	304023	+	1200	120	258	17	28	12	73
gene-PA0268	NC_002516.2	304177	305598	-	1422	55	76	8	21	9	22
gene-PA0269	NC_002516.2	305725	306162	+	438	11	18	3	6	2	12
gene-PA0270	NC_002516.2	306174	306581	+	408	20	29	3	4	2	17
gene-PA0271	NC_002516.2	306615	306899	+	285	19	41	3	8	3	14
gene-PA0272	NC_002516.2	306896	307828	-	933	48	77	2	13	4	25
gene-PA0273	NC_002516.2	307878	309092	-	1215	6	11	0	3	2	2
gene-PA0274	NC_002516.2	309255	310025	-	771	9	10	1	2	1	4
gene-PA0275	NC_002516.2	310134	310820	-	687	40	77	4	6	1	19
gene-PA0276	NC_002516.2	310896	311411	+	516	26	35	4	3	2	9
gene-PA0277	NC_002516.2	311451	312209	-	759	226	214	16	46	13	109
gene-PA0278	NC_002516.2	312381	313133	-	753	22	41	2	4	2	4
gene-PA0279	NC_002516.2	313227	313925	+	699	52	93	5	13	3	22
gene-PA0280	NC_002516.2	313938	314927	-	990	85	88	17	44	15	36
gene-PA0281	NC_002516.2	314931	315800	-	870	67	66	15	49	8	30
gene-PA0282	NC_002516.2	315811	316629	-	819	49	41	6	31	7	20
gene-PA0283	NC_002516.2	316791	317789	-	999	94	99	18	62	12	50
gene-PA0284	NC_002516.2	317966	318148	-	183	24	19	7	20	8	20
gene-PA0285	NC_002516.2	318312	320594	-	2283	253	443	20	77	20	193
gene-PA0286	NC_002516.2	320766	321944	+	1179	592	1065	51	196	36	595
gene-PA0287	NC_002516.2	322175	323560	+	1386	16	49	3	4	2	13
gene-PA0288	NC_002516.2	323616	324572	+	957	21	29	1	5	0	10
gene-PA0289	NC_002516.2	324625	325587	+	963	47	81	4	12	4	20
gene-PA0290	NC_002516.2	325700	326671	+	972	49	103	5	16	6	29
gene-PA0291	NC_002516.2	327284	328666	+	1383	703	1075	65	163	53	295
gene-PA0292	NC_002516.2	328801	329907	-	1107	197	217	21	44	13	83
gene-PA0293	NC_002516.2	329993	330871	-	879	149	119	8	32	21	39
gene-PA0294	NC_002516.2	331034	331699	-	666	32	47	5	7	3	17
gene-PA0295	NC_002516.2	331762	332823	-	1062	45	109	5	11	9	22
gene-PA0296	NC_002516.2	333079	334455	-	1377	442	1091	27	93	18	200
gene-PA0297	NC_002516.2	334734	335486	+	753	416	1040	46	105	31	206
gene-PA0298	NC_002516.2	335527	336885	+	1359	350	1189	62	114	49	288
gene-PA0299	NC_002516.2	336951	338321	+	1371	722	1435	79	189	73	332
gene-PA0300	NC_002516.2	338437	339540	+	1104	517	691	56	144	59	295
gene-PA0301	NC_002516.2	339959	341056	+	1098	166	270	15	47	17	92
gene-PA0302	NC_002516.2	341111	342265	+	1155	193	274	9	39	14	63
gene-PA0303	NC_002516.2	342292	343173	+	882	145	255	10	39	13	104
gene-PA0304	NC_002516.2	343256	344125	+	870	255	421	23	72	29	126
gene-PA0305	NC_002516.2	344303	346690	-	2388	97	144	8	26	12	43
gene-PA0306	NC_002516.2	346801	347853	+	1053	57	95	3	15	10	39
gene-PA0306a	NC_002516.2	347832	348335	-	504	108	183	8	29	19	70
gene-PA0307	NC_002516.2	348440	349051	-	612	110	174	6	19	11	41
gene-PA0308	NC_002516.2	349050	350069	+	1020	122	219	10	30	13	37
gene-PA0309	NC_002516.2	350089	350841	-	753	169	244	12	38	14	82
gene-PA0310	NC_002516.2	350890	351588	+	699	108	223	14	21	10	55
gene-PA0311	NC_002516.2	351610	352164	-	555	19	81	5	8	6	19
gene-PA0312	NC_002516.2	352430	352924	+	495	95	201	7	20	5	48
gene-PA0313	NC_002516.2	352927	353619	-	693	116	148	7	47	12	69
gene-PA0314	NC_002516.2	353691	354461	-	771	111	151	4	36	17	56
gene-PA0315	NC_002516.2	354754	355191	+	438	382	401	21	91	19	147
gene-PA0316	NC_002516.2	355248	356477	-	1230	796	817	69	316	79	572
gene-PA0317	NC_002516.2	356681	358075	+	1395	542	740	45	128	60	344
gene-PA0318	NC_002516.2	358167	358832	+	666	225	360	16	65	16	109
gene-PA0319	NC_002516.2	358931	359920	+	990	193	310	15	33	7	111
gene-PA0320	NC_002516.2	359982	360332	+	351	48	51	3	14	5	20
gene-PA0321	NC_002516.2	360413	361447	-	1035	46	45	4	11	2	16
gene-PA0322	NC_002516.2	361463	362857	-	1395	19	35	3	13	4	24
gene-PA0323	NC_002516.2	363278	364321	-	1044	14	20	2	5	1	7
gene-PA0324	NC_002516.2	364369	365157	-	789	13	11	3	3	1	6
gene-PA0325	NC_002516.2	365154	366083	-	930	22	32	2	5	0	9
gene-PA0326	NC_002516.2	366080	367129	-	1050	8	6	1	4	0	7
gene-PA0327	NC_002516.2	367457	368422	+	966	69	98	9	21	8	29
gene-PA0328	NC_002516.2	368462	370405	-	1944	112	215	4	23	12	59
gene-PA0329	NC_002516.2	370706	371038	-	333	284	756	77	259	76	374
gene-PA0330	NC_002516.2	371162	371833	-	672	235	290	28	70	16	176
gene-PA0331	NC_002516.2	372091	373605	+	1515	358	489	20	101	16	187
gene-PA0332	NC_002516.2	373725	374192	+	468	186	370	14	44	18	91
gene-PA0333	NC_002516.2	374243	375514	+	1272	204	425	17	56	13	100
gene-PA0334	NC_002516.2	375951	377189	-	1239	158	310	9	20	11	63
gene-PA0335	NC_002516.2	377239	377892	-	654	89	160	7	24	7	41
gene-PA0336	NC_002516.2	378096	378575	+	480	741	1320	61	163	52	288
gene-PA0337	NC_002516.2	378598	380877	+	2280	1210	1710	100	258	75	470
gene-PA0338	NC_002516.2	380903	382033	+	1131	312	379	18	61	14	90
gene-PA0339	NC_002516.2	382037	382792	-	756	77	104	1	15	3	24
gene-PA0340	NC_002516.2	382914	383717	+	804	162	262	10	30	6	64
gene-PA0341	NC_002516.2	383727	384527	+	801	206	357	19	49	5	113
gene-PA0342	NC_002516.2	384733	385527	+	795	241	398	11	74	16	140
gene-PA0343	NC_002516.2	385554	386351	-	798	337	421	14	70	23	141
gene-PA0344	NC_002516.2	386386	387765	-	1380	66	81	5	27	6	30
gene-PA0345	NC_002516.2	387758	389143	-	1386	112	151	8	31	6	50
gene-PA0346	NC_002516.2	389334	389696	+	363	33	61	7	8	1	24
gene-PA0347	NC_002516.2	389733	390884	-	1152	16	60	1	8	6	14
