Orthogroup	CP000029.1	CP001340.1	CP027476.1	CP045224.1	CP045225.1	NC_002516.2	NC_009641.1	NC_017564.1	NC_017565.1	NC_018289.1	NZ_CP059180.1	U00096.3
OG0004732										gene-MSMEI_RS21025		
OG0004733		gene-CCNA_00973										
OG0004734						gene-PA2142a						
OG0004735										gene-MSMEI_RS03310		
OG0004736										gene-MSMEI_RS30325		
OG0004737						gene-PA2049						
OG0004738				gene-FTB24_15525								
OG0004739								gene-Y11_RS16755				
OG0004740		gene-CCNA_01292										
OG0004741						gene-PA0309						
OG0004742		gene-CCNA_02245										
OG0004743						gene-PA3365						
OG0004744		gene-CCNA_03950										
OG0004745										gene-MSMEI_RS35425		
OG0004746						gene-PA1845						
OG0004747								gene-Y11_RS05530				
OG0004748										gene-MSMEI_RS09240		
OG0004749				gene-FTB24_08860								
OG0004750								gene-Y11_RS13625				
OG0004751		gene-CCNA_00393										
OG0004752										gene-MSMEI_RS22670		
OG0004753						gene-PA1370						
OG0004754										gene-MSMEI_RS13320		
OG0004755		gene-CCNA_03274										
OG0004756								gene-Y11_RS16740				
OG0004757						gene-PA1468						
OG0004758		gene-CCNA_03343										
OG0004759		gene-CCNA_01048										
OG0004760										gene-MSMEI_RS13315		
OG0004761						gene-PA0636						
OG0004762	gene-SERP1616											
OG0004763		gene-CCNA_01183										
OG0004764				gene-FTB24_08470								
OG0004765				gene-FTB24_09100								
OG0004766										gene-MSMEI_RS05320		
OG0004767				gene-FTB24_16470								
OG0004768		gene-CCNA_03946										
OG0004769		gene-CCNA_02795										
OG0004770										gene-MSMEI_RS20605		
OG0004771										gene-MSMEI_RS23820		
OG0004772		gene-CCNA_02797										
OG0004773								gene-Y11_RS09130				
OG0004774										gene-MSMEI_RS15945		
OG0004775										gene-MSMEI_RS24945		
OG0004776										gene-MSMEI_RS00130		
OG0004777						gene-PA0451						
OG0004778						gene-PA5156						
OG0004779						gene-PA3722						
OG0004780										gene-MSMEI_RS28330		
OG0004781	gene-SERP1514											
OG0004782				gene-FTB24_11030								
OG0004783						gene-PA3371						
OG0004784										gene-MSMEI_RS02225		
OG0004785	gene-SERP1574											
OG0004786		gene-CCNA_03357										
OG0004787		gene-CCNA_00483										
OG0004788										gene-MSMEI_RS32365		
OG0004789										gene-MSMEI_RS17685		
OG0004790		gene-CCNA_03803										
OG0004791						gene-PA1595						
OG0004792				gene-FTB24_08565								
OG0004793						gene-PA0724						
OG0004794	gene-SERP1505											
OG0004795				gene-FTB24_00110								
OG0004796	gene-SERP1606											
OG0004797		gene-CCNA_01628										
OG0004798										gene-MSMEI_RS15435		
OG0004799				gene-FTB24_02330								
OG0004800						gene-PA0802						
OG0004801						gene-PA2187						
OG0004802		gene-CCNA_01169										
OG0004803						gene-PA1258						
OG0004804			gene-NRS_1506									
OG0004805		gene-CCNA_01861										
OG0004806												gene-b1038
OG0004807	gene-SERP2130											
OG0004808	gene-SERP2181											
OG0004809										gene-MSMEI_RS10955		
OG0004810				gene-FTB24_06295								
OG0004811												gene-b4380
OG0004812				gene-FTB24_10890								
OG0004813								gene-Y11_RS23380				
OG0004814						gene-PA2754a						
OG0004815										gene-MSMEI_RS14850		
OG0004816												gene-b4845
OG0004817							gene-NWMN_RS11045					
OG0004818				gene-FTB24_08050								
OG0004819		gene-CCNA_02856										
OG0004820								gene-Y11_RS11250				
OG0004821						gene-PA4327						
OG0004822		gene-CCNA_01713										
OG0004823		gene-CCNA_03928										
OG0004824						gene-PA4064						
OG0004825										gene-MSMEI_RS23540		
OG0004826	gene-SERP1610											
OG0004827				gene-FTB24_10755								
OG0004828										gene-MSMEI_RS35640		
OG0004829												gene-b3782
OG0004830				gene-FTB24_03795								
OG0004831										gene-MSMEI_RS00500		
OG0004832										gene-MSMEI_RS20760		
OG0004833		gene-CCNA_00964										
OG0004834		gene-CCNA_01430										
OG0004835		gene-CCNA_00532										
OG0004836			gene-NRS_1458									
OG0004837	gene-SERP0343											
OG0004838		gene-CCNA_02765										
OG0004839				gene-FTB24_07960								
OG0004840										gene-MSMEI_RS33840		
OG0004841					gene-FTB24_19430							
OG0004842										gene-MSMEI_RS03425		
OG0004843												gene-b2758
OG0004844										gene-MSMEI_RS32580		
OG0004845		gene-CCNA_00398										
OG0004846										gene-MSMEI_RS03065		
OG0004847						gene-PA4111						
OG0004848										gene-MSMEI_RS17975		
OG0004849												gene-b4522
OG0004850		gene-CCNA_00181										
OG0004851				gene-FTB24_07920								
OG0004852										gene-MSMEI_RS29025		
OG0004853										gene-MSMEI_RS30505		
OG0004854												gene-b4727
OG0004855				gene-FTB24_12775								
OG0004856		gene-CCNA_02338										
OG0004857								gene-Y11_RS07415				
OG0004858												gene-b3050
OG0004859										gene-MSMEI_RS28220		
OG0004860				gene-FTB24_01740								
OG0004861		gene-CCNA_03078										
OG0004862						gene-PA0557						
OG0004863										gene-MSMEI_RS17380		
OG0004864										gene-MSMEI_RS10360		
OG0004865				gene-FTB24_01635								
OG0004866				gene-FTB24_13845								
OG0004867										gene-MSMEI_RS29600		
OG0004868										gene-MSMEI_RS19010		
OG0004869						gene-PA3318						
OG0004870										gene-MSMEI_RS09200		
OG0004871						gene-PA5533						
OG0004872						gene-PA4163						
OG0004873								gene-Y11_RS23385				
OG0004874						gene-PA4958						
OG0004875										gene-MSMEI_RS09300		
OG0004876										gene-MSMEI_RS08080		
OG0004877				gene-FTB24_12970								
OG0004878		gene-CCNA_03122										
OG0004879						gene-PA5528						
OG0004880						gene-PA1870						
OG0004881				gene-FTB24_14805								
OG0004882										gene-MSMEI_RS22390		
OG0004883								gene-Y11_RS15155				
OG0004884										gene-MSMEI_RS10190		
OG0004885						gene-PA4685						
OG0004886		gene-CCNA_00387										
OG0004887										gene-MSMEI_RS28360		
OG0004888		gene-CCNA_00433										
OG0004889										gene-MSMEI_RS29095		
OG0004890				gene-FTB24_03090								
OG0004891						gene-PA5340						
OG0004892										gene-MSMEI_RS06320		
OG0004893				gene-FTB24_03515								
OG0004894				gene-FTB24_10230								
OG0004895				gene-FTB24_15915								
OG0004896												gene-b2352
OG0004897				gene-FTB24_15785								
OG0004898												gene-b1001
OG0004899										gene-MSMEI_RS20785		
OG0004900										gene-MSMEI_RS30055		
OG0004901				gene-FTB24_08905								
OG0004902										gene-MSMEI_RS04940		
OG0004903		gene-CCNA_03930										
OG0004904				gene-FTB24_18715								
OG0004905										gene-MSMEI_RS32040		
OG0004906		gene-CCNA_03152										
OG0004907										gene-MSMEI_RS18515		
OG0004908												gene-b0843
OG0004909			gene-NRS_76									
OG0004910												gene-b4145
OG0004911							gene-NWMN_RS15125					
OG0004912						gene-PA3572						
OG0004913		gene-CCNA_02763										
OG0004914												gene-b2877
OG0004915	gene-SERP1620											
OG0004916										gene-MSMEI_RS10430		
OG0004917	gene-SERP0464											
OG0004918						gene-PA3966						
OG0004919										gene-MSMEI_RS07025		
OG0004920										gene-MSMEI_RS22890		
OG0004921								gene-Y11_RS04880				
OG0004922		gene-CCNA_03981										
OG0004923		gene-CCNA_02381										
OG0004924						gene-PA0776						
OG0004925				gene-FTB24_09905								
OG0004926	gene-SERP2454											
OG0004927						gene-PA1612						
OG0004928										gene-MSMEI_RS27235		
OG0004929									gene-Y11_RS20750			
OG0004930						gene-PA4712						
OG0004931						gene-PA2783						
OG0004932		gene-CCNA_01657										
OG0004933								gene-Y11_RS10650				
OG0004934								gene-Y11_RS18130				
OG0004935			gene-NRS_2630									
OG0004936												gene-b1172
OG0004937						gene-PA5033						
OG0004938		gene-CCNA_03901										
OG0004939		gene-CCNA_01237										
OG0004940				gene-FTB24_17980								
OG0004941										gene-MSMEI_RS03260		
OG0004942												gene-b4671
OG0004943		gene-CCNA_02818										
OG0004944						gene-PA3619						
OG0004945						gene-PA0843						
OG0004946	gene-SERP2319											
OG0004947		gene-CCNA_00202										
OG0004948		gene-CCNA_03004										
OG0004949				gene-FTB24_16475								
OG0004950						gene-PA0406						
OG0004951								gene-Y11_RS13540				
OG0004952												gene-b1481
OG0004953		gene-CCNA_02784										
OG0004954		gene-CCNA_02361										
OG0004955										gene-MSMEI_RS14555		
OG0004956						gene-PA3369						
OG0004957										gene-MSMEI_RS17265		
OG0004958							gene-NWMN_RS01700					
OG0004959						gene-PA3662						
OG0004960	gene-SERP2402											
OG0004961					gene-FTB24_19400							
OG0004962		gene-CCNA_03960										
OG0004963												gene-b4110
OG0004964				gene-FTB24_16920								
OG0004965				gene-FTB24_02605								
OG0004966			gene-NRS_52									
OG0004967				gene-FTB24_07990								
OG0004968		gene-CCNA_03866										
OG0004969				gene-FTB24_05520								
OG0004970				gene-FTB24_08865								
OG0004971										gene-MSMEI_RS28115		
OG0004972												gene-b4793
OG0004973						gene-PA3361						
OG0004974						gene-PA3052						
OG0004975						gene-PA1866a						
OG0004976		gene-CCNA_02722										
OG0004977	gene-SERP2524											
OG0004978					gene-FTB24_19375							
OG0004979		gene-CCNA_02561										
OG0004980										gene-MSMEI_RS21875		
OG0004981								gene-Y11_RS04915				
OG0004982										gene-MSMEI_RS00620		
OG0004983						gene-PA5543						
OG0004984	gene-SERP0288											
OG0004985						gene-PA3963a						
OG0004986						gene-PA4175						
OG0004987		gene-CCNA_03925										
OG0004988		gene-CCNA_00187										
OG0004989		gene-CCNA_00322										
OG0004990												gene-b2466
OG0004991												gene-b0281
OG0004992		gene-CCNA_03175										
OG0004993												gene-b3338
OG0004994										gene-MSMEI_RS33060		
OG0004995						gene-PA2778						
OG0004996		gene-CCNA_02823										
OG0004997				gene-FTB24_08970								
OG0004998										gene-MSMEI_RS31385		
OG0004999						gene-PA3033						
OG0005000										gene-MSMEI_RS03660		
OG0005001										gene-MSMEI_RS13110		
OG0005002												gene-b0484
OG0005003												gene-b4466
OG0005004										gene-MSMEI_RS12210		
OG0005005										gene-MSMEI_RS27645		
OG0005006	gene-SERP1970											
OG0005007	gene-SERP0596											
OG0005008								gene-Y11_RS06865				
OG0005009						gene-PA4087						
OG0005010										gene-MSMEI_RS24880		
OG0005011												gene-b1352
OG0005012												gene-b2718
OG0005013						gene-PA4346						
OG0005014										gene-MSMEI_RS11065		
OG0005015						gene-PA4372						
OG0005016												gene-b2269
OG0005017			gene-NRS_1778									
OG0005018						gene-PA2374						
OG0005019		gene-CCNA_01347										
OG0005020										gene-MSMEI_RS11825		
OG0005021				gene-FTB24_10610								
OG0005022										gene-MSMEI_RS17755		
OG0005023										gene-MSMEI_RS15610		
OG0005024										gene-MSMEI_RS33375		
OG0005025						gene-PA4335						
OG0005026												gene-b4715
OG0005027				gene-FTB24_11845								
OG0005028				gene-FTB24_11405								
OG0005029						gene-PA4933						
OG0005030				gene-FTB24_12210								
OG0005031										gene-MSMEI_RS06025		
OG0005032										gene-MSMEI_RS27530		
OG0005033				gene-FTB24_13345								
OG0005034		gene-CCNA_02266										
OG0005035										gene-MSMEI_RS24695		
OG0005036				gene-FTB24_15060								
OG0005037												gene-b2110
OG0005038								gene-Y11_RS24055				
OG0005039										gene-MSMEI_RS27845		
OG0005040				gene-FTB24_00620								
OG0005041		gene-CCNA_02270										
OG0005042												gene-b4670
OG0005043										gene-MSMEI_RS08980		
OG0005044						gene-PA3359						
OG0005045	gene-SERP0425											
OG0005046												gene-b4682
OG0005047				gene-FTB24_09155								
OG0005048										gene-MSMEI_RS13435		
OG0005049	gene-SERP2078											
OG0005050				gene-FTB24_09875								
OG0005051						gene-PA3178						
OG0005052						gene-PA2307						
OG0005053		gene-CCNA_02311										
OG0005054		gene-CCNA_03150										
OG0005055				gene-FTB24_12145								
OG0005056										gene-MSMEI_RS03835		
OG0005057				gene-FTB24_05620								
OG0005058						gene-PA2562						
OG0005059										gene-MSMEI_RS35195		
OG0005060												gene-b4060
OG0005061										gene-MSMEI_RS29450		
OG0005062						gene-PA4796						
OG0005063								gene-Y11_RS19160				
OG0005064				gene-FTB24_14790								
OG0005065						gene-PA0691						
OG0005066							gene-NWMN_RS01475					
OG0005067				gene-FTB24_16760								
OG0005068								gene-Y11_RS22130				
OG0005069							gene-NWMN_RS01695					
OG0005070						gene-PA0418						
OG0005071										gene-MSMEI_RS23770		
OG0005072	gene-SERP2290											
OG0005073										gene-MSMEI_RS25020		
OG0005074								gene-Y11_RS14170				
OG0005075										gene-MSMEI_RS35120		
OG0005076				gene-FTB24_08100								
OG0005077										gene-MSMEI_RS31350		
OG0005078				gene-FTB24_12565								
OG0005079												gene-b0290
OG0005080										gene-MSMEI_RS03110		
OG0005081								gene-Y11_RS23735				
OG0005082		gene-CCNA_03099										
OG0005083								gene-Y11_RS20615				
OG0005084		gene-CCNA_03624										
OG0005085												gene-b1398
OG0005086		gene-CCNA_01215										
OG0005087		gene-CCNA_02748										
OG0005088												gene-b2630
OG0005089												gene-b3392
OG0005090										gene-MSMEI_RS33340		
OG0005091						gene-PA3016						
OG0005092												gene-b1024
OG0005093		gene-CCNA_03955										
OG0005094				gene-FTB24_13070								
OG0005095						gene-PA4894						
OG0005096								gene-Y11_RS10950				
OG0005097										gene-MSMEI_RS07935		
OG0005098		gene-CCNA_02501										
OG0005099						gene-PA1465						
OG0005100										gene-MSMEI_RS03615		
OG0005101										gene-MSMEI_RS20290		
OG0005102				gene-FTB24_11545								
OG0005103						gene-PA0532						
OG0005104										gene-MSMEI_RS23135		
OG0005105						gene-PA2171						
OG0005106	gene-SERP1359											
OG0005107			gene-NRS_2467									
OG0005108						gene-PA2750						
OG0005109										gene-MSMEI_RS31955		
OG0005110								gene-Y11_RS22030				
OG0005111												gene-b2623
OG0005112						gene-PA2282						
OG0005113				gene-FTB24_14015								
OG0005114												gene-b0573
OG0005115										gene-MSMEI_RS13605		
OG0005116										gene-MSMEI_RS07370		
OG0005117										gene-MSMEI_RS24845		
OG0005118						gene-PA1852						
OG0005119							gene-NWMN_RS15835					
OG0005120		gene-CCNA_03082										
OG0005121												gene-b4022
OG0005122										gene-MSMEI_RS20490		
OG0005123						gene-PA1372						
OG0005124		gene-CCNA_02944										
OG0005125										gene-MSMEI_RS36155		
OG0005126						gene-PA1765						
OG0005127												gene-b4757
OG0005128										gene-MSMEI_RS19160		
OG0005129		gene-CCNA_02301										
OG0005130										gene-MSMEI_RS01315		
OG0005131				gene-FTB24_01850								
OG0005132		gene-CCNA_00887										
OG0005133		gene-CCNA_02291										
OG0005134								gene-Y11_RS02695				
OG0005135								gene-Y11_RS03500				
OG0005136										gene-MSMEI_RS30870		
OG0005137				gene-FTB24_14640								
OG0005138								gene-Y11_RS00130				
OG0005139								gene-Y11_RS09200				
OG0005140		gene-CCNA_01731										
OG0005141				gene-FTB24_01540								
OG0005142				gene-FTB24_12235								
OG0005143				gene-FTB24_16560								
OG0005144	gene-SERP1565											
OG0005145	gene-SERP1638											
OG0005146						gene-PA1406						
OG0005147						gene-PA3196						
OG0005148						gene-PA0046						
OG0005149						gene-PA4643						
OG0005150										gene-MSMEI_RS30155		
OG0005151										gene-MSMEI_RS01115		
OG0005152								gene-Y11_RS09550				
OG0005153						gene-PA4009						
OG0005154						gene-PA1983						
OG0005155		gene-CCNA_03887										
OG0005156						gene-PA2436						
OG0005157						gene-PA4824						
OG0005158												gene-b4017
OG0005159												gene-b4676
OG0005160			gene-NRS_50									
OG0005161				gene-FTB24_04975								
OG0005162			gene-NRS_1513									
OG0005163		gene-CCNA_01910										
OG0005164										gene-MSMEI_RS21970		
OG0005165						gene-PA3073						
OG0005166								gene-Y11_RS03185				
OG0005167												gene-b4620
OG0005168				gene-FTB24_06990								
OG0005169		gene-CCNA_03458										
OG0005170										gene-MSMEI_RS18965		
OG0005171												gene-b3013
OG0005172				gene-FTB24_09415								
OG0005173										gene-MSMEI_RS30195		
OG0005174				gene-FTB24_06880								
OG0005175												gene-b1143
OG0005176												gene-b0217
OG0005177										gene-MSMEI_RS08005		
OG0005178										gene-MSMEI_RS00120		
OG0005179		gene-CCNA_01483										
OG0005180												gene-b3121
OG0005181		gene-CCNA_02395										
OG0005182				gene-FTB24_09235								
OG0005183		gene-CCNA_01424										
OG0005184		gene-CCNA_01498										
OG0005185		gene-CCNA_03039										
OG0005186				gene-FTB24_14080								
OG0005187												gene-b4183
OG0005188						gene-PA1096						
OG0005189				gene-FTB24_09605								
OG0005190										gene-MSMEI_RS27850		
OG0005191					gene-FTB24_19310							
OG0005192												gene-b4592
OG0005193						gene-PA0828						
OG0005194						gene-PA0613						
OG0005195												gene-b1597
OG0005196		gene-CCNA_02049										
OG0005197								gene-Y11_RS10185				
OG0005198						gene-PA5003						
OG0005199				gene-FTB24_03620								
OG0005200						gene-PA4291						
OG0005201		gene-CCNA_00880										
OG0005202						gene-PA1866						
OG0005203										gene-MSMEI_RS24675		
OG0005204		gene-CCNA_03319										
OG0005205		gene-CCNA_01595										
OG0005206										gene-MSMEI_RS32395		
OG0005207										gene-MSMEI_RS02780		
OG0005208							gene-NWMN_RS01750					
OG0005209		gene-CCNA_00711										
OG0005210												gene-b1265
OG0005211						gene-PA0276						
OG0005212				gene-FTB24_01135								
OG0005213										gene-MSMEI_RS08590		
OG0005214												gene-b3322
OG0005215								gene-Y11_RS08290				
OG0005216		gene-CCNA_00688										
OG0005217										gene-MSMEI_RS21145		
OG0005218	gene-SERP2266											
OG0005219				gene-FTB24_09265								
OG0005220										gene-MSMEI_RS17795		
OG0005221						gene-PA2384						
OG0005222										gene-MSMEI_RS06745		
OG0005223	gene-SERP1073											
OG0005224				gene-FTB24_12980								
OG0005225		gene-CCNA_01229										
OG0005226										gene-MSMEI_RS20905		
OG0005227										gene-MSMEI_RS16440		
OG0005228		gene-CCNA_02191										
OG0005229		gene-CCNA_02808										
OG0005230						gene-PA0683						
OG0005231										gene-MSMEI_RS00135		
OG0005232		gene-CCNA_03927										
OG0005233										gene-MSMEI_RS21180		
OG0005234										gene-MSMEI_RS05910		
OG0005235						gene-PA1387						
OG0005236		gene-CCNA_03956										
OG0005237							gene-NWMN_RS13580					
OG0005238						gene-PA5407						
OG0005239										gene-MSMEI_RS06245		
OG0005240						gene-PA3207						
OG0005241						gene-PA0032a						
OG0005242										gene-MSMEI_RS17200		
OG0005243												gene-b1751
OG0005244								gene-Y11_RS11105				
OG0005245								gene-Y11_RS04470				
OG0005246		gene-CCNA_00493										
OG0005247		gene-CCNA_01027										
OG0005248										gene-MSMEI_RS35275		
OG0005249								gene-Y11_RS17960				
OG0005250	gene-SERP1635											
OG0005251						gene-PA1934						
OG0005252										gene-MSMEI_RS15500		
OG0005253						gene-PA2450						
OG0005254		gene-CCNA_00030										
OG0005255						gene-PA5408						
OG0005256												gene-b3119
OG0005257		gene-CCNA_03627										
OG0005258								gene-Y11_RS03085				
OG0005259										gene-MSMEI_RS15250		
OG0005260				gene-FTB24_09535								
OG0005261				gene-FTB24_16995								
OG0005262						gene-PA2570						
OG0005263												gene-b4021
OG0005264				gene-FTB24_16425								
OG0005265										gene-MSMEI_RS28480		
OG0005266										gene-MSMEI_RS08760		
OG0005267						gene-PA1974						
OG0005268												gene-b1154
OG0005269								gene-Y11_RS02360				
OG0005270		gene-CCNA_00762										
OG0005271						gene-PA2226						
OG0005272								gene-Y11_RS08195				
OG0005273								gene-Y11_RS12700				
OG0005274						gene-PA5347						
OG0005275												gene-b1268
OG0005276										gene-MSMEI_RS29855		
OG0005277				gene-FTB24_08645								
OG0005278				gene-FTB24_14960								
OG0005279		gene-CCNA_03369										
OG0005280						gene-PA3436						
OG0005281				gene-FTB24_16600								
OG0005282								gene-Y11_RS13405				
OG0005283								gene-Y11_RS18985				
OG0005284		gene-CCNA_00627										
OG0005285								gene-Y11_RS23545				
OG0005286		gene-CCNA_03542										
OG0005287										gene-MSMEI_RS21525		
OG0005288											gene-SAURSH1000_RS13320	
OG0005289		gene-CCNA_03993										
OG0005290										gene-MSMEI_RS28405		
OG0005291		gene-CCNA_01380										
OG0005292						gene-PA3062						
OG0005293				gene-FTB24_08925								
OG0005294	gene-SERP0908											
OG0005295								gene-Y11_RS23035				
OG0005296						gene-PA2808						
OG0005297		gene-CCNA_02775										
OG0005298				gene-FTB24_14510								
OG0005299				gene-FTB24_04200								
OG0005300		gene-CCNA_02781										
OG0005301												gene-b4781
OG0005302										gene-MSMEI_RS05875		
OG0005303										gene-MSMEI_RS12110		
OG0005304										gene-MSMEI_RS18230		
OG0005305				gene-FTB24_12585								
OG0005306										gene-MSMEI_RS13115		
OG0005307		gene-CCNA_03296										
OG0005308						gene-PA2888						
OG0005309												gene-b3716
OG0005310		gene-CCNA_02098										
OG0005311		gene-CCNA_02746										
OG0005312				gene-FTB24_06930								
OG0005313										gene-MSMEI_RS12205		
OG0005314				gene-FTB24_02100								
OG0005315										gene-MSMEI_RS32385		
OG0005316												gene-b4768
OG0005317	gene-SERP1332											
OG0005318	gene-SERP0048											
OG0005319												gene-b2629
OG0005320												gene-b2852
OG0005321				gene-FTB24_09435								
OG0005322										gene-MSMEI_RS04935		
OG0005323				gene-FTB24_08220								
OG0005324		gene-CCNA_01611										
OG0005325		gene-CCNA_03935										
OG0005326										gene-MSMEI_RS08405		
OG0005327	gene-SERP1757											
OG0005328						gene-PA4046						
OG0005329	gene-SERP1575											
OG0005330										gene-MSMEI_RS02775		
OG0005331												gene-b1762
OG0005332										gene-MSMEI_RS02620		
OG0005333		gene-CCNA_01973										
OG0005334				gene-FTB24_08415								
OG0005335					gene-FTB24_19240							
OG0005336						gene-PA2499						
OG0005337								gene-Y11_RS08815				
OG0005338	gene-SERP1652											
OG0005339												gene-b3817
OG0005340		gene-CCNA_03181										
OG0005341						gene-PA5527						
OG0005342				gene-FTB24_06260								
OG0005343								gene-Y11_RS16260				
OG0005344												gene-b2274
OG0005345	gene-SERP1533											
OG0005346		gene-CCNA_01742										
OG0005347						gene-PA4295						
OG0005348						gene-PA4635a						
OG0005349										gene-MSMEI_RS21900		
OG0005350				gene-FTB24_11535								
OG0005351								gene-Y11_RS16965				
OG0005352				gene-FTB24_03610								
OG0005353		gene-CCNA_03523										
OG0005354										gene-MSMEI_RS22880		
OG0005355				gene-FTB24_00080								
OG0005356												gene-b4819
OG0005357										gene-MSMEI_RS00815		
OG0005358						gene-PA1965						
