# Program:featureCounts v2.0.1; Command:"featureCounts" "-p" "-M" "-O" "--primary" "-a" "dualGenome.gff3" "-t" "gene" "-o" "countData.tsv" "-g" "ID" "SRR38081879_sorted.bam" "SRR38081882_sorted.bam" "SRR38081881_sorted.bam" "SRR38081880_sorted.bam" "SRR38081883_sorted.bam" "SRR38081884_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR38081879_sorted.bam	SRR38081882_sorted.bam	SRR38081881_sorted.bam	SRR38081880_sorted.bam	SRR38081883_sorted.bam	SRR38081884_sorted.bam
gene-HB27c_C0054	CP053287.1	49682	50386	-	705	9	26	78	135	121	203
gene-HB27c_C0055	CP053287.1	50374	51039	-	666	17	56	167	323	232	348
gene-HB27c_C0056	CP053287.1	51118	52053	+	936	6	7	29	55	31	81
gene-HB27c_C0057	CP053287.1	52190	52807	+	618	46	61	86	187	59	156
gene-HB27c_C0058	CP053287.1	52804	53163	-	360	18	28	40	79	44	84
gene-HB27c_C0059	CP053287.1	53120	53329	-	210	16	21	54	64	62	141
gene-HB27c_C0060	CP053287.1	53528	54571	+	1044	95	124	240	464	266	540
gene-HB27c_C0061	CP053287.1	54564	55148	+	585	26	45	95	153	145	197
gene-HB27c_C0062	CP053287.1	55240	55860	+	621	18	35	90	141	105	214
gene-HB27c_C0063	CP053287.1	55831	56751	-	921	7	23	51	90	52	99
gene-HB27c_C0064	CP053287.1	56896	58377	+	1482	81	115	241	382	271	612
gene-HB27c_C0065	CP053287.1	58374	58604	-	231	23	19	44	108	74	136
gene-HB27c_C0066	CP053287.1	58645	59130	+	486	22	43	48	118	86	171
gene-HB27c_C0067	CP053287.1	59075	59500	-	426	28	53	120	220	172	332
gene-HB27c_C0068	CP053287.1	59634	60548	-	915	74	148	248	394	284	449
gene-HB27c_C0069	CP053287.1	60548	60988	-	441	49	87	170	248	164	337
gene-HB27c_C0070	CP053287.1	61005	62411	-	1407	75	158	369	641	522	1163
gene-HB27c_C0071	CP053287.1	62466	63194	+	729	27	44	135	228	177	553
gene-HB27c_C0072	CP053287.1	63197	64540	+	1344	15	37	75	162	115	202
gene-HB27c_C0073	CP053287.1	65348	65917	-	570	29	43	106	166	130	262
gene-HB27c_C0074	CP053287.1	65927	67219	-	1293	251	537	1134	2144	1636	5177
gene-HB27c_C0075	CP053287.1	67216	67464	-	249	54	85	169	340	183	440
gene-HB27c_C0076	CP053287.1	67469	67702	-	234	27	34	86	170	113	201
gene-HB27c_C0077	CP053287.1	68121	68882	+	762	2	9	15	13	15	15
gene-HB27c_C0078	CP053287.1	68879	70813	+	1935	13	24	44	70	42	75
gene-HB27c_C0079	CP053287.1	70810	71703	+	894	6	6	26	63	22	75
gene-HB27c_C0080	CP053287.1	71700	72767	+	1068	6	10	22	69	19	64
gene-HB27c_C0081	CP053287.1	72807	74003	+	1197	24	48	93	167	148	263
gene-HB27c_C0082	CP053287.1	74048	74881	+	834	9	22	32	76	41	112
gene-HB27c_C0083	CP053287.1	74948	75688	+	741	0	1	4	4	2	9
gene-HB27c_C0084	CP053287.1	75681	76487	+	807	1	2	2	6	4	12
gene-HB27c_C0085	CP053287.1	76512	76961	+	450	17	24	67	110	63	138
gene-HB27c_C0086	CP053287.1	76977	78101	+	1125	24	40	100	181	78	199
gene-HB27c_C0087	CP053287.1	78134	79417	+	1284	33	67	197	328	188	373
gene-HB27c_C0088	CP053287.1	79402	80028	+	627	16	38	115	204	111	240
gene-HB27c_C0089	CP053287.1	80032	80805	+	774	57	61	192	387	242	595
gene-HB27c_C0090	CP053287.1	80769	81179	+	411	42	43	108	197	125	266
gene-HB27c_C0091	CP053287.1	81176	81880	+	705	39	46	122	229	173	303
gene-HB27c_C0092	CP053287.1	81946	82021	-	76	1	1	5	7	1	8
gene-HB27c_C0093	CP053287.1	82091	82282	+	192	12	9	44	42	23	71
gene-HB27c_C0094	CP053287.1	82279	82809	+	531	11	19	46	68	53	76
gene-HB27c_C0095	CP053287.1	82806	83816	-	1011	36	53	171	292	310	609
gene-HB27c_C0096	CP053287.1	83848	84855	-	1008	106	140	559	709	753	1476
gene-HB27c_C0097	CP053287.1	84888	85919	-	1032	36	56	125	233	165	285
gene-HB27c_C0098	CP053287.1	86033	87781	+	1749	88	204	539	804	901	2076
gene-HB27c_C0099	CP053287.1	87838	88821	+	984	13	60	150	195	194	653
gene-HB27c_C0100	CP053287.1	88829	90175	+	1347	17	37	120	160	179	553
gene-HB27c_C0101	CP053287.1	90249	91268	+	1020	36	78	248	291	434	853
gene-HB27c_C0102	CP053287.1	91265	92242	+	978	35	68	352	482	624	1174
gene-HB27c_C0103	CP053287.1	92298	92924	+	627	30	52	156	218	156	296
gene-HB27c_C0104	CP053287.1	92918	94045	+	1128	41	57	142	166	174	310
gene-HB27c_C0105	CP053287.1	94050	94247	+	198	24	50	80	115	105	219
gene-HB27c_C0106	CP053287.1	94249	95211	+	963	81	113	270	377	347	595
gene-HB27c_C0107	CP053287.1	95227	98124	-	2898	262	470	1411	2022	1954	4042
gene-HB27c_C0108	CP053287.1	98128	98832	-	705	45	58	127	185	217	398
gene-HB27c_C0109	CP053287.1	98829	100178	-	1350	72	90	224	290	295	589
gene-HB27c_C0110	CP053287.1	100394	101398	+	1005	171	273	550	803	972	2389
gene-HB27c_C0111	CP053287.1	101489	102334	+	846	10	23	66	96	76	175
gene-HB27c_C0112	CP053287.1	102331	103551	+	1221	6	33	79	131	108	247
gene-HB27c_C0113	CP053287.1	103548	105137	+	1590	48	82	201	291	281	624
gene-HB27c_C0114	CP053287.1	105142	105780	+	639	2	8	36	43	29	40
gene-HB27c_C0115	CP053287.1	105771	106520	+	750	13	38	123	147	124	213
gene-HB27c_C0116	CP053287.1	106585	106671	-	87	1	2	8	5	12	16
gene-HB27c_C0117	CP053287.1	108051	108755	+	705	14	18	43	78	43	63
gene-HB27c_C0118	CP053287.1	108663	109796	-	1134	24	25	68	117	84	135
gene-HB27c_C0119	CP053287.1	109790	110182	-	393	25	50	80	128	112	216
gene-HB27c_C0120	CP053287.1	110161	110391	-	231	16	39	52	90	105	176
gene-HB27c_C0121	CP053287.1	110444	111442	+	999	38	46	93	189	131	242
gene-HB27c_C0122	CP053287.1	111482	111709	+	228	5	13	31	54	43	59
gene-HB27c_C0123	CP053287.1	111741	112796	+	1056	70	82	198	292	247	336
gene-HB27c_C0124	CP053287.1	112812	113126	+	315	54	100	230	492	223	545
gene-HB27c_C0125	CP053287.1	113126	113422	+	297	45	82	171	370	191	460
gene-HB27c_C0126	CP053287.1	113395	113733	-	339	25	27	75	121	88	176
gene-HB27c_C0127	CP053287.1	113726	115153	-	1428	70	84	148	302	226	377
gene-HB27c_C0128	CP053287.1	115254	115328	+	75	1	3	14	14	16	43
gene-HB27c_C0129	CP053287.1	115337	115413	+	77	2	6	21	27	47	92
gene-HB27c_C0130	CP053287.1	115454	115843	+	390	178	276	615	1111	934	1831
gene-HB27c_C0131	CP053287.1	115840	116241	-	402	92	97	232	399	291	501
gene-HB27c_C0132	CP053287.1	116335	116583	+	249	12	12	34	53	29	63
gene-HB27c_C0133	CP053287.1	116561	117085	-	525	13	18	34	73	50	95
gene-HB27c_C0134	CP053287.1	117082	117603	-	522	3	15	19	38	29	39
gene-HB27c_C0135	CP053287.1	117845	118405	+	561	14	11	29	52	55	131
gene-HB27c_C0136	CP053287.1	118350	119507	-	1158	41	56	128	288	229	395
gene-HB27c_C0137	CP053287.1	119500	119898	-	399	65	88	136	357	317	512
gene-HB27c_C0138	CP053287.1	119888	120205	-	318	55	71	113	217	176	313
gene-HB27c_C0139	CP053287.1	120210	121430	-	1221	36	63	148	240	169	284
gene-HB27c_C0140	CP053287.1	121463	121723	-	261	17	45	70	111	82	124
gene-HB27c_C0141	CP053287.1	121756	123012	-	1257	38	66	85	165	119	191
gene-HB27c_C0142	CP053287.1	123017	124060	-	1044	11	7	15	45	44	77
gene-HB27c_C0143	CP053287.1	124047	125429	-	1383	16	28	50	94	49	90
gene-HB27c_C0144	CP053287.1	125505	127067	-	1563	98	140	242	390	305	519
gene-HB27c_C0145	CP053287.1	127166	127924	+	759	3	10	15	39	20	38
gene-HB27c_C0146	CP053287.1	127967	128662	+	696	24	27	48	80	61	142
gene-HB27c_C0147	CP053287.1	128722	130020	+	1299	127	165	432	662	613	948
gene-HB27c_C0148	CP053287.1	130040	130369	-	330	22	42	113	190	144	169
gene-HB27c_C0149	CP053287.1	130410	131546	-	1137	43	48	122	258	228	358
gene-HB27c_C0150	CP053287.1	131600	132655	-	1056	106	131	295	522	373	876
gene-HB27c_C0151	CP053287.1	132652	133761	-	1110	68	94	235	402	264	502
gene-HB27c_C0152	CP053287.1	133758	134252	-	495	48	57	161	321	201	372
gene-HB27c_C0153	CP053287.1	134301	135257	+	957	22	43	115	197	111	254
gene-HB27c_C0154	CP053287.1	135261	135563	+	303	14	37	75	132	80	200
gene-HB27c_C0155	CP053287.1	135589	136125	-	537	21	41	127	189	138	319
gene-HB27c_C0156	CP053287.1	136122	136814	-	693	29	72	224	266	300	735
gene-HB27c_C0157	CP053287.1	137013	137348	+	336	51	56	164	253	203	373
gene-HB27c_C0158	CP053287.1	137367	139097	+	1731	235	321	615	971	809	1481
gene-HB27c_C0159	CP053287.1	139102	139983	+	882	35	41	74	150	116	155
gene-HB27c_C0160	CP053287.1	139980	141710	+	1731	198	274	451	998	595	1179
gene-HB27c_C0161	CP053287.1	141723	142772	+	1050	75	141	241	515	306	1174
gene-HB27c_C0162	CP053287.1	142791	143177	+	387	74	154	401	436	492	992
gene-HB27c_C0163	CP053287.1	143287	144603	+	1317	126	260	642	860	930	1746
gene-HB27c_C0164	CP053287.1	144600	146021	+	1422	121	212	586	796	730	1341
gene-HB27c_C0165	CP053287.1	146063	146503	-	441	25	24	71	86	94	213
gene-HB27c_C0166	CP053287.1	146541	147302	-	762	9	19	34	69	50	124
gene-HB27c_C0167	CP053287.1	147295	147882	-	588	4	9	8	28	24	49
gene-HB27c_C0168	CP053287.1	147882	150179	-	2298	10	17	15	42	36	52
gene-HB27c_C0169	CP053287.1	150151	150678	-	528	1	3	0	3	6	4
gene-HB27c_C0170	CP053287.1	150803	151399	-	597	9	10	27	46	30	75
gene-HB27c_C0171	CP053287.1	151396	152361	-	966	11	16	37	80	48	89
gene-HB27c_C0172	CP053287.1	152400	153284	-	885	9	28	67	101	78	168
gene-HB27c_C0173	CP053287.1	153262	153774	-	513	22	53	116	175	144	273
gene-HB27c_C0174	CP053287.1	153918	154112	+	195	1	5	20	20	29	25
gene-HB27c_C0175	CP053287.1	154139	154645	+	507	44	59	141	218	141	279
gene-HB27c_C0176	CP053287.1	154629	155456	-	828	67	97	202	328	196	408
gene-HB27c_C0177	CP053287.1	155505	156776	-	1272	218	283	455	858	620	1137
gene-HB27c_C0178	CP053287.1	156780	157907	-	1128	46	67	155	238	153	322
gene-HB27c_C0179	CP053287.1	157998	159215	+	1218	137	180	368	533	353	724
gene-HB27c_C0180	CP053287.1	159215	159778	+	564	39	58	126	185	128	317
gene-HB27c_C0181	CP053287.1	159822	160805	-	984	370	490	1042	1555	1333	2296
gene-HB27c_C0182	CP053287.1	160820	161686	-	867	528	824	1621	2569	1987	3469
gene-HB27c_C0183	CP053287.1	161683	162858	-	1176	535	768	1494	2380	1815	3269
gene-HB27c_C0184	CP053287.1	162897	163937	+	1041	64	96	306	465	417	767
gene-HB27c_C0185	CP053287.1	163931	164941	-	1011	69	97	237	427	343	652
gene-HB27c_C0186	CP053287.1	164938	166209	-	1272	32	51	98	138	126	173
gene-HB27c_C0187	CP053287.1	166220	168430	-	2211	328	437	631	831	832	2438
gene-HB27c_C0188	CP053287.1	168559	170079	+	1521	278	364	693	740	793	1473
gene-HB27c_C0189	CP053287.1	170260	170496	+	237	107	179	281	264	299	489
gene-HB27c_C0190	CP053287.1	170493	171488	+	996	145	220	565	724	858	1706
gene-HB27c_C0191	CP053287.1	171475	172182	-	708	3	7	17	19	19	44
gene-HB27c_C0192	CP053287.1	172200	172511	+	312	11	36	94	85	95	162
gene-HB27c_C0193	CP053287.1	172504	172932	+	429	10	20	53	66	69	109
gene-HB27c_C0194	CP053287.1	173023	174669	-	1647	191	253	525	685	829	1464
gene-HB27c_C0195	CP053287.1	174683	175444	-	762	28	37	102	109	89	215
gene-HB27c_C0196	CP053287.1	175620	176054	+	435	135	305	628	543	1198	1474
gene-HB27c_C0197	CP053287.1	176147	176344	+	198	256	859	1102	1500	1782	2958
gene-HB27c_C0198	CP053287.1	176356	176712	+	357	134	203	493	525	746	1167
gene-HB27c_C0199	CP053287.1	176755	177225	+	471	22	48	189	237	159	379
gene-HB27c_C0200	CP053287.1	177222	178883	+	1662	55	84	292	319	356	748
gene-HB27c_C0201	CP053287.1	178883	179560	+	678	48	49	132	133	134	292
gene-HB27c_C0202	CP053287.1	179581	180195	-	615	1901	2217	2569	4700	4416	7773
gene-HB27c_C0203	CP053287.1	180270	181670	-	1401	205	319	691	772	961	1288
gene-HB27c_C0204	CP053287.1	181723	182913	+	1191	60	120	250	287	226	374
gene-HB27c_C0205	CP053287.1	182924	183232	-	309	20	38	69	70	106	154
gene-HB27c_C0206	CP053287.1	183266	185734	-	2469	274	357	888	1296	1353	3925
gene-HB27c_C0207	CP053287.1	185789	186607	+	819	57	88	211	236	190	371
gene-HB27c_C0208	CP053287.1	186647	187282	+	636	22	27	71	91	63	138
gene-HB27c_C0209	CP053287.1	187291	187743	+	453	10	17	70	88	68	133
gene-HB27c_C0210	CP053287.1	187704	188249	-	546	25	65	119	190	168	252
gene-HB27c_C0211	CP053287.1	188282	189934	+	1653	34	63	124	164	206	347
gene-HB27c_C0212	CP053287.1	189922	190188	-	267	5	18	28	48	40	66
gene-HB27c_C0213	CP053287.1	190248	198266	+	8019	19	30	99	96	134	281
gene-HB27c_C0214	CP053287.1	198279	199310	+	1032	18	21	76	101	98	174
gene-HB27c_C0215	CP053287.1	199350	200408	+	1059	20	29	99	129	113	206
gene-HB27c_C0216	CP053287.1	200394	200804	-	411	17	12	62	73	71	120
gene-HB27c_C0217	CP053287.1	200823	201731	+	909	6	16	28	46	37	61
gene-HB27c_C0218	CP053287.1	201739	203154	+	1416	75	79	276	356	287	575
gene-HB27c_C0219	CP053287.1	203154	203897	+	744	29	37	122	214	152	270
gene-HB27c_C0220	CP053287.1	203899	204951	+	1053	41	59	186	279	174	332
gene-HB27c_C0221	CP053287.1	204929	205918	-	990	55	62	185	313	170	422
gene-HB27c_C0222	CP053287.1	205903	207603	-	1701	66	69	178	315	237	543
gene-HB27c_C0223	CP053287.1	207600	208235	-	636	22	31	92	148	91	187
gene-HB27c_C0224	CP053287.1	208289	209419	-	1131	120	214	519	719	758	1309
gene-HB27c_C0225	CP053287.1	209484	210326	-	843	16	23	49	80	69	107
gene-HB27c_C0226	CP053287.1	210374	211432	+	1059	30	31	83	140	112	180
gene-HB27c_C0227	CP053287.1	211395	211985	-	591	10	9	34	46	40	72
gene-HB27c_C0228	CP053287.1	212122	212688	+	567	2	3	7	21	13	33
gene-HB27c_C0229	CP053287.1	212685	213752	-	1068	6	12	25	44	16	73
gene-HB27c_C0230	CP053287.1	213754	215607	-	1854	10	23	35	87	37	131
gene-HB27c_C0231	CP053287.1	215614	216357	-	744	3	8	7	21	10	30
gene-HB27c_C0232	CP053287.1	216354	217130	-	777	4	6	11	33	23	34
gene-HB27c_C0233	CP053287.1	217130	218005	-	876	13	21	46	129	43	123
gene-HB27c_C0234	CP053287.1	218034	219218	-	1185	64	103	269	511	333	713
gene-HB27c_C0235	CP053287.1	219416	220351	-	936	71	122	338	518	357	685
gene-HB27c_C0236	CP053287.1	220400	220597	+	198	2	7	21	42	18	35
gene-HB27c_C0237	CP053287.1	220598	221302	-	705	41	79	135	264	190	457
gene-HB27c_C0238	CP053287.1	221409	221975	-	567	130	214	387	518	767	1235
gene-HB27c_C0239	CP053287.1	222026	223102	+	1077	33	47	89	179	98	170
gene-HB27c_C0240	CP053287.1	223099	224142	-	1044	49	65	103	226	138	200
gene-HB27c_C0241	CP053287.1	224150	224995	-	846	0	4	13	15	10	29
gene-HB27c_C0242	CP053287.1	225084	226745	+	1662	18	31	41	128	56	102
gene-HB27c_C0243	CP053287.1	226778	228223	-	1446	48	58	146	224	150	204
gene-HB27c_C0244	CP053287.1	228207	229580	-	1374	48	75	183	312	192	277
gene-HB27c_C0245	CP053287.1	229568	230521	-	954	70	99	192	256	283	459
gene-HB27c_C0246	CP053287.1	230518	231543	-	1026	83	149	273	445	329	704
gene-HB27c_C0247	CP053287.1	231557	232483	+	927	47	39	127	196	137	220
gene-HB27c_C0248	CP053287.1	232466	233314	-	849	19	30	62	126	71	151
gene-HB27c_C0251	CP053287.1	234079	235707	-	1629	31	62	162	259	162	338
gene-HB27c_C0252	CP053287.1	235730	236185	-	456	13	23	35	77	35	119
gene-HB27c_C0253	CP053287.1	236198	237328	-	1131	13	33	63	99	51	124
gene-HB27c_C0254	CP053287.1	237321	237896	-	576	13	34	44	69	62	133
gene-HB27c_C0255	CP053287.1	237947	238804	-	858	21	68	126	249	165	351
gene-HB27c_C0256	CP053287.1	238831	239181	-	351	11	27	63	90	84	122
gene-HB27c_C0257	CP053287.1	239280	240269	+	990	4	22	31	84	60	104
gene-HB27c_C0258	CP053287.1	240400	241950	-	1551	37	37	102	158	183	336
gene-HB27c_C0259	CP053287.1	241935	242702	-	768	36	49	137	244	232	422
gene-HB27c_C0260	CP053287.1	242723	243586	-	864	112	179	448	968	535	1298
gene-HB27c_C0261	CP053287.1	243583	243912	-	330	26	56	139	291	152	371
gene-HB27c_C0262	CP053287.1	243969	247055	-	3087	67	159	497	708	712	1581
gene-HB27c_C0263	CP053287.1	247176	247460	+	285	4	10	27	26	44	82
gene-HB27c_C0264	CP053287.1	247489	247565	+	77	3	8	97	61	75	412
gene-HB27c_C0265	CP053287.1	247616	247700	+	85	4	23	125	120	88	427
gene-HB27c_C0266	CP053287.1	247738	248952	+	1215	178	495	1222	1883	1570	3399
gene-HB27c_C0267	CP053287.1	249018	249602	+	585	171	257	439	868	619	1473
gene-HB27c_C0268	CP053287.1	249589	250788	+	1200	191	310	531	684	706	1184
gene-HB27c_C0269	CP053287.1	250815	252335	-	1521	55	66	134	231	209	306
gene-HB27c_C0270	CP053287.1	252378	255935	+	3558	116	184	273	565	402	671
gene-HB27c_C0271	CP053287.1	255932	256243	-	312	21	27	57	99	63	145
gene-HB27c_C0272	CP053287.1	256268	258130	+	1863	26	49	95	211	147	346
gene-HB27c_C0273	CP053287.1	258127	258867	+	741	3	11	20	47	23	43
gene-HB27c_C0274	CP053287.1	258925	259392	+	468	10	29	54	106	68	137
gene-HB27c_C0275	CP053287.1	259379	260044	-	666	10	20	42	103	74	96
gene-HB27c_C0276	CP053287.1	260067	260297	+	231	24	26	78	86	71	119
gene-HB27c_C0277	CP053287.1	260316	261074	+	759	105	136	280	440	378	690
gene-HB27c_C0278	CP053287.1	261071	263647	+	2577	93	101	249	424	329	583
gene-HB27c_C0279	CP053287.1	263740	264114	-	375	15	39	158	185	157	354
gene-HB27c_C0280	CP053287.1	264167	264242	-	76	4	8	39	36	42	70
gene-HB27c_C0281	CP053287.1	264278	264354	-	77	0	2	22	8	16	16
gene-HB27c_C0282	CP053287.1	264356	264432	-	77	0	0	19	7	12	9
gene-HB27c_C0283	CP053287.1	264503	264664	+	162	22	32	113	141	127	265
gene-HB27c_C0284	CP053287.1	264661	265728	-	1068	193	282	671	1009	823	1871
gene-HB27c_C0285	CP053287.1	265748	266998	-	1251	164	307	751	1109	827	1872
gene-HB27c_C0286	CP053287.1	266995	267561	-	567	67	107	288	396	352	684
gene-HB27c_C0287	CP053287.1	267572	267940	-	369	17	38	54	101	52	73
gene-HB27c_C0288	CP053287.1	267937	268320	-	384	27	27	53	116	58	139
gene-HB27c_C0289	CP053287.1	268394	269788	+	1395	106	143	182	422	294	567
gene-HB27c_C0290	CP053287.1	269778	270080	+	303	33	29	48	99	57	95
gene-HB27c_C0291	CP053287.1	270092	270451	+	360	44	36	53	109	80	162
gene-HB27c_C0292	CP053287.1	270448	271671	+	1224	169	152	254	497	460	980
gene-HB27c_C0293	CP053287.1	271671	271895	+	225	35	35	118	150	94	242
gene-HB27c_C0294	CP053287.1	272000	272476	-	477	18	32	67	99	67	171
gene-HB27c_C0295	CP053287.1	272498	273628	-	1131	30	61	110	208	166	466
gene-HB27c_C0296	CP053287.1	273790	274740	-	951	138	179	427	759	528	1424
gene-HB27c_C0297	CP053287.1	274750	275982	-	1233	249	363	731	1352	730	1827
gene-HB27c_C0298	CP053287.1	276034	277128	-	1095	7	12	28	65	43	96
gene-HB27c_C0299	CP053287.1	277097	278203	-	1107	15	32	71	100	92	250
gene-HB27c_C0300	CP053287.1	278839	279735	-	897	36	55	116	207	157	379
gene-HB27c_C0301	CP053287.1	279725	280801	-	1077	55	104	195	285	269	749
gene-HB27c_C0302	CP053287.1	280761	282143	-	1383	32	91	169	246	286	662
gene-HB27c_C0303	CP053287.1	282116	283843	-	1728	30	63	339	277	273	759
gene-HB27c_C0304	CP053287.1	283840	285096	-	1257	35	65	146	298	221	579
gene-HB27c_C0305	CP053287.1	285093	286184	-	1092	74	135	282	510	360	923
gene-HB27c_C0306	CP053287.1	286205	287302	-	1098	65	102	226	298	254	569
gene-HB27c_C0307	CP053287.1	287307	287885	-	579	34	49	119	161	121	289
gene-HB27c_C0308	CP053287.1	287889	288821	-	933	43	56	112	220	150	310
gene-HB27c_C0309	CP053287.1	288818	290149	-	1332	67	69	155	311	249	440
gene-HB27c_C0310	CP053287.1	290187	290618	-	432	5	7	35	35	36	78
gene-HB27c_C0311	CP053287.1	290705	291220	-	516	33	49	86	146	155	229
gene-HB27c_C0312	CP053287.1	291330	292724	-	1395	85	95	233	422	395	701
gene-HB27c_C0313	CP053287.1	292765	293031	+	267	10	8	30	36	32	54
gene-HB27c_C0314	CP053287.1	293055	293540	+	486	3	11	32	69	37	55
gene-HB27c_C0315	CP053287.1	293537	294133	-	597	32	40	125	449	177	275
gene-HB27c_C0316	CP053287.1	294207	295259	+	1053	61	67	138	253	156	311
gene-HB27c_C0317	CP053287.1	295263	295865	+	603	16	18	34	54	30	37
gene-HB27c_C0318	CP053287.1	295869	296633	+	765	20	23	50	108	56	108
gene-HB27c_C0319	CP053287.1	296635	297321	+	687	12	24	48	101	56	97
gene-HB27c_C0320	CP053287.1	297318	297749	+	432	12	19	40	88	48	85
gene-HB27c_C0321	CP053287.1	297663	298565	-	903	27	46	80	145	102	220
gene-HB27c_C0322	CP053287.1	298805	299599	+	795	29	36	80	96	68	119
gene-HB27c_C0323	CP053287.1	299540	300739	-	1200	29	40	101	141	71	147
gene-HB27c_C0324	CP053287.1	300812	301288	+	477	9	4	25	34	17	31
gene-HB27c_C0325	CP053287.1	301356	303953	+	2598	6	11	40	68	41	79
gene-HB27c_C0326	CP053287.1	303950	304858	-	909	22	13	46	70	50	62
