Geneid	30_R1	480_R1	Entity	Symbol	ClassThreshold	ClassMax	Variance
gene-SynWH7803_0040	542.103562421665	416.51564045733335	host	gene-SynWH7803_0040	None	None	8.22658574747428
gene-SynWH7803_2093	15217.840909219078	11336.38188113433	host	gene-SynWH7803_2093	None	None	283.6785001324471
gene-SynWH7803_0525	58.99271647540626	69.839250030087	host	gene-SynWH7803_0525	None	None	0.4565919986473188
gene-SynWH7803_0907	46.79090312861857	71.4396097927675	host	gene-SynWH7803_0907	None	None	2.5693821552615543
gene-SynWH7803_0501	1885.089833399099	2715.4391877049447	host	cpeE	None	None	74.93486586360802
gene-SynWH7803_0510	65.97261963252768	84.0338731360038	host	gene-SynWH7803_0510	None	None	1.0873158624546584
gene-SynWH7803_0633	193.23183030042878	168.84749064722965	host	ftsI	None	None	0.8210853063444261
gene-SynWH7803_0891	304.41651630437775	341.53597928036123	host	gene-SynWH7803_0891	None	None	1.0665293044329258
gene-SynWH7803_0949	79.21238192678125	64.86941575828305	host	dcd	None	None	0.7139023867551626
gene-SynWH7803_1062	607.8717172941101	556.0982979923782	host	spoIIAA	None	None	1.151441579675571
gene-SynWH7803_2392	705.0427197899337	649.1863106190995	host	gene-SynWH7803_2392	None	None	1.1519242223441721
gene-SynWH7803_0664	78.43944557278353	86.39743789898402	host	gene-SynWH7803_0664	None	None	0.19209791076495566
gene-SynWH7803_1617	25.422949310749388	32.479833334177705	host	polA	None	None	0.43002779698430277
gene-SynWH7803_0737	110.37323982965744	139.78091379899703	host	gene-SynWH7803_0737	None	None	1.7285567234089536
gene-SynWH7803_2157	268.2886531722793	267.13866659291136	host	gene-SynWH7803_2157	None	None	0.0012349660578641099
gene-SynWH7803_1058	50.622688886521075	78.02317322893359	host	gene-SynWH7803_1058	None	None	2.9180361103452803
gene-SynWH7803_1459	52.05208123159721	68.20850360446107	host	proP	None	None	1.0852682291800657
gene-SynWH7803_2288	250.98124160742157	313.4129720957442	host	ndhE	None	None	3.4530128739205117
gene-SynWH7803_1916	71.46522377867768	83.33749023710409	host	gene-SynWH7803_1916	None	None	0.4552591721534907
gene-SynWH7803_1253	71.39909989525954	72.65020892511028	host	argC	None	None	0.005433118066973718
gene-SynWH7803_0171	164.26686253765317	205.71613170981104	host	ssb	None	None	2.3217849760911977
gene-SynWH7803_0917	114.59157192693397	88.13779314984112	host	gene-SynWH7803_0917	None	None	1.7259522598572432
gene-SynWH7803_1639	223.68383200962026	272.46898419977765	host	gene-SynWH7803_1639	None	None	2.3984455962579476
gene-SynWH7803_2439	24.984338536527716	29.456831473364264	host	gene-SynWH7803_2439	None	None	0.1837138425424934
gene-SynWH7803_1260	72.62542168511843	76.23923959260945	host	leuS	None	None	0.043864271602170754
gene-SynWH7803_1622	66.80326762790092	93.60794002454733	host	dxr	None	None	2.2395270031513044
gene-SynWH7803_0526	364.6006811546021	333.858723330753	host	gene-SynWH7803_0526	None	None	0.6765375086757348
gene-SynWH7803_0589	335.76532464018516	239.17097177576875	host	gene-SynWH7803_0589	None	None	8.114350288423084
gene-SynWH7803_2139	347.3821100357369	417.69067316070624	host	gene-SynWH7803_2139	None	None	3.230603778665943
gene-SynWH7803_2507	32.57176921780658	35.77799627009494	host	gene-SynWH7803_2507	None	None	0.07520063775965187
gene-SynWH7803_1927	57.740939221604556	55.8578996253686	host	gene-SynWH7803_1927	None	None	0.015606841394607003
gene-SynWH7803_1831	87.83205314142039	106.83289642554959	host	gene-SynWH7803_1831	None	None	0.9273165156622947
gene-SynWH7803_1612	55.69746380183835	62.928488872574725	host	gene-SynWH7803_1612	None	None	0.22038905650405838
gene-SynWH7803_0864	103.93939763513448	94.68105321375936	host	gene-SynWH7803_0864	None	None	0.21578075434442437
gene-SynWH7803_0566	89.4351897428651	127.09630155288089	host	gene-SynWH7803_0566	None	None	3.275180285045161
gene-SynWH7803_0307	87.31556662779226	88.55109074793162	host	leuD	None	None	0.004339992225430377
gene-SynWH7803_2147	60.345451508788685	91.6423340900018	host	csd	None	None	3.222281499277385
gene-SynWH7803_0203	56.48604586055108	62.05133070827053	host	gene-SynWH7803_0203	None	None	0.13064400585191543
gene-SynWH7803_0283	54.430437463790966	46.434714224725404	host	gene-SynWH7803_0283	None	None	0.31691614519730993
gene-SynWH7803_1803	35.55549793893958	45.352489080423254	host	gene-SynWH7803_1803	None	None	0.5931493228433644
gene-SynWH7803_2104	528.9699141612913	504.16942236808086	host	gene-SynWH7803_2104	None	None	0.29766768694108836
gene-SynWH7803_0613	44.24515358432049	44.12201045239476	host	gene-SynWH7803_0613	None	None	8.580240808778897e-05
gene-SynWH7803_1086	51.485209468928325	46.462362084214426	host	gene-SynWH7803_1086	None	None	0.1287882662636456
gene-SynWH7803_1514	771.0789563682819	799.0187893579531	host	rbpD	None	None	0.24859416224741004
gene-SynWH7803_0114	53.36532451813586	74.30319024067782	host	gmd	None	None	1.7169237922262777
gene-SynWH7803_0719	484.48686799761606	606.3375623202664	host	gene-SynWH7803_0719	None	None	6.805674357048077
gene-SynWH7803_1283	111.71074237513143	124.41794246933003	host	gene-SynWH7803_1283	None	None	0.34191723538451807
gene-SynWH7803_0776	69.8251614794812	75.77402585143406	host	thrS	None	None	0.121528794097795
gene-SynWH7803_0440	419.35639088154556	398.95145596082915	host	gene-SynWH7803_0440	None	None	0.25440387179794033
gene-SynWH7803_0460	88.84802824494287	76.79526935172785	host	mrp	None	None	0.4384994715925451
gene-SynWH7803_1365	61.792934956454005	63.95813884596586	host	ispE	None	None	0.018640428830545154
gene-SynWH7803_2164	68.71173599195416	77.66696368423028	host	pmg	None	None	0.2739336501755963
gene-SynWH7803_0614	61.18848272584235	57.47427389161023	host	argB	None	None	0.058128378513747275
gene-SynWH7803_0060	37.611918584415214	38.887436467387275	host	gene-SynWH7803_0060	None	None	0.010633722785504666
gene-RNA_23	355.2395430166386	312.0593612528058	host	gene-RNA_23	None	None	1.3970711514946341
gene-SynWH7803_1771	52.2093662264314	69.00042137804023	host	gene-SynWH7803_1771	None	None	1.1630229648796457
gene-SynWH7803_1315	103.62716744618092	106.1577403703274	host	gene-SynWH7803_1315	None	None	0.015262774122017552
gene-SynWH7803_0511	178.97821934474493	240.31764406420388	host	gene-SynWH7803_0511	None	None	4.486718512226885
gene-SynWH7803_1508	31.33002160955453	34.3231173071954	host	recB	None	None	0.0682269119424441
gene-SynWH7803_1472	59.70102403590877	62.963214425157766	host	aspC	None	None	0.043378111946972275
gene-SynWH7803_0084	26.641061811651248	31.411396922719476	host	mutS	None	None	0.19599597991202114
gene-SynWH7803_2335	27.915730343115694	32.76128064493549	host	gene-SynWH7803_2335	None	None	0.1934781999404155
gene-SynWH7803_2200	70.75775813806295	83.1860672104523	host	gene-SynWH7803_2200	None	None	0.5016858131501697
gene-SynWH7803_2176	49.59193122886598	51.026880415339726	host	hflX	None	None	0.010232078545325558
gene-SynWH7803_2259	125.34359373903632	87.7694109900679	host	devB	None	None	3.3123722577312726
gene-SynWH7803_0603	61.941632047641136	62.152924982965786	host	gene-SynWH7803_0603	None	None	0.00017988179975974075
gene-SynWH7803_1878	33.820367805400465	40.25199832903658	host	gene-SynWH7803_1878	None	None	0.27922606871698363
gene-SynWH7803_1292	2500.71889282757	2668.7232398378214	host	rpsR	None	None	2.7300296521346086
gene-SynWH7803_1237	2190.257567941878	1879.994603284663	host	rpmB	None	None	11.82520187795587
gene-SynWH7803_1425	101.25060992023724	113.21212827084754	host	gene-SynWH7803_1425	None	None	0.3335729144810826
gene-SynWH7803_1906	67.35386456147317	80.27251527895598	host	gene-SynWH7803_1906	None	None	0.5652497085572163
gene-SynWH7803_2376	249.16984099282868	277.95775698992253	host	secE	None	None	0.78609440164699
gene-SynWH7803_0478	58.22916670192191	84.81216380909443	host	gene-SynWH7803_0478	None	None	2.4701103264189763
gene-SynWH7803_2493	402.0739450937521	827.593956253496	host	gene-SynWH7803_2493	None	None	73.62446384873824
gene-SynWH7803_1589	187.15208806699175	177.6534974113499	host	gyrA	None	None	0.12365932435648443
gene-SynWH7803_0450	90.51257575217637	82.33935950690744	host	gene-SynWH7803_0450	None	None	0.1932331960640209
gene-SynWH7803_0030	45.134094914557245	57.40234113329783	host	thiL	None	None	0.7339335707620938
gene-SynWH7803_2501	1459.7101819893076	1732.6719422533813	host	rpoD	None	None	11.669674817537205
gene-SynWH7803_0978	167.00732309467915	170.9577357311801	host	gene-SynWH7803_0978	None	None	0.02308783051840189
gene-SynWH7803_0002	108.20565181648662	97.72263599715545	host	gene-SynWH7803_0002	None	None	0.266824975420078
gene-SynWH7803_1987	285.87199392256576	220.94336012387075	host	gene-SynWH7803_1987	None	None	4.159036869450071
gene-SynWH7803_0161	26.967234856532105	42.02757545050053	host	gene-SynWH7803_0161	None	None	1.643702314688544
gene-SynWH7803_0943	73.27358953852742	74.9834644517788	host	gene-SynWH7803_0943	None	None	0.009860145403798422
gene-SynWH7803_1974	58.98440881219328	51.73277780006444	host	nagB	None	None	0.2374796268994376
gene-SynWH7803_0705	667.3822781097925	866.0880777763598	host	gene-SynWH7803_0705	None	None	12.874065243443585
gene-SynWH7803_1880	27.92620989044897	27.857228944585263	host	gene-SynWH7803_1880	None	None	4.2650390435084227e-05
gene-SynWH7803_1582	69.4804320910377	59.3317827057467	host	gene-SynWH7803_1582	None	None	0.39978772396722484
gene-SynWH7803_0931	144.3616246010234	117.3712547322119	host	hli	None	None	1.391647980015067
gene-SynWH7803_0897	44.067374600559205	89.35053697793771	host	gene-SynWH7803_0897	None	None	7.684743265110887
gene-SynWH7803_0315	180.08640227690557	171.6398903896199	host	pth	None	None	0.10141914970471047
gene-SynWH7803_1900	147.98025098129474	181.28269748758538	host	gene-SynWH7803_1900	None	None	1.6841447670647491
gene-SynWH7803_0763	47.88234979120427	53.01861122853047	host	gene-SynWH7803_0763	None	None	0.13072809855301779
gene-SynWH7803_1620	72.49339160200361	91.36003504994284	host	gene-SynWH7803_1620	None	None	1.086184897883671
gene-SynWH7803_0639	167.08963646929854	216.12794000931515	host	pyrH	None	None	3.1375847060305815
gene-SynWH7803_1869	80.72362332760903	77.84455194095683	host	ctaB	None	None	0.02613718684534367
gene-SynWH7803_1287	87.75515825505701	92.23792138805105	host	gene-SynWH7803_1287	None	None	0.0558220497876235
gene-SynWH7803_2101	143.3375843137943	165.44848367408937	host	gene-SynWH7803_2101	None	None	0.7916352471904271
gene-SynWH7803_0053	966.323171644645	705.1880684535349	host	gene-SynWH7803_0053	None	None	20.398170375039268
gene-SynWH7803_2141	175.2258905210087	207.96127776230156	host	def	None	None	1.398279570057401
gene-SynWH7803_2408	108.20565181648662	92.70048768038514	host	gene-SynWH7803_2408	None	None	0.5983145051950766
gene-SynWH7803_2297	159.03034606143572	151.48327803301723	host	gene-SynWH7803_2297	None	None	0.09171616220010186
gene-SynWH7803_1247	81.1011942974461	87.07647224041884	host	dnaJ	None	None	0.10614948830835941
gene-SynWH7803_1922	358.24088585384743	369.23101302342036	host	gene-SynWH7803_1922	None	None	0.08301550574654049
gene-SynWH7803_0857	37.18083357033195	42.136215206365605	host	gene-SynWH7803_0857	None	None	0.1547952649364951
gene-SynWH7803_1700	48.902947237516926	56.084426585554226	host	gene-SynWH7803_1700	None	None	0.24561832412914802
gene-RNA_34	1058.6191818595114	1027.7795907414832	host	gene-RNA_34	None	None	0.22792392154772703
gene-SynWH7803_1960	71.31351059241997	104.8365124226204	host	purC	None	None	3.1898708625535277
gene-SynWH7803_1041	103.62608336659679	102.25017879788018	host	gene-SynWH7803_1041	None	None	0.004597697088319003
gene-SynWH7803_2199	305.6283562161732	303.1361114686922	host	tolC	None	None	0.005101549294563863
gene-SynWH7803_0038	500.900526936844	430.4183147921673	host	gene-SynWH7803_0038	None	None	2.6670469909019063
gene-SynWH7803_0325	103.15260297702483	98.96351181533834	host	gene-SynWH7803_0325	None	None	0.043411889197820006
gene-SynWH7803_0178	325.7548032127947	415.5399708123154	host	gene-SynWH7803_0178	None	None	5.437362169101815
gene-SynWH7803_0397	4291.738815828035	3725.0282787583137	host	psaI	None	None	20.030570243379564
gene-SynWH7803_2194	231.46563781710248	267.69208115763684	host	xseB	None	None	1.314569671285961
gene-SynWH7803_1950	22.201806076334318	29.093014802719114	host	gene-SynWH7803_1950	None	None	0.46290012224211025
gene-SynWH7803_1603	263.2431999978671	364.22419986011033	host	gene-SynWH7803_1603	None	None	8.125651097958567
gene-SynWH7803_0914	32.51087960190798	47.654494402552196	host	gene-SynWH7803_0914	None	None	1.4303498990569876
gene-SynWH7803_0321	193.81000711356754	122.92512043818934	host	cobA	None	None	7.931970157241466
gene-SynWH7803_1834	771.3438720623461	707.9834085447021	host	rplS	None	None	1.3568830879409288
gene-SynWH7803_0599	65.55039486687951	61.91521086606524	host	gene-SynWH7803_0599	None	None	0.05183579775811108
gene-SynWH7803_1099	122.21766356088091	129.32768301067216	host	fmt	None	None	0.10048362505094102
gene-SynWH7803_2506	38.18181953943716	52.9456028532751	host	eriC	None	None	1.1959588673463417
gene-SynWH7803_0008	411.7051315722269	377.37449709822295	host	gene-SynWH7803_0008	None	None	0.7468146563189846
gene-SynWH7803_0337	91.73749539560228	110.73661614136111	host	crtR	None	None	0.8913894877025451
gene-RNA_5	462.7482213238285	285.93567043255564	host	gene-RNA_5	None	None	20.87842312149784
gene-SynWH7803_0906	84.19190746529151	66.64666002563327	host	gene-SynWH7803_0906	None	None	1.0204144498301304
gene-SynWH7803_1778	37.35110545445162	40.98712005176655	host	rsmB	None	None	0.08438155234214409
gene-SynWH7803_0398	76.5598424238555	72.36254124088944	host	gene-SynWH7803_0398	None	None	0.05914939308313966
gene-SynWH7803_0920	103.85717052287784	172.7080114642755	host	gene-SynWH7803_0920	None	None	8.570200818984217
gene-SynWH7803_1631	388.54518423577497	593.1880691947972	host	gene-SynWH7803_1631	None	None	21.328965998661293
gene-SynWH7803_2036	553.9896481113594	313.69608978027924	host	gene-SynWH7803_2036	None	None	33.27298793438464
gene-SynWH7803_2466	152.17184469330078	140.11841362011836	host	gene-SynWH7803_2466	None	None	0.2485289819001975
gene-RNA_32	282.073616982254	290.23545495033846	host	gene-RNA_32	None	None	0.058198971748180756
gene-SynWH7803_2264	249.48091930677595	259.31206461741135	host	gene-SynWH7803_2264	None	None	0.09498108383234909
gene-SynWH7803_0464	169.06714613291052	470.43600137657126	host	pex	None	None	71.01074268717959
gene-SynWH7803_2312	2804.970960758986	1673.438769137834	host	gene-SynWH7803_2312	None	None	142.94863332038923
gene-SynWH7803_2353	576.8217206083807	712.4801149479017	host	hupE	None	None	7.136885811861401
gene-SynWH7803_1179	31.070660416563783	49.40770913489301	host	gene-SynWH7803_1179	None	None	2.0890542239637915
gene-SynWH7803_0357	195.2932959861151	389.79649809171667	host	gene-SynWH7803_0357	None	None	32.32964923696819
gene-SSBP1_gp20	2.0734251884508703	52.973465701227354	phage	gene-SSBP1_gp20	early	early	23.53279251860606
gene-SynWH7803_1925	184.23654670971132	188.4321425487239	host	gene-SynWH7803_1925	None	None	0.02361752536732768
gene-SynWH7803_2151	350.2926193755112	481.72516406520685	host	ftrC	None	None	10.381096502632426
gene-SynWH7803_0036	43.40955671095641	56.37727175986078	host	wcaG	None	None	0.8426043605482465
gene-SynWH7803_0191	191.80943020028215	189.6384130030452	host	gene-SynWH7803_0191	None	None	0.006178191533496479
gene-SynWH7803_0747	76.5598424238555	88.02542895536769	host	gene-SynWH7803_0747	None	None	0.39936646034594325
gene-SynWH7803_1919	162.6791505524511	125.23665310127961	host	gene-SynWH7803_1919	None	None	2.43463644160892
gene-SynWH7803_2202	57.385183643693665	48.60846678124033	host	gene-SynWH7803_2202	None	None	0.36337440297061385
gene-SynWH7803_1768	337.5036480642661	253.66228780198833	host	gene-SynWH7803_1768	None	None	5.945347375545821
gene-SynWH7803_0111	29.556639916420593	37.64095851328628	host	gene-SynWH7803_0111	None	None	0.4862986825637473
gene-SynWH7803_1748	26.916828810071298	35.926512808221275	host	folC	None	None	0.6458473058257246
gene-SynWH7803_0196	367.4103996631126	326.5855162923796	host	fabF	None	None	1.2007787538196697
gene-SynWH7803_0975	130.71678358913934	109.13792139533162	host	gene-SynWH7803_0975	None	None	0.9706861777205744
gene-SynWH7803_2088	122.06468878985821	138.86685025953318	host	gene-SynWH7803_2088	None	None	0.5409706911658378
gene-SynWH7803_1764	313.1369056428693	376.0885322208274	host	clpP	None	None	2.8748991774694175
gene-SynWH7803_1250	61.7210508117648	92.83178567559483	host	gene-SynWH7803_1250	None	None	3.131219865533458
gene-SynWH7803_0400	81.2855304279676	85.19030258282956	host	gene-SynWH7803_0400	None	None	0.04579417115875436
gene-SynWH7803_1762	97.66580029589461	112.58608679792108	host	gene-SynWH7803_1762	None	None	0.5294005974919529
gene-SynWH7803_2503	341.63667335859725	374.2466293747099	host	gene-SynWH7803_2503	None	None	0.7427252649367647
gene-SynWH7803_0785	389.670384193633	367.60586754386503	host	gene-SynWH7803_0785	None	None	0.32144339260004157
gene-SynWH7803_0869	71.794146707739	86.88034110753833	host	pdc	None	None	0.717170304445828
gene-SSBP1_gp31	6.681482328741103	199.23859678676504	phage	gene-SSBP1_gp31	early	early	90.03066259410852
gene-SynWH7803_2453	26.32490780614612	40.14376367210057	host	speE	None	None	1.4364720491406224
gene-SynWH7803_0812	39.36815098071652	39.97694592667214	host	gene-SynWH7803_0812	None	None	0.0023355651493733795
gene-SynWH7803_1943	82.06993882286446	71.08555521899139	host	gene-SynWH7803_1943	None	None	0.3939025625945266
gene-SynWH7803_0762	35.56714797629597	36.658792511970084	host	gene-SynWH7803_0762	None	None	0.008249721528103568
gene-SynWH7803_1693	71.7244839549804	74.86860327520596	host	gene-SynWH7803_1693	None	None	0.03371743677207993
gene-SynWH7803_0573	336.049541615359	210.59756563379733	host	proC	None	None	14.395208598904198
gene-SynWH7803_2000	378.104224370981	351.2973880220346	host	atpB	None	None	0.4926000044622836
gene-SynWH7803_1867	174.2692121677693	145.78424418946423	host	gene-SynWH7803_1867	None	None	1.2675904362354602
gene-SynWH7803_1701	85.15722389026982	57.17508454287722	host	gene-SynWH7803_1701	None	None	2.750605716567399
gene-SynWH7803_0592	193.2812785271475	243.96923774030182	host	gene-SynWH7803_0592	None	None	2.9379830481696603
gene-SynWH7803_2103	58.856598608916585	67.29285271313482	host	gene-SynWH7803_2103	None	None	0.2820875658398451
gene-SynWH7803_2281	155.74798508596072	126.00559003524599	host	gene-SynWH7803_2281	None	None	1.5698293499421128
gene-SynWH7803_0531	49.549981776259514	49.580294398044096	host	gene-SynWH7803_0531	None	None	4.6345832722156215e-06
gene-SynWH7803_0898	74.06360128557354	122.8886527983299	host	gene-SynWH7803_0898	None	None	6.051937984441029
gene-SynWH7803_1884	87.58242962055641	89.15351556289518	host	ndhB	None	None	0.0069830476071304996
gene-SynWH7803_1368	73.09581716487894	100.6039326276102	host	gene-SynWH7803_1368	None	None	2.1781735932692605
gene-SynWH7803_1415	104.31293839769272	82.84382196800047	host	gene-SynWH7803_1415	None	None	1.2313820761031171
gene-SynWH7803_0495	795.942652613964	650.9593017978688	host	gene-SynWH7803_0495	None	None	7.263855007510744
gene-SynWH7803_2333	26.20849120980626	41.759456946829076	host	gene-SynWH7803_2333	None	None	1.7790189487311212
gene-SynWH7803_0584	191.41662177153128	246.9053712563117	host	queA	None	None	3.5122596725247313
gene-SynWH7803_0177	47.88265805329009	68.0082584562645	host	lysS	None	None	1.7475044799857555
gene-SynWH7803_1429	71.7863078824555	89.56655532597455	host	carB	None	None	0.979645457993486
gene-SynWH7803_0444	27.80517299522217	36.56803539232501	host	gene-SynWH7803_0444	None	None	0.5964263652067194
gene-SynWH7803_0081	32.61967329451236	29.508254981023505	host	lysC	None	None	0.07791120829411184
gene-SynWH7803_2146	52.21864789153832	73.0304067730348	host	gene-SynWH7803_2146	None	None	1.7290721630654307
gene-SynWH7803_1258	244.09367571110283	220.19637938310848	host	gene-SynWH7803_1258	None	None	0.6150043119834774
gene-RNA_36	487.52419528445466	680.6164013480159	host	ffs	None	None	15.958952265667877
gene-SynWH7803_0468	81.97883377670523	99.33440681111892	host	gene-SynWH7803_0468	None	None	0.8306506308538604
gene-SynWH7803_1628	179.88534286469215	225.15554647285154	host	pntAB	None	None	2.5298573411638112
gene-SynWH7803_2180	50.52686507732456	49.48261469755961	host	gene-SynWH7803_2180	None	None	0.005451777461965595
gene-SynWH7803_0102	46.43295840378541	52.813860682596385	host	rmlA%2C rfbA	None	None	0.20512452825463853
gene-SynWH7803_1165	38.48763318015659	47.16840119917462	host	pgsA	None	None	0.43987404942359476
gene-SynWH7803_1277	147.12003585383084	187.35021576260132	host	metH	None	None	2.4194489161147965
gene-SynWH7803_2452	103.00695814857382	97.77139471867748	host	gene-SynWH7803_2452	None	None	0.06826215086690958
gene-SynWH7803_0623	561.7802658101976	463.4011854116682	host	gene-SynWH7803_0623	None	None	4.720356307912629
gene-SynWH7803_1117	107.12799808744222	117.94958990775423	host	gene-SynWH7803_1117	None	None	0.2601477352066325
gene-SynWH7803_1435	148.00578683133466	152.43969660278705	host	tpiA%2C tpi%2C cbbJ%2C tim	None	None	0.032717342987936326
gene-SynWH7803_0163	26.36799276163899	30.470148530936832	host	mutY	None	None	0.1480315996696886
gene-SynWH7803_2030	147.51862991407688	154.07822732792096	host	ccdA	None	None	0.07133416214145831
gene-SynWH7803_2142	22.39580624166119	25.140030940286792	host	gene-SynWH7803_2142	None	None	0.07921149224449364
gene-SynWH7803_1882	89.46041544088024	87.80193511897396	host	gene-SynWH7803_1882	None	None	0.007758435362791871
gene-SynWH7803_0451	451.74367731631287	316.7230164242252	host	speH	None	None	11.86165842724957
gene-SynWH7803_1676	659.5485777339586	738.9358851497968	host	gene-SynWH7803_1676	None	None	2.2532765811859665
gene-SynWH7803_1401	48.26708831125351	42.8646494096069	host	sbcD	None	None	0.16013272003779527
gene-SynWH7803_2034	2192.751572207835	1345.3192914997019	host	gene-SynWH7803_2034	None	None	101.48771718405457
gene-SynWH7803_2218	111.03987298717355	156.9421348990719	host	rbfA	None	None	3.931267000437792
gene-SynWH7803_2382	52.301805574040976	56.397092378365684	host	gene-SynWH7803_2382	None	None	0.0771460167747945
gene-SynWH7803_2516	106.79903043996032	100.24046035489108	host	gene-SynWH7803_2516	None	None	0.10388076544147573
gene-SynWH7803_2108	64.34066535740726	75.02935396490719	host	gene-SynWH7803_2108	None	None	0.4098731732392267
gene-SynWH7803_1381	43.36100070295767	55.46338546600423	host	gene-SynWH7803_1381	None	None	0.7410504766627292
gene-SynWH7803_2052	62.76118438258519	65.88177732670933	host	gene-SynWH7803_2052	None	None	0.03784933195538263
gene-SynWH7803_1100	248.016540315021	264.8972145335943	host	pmbA	None	None	0.2777827260235105
gene-SynWH7803_0065	43.94271825079899	39.81580896756886	host	gene-SynWH7803_0065	None	None	0.10166953024143016
gene-SynWH7803_0155	71.46686934324924	67.8267270699459	host	gene-SynWH7803_0155	None	None	0.04756369320303797
gene-SynWH7803_0636	55.459996903303725	61.26390194634511	host	phr	None	None	0.14429484484591706
gene-SynWH7803_1077	95.61365116035427	119.95240613498088	host	gene-SynWH7803_1077	None	None	1.3739987666595659
gene-SynWH7803_1507	27.216986334475347	28.805834886538516	host	recC	None	None	0.02253045871640542
gene-SynWH7803_0752	229.49747979936822	253.78797020869206	host	petJ	None	None	0.6104341898929637
gene-SynWH7803_0758	92.82532552258233	130.9317873083223	host	gene-SynWH7803_0758	None	None	3.244818480754683
gene-SynWH7803_0221	1105.512611842214	1032.8726777181216	host	ho1	None	None	1.233772055792007
gene-SynWH7803_1865	221.77126345689177	199.02082324157672	host	nanE	None	None	0.6150098188057349
gene-SynWH7803_0028	188.19671888766482	156.2976086777205	host	murC	None	None	1.4768795169683044
gene-SynWH7803_2260	260.3081652840645	192.64647058861078	host	devC	None	None	5.053602023788191
gene-SynWH7803_1694	79.90933552989917	74.87447685809889	host	gene-SynWH7803_1694	None	None	0.08188776802272411
gene-SynWH7803_0395	46.87714131518153	55.06478346841242	host	gene-SynWH7803_0395	None	None	0.32880232628368056
gene-SynWH7803_0570	80.14561387268421	116.97185335174274	host	gene-SynWH7803_0570	None	None	3.4400094858790653
gene-SynWH7803_0602	46.04194401722722	52.63174159570765	host	mqoA	None	None	0.22004565784484084
gene-SynWH7803_1370	207.53629690008245	269.39288576133526	host	gene-SynWH7803_1370	None	None	4.011326759455601
gene-SynWH7803_1599	68.93570022119552	67.08374300642801	host	gene-SynWH7803_1599	None	None	0.012607556110893196
gene-SynWH7803_1606	77.15340072742532	84.0123045587287	host	thrA	None	None	0.14595090712239087
gene-SynWH7803_1970	53.72726699243481	72.99153309535228	host	gene-SynWH7803_1970	None	None	1.46431290474231
gene-SynWH7803_1558	185.9215778263455	147.0560161652721	host	sasA	None	None	2.2682185085233164
gene-SynWH7803_0417	207.6695732697554	443.8032556417464	host	rplO	None	None	42.79465963585937
gene-SynWH7803_1411	74.62307824580742	98.75870927795256	host	alkB	None	None	1.6799016022372555
gene-SynWH7803_1032	27.2227018647312	42.68350487027789	host	aroA	None	None	1.7096938937226873
gene-SynWH7803_2153	146.9109200069207	196.7667907518394	host	gene-SynWH7803_2153	None	None	3.616190066918219
gene-SynWH7803_0011	58.43905914115684	82.91080746201821	host	ftsY	None	None	2.118383555185221
gene-SynWH7803_0529	202.70087382094133	176.75223280912633	host	minD	None	None	0.887240028603172
gene-SynWH7803_1735	167.8256921983134	209.08465840652312	host	gene-SynWH7803_1735	None	None	2.258232348671865
