# Program:featureCounts v2.0.1; Command:"featureCounts" "-p" "-M" "-O" "--primary" "-a" "dualGenome.gff3" "-t" "gene" "-o" "countData.tsv" "-g" "ID" "SRR13084821_sorted.bam" "SRR13084827_sorted.bam" "SRR13084839_sorted.bam" "SRR13084830_sorted.bam" "SRR13084822_sorted.bam" "SRR13084838_sorted.bam" "SRR13084833_sorted.bam" "SRR13084829_sorted.bam" "SRR13084817_sorted.bam" "SRR13084834_sorted.bam" "SRR13084835_sorted.bam" "SRR13084831_sorted.bam" "SRR13084828_sorted.bam" "SRR13084826_sorted.bam" "SRR13084823_sorted.bam" "SRR13084840_sorted.bam" "SRR13084818_sorted.bam" "SRR13084820_sorted.bam" "SRR13084836_sorted.bam" "SRR13084825_sorted.bam" "SRR13084832_sorted.bam" "SRR13084824_sorted.bam" "SRR13084819_sorted.bam" "SRR13084837_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR13084821_sorted.bam	SRR13084827_sorted.bam	SRR13084839_sorted.bam	SRR13084830_sorted.bam	SRR13084822_sorted.bam	SRR13084838_sorted.bam	SRR13084833_sorted.bam	SRR13084829_sorted.bam	SRR13084817_sorted.bam	SRR13084834_sorted.bam	SRR13084835_sorted.bam	SRR13084831_sorted.bam	SRR13084828_sorted.bam	SRR13084826_sorted.bam	SRR13084823_sorted.bam	SRR13084840_sorted.bam	SRR13084818_sorted.bam	SRR13084820_sorted.bam	SRR13084836_sorted.bam	SRR13084825_sorted.bam	SRR13084832_sorted.bam	SRR13084824_sorted.bam	SRR13084819_sorted.bam	SRR13084837_sorted.bam
gene-b0011	U00096.3	10643	11356	-	714	38	19	19	57	17	50	35	54	74	36	75	47	38	40	103	59	97	29	73	49	56	57	37	51
gene-b0012	U00096.3	10830	11315	+	486	23	14	14	42	9	39	22	37	58	32	58	35	20	27	74	36	65	23	55	38	39	37	23	41
gene-b0013	U00096.3	11382	11786	-	405	15	15	6	20	10	29	17	29	36	16	32	24	16	19	30	18	28	18	39	15	28	24	11	22
gene-b0014	U00096.3	12163	14079	+	1917	10940	6447	11076	15991	12632	10789	10559	23858	24594	17754	29004	17316	12500	12097	37702	23253	28369	6950	19236	19074	9192	20335	11840	21869
gene-b0015	U00096.3	14168	15298	+	1131	1252	736	1171	2346	877	1450	1053	2625	2929	1203	3006	2836	965	1691	3735	2099	4145	1122	2759	3269	1470	3058	1965	3135
gene-b0016	U00096.3	15445	16557	+	1113	327	177	268	647	191	527	211	640	864	241	740	644	200	616	1027	351	1093	324	769	836	492	910	592	855
gene-b0018	U00096.3	16751	16960	-	210	81	55	74	135	35	143	65	141	166	58	149	114	43	139	163	66	136	77	146	87	120	94	76	161
gene-b4412	U00096.3	16751	16903	-	153	74	53	72	125	32	128	62	136	157	53	134	108	40	132	149	61	123	61	134	82	109	92	73	149
gene-b4413	U00096.3	16952	17010	+	59	35	13	18	40	24	55	19	45	62	14	60	33	20	46	57	20	41	34	60	31	53	27	27	69
gene-b0019	U00096.3	17489	18655	+	1167	827	555	673	1886	504	1447	580	2220	3113	567	2256	1737	592	1666	2935	1122	3103	875	2358	1842	1404	2673	1367	2085
gene-b0020	U00096.3	18715	19620	+	906	381	243	338	1104	270	730	282	1201	1325	347	1292	816	344	798	1501	532	1586	435	1356	912	614	1381	641	1093
gene-b0021	U00096.3	19811	20314	-	504	99	74	62	261	47	199	91	242	276	51	242	267	65	230	361	123	469	135	354	324	170	371	206	305
gene-b0022	U00096.3	20233	20508	-	276	60	38	43	174	25	180	47	103	107	33	134	176	30	155	173	61	286	77	319	220	133	241	147	199
gene-b0023	U00096.3	20815	21078	-	264	19075	12847	15816	72736	7309	80705	14905	58735	44047	11842	58922	70323	7479	70480	62031	10836	70899	36573	100867	61979	73053	49134	52566	88601
gene-b0024	U00096.3	21181	21399	+	219	1185	755	1155	6022	610	9015	1202	3590	2466	1114	3894	3505	760	3260	3323	822	3424	1400	11078	2894	8122	2368	2249	5171
gene-b0025	U00096.3	21407	22348	+	942	3628	2262	3340	5360	1777	5007	2867	8120	8502	2392	8034	5137	1832	5311	9216	2964	7500	3004	5827	4810	4766	6479	3636	5927
gene-b0026	U00096.3	22391	25207	+	2817	13582	8868	12311	19409	6613	14702	9971	31108	35502	8094	31989	20783	7019	20836	38929	12757	36640	12190	19317	23951	12799	31248	14841	23003
gene-b0027	U00096.3	25207	25701	+	495	2430	1586	2194	4695	1325	3433	1857	6082	7151	1587	5933	4340	1359	3937	7030	2213	6583	2247	4614	4554	3039	5558	3148	5234
gene-b0028	U00096.3	25826	26275	+	450	1223	790	1096	2829	619	1722	932	3436	3944	753	3776	2894	635	2387	4292	1201	4482	1301	2553	3249	1404	3981	2068	3467
gene-b0029	U00096.3	26277	27227	+	951	1673	1223	1392	3665	881	2191	1160	4603	5658	989	4731	4129	915	3369	5824	1508	6648	2005	3646	5105	1982	5574	3328	5002
gene-b0030	U00096.3	27293	28207	+	915	153	94	87	312	52	185	112	276	286	78	274	381	90	237	382	132	587	147	292	476	168	423	268	434
gene-b0031	U00096.3	28374	29195	+	822	1952	1258	1905	3751	1348	2667	1637	6426	6693	1928	6693	3674	1379	3095	7310	1993	5555	1801	4155	3302	2600	4669	2765	4613
gene-b0032	U00096.3	29651	30799	+	1149	41302	26203	29597	6472	11501	19990	28513	24874	18125	13059	21148	1525	11766	20835	19899	16035	7262	14662	5350	882	22905	5895	548	1048
gene-b0033	U00096.3	30817	34038	+	3222	108464	68774	79337	39247	39905	27845	75708	62911	54818	41465	58393	12710	37898	27801	62624	54095	46667	21697	29966	9135	35642	34749	6452	11790
gene-b0034	U00096.3	34300	34695	+	396	653	397	429	425	310	191	459	464	397	378	486	191	355	102	510	401	368	74	467	140	303	247	107	192
gene-b0035	U00096.3	34781	35371	-	591	128	64	77	123	60	78	93	151	132	72	151	96	74	62	171	119	154	38	170	97	98	140	71	96
gene-b0036	U00096.3	35377	36162	-	786	59	40	51	92	27	41	57	80	86	30	80	89	37	53	129	62	147	34	98	100	43	107	56	107
gene-b0037	U00096.3	36271	37824	-	1554	138	65	100	189	69	149	115	213	212	88	268	168	102	133	281	155	253	73	249	127	179	160	100	169
gene-b0038	U00096.3	37898	39115	-	1218	131	85	87	197	51	146	125	245	205	67	260	161	90	124	257	124	246	91	172	160	139	171	92	201
gene-b0039	U00096.3	39244	40386	-	1143	254	131	234	309	116	343	173	498	400	153	475	349	124	324	443	195	375	204	332	223	316	298	198	409
gene-b0040	U00096.3	40417	41931	-	1515	28	13	12	14	12	33	20	30	25	22	44	15	31	16	70	82	56	21	26	17	27	16	10	19
gene-b0041	U00096.3	42403	43173	+	771	19	6	10	19	9	32	16	27	24	17	24	13	18	13	54	44	44	14	31	18	20	18	14	26
gene-b0042	U00096.3	43188	44129	+	942	28	15	17	33	13	32	26	70	53	15	67	33	30	21	91	41	78	23	37	38	33	31	31	36
gene-b0043	U00096.3	44180	45466	+	1287	38	26	17	36	19	35	23	57	64	18	64	38	48	31	132	91	83	41	31	35	48	35	27	63
gene-b0044	U00096.3	45463	45750	+	288	12	8	5	7	7	19	11	18	13	3	17	8	14	4	22	22	24	11	7	12	19	9	6	14
gene-b0045	U00096.3	45807	47138	+	1332	32	19	16	29	11	45	36	47	40	16	43	34	43	36	85	52	98	31	46	31	43	38	20	27
gene-b0046	U00096.3	47246	47776	+	531	80	50	83	176	66	141	67	305	392	85	327	178	94	164	431	153	383	102	225	219	183	301	142	214
gene-b0047	U00096.3	47769	49631	+	1863	433	249	348	867	276	528	314	1566	1751	387	1521	997	388	789	1793	572	1693	430	974	1036	532	1227	682	1234
gene-b0048	U00096.3	49823	50302	+	480	1260	808	954	2299	473	2668	812	2898	2997	585	2687	2616	470	3070	3101	682	3081	1753	2794	2379	2540	2516	2094	3219
gene-b0049	U00096.3	50380	51222	-	843	727	519	606	1383	450	1094	525	1946	2097	504	1979	1260	463	1266	2425	751	2200	775	1617	1396	1088	2038	962	1349
gene-b0050	U00096.3	51229	51606	-	378	688	461	578	1546	428	1462	502	1998	2144	548	1966	1551	450	1691	2133	634	2047	977	1742	1477	1297	1817	1136	2002
gene-b0051	U00096.3	51609	52430	-	822	2034	1295	1700	4120	1040	3860	1487	5645	5849	1356	5500	4554	1093	4995	6203	1670	5713	2726	4223	4373	3387	4894	3252	5532
gene-b0052	U00096.3	52427	53416	-	990	895	619	770	2261	509	2219	663	2766	2754	648	2515	1989	583	2160	3132	937	2766	1104	2961	2158	2116	2309	1486	2370
gene-b0053	U00096.3	53416	54702	-	1287	3417	2313	3188	9732	2096	5938	2685	11825	11235	2727	11517	9085	2119	8814	14361	3657	13987	4128	9284	9601	5277	11302	6991	11199
gene-b0054	U00096.3	54755	57109	-	2355	2339	1722	2290	5412	1661	3643	1808	7303	7659	1765	6972	4444	1718	4997	9744	3037	7868	2555	5445	4939	3517	6348	3574	5123
gene-b0055	U00096.3	57364	58179	+	816	919	571	791	2115	450	1761	660	2790	2722	668	2732	2111	453	2196	2975	701	2876	1099	2319	1975	1745	2198	1564	2822
gene-b0056	U00096.3	58474	59124	+	651	192	143	185	886	119	669	188	692	531	172	696	781	150	635	786	243	975	334	1077	696	670	547	511	959
gene-b0057	U00096.3	59121	59279	+	159	60	32	60	226	33	262	48	125	106	38	125	182	44	169	147	81	238	100	347	175	247	144	118	217
gene-b0058	U00096.3	59687	60346	-	660	576	466	492	1782	276	2365	445	2435	2389	353	2125	3953	269	3813	2399	448	2672	1659	1902	3622	1948	2171	2786	4806
gene-b0059	U00096.3	60358	63264	-	2907	1072	738	827	5630	474	3757	799	5252	5962	679	4819	9233	516	7057	5964	1083	8956	3383	5288	9925	3191	6876	7257	10992
gene-b0060	U00096.3	63429	65780	-	2352	192	108	179	326	106	263	151	442	409	139	474	234	138	220	481	297	401	133	382	208	266	289	122	308
gene-b0061	U00096.3	65855	66550	-	696	25	9	12	22	13	38	22	35	24	14	39	19	21	17	59	30	54	10	23	21	35	32	18	22
gene-b0062	U00096.3	66835	68337	-	1503	56	27	34	55	35	72	39	103	118	38	113	59	74	66	182	97	130	44	87	83	63	90	51	79
gene-b0063	U00096.3	68348	70048	-	1701	69	32	29	43	31	52	45	81	58	39	88	40	66	41	123	105	113	29	50	40	60	46	25	54
gene-b0064	U00096.3	70387	71265	+	879	253	183	287	185	170	346	197	350	445	196	504	187	190	335	555	278	301	158	317	167	254	286	138	268
gene-b0065	U00096.3	71351	72115	+	765	429	251	406	569	229	641	326	881	1244	282	880	691	265	718	1299	409	1032	371	786	712	525	923	501	754
gene-b0066	U00096.3	72229	72927	-	699	476	321	397	944	184	725	370	1526	1497	246	1466	1005	202	946	1590	319	1544	496	1097	1068	675	1385	747	1197
gene-b0067	U00096.3	72911	74521	-	1611	1154	721	837	2282	382	1465	763	3562	4008	493	3217	2389	413	2104	4058	697	4349	1159	2350	2846	1349	3640	1787	2371
gene-b0068	U00096.3	74497	75480	-	984	1151	685	811	2754	415	1513	820	4024	4553	537	4163	2441	480	2117	4662	795	4658	1125	3043	2994	1494	3992	1857	2788
gene-b4762	U00096.3	75516	75608	-	93	238	205	180	545	120	507	160	566	577	108	663	409	115	398	726	183	634	525	825	425	526	576	337	423
gene-b0069	U00096.3	75644	77299	-	1656	115	75	77	157	74	181	83	199	246	86	208	116	93	147	312	174	269	111	240	137	166	191	94	162
gene-b4577	U00096.3	77367	77593	+	227	250	160	259	428	161	782	195	374	419	205	488	267	197	332	421	322	308	193	988	190	732	294	213	394
gene-b4662	U00096.3	77388	77519	+	132	244	158	255	409	157	769	187	363	409	202	470	257	193	322	407	314	297	186	960	182	718	282	208	378
gene-b0070	U00096.3	77621	78799	+	1179	161	82	99	272	74	250	85	318	398	109	345	226	107	240	472	177	380	121	350	237	263	323	217	291
gene-b0071	U00096.3	78848	79453	-	606	800	481	900	2197	869	1253	693	3353	3750	1092	4709	2288	1027	1245	4261	1753	3163	650	2591	2541	896	2760	1627	3301
gene-b0072	U00096.3	79464	80864	-	1401	1560	1023	1743	3290	1510	1706	1303	5348	5847	1745	7156	3303	1891	1707	7018	3297	5972	1063	3680	4043	1341	4945	2381	4257
gene-b0073	U00096.3	80867	81958	-	1092	1524	1029	1653	3546	1479	1409	1159	4659	5249	1576	5927	2547	1676	1374	6005	2656	5949	849	4243	2728	1284	4910	1662	3224
gene-b0074	U00096.3	81958	83529	-	1572	1040	767	1080	2200	756	876	805	2876	3512	940	3274	1466	895	878	4289	1477	3987	533	2736	1596	751	3689	985	1718
gene-b0075	U00096.3	83622	83708	-	87	1298	1081	1280	2437	1503	3615	689	3595	7161	1257	4982	1340	2040	1452	8589	1435	1855	985	4522	910	4149	2128	858	1200
gene-b0076	U00096.3	84368	85312	+	945	62	24	60	99	47	70	35	123	109	55	153	70	54	43	214	69	144	45	129	66	89	75	46	97
gene-b4726	U00096.3	85467	85511	-	45	2	0	0	1	0	0	2	1	1	1	0	1	4	0	5	3	1	0	1	2	0	0	0	2
gene-b0077	U00096.3	85630	87354	+	1725	687	570	607	1104	600	564	418	1923	3094	453	1846	782	772	997	3615	1718	2429	503	1111	1017	633	2121	802	767
gene-b0078	U00096.3	87357	87848	+	492	372	269	311	800	434	381	236	1302	1754	376	1263	489	431	581	1961	738	1463	279	863	627	329	1153	503	705
gene-b0080	U00096.3	88028	89032	+	1005	498	355	473	978	357	689	372	1322	1669	377	1261	786	365	848	1822	727	1550	476	1128	725	734	1185	602	794
gene-b0081	U00096.3	89634	90092	+	459	1629	1100	1501	3393	877	3018	1261	4433	4232	1243	4428	3436	952	3195	4882	1450	4471	1602	4136	3095	2817	3770	2506	4465
gene-b0082	U00096.3	90094	91035	+	942	1782	1050	1461	3518	885	2490	1299	4680	4814	1267	4658	3610	926	3327	5196	1613	5325	1766	3466	3634	2307	4270	2708	4654
gene-b0083	U00096.3	91032	91397	+	366	719	462	469	1628	379	1415	413	1602	1773	428	1409	1558	453	1500	1994	675	2084	869	1945	1511	1819	1897	1117	1541
gene-b0084	U00096.3	91413	93179	+	1767	4626	3209	4085	8432	3098	11274	2735	7768	11003	3528	9741	6463	3681	7618	10967	4365	9248	4031	15078	6125	12446	8716	5211	7907
gene-b4810	U00096.3	92485	92658	+	174	3638	2582	3162	5981	2544	9319	1926	4889	7815	2791	6651	4363	3090	5601	7604	3257	6127	2991	12155	4048	10657	5932	3734	5329
gene-b0085	U00096.3	93166	94653	+	1488	3488	2266	3322	6932	1830	5299	2604	10387	10691	2613	10651	7237	1911	6671	11083	3058	9719	3600	7146	7063	4800	8709	5377	9354
gene-b0086	U00096.3	94650	96008	+	1359	1810	1221	1677	3246	849	2587	1364	4892	5133	1131	5064	3809	952	3446	5452	1677	5105	1931	3268	4028	2169	4539	2636	4543
gene-b0087	U00096.3	96002	97084	+	1083	1092	726	889	2031	435	1807	719	2409	2975	602	2456	2225	543	1864	3045	1013	3259	1197	2224	2286	1739	2800	1463	2159
gene-b0088	U00096.3	97087	98403	+	1317	2233	1460	2016	4189	1032	3291	1579	5659	6178	1403	5868	4580	1092	4393	6440	1922	6310	2331	3987	4676	2933	5485	3321	5501
gene-b0089	U00096.3	98403	99647	+	1245	1730	1088	1657	3862	787	3165	1368	4736	5161	1257	4740	4315	824	3960	5084	1455	5600	2159	4008	3999	2860	5005	3117	5046
gene-b0090	U00096.3	99644	100711	+	1068	1834	1203	1739	4008	815	3243	1560	4915	5442	1289	5044	4294	917	3898	5147	1446	5809	2182	4378	4265	3199	4801	3135	5421
gene-b0091	U00096.3	100765	102240	+	1476	3607	2348	3416	7403	1700	5706	2914	9629	9286	2416	9986	8221	1753	7362	9935	2699	10357	4169	7333	7675	5202	8786	5629	10244
gene-b0092	U00096.3	102233	103153	+	921	2305	1522	2286	4763	1278	4169	1808	6491	6403	1772	6377	5162	1268	4812	6697	1912	6611	2628	5376	4848	3791	5518	3721	6640
gene-b0093	U00096.3	103155	103985	+	831	1887	1284	1847	3596	1101	2972	1535	5230	5295	1470	4742	3896	1111	3704	5361	1833	5645	1922	4078	3981	2830	4568	2845	5180
gene-b0094	U00096.3	103982	105244	+	1263	4427	2639	3964	8184	2396	6318	3347	12018	11403	3588	11209	7706	2515	7306	12288	3890	11553	3976	8983	7502	5726	9503	8578	10255
gene-b4840	U00096.3	104948	105499	-	552	4093	2450	3780	8412	2147	6849	3270	12058	10924	3403	11595	7457	2299	7033	11733	3572	10864	3673	9348	6947	6077	8984	8375	10292
gene-b0095	U00096.3	105305	106456	+	1152	9983	6218	8818	18088	5201	13483	7493	27816	26323	7302	26140	18201	5348	17417	28845	8579	27628	9635	17775	18062	12156	22740	13781	23149
gene-b0096	U00096.3	106557	107474	+	918	14885	9332	12726	28440	6306	23495	11156	31272	29257	8503	30618	27589	6668	27370	34238	10682	36207	15278	26419	26315	20063	30090	19816	32387
gene-b0097	U00096.3	107705	108217	+	513	1265	845	1212	3588	637	3240	973	3196	3200	865	3630	2925	762	2535	3973	1086	4333	1547	4611	3199	3046	3482	2202	3722
gene-b0098	U00096.3	108279	110984	+	2706	8083	5290	7642	26401	4714	16281	6693	30030	28792	6917	30422	30615	4730	22001	37604	7534	38572	11912	25996	31505	14487	31710	22333	37255
gene-b0099	U00096.3	111044	111433	+	390	203	152	196	533	114	510	175	614	568	145	480	647	97	604	632	211	781	310	621	737	536	559	477	795
gene-b0101	U00096.3	111649	111846	-	198	241	164	181	522	104	521	180	667	665	144	654	511	116	552	739	234	771	280	670	496	474	671	361	537
gene-b0102	U00096.3	111856	112599	-	744	548	357	418	1003	233	886	393	1458	1482	311	1404	1108	272	1059	1617	481	1777	633	1087	1059	738	1439	751	1139
gene-b0103	U00096.3	112599	113219	-	621	438	245	381	974	223	870	346	1248	1204	359	1324	925	251	826	1401	416	1269	420	1128	833	818	1069	633	1105
gene-b4727	U00096.3	113244	113288	+	45	50	24	37	220	33	304	47	167	185	47	186	104	42	93	160	52	152	26	431	59	337	109	68	175
gene-b0104	U00096.3	113444	114487	+	1044	2250	1634	1970	3438	1265	1490	1512	5316	6394	1277	5595	2425	1423	2239	7092	2314	5531	1202	3452	2971	1437	4981	2146	2951
gene-b0106	U00096.3	114522	115724	-	1203	99	67	84	161	40	135	74	176	200	58	206	145	76	167	234	107	218	105	199	135	177	180	125	183
gene-b0107	U00096.3	115714	117099	-	1386	102	79	82	153	55	142	94	162	162	68	182	125	54	3130	219	130	215	88	171	130	97	179	94	165
gene-b0108	U00096.3	117109	117549	-	441	14	12	8	15	3	30	16	22	11	17	23	10	17	17	23	24	43	16	28	18	11	27	15	19
gene-b0109	U00096.3	117752	118645	-	894	899	583	868	1263	570	988	743	2162	2334	691	2348	1167	519	1151	2646	850	1851	681	1451	1110	952	1631	806	1410
gene-b0110	U00096.3	118733	119284	+	552	285	212	263	408	215	333	212	717	872	258	802	347	262	352	945	397	640	188	504	306	338	562	236	404
gene-b0111	U00096.3	119281	120135	+	855	353	224	291	512	279	382	251	848	1090	302	923	405	310	387	1143	457	851	265	654	446	407	789	331	445
gene-b0112	U00096.3	120178	121551	-	1374	972	567	864	1304	471	1043	791	1987	2167	673	2151	1261	540	1097	2404	836	2037	732	1308	1172	952	1658	887	1383
gene-b0113	U00096.3	122092	122856	+	765	392	262	223	766	142	674	267	723	646	141	495	820	119	793	574	228	946	413	877	715	733	640	753	979
gene-b0114	U00096.3	123017	125680	+	2664	70548	43148	52277	86541	21065	87559	53540	119354	83035	27358	81554	119227	19615	128868	83402	31736	105898	79102	56450	82355	93627	62881	67395	100312
gene-b0115	U00096.3	125695	127587	+	1893	55586	33563	39816	53437	16769	57265	42420	82457	61115	20855	52774	74768	15633	84559	56674	25633	66791	51216	32647	46285	61693	40174	40439	56495
gene-b0116	U00096.3	127912	129336	+	1425	40605	25929	31523	49508	14614	49201	31089	71996	55540	18604	57313	61954	14445	66067	62090	24767	65242	40580	38572	47445	56190	44288	34734	56584
gene-b0117	U00096.3	129407	131260	-	1854	253	160	182	461	112	488	185	397	408	135	362	405	156	413	527	187	477	284	466	322	588	390	217	386
gene-b0118	U00096.3	131615	134212	+	2598	15949	11568	14547	19448	10542	15872	12359	30414	34615	9540	28270	18710	9103	21433	32952	19228	25231	9978	17658	14851	14765	19345	13047	23797
gene-b0119	U00096.3	134388	134750	+	363	546	386	452	912	387	819	380	1361	1640	425	1305	862	394	984	1558	546	1337	508	1298	863	1014	1097	733	1341
gene-b0120	U00096.3	134788	135582	-	795	2281	1521	1566	2630	761	3320	1581	3134	3207	867	3032	2878	772	3901	3898	1230	4132	2397	2697	3091	3037	2825	2185	2784
gene-b0121	U00096.3	135598	136464	-	867	4161	2615	3137	5841	1361	6313	2740	6062	5745	1517	5897	5995	1351	8111	6865	1945	8229	4704	6025	6350	5421	6121	4699	6775
gene-b0122	U00096.3	136570	136917	-	348	169	105	127	486	101	471	87	427	538	112	539	384	139	379	694	151	663	200	810	402	423	548	303	487
gene-b0123	U00096.3	137083	138633	+	1551	718	430	927	2058	460	1535	727	2803	2222	867	3948	2001	497	1152	2393	1094	2136	659	2875	1428	1304	1734	1119	3085
gene-b0124	U00096.3	138835	141225	-	2391	9469	5553	6382	12652	3849	9707	6581	20911	24071	4558	16615	17324	4059	15140	25277	7915	24294	10391	10503	17743	12293	19128	10939	11941
gene-b0125	U00096.3	141431	141967	+	537	1383	1041	1017	2651	692	2449	984	2989	3795	800	2856	2666	666	2856	3475	1069	3588	1487	3124	2350	2785	2877	2013	3191
gene-b0126	U00096.3	142008	142670	-	663	6177	4298	5219	8938	3886	6140	4292	14560	16304	4931	16244	7161	4274	7602	23294	6071	14468	4301	9695	8418	5846	13220	5857	8100
gene-b0127	U00096.3	142779	143705	+	927	322	229	314	1159	211	690	286	1092	1072	299	1183	998	245	884	1306	415	1336	455	1078	1011	599	973	753	1434
gene-b0128	U00096.3	143702	144472	+	771	106	90	110	368	66	269	104	342	375	84	297	323	102	303	442	211	436	130	370	308	264	371	278	393
gene-b0129	U00096.3	144577	145017	+	441	36	14	34	95	14	70	30	96	116	19	94	68	29	74	141	56	151	37	110	86	77	97	74	91
gene-b0130	U00096.3	145081	146310	+	1230	342	212	271	606	150	493	243	841	972	188	929	547	200	580	1134	290	987	332	746	644	525	840	455	589
gene-b0131	U00096.3	146314	146694	-	381	2298	1479	1921	4688	1031	3503	1639	7016	8751	1384	7600	3938	1093	4191	9106	1609	6925	2462	5386	4222	3351	6067	3411	4432
gene-b0132	U00096.3	146968	147870	+	903	189	119	177	271	132	365	133	364	436	153	375	218	137	321	515	202	379	207	416	211	404	265	221	288
gene-b0133	U00096.3	147944	148795	-	852	1822	1274	1663	3156	1105	2532	1382	5534	6033	1180	4964	3163	1044	3374	6175	1841	4981	1739	3053	3183	2234	4059	2273	3625
gene-b0134	U00096.3	148807	149601	-	795	1704	1153	1489	2455	832	2365	1366	4365	4734	1003	4105	2827	888	3019	5118	1623	4134	1646	2625	2765	2174	3383	1874	2819
gene-b0135	U00096.3	149715	150953	-	1239	19	14	23	65	12	60	31	43	41	21	56	32	32	29	69	44	60	24	64	24	47	26	18	50
gene-b0136	U00096.3	151003	151599	-	597	16	5	14	24	9	24	7	17	17	9	28	9	16	14	35	18	23	12	34	12	21	13	3	23
gene-b0137	U00096.3	151626	152231	-	606	23	5	13	19	9	30	17	28	19	13	36	18	17	12	44	36	30	18	40	17	29	10	17	24
gene-b0138	U00096.3	152243	152812	-	570	17	6	12	20	7	19	16	23	14	18	25	14	7	14	35	21	26	10	33	16	31	13	10	30
gene-b0139	U00096.3	152829	155426	-	2598	65	29	45	84	27	91	68	101	82	46	93	61	51	61	98	71	130	34	110	65	98	50	42	87
gene-b0140	U00096.3	155461	156201	-	741	8	6	11	16	4	19	6	11	15	7	16	16	13	11	22	17	28	10	18	16	16	17	3	11
gene-b0141	U00096.3	156299	156883	-	585	14	13	12	34	6	28	12	15	12	5	18	24	14	20	29	20	31	5	24	27	23	14	17	30
gene-b0142	U00096.3	157253	157732	-	480	417	263	342	393	140	479	262	708	691	150	652	567	141	574	756	247	697	369	457	534	405	560	350	557
gene-b0143	U00096.3	157729	159126	-	1398	3701	2365	2652	4022	1194	4430	2173	6272	7518	1383	6522	5471	1220	6164	8097	2327	9061	3859	5095	6699	3821	7331	4374	5623
gene-b0144	U00096.3	159186	160112	-	927	216	142	165	822	132	558	173	764	892	160	908	726	154	632	1116	270	1246	330	979	930	439	1049	629	998
gene-b0145	U00096.3	160149	160604	-	456	6146	4151	5389	10976	3669	9496	4356	16953	16715	5055	15850	10491	3741	12150	20963	5756	16238	6210	12726	11008	8060	13640	8885	14052
