Geneid	8_R1	8_R2	24_R1	24_R2	Entity	Symbol
gene-PA5043	133	281	233	182	host	pilN
gene-PA1616	30	56	68	44	host	gene-PA1616
gene-PA4094	13	13	28	17	host	gene-PA4094
gene-PA4406	499	924	891	876	host	lpxC
gene-PA4465	299	664	563	440	host	gene-PA4465
gene-PA5258	154	320	337	236	host	gene-PA5258
gene-PA3604	75	147	146	105	host	erdR
gene-PA1529	223	433	402	309	host	lig
gene-PA3351	228	542	747	515	host	flgM
gene-PA1495	7	23	18	15	host	gene-PA1495
gene-PA1527	456	913	628	601	host	gene-PA1527
gene-PA0736	53	121	131	87	host	gene-PA0736
gene-PA2368	0	3	6	1	host	gene-PA2368
gene-PA3102	26	52	54	39	host	xcpS
gene-PA2560	47	94	110	78	host	gene-PA2560
gene-PA4989	16	25	20	18	host	gene-PA4989
gene-PA3230	32	47	54	42	host	gene-PA3230
gene-PA4553	47	89	142	95	host	pilX
gene-PA0968	230	439	391	311	host	gene-PA0968
gene-PA5451	77	135	75	68	host	wzm
gene-PA5503	154	342	212	200	host	gene-PA5503
gene-PA3872	5	7	25	17	host	narI
gene-PA4450	497	1014	807	586	host	murA
gene-PA0796	21	57	71	53	host	prpB
gene-PA0413	708	1515	1092	940	host	chpA
gene-PA3278	98	378	580	503	host	gene-PA3278
gene-PA2373	14	45	33	39	host	gene-PA2373
gene-PA4452	54	143	191	197	host	gene-PA4452
gene-F358_gp52	7154	9979	5489	5441	phage	gene-F358_gp52
gene-PA0133	30	76	69	51	host	gene-PA0133
gene-PA2338	4	14	18	11	host	gene-PA2338
gene-PA3383	10	13	6	6	host	gene-PA3383
gene-F358_gp89	697	1698	1577	1525	phage	gene-F358_gp89
gene-F358_gp59	400	671	632	548	phage	gene-F358_gp59
gene-PA3296	5	18	16	14	host	phoA
gene-PA3936	5	14	15	12	host	gene-PA3936
gene-PA1107	23	116	118	65	host	gene-PA1107
gene-PA0099	37	67	73	71	host	gene-PA0099
gene-PA0876	38	91	100	69	host	gene-PA0876
gene-PA2472	6	10	4	6	host	gene-PA2472
gene-PA3255	26	63	66	69	host	gene-PA3255
gene-PA5407	18	31	38	36	host	gene-PA5407
gene-PA3992	64	137	136	96	host	gene-PA3992
gene-PA4184	16	22	15	15	host	gene-PA4184
gene-PA4760	248	457	494	338	host	dnaJ
gene-PA4513	27	71	113	108	host	gene-PA4513
gene-PA0997	119	250	120	85	host	pqsB
gene-PA2237	152	322	308	263	host	pslG
gene-PA1573	22	52	65	38	host	gene-PA1573
gene-PA4574	76	127	149	118	host	gene-PA4574
gene-PA2431	9	22	24	12	host	gene-PA2431
gene-PA0926	34	63	60	45	host	gene-PA0926
gene-PA5544	16	48	41	40	host	gene-PA5544
gene-PA2305	34	100	145	102	host	ambB
gene-PA4178	7	18	17	26	host	gene-PA4178
gene-PA3226	23	63	66	66	host	gene-PA3226
gene-PA5465	33	68	42	39	host	gene-PA5465
gene-PA1273	77	176	136	148	host	cobB
gene-PA1221	6	9	10	9	host	gene-PA1221
gene-F358_gp58	2758	4640	4029	3820	phage	gene-F358_gp58
gene-PA3235	19	52	23	11	host	gene-PA3235
gene-PA0798	10	23	27	19	host	pmtA
gene-PA4606	221	552	410	280	host	gene-PA4606
gene-PA3893	16	62	70	47	host	gene-PA3893
gene-PA2019	35	53	49	32	host	gene-PA2019
gene-PA5469	138	358	146	156	host	gene-PA5469
gene-PA0354	119	242	147	141	host	gene-PA0354
gene-PA3944	29	51	74	67	host	gene-PA3944
gene-F358_gp18	576	1174	4505	4640	phage	gene-F358_gp18
gene-PA3168	767	1504	1351	1102	host	gyrA
gene-PA0344	30	52	88	60	host	gene-PA0344
gene-PA1150	189	467	634	477	host	pys2
gene-PA2902	103	202	129	81	host	gene-PA2902
gene-PA3557	11	5	10	17	host	arnE
gene-PA5421	4	20	11	8	host	fdhA
gene-PA5252	258	526	433	399	host	gene-PA5252
gene-PA0869	111	291	343	276	host	pbpG
gene-PA3474	38	96	118	93	host	gene-PA3474
gene-PA2307	8	10	17	17	host	gene-PA2307
gene-PA5562	326	720	832	582	host	spoOJ
gene-PA4537	11	41	33	24	host	gene-PA4537
gene-PA4376	75	161	154	114	host	pncB2
gene-PA3657	113	309	237	200	host	map
gene-PA4638	10	20	18	14	host	gene-PA4638
gene-F358_gp91	4418	12378	20228	19925	phage	gene-F358_gp91
gene-PA2583.1	635	606	421	359	host	gene-PA2583.1
gene-PA3402	34	58	48	34	host	gene-PA3402
gene-PA3696	17	49	31	11	host	gene-PA3696
gene-PA4512	101	265	230	173	host	lpxO1
gene-PA5392	2	8	7	10	host	gene-PA5392
gene-PA4295	8	14	28	14	host	fppA
gene-PA4812	500	1006	683	488	host	fdnG
gene-PA2010	12	32	32	31	host	gene-PA2010
gene-PA4117	123	242	186	150	host	bphP
gene-PA5517	31	83	118	79	host	gene-PA5517
gene-PA2609	37	53	27	43	host	gene-PA2609
gene-PA0978	21	59	113	96	host	gene-PA0978
gene-PA3186	96	213	139	109	host	oprB
gene-PA0122	19	60	77	37	host	gene-PA0122
gene-PA1927	34	80	84	52	host	metE
gene-PA5367	25	92	107	92	host	pstA
gene-PA1896	13	22	32	34	host	gene-PA1896
gene-PA4071	0	3	3	2	host	gene-PA4071
gene-PA4483	155	444	369	301	host	gatA
gene-PA5385	0	0	5	0	host	cdhB
gene-PA4019	44	75	76	49	host	gene-PA4019
gene-PA3610	51	109	97	66	host	potD
gene-PA0819	3	11	11	8	host	gene-PA0819
gene-PA1546	330	862	1238	912	host	hemN
gene-PA2567	133	304	256	250	host	gene-PA2567
gene-PA4778	35	65	86	48	host	cueR
gene-PA3306	22	42	66	46	host	gene-PA3306
gene-PA1903	5	16	10	10	host	phzE2
gene-PA3348	140	324	208	181	host	gene-PA3348
gene-PA2105	23	57	73	55	host	gene-PA2105
gene-PA1882	23	54	45	46	host	gene-PA1882
gene-PA0217	22	53	35	16	host	gene-PA0217
gene-PA1748	26	53	55	44	host	gene-PA1748
gene-PA3271	133	288	150	131	host	gene-PA3271
gene-PA3072	7	34	25	29	host	gene-PA3072
gene-PA2899	10	29	43	34	host	gene-PA2899
gene-PA3759	16	27	16	16	host	gene-PA3759
gene-PA2538	27	42	56	38	host	gene-PA2538
gene-PA4166	0	5	6	3	host	gene-PA4166
gene-PA3930	19	56	82	59	host	cioA
gene-PA3110	67	147	131	117	host	gene-PA3110
gene-PA1198	512	1398	1767	1429	host	gene-PA1198
gene-PA2524	9	18	19	28	host	gene-PA2524
gene-PA1855	1	1	1	1	host	gene-PA1855
gene-PA4671	594	878	845	751	host	gene-PA4671
gene-PA0868	21	70	38	31	host	gene-PA0868
gene-PA1130	16	30	33	27	host	rhlC
gene-PA3548	11	35	46	39	host	algI
gene-PA1745	8	19	20	11	host	gene-PA1745
gene-PA1875	3	17	15	16	host	gene-PA1875
gene-PA1704	7	23	41	22	host	pcrR
gene-PA2164	6	8	12	17	host	gene-PA2164
gene-PA3510	4	3	1	2	host	gene-PA3510
gene-PA1583	1118	2206	1899	1537	host	sdhA
gene-PA1732	4	8	9	9	host	gene-PA1732
gene-PA1309	24	30	58	32	host	gene-PA1309
gene-PA5092	11	20	15	18	host	hutI
gene-PA4841	30	57	77	56	host	gene-PA4841
gene-PA5527	113	183	188	169	host	gene-PA5527
gene-PA0035	20	51	49	53	host	trpA
gene-PA0621	16	60	56	48	host	gene-PA0621
gene-PA0055	44	132	115	92	host	gene-PA0055
gene-PA4492	5167	404	415	330	host	gene-PA4492
gene-PA5341	11	27	17	12	host	gene-PA5341
gene-PA1291	19	43	61	55	host	gene-PA1291
gene-PA4379	76	213	248	213	host	gene-PA4379
gene-PA0245	8	26	28	8	host	aroQ2
gene-PA1216	4	5	7	5	host	gene-PA1216
gene-PA2005	39	84	74	51	host	gene-PA2005
gene-PA1758	73	236	191	143	host	pabB
gene-PA1423	14	69	51	35	host	bdlA
gene-PA0505	29	131	104	78	host	gene-PA0505
gene-PA1351	2	7	4	4	host	gene-PA1351
gene-PA1863	27	73	65	76	host	modA
gene-PA4696	559	1119	979	796	host	ilvI
gene-PA1921	0	4	4	2	host	gene-PA1921
gene-PA1543	45	62	87	74	host	apt
gene-PA4397	7	20	21	24	host	panE
gene-PA1464	134	233	214	140	host	gene-PA1464
gene-PA2287	10	28	37	26	host	gene-PA2287
gene-PA3134	170	457	356	318	host	gltX
gene-PA5233	21	42	49	40	host	gene-PA5233
gene-PA4473	98	259	229	185	host	gene-PA4473
gene-PA5411	37	53	83	53	host	gbcB
gene-PA4809	27	29	25	13	host	fdhE
gene-PA0557	11	28	26	22	host	gene-PA0557
gene-PA5380	47	115	109	108	host	gbdR
gene-PA4264	1359	2887	2877	2512	host	rpsJ
gene-PA0971	364	672	530	489	host	tolA
gene-PA1086	172	394	332	281	host	flgK
gene-PA3135	15	44	27	33	host	gene-PA3135
gene-PA0694	0	1	4	5	host	exbD2
gene-PA4790	23	44	38	29	host	gene-PA4790
gene-PA3487	86	190	196	194	host	pldA
gene-PA3277	8	22	29	16	host	gene-PA3277
gene-PA2445	173	371	713	539	host	gcvP2
gene-PA2199	90	145	90	71	host	gene-PA2199
gene-PA0503	5	30	36	31	host	gene-PA0503
gene-PA0086	198	387	636	472	host	gene-PA0086
gene-PA3266	182	258	115	109	host	capB
gene-PA4048	54	95	48	41	host	gene-PA4048
gene-PA2274	2	2	16	7	host	gene-PA2274
gene-PA3674	16	23	13	6	host	gene-PA3674
gene-PA3501	2	1	1	1	host	gene-PA3501
gene-PA0284	9	20	44	31	host	gene-PA0284
gene-PA0668.3	366	667	818	770	host	gene-PA0668.3
gene-PA2937	1	3	4	2	host	gene-PA2937
gene-PA2160	6	14	18	16	host	gene-PA2160
gene-PA5181	119	219	98	94	host	gene-PA5181
gene-PA1247	4	8	18	21	host	aprE
gene-PA2797	92	223	208	175	host	gene-PA2797
gene-PA4919	120	301	421	405	host	pncB1
gene-PA2923	1	6	3	2	host	hisJ
gene-PA3614	65	152	206	187	host	gene-PA3614
gene-PA4261	746	1254	1017	857	host	rplW
gene-PA0594	495	1067	894	761	host	surA
gene-PA0769	129	262	131	82	host	gene-PA0769
gene-PA4260	968	1634	1613	1436	host	rplB
gene-PA2000	2	7	33	7	host	dhcB
gene-PA2340	3	9	12	7	host	gene-PA2340
gene-PA5131	152	307	306	258	host	pgm
gene-PA1781.1	0	6	4	0	host	gene-PA1781.1
gene-PA2113	10	31	20	9	host	opdO
gene-PA1265	4	9	4	4	host	gene-PA1265
gene-PA4013	26	55	60	57	host	gene-PA4013
gene-PA4129	14	7	18	13	host	gene-PA4129
gene-PA5363	94	283	162	152	host	gene-PA5363
gene-PA3847	4	29	15	9	host	gene-PA3847
gene-PA3407	7	22	16	14	host	hasAp
gene-PA4363	25	33	49	44	host	iciA
gene-PA2278	32	96	84	70	host	arsB
gene-PA4723	489	1081	1037	852	host	dksA
gene-PA4308	54	99	85	193	host	gene-PA4308
gene-PA3559	35	94	51	47	host	gene-PA3559
gene-PA3789	30	69	60	82	host	gene-PA3789
gene-PA0894	13	35	41	22	host	gene-PA0894
gene-PA0713	8	32	80	53	host	gene-PA0713
gene-PA0898	98	202	127	107	host	aruD
gene-PA5190	14	32	35	18	host	gene-PA5190
gene-PA4139	5	4	9	9	host	gene-PA4139
gene-PA3566	22	68	43	49	host	gene-PA3566
gene-PA4233	74	170	137	128	host	gene-PA4233
gene-PA3158	310	705	644	583	host	wbpB
gene-PA3934	104	207	204	144	host	gene-PA3934
gene-PA1727	147	347	243	243	host	mucR
gene-PA1449	33	73	79	36	host	flhB
gene-PA4789	13	33	23	18	host	gene-PA4789
gene-PA0066	37	83	93	73	host	gene-PA0066
gene-PA1711	24	73	86	70	host	exsE
gene-PA1400	15	29	38	19	host	gene-PA1400
gene-PA2619	98	188	111	128	host	infA
gene-PA2227	59	115	250	243	host	vqsM
gene-PA1475	151	309	242	205	host	ccmA
gene-PA1209	22	66	56	61	host	gene-PA1209
gene-PA2232	138	308	300	240	host	pslB
gene-PA2220	16	59	45	37	host	gene-PA2220
gene-PA2013	10	13	12	19	host	liuC
gene-PA1036	20	54	46	33	host	gene-PA1036
gene-PA4147	52	98	122	84	host	acoR
gene-PA4160	1	3	8	6	host	fepD
gene-PA1908	3	7	4	3	host	gene-PA1908
gene-PA5375	59	136	91	80	host	betT1
gene-PA1651	32	80	98	70	host	gene-PA1651
gene-PA1567	7	49	95	60	host	gene-PA1567
gene-F358_gp07	393	774	1459	1360	phage	gene-F358_gp07
gene-PA3116	57	100	92	103	host	gene-PA3116
gene-PA0591	21	56	72	35	host	gene-PA0591
gene-PA1342	116	200	166	167	host	gene-PA1342
gene-PA2511	17	27	25	23	host	gene-PA2511
gene-PA3120	18	33	52	28	host	leuD
gene-PA2944	116	269	216	199	host	cobN
gene-PA1792	72	163	142	133	host	gene-PA1792
gene-PA1854	15	36	40	29	host	gene-PA1854
gene-PA0287	8	16	14	14	host	gpuP
gene-PA4743	107	197	140	137	host	rbfA
gene-PA3083	172	347	267	244	host	pepN
gene-PA2333	17	33	26	40	host	gene-PA2333
gene-PA5422	53	69	113	80	host	gene-PA5422
gene-PA2312	7	5	13	10	host	gene-PA2312
gene-PA4204	10	23	34	31	host	ppgL
gene-PA5242	586	1375	1273	1043	host	ppk
gene-PA2129	5	14	14	7	host	cupA2
gene-PA3742	479	915	1043	1099	host	rplS
gene-PA3725	96	211	145	130	host	recJ
gene-PA4511	22	49	69	47	host	gene-PA4511
gene-PA3807	302	491	428	372	host	ndk
gene-PA5444	14	46	60	43	host	gene-PA5444
gene-PA3644	334	691	456	435	host	lpxA
gene-PA5546	32	89	107	90	host	gene-PA5546
gene-PA3253	5	6	10	8	host	gene-PA3253
gene-PA1950	44	165	108	148	host	rbsK
gene-PA2448	11	32	31	23	host	gene-PA2448
gene-PA2335	4	16	12	5	host	gene-PA2335
gene-PA4213	1	2	3	1	host	phzD1
gene-PA2515	0	0	3	9	host	xylL
gene-PA5199	105	202	164	135	host	amgS
gene-PA0181	28	50	87	55	host	gene-PA0181
gene-PA1791	115	211	252	207	host	gene-PA1791
gene-PA3029	33	57	41	53	host	moaB2
gene-PA4322	187	390	340	258	host	gene-PA4322
gene-PA2814	6	11	16	6	host	gene-PA2814
gene-PA0371	101	212	212	169	host	gene-PA0371
gene-PA4579	123	298	256	212	host	gene-PA4579
gene-PA5079	21	49	57	45	host	gene-PA5079
gene-PA2332	22	57	59	38	host	gene-PA2332
gene-PA5296	334	783	509	437	host	rep
gene-PA2928	7	8	24	16	host	gene-PA2928
gene-PA1110	41	66	62	44	host	gene-PA1110
gene-PA3080	29	68	47	38	host	gene-PA3080
gene-PA2638	364	988	993	800	host	nuoB
gene-PA3344	129	263	220	189	host	recQ
gene-PA0600	80	163	145	121	host	gene-PA0600
gene-PA3217	82	190	176	169	host	cyaB
gene-PA2891	8	10	7	7	host	atuF
gene-PA3805	265	667	619	553	host	pilF
gene-PA0482	147	345	244	192	host	glcB
gene-PA3914	10	19	56	20	host	moeA1
gene-PA4409	202	367	312	272	host	ftsQ
gene-PA2757	38	91	34	43	host	gene-PA2757
gene-PA4102	12	25	35	24	host	bfmS
gene-PA4371	36	125	194	190	host	gene-PA4371
gene-PA1290	8	20	15	18	host	gene-PA1290
gene-PA3054	12	47	74	37	host	gene-PA3054
gene-PA2541	90	178	201	148	host	gene-PA2541
gene-PA0805	295	395	250	256	host	gene-PA0805
gene-PA3133.3	208	246	274	201	host	gene-PA3133.3
gene-PA0116	50	117	117	102	host	gene-PA0116
gene-PA4965	90	209	142	112	host	gene-PA4965
gene-PA4697	17	65	60	56	host	gene-PA4697
gene-PA1073	139	291	132	107	host	braD
gene-PA0642	60	89	69	53	host	gene-PA0642
gene-PA4053	114	244	189	149	host	ribE
gene-PA3478	17	21	31	19	host	rhlB
gene-PA0788	24	63	73	64	host	gene-PA0788
gene-PA3795	21	57	54	53	host	gene-PA3795
gene-PA1822	192	392	357	308	host	fimL
gene-PA2150	1	12	9	11	host	gene-PA2150
gene-PA2883	13	23	26	25	host	gene-PA2883
gene-PA4686	207	409	421	291	host	gene-PA4686
gene-PA3571	11	35	39	33	host	mmsR
gene-PA0800	7	21	21	25	host	gene-PA0800
gene-PA4858	10	18	14	23	host	gene-PA4858
gene-PA2738	453	872	690	551	host	himA
gene-PA3302	28	44	51	31	host	gene-PA3302
gene-PA0390	188	484	444	332	host	metX
gene-PA5265	109	263	361	267	host	gene-PA5265
gene-PA0685	3	22	18	9	host	gene-PA0685
gene-PA0518	18	39	56	23	host	nirM
gene-PA2379	65	150	105	82	host	gene-PA2379
gene-PA3298	6	9	8	3	host	gene-PA3298
gene-PA5002	358	790	650	537	host	gene-PA5002
gene-PA2920	14	29	32	23	host	gene-PA2920
gene-PA2244	1	17	31	17	host	pslN
gene-PA1686	20	68	74	47	host	alkA
gene-PA5039	309	815	758	694	host	aroK
gene-PA3821	612	1091	820	674	host	secD
gene-PA1699	16	44	33	18	host	gene-PA1699
gene-PA3994	1	5	3	6	host	gene-PA3994
gene-PA0862	166	422	339	279	host	gene-PA0862
gene-PA4243	2327	3738	3500	3310	host	secY
gene-PA0944	137	336	376	291	host	purN
gene-PA1637	13	25	35	27	host	kdpE
gene-PA4008	12	21	23	18	host	gene-PA4008
gene-PA2489	11	21	33	21	host	gene-PA2489
gene-PA1796.1	276	208	89	92	host	gene-PA1796.1
gene-PA1000	144	178	102	89	host	pqsE
gene-PA5391	3	2	2	1	host	gene-PA5391
gene-PA2657	37	83	77	63	host	gene-PA2657
gene-PA5390	10	22	22	6	host	gene-PA5390
gene-PA2124	4	9	7	7	host	gene-PA2124
gene-PA3121	77	159	175	122	host	leuC
gene-PA3053	18	40	49	33	host	gene-PA3053
gene-PA3693	9	22	26	16	host	gene-PA3693
gene-PA3731	573	1327	1716	1288	host	gene-PA3731
gene-PA5535	9	39	40	27	host	gene-PA5535
gene-PA4040	12	29	11	20	host	gene-PA4040
gene-PA5235	246	517	279	265	host	glpT
gene-PA0194	4	3	5	1	host	gene-PA0194
gene-PA1288	512	1173	677	765	host	gene-PA1288
gene-PA4293	21	58	28	28	host	pprA
gene-PA5054	154	347	353	256	host	hslU
gene-PA0815	63	189	187	181	host	gene-PA0815
gene-PA0547	674	1735	1363	1213	host	gene-PA0547
gene-PA4828	0	9	6	6	host	gene-PA4828
gene-PA1009	222	536	644	540	host	gene-PA1009
gene-PA4330	54	146	115	79	host	gene-PA4330
gene-PA3305	71	151	143	147	host	gene-PA3305
gene-PA5140	122	186	150	111	host	hisF1
gene-PA3826	37	94	77	92	host	gene-PA3826
gene-PA2031	0	4	19	12	host	gene-PA2031
gene-PA5525	123	257	339	247	host	gene-PA5525
gene-PA3461	12	10	24	28	host	gene-PA3461
gene-PA5222	61	131	145	76	host	gene-PA5222
gene-PA3451	2	11	11	10	host	gene-PA3451
gene-PA4899	8	5	8	13	host	gene-PA4899
gene-PA2097	0	5	6	6	host	gene-PA2097
gene-PA2713	8	20	13	10	host	gene-PA2713
gene-PA0496	23	63	19	29	host	gene-PA0496
gene-PA4575	23	46	89	71	host	gene-PA4575
gene-PA3688	10	27	80	51	host	gene-PA3688
gene-PA3001	366	743	633	595	host	gene-PA3001
gene-PA0732	57	89	113	80	host	gene-PA0732
gene-PA4430	605	1160	1684	1603	host	gene-PA4430
gene-PA4957	89	179	163	139	host	psd
gene-PA2320	15	45	44	40	host	gntR
gene-PA5045	419	1122	1104	1008	host	ponA
gene-PA2329	5	10	9	9	host	gene-PA2329
gene-PA2026	16	46	76	47	host	gene-PA2026
gene-PA3897	8	11	16	14	host	gene-PA3897
gene-PA0500	57	116	96	86	host	bioB
gene-PA3646	291	615	511	448	host	lpxD
gene-PA4230	0	1	2	2	host	pchB
gene-PA2428	6	10	18	10	host	gene-PA2428
gene-PA2941	8	22	22	29	host	gene-PA2941
gene-PA0548	347	888	855	723	host	tktA
gene-PA3514	2	13	9	21	host	gene-PA3514
gene-PA2206	15	44	33	36	host	gene-PA2206
gene-PA1742	143	421	657	488	host	gene-PA1742
gene-PA4712	5	23	19	20	host	gene-PA4712
gene-PA2931	21	23	34	21	host	cifR
gene-PA1326	24	49	48	36	host	ilvA2
gene-PA0928	166	402	354	334	host	gacS
gene-PA5203	159	425	403	303	host	gshA
gene-PA2454	51	130	170	119	host	gene-PA2454
gene-PA3724	20	32	30	23	host	lasB
gene-PA3376	1	7	1	2	host	gene-PA3376
gene-PA5108	35	78	71	43	host	gene-PA5108
gene-PA1470	5	8	8	14	host	gene-PA1470
gene-PA1824	44	133	157	65	host	gene-PA1824
gene-PA5370	74	222	168	153	host	gene-PA5370
gene-PA0950	32	102	82	87	host	gene-PA0950
gene-PA4021	43	102	99	84	host	gene-PA4021
gene-PA4819	2	1	7	3	host	gene-PA4819
gene-PA1804	1349	1918	1963	1681	host	hupB
gene-PA1090	82	139	99	78	host	gene-PA1090
gene-PA4080	29	54	74	61	host	gene-PA4080
gene-PA3700	203	492	413	292	host	lysS
gene-PA0383	48	105	65	50	host	gene-PA0383
gene-PA2400	39	110	119	76	host	pvdJ
gene-F358_gp46	142	289	2474	2484	phage	gene-F358_gp46
gene-PA3450	15	58	61	58	host	gene-PA3450
gene-PA0401	106	227	206	183	host	gene-PA0401
gene-PA5250	71	209	201	193	host	gene-PA5250
gene-PA1064	118	226	214	202	host	gene-PA1064
gene-PA4286	56	143	133	147	host	gene-PA4286
gene-PA4898	8	27	25	38	host	opdK
gene-PA4633	169	348	295	268	host	gene-PA4633
gene-PA4220	2	3	7	1	host	gene-PA4220
gene-PA1525	19	45	47	33	host	alkB2
gene-PA5151	19	63	49	66	host	gene-PA5151
gene-PA0988	135	387	267	200	host	gene-PA0988
gene-PA4878	10	39	30	22	host	gene-PA4878
gene-PA5321	81	195	139	112	host	dut
gene-F358_gp85	2661	6745	9408	8372	phage	gene-F358_gp85
gene-PA5317	55	126	107	107	host	gene-PA5317
gene-PA0855	81	198	312	211	host	gene-PA0855
gene-PA0778	20	51	43	30	host	icp
gene-PA4009	5	31	22	18	host	gene-PA4009
gene-PA1833	38	104	117	99	host	gene-PA1833
gene-PA5332	769	1991	1850	1657	host	crc
gene-F358_gp20	50	92	310	365	phage	gene-F358_gp20
gene-PA1749	112	268	254	195	host	gene-PA1749
gene-PA5337	239	416	382	274	host	rpoZ
gene-PA4831	15	42	40	39	host	gene-PA4831
gene-PA3160	677	1280	1392	1265	host	wzz
gene-PA3404	6	6	17	5	host	gene-PA3404
gene-PA2176	1	5	11	12	host	gene-PA2176
gene-PA5158	28	136	139	133	host	gene-PA5158
gene-PA1260	0	3	7	3	host	gene-PA1260
gene-PA1942	7	31	33	24	host	gene-PA1942
gene-PA3494	28	67	54	47	host	gene-PA3494
gene-PA3857	55	123	136	88	host	pcs
gene-PA4529	36	72	87	66	host	coaE
gene-PA1508	6	9	10	13	host	gene-PA1508
gene-PA4317	239	561	581	451	host	gene-PA4317
gene-PA5229	22	66	82	73	host	gene-PA5229
gene-PA3912	7	27	35	38	host	gene-PA3912
gene-PA2296	13	25	20	15	host	gene-PA2296
gene-PA1166	6	9	12	10	host	gene-PA1166
gene-PA5505	137	361	352	254	host	gene-PA5505
gene-PA4026	25	91	99	62	host	gene-PA4026
gene-PA5165	75	176	190	139	host	gene-PA5165
gene-PA4753	262	418	290	196	host	gene-PA4753
gene-PA0779	298	651	650	435	host	gene-PA0779
gene-PA1417	15	35	16	26	host	gene-PA1417
gene-PA1021	3	10	7	5	host	gene-PA1021
gene-PA3915	10	22	27	10	host	moaB1
gene-PA5518	72	106	147	130	host	gene-PA5518
gene-PA2795	66	149	110	99	host	gene-PA2795
gene-PA5070	141	354	254	244	host	tatC
gene-PA4194	9	4	9	10	host	gene-PA4194
gene-PA3955	38	98	107	102	host	gene-PA3955
gene-PA0190	3	3	9	10	host	gene-PA0190
gene-PA1097	389	1054	1147	914	host	fleQ
gene-PA3207	12	27	22	27	host	gene-PA3207
gene-PA2699	1	6	9	17	host	gene-PA2699
gene-PA3062	3	5	6	2	host	pelC
gene-PA4884	1	5	6	1	host	gene-PA4884
gene-PA4439	108	244	280	236	host	trpS
gene-PA2745	21	37	33	30	host	gene-PA2745
gene-PA0571	31	52	58	48	host	gene-PA0571
gene-PA4746	444	901	462	397	host	gene-PA4746
gene-PA2419	1	3	5	1	host	gene-PA2419
gene-PA5212	10	26	19	21	host	gene-PA5212
gene-PA3959	19	34	33	19	host	gene-PA3959
gene-PA0257	41	104	120	104	host	gene-PA0257
gene-PA4087	2	3	9	6	host	gene-PA4087
gene-PA1161	56	147	126	82	host	rrmA
gene-PA3991	21	31	38	25	host	gene-PA3991
gene-PA5285	163	359	465	414	host	gene-PA5285
gene-PA5301	234	582	662	543	host	gene-PA5301
gene-PA0007	28	42	85	45	host	gene-PA0007
gene-PA0105	15	54	84	55	host	coxB
gene-PA3493	16	37	30	25	host	gene-PA3493
gene-PA3687	41	84	107	63	host	ppc
gene-PA4265	4594	7446	8604	7647	host	tufA
gene-PA5003	268	531	455	345	host	gene-PA5003
gene-PA2680	9	13	11	6	host	gene-PA2680
gene-PA4403	2489	2948	2323	1972	host	secA
gene-PA5084	9	27	31	12	host	gene-PA5084
gene-PA1809	65	174	124	135	host	gene-PA1809
gene-PA1888	20	35	39	18	host	gene-PA1888
gene-PA1289	4	23	32	39	host	gene-PA1289
gene-PA0447	178	325	294	257	host	gcdH
gene-PA0419	46	97	63	60	host	gene-PA0419
gene-PA0923	71	190	211	209	host	dinB
