Geneid	8_R1	8_R2	24_R1	24_R2	Entity	Symbol
gene-PA0279	8	9	14	27	host	gene-PA0279
gene-PA4573	48	29	61	75	host	gene-PA4573
glcC	23	28	55	68	host	glcC
gene-PA2927	22	14	15	44	host	gene-PA2927
gene-PA2750	13	10	37	34	host	gene-PA2750
gene-PA0653	109	70	106	147	host	gene-PA0653
gene-PA3828	367	249	325	443	host	gene-PA3828
gene-JG024_gp17	2964	2593	6763	11422	phage	gene-JG024_gp17
gene-PA4008	21	15	38	44	host	gene-PA4008
gene-PA2048	7	15	22	30	host	gene-PA2048
gene-PA3201	333	257	418	603	host	gene-PA3201
betA	60	45	85	138	host	betA
gene-PA4889	292	132	85	151	host	gene-PA4889
gene-PA1274	104	56	60	88	host	gene-PA1274
gene-PA1377	35	33	49	72	host	gene-PA1377
gene-PA3222	35	24	34	31	host	gene-PA3222
gene-PA0094	164	129	286	288	host	gene-PA0094
gene-PA3647	451	315	348	541	host	gene-PA3647
gene-PA2553	24	8	25	26	host	gene-PA2553
pstB	70	49	81	131	host	pstB
gene-PA3205	25	34	38	46	host	gene-PA3205
gene-PA3858	58	42	55	76	host	gene-PA3858
morB	8	2	7	9	host	morB
gene-PA2783	5	6	5	15	host	gene-PA2783
gene-PA4955	61	47	79	119	host	gene-PA4955
gene-PA4348	541	595	1040	1337	host	gene-PA4348
gene-PA4861	11	14	13	14	host	gene-PA4861
gene-PA2454	106	78	178	183	host	gene-PA2454
gene-PA4998	158	124	102	190	host	gene-PA4998
pvdT	28	31	30	56	host	pvdT
crcZ	3610	4385	2999	3886	host	crcZ
gene-PA3026	51	28	26	45	host	gene-PA3026
gene-PA1035	110	103	188	258	host	gene-PA1035
gene-PA0720	10	14	11	15	host	gene-PA0720
gene-PA5228	122	96	126	222	host	gene-PA5228
gatB	296	194	256	402	host	gatB
pcoA	12	10	16	22	host	pcoA
gene-PA3835	59	36	56	87	host	gene-PA3835
hasAp	12	6	27	33	host	hasAp
ilvC	487	356	524	657	host	ilvC
gene-PA0677	3	3	1	7	host	gene-PA0677
gene-PA3532	146	88	155	179	host	gene-PA3532
gene-PA0277	93	65	207	186	host	gene-PA0277
gene-PA4199	37	35	39	49	host	gene-PA4199
gene-JG005_00055	10683	8869	34560	38843	phage	gene-JG005_00055
gene-PA1383	142	119	236	348	host	gene-PA1383
gene-PA1406	62	34	86	94	host	gene-PA1406
hisJ	4	1	4	6	host	hisJ
gene-JG005_00004	9482	10504	11656	13966	phage	gene-JG005_00004
gene-PA0754	292	193	91	139	host	gene-PA0754
gene-PA3838	80	52	63	94	host	gene-PA3838
hasR	26	17	42	32	host	hasR
gene-PA1739	9	7	27	32	host	gene-PA1739
gene-PA0954	47	51	92	132	host	gene-PA0954
fppA	10	9	23	24	host	fppA
gene-PA5155	61	52	45	54	host	gene-PA5155
gene-PA1364	14	16	19	24	host	gene-PA1364
gdhA	101	95	178	212	host	gdhA
gene-PA5301	513	348	751	902	host	gene-PA5301
gene-PA0069	42	34	61	83	host	gene-PA0069
gene-PA3272	92	56	78	103	host	gene-PA3272
gene-PA0534	103	82	78	137	host	gene-PA0534
gapA	95	59	113	111	host	gapA
aguR	24	21	34	36	host	aguR
gene-PA3776	9	7	15	34	host	gene-PA3776
gene-PA0786	6	1	4	7	host	gene-PA0786
gene-PA2561	47	33	95	141	host	gene-PA2561
fdxA	281	177	392	451	host	fdxA
sspA	133	116	146	213	host	sspA
minE	708	575	1248	1479	host	minE
gene-PA2163	20	13	20	17	host	gene-PA2163
rpsA	3072	2680	3133	4314	host	rpsA
gene-PA4104	3	1	7	5	host	gene-PA4104
gene-PA3268	96	79	128	135	host	gene-PA3268
gene-PA2419	5	4	12	4	host	gene-PA2419
lipB	598	378	501	739	host	lipB
arsR	22	25	23	48	host	arsR
waaF	486	289	277	447	host	waaF
gene-PA5486	58	40	103	115	host	gene-PA5486
gene-PA0453	18	10	24	42	host	gene-PA0453
gene-PA0249	23	9	37	42	host	gene-PA0249
pvdP	22	9	43	47	host	pvdP
gene-PA2184	7	5	7	13	host	gene-PA2184
hom	382	264	360	516	host	hom
gene-PA5095	19	9	35	35	host	gene-PA5095
eutB	23	24	25	29	host	eutB
gene-PA0526	22	28	38	40	host	gene-PA0526
gene-PA4804	59	49	129	165	host	gene-PA4804
gene-PA2857	52	34	41	65	host	gene-PA2857
cobQ	183	106	142	202	host	cobQ
gene-PA5264	229	198	410	659	host	gene-PA5264
gene-PA5347	214	138	230	313	host	gene-PA5347
rpoB	7565	5386	7863	9716	host	rpoB
msrA	109	66	107	135	host	msrA
wspD	73	34	67	82	host	wspD
gene-PA4322	350	218	256	384	host	gene-PA4322
gene-JG005_00027	233	204	1745	2292	phage	gene-JG005_00027
dsbA	353	229	398	632	host	dsbA
gene-PA3669	29	15	28	34	host	gene-PA3669
glpT	467	346	439	638	host	glpT
infB	2405	1640	2236	3195	host	infB
gene-PA1126	130	89	211	291	host	gene-PA1126
gene-PA1730	26	17	22	33	host	gene-PA1730
gene-PA3459	137	91	195	288	host	gene-PA3459
tpiA	3039	2048	3232	4652	host	tpiA
gene-PA0910	8	3	1	13	host	gene-PA0910
gene-PA3072	23	18	42	62	host	gene-PA3072
fleS	104	60	143	198	host	fleS
fliJ	71	32	69	65	host	fliJ
gene-JG005_00023	3962	3651	6531	7132	phage	gene-JG005_00023
gene-PA2301	18	9	9	25	host	gene-PA2301
gene-PA2814	8	6	15	20	host	gene-PA2814
gene-PA3467	12	14	23	15	host	gene-PA3467
gene-PA3573	105	89	186	236	host	gene-PA3573
dipZ	204	128	278	384	host	dipZ
gene-PA0485	352	208	369	421	host	gene-PA0485
gene-JG005_00159	2113	2411	3232	4535	phage	gene-JG005_00159
gene-PA1923	15	14	21	26	host	gene-PA1923
gene-PA3521	8	8	3	7	host	gene-PA3521
gene-PA0941	4	4	12	24	host	gene-PA0941
ptxS	38	24	44	43	host	ptxS
gene-PA3488	26	18	29	53	host	gene-PA3488
gene-PA4803	28	34	49	67	host	gene-PA4803
gene-PA2854	352	240	416	509	host	gene-PA2854
gene-PA4685	135	98	88	160	host	gene-PA4685
gene-PA5205	21	9	25	27	host	gene-PA5205
gene-PA1492	51	35	41	74	host	gene-PA1492
gene-PA2666	47	37	69	87	host	gene-PA2666
msuD	4	9	9	2	host	msuD
gene-PA2124	3	12	10	14	host	gene-PA2124
gene-PA1257	8	6	3	12	host	gene-PA1257
gene-PA0810	16	18	35	36	host	gene-PA0810
gene-PA1621	44	27	37	49	host	gene-PA1621
gene-PA2164	17	6	15	15	host	gene-PA2164
gene-PA3042	3	4	6	13	host	gene-PA3042
gene-PA3767	30	26	59	49	host	gene-PA3767
gene-JG005_00122	3756	2729	4709	5708	phage	gene-JG005_00122
gene-PA4133	126	96	144	181	host	gene-PA4133
gene-PA3907	69	59	105	152	host	gene-PA3907
gene-PA4178	33	22	24	39	host	gene-PA4178
gcvP2	319	237	552	791	host	gcvP2
aotM	330	233	291	310	host	aotM
gene-PA4219	5	3	4	9	host	gene-PA4219
stp1	62	45	39	57	host	stp1
gene-PA0833	191	115	273	445	host	gene-PA0833
gene-PA1729	52	48	65	101	host	gene-PA1729
gene-PA2102	43	23	48	45	host	gene-PA2102
fleR	102	52	151	185	host	fleR
flgD	221	187	205	280	host	flgD
gene-PA0132	107	88	50	83	host	gene-PA0132
gene-PA3142	84	63	170	167	host	gene-PA3142
gene-PA1499	8	1	8	15	host	gene-PA1499
gene-PA2843	67	61	102	124	host	gene-PA2843
gene-PA1501	31	44	81	77	host	gene-PA1501
gene-JG005_00040	406	359	1805	1979	phage	gene-JG005_00040
gene-PA1796.4	3935	6013	7423	11835	host	gene-PA1796.4
gene-PA3927	30	19	41	68	host	gene-PA3927
gene-PA3714	13	9	22	26	host	gene-PA3714
flgH	135	106	113	171	host	flgH
gene-PA3720	11	7	22	18	host	gene-PA3720
gene-PA3519	7	5	7	9	host	gene-PA3519
gene-PA0984	70	58	122	174	host	gene-PA0984
gene-PA3116	88	59	103	134	host	gene-PA3116
pyrE	395	310	403	611	host	pyrE
gene-PA4145	31	20	34	55	host	gene-PA4145
gene-PA3354	115	107	136	221	host	gene-PA3354
gene-PA3798	106	92	115	162	host	gene-PA3798
gene-JG005_00074	3367	3105	5433	6772	phage	gene-JG005_00074
gene-PA1141	30	18	66	69	host	gene-PA1141
gene-PA4474	187	143	198	291	host	gene-PA4474
gene-PA3314	40	22	41	69	host	gene-PA3314
gene-PA3778	42	23	40	49	host	gene-PA3778
gene-JG005_00054	3057	2559	30888	33902	phage	gene-JG005_00054
gene-PA0711	2	2	5	6	host	gene-PA0711
gene-PA0935	97	62	129	154	host	gene-PA0935
gene-PA0825	21	6	33	37	host	gene-PA0825
def	387	253	410	562	host	def
ygcA	414	288	391	587	host	ygcA
gene-PA1970	9	5	9	15	host	gene-PA1970
gene-PA2146	1	1	4	0	host	gene-PA2146
gene-PA4802.1	24	20	32	59	host	gene-PA4802.1
gene-PA0029	11	6	26	31	host	gene-PA0029
gene-PA4061	150	89	149	170	host	gene-PA4061
gene-PA3039	8	9	28	27	host	gene-PA3039
gene-PA2692	54	57	55	108	host	gene-PA2692
gene-PA2484	94	52	84	115	host	gene-PA2484
gene-PA1592	283	198	583	761	host	gene-PA1592
gene-PA3961	151	100	113	162	host	gene-PA3961
gene-PA3368.1	114	108	83	98	host	gene-PA3368.1
gene-JG005_00045	2749	2779	17765	17179	phage	gene-JG005_00045
oprG	698	665	1214	1713	host	oprG
putP	301	247	256	313	host	putP
fadD1	390	274	384	459	host	fadD1
gene-JG005_00147	2106	1874	3174	4384	phage	gene-JG005_00147
gene-PA3004	63	50	98	150	host	gene-PA3004
wbpL	361	227	605	790	host	wbpL
gene-PA2317	26	14	23	35	host	gene-PA2317
gene-PA4927	44	49	61	54	host	gene-PA4927
gene-PA5523	157	78	153	213	host	gene-PA5523
kup	188	120	257	279	host	kup
gene-PA1664	6	7	4	5	host	gene-PA1664
gene-PA0497	90	58	58	87	host	gene-PA0497
gene-PA0606	115	92	82	105	host	gene-PA0606
gene-PA1570	48	32	44	69	host	gene-PA1570
gene-PA1797	136	109	248	243	host	gene-PA1797
gene-PA4798	77	71	100	151	host	gene-PA4798
cysQ	137	68	160	211	host	cysQ
gene-PA2404	9	9	30	24	host	gene-PA2404
epd	186	142	232	280	host	epd
mexE	11	6	16	13	host	mexE
gene-PA2852	62	48	80	95	host	gene-PA2852
spuA	738	454	869	870	host	spuA
gene-PA3526	108	67	182	263	host	gene-PA3526
gene-PA4469	8	4	7	11	host	gene-PA4469
gene-PA2034	4	2	1	11	host	gene-PA2034
ribF	448	274	472	677	host	ribF
gene-PA3379	0	3	4	8	host	gene-PA3379
gene-PA3679	67	39	72	96	host	gene-PA3679
gene-PA5078	661	433	701	916	host	gene-PA5078
gene-PA5363	197	162	239	317	host	gene-PA5363
gene-PA4421	663	569	989	1211	host	gene-PA4421
gene-PA3075	47	29	52	80	host	gene-PA3075
gene-PA3084	94	57	68	94	host	gene-PA3084
glcE	4	4	19	11	host	glcE
gene-PA1068	333	251	388	619	host	gene-PA1068
gene-JG005_00039	3443	3658	19759	22668	phage	gene-JG005_00039
gene-PA2094	11	6	17	17	host	gene-PA2094
gene-PA0068	49	33	62	90	host	gene-PA0068
gene-PA2307	21	9	7	16	host	gene-PA2307
wbpW	112	79	70	86	host	wbpW
algL	7	2	8	14	host	algL
gene-PA1750	469	290	445	590	host	gene-PA1750
gene-PA1169	93	58	96	137	host	gene-PA1169
gene-PA1261	10	20	15	31	host	gene-PA1261
atpI	1882	1221	3176	3413	host	atpI
pslN	7	7	17	23	host	pslN
gene-PA2576	28	33	57	57	host	gene-PA2576
gene-PA4134	11	5	18	10	host	gene-PA4134
gene-PA2159	2	3	4	3	host	gene-PA2159
arnT	31	40	35	57	host	arnT
lldD	715	502	249	247	host	lldD
gene-PA1116	177	123	180	222	host	gene-PA1116
gene-PA5546	92	75	144	166	host	gene-PA5546
gene-PA0343	179	109	190	295	host	gene-PA0343
gene-PA2315	4	2	7	10	host	gene-PA2315
azu	248	232	348	559	host	azu
gene-PA3598	15	9	37	41	host	gene-PA3598
gene-PA0817	7	6	10	20	host	gene-PA0817
gene-PA2677	17	16	23	35	host	gene-PA2677
gene-PA3119	49	29	32	45	host	gene-PA3119
gene-PA1527	781	579	664	1043	host	gene-PA1527
gene-PA1418	71	55	51	82	host	gene-PA1418
gene-PA5381	42	29	46	59	host	gene-PA5381
gene-PA0883	3	8	6	9	host	gene-PA0883
gene-PA2898	2	1	0	4	host	gene-PA2898
gene-PA4795	62	57	104	136	host	gene-PA4795
gene-PA2938	10	5	14	13	host	gene-PA2938
sth	544	322	492	605	host	sth
gene-PA3023	12	9	15	18	host	gene-PA3023
gene-PA4130	53	52	74	109	host	gene-PA4130
kdpA	52	43	140	195	host	kdpA
ppk	1183	828	1169	1722	host	ppk
catB	6	0	4	3	host	catB
gene-PA2737	186	125	310	448	host	gene-PA2737
gene-PA4392	25	22	35	46	host	gene-PA4392
gene-PA5086	88	60	122	125	host	gene-PA5086
gene-JG005_00018	1049	1046	1345	1488	phage	gene-JG005_00018
hisC2	238	152	186	248	host	hisC2
pilB	383	224	460	548	host	pilB
kdsA	403	303	461	604	host	kdsA
gene-PA2264	23	33	26	45	host	gene-PA2264
gene-PA0756	117	102	134	170	host	gene-PA0756
mexB	973	614	862	1251	host	mexB
gene-PA3275	34	16	34	41	host	gene-PA3275
gene-PA2228	44	23	56	125	host	gene-PA2228
gene-PA0506	251	252	559	755	host	gene-PA0506
gene-PA3181	115	111	202	349	host	gene-PA3181
gene-PA3502	4	4	5	3	host	gene-PA3502
gene-PA2971	382	294	425	650	host	gene-PA2971
gene-PA0646	80	69	102	136	host	gene-PA0646
gene-PA0598	58	49	71	107	host	gene-PA0598
gene-PA3945	107	63	172	249	host	gene-PA3945
nrdR	111	74	111	163	host	nrdR
omlA	482	324	554	684	host	omlA
pppA	123	90	133	208	host	pppA
pqsC	180	127	59	86	host	pqsC
pvdO	17	2	16	23	host	pvdO
gene-PA1133	20	17	19	31	host	gene-PA1133
gene-PA4620	51	39	49	69	host	gene-PA4620
gene-JG024_gp61	4260	4028	14765	20211	phage	gene-JG024_gp61
gene-PA2841	14	14	34	32	host	gene-PA2841
gene-PA3773	5	1	2	2	host	gene-PA3773
gene-PA3512	7	1	5	8	host	gene-PA3512
gene-PA3017	40	24	59	88	host	gene-PA3017
gene-JG024_gp58	2702	3287	4681	6891	phage	gene-JG024_gp58
gene-PA5174	1353	808	895	1191	host	gene-PA5174
gene-PA3699	88	75	110	180	host	gene-PA3699
gene-PA1235	17	20	46	42	host	gene-PA1235
nqrE	129	88	78	116	host	nqrE
gene-PA1675	126	102	175	210	host	gene-PA1675
gene-PA0853	54	36	81	74	host	gene-PA0853
gene-PA2679	35	19	26	26	host	gene-PA2679
gene-PA4157	36	29	35	45	host	gene-PA4157
gene-PA5369.4	8856	16326	11016	11028	host	gene-PA5369.4
gene-PA4060	39	31	107	148	host	gene-PA4060
gene-PA0884	20	18	31	47	host	gene-PA0884
gene-PA4365	11	7	25	33	host	gene-PA4365
gene-PA4578	114	104	110	127	host	gene-PA4578
gene-PA0104	67	45	94	131	host	gene-PA0104
lysP	420	243	320	392	host	lysP
gene-JG024_gp83	1919	1682	4656	6858	phage	gene-JG024_gp83
gene-PA1314	10	13	20	44	host	gene-PA1314
cdsA	191	163	209	258	host	cdsA
gene-PA5522	86	67	71	111	host	gene-PA5522
gene-PA1339	115	104	48	90	host	gene-PA1339
gene-PA1942	21	21	37	40	host	gene-PA1942
gene-PA0742	13	18	13	12	host	gene-PA0742
gltA	683	462	653	830	host	gltA
gene-PA1824	114	87	126	171	host	gene-PA1824
gene-PA3430	5	12	11	15	host	gene-PA3430
gene-PA2502	92	55	89	145	host	gene-PA2502
gene-PA4141	3	10	17	15	host	gene-PA4141
gene-PA0855	151	108	212	293	host	gene-PA0855
gene-PA1785	6	8	5	11	host	gene-PA1785
gene-PA0449	23	23	41	51	host	gene-PA0449
gene-PA4463	477	434	637	934	host	gene-PA4463
gene-PA2417	65	34	84	99	host	gene-PA2417
gene-PA2403	52	31	53	71	host	gene-PA2403
gene-PA2223	41	26	80	110	host	gene-PA2223
gene-PA1057	145	117	200	243	host	gene-PA1057
gene-PA4916	29	30	49	76	host	gene-PA4916
gene-PA2172	12	10	13	18	host	gene-PA2172
gene-PA4009	11	11	26	31	host	gene-PA4009
gene-PA3016	17	8	29	25	host	gene-PA3016
gene-PA4438	562	356	535	567	host	gene-PA4438
gene-PA0054	90	64	92	135	host	gene-PA0054
gene-PA1125	44	28	60	76	host	gene-PA1125
cupA2	11	1	19	21	host	cupA2
gene-PA3516	23	4	23	32	host	gene-PA3516
hmgA	189	161	156	218	host	hmgA
gene-PA0922.1	6058	11151	7554	6638	host	gene-PA0922.1
gene-PA1154	17	24	26	32	host	gene-PA1154
cioA	57	34	74	102	host	cioA
gene-PA3403	26	15	34	45	host	gene-PA3403
gene-PA3632	13	7	21	21	host	gene-PA3632
tadD	3	1	1	3	host	tadD
gene-PA1022	17	11	27	42	host	gene-PA1022
sigX	1311	882	1568	1700	host	sigX
bexR	49	37	58	76	host	bexR
gene-PA1391	34	28	39	53	host	gene-PA1391
sss	193	135	181	274	host	sss
mucD	795	514	1001	1368	host	mucD
gene-PA5341	21	12	31	29	host	gene-PA5341
gene-PA0550	114	86	119	145	host	gene-PA0550
gene-PA3298	4	6	5	9	host	gene-PA3298
gene-PA4691	36	9	32	46	host	gene-PA4691
gene-PA0946	168	126	180	335	host	gene-PA0946
gene-PA2363	21	14	25	33	host	gene-PA2363
gene-JG005_00113	1320	1160	1658	1719	phage	gene-JG005_00113
rodA	437	315	434	564	host	rodA
gene-PA5458	142	91	97	138	host	gene-PA5458
gene-PA2537	50	29	76	88	host	gene-PA2537
alr	141	68	140	144	host	alr
gene-PA1427	37	27	38	50	host	gene-PA1427
gene-PA5101	3	3	7	17	host	gene-PA5101
gene-PA2705	76	63	80	123	host	gene-PA2705
sucA	1540	1131	1240	1773	host	sucA
gene-PA3851	63	49	62	86	host	gene-PA3851
gene-PA2045	47	32	66	106	host	gene-PA2045
gene-PA2325	3	5	3	7	host	gene-PA2325
gene-PA0089	165	100	284	393	host	gene-PA0089
gene-PA4963	379	225	480	612	host	gene-PA4963
phzA2	3	1	2	8	host	phzA2
murF	517	342	547	787	host	murF
gene-PA3256	41	24	46	63	host	gene-PA3256
gene-PA0906	168	123	236	282	host	gene-PA0906
gene-JG024_gp91	5804	4502	24691	38127	phage	gene-JG024_gp91
gene-PA1644	108	69	146	207	host	gene-PA1644
gene-PA5395	6	2	9	4	host	gene-PA5395
hcpB	17	9	14	21	host	hcpB
gene-PA0848	14	8	15	15	host	gene-PA0848
gene-PA5032	8	5	9	11	host	gene-PA5032
gene-PA5469	343	276	180	242	host	gene-PA5469
pauA	15	11	22	25	host	pauA
ccoP2	123	115	337	382	host	ccoP2
wbpK	207	165	302	462	host	wbpK
gene-PA4982	32	25	30	47	host	gene-PA4982
gene-PA4452	130	94	248	259	host	gene-PA4452
algF	3	1	5	9	host	algF
gene-PA4430	1177	842	1578	2082	host	gene-PA4430
atuC	9	9	14	13	host	atuC
fusA1	5242	4488	4883	6454	host	fusA1
gene-PA2676	10	5	15	12	host	gene-PA2676
lptA	144	115	192	232	host	lptA
glnD	312	228	311	427	host	glnD
gene-PA1282	96	74	118	178	host	gene-PA1282
gene-PA2151	18	17	31	29	host	gene-PA2151
gene-PA1192	396	231	343	498	host	gene-PA1192
ftsQ	468	272	293	442	host	ftsQ
gene-PA2942.1	43	33	46	71	host	gene-PA2942.1
rpsN	710	640	620	865	host	rpsN
gene-PA0801	45	47	109	120	host	gene-PA0801
cmaX	271	206	455	606	host	cmaX
gpuA	9	6	14	17	host	gpuA
gene-PA3985	69	42	76	73	host	gene-PA3985
gene-PA0467	30	20	30	31	host	gene-PA0467
gene-PA3511	8	3	6	20	host	gene-PA3511
gene-PA0119	115	84	142	227	host	gene-PA0119
gene-PA0975	301	226	635	750	host	gene-PA0975
gene-PA1918	9	4	9	20	host	gene-PA1918
hepA	567	406	615	839	host	hepA
gene-PA3674	26	4	12	19	host	gene-PA3674
gene-PA5179	40	40	79	112	host	gene-PA5179
gene-PA0775	126	83	169	146	host	gene-PA0775
ampG	148	104	171	247	host	ampG
algJ	4	8	15	10	host	algJ
gene-PA0596	177	116	191	235	host	gene-PA0596
gene-PA3881	39	19	21	41	host	gene-PA3881
gene-PA2837	7	3	6	4	host	gene-PA2837
gene-PA5176	137	112	115	182	host	gene-PA5176
gene-PA4112	146	89	145	164	host	gene-PA4112
gene-PA4734	33	27	70	85	host	gene-PA4734
ptrA	0	1	3	0	host	ptrA
tmk	89	66	64	93	host	tmk
gene-JG005_00077	2878	2102	3591	5699	phage	gene-JG005_00077
kynU	77	59	70	87	host	kynU
gene-PA5251	205	155	276	288	host	gene-PA5251
fliA	278	215	399	544	host	fliA
spuI	821	587	716	856	host	spuI
gene-PA3200	143	73	197	182	host	gene-PA3200
gene-PA0664	134	87	163	193	host	gene-PA0664
gene-PA5519	72	44	100	141	host	gene-PA5519
bkdR	21	15	35	44	host	bkdR
gene-PA3595	15	13	13	22	host	gene-PA3595
gene-PA4233	119	111	178	263	host	gene-PA4233
gene-PA4746.2	2001	1912	1114	1418	host	gene-PA4746.2
gene-PA3367	54	24	74	68	host	gene-PA3367
gene-PA2875	51	27	54	59	host	gene-PA2875
rplR	502	548	519	714	host	rplR
amrZ	99	103	178	241	host	amrZ
gene-PA4948	216	153	323	387	host	gene-PA4948
exaB	2	0	0	3	host	exaB
glgB	10	13	15	15	host	glgB
gene-PA1788	101	67	180	222	host	gene-PA1788
gene-PA4833	48	34	63	113	host	gene-PA4833
gene-JG005_00005	1448	1498	2301	2735	phage	gene-JG005_00005
gene-PA2534	19	14	25	32	host	gene-PA2534
selD	126	98	128	144	host	selD
popN	41	40	34	46	host	popN
gene-PA5209	347	224	299	361	host	gene-PA5209
gene-PA3850	156	110	174	258	host	gene-PA3850
gene-PA3533	109	97	108	161	host	gene-PA3533
gene-PA1011	937	678	1003	1161	host	gene-PA1011
gene-JG005_00109	1979	1889	3009	3298	phage	gene-JG005_00109
gene-PA3252	27	20	32	36	host	gene-PA3252
gene-PA4148	8	4	6	19	host	gene-PA4148
folP	535	339	374	560	host	folP
gene-PA1210	14	17	29	36	host	gene-PA1210
gene-PA0543	13	23	33	37	host	gene-PA0543
gene-PA1333	41	21	31	23	host	gene-PA1333
gene-PA0013	53	30	76	104	host	gene-PA0013
murA	948	561	797	1120	host	murA
gene-PA2530	51	31	61	73	host	gene-PA2530
gene-JG005_00083	3373	3129	3625	4751	phage	gene-JG005_00083
tyrZ	2029	1252	2537	2878	host	tyrZ
gene-PA3491	117	83	114	148	host	gene-PA3491
gene-PA2020	76	70	92	156	host	gene-PA2020
gene-PA1112	70	49	75	120	host	gene-PA1112
gene-PA3793	69	35	88	129	host	gene-PA3793
gtdA	7	10	11	14	host	gtdA
gene-PA5231	298	169	519	771	host	gene-PA5231
gene-PA2099	59	36	20	53	host	gene-PA2099
gene-PA3009	113	76	95	155	host	gene-PA3009
gene-PA3416	2	4	2	5	host	gene-PA3416
gene-PA4391	98	59	120	176	host	gene-PA4391
gene-PA4394	160	102	157	179	host	gene-PA4394
gene-PA5364	174	150	242	279	host	gene-PA5364
gene-PA1667	129	63	122	170	host	gene-PA1667
gene-JG005_00060	10990	6394	31228	32487	phage	gene-JG005_00060
gene-PA0586	34	29	39	73	host	gene-PA0586
gene-PA2383	57	23	75	94	host	gene-PA2383
gene-PA2154	1	2	8	7	host	gene-PA2154
gene-PA2918	4	9	8	17	host	gene-PA2918
gene-PA1204	32	19	31	44	host	gene-PA1204
gene-PA1213	11	7	15	12	host	gene-PA1213
gene-PA5121	230	160	230	302	host	gene-PA5121
gene-JG024_gp38	352	308	1890	3123	phage	gene-JG024_gp38
gene-PA0909	5	3	11	7	host	gene-PA0909
gene-PA0062	8	12	47	41	host	gene-PA0062
