# Program:featureCounts v2.0.1; Command:"featureCounts" "-p" "-M" "-O" "--primary" "-a" "dualGenome.gff3" "-t" "gene" "-o" "countData.tsv" "-g" "ID" "SRR17196372_sorted.bam" "SRR17196375_sorted.bam" "SRR17196376_sorted.bam" "SRR17196373_sorted.bam" "SRR17196381_sorted.bam" "SRR17196368_sorted.bam" "SRR17196384_sorted.bam" "SRR17196370_sorted.bam" "SRR17196379_sorted.bam" "SRR17196369_sorted.bam" "SRR17196371_sorted.bam" "SRR17196367_sorted.bam" "SRR17196382_sorted.bam" "SRR17196365_sorted.bam" "SRR17196374_sorted.bam" "SRR17196378_sorted.bam" "SRR17196385_sorted.bam" "SRR17196380_sorted.bam" "SRR17196377_sorted.bam" "SRR17196383_sorted.bam" "SRR17196366_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR17196372_sorted.bam	SRR17196375_sorted.bam	SRR17196376_sorted.bam	SRR17196373_sorted.bam	SRR17196381_sorted.bam	SRR17196368_sorted.bam	SRR17196384_sorted.bam	SRR17196370_sorted.bam	SRR17196379_sorted.bam	SRR17196369_sorted.bam	SRR17196371_sorted.bam	SRR17196367_sorted.bam	SRR17196382_sorted.bam	SRR17196365_sorted.bam	SRR17196374_sorted.bam	SRR17196378_sorted.bam	SRR17196385_sorted.bam	SRR17196380_sorted.bam	SRR17196377_sorted.bam	SRR17196383_sorted.bam	SRR17196366_sorted.bam
gene-SAURSH1000_RS00115	NZ_CP059180.1	28283	29071	+	789	858	911	333	641	249	863	214	703	161	710	910	590	75	651	758	912	47	207	412	127	762
gene-SAURSH1000_RS00120	NZ_CP059180.1	29461	30261	+	801	469	476	210	437	92	650	126	416	91	518	610	430	28	587	430	359	17	120	273	91	526
gene-SAURSH1000_RS00125	NZ_CP059180.1	30489	32807	+	2319	213	372	127	113	141	264	192	137	73	162	285	213	40	259	372	554	27	96	267	67	150
gene-SAURSH1000_RS00130	NZ_CP059180.1	33175	33654	+	480	71	96	52	41	56	53	52	54	29	63	95	42	22	71	107	151	2	39	99	10	102
gene-SAURSH1000_RS00135	NZ_CP059180.1	33859	33993	-	135	16	23	7	23	7	21	8	20	8	23	29	19	4	7	36	21	3	4	41	2	26
gene-SAURSH1000_RS00140	NZ_CP059180.1	33957	34049	+	93	13	21	4	12	5	15	3	12	3	15	17	13	4	7	34	11	2	3	27	2	13
gene-SAURSH1000_RS00145	NZ_CP059180.1	34196	35941	+	1746	320	294	107	252	110	286	90	272	51	346	307	201	24	199	528	271	16	56	367	51	265
gene-SAURSH1000_RS00155	NZ_CP059180.1	36503	36604	-	102	17	7	1	6	4	4	0	9	0	28	5	4	0	8	19	6	0	5	7	0	5
gene-SAURSH1000_RS00160	NZ_CP059180.1	36702	37457	-	756	229	141	42	61	19	98	24	76	11	417	111	39	9	66	154	76	6	23	54	19	42
gene-SAURSH1000_RS00165	NZ_CP059180.1	37457	37717	-	261	88	69	21	26	9	42	13	21	9	157	43	18	2	21	64	30	2	6	24	9	9
gene-SAURSH1000_RS00170	NZ_CP059180.1	37854	38921	+	1068	622	473	31	44	16	81	10	58	15	667	96	48	12	63	105	206	7	10	59	10	21
gene-SAURSH1000_RS00175	NZ_CP059180.1	38952	40286	+	1335	927	705	40	77	45	121	27	57	20	877	123	54	9	86	148	298	19	15	79	10	40
gene-SAURSH1000_RS00180	NZ_CP059180.1	40305	41498	+	1194	696	635	76	109	82	156	44	134	91	637	168	115	27	110	280	360	18	31	216	18	88
gene-SAURSH1000_RS00185	NZ_CP059180.1	42165	43151	-	987	615	755	314	524	127	537	148	485	107	441	767	519	52	552	446	523	30	107	222	98	402
gene-SAURSH1000_RS00190	NZ_CP059180.1	43460	43663	+	204	17	10	6	11	4	21	1	14	2	13	13	8	0	11	15	6	1	3	14	2	14
gene-SAURSH1000_RS00195	NZ_CP059180.1	43712	44008	+	297	55	45	35	44	11	72	11	45	14	66	59	50	7	36	74	30	1	18	36	13	52
gene-SAURSH1000_RS00200	NZ_CP059180.1	44080	45300	-	1221	81	69	23	55	18	89	22	52	9	83	79	59	3	52	93	62	3	20	58	19	72
gene-SAURSH1000_RS00205	NZ_CP059180.1	45293	45844	-	552	10	11	3	5	3	13	0	11	2	5	6	3	1	4	11	3	1	3	6	4	4
gene-SAURSH1000_RS00210	NZ_CP059180.1	45957	46817	+	861	40	50	19	40	12	65	12	32	16	36	79	34	5	35	71	43	3	16	56	6	36
gene-SAURSH1000_RS00215	NZ_CP059180.1	47172	47705	-	534	17	13	4	17	8	27	1	14	3	16	28	14	0	12	29	15	2	8	17	3	9
gene-SAURSH1000_RS00220	NZ_CP059180.1	47796	48539	+	744	36	35	14	31	12	51	6	21	8	27	46	22	1	18	52	27	2	5	27	9	25
gene-SAURSH1000_RS00225	NZ_CP059180.1	48973	49575	+	603	64	96	28	44	11	100	19	54	11	52	84	32	2	66	100	47	1	6	55	20	32
gene-SAURSH1000_RS00230	NZ_CP059180.1	49842	52994	+	3153	159	224	79	118	75	176	72	158	68	142	201	130	23	139	237	250	13	60	215	32	221
gene-SAURSH1000_RS00235	NZ_CP059180.1	53051	53533	+	483	69	87	24	55	32	68	26	50	18	49	87	53	10	48	105	88	4	20	58	17	63
gene-SAURSH1000_RS00240	NZ_CP059180.1	53738	54724	+	987	30	31	12	15	16	27	36	11	4	18	30	17	2	19	27	46	1	14	31	9	19
gene-SAURSH1000_RS00245	NZ_CP059180.1	54945	55715	+	771	3	12	0	5	3	5	2	3	0	7	4	1	1	1	6	7	0	1	4	1	5
gene-SAURSH1000_RS00250	NZ_CP059180.1	55767	56537	+	771	17	13	2	6	7	4	2	6	0	10	6	4	1	3	16	12	1	1	14	1	8
gene-SAURSH1000_RS00255	NZ_CP059180.1	56601	57371	+	771	29	26	4	10	5	14	8	15	4	28	12	11	4	6	26	16	2	6	15	6	14
gene-SAURSH1000_RS00260	NZ_CP059180.1	57438	58205	+	768	21	28	5	11	13	19	8	18	2	14	19	21	4	14	29	19	0	1	28	7	9
gene-SAURSH1000_RS00265	NZ_CP059180.1	58299	60536	+	2238	328	381	192	335	86	394	112	275	77	357	465	284	33	268	438	397	25	85	222	57	328
gene-SAURSH1000_RS00270	NZ_CP059180.1	60687	61865	+	1179	29	75	38	55	72	71	52	66	34	47	75	77	24	60	81	107	14	62	143	19	82
gene-SAURSH1000_RS00275	NZ_CP059180.1	61867	63255	+	1389	53	98	53	79	72	93	67	126	51	70	88	118	25	73	132	138	23	91	192	49	130
gene-SAURSH1000_RS00280	NZ_CP059180.1	63748	65409	-	1662	703	1382	760	2124	388	1871	395	1382	246	518	2868	1289	87	1296	2080	1106	68	318	590	258	491
gene-SAURSH1000_RS00285	NZ_CP059180.1	65735	67510	-	1776	149	103	24	53	231	83	204	59	64	348	77	49	36	68	87	276	23	173	318	116	518
gene-SAURSH1000_RS00290	NZ_CP059180.1	67684	68556	-	873	3	6	2	3	1	4	1	6	1	4	5	2	3	3	3	5	0	1	7	0	2
gene-SAURSH1000_RS00295	NZ_CP059180.1	68669	70066	+	1398	42	67	12	35	10	44	20	45	10	30	65	32	2	26	62	53	2	10	26	8	31
gene-SAURSH1000_RS00300	NZ_CP059180.1	70256	70729	+	474	44	49	30	42	34	70	25	45	22	38	67	31	11	36	112	80	5	26	129	11	47
gene-SAURSH1000_RS00305	NZ_CP059180.1	70991	72583	+	1593	963	1616	724	968	327	1646	260	1034	302	582	1875	966	88	1156	1698	903	54	321	962	327	465
gene-SAURSH1000_RS00310	NZ_CP059180.1	72912	74462	-	1551	16512	26180	13716	13905	12454	36650	10102	22912	13508	10883	30748	28024	4753	32316	49389	40174	2309	9703	33989	5474	10988
gene-SAURSH1000_RS00315	NZ_CP059180.1	74820	75572	-	753	655	904	373	776	293	1550	234	685	180	561	1413	669	63	652	1843	829	56	264	1113	251	554
gene-SAURSH1000_RS00320	NZ_CP059180.1	75941	76939	-	999	117	130	187	303	98	460	84	281	144	132	330	326	60	396	416	277	25	131	336	99	222
gene-SAURSH1000_RS00325	NZ_CP059180.1	76936	77931	-	996	48	74	55	108	14	197	15	128	21	40	181	122	11	154	142	67	3	20	54	17	35
gene-SAURSH1000_RS00330	NZ_CP059180.1	77947	78939	-	993	97	159	133	412	36	611	55	404	56	84	692	428	31	388	475	156	15	54	148	36	90
gene-SAURSH1000_RS00335	NZ_CP059180.1	79170	80150	+	981	5	13	11	30	1	28	0	40	5	9	42	47	4	34	21	5	1	4	5	2	5
gene-SAURSH1000_RS00340	NZ_CP059180.1	80147	81157	+	1011	11	9	19	44	3	51	3	59	12	7	40	70	7	47	37	9	3	2	9	1	2
gene-SAURSH1000_RS00345	NZ_CP059180.1	81178	82932	+	1755	12	23	26	50	7	88	8	89	13	11	70	110	8	107	60	20	4	6	18	2	10
gene-SAURSH1000_RS00350	NZ_CP059180.1	82925	84181	+	1257	19	16	21	57	8	64	2	87	8	12	66	102	12	78	46	20	5	4	14	2	11
gene-SAURSH1000_RS00355	NZ_CP059180.1	84171	85907	+	1737	18	26	24	93	4	98	12	99	10	15	87	102	11	98	48	26	5	6	25	4	20
gene-SAURSH1000_RS00360	NZ_CP059180.1	85816	87666	+	1851	25	37	33	95	9	120	9	115	23	17	101	131	14	120	75	41	11	4	34	8	24
gene-SAURSH1000_RS00365	NZ_CP059180.1	87641	88417	+	777	21	33	33	57	7	82	5	77	12	17	50	72	10	67	49	20	5	2	21	3	13
gene-SAURSH1000_RS00370	NZ_CP059180.1	88417	89619	+	1203	26	35	33	101	17	102	10	104	23	26	111	108	10	91	65	38	4	5	38	9	29
gene-SAURSH1000_RS00375	NZ_CP059180.1	89623	90387	+	765	20	43	63	108	17	121	10	102	13	33	114	122	16	83	77	41	6	10	57	5	30
gene-SAURSH1000_RS00380	NZ_CP059180.1	90583	90990	+	408	15	24	14	21	8	31	3	25	12	18	43	23	3	23	47	28	1	6	25	3	13
gene-SAURSH1000_RS00385	NZ_CP059180.1	91040	91666	+	627	25	52	19	41	16	68	10	61	16	31	54	40	3	37	85	50	4	11	50	9	28
gene-SAURSH1000_RS00390	NZ_CP059180.1	91878	92654	+	777	221	171	109	130	219	178	201	120	97	396	256	145	110	143	223	398	52	209	303	102	864
gene-SAURSH1000_RS00395	NZ_CP059180.1	92798	92920	+	123	2	0	0	1	0	0	0	1	0	0	0	0	0	0	1	1	0	1	0	0	2
gene-SAURSH1000_RS00400	NZ_CP059180.1	92990	93970	+	981	12	11	3	4	8	12	2	8	4	10	11	5	2	5	19	10	0	1	7	4	12
gene-SAURSH1000_RS00405	NZ_CP059180.1	93933	94625	+	693	12	12	3	9	4	8	5	8	6	9	7	5	3	9	10	10	2	3	10	5	12
gene-SAURSH1000_RS00410	NZ_CP059180.1	94835	96001	+	1167	21	13	6	14	5	25	5	6	1	14	24	8	0	17	30	24	2	2	17	1	6
gene-SAURSH1000_RS00415	NZ_CP059180.1	95982	97220	+	1239	30	35	9	23	4	37	8	21	3	11	34	9	0	21	38	14	0	7	20	4	17
gene-SAURSH1000_RS00420	NZ_CP059180.1	97210	98640	+	1431	92	119	48	93	21	139	28	86	19	84	144	74	5	110	112	78	2	30	54	22	101
gene-SAURSH1000_RS00425	NZ_CP059180.1	98908	99507	+	600	174	250	82	164	58	355	100	147	41	189	418	152	38	213	314	194	14	62	198	53	178
gene-SAURSH1000_RS00430	NZ_CP059180.1	99875	100474	+	600	379	313	93	140	474	256	451	149	123	633	266	141	102	192	386	789	68	488	669	257	1149
gene-SAURSH1000_RS00435	NZ_CP059180.1	100461	100598	+	138	152	118	43	63	229	104	188	67	45	256	126	54	39	67	173	301	28	201	289	107	425
gene-SAURSH1000_RS00440	NZ_CP059180.1	100790	101545	-	756	56	89	68	93	31	106	31	64	24	60	124	98	18	68	137	87	10	35	98	16	113
gene-SAURSH1000_RS00445	NZ_CP059180.1	101781	102488	+	708	6	12	13	17	71	40	121	26	46	19	36	28	44	26	49	84	31	78	175	44	53
gene-SAURSH1000_RS00450	NZ_CP059180.1	102495	103847	+	1353	40	50	54	76	144	99	233	117	56	76	107	90	71	73	137	155	32	118	342	73	136
gene-SAURSH1000_RS00455	NZ_CP059180.1	103928	104590	+	663	406	481	290	431	233	558	344	549	237	457	617	650	103	580	647	520	82	210	604	97	794
gene-SAURSH1000_RS00460	NZ_CP059180.1	104618	105796	+	1179	913	981	512	917	516	1073	717	1154	492	1077	1345	1128	229	948	1317	1196	128	486	1180	292	1547
gene-SAURSH1000_RS00465	NZ_CP059180.1	105927	106742	-	816	6	26	7	17	5	18	11	13	3	13	25	9	1	15	21	16	1	6	8	6	9
gene-SAURSH1000_RS00470	NZ_CP059180.1	106739	107539	-	801	8	11	6	6	2	12	0	8	4	9	17	12	0	12	11	14	0	2	5	4	4
gene-SAURSH1000_RS00475	NZ_CP059180.1	107541	108314	-	774	4	11	3	1	1	3	0	5	2	4	9	5	0	8	7	10	1	0	4	1	2
gene-SAURSH1000_RS00480	NZ_CP059180.1	108528	109484	-	957	8	10	3	15	5	17	7	14	5	6	20	7	1	13	14	15	1	2	13	1	8
gene-SAURSH1000_RS00485	NZ_CP059180.1	109713	111257	+	1545	18	26	4	10	6	15	7	13	3	7	16	12	2	13	19	21	4	3	8	3	16
gene-SAURSH1000_RS00490	NZ_CP059180.1	111308	112843	+	1536	65	111	52	64	48	80	54	59	39	70	134	74	13	58	123	154	10	29	96	16	93
gene-SAURSH1000_RS00505	NZ_CP059180.1	114347	114634	+	288	4	6	4	8	2	15	2	4	1	5	9	4	1	3	13	10	0	5	4	4	2
gene-SAURSH1000_RS00515	NZ_CP059180.1	115958	118567	+	2610	84	89	22	36	403	46	629	45	32	207	56	36	21	36	72	314	7	196	230	77	618
gene-SAURSH1000_RS00520	NZ_CP059180.1	118912	119580	+	669	3	5	2	1	4	1	2	1	4	4	3	2	0	5	13	7	0	1	11	0	5
gene-SAURSH1000_RS00525	NZ_CP059180.1	119596	120282	+	687	9	8	2	6	4	8	4	6	3	8	13	7	1	12	18	14	0	3	16	3	8
gene-SAURSH1000_RS00530	NZ_CP059180.1	120285	121049	+	765	7	12	4	3	4	9	6	11	13	5	5	7	5	3	5	16	0	4	12	3	5
gene-SAURSH1000_RS00535	NZ_CP059180.1	121069	122892	+	1824	8	19	6	18	15	12	6	27	9	13	15	20	1	18	19	24	0	4	27	4	14
gene-SAURSH1000_RS00540	NZ_CP059180.1	122882	123910	+	1029	10	6	6	7	8	11	6	20	2	16	14	14	2	8	12	26	1	2	12	6	12
gene-SAURSH1000_RS00545	NZ_CP059180.1	123923	125032	+	1110	8	20	4	17	11	18	4	12	8	24	15	22	3	15	17	18	1	9	18	3	21
gene-SAURSH1000_RS00550	NZ_CP059180.1	125036	126160	+	1125	14	19	5	13	9	26	6	13	4	13	16	17	2	7	18	31	2	5	20	6	18
gene-SAURSH1000_RS00555	NZ_CP059180.1	126163	126789	+	627	10	10	5	11	11	14	5	15	0	11	16	13	1	3	9	13	1	6	9	5	7
gene-SAURSH1000_RS00560	NZ_CP059180.1	126794	127903	+	1110	17	27	8	18	13	29	8	27	6	18	26	15	2	16	40	28	1	4	20	6	28
gene-SAURSH1000_RS00565	NZ_CP059180.1	127917	129083	+	1167	15	30	10	27	8	40	6	33	5	36	26	26	6	24	39	26	1	6	35	4	17
gene-SAURSH1000_RS00570	NZ_CP059180.1	129076	130281	+	1206	14	20	12	18	7	33	7	34	7	17	26	13	5	20	33	26	1	5	33	4	18
gene-SAURSH1000_RS00575	NZ_CP059180.1	130282	131487	+	1206	35	45	22	48	6	50	6	48	14	26	46	32	5	38	47	52	2	5	43	11	33
gene-SAURSH1000_RS00580	NZ_CP059180.1	131498	132055	+	558	20	27	16	20	9	21	4	26	9	23	28	32	3	26	25	29	0	1	14	2	17
gene-SAURSH1000_RS00585	NZ_CP059180.1	132055	132942	+	888	43	45	18	36	19	28	17	42	10	38	47	43	7	28	33	47	1	8	28	7	38
gene-SAURSH1000_RS00590	NZ_CP059180.1	132996	134258	+	1263	53	66	41	55	20	58	14	80	28	55	76	63	6	58	51	62	7	20	41	11	46
gene-SAURSH1000_RS00595	NZ_CP059180.1	134335	135480	+	1146	105	130	52	115	40	135	39	87	50	91	159	131	15	106	107	152	17	48	78	22	86
gene-SAURSH1000_RS00600	NZ_CP059180.1	135545	135871	-	327	16	30	35	68	8	85	7	64	18	20	77	62	7	55	56	31	2	7	33	12	27
gene-SAURSH1000_RS00605	NZ_CP059180.1	135878	136261	-	384	14	21	18	30	7	48	5	35	8	12	31	38	2	27	37	21	1	6	19	10	23
gene-SAURSH1000_RS00610	NZ_CP059180.1	136688	138175	+	1488	101	93	958	1941	44	1500	125	3164	504	137	1373	4283	220	1386	998	101	147	116	502	65	303
gene-SAURSH1000_RS00615	NZ_CP059180.1	138821	139780	+	960	65	60	43	86	43	97	26	107	38	65	95	68	16	62	117	69	8	32	110	22	86
gene-SAURSH1000_RS00620	NZ_CP059180.1	139842	140045	-	204	11	7	17	27	13	32	9	16	17	10	35	21	3	19	54	34	2	14	72	3	32
gene-SAURSH1000_RS00625	NZ_CP059180.1	140224	140736	+	513	88	95	13	23	10	45	6	14	7	79	60	22	6	13	55	31	1	22	44	7	49
gene-SAURSH1000_RS00630	NZ_CP059180.1	141078	141818	+	741	20	16	0	3	0	5	1	2	1	13	4	2	0	3	9	8	1	2	2	0	11
gene-SAURSH1000_RS00635	NZ_CP059180.1	141832	142806	+	975	15	23	3	7	4	10	2	8	3	23	12	2	0	12	10	12	1	3	7	5	20
gene-SAURSH1000_RS00640	NZ_CP059180.1	142803	143564	+	762	25	30	4	7	2	6	3	6	0	27	9	1	1	1	8	4	1	1	8	2	21
gene-SAURSH1000_RS00645	NZ_CP059180.1	143577	144608	+	1032	34	46	12	13	13	24	7	10	5	32	23	15	2	12	40	24	1	7	28	4	41
gene-SAURSH1000_RS00650	NZ_CP059180.1	144825	145184	+	360	63	117	68	99	12	169	32	84	26	64	162	73	10	93	105	57	7	31	64	25	58
gene-SAURSH1000_RS00655	NZ_CP059180.1	145357	146382	+	1026	12	10	6	11	5	17	5	6	6	12	14	2	3	16	12	10	1	4	6	4	9
gene-SAURSH1000_RS00660	NZ_CP059180.1	146768	148018	+	1251	95	116	50	77	28	147	34	68	25	84	146	67	8	62	182	117	8	29	94	27	77
gene-SAURSH1000_RS00665	NZ_CP059180.1	148465	155640	+	7176	874	1172	531	1016	426	1281	545	1086	315	815	1236	1097	166	1174	1170	1458	86	316	604	196	921
gene-SAURSH1000_RS00670	NZ_CP059180.1	155653	156297	+	645	107	148	78	148	45	220	61	165	35	90	169	124	20	140	177	144	10	26	102	27	127
gene-SAURSH1000_RS00675	NZ_CP059180.1	156625	157104	-	480	205	154	32	61	337	94	294	56	104	349	105	54	76	72	262	476	26	302	476	156	992
gene-SAURSH1000_RS00680	NZ_CP059180.1	157374	158138	-	765	31	33	14	22	6	39	13	19	3	37	24	15	1	25	23	30	0	7	14	0	20
gene-SAURSH1000_RS00685	NZ_CP059180.1	158154	159395	-	1242	37	43	15	40	13	29	7	31	5	31	39	21	1	28	43	48	1	13	20	5	24
gene-SAURSH1000_RS00690	NZ_CP059180.1	159407	160438	-	1032	15	23	7	11	5	16	5	12	5	18	29	15	2	16	16	28	1	7	14	3	16
gene-SAURSH1000_RS00695	NZ_CP059180.1	160477	161661	-	1185	17	25	13	16	9	11	8	7	4	19	18	7	2	15	20	20	3	0	6	7	16
gene-SAURSH1000_RS00700	NZ_CP059180.1	161914	163269	-	1356	178	248	124	235	77	340	64	210	55	215	377	233	33	242	426	267	11	89	237	72	320
gene-SAURSH1000_RS00705	NZ_CP059180.1	163545	164102	-	558	45	48	125	211	26	223	25	287	70	47	227	322	38	201	260	45	15	27	137	22	55
gene-SAURSH1000_RS00710	NZ_CP059180.1	164169	165809	-	1641	99	134	377	681	49	627	77	743	144	131	585	997	99	607	584	105	52	111	299	67	159
gene-SAURSH1000_RS00715	NZ_CP059180.1	166003	166104	+	102	46	93	51	68	96	96	72	51	27	44	82	51	17	64	104	292	6	30	75	36	24
gene-SAURSH1000_RS00720	NZ_CP059180.1	166083	168128	-	2046	1770	3581	1392	2348	2072	2559	1692	1624	673	1088	2646	1524	371	1718	2627	8399	216	865	1866	789	577
gene-SAURSH1000_RS00725	NZ_CP059180.1	168714	169769	+	1056	11	16	31	43	34	93	45	132	34	8	96	204	17	74	116	48	10	35	175	19	51
gene-SAURSH1000_RS00730	NZ_CP059180.1	169769	170665	+	897	10	20	42	37	28	62	78	211	44	10	56	218	14	66	97	39	10	12	196	17	47
gene-SAURSH1000_RS00735	NZ_CP059180.1	170677	172131	+	1455	30	48	112	130	98	141	183	389	93	31	134	423	51	171	193	111	30	90	306	49	137
gene-SAURSH1000_RS00740	NZ_CP059180.1	172134	173009	+	876	32	36	53	101	70	108	105	219	47	26	84	221	31	93	107	79	23	87	157	67	67
gene-SAURSH1000_RS00745	NZ_CP059180.1	173203	173484	-	282	12	8	7	10	4	17	7	15	2	1	20	15	1	11	28	16	0	1	14	4	9
gene-SAURSH1000_RS00750	NZ_CP059180.1	173697	176486	+	2790	636	726	258	496	319	590	290	578	177	545	814	488	65	453	749	1031	38	171	584	131	613
gene-SAURSH1000_RS00755	NZ_CP059180.1	176691	177533	+	843	224	203	104	204	105	322	61	173	57	184	311	137	27	151	407	244	19	55	255	60	243
gene-SAURSH1000_RS00760	NZ_CP059180.1	177535	178458	+	924	97	107	59	111	64	129	33	108	39	95	179	103	20	76	231	116	14	36	140	19	162
gene-SAURSH1000_RS00765	NZ_CP059180.1	178445	179557	+	1113	34	63	36	74	26	73	26	60	37	60	88	46	8	40	158	68	9	24	94	14	123
gene-SAURSH1000_RS00770	NZ_CP059180.1	179822	181414	-	1593	38	47	6	22	9	22	9	15	7	39	39	19	3	21	44	24	4	17	24	6	45
gene-SAURSH1000_RS00775	NZ_CP059180.1	181371	182849	+	1479	7	5	1	11	2	11	3	4	3	5	16	5	0	2	11	7	1	2	8	0	14
gene-SAURSH1000_RS00780	NZ_CP059180.1	182855	184018	+	1164	8	11	2	4	4	5	2	4	1	3	6	5	1	7	9	5	0	3	2	0	4
gene-SAURSH1000_RS00785	NZ_CP059180.1	184035	185810	+	1776	14	25	10	10	4	21	5	12	3	18	13	14	3	15	18	17	3	9	10	3	17
gene-SAURSH1000_RS00790	NZ_CP059180.1	185848	187854	+	2007	68	87	45	76	28	79	27	63	26	56	113	63	16	72	70	73	10	32	34	28	88
gene-SAURSH1000_RS00795	NZ_CP059180.1	188152	188925	-	774	33	27	9	22	4	33	8	19	4	28	41	20	2	26	34	17	1	1	21	6	39
