# Program:featureCounts v2.0.1; Command:"featureCounts" "-p" "-M" "-O" "--primary" "-a" "dualGenome.gff3" "-t" "gene" "-o" "countData.tsv" "-g" "ID" "SRR17374249_sorted.bam" "SRR17374246_sorted.bam" "SRR17374247_sorted.bam" "SRR17374244_sorted.bam" "SRR17374248_sorted.bam" "SRR17374245_sorted.bam" "SRR17374241_sorted.bam" "SRR17374243_sorted.bam" "SRR17374242_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR17374249_sorted.bam	SRR17374246_sorted.bam	SRR17374247_sorted.bam	SRR17374244_sorted.bam	SRR17374248_sorted.bam	SRR17374245_sorted.bam	SRR17374241_sorted.bam	SRR17374243_sorted.bam	SRR17374242_sorted.bam
gene-LUU82_00150	CP089586.1	24729	24908	-	180	974	1290	1234	1768	1616	1674	1487	1226	1668
gene-LUU82_00155	CP089586.1	25280	25477	-	198	224	364	243	328	392	459	441	553	698
gene-LUU82_00160	CP089586.1	25866	27611	+	1746	546	873	710	931	786	1038	1094	1092	1647
gene-LUU82_00165	CP089586.1	27626	27916	+	291	126	220	164	228	184	244	262	249	376
gene-LUU82_00170	CP089586.1	28240	29526	-	1287	7548	10960	9793	12501	10923	13240	12683	11015	15446
gene-LUU82_00175	CP089586.1	29726	29824	+	99	509	663	637	957	854	789	1134	1248	897
gene-LUU82_00180	CP089586.1	30067	30243	+	177	199	258	232	583	354	294	366	468	307
gene-LUU82_00185	CP089586.1	30502	30882	+	381	683	1276	926	1803	1103	1458	1543	1472	1768
gene-LUU82_00190	CP089586.1	30879	31775	+	897	2116	3749	2716	4255	2945	4403	4660	4000	5731
gene-LUU82_00195	CP089586.1	31776	32456	+	681	1256	2276	1650	2688	1725	2663	2696	2611	3302
gene-LUU82_00200	CP089586.1	32453	33325	+	873	1864	3430	2429	4199	2525	4132	4069	3948	5093
gene-LUU82_00205	CP089586.1	33325	34065	+	741	1452	2507	2035	3572	2199	3044	3292	2961	3636
gene-LUU82_00210	CP089586.1	34131	34694	-	564	2804	5438	4102	7101	4320	6568	7738	5569	9554
gene-LUU82_00215	CP089586.1	34815	35339	+	525	1319	2266	1881	2704	1984	2379	2370	2124	2754
gene-LUU82_00220	CP089586.1	35399	35956	+	558	1492	2160	1993	2883	2105	2530	2561	2267	3033
gene-LUU82_00225	CP089586.1	35953	36795	+	843	2320	3332	2977	3997	3419	3993	3701	3482	4570
gene-LUU82_00230	CP089586.1	36852	37892	-	1041	921	1356	1239	1522	1381	1635	1490	1311	1891
gene-LUU82_00235	CP089586.1	38343	38516	+	174	1363	1755	1940	3669	2632	2048	2616	2874	2263
gene-LUU82_00245	CP089586.1	39089	39490	-	402	2181	2668	2918	3398	3496	3092	3820	3889	4389
gene-LUU82_00250	CP089586.1	39760	40788	+	1029	3010	4776	3794	5179	4453	5180	4842	4307	5740
gene-LUU82_00255	CP089586.1	40908	42287	-	1380	2870	4801	3796	5092	3988	5366	5151	4610	6242
gene-LUU82_00260	CP089586.1	42339	42512	+	174	196	320	268	410	288	380	352	325	382
gene-LUU82_00265	CP089586.1	42705	43634	-	930	13690	20163	18721	24232	21132	24611	24680	21975	29399
gene-LUU82_00270	CP089586.1	43687	44247	-	561	4050	5955	5361	6578	5886	6962	6940	6197	8521
gene-LUU82_00275	CP089586.1	44619	45716	+	1098	701	909	1049	1263	978	1080	1193	950	1388
gene-LUU82_00280	CP089586.1	45921	47483	+	1563	1126	1678	1743	1926	1708	1918	2014	1690	2455
gene-LUU82_00285	CP089586.1	47494	47601	-	108	183	257	280	288	287	284	291	246	374
gene-LUU82_00290	CP089586.1	47673	48467	-	795	1415	2351	1784	2234	2059	2286	1926	1745	2521
gene-LUU82_00295	CP089586.1	48487	49563	-	1077	1660	2658	2103	2332	2423	2491	2173	2021	2684
gene-LUU82_00300	CP089586.1	49747	51216	+	1470	3125	5693	4258	5683	4254	6026	5804	4581	7118
gene-LUU82_00305	CP089586.1	51209	52030	+	822	2416	4313	3207	4353	3212	4608	4377	3769	5621
gene-LUU82_00310	CP089586.1	52301	52903	+	603	4193	5832	5612	8163	6765	7219	6969	6656	7292
gene-LUU82_00315	CP089586.1	52884	53057	+	174	1197	1571	1619	2902	2232	2186	2179	2372	1997
gene-LUU82_00320	CP089586.1	53346	53672	-	327	286	381	372	440	441	471	515	462	575
gene-LUU82_00325	CP089586.1	53703	54869	-	1167	508	631	608	765	709	832	858	763	1057
gene-LUU82_00330	CP089586.1	55730	57025	+	1296	6295	12118	8657	12302	9418	11779	10674	9540	12902
gene-LUU82_00335	CP089586.1	57134	57436	+	303	1513	2353	1842	3319	2391	2557	2259	2348	2476
gene-LUU82_00340	CP089586.1	57608	58300	+	693	2036	2663	2565	2877	2784	3095	2635	2403	3302
gene-LUU82_00345	CP089586.1	58297	60489	+	2193	7994	10978	10159	11042	10491	13111	10960	9743	14509
gene-LUU82_00350	CP089586.1	60493	62496	+	2004	8845	12579	11758	13028	12077	14813	13052	11744	17298
gene-LUU82_00355	CP089586.1	62509	63708	+	1200	6853	9413	8706	10768	9932	11619	10718	9727	12978
gene-LUU82_00360	CP089586.1	63797	65335	-	1539	2267	3513	2946	4341	3399	4332	5312	4360	5909
gene-LUU82_00365	CP089586.1	65702	66004	+	303	2648	3611	3268	4183	4163	4781	3742	3688	4991
gene-LUU82_00370	CP089586.1	66006	67463	+	1458	23044	31099	28368	31705	30138	38577	32088	30493	45862
gene-LUU82_00375	CP089586.1	67476	68903	+	1428	26621	35753	33530	38161	35522	45165	40559	37321	53959
gene-LUU82_00380	CP089586.1	68943	69089	+	147	68	88	66	80	75	128	96	89	113
gene-LUU82_00385	CP089586.1	69615	70562	+	948	2214	3255	2881	4160	3363	4013	4095	3449	4679
gene-LUU82_00390	CP089586.1	70643	72004	+	1362	2709	3267	3411	3624	3898	3781	3509	3302	4188
gene-LUU82_00395	CP089586.1	72174	72704	+	531	1541	1904	2098	2553	2443	2214	2326	2136	2603
gene-LUU82_00400	CP089586.1	72951	74021	+	1071	562	703	695	859	930	830	738	865	825
gene-LUU82_00405	CP089586.1	74088	74642	-	555	1318	1538	1684	1755	2066	1838	1657	1605	2010
gene-LUU82_00410	CP089586.1	74858	74950	+	93	195	121	206	184	322	158	146	175	172
gene-LUU82_00415	CP089586.1	75032	75532	-	501	4248	3379	5655	3413	7619	3670	5303	4784	6247
gene-LUU82_00420	CP089586.1	75824	77137	+	1314	5508	7244	6541	8788	7823	8576	7008	7072	8175
gene-LUU82_00425	CP089586.1	77139	77870	+	732	2682	3746	3525	4537	4224	4329	3983	3650	4420
gene-LUU82_00430	CP089586.1	77956	78066	+	111	44	72	70	88	75	82	88	67	87
gene-LUU82_00435	CP089586.1	78095	78508	+	414	131	171	186	267	226	217	230	190	224
gene-LUU82_00440	CP089586.1	78939	79925	-	987	719	1052	956	1307	1176	1251	1162	1068	1444
gene-LUU82_00445	CP089586.1	80397	81155	+	759	4040	6566	5204	7605	6174	7591	6883	6623	7789
gene-LUU82_00450	CP089586.1	81372	81758	+	387	1052	1727	1425	1674	1478	1810	1756	1718	2113
gene-LUU82_00455	CP089586.1	81773	82474	+	702	1874	3022	2610	3182	2618	3326	3391	3110	3998
gene-LUU82_00460	CP089586.1	82471	83514	+	1044	3212	4984	4352	5446	4397	5709	5864	5327	7028
gene-LUU82_00465	CP089586.1	83504	84133	+	630	3294	5256	4696	5250	4760	5706	5792	5304	7146
gene-LUU82_00470	CP089586.1	84245	85462	-	1218	9599	9947	14830	15580	13916	13460	15868	13866	17345
gene-LUU82_00475	CP089586.1	85740	86015	-	276	5391	6951	7881	11374	8621	8809	10335	9421	10684
gene-LUU82_00480	CP089586.1	86022	86486	-	465	7037	9092	10630	13426	10658	11079	12999	11370	14218
gene-LUU82_00485	CP089586.1	86633	86833	+	201	590	938	746	955	800	1125	996	853	1236
gene-LUU82_00490	CP089586.1	86836	88092	+	1257	3383	5841	4502	6226	4691	6523	6260	5485	7802
gene-LUU82_00495	CP089586.1	88182	88712	+	531	2410	3957	3185	4039	3351	4734	4559	3969	5681
gene-LUU82_00500	CP089586.1	88972	90117	-	1146	3069	3267	3495	3580	4144	4123	3526	3343	4639
gene-LUU82_00505	CP089586.1	90162	91208	-	1047	1999	2079	2327	2315	2597	2560	2236	2192	2918
gene-LUU82_00510	CP089586.1	91278	91748	-	471	4080	5978	5260	7300	6260	7034	7318	6327	8439
gene-LUU82_00515	CP089586.1	91741	92262	-	522	3515	4825	4603	6928	5423	5856	6365	5337	6906
gene-LUU82_00520	CP089586.1	92446	92907	-	462	3250	4345	4257	6206	4689	5566	5604	4723	6143
gene-LUU82_00525	CP089586.1	92920	93243	-	324	3089	4074	3826	5499	4337	5376	5542	4458	6320
gene-LUU82_00530	CP089586.1	93407	93655	+	249	2436	3899	2954	3763	2657	3488	5328	5097	5896
gene-LUU82_00535	CP089586.1	93668	94111	+	444	2825	4494	3761	4661	2992	4149	6692	6213	6925
gene-LUU82_00540	CP089586.1	94126	94305	+	180	3183	4635	4267	6213	4628	4988	6261	6129	6915
gene-LUU82_00545	CP089586.1	94295	94534	-	240	8491	11605	10893	14043	13663	13163	14390	14537	16371
gene-LUU82_00550	CP089586.1	94591	95382	+	792	4243	7181	5597	6690	4635	6746	9928	9423	10846
gene-LUU82_00555	CP089586.1	95383	95607	+	225	2394	3936	3082	3408	2388	3480	5033	4681	5874
gene-LUU82_00560	CP089586.1	95647	96096	+	450	3124	5232	4096	4563	3090	4644	6772	6194	7813
gene-LUU82_00565	CP089586.1	96110	96325	+	216	1591	2606	1943	2337	1538	2330	3428	3027	3775
gene-LUU82_00570	CP089586.1	96318	96479	+	162	1214	1913	1401	1753	1198	1769	2460	2243	2667
gene-LUU82_00575	CP089586.1	96572	96874	+	303	1136	1688	1270	1857	1239	1620	2245	2122	2179
gene-LUU82_00580	CP089586.1	96879	97139	+	261	1462	2353	1699	2071	1406	2082	2900	2598	3245
gene-LUU82_00585	CP089586.1	97149	97400	+	252	1673	2747	2049	2282	1666	2514	3355	3130	3872
gene-LUU82_00590	CP089586.1	97393	97926	+	534	2876	4533	3575	4620	3021	4357	5745	5549	6324
gene-LUU82_00595	CP089586.1	97930	98709	+	780	4070	6957	5221	7038	4216	6368	8628	8314	9543
gene-LUU82_00600	CP089586.1	98740	99294	+	555	3303	5360	3931	4931	3220	5165	7022	6777	7639
gene-LUU82_00605	CP089586.1	99307	99999	+	693	3336	5494	4178	5135	3424	5221	7027	7082	7927
gene-LUU82_00610	CP089586.1	99971	100804	+	834	3006	4889	3770	5065	3054	4440	6314	6463	6683
gene-LUU82_00615	CP089586.1	100817	101602	+	786	3174	4927	3869	4658	3044	4704	6462	6534	7207
gene-LUU82_00620	CP089586.1	101599	101757	+	159	1029	1791	1388	1769	1089	1677	2291	2233	2529
gene-LUU82_00625	CP089586.1	101770	101991	+	222	1550	2672	1981	2353	1521	2420	3264	3054	3836
gene-LUU82_00630	CP089586.1	102001	102405	+	405	2190	3676	2825	3281	2163	3218	4378	4322	5131
gene-LUU82_00635	CP089586.1	102410	102595	+	186	887	1502	1231	1479	974	1357	1868	1820	2062
gene-LUU82_00650	CP089586.1	103186	103572	+	387	3667	6049	4852	6068	3679	5225	7634	6960	7695
gene-LUU82_00655	CP089586.1	103569	103742	+	174	2099	3438	2765	3603	2197	3035	4650	4280	4910
gene-LUU82_00660	CP089586.1	103743	104144	+	402	2459	4116	3304	4741	2786	3745	5754	5736	5735
gene-LUU82_00665	CP089586.1	104497	104991	+	495	948	2356	1484	2150	1371	2100	4565	5096	4859
gene-LUU82_00670	CP089586.1	104984	106207	+	1224	2246	5556	3516	4447	2925	5254	10533	11442	12157
gene-LUU82_00675	CP089586.1	106204	107628	+	1425	2821	6982	4305	5746	3925	6569	13824	14447	15899
gene-LUU82_00680	CP089586.1	107597	108547	+	951	1670	4419	2719	3982	2607	4046	9539	10309	10849
gene-LUU82_00685	CP089586.1	108643	109227	+	585	2402	7646	3952	6455	3848	7156	23130	23757	26583
gene-LUU82_00690	CP089586.1	109244	110158	+	915	4461	14305	7636	11165	7249	13690	41899	44615	51149
gene-LUU82_00695	CP089586.1	110170	110313	+	144	820	2424	1370	2324	1429	2437	7621	8406	8718
gene-LUU82_00700	CP089586.1	110319	110669	+	351	1838	5946	3216	4530	3027	5340	17892	17747	21823
gene-LUU82_00705	CP089586.1	110681	111016	+	336	1772	5572	3133	4793	3078	5322	17125	17546	20405
gene-LUU82_00710	CP089586.1	111003	111416	+	414	2047	6048	3444	5234	3316	5951	17698	19030	20329
gene-LUU82_00715	CP089586.1	111429	111854	+	426	2217	6493	3526	4891	3413	6499	19128	19875	24378
gene-LUU82_00720	CP089586.1	111855	112412	+	558	1908	5907	3259	5147	3226	5806	18432	19752	21590
gene-LUU82_00725	CP089586.1	112479	112985	+	507	1265	4002	2194	3472	2181	3893	13232	13817	15426
gene-LUU82_00730	CP089586.1	113030	113314	+	285	1124	3548	1929	2677	1804	3493	10838	11307	13991
gene-LUU82_00735	CP089586.1	113318	116203	+	2886	5420	16986	9626	13504	9061	16203	53257	55474	66383
gene-LUU82_00740	CP089586.1	116218	117159	+	942	1299	3855	2403	3303	2264	3855	13159	13300	15592
gene-LUU82_00745	CP089586.1	117170	119056	+	1887	2798	8437	4958	6804	4701	8077	29747	30382	34533
gene-LUU82_00750	CP089586.1	119069	120967	+	1899	3213	9352	5579	6973	5381	8744	33299	33410	39713
gene-LUU82_00755	CP089586.1	120967	122790	+	1824	2669	7545	4651	5725	4401	7142	26680	27878	33203
gene-LUU82_00760	CP089586.1	122790	123167	+	378	667	1764	1212	1513	1071	1734	6503	7139	7488
gene-LUU82_00765	CP089586.1	123177	123350	+	174	302	939	630	980	652	940	3716	4073	3755
gene-LUU82_00770	CP089586.1	123391	123690	+	300	391	1161	808	1158	783	1073	4620	4877	4853
gene-LUU82_00775	CP089586.1	123827	125701	+	1875	2553	6544	4575	5199	4034	6417	24149	24690	29477
gene-LUU82_00780	CP089586.1	125714	126952	+	1239	1377	3454	2467	2801	2252	3478	13608	13633	15933
gene-LUU82_00785	CP089586.1	126957	127352	+	396	553	1306	982	1067	819	1323	4828	4902	5885
gene-LUU82_00790	CP089586.1	127408	127845	+	438	502	1162	834	933	794	1113	4417	4551	5554
gene-LUU82_00795	CP089586.1	127826	129271	+	1446	2128	4387	3554	3785	3410	4430	14943	15508	18740
gene-LUU82_00800	CP089586.1	129915	129995	-	81	536	820	788	1129	948	984	1270	1279	1511
gene-LUU82_00805	CP089586.1	130342	130503	+	162	1552	2103	2055	2865	2529	2539	3010	2917	3334
gene-LUU82_00810	CP089586.1	130634	131149	+	516	6823	8720	10425	12267	10823	11057	12584	10961	14734
gene-LUU82_00815	CP089586.1	131488	132297	+	810	2489	3029	3409	3951	3969	3920	5668	5309	6295
gene-LUU82_00820	CP089586.1	132558	133376	+	819	737	1351	971	1473	1040	1477	2354	2230	2775
gene-LUU82_00825	CP089586.1	133354	133668	+	315	421	683	523	930	627	792	1119	1046	1144
gene-LUU82_00830	CP089586.1	133683	135200	+	1518	2855	4685	3879	5289	4218	5278	6525	5925	8108
gene-LUU82_00835	CP089586.1	135209	136045	+	837	2179	3365	3013	4219	3315	3999	4689	4208	5584
gene-LUU82_00840	CP089586.1	136306	137283	-	978	1967	2971	2563	3163	3086	3349	3880	3619	4685
gene-LUU82_00845	CP089586.1	137435	138472	+	1038	1382	1872	1928	2160	1976	2363	2627	2421	3275
gene-LUU82_00850	CP089586.1	138774	139316	+	543	1971	2648	2435	3165	3039	2887	3049	3000	3504
gene-LUU82_00855	CP089586.1	139607	141343	+	1737	5464	6298	6958	7980	7744	7987	7687	7193	8937
gene-LUU82_00865	CP089586.1	141535	142629	-	1095	2682	3441	3671	4621	4370	4535	4437	3736	5227
gene-LUU82_00870	CP089586.1	142922	144211	-	1290	2976	4371	3643	4626	4247	4950	4444	4010	5887
gene-LUU82_00875	CP089586.1	144292	144747	+	456	774	1438	1079	1687	1167	1554	1575	1362	1795
gene-LUU82_00880	CP089586.1	144753	145703	+	951	1878	3316	2645	3698	2515	3752	3837	3177	4673
gene-LUU82_00885	CP089586.1	145800	146246	+	447	6259	6596	8076	8644	10189	8609	8740	7839	10338
gene-LUU82_00890	CP089586.1	146988	148539	+	1552	3435	16487	9385	16655	12407	28607	15851	22998	21666
gene-LUU82_00895	CP089586.1	148631	148707	+	77	5060	6817	6344	6573	6778	8832	7038	6899	8155
gene-LUU82_00900	CP089586.1	148726	148801	+	76	14010	19708	18400	18584	20205	24150	20892	19642	28705
gene-LUU82_00905	CP089586.1	149092	152014	+	2923	2905	14572	9511	11157	8407	21282	15621	21325	24752
gene-LUU82_00910	CP089586.1	152087	152201	+	115	26	44	40	91	69	62	42	72	55
gene-LUU82_00915	CP089586.1	152213	152288	+	76	611	974	1232	2037	1598	1337	1307	1445	1174
gene-LUU82_00920	CP089586.1	152305	152380	+	76	5960	9254	10878	19972	16098	14304	16638	20058	11931
gene-LUU82_00925	CP089586.1	152386	152461	+	76	9368	14816	17353	28654	24222	22569	26027	30168	19560
gene-LUU82_00930	CP089586.1	152465	152546	+	82	9053	14564	16837	26488	23214	21721	24433	28365	19056
gene-LUU82_00935	CP089586.1	152550	152624	+	75	5395	8465	9401	12409	12352	11580	11851	14962	11616
gene-LUU82_00940	CP089586.1	152635	152723	+	89	7181	11110	12570	16753	15859	15744	16341	20006	16222
gene-LUU82_00945	CP089586.1	152742	152815	+	74	3371	5474	6253	10087	7621	8170	8506	10512	8288
gene-LUU82_00950	CP089586.1	152825	152898	+	74	2086	4260	5033	7113	5032	6064	6263	6876	6229
gene-LUU82_00955	CP089586.1	152916	152991	+	76	4201	7739	8944	12417	9661	11107	11617	11966	11821
gene-LUU82_00960	CP089586.1	153013	153086	+	74	3819	6936	8007	11710	9129	10021	10648	11195	10713
gene-LUU82_00965	CP089586.1	153115	153188	+	74	1000	1870	2286	3899	2705	2806	3210	3585	2979
gene-LUU82_00970	CP089586.1	153198	153287	+	90	873	2069	2561	3860	2746	3120	3152	3867	2902
gene-LUU82_00975	CP089586.1	153298	153373	+	76	2693	4047	4965	7683	6854	6183	5962	7750	5059
gene-LUU82_00980	CP089586.1	153412	153504	+	93	3412	4617	5582	9895	8459	7015	7429	9851	5568
gene-LUU82_00985	CP089586.1	153519	153592	+	74	3607	5126	6527	11703	9345	8625	9220	10582	7642
gene-LUU82_00990	CP089586.1	153602	153677	+	76	3967	5827	7215	11700	9511	9430	9523	11070	8923
gene-LUU82_00995	CP089586.1	153696	153768	+	73	1897	3060	3850	5961	4731	4885	5007	5943	5120
gene-LUU82_01000	CP089586.1	153776	153851	+	76	6051	7976	8595	13647	13274	11474	14363	15859	11588
gene-LUU82_01005	CP089586.1	153857	153937	+	81	7684	9771	10437	15833	15766	13750	16560	18439	13919
gene-LUU82_01010	CP089586.1	153953	154026	+	74	4612	5283	5925	8643	8829	7370	7736	9757	7209
gene-LUU82_01015	CP089586.1	154029	154101	+	73	5909	6907	7293	10223	11436	9455	9420	13469	9187
gene-LUU82_01020	CP089586.1	154113	154184	+	72	5586	6393	6728	9898	10926	8664	8595	12529	8319
gene-LUU82_01025	CP089586.1	154190	154263	+	74	9207	9925	11513	13370	15400	14042	13054	14491	14180
gene-LUU82_01030	CP089586.1	154271	154345	+	75	12214	12764	15179	16368	19922	18301	16780	17471	18795
gene-LUU82_01035	CP089586.1	154449	154523	+	75	11855	13165	15903	19693	22040	19543	19537	22233	19108
gene-LUU82_01040	CP089586.1	154562	154645	+	84	7731	9070	10835	14687	15561	13761	14228	17201	12790
gene-LUU82_01045	CP089586.1	155194	156255	+	1062	1832	2362	2252	3191	2757	2938	2777	2704	3081
gene-LUU82_01050	CP089586.1	156513	157970	+	1458	406	1276	529	718	586	762	887	678	1053
gene-LUU82_01055	CP089586.1	157963	158685	+	723	306	919	416	514	461	548	660	439	686
gene-LUU82_01060	CP089586.1	158836	159963	+	1128	2135	2792	2750	3360	3145	3314	3078	2815	3865
gene-LUU82_01065	CP089586.1	159968	160438	+	471	1436	1760	1811	2095	2008	2112	1987	1679	2511
gene-LUU82_01070	CP089586.1	160597	161196	+	600	8912	11537	13526	16282	13268	14134	16137	13146	17870
gene-LUU82_01075	CP089586.1	161221	161373	+	153	2714	3311	4148	6458	4370	4210	5055	4323	4991
gene-LUU82_01080	CP089586.1	162150	162545	+	396	862	1080	1012	1589	1428	1271	1136	1267	1227
gene-LUU82_01085	CP089586.1	162741	164126	+	1386	2350	3346	2943	3644	3521	3814	3819	3303	4731
gene-LUU82_01090	CP089586.1	164579	165400	-	822	3338	4226	3902	5029	4773	5162	4368	4772	4968
gene-LUU82_01095	CP089586.1	165563	166675	+	1113	1783	2513	2437	2743	2715	3181	2652	2536	3490
gene-LUU82_01100	CP089586.1	166697	167320	+	624	1370	1769	1778	2170	1998	2327	1931	1833	2509
gene-LUU82_01105	CP089586.1	167676	168140	+	465	10433	8498	12056	12254	17011	11721	8722	8822	9814
gene-LUU82_01110	CP089586.1	168319	169443	+	1125	2390	2539	2800	3365	3359	3027	2802	2722	3192
gene-LUU82_01115	CP089586.1	169512	169856	+	345	14226	22462	18506	32383	23790	25994	26641	25420	28805
gene-LUU82_01120	CP089586.1	170349	170447	+	99	68	90	104	109	101	87	89	75	103
gene-LUU82_01125	CP089586.1	170738	171934	+	1197	5002	7434	6565	8169	6809	8503	8174	7284	10282
gene-LUU82_01130	CP089586.1	171924	174860	+	2937	14194	22552	19161	23415	19252	25563	24776	21654	31505
gene-LUU82_01135	CP089586.1	174857	175798	+	942	5374	8513	7229	9777	7890	9512	9664	8855	11522
gene-LUU82_01140	CP089586.1	175919	176881	-	963	4030	5652	5692	6673	6581	6171	6102	5773	7291
gene-LUU82_01145	CP089586.1	177086	177643	-	558	677	908	960	1326	1072	1116	1115	867	1351
gene-LUU82_01150	CP089586.1	178376	178741	-	366	3450	4637	4964	6984	5730	5915	6252	5849	6734
gene-LUU82_01155	CP089586.1	178883	179305	-	423	2190	3267	2869	3951	3424	3999	4012	3324	4812
gene-LUU82_01160	CP089586.1	179439	180179	+	741	1500	2364	1938	2713	2242	2777	2475	2305	2977
gene-LUU82_01165	CP089586.1	180172	181395	+	1224	2594	4123	3332	4311	3693	4348	4105	3570	5133
gene-LUU82_01170	CP089586.1	181519	182022	-	504	4096	6659	5334	7509	6246	7655	8332	7643	10038
gene-LUU82_01175	CP089586.1	182185	182295	+	111	415	470	544	469	577	571	453	355	610
gene-LUU82_01180	CP089586.1	182285	183322	+	1038	3706	4255	4790	4184	5079	4969	3893	3424	5512
gene-LUU82_01185	CP089586.1	183380	184303	+	924	3717	4325	4870	4182	4851	5040	3960	3316	5676
gene-LUU82_01190	CP089586.1	184327	185727	+	1401	6554	7461	8313	7118	9168	8463	6858	5827	9404
gene-LUU82_01195	CP089586.1	186049	186603	+	555	1227	1803	1500	2031	2027	2019	1863	1731	2181
gene-LUU82_01200	CP089586.1	187073	187146	+	74	2996	2961	4547	6278	7513	5104	5039	5450	3294
gene-LUU82_01205	CP089586.1	187168	187243	+	76	5019	5581	7081	9308	11640	8729	7949	9625	6636
gene-LUU82_01210	CP089586.1	187260	187332	+	73	6467	7095	9103	11072	14544	10576	10461	13000	8793
gene-LUU82_01215	CP089586.1	187346	187421	+	76	7508	8053	10208	12704	16346	12090	11620	14753	9569
gene-LUU82_01220	CP089586.1	187437	187510	+	74	6550	6887	8892	14839	15298	11027	10766	14522	7939
gene-LUU82_01225	CP089586.1	187525	187599	+	75	5002	5267	6689	11746	11616	8531	8368	11337	6308
gene-LUU82_01230	CP089586.1	187601	187672	+	72	2266	2349	3167	5618	5430	3824	3720	5393	2782
gene-LUU82_01235	CP089586.1	187727	187815	+	89	230	260	326	409	446	326	386	426	374
gene-LUU82_01245	CP089586.1	189060	189848	-	789	802	1083	1032	1524	1278	1344	1307	1216	1522
gene-LUU82_01255	CP089586.1	191213	192148	+	936	102	107	136	138	143	154	120	138	159
gene-LUU82_01260	CP089586.1	192150	193133	+	984	134	176	191	208	275	251	262	212	261
gene-LUU82_01265	CP089586.1	193503	194294	-	792	355	419	420	644	488	618	588	490	651
gene-LUU82_01270	CP089586.1	194299	194772	-	474	71	73	88	112	81	99	82	79	89
gene-LUU82_01280	CP089586.1	195727	196308	-	582	130	152	211	224	206	206	172	181	227
gene-LUU82_01285	CP089586.1	197261	197968	+	708	33	55	36	55	57	47	41	44	58
gene-LUU82_01290	CP089586.1	198111	198815	+	705	56	80	64	77	89	76	74	58	80
gene-LUU82_01295	CP089586.1	198873	199592	+	720	80	107	103	109	135	147	94	98	108
gene-LUU82_01300	CP089586.1	199713	200432	+	720	64	82	82	94	101	94	91	63	88
