# Program:featureCounts v2.0.1; Command:"featureCounts" "-p" "-M" "-O" "--primary" "-a" "dualGenome.gff3" "-t" "gene" "-o" "countData.tsv" "-g" "ID" "SRR9623113_sorted.bam" "SRR9623111_sorted.bam" "SRR9623115_sorted.bam" "SRR9623114_sorted.bam" "SRR9623109_sorted.bam" "SRR9623110_sorted.bam" "SRR9623112_sorted.bam" "SRR9623108_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR9623113_sorted.bam	SRR9623111_sorted.bam	SRR9623115_sorted.bam	SRR9623114_sorted.bam	SRR9623109_sorted.bam	SRR9623110_sorted.bam	SRR9623112_sorted.bam	SRR9623108_sorted.bam
gene-FLV31_RS17380	NZ_VIQP01000010.1	70920	72548	+	1629	22	318	66	25	2308	652	62	9639
gene-FLV31_RS17385	NZ_VIQP01000010.1	72628	73683	-	1056	7	86	41	13	576	250	20	3196
gene-FLV31_RS17390	NZ_VIQP01000010.1	73816	75333	-	1518	2	49	27	9	315	112	10	2221
gene-FLV31_RS17395	NZ_VIQP01000010.1	75388	75984	-	597	1	35	20	4	330	117	7	2462
gene-FLV31_RS17400	NZ_VIQP01000010.1	76063	77478	-	1416	4	110	49	13	1126	212	22	9167
gene-FLV31_RS17405	NZ_VIQP01000010.1	77819	78868	+	1050	17	46	39	22	442	71	39	3269
gene-FLV31_RS17410	NZ_VIQP01000010.1	79131	79541	+	411	3	5	12	7	77	11	3	433
gene-FLV31_RS17415	NZ_VIQP01000010.1	79550	79708	+	159	1	4	7	4	28	4	1	149
gene-FLV31_RS17420	NZ_VIQP01000010.1	79715	80716	+	1002	6	20	26	16	174	27	10	1139
gene-FLV31_RS17425	NZ_VIQP01000010.1	80774	81760	+	987	11	23	28	24	273	44	24	1492
gene-FLV31_RS17430	NZ_VIQP01000010.1	81818	82816	+	999	15	43	112	66	277	75	29	1253
gene-FLV31_RS17435	NZ_VIQP01000010.1	82826	83509	+	684	10	14	67	36	137	44	10	495
gene-FLV31_RS17440	NZ_VIQP01000010.1	83534	84106	+	573	10	16	52	30	56	28	5	183
gene-FLV31_RS17445	NZ_VIQP01000010.1	84348	84665	-	318	2	4	27	15	19	11	2	48
gene-FLV31_RS17450	NZ_VIQP01000010.1	84742	85518	-	777	4	10	45	33	37	19	5	88
gene-FLV31_RS17455	NZ_VIQP01000010.1	85791	86753	-	963	5	8	34	19	39	29	0	159
gene-FLV31_RS17460	NZ_VIQP01000010.1	86795	87058	-	264	1	3	5	6	8	2	0	11
gene-FLV31_RS17465	NZ_VIQP01000010.1	87124	87882	-	759	3	12	46	24	22	29	1	71
gene-FLV31_RS17470	NZ_VIQP01000010.1	88054	88971	-	918	4	6	42	9	40	26	0	172
gene-FLV31_RS17475	NZ_VIQP01000010.1	89034	89399	-	366	2	9	24	12	35	27	4	134
gene-FLV31_RS17480	NZ_VIQP01000010.1	89380	89940	-	561	4	13	19	15	43	25	0	187
gene-FLV31_RS17485	NZ_VIQP01000010.1	89951	90841	-	891	6	19	49	17	53	29	5	156
gene-FLV31_RS17490	NZ_VIQP01000010.1	91041	92147	-	1107	13	20	50	38	53	40	1	175
gene-FLV31_RS17495	NZ_VIQP01000010.1	92331	93377	-	1047	10	19	82	44	163	42	10	325
gene-FLV31_RS17500	NZ_VIQP01000010.1	93779	94618	-	840	7	31	43	26	161	78	10	562
gene-FLV31_RS17505	NZ_VIQP01000010.1	94684	95832	-	1149	5	19	37	17	110	57	9	208
gene-FLV31_RS17510	NZ_VIQP01000010.1	96057	96656	-	600	1	4	20	3	27	15	1	90
gene-FLV31_RS17515	NZ_VIQP01000010.1	96683	97276	-	594	4	6	24	13	71	22	3	368
gene-FLV31_RS17520	NZ_VIQP01000010.1	97676	98593	-	918	19	22	81	43	130	57	9	420
gene-FLV31_RS17525	NZ_VIQP01000010.1	98966	99148	-	183	1	3	20	9	41	13	5	153
gene-FLV31_RS17530	NZ_VIQP01000010.1	99345	100121	-	777	14	18	106	55	179	65	9	1170
gene-FLV31_RS17535	NZ_VIQP01000010.1	100239	100940	-	702	8	12	62	40	124	39	10	1334
gene-FLV31_RS17540	NZ_VIQP01000010.1	100953	103688	-	2736	51	104	345	219	726	250	40	7185
gene-FLV31_RS17545	NZ_VIQP01000010.1	103700	104179	-	480	9	23	92	51	151	40	5	1181
gene-FLV31_RS17550	NZ_VIQP01000010.1	104186	105043	-	858	17	29	78	68	221	62	20	1730
gene-FLV31_RS17555	NZ_VIQP01000010.1	105046	106881	-	1836	29	84	215	106	1079	205	45	9722
gene-FLV31_RS17560	NZ_VIQP01000010.1	106978	108840	-	1863	33	104	171	96	546	199	14	3644
gene-FLV31_RS17565	NZ_VIQP01000010.1	108855	109286	-	432	10	23	78	30	191	78	4	1302
gene-FLV31_RS17570	NZ_VIQP01000010.1	109298	111754	-	2457	61	226	304	197	1201	433	35	9722
gene-FLV31_RS17575	NZ_VIQP01000010.1	111757	112269	-	513	19	39	78	60	228	84	6	1785
gene-FLV31_RS17580	NZ_VIQP01000010.1	112284	113426	-	1143	68	104	239	170	742	253	39	5879
gene-FLV31_RS17585	NZ_VIQP01000010.1	113435	114301	-	867	38	48	208	148	316	97	30	1750
gene-FLV31_RS17590	NZ_VIQP01000010.1	114307	115215	-	909	51	50	192	145	459	136	66	2571
gene-FLV31_RS17595	NZ_VIQP01000010.1	115220	115843	-	624	34	45	129	97	403	78	61	1678
gene-FLV31_RS17600	NZ_VIQP01000010.1	115905	116927	+	1023	29	56	103	69	423	113	31	1921
gene-FLV31_RS17605	NZ_VIQP01000010.1	117086	117472	+	387	130	1514	272	128	17036	4799	411	50774
gene-FLV31_RS17610	NZ_VIQP01000010.1	117601	118050	+	450	71	111	219	183	1716	310	103	6253
gene-FLV31_RS17615	NZ_VIQP01000010.1	118066	119424	+	1359	155	339	586	355	4077	1057	147	24363
gene-FLV31_RS17620	NZ_VIQP01000010.1	119583	119972	+	390	5	22	35	23	430	52	16	3444
gene-FLV31_RS17625	NZ_VIQP01000010.1	120025	120993	+	969	7	26	57	43	274	79	7	2404
gene-FLV31_RS17630	NZ_VIQP01000010.1	121638	122648	+	1011	29	30	106	62	311	81	40	1289
gene-FLV31_RS17635	NZ_VIQP01000010.1	122645	123181	+	537	16	11	61	45	146	51	15	801
gene-FLV31_RS17640	NZ_VIQP01000010.1	123191	125932	+	2742	38	65	233	143	332	196	22	1603
gene-FLV31_RS17645	NZ_VIQP01000010.1	125955	128225	+	2271	20	52	137	95	215	116	16	1173
gene-FLV31_RS17650	NZ_VIQP01000010.1	128248	131007	+	2760	24	62	120	70	319	157	6	1349
gene-FLV31_RS17660	NZ_VIQP01000011.1	321	1295	-	975	8	11	17	8	15	12	1	46
gene-FLV31_RS17665	NZ_VIQP01000011.1	1487	2137	-	651	1	8	11	7	23	13	2	62
gene-FLV31_RS17670	NZ_VIQP01000011.1	2340	2825	-	486	4	10	13	2	20	12	1	128
gene-FLV31_RS17675	NZ_VIQP01000011.1	3213	3506	-	294	0	10	11	4	58	22	3	323
gene-FLV31_RS17680	NZ_VIQP01000011.1	3756	4208	-	453	0	8	19	13	76	40	8	349
gene-FLV31_RS17685	NZ_VIQP01000011.1	4507	6120	-	1614	6	61	37	13	401	106	10	2020
gene-FLV31_RS17690	NZ_VIQP01000011.1	6474	6797	-	324	1	5	9	3	19	5	0	38
gene-FLV31_RS17695	NZ_VIQP01000011.1	7368	8384	-	1017	22	62	90	70	276	155	14	432
gene-FLV31_RS17700	NZ_VIQP01000011.1	8557	9591	-	1035	6	12	42	20	19	28	2	49
gene-FLV31_RS17705	NZ_VIQP01000011.1	9593	10369	-	777	4	14	64	29	10	17	2	17
gene-FLV31_RS17710	NZ_VIQP01000011.1	10452	11591	-	1140	5	10	97	27	26	34	3	70
gene-FLV31_RS17715	NZ_VIQP01000011.1	11711	12370	-	660	7	11	84	46	39	23	1	132
gene-FLV31_RS17720	NZ_VIQP01000011.1	13042	13533	-	492	14	23	70	43	66	25	7	144
gene-FLV31_RS17725	NZ_VIQP01000011.1	13611	14690	-	1080	13	9	57	38	48	40	5	276
gene-FLV31_RS17730	NZ_VIQP01000011.1	14730	15200	-	471	10	6	30	26	61	18	8	351
gene-FLV31_RS17735	NZ_VIQP01000011.1	15296	16099	-	804	6	8	42	30	25	17	2	153
gene-FLV31_RS17740	NZ_VIQP01000011.1	16281	16946	-	666	0	12	11	8	42	23	1	339
gene-FLV31_RS17745	NZ_VIQP01000011.1	17122	18042	-	921	2	24	15	4	98	38	3	779
gene-FLV31_RS17750	NZ_VIQP01000011.1	18105	19751	-	1647	5	49	16	15	292	67	8	2349
gene-FLV31_RS17755	NZ_VIQP01000011.1	19901	20842	+	942	1	37	8	5	249	70	11	1366
gene-FLV31_RS17760	NZ_VIQP01000011.1	20913	22250	-	1338	1	19	26	11	81	32	2	378
gene-FLV31_RS17765	NZ_VIQP01000011.1	22273	23433	-	1161	2	12	12	13	62	23	0	145
gene-FLV31_RS17770	NZ_VIQP01000011.1	23475	25682	-	2208	5	22	12	9	163	48	12	938
gene-FLV31_RS17775	NZ_VIQP01000011.1	25787	27592	+	1806	6	31	16	12	278	71	15	1567
gene-FLV31_RS17780	NZ_VIQP01000011.1	27875	29674	-	1800	23	198	93	59	811	345	34	8085
gene-FLV31_RS17785	NZ_VIQP01000011.1	29798	30988	-	1191	18	124	77	34	487	166	24	4357
gene-FLV31_RS17790	NZ_VIQP01000011.1	30993	33398	-	2406	44	347	248	117	2021	369	104	9661
gene-FLV31_RS17795	NZ_VIQP01000011.1	33413	33865	-	453	9	98	35	29	710	165	26	1636
gene-FLV31_RS17800	NZ_VIQP01000011.1	34303	36072	-	1770	6	187	53	17	1452	349	48	9508
gene-FLV31_RS17805	NZ_VIQP01000011.1	36320	38917	+	2598	84	208	333	222	753	513	71	2128
gene-FLV31_RS17810	NZ_VIQP01000011.1	39029	39310	+	282	14	55	71	32	217	165	9	217
gene-FLV31_RS17815	NZ_VIQP01000011.1	39379	43038	-	3660	16	433	108	34	2712	905	58	11313
gene-FLV31_RS17820	NZ_VIQP01000011.1	43153	44379	-	1227	11	149	44	29	826	280	20	3093
gene-FLV31_RS17825	NZ_VIQP01000011.1	44544	45572	+	1029	2	51	36	17	138	151	3	338
gene-FLV31_RS17830	NZ_VIQP01000011.1	45613	46065	-	453	18	166	94	54	430	411	12	305
gene-FLV31_RS17835	NZ_VIQP01000011.1	46058	46564	-	507	10	48	74	42	176	132	3	156
gene-FLV31_RS17840	NZ_VIQP01000011.1	46598	47140	-	543	12	40	58	35	172	108	3	222
gene-FLV31_RS17845	NZ_VIQP01000011.1	47391	49214	-	1824	13	127	113	67	431	263	5	2060
gene-FLV31_RS17850	NZ_VIQP01000011.1	49214	50923	-	1710	24	134	142	96	817	307	20	4518
gene-FLV31_RS17855	NZ_VIQP01000011.1	50954	51925	-	972	25	62	92	50	534	143	17	1378
gene-FLV31_RS17860	NZ_VIQP01000011.1	51960	52481	-	522	20	80	99	72	727	204	21	1139
gene-FLV31_RS17865	NZ_VIQP01000011.1	52574	53080	-	507	2	10	13	4	72	17	5	360
gene-FLV31_RS17870	NZ_VIQP01000011.1	53112	53618	-	507	3	25	12	9	184	50	4	603
gene-FLV31_RS17875	NZ_VIQP01000011.1	53785	54036	+	252	57	420	86	79	4722	865	162	9198
gene-FLV31_RS17880	NZ_VIQP01000011.1	54125	55300	+	1176	3	112	33	19	849	235	10	2543
gene-FLV31_RS17885	NZ_VIQP01000011.1	55304	56632	+	1329	8	91	21	7	454	216	17	1668
gene-FLV31_RS17890	NZ_VIQP01000011.1	56666	56962	-	297	7	41	17	15	400	98	18	829
gene-FLV31_RS17895	NZ_VIQP01000011.1	57131	57808	+	678	0	13	10	5	30	29	1	97
gene-FLV31_RS17900	NZ_VIQP01000011.1	57838	58785	+	948	10	62	65	48	882	160	43	4077
gene-FLV31_RS17905	NZ_VIQP01000011.1	58864	59379	-	516	7	68	18	11	540	127	21	1945
gene-FLV31_RS17910	NZ_VIQP01000011.1	59574	59741	+	168	41	341	83	63	3408	639	92	7460
gene-FLV31_RS17915	NZ_VIQP01000011.1	59849	62701	+	2853	38	414	93	39	3475	902	74	13249
gene-FLV31_RS17920	NZ_VIQP01000011.1	62794	66030	-	3237	10	36	119	51	149	75	10	1295
gene-FLV31_RS17925	NZ_VIQP01000011.1	66456	68027	+	1572	14	11	59	25	80	25	7	337
gene-FLV31_RS17930	NZ_VIQP01000011.1	68066	68467	-	402	6	12	33	22	74	24	20	670
gene-FLV31_RS17935	NZ_VIQP01000011.1	68545	68928	-	384	37	40	66	56	415	137	62	3286
gene-FLV31_RS17940	NZ_VIQP01000011.1	69063	70475	-	1413	3	107	40	15	628	162	11	3305
gene-FLV31_RS17945	NZ_VIQP01000011.1	70692	72224	+	1533	9	136	27	16	1004	216	13	4047
gene-FLV31_RS17950	NZ_VIQP01000011.1	72239	72949	+	711	5	55	18	3	395	112	7	2085
gene-FLV31_RS17955	NZ_VIQP01000011.1	72951	73466	-	516	7	21	10	1	78	40	4	353
gene-FLV31_RS17960	NZ_VIQP01000011.1	73663	74208	-	546	2	17	9	1	124	36	1	571
gene-FLV31_RS17965	NZ_VIQP01000011.1	74211	74576	-	366	0	17	3	3	110	29	2	525
gene-FLV31_RS17970	NZ_VIQP01000011.1	74667	76061	-	1395	2	34	16	11	264	57	12	1088
gene-FLV31_RS17975	NZ_VIQP01000011.1	76181	76915	-	735	7	69	24	5	430	103	23	2622
gene-FLV31_RS17980	NZ_VIQP01000011.1	77000	77800	-	801	0	9	8	7	17	9	0	139
gene-FLV31_RS17985	NZ_VIQP01000011.1	77797	78840	-	1044	0	7	8	2	12	17	0	109
gene-FLV31_RS17990	NZ_VIQP01000011.1	78850	79881	-	1032	2	6	5	3	43	19	1	263
gene-FLV31_RS17995	NZ_VIQP01000011.1	79882	81027	-	1146	5	39	14	10	180	53	6	877
gene-FLV31_RS18000	NZ_VIQP01000011.1	81563	83422	+	1860	20	358	79	22	2098	756	68	9811
gene-FLV31_RS18005	NZ_VIQP01000011.1	83550	85451	+	1902	16	24	70	59	114	46	39	443
gene-FLV31_RS18010	NZ_VIQP01000011.1	85535	87022	-	1488	20	76	76	48	544	126	32	3120
gene-FLV31_RS18015	NZ_VIQP01000011.1	87233	87742	+	510	43	64	152	102	320	87	21	692
gene-FLV31_RS18020	NZ_VIQP01000011.1	87729	88163	+	435	52	94	299	145	400	160	24	889
gene-FLV31_RS18025	NZ_VIQP01000011.1	88174	88716	+	543	54	120	355	200	447	195	17	1086
gene-FLV31_RS18030	NZ_VIQP01000011.1	88745	89290	+	546	55	140	323	180	421	216	32	793
gene-FLV31_RS18035	NZ_VIQP01000011.1	89349	89885	+	537	43	135	208	134	402	223	18	724
gene-FLV31_RS18040	NZ_VIQP01000011.1	90052	90894	+	843	11	87	87	56	464	140	16	2092
gene-FLV31_RS18045	NZ_VIQP01000011.1	90964	92307	-	1344	9	147	34	25	889	303	33	4324
gene-FLV31_RS18050	NZ_VIQP01000011.1	92402	92962	-	561	0	13	5	4	38	16	1	198
gene-FLV31_RS18055	NZ_VIQP01000011.1	92962	93663	-	702	1	14	9	8	122	27	5	474
gene-FLV31_RS18060	NZ_VIQP01000011.1	93723	94379	+	657	1	9	3	3	29	10	2	150
gene-FLV31_RS18065	NZ_VIQP01000011.1	94397	95221	-	825	0	27	6	8	67	27	5	335
gene-FLV31_RS18070	NZ_VIQP01000011.1	95307	96998	-	1692	1	49	19	8	324	73	15	1831
gene-FLV31_RS18075	NZ_VIQP01000011.1	97074	97859	-	786	1	23	4	3	162	45	1	912
gene-FLV31_RS18080	NZ_VIQP01000011.1	98026	99939	-	1914	27	850	85	29	4258	1364	77	13123
gene-FLV31_RS18085	NZ_VIQP01000011.1	100153	100731	-	579	1	7	18	8	85	18	4	294
gene-FLV31_RS18090	NZ_VIQP01000011.1	100789	101241	+	453	1	10	11	6	42	9	1	215
gene-FLV31_RS18095	NZ_VIQP01000011.1	101323	101928	+	606	4	10	14	5	67	26	2	249
gene-FLV31_RS18100	NZ_VIQP01000011.1	101930	102628	+	699	1	17	10	5	71	19	3	311
gene-FLV31_RS18105	NZ_VIQP01000011.1	102633	103418	+	786	0	5	8	5	51	21	1	230
gene-FLV31_RS18110	NZ_VIQP01000011.1	103589	105481	+	1893	4	195	71	36	1068	390	40	5857
gene-FLV31_RS18115	NZ_VIQP01000011.1	105654	106502	+	849	7	19	42	27	96	38	10	402
gene-FLV31_RS18120	NZ_VIQP01000011.1	106505	106978	-	474	2	41	35	12	219	48	5	511
gene-FLV31_RS18125	NZ_VIQP01000011.1	107088	107945	+	858	20	49	73	50	414	85	26	2091
gene-FLV31_RS18130	NZ_VIQP01000011.1	107946	108926	+	981	9	24	55	33	166	46	18	940
gene-FLV31_RS18135	NZ_VIQP01000011.1	108913	109350	+	438	2	16	19	15	131	22	4	532
gene-FLV31_RS18140	NZ_VIQP01000011.1	109362	111818	+	2457	19	40	159	79	188	77	14	1027
gene-FLV31_RS18145	NZ_VIQP01000011.1	111820	112512	-	693	130	94	524	329	1036	246	108	7582
gene-FLV31_RS18150	NZ_VIQP01000011.1	112757	113095	+	339	45	959	123	68	8336	1895	117	24828
gene-FLV31_RS18155	NZ_VIQP01000011.1	113099	113395	+	297	38	992	149	57	7464	1857	116	25088
gene-FLV31_RS18160	NZ_VIQP01000011.1	113409	113858	+	450	28	845	138	39	6657	1988	124	22399
gene-FLV31_RS18165	NZ_VIQP01000011.1	113968	117126	+	3159	32	672	125	27	6134	1755	201	17765
gene-FLV31_RS18170	NZ_VIQP01000011.1	117239	117709	+	471	7	74	33	17	323	100	16	968
gene-FLV31_RS18175	NZ_VIQP01000011.1	117850	119226	+	1377	9	153	23	12	715	250	18	2972
gene-FLV31_RS18180	NZ_VIQP01000011.1	119221	119769	-	549	11	98	19	8	661	270	18	2160
gene-FLV31_RS18185	NZ_VIQP01000011.1	119815	120903	-	1089	4	189	32	13	1638	348	38	7911
gene-FLV31_RS18190	NZ_VIQP01000011.1	121007	121684	+	678	1	14	5	3	108	33	2	416
gene-FLV31_RS18195	NZ_VIQP01000011.1	122077	122164	+	88	13	29	45	30	46	26	19	99
gene-FLV31_RS18205	NZ_VIQP01000012.1	1977	3566	+	1590	17	281	67	15	1384	604	22	4813
gene-FLV31_RS18210	NZ_VIQP01000012.1	3620	3925	-	306	77	2010	192	128	4285	4298	113	8042
gene-FLV31_RS18215	NZ_VIQP01000012.1	3942	8240	-	4299	281	5053	845	419	26635	11667	668	76056
gene-FLV31_RS18220	NZ_VIQP01000012.1	8306	12115	-	3810	300	4175	777	479	20617	9581	707	68365
gene-FLV31_RS18225	NZ_VIQP01000012.1	12247	12621	-	375	121	2882	518	274	15150	5434	309	36819
gene-FLV31_RS18230	NZ_VIQP01000012.1	12675	13193	-	519	60	1418	322	175	7583	3187	117	22966
gene-FLV31_RS18235	NZ_VIQP01000012.1	13205	13894	-	690	82	2017	487	219	11871	4632	138	37989
gene-FLV31_RS18240	NZ_VIQP01000012.1	13913	14350	-	438	55	1324	336	150	7159	2617	97	23172
gene-FLV31_RS18245	NZ_VIQP01000012.1	14416	14967	-	552	39	515	202	121	2198	972	71	8518
gene-FLV31_RS18250	NZ_VIQP01000012.1	14978	15166	-	189	21	315	90	44	1326	519	47	5101
gene-FLV31_RS18255	NZ_VIQP01000012.1	15239	15311	-	73	12	108	37	9	868	214	20	2552
gene-FLV31_RS18260	NZ_VIQP01000012.1	15392	16579	-	1188	491	7263	1617	803	42099	15614	1051	159918
gene-FLV31_RS18265	NZ_VIQP01000012.1	16634	16705	-	72	8	95	33	21	496	131	16	1541
gene-FLV31_RS18270	NZ_VIQP01000012.1	16788	16860	-	73	0	1	6	1	23	4	2	16
gene-FLV31_RS18275	NZ_VIQP01000012.1	16964	17045	-	82	0	6	4	3	19	9	1	74
gene-FLV31_RS18280	NZ_VIQP01000012.1	17071	17144	-	74	0	7	3	0	12	4	0	24
gene-FLV31_RS18285	NZ_VIQP01000012.1	17595	18485	-	891	2	20	16	3	136	27	9	473
gene-FLV31_RS18290	NZ_VIQP01000012.1	18592	18786	-	195	40	566	112	45	4916	1576	153	20338
