Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,cell_type,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,genotype,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,treatment,cell_line,tissue
SRR25662249,RNA-Seq,100,1043123679,PRJNA1006311,SAMN37017713,357692848,bacterial cell,"DEPT. MICROBIOLOGY AND MOLECULAR GENETICS, MICHIGAN STATE UNIVERSITY",missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX21388028,CB15,uncalculated,uncalculated,missing,NextSeq 2000,GSM7714537,PAIRED,cDNA,TRANSCRIPTOMIC,Caulobacter vibrioides CB15,ILLUMINA,2023-08-25T00:00:00Z,2023-08-17T10:15:00Z,1,GSM7714537,bacterial cell,SRP455535,"CB15 infected with fCbK at 10 MOI\, 30' post-infection",,
SRR25662250,RNA-Seq,100,1007733658,PRJNA1006311,SAMN37017714,346644422,bacterial cell,"DEPT. MICROBIOLOGY AND MOLECULAR GENETICS, MICHIGAN STATE UNIVERSITY",missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX21388027,CB15,uncalculated,uncalculated,missing,NextSeq 2000,GSM7714536,PAIRED,cDNA,TRANSCRIPTOMIC,Caulobacter vibrioides CB15,ILLUMINA,2023-08-25T00:00:00Z,2023-08-17T10:15:00Z,1,GSM7714536,bacterial cell,SRP455535,"CB15 infected with fCbK at 10 MOI\, 30' post-infection",,
SRR25662251,RNA-Seq,100,909180837,PRJNA1006311,SAMN37017715,306417928,bacterial cell,"DEPT. MICROBIOLOGY AND MOLECULAR GENETICS, MICHIGAN STATE UNIVERSITY",missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX21388026,CB15,uncalculated,uncalculated,missing,NextSeq 2000,GSM7714535,PAIRED,cDNA,TRANSCRIPTOMIC,Caulobacter vibrioides CB15,ILLUMINA,2023-08-25T00:00:00Z,2023-08-17T10:15:00Z,1,GSM7714535,bacterial cell,SRP455535,"CB15 infected with fCbK at 10 MOI\, 15' post-infection",,
SRR25662252,RNA-Seq,100,958145219,PRJNA1006311,SAMN37017716,322028910,bacterial cell,"DEPT. MICROBIOLOGY AND MOLECULAR GENETICS, MICHIGAN STATE UNIVERSITY",missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX21388025,CB15,uncalculated,uncalculated,missing,NextSeq 2000,GSM7714534,PAIRED,cDNA,TRANSCRIPTOMIC,Caulobacter vibrioides CB15,ILLUMINA,2023-08-25T00:00:00Z,2023-08-17T10:15:00Z,1,GSM7714534,bacterial cell,SRP455535,"CB15 infected with fCbK at 10 MOI\, 15' post-infection",,
SRR25662253,RNA-Seq,100,1067302255,PRJNA1006311,SAMN37017717,358512219,bacterial cell,"DEPT. MICROBIOLOGY AND MOLECULAR GENETICS, MICHIGAN STATE UNIVERSITY",missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX21388024,CB15,uncalculated,uncalculated,missing,NextSeq 2000,GSM7714533,PAIRED,cDNA,TRANSCRIPTOMIC,Caulobacter vibrioides CB15,ILLUMINA,2023-08-25T00:00:00Z,2023-08-17T10:15:00Z,1,GSM7714533,bacterial cell,SRP455535,"CB15 infected with fCbK at 10 MOI\, 15' post-infection",,
SRR25662254,RNA-Seq,100,1077382640,PRJNA1006311,SAMN37017718,369890695,bacterial cell,"DEPT. MICROBIOLOGY AND MOLECULAR GENETICS, MICHIGAN STATE UNIVERSITY",missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX21388023,CB15,uncalculated,uncalculated,missing,NextSeq 2000,GSM7714532,PAIRED,cDNA,TRANSCRIPTOMIC,Caulobacter vibrioides CB15,ILLUMINA,2023-08-25T00:00:00Z,2023-08-17T10:15:00Z,1,GSM7714532,bacterial cell,SRP455535,Pre-infected CB15,,
SRR25662255,RNA-Seq,100,1405827466,PRJNA1006311,SAMN37017719,479707921,bacterial cell,"DEPT. MICROBIOLOGY AND MOLECULAR GENETICS, MICHIGAN STATE UNIVERSITY",missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX21388022,CB15,uncalculated,uncalculated,missing,NextSeq 2000,GSM7714531,PAIRED,cDNA,TRANSCRIPTOMIC,Caulobacter vibrioides CB15,ILLUMINA,2023-08-25T00:00:00Z,2023-08-17T10:16:00Z,1,GSM7714531,bacterial cell,SRP455535,Pre-infected CB15,,
SRR25662256,RNA-Seq,100,1121959592,PRJNA1006311,SAMN37017720,385045559,bacterial cell,"DEPT. MICROBIOLOGY AND MOLECULAR GENETICS, MICHIGAN STATE UNIVERSITY",missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX21388021,CB15,uncalculated,uncalculated,missing,NextSeq 2000,GSM7714530,PAIRED,cDNA,TRANSCRIPTOMIC,Caulobacter vibrioides CB15,ILLUMINA,2023-08-25T00:00:00Z,2023-08-17T10:14:00Z,1,GSM7714530,bacterial cell,SRP455535,Pre-infected CB15,,
SRR25662263,RNA-Seq,100,1064275010,PRJNA1006311,SAMN37017700,366180458,bacterial cell,"DEPT. MICROBIOLOGY AND MOLECULAR GENETICS, MICHIGAN STATE UNIVERSITY",missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX21388014,CB15,uncalculated,uncalculated,missing,NextSeq 2000,GSM7714550,PAIRED,cDNA,TRANSCRIPTOMIC,Caulobacter vibrioides CB15,ILLUMINA,2023-08-25T00:00:00Z,2023-08-17T10:16:00Z,1,GSM7714550,bacterial cell,SRP455535,"CB15 infected with fCbK at 10 MOI\, 90' post-infection",,
SRR25662264,RNA-Seq,100,973220706,PRJNA1006311,SAMN37017701,334483317,bacterial cell,"DEPT. MICROBIOLOGY AND MOLECULAR GENETICS, MICHIGAN STATE UNIVERSITY",missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX21388013,CB15,uncalculated,uncalculated,missing,NextSeq 2000,GSM7714549,PAIRED,cDNA,TRANSCRIPTOMIC,Caulobacter vibrioides CB15,ILLUMINA,2023-08-25T00:00:00Z,2023-08-17T10:15:00Z,1,GSM7714549,bacterial cell,SRP455535,"CB15 infected with fCbK at 10 MOI\, 90' post-infection",,
SRR25662265,RNA-Seq,100,1104562841,PRJNA1006311,SAMN37017702,377893149,bacterial cell,"DEPT. MICROBIOLOGY AND MOLECULAR GENETICS, MICHIGAN STATE UNIVERSITY",missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX21388012,CB15,uncalculated,uncalculated,missing,NextSeq 2000,GSM7714548,PAIRED,cDNA,TRANSCRIPTOMIC,Caulobacter vibrioides CB15,ILLUMINA,2023-08-25T00:00:00Z,2023-08-17T10:15:00Z,1,GSM7714548,bacterial cell,SRP455535,"CB15 infected with fCbK at 10 MOI\, 90' post-infection",,
