# Program:featureCounts v2.0.1; Command:"featureCounts" "-p" "-M" "-O" "--primary" "-a" "dualGenome.gff3" "-t" "gene" "-o" "countData.tsv" "-g" "ID" "SRR12539210_sorted.bam" "SRR12539217_sorted.bam" "SRR12539213_sorted.bam" "SRR12539215_sorted.bam" "SRR12539216_sorted.bam" "SRR12539209_sorted.bam" "SRR12539214_sorted.bam" "SRR12539212_sorted.bam" "SRR12539211_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR12539210_sorted.bam	SRR12539217_sorted.bam	SRR12539213_sorted.bam	SRR12539215_sorted.bam	SRR12539216_sorted.bam	SRR12539209_sorted.bam	SRR12539214_sorted.bam	SRR12539212_sorted.bam	SRR12539211_sorted.bam
gene-Saur515_RS10535	NZ_JAKRSL010000012.1	16464	17123	+	660	294	853	185	930	865	141	219	327	292
gene-Saur515_RS10540	NZ_JAKRSL010000012.1	17128	17469	+	342	185	468	96	517	493	80	142	209	147
gene-Saur515_RS10545	NZ_JAKRSL010000012.1	18035	20218	-	2184	1455	7200	1370	7636	8111	1082	1410	2158	3242
gene-Saur515_RS10550	NZ_JAKRSL010000012.1	20215	20841	-	627	379	1943	366	2122	2148	245	405	596	737
gene-Saur515_RS14470	NZ_JAKRSL010000012.1	21147	21326	+	180	0	2	0	0	0	1	0	0	0
gene-Saur515_RS10560	NZ_JAKRSL010000012.1	21381	21731	+	351	367	1000	236	1087	962	199	251	458	447
gene-Saur515_RS10565	NZ_JAKRSL010000012.1	21724	22287	+	564	910	3135	602	3405	3013	543	775	1233	1171
gene-Saur515_RS10570	NZ_JAKRSL010000012.1	22301	22645	+	345	991	3270	621	3813	3193	548	809	1205	1141
gene-Saur515_RS10575	NZ_JAKRSL010000012.1	22708	23087	+	380	9218	11798	4731	14220	12864	7865	3896	7298	13533
gene-Saur515_RS10580	NZ_JAKRSL010000012.1	23296	24441	+	1146	142	764	176	845	865	105	215	265	250
gene-Saur515_RS10585	NZ_JAKRSL010000012.1	24525	24857	+	333	65	328	71	389	339	64	111	155	141
gene-Saur515_RS10590	NZ_JAKRSL010000012.1	25063	26403	-	1341	61	381	80	449	537	57	79	134	132
gene-Saur515_RS10595	NZ_JAKRSL010000012.1	26707	30147	+	3441	547	1951	542	2011	1873	393	633	916	844
gene-Saur515_RS10600	NZ_JAKRSL010000012.1	30167	31045	+	879	220	750	190	843	821	105	216	357	333
gene-Saur515_RS10605	NZ_JAKRSL010000012.1	31520	32638	+	1119	1767	2479	1304	2547	2249	1266	1039	2423	2418
gene-Saur515_RS10610	NZ_JAKRSL010000012.1	32733	33773	+	1041	2988	2770	2117	3042	2634	1923	1624	3743	3303
gene-Saur515_RS10615	NZ_JAKRSL010000012.1	33804	35126	+	1323	2745	3093	1973	3506	2908	1558	1591	3502	3075
gene-Saur515_RS10620	NZ_JAKRSL010000012.1	35283	36674	+	1392	1447	1968	1427	2123	2093	926	1169	2383	1896
gene-Saur515_RS10625	NZ_JAKRSL010000012.1	37072	68337	+	31266	119	488	175	569	519	119	163	298	262
gene-Saur515_RS10630	NZ_JAKRSL010000012.1	68396	68797	-	402	12	60	4	77	53	5	12	13	4
gene-Saur515_RS14425	NZ_JAKRSL010000012.1	69142	69273	+	132	21	51	14	70	56	13	16	29	27
gene-Saur515_RS10635	NZ_JAKRSL010000012.1	69338	70042	-	705	30	103	22	134	175	14	23	33	49
gene-Saur515_RS10640	NZ_JAKRSL010000012.1	70287	70481	+	195	70	224	78	282	263	55	87	133	92
gene-Saur515_RS10645	NZ_JAKRSL010000012.1	70493	70744	+	252	91	285	98	357	321	70	106	159	133
gene-Saur515_RS10650	NZ_JAKRSL010000012.1	70783	71907	+	1125	239	780	294	882	856	160	323	463	417
gene-Saur515_RS10655	NZ_JAKRSL010000012.1	71923	72360	+	438	153	486	163	526	543	83	167	287	251
gene-Saur515_RS10660	NZ_JAKRSL010000012.1	72784	73740	+	957	152	389	118	432	460	67	129	170	157
gene-Saur515_RS10665	NZ_JAKRSL010000012.1	73940	74419	+	480	317	763	277	756	811	187	259	391	380
gene-Saur515_RS10670	NZ_JAKRSL010000012.1	74434	75273	+	840	413	1246	324	1220	1247	213	316	537	491
gene-Saur515_RS10675	NZ_JAKRSL010000012.1	75359	75892	+	534	781	1896	504	2139	1995	406	489	860	869
gene-Saur515_RS10680	NZ_JAKRSL010000012.1	75885	76313	+	429	717	1863	481	2013	1983	375	521	770	851
gene-Saur515_RS10685	NZ_JAKRSL010000012.1	76325	76825	+	501	934	3115	708	3405	3097	513	850	1239	1270
gene-Saur515_RS10690	NZ_JAKRSL010000012.1	76825	77046	+	222	343	1279	274	1352	1177	187	315	515	473
gene-Saur515_RS10695	NZ_JAKRSL010000012.1	77238	78728	+	1491	176	858	180	914	860	98	215	288	209
gene-Saur515_RS10700	NZ_JAKRSL010000012.1	79128	79637	+	510	69	207	51	241	210	49	60	71	64
gene-Saur515_RS10705	NZ_JAKRSL010000012.1	79649	80719	+	1071	291	751	176	861	763	149	180	250	324
gene-Saur515_RS10710	NZ_JAKRSL010000012.1	80736	81350	+	615	121	480	95	500	529	74	116	150	205
gene-Saur515_RS13055	NZ_JAKRSL010000024.1	356	1192	+	837	270	1014	256	1195	1304	191	296	389	357
gene-Saur515_RS13060	NZ_JAKRSL010000024.1	1569	1784	+	216	0	0	1	2	2	1	3	1	4
gene-Saur515_RS13065	NZ_JAKRSL010000024.1	1875	2792	+	918	2	5	1	6	5	0	1	1	2
gene-Saur515_RS13070	NZ_JAKRSL010000024.1	2850	3800	+	951	4	12	1	4	9	2	5	3	2
gene-Saur515_RS13080	NZ_JAKRSL010000024.1	4014	4928	+	915	34	85	11	83	75	12	26	29	31
gene-Saur515_RS13085	NZ_JAKRSL010000024.1	5127	5246	+	120	9	23	1	37	24	3	8	9	10
gene-Saur515_RS13090	NZ_JAKRSL010000024.1	5525	6070	+	546	224	482	73	614	514	95	145	206	227
gene-Saur515_RS13095	NZ_JAKRSL010000024.1	6176	6424	-	249	77	217	45	276	227	38	81	111	103
gene-Saur515_RS13100	NZ_JAKRSL010000024.1	6532	7485	+	954	114	301	79	369	365	65	90	109	128
gene-Saur515_RS13105	NZ_JAKRSL010000024.1	7475	8854	+	1380	72	362	74	391	403	53	90	115	134
gene-Saur515_RS13110	NZ_JAKRSL010000024.1	9007	10467	+	1461	2209	6534	1386	6981	6556	1278	1533	2569	2757
gene-Saur515_RS13115	NZ_JAKRSL010000024.1	10592	10708	+	117	0	4	1	3	4	0	1	3	2
gene-Saur515_RS13120	NZ_JAKRSL010000024.1	10869	11855	+	987	297	888	206	999	933	158	257	387	353
gene-Saur515_RS13125	NZ_JAKRSL010000024.1	11970	12938	-	969	76	304	85	382	348	49	88	113	135
gene-Saur515_RS13130	NZ_JAKRSL010000024.1	13015	13674	+	660	302	1046	272	1276	1180	180	396	501	398
gene-Saur515_RS13135	NZ_JAKRSL010000024.1	13705	13821	+	117	24	123	26	133	133	28	34	50	51
gene-Saur515_RS13140	NZ_JAKRSL010000024.1	13938	14129	+	192	12	15	5	20	21	1	5	11	12
gene-Saur515_RS13145	NZ_JAKRSL010000024.1	14386	15561	+	1176	2090	5207	1292	5721	5354	1073	1427	2504	2477
gene-Saur515_RS13150	NZ_JAKRSL010000024.1	15783	17093	+	1311	675	2320	760	2566	2633	459	798	1143	956
gene-Saur515_RS13155	NZ_JAKRSL010000024.1	17110	18108	+	999	598	1929	606	2131	2210	355	678	991	919
gene-Saur515_RS13160	NZ_JAKRSL010000024.1	18279	18551	+	273	10793	11917	6337	18106	12152	7754	7844	13801	13250
gene-Saur515_RS13165	NZ_JAKRSL010000024.1	18982	19554	+	573	214	567	155	685	629	113	169	223	166
gene-Saur515_RS13170	NZ_JAKRSL010000024.1	19557	20282	+	726	374	1254	335	1432	1362	222	433	554	480
gene-Saur515_RS13175	NZ_JAKRSL010000024.1	20284	21243	+	960	344	1384	370	1528	1535	234	457	631	510
gene-Saur515_RS13180	NZ_JAKRSL010000024.1	21335	21784	+	450	105	540	103	671	600	99	155	212	157
gene-Saur515_RS13185	NZ_JAKRSL010000024.1	21993	22193	+	201	1	6	0	5	7	0	1	1	0
gene-Saur515_RS12945	NZ_JAKRSL010000023.1	313	1488	+	1176	457	1929	380	2354	2175	249	413	602	610
gene-Saur515_RS12950	NZ_JAKRSL010000023.1	1466	2656	+	1191	453	1815	406	1978	2160	256	447	682	700
gene-Saur515_RS12955	NZ_JAKRSL010000023.1	2769	3278	-	510	527	1254	250	1543	1035	264	372	703	709
gene-Saur515_RS12960	NZ_JAKRSL010000023.1	3472	4230	-	759	31	84	22	87	90	14	20	34	33
gene-Saur515_RS12965	NZ_JAKRSL010000023.1	4372	5940	-	1569	37	189	29	159	136	23	30	64	59
gene-Saur515_RS12970	NZ_JAKRSL010000023.1	6282	7367	+	1086	446	1173	394	1384	1358	256	409	558	540
gene-Saur515_RS12975	NZ_JAKRSL010000023.1	7562	8332	-	771	662	2589	550	3082	2790	372	695	1033	1032
gene-Saur515_RS12980	NZ_JAKRSL010000023.1	8610	10454	-	1845	239	1049	267	1057	1085	186	308	438	382
gene-Saur515_RS12985	NZ_JAKRSL010000023.1	10464	11849	-	1386	109	470	142	468	504	86	144	201	162
gene-Saur515_RS12990	NZ_JAKRSL010000023.1	11870	12724	-	855	182	571	155	580	605	95	162	261	225
gene-Saur515_RS12995	NZ_JAKRSL010000023.1	12721	13530	-	810	569	1721	427	1804	1807	301	431	720	721
gene-Saur515_RS13000	NZ_JAKRSL010000023.1	13547	14182	-	636	419	1080	250	1167	1134	205	286	447	482
gene-Saur515_RS13005	NZ_JAKRSL010000023.1	14199	14546	-	348	183	433	119	517	478	96	110	217	206
gene-Saur515_RS13010	NZ_JAKRSL010000023.1	14732	15325	+	594	184	541	119	563	521	67	144	200	234
gene-Saur515_RS13015	NZ_JAKRSL010000023.1	15429	15794	+	366	352	888	157	960	872	140	195	342	383
gene-Saur515_RS13020	NZ_JAKRSL010000023.1	15817	16623	+	807	575	1594	352	1849	1602	269	382	646	558
gene-Saur515_RS13025	NZ_JAKRSL010000023.1	17083	18891	-	1809	767	3852	1064	4098	4298	574	1138	1573	1454
gene-Saur515_RS13035	NZ_JAKRSL010000023.1	20045	20764	-	720	1031	3287	556	3776	3135	544	891	1397	1171
gene-Saur515_RS13040	NZ_JAKRSL010000023.1	21135	21530	-	396	9617	8085	3934	10053	7115	5258	5608	9395	11028
gene-Saur515_RS13045	NZ_JAKRSL010000023.1	21825	22814	+	990	321	1369	189	1541	1381	117	258	393	331
gene-Saur515_RS13050	NZ_JAKRSL010000023.1	22856	23670	-	815	29	45	20	46	52	13	24	37	32
gene-Saur515_RS12770	NZ_JAKRSL010000022.1	121	375	+	255	2	5	3	5	6	2	1	6	3
gene-Saur515_RS12775	NZ_JAKRSL010000022.1	362	532	+	171	3	8	2	6	8	1	4	4	7
gene-Saur515_RS12780	NZ_JAKRSL010000022.1	525	1058	+	534	8	20	5	25	13	4	5	7	8
gene-Saur515_RS12785	NZ_JAKRSL010000022.1	1095	1382	+	288	18	26	10	23	26	17	9	17	12
gene-Saur515_RS12790	NZ_JAKRSL010000022.1	1375	1611	+	237	13	14	9	21	22	8	8	8	13
gene-Saur515_RS12795	NZ_JAKRSL010000022.1	1601	1990	+	390	55	95	53	90	80	62	51	74	111
gene-Saur515_RS12800	NZ_JAKRSL010000022.1	1987	2160	+	174	125	163	103	191	145	115	117	152	188
gene-Saur515_RS12805	NZ_JAKRSL010000022.1	2161	2562	+	402	4	27	5	24	19	3	10	13	5
gene-Saur515_RS12810	NZ_JAKRSL010000022.1	2917	3411	+	495	4	14	4	13	5	5	3	9	5
gene-Saur515_RS12815	NZ_JAKRSL010000022.1	3404	4627	+	1224	2	21	8	22	20	9	10	13	9
gene-Saur515_RS12820	NZ_JAKRSL010000022.1	4624	6048	+	1425	15	38	4	48	32	7	13	32	19
gene-Saur515_RS12825	NZ_JAKRSL010000022.1	6017	6970	+	954	4	15	4	14	23	2	9	9	12
gene-Saur515_RS12830	NZ_JAKRSL010000022.1	6972	7178	+	207	1	2	0	2	3	2	1	2	1
gene-Saur515_RS12835	NZ_JAKRSL010000022.1	7281	7865	+	585	4	3	3	10	6	1	1	2	3
gene-Saur515_RS12840	NZ_JAKRSL010000022.1	7882	8796	+	915	4	13	5	11	17	3	7	7	3
gene-Saur515_RS12845	NZ_JAKRSL010000022.1	8808	8951	+	144	3	4	1	5	5	2	4	5	5
gene-Saur515_RS12850	NZ_JAKRSL010000022.1	8957	9307	+	351	7	11	2	7	9	5	9	10	6
gene-Saur515_RS12855	NZ_JAKRSL010000022.1	9319	9654	+	336	2	14	8	7	8	5	6	9	7
gene-Saur515_RS12860	NZ_JAKRSL010000022.1	9641	10048	+	408	2	9	6	7	9	4	2	2	4
gene-Saur515_RS12865	NZ_JAKRSL010000022.1	10061	10486	+	426	0	0	0	1	1	1	1	0	1
gene-Saur515_RS12870	NZ_JAKRSL010000022.1	10487	11044	+	558	0	2	0	0	0	0	0	0	0
gene-Saur515_RS12875	NZ_JAKRSL010000022.1	11111	11623	+	513	1	0	0	1	0	0	0	1	0
gene-Saur515_RS12880	NZ_JAKRSL010000022.1	11803	11952	+	150	0	0	0	1	0	0	0	0	0
gene-Saur515_RS12885	NZ_JAKRSL010000022.1	11956	14841	+	2886	12	14	6	19	24	2	7	13	12
gene-Saur515_RS12890	NZ_JAKRSL010000022.1	14856	15797	+	942	0	4	0	6	3	2	1	3	1
gene-Saur515_RS12895	NZ_JAKRSL010000022.1	15808	17694	+	1887	9	15	5	15	22	6	2	4	10
gene-Saur515_RS12900	NZ_JAKRSL010000022.1	17707	19605	+	1899	6	12	1	12	18	5	6	2	4
gene-Saur515_RS12905	NZ_JAKRSL010000022.1	19605	21428	+	1824	0	7	1	6	5	2	3	0	0
gene-Saur515_RS12910	NZ_JAKRSL010000022.1	21428	21805	+	378	0	6	3	7	0	1	0	1	0
gene-Saur515_RS12915	NZ_JAKRSL010000022.1	21809	21982	+	174	0	3	2	2	1	0	0	0	0
gene-Saur515_RS12920	NZ_JAKRSL010000022.1	22023	22322	+	300	1	0	0	2	2	0	1	0	2
gene-Saur515_RS12925	NZ_JAKRSL010000022.1	22459	24333	+	1875	0	2	1	3	1	0	2	0	1
gene-Saur515_RS12930	NZ_JAKRSL010000022.1	24346	25518	+	1173	2	7	1	6	5	0	4	0	1
gene-Saur515_RS12935	NZ_JAKRSL010000022.1	25524	25919	+	396	1	4	1	3	3	0	2	1	1
gene-Saur515_RS12940	NZ_JAKRSL010000022.1	25975	26130	+	156	0	0	1	1	0	0	0	1	0
gene-Saur515_RS12575	NZ_JAKRSL010000021.1	169	729	+	561	314	1310	254	1542	1476	170	298	459	446
gene-Saur515_RS12580	NZ_JAKRSL010000021.1	782	1711	+	930	1021	4341	865	4757	4551	545	960	1566	1584
gene-Saur515_RS12585	NZ_JAKRSL010000021.1	1906	2079	-	174	34	91	20	96	90	10	23	29	22
gene-Saur515_RS12590	NZ_JAKRSL010000021.1	2131	3510	+	1380	404	1419	324	1544	1595	185	395	513	550
gene-Saur515_RS12595	NZ_JAKRSL010000021.1	3630	4658	-	1029	366	1294	311	1473	1497	204	356	509	456
gene-Saur515_RS12600	NZ_JAKRSL010000021.1	4928	5329	+	402	18	33	13	40	29	10	16	20	32
gene-Saur515_RS12610	NZ_JAKRSL010000021.1	5902	6075	-	174	832	1129	537	1650	1195	529	536	976	877
gene-Saur515_RS12615	NZ_JAKRSL010000021.1	6526	7566	+	1041	59	148	22	268	195	25	32	51	55
gene-Saur515_RS12620	NZ_JAKRSL010000021.1	7623	8465	-	843	325	914	222	1059	968	146	268	431	380
gene-Saur515_RS12625	NZ_JAKRSL010000021.1	8462	9019	-	558	140	525	121	521	509	88	142	200	200
gene-Saur515_RS12630	NZ_JAKRSL010000021.1	9079	9603	-	525	114	442	103	452	495	85	137	190	166
gene-Saur515_RS12635	NZ_JAKRSL010000021.1	9724	10287	+	564	818	1321	562	1670	1552	445	573	863	782
gene-Saur515_RS12640	NZ_JAKRSL010000021.1	10353	11093	-	741	133	398	111	440	407	65	123	176	144
gene-Saur515_RS12645	NZ_JAKRSL010000021.1	11093	11965	-	873	146	641	157	647	657	99	145	243	200
gene-Saur515_RS12650	NZ_JAKRSL010000021.1	11962	12642	-	681	82	325	84	345	361	57	91	96	116
gene-Saur515_RS12655	NZ_JAKRSL010000021.1	12643	13539	-	897	157	601	148	680	669	88	149	205	236
gene-Saur515_RS12660	NZ_JAKRSL010000021.1	13536	13916	-	381	116	336	76	397	344	79	94	151	155
gene-Saur515_RS12665	NZ_JAKRSL010000021.1	14180	14356	-	177	5	24	6	25	25	0	3	4	10
gene-Saur515_RS12670	NZ_JAKRSL010000021.1	14599	14697	-	99	7	13	5	15	16	5	6	5	8
gene-Saur515_RS12675	NZ_JAKRSL010000021.1	14897	16183	+	1287	641	2196	543	2565	2576	375	630	939	820
gene-Saur515_RS12680	NZ_JAKRSL010000021.1	16507	16743	-	237	5	14	8	13	20	6	7	10	11
gene-Saur515_RS12685	NZ_JAKRSL010000021.1	16772	18526	-	1755	56	108	30	120	117	33	41	70	88
gene-Saur515_RS12690	NZ_JAKRSL010000021.1	18915	19112	+	198	12	17	5	16	11	5	6	11	18
gene-Saur515_RS12695	NZ_JAKRSL010000021.1	19484	19663	+	180	66	173	42	218	176	30	43	71	53
gene-Saur515_RS14475	NZ_JAKRSL010000021.1	19687	19995	+	309	126	368	98	440	379	62	84	146	100
gene-Saur515_RS12700	NZ_JAKRSL010000021.1	19974	20234	+	261	71	195	57	253	230	36	52	94	80
gene-Saur515_RS12705	NZ_JAKRSL010000021.1	20287	20637	-	351	633	963	432	1203	1045	416	517	803	1075
gene-Saur515_RS12715	NZ_JAKRSL010000021.1	22134	22625	-	492	66	170	37	179	163	36	45	83	88
gene-Saur515_RS12720	NZ_JAKRSL010000021.1	22816	23571	-	756	11	26	7	25	16	11	8	9	32
gene-Saur515_RS12725	NZ_JAKRSL010000021.1	23583	23837	-	255	5	9	4	13	6	0	4	3	13
gene-Saur515_RS12730	NZ_JAKRSL010000021.1	23889	23996	+	108	281	217	129	267	252	224	101	123	386
gene-Saur515_RS12735	NZ_JAKRSL010000021.1	24049	24183	-	135	309	261	145	312	309	246	118	151	433
gene-Saur515_RS12740	NZ_JAKRSL010000021.1	24334	25107	-	774	400	877	276	948	999	210	302	491	466
gene-Saur515_RS12745	NZ_JAKRSL010000021.1	25480	25854	-	375	41	32	20	53	43	21	26	22	59
gene-Saur515_RS12750	NZ_JAKRSL010000021.1	25910	26197	-	288	25	23	13	32	30	9	12	18	45
gene-Saur515_RS12755	NZ_JAKRSL010000021.1	26243	26395	-	153	31	22	17	35	33	12	18	22	34
gene-Saur515_RS12440	NZ_JAKRSL010000020.1	1	846	+	846	44	185	32	224	180	21	37	47	48
gene-Saur515_RS12445	NZ_JAKRSL010000020.1	865	1581	+	717	61	240	50	276	253	34	57	91	98
gene-Saur515_RS12450	NZ_JAKRSL010000020.1	1653	1760	+	108	4	35	5	34	24	4	4	16	6
gene-Saur515_RS12455	NZ_JAKRSL010000020.1	1948	2907	-	960	130	545	154	588	621	82	153	253	209
gene-Saur515_RS12460	NZ_JAKRSL010000020.1	2904	4388	-	1485	236	882	250	1012	955	111	281	414	297
gene-Saur515_RS12465	NZ_JAKRSL010000020.1	4537	5487	-	951	133	306	59	413	318	46	61	113	98
gene-Saur515_RS12470	NZ_JAKRSL010000020.1	5670	6920	-	1251	18	45	9	48	39	9	10	8	29
gene-Saur515_RS12475	NZ_JAKRSL010000020.1	7128	7352	-	225	22	119	25	144	117	14	25	44	35
gene-Saur515_RS12480	NZ_JAKRSL010000020.1	7412	8491	-	1080	58	331	61	386	398	29	61	95	75
gene-Saur515_RS12485	NZ_JAKRSL010000020.1	8795	9430	-	636	243	1094	135	1342	1176	133	130	254	311
gene-Saur515_RS12490	NZ_JAKRSL010000020.1	9683	11611	+	1929	184	907	227	997	888	115	229	369	294
gene-Saur515_RS12495	NZ_JAKRSL010000020.1	11755	11883	-	129	6	20	5	15	18	4	8	6	4
gene-Saur515_RS12500	NZ_JAKRSL010000020.1	11972	13582	+	1611	64	292	66	357	326	40	75	101	103
gene-Saur515_RS12505	NZ_JAKRSL010000020.1	13684	14709	-	1026	219	900	227	1004	1029	134	282	334	322
gene-Saur515_RS12510	NZ_JAKRSL010000020.1	14702	15166	-	465	100	471	108	523	545	65	141	175	122
gene-Saur515_RS12515	NZ_JAKRSL010000020.1	15139	15801	-	663	106	545	118	669	634	56	145	191	147
gene-Saur515_RS12520	NZ_JAKRSL010000020.1	15782	16243	-	462	62	280	53	380	329	54	72	99	79
gene-Saur515_RS12525	NZ_JAKRSL010000020.1	16281	16436	+	156	9	37	2	45	34	11	10	12	11
gene-Saur515_RS12530	NZ_JAKRSL010000020.1	16754	18442	+	1689	10	56	9	71	49	6	5	8	15
gene-Saur515_RS12535	NZ_JAKRSL010000020.1	18470	20239	+	1770	6	53	10	70	50	5	16	19	19
gene-Saur515_RS12540	NZ_JAKRSL010000020.1	20239	20493	+	255	2	11	2	12	10	0	3	3	4
gene-Saur515_RS12545	NZ_JAKRSL010000020.1	20630	21634	+	1005	12	43	13	47	41	4	13	15	8
gene-Saur515_RS12550	NZ_JAKRSL010000020.1	21664	23193	+	1530	15	49	11	54	45	10	17	36	13
gene-Saur515_RS12555	NZ_JAKRSL010000020.1	23196	24242	+	1047	9	49	16	46	32	10	9	31	8
gene-Saur515_RS12560	NZ_JAKRSL010000020.1	24256	25626	+	1371	14	50	29	49	51	8	20	29	26
gene-Saur515_RS12565	NZ_JAKRSL010000020.1	25627	26199	+	573	7	24	9	32	25	7	9	18	13
gene-Saur515_RS12570	NZ_JAKRSL010000020.1	26214	27482	+	1269	9	61	18	70	65	6	17	43	19
gene-Saur515_RS12325	NZ_JAKRSL010000019.1	703	1344	-	642	4	7	2	9	9	2	1	7	7
gene-Saur515_RS12335	NZ_JAKRSL010000019.1	2582	3451	+	870	10	26	5	25	24	4	3	6	4
gene-Saur515_RS12340	NZ_JAKRSL010000019.1	3510	6119	-	2610	601	1244	484	1441	1645	414	384	714	636
gene-Saur515_RS12345	NZ_JAKRSL010000019.1	6322	8136	-	1815	16	71	18	81	78	13	20	16	23
gene-Saur515_RS12350	NZ_JAKRSL010000019.1	8672	8980	-	309	228	922	146	1337	982	159	188	326	325
gene-Saur515_RS12355	NZ_JAKRSL010000019.1	9094	9918	+	825	269	1015	208	1240	1132	136	217	281	276
gene-Saur515_RS12360	NZ_JAKRSL010000019.1	9970	11286	+	1317	601	2633	518	2968	2884	301	565	770	902
gene-Saur515_RS12365	NZ_JAKRSL010000019.1	11457	11846	-	390	18	105	21	106	69	9	25	42	31
gene-Saur515_RS12370	NZ_JAKRSL010000019.1	12175	13077	-	903	1219	5232	596	5926	5251	483	775	1316	1376
gene-Saur515_RS12375	NZ_JAKRSL010000019.1	13243	16896	-	3654	253	1377	490	1474	1339	231	466	732	574
gene-Saur515_RS12380	NZ_JAKRSL010000019.1	16897	20373	-	3477	307	1131	370	1211	1099	210	408	619	378
gene-Saur515_RS12385	NZ_JAKRSL010000019.1	20533	21108	-	576	167	739	138	955	801	95	219	284	252
gene-Saur515_RS12390	NZ_JAKRSL010000019.1	21124	21648	-	525	126	583	109	735	699	69	152	200	182
gene-Saur515_RS12395	NZ_JAKRSL010000019.1	21653	22228	-	576	77	369	70	448	392	42	79	133	148
gene-Saur515_RS12400	NZ_JAKRSL010000019.1	22553	23884	-	1332	5269	16033	5567	17670	19287	3499	5927	9916	8278
gene-Saur515_RS12405	NZ_JAKRSL010000019.1	24235	25440	+	1206	180	340	182	332	381	112	137	272	166
gene-Saur515_RS12410	NZ_JAKRSL010000019.1	25430	26809	+	1380	378	539	279	644	708	220	278	432	390
gene-Saur515_RS12415	NZ_JAKRSL010000019.1	27051	27980	+	930	149	337	122	376	407	121	85	124	223
gene-Saur515_RS12420	NZ_JAKRSL010000019.1	28369	29613	-	1245	659	2367	535	2536	2494	396	497	920	878
gene-Saur515_RS12425	NZ_JAKRSL010000019.1	29722	30912	-	1191	238	450	149	446	451	125	129	248	250
gene-Saur515_RS12430	NZ_JAKRSL010000019.1	31220	32347	-	1128	305	827	189	976	905	143	222	290	297
gene-Saur515_RS12435	NZ_JAKRSL010000019.1	32709	33086	-	378	391	362	151	573	306	283	165	316	384
gene-Saur515_RS12115	NZ_JAKRSL010000018.1	1	206	+	206	1	3	0	4	7	0	2	0	4
gene-Saur515_RS12125	NZ_JAKRSL010000018.1	1449	1537	-	89	5	13	5	14	13	3	4	5	11
gene-Saur515_RS12130	NZ_JAKRSL010000018.1	1592	1663	-	72	15	43	13	68	56	12	13	19	30
gene-Saur515_RS12135	NZ_JAKRSL010000018.1	1665	1739	-	75	20	62	18	83	71	18	18	26	49
gene-Saur515_RS12140	NZ_JAKRSL010000018.1	1754	1827	-	74	20	72	19	84	72	22	14	31	53
gene-Saur515_RS12145	NZ_JAKRSL010000018.1	1843	1918	-	76	25	91	16	81	91	27	18	40	62
gene-Saur515_RS12150	NZ_JAKRSL010000018.1	1932	2004	-	73	30	87	14	76	99	21	14	36	56
gene-Saur515_RS12155	NZ_JAKRSL010000018.1	2021	2096	-	76	26	77	13	76	89	14	6	25	39
