# Program:featureCounts v2.0.1; Command:"featureCounts" "-p" "-M" "-O" "--primary" "-a" "dualGenome.gff3" "-t" "gene" "-o" "countData.tsv" "-g" "ID" "SRR8948489_sorted.bam" "SRR8948488_sorted.bam" "SRR8948486_sorted.bam" "SRR8948487_sorted.bam" "SRR8948483_sorted.bam" "SRR8948480_sorted.bam" "SRR8948477_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR8948489_sorted.bam	SRR8948488_sorted.bam	SRR8948486_sorted.bam	SRR8948487_sorted.bam	SRR8948483_sorted.bam	SRR8948480_sorted.bam	SRR8948477_sorted.bam
gene-PA0044	NC_002516.2	58786	60159	+	1374	277	179	237	140	85	54	193
gene-PA0045	NC_002516.2	60656	61342	+	687	670	444	341	274	60	26	283
gene-PA0046	NC_002516.2	61373	61726	+	354	538	370	306	218	32	26	220
gene-PA0047	NC_002516.2	61879	62388	+	510	859	460	358	311	45	107	465
gene-PA0048	NC_002516.2	62403	62786	-	384	380	132	145	125	28	41	195
gene-PA0049	NC_002516.2	63068	64729	-	1662	159	78	71	67	88	31	116
gene-PA0050	NC_002516.2	65339	65479	+	141	18	12	5	10	4	3	28
gene-PA0051	NC_002516.2	66303	68135	+	1833	22	40	27	13	83	12	26
gene-PA0052	NC_002516.2	68188	68616	-	429	9	11	8	5	11	2	14
gene-PA0054	NC_002516.2	69543	70091	-	549	161	149	100	82	27	38	153
gene-PA0055	NC_002516.2	70130	70636	-	507	104	115	71	48	53	38	106
gene-PA0056	NC_002516.2	70702	71622	-	921	64	48	28	24	56	20	72
gene-PA0057	NC_002516.2	71730	72617	+	888	20	34	15	8	17	5	26
gene-PA0058	NC_002516.2	72680	73384	+	705	30	14	5	7	28	6	24
gene-PA0059	NC_002516.2	73468	73923	+	456	33	39	35	18	23	10	44
gene-PA0060	NC_002516.2	74034	74267	+	234	62	74	63	31	21	14	70
gene-PA0061	NC_002516.2	74279	74716	-	438	163	98	90	87	48	70	204
gene-PA0062	NC_002516.2	74773	75189	-	417	80	66	51	52	31	17	102
gene-PA0063	NC_002516.2	75281	76408	+	1128	360	247	203	163	74	116	371
gene-PA0064	NC_002516.2	76416	77399	-	984	328	241	150	153	58	89	278
gene-PA0065	NC_002516.2	77432	78097	-	666	144	122	82	56	74	26	80
gene-PA0066	NC_002516.2	78090	78632	-	543	175	220	148	111	91	72	203
gene-PA0067	NC_002516.2	78710	80755	+	2046	1044	773	711	477	112	253	725
gene-PA0068	NC_002516.2	80752	81027	+	276	241	182	143	130	24	43	192
gene-PA0069	NC_002516.2	81116	82174	+	1059	337	208	158	132	125	31	198
gene-PA0070	NC_002516.2	82404	83318	-	915	5416	3649	2370	2773	186	603	3339
gene-PA0071	NC_002516.2	83380	85092	-	1713	1540	1289	970	810	93	274	1368
gene-PA0072	NC_002516.2	85085	86284	-	1200	711	295	238	243	84	300	933
gene-PA0073	NC_002516.2	86284	87003	-	720	374	140	78	123	49	165	588
gene-PA0074	NC_002516.2	87000	90098	-	3099	1004	725	467	535	209	381	1535
gene-PA0075	NC_002516.2	90106	90834	-	729	355	202	183	170	28	60	321
gene-PA0076	NC_002516.2	90844	91524	-	681	583	302	262	301	51	128	657
gene-PA0077	NC_002516.2	91521	94826	-	3306	1838	1290	981	954	193	352	1913
gene-PA0078	NC_002516.2	95048	96397	-	1350	869	516	383	418	63	162	896
gene-PA0079	NC_002516.2	96404	97738	-	1335	759	531	475	466	88	182	771
gene-PA0080	NC_002516.2	97754	98218	-	465	234	203	93	128	49	24	162
gene-PA0081	NC_002516.2	98263	99756	-	1494	2155	2002	1609	1356	127	231	1211
gene-PA0082	NC_002516.2	100124	101158	+	1035	2737	2694	2071	1669	133	428	2001
gene-PA0083	NC_002516.2	101247	101765	+	519	801	734	695	548	60	112	627
gene-PA0084	NC_002516.2	101778	103274	+	1497	1677	1507	1447	1081	138	204	1299
gene-PA0085	NC_002516.2	103350	103838	+	489	2932	2803	2268	2149	129	406	2506
gene-PA0086	NC_002516.2	104006	104851	+	846	1635	1164	809	942	141	487	1878
gene-PA0087	NC_002516.2	104853	105362	+	510	486	418	268	305	51	75	445
gene-PA0088	NC_002516.2	105359	107218	+	1860	914	783	475	626	289	659	1443
gene-PA0089	NC_002516.2	107182	108228	+	1047	869	652	570	609	150	541	1269
gene-PA0090	NC_002516.2	108221	110929	+	2709	1483	956	806	763	204	508	1948
gene-PA0091	NC_002516.2	110976	112907	+	1932	853	601	476	466	146	319	1194
gene-PA0092	NC_002516.2	113022	113306	-	285	240	163	125	103	18	52	171
gene-PA0093	NC_002516.2	113303	114595	-	1293	729	642	402	341	111	222	719
gene-PA0094	NC_002516.2	114611	115045	-	435	222	234	129	104	27	42	150
gene-PA0095	NC_002516.2	115299	117524	+	2226	507	485	388	314	188	128	445
gene-PA0096	NC_002516.2	117552	118001	+	450	34	37	22	20	21	12	47
gene-PA0097	NC_002516.2	117931	119130	+	1200	87	80	47	59	48	29	114
gene-PA0098	NC_002516.2	119127	120164	+	1038	84	59	40	46	30	31	99
gene-PA0099	NC_002516.2	120164	121324	+	1161	124	189	86	106	88	25	105
gene-PA0100	NC_002516.2	121346	122266	+	921	135	177	143	115	78	26	157
gene-PA0101	NC_002516.2	122248	123495	+	1248	240	126	110	98	73	87	266
gene-PA0102	NC_002516.2	123871	124599	+	729	502	483	389	249	64	69	258
gene-PA0103	NC_002516.2	124810	126381	+	1572	93	72	52	32	75	12	79
gene-PA0103a	NC_002516.2	126368	127006	-	639	66	52	54	39	53	18	75
gene-PA0105	NC_002516.2	127378	128502	+	1125	92	129	84	53	62	26	72
gene-PA0106	NC_002516.2	128512	130104	+	1593	53	84	49	43	80	20	71
gene-PA0107	NC_002516.2	130115	130669	+	555	10	13	7	3	42	5	7
gene-PA0108	NC_002516.2	130680	131567	+	888	35	35	26	24	35	11	27
gene-PA0109	NC_002516.2	131583	131792	-	210	16	14	22	9	16	6	31
gene-PA0110	NC_002516.2	131808	132602	+	795	34	21	22	16	19	16	48
gene-PA0111	NC_002516.2	132577	133155	+	579	10	7	5	2	9	1	7
gene-PA0112	NC_002516.2	133220	134293	+	1074	8	18	11	6	31	8	44
gene-PA0113	NC_002516.2	134319	135233	+	915	26	52	19	19	40	4	31
gene-PA0114	NC_002516.2	135259	135894	+	636	140	128	74	67	96	23	85
gene-PA0115	NC_002516.2	135934	136386	-	453	142	129	102	66	12	21	94
gene-PA0116	NC_002516.2	136518	136991	+	474	145	117	115	95	40	27	93
gene-PA0117	NC_002516.2	137248	137976	+	729	176	137	129	84	82	55	123
gene-PA0118	NC_002516.2	138001	138588	+	588	52	55	40	26	31	8	31
gene-PA0119	NC_002516.2	138818	140167	+	1350	143	137	92	77	67	38	90
gene-PA0120	NC_002516.2	140216	140902	+	687	91	102	96	61	67	70	98
gene-PA0121	NC_002516.2	141003	141737	+	735	82	75	57	42	33	15	71
gene-PA0122	NC_002516.2	141917	142327	+	411	69	95	59	37	26	25	80
gene-PA0123	NC_002516.2	142359	143267	-	909	131	103	87	66	48	27	87
gene-PA0124	NC_002516.2	143567	143848	-	282	125	123	94	53	15	10	42
gene-PA0125	NC_002516.2	143845	144072	-	228	132	113	107	59	29	13	61
gene-PA0126	NC_002516.2	144248	144868	-	621	342	188	103	141	25	28	188
gene-PA0127	NC_002516.2	144969	145469	+	501	92	64	69	35	15	12	64
gene-PA0128	NC_002516.2	145542	145883	+	342	282	233	197	134	42	95	473
gene-PA0129	NC_002516.2	145965	147392	-	1428	195	153	136	76	106	142	289
gene-PA0130	NC_002516.2	147561	149054	-	1494	173	143	161	80	58	65	230
gene-PA0131	NC_002516.2	149138	149425	-	288	65	60	65	45	23	46	152
gene-PA0132	NC_002516.2	149425	150771	-	1347	63	69	100	24	72	53	175
gene-PA0133	NC_002516.2	150906	151823	+	918	93	82	54	59	47	21	63
gene-PA0134	NC_002516.2	151936	153306	-	1371	81	87	62	47	84	47	136
gene-PA0135	NC_002516.2	153696	153836	+	141	1	4	2	2	25	2	4
gene-PA0136	NC_002516.2	154417	155988	+	1572	37	52	36	22	69	37	63
gene-PA0137	NC_002516.2	155988	157085	+	1098	25	30	18	13	31	6	27
gene-PA0138	NC_002516.2	157108	158034	+	927	57	47	27	23	60	25	47
gene-PA0139	NC_002516.2	158199	158762	+	564	1957	2279	1417	1134	81	259	1120
gene-PA0140	NC_002516.2	158907	160472	+	1566	477	367	264	202	177	468	602
gene-PA0141	NC_002516.2	160552	161448	-	897	331	107	103	71	72	120	574
gene-PA0142	NC_002516.2	161906	163255	+	1350	365	420	203	180	65	61	266
gene-PA0143	NC_002516.2	163363	164415	+	1053	262	183	114	101	53	78	242
gene-PA0144	NC_002516.2	164443	165069	-	627	269	131	114	87	46	113	342
gene-PA0145	NC_002516.2	165219	165737	-	519	83	58	43	37	28	33	112
gene-PA0146	NC_002516.2	165976	167073	+	1098	54	58	31	19	45	15	73
gene-PA0147	NC_002516.2	167146	168108	+	963	47	43	40	23	78	43	86
gene-PA0148	NC_002516.2	168213	169163	+	951	140	115	84	59	77	67	154
gene-PA0149	NC_002516.2	169361	169906	+	546	108	59	50	34	44	86	163
gene-PA0150	NC_002516.2	169903	170898	+	996	562	224	155	171	77	203	604
gene-PA0151	NC_002516.2	171047	173434	+	2388	66	56	33	20	109	38	103
gene-PA0152	NC_002516.2	173811	174638	+	828	247	156	170	146	56	88	241
gene-PA0153	NC_002516.2	174773	175492	+	720	12	35	16	9	41	12	25
gene-PA0154	NC_002516.2	175503	176108	+	606	55	66	32	27	29	10	37
gene-PA0155	NC_002516.2	176315	177154	+	840	57	82	55	35	48	9	46
gene-PA0156	NC_002516.2	177307	178458	+	1152	284	204	201	126	77	137	449
gene-PA0157	NC_002516.2	178455	179525	+	1071	213	137	96	93	60	78	262
gene-PA0158	NC_002516.2	179522	182569	+	3048	653	594	485	339	184	177	707
gene-PA0159	NC_002516.2	182768	183706	+	939	207	168	118	89	39	32	176
gene-PA0160	NC_002516.2	183822	184007	+	186	25	32	26	17	10	16	32
gene-PA0162	NC_002516.2	184594	185928	+	1335	551	312	281	163	122	77	262
gene-PA0163	NC_002516.2	185957	186754	-	798	155	96	77	67	107	28	103
gene-PA0164	NC_002516.2	186832	188448	+	1617	181	116	153	52	75	69	133
gene-PA0165	NC_002516.2	189120	189956	+	837	713	735	389	403	52	43	204
gene-PA0166	NC_002516.2	190198	191604	+	1407	35	42	25	20	62	28	48
gene-PA0167	NC_002516.2	191697	192362	+	666	383	351	277	201	20	43	169
gene-PA0168	NC_002516.2	192368	192958	+	591	265	169	160	116	24	104	303
gene-PA0169	NC_002516.2	192965	193672	-	708	301	248	212	151	42	114	321
gene-PA0170	NC_002516.2	193799	194179	-	381	163	154	123	68	14	30	137
gene-PA0171	NC_002516.2	194206	194748	-	543	180	126	96	73	32	21	128
gene-PA0172	NC_002516.2	194757	196748	-	1992	934	623	589	478	159	315	1079
gene-PA0173	NC_002516.2	197011	198060	-	1050	19	19	5	6	50	14	37
gene-PA0174	NC_002516.2	198080	198682	-	603	7	10	2	6	12	1	2
gene-PA0175	NC_002516.2	198688	199530	-	843	12	18	13	6	110	5	22
gene-PA0176	NC_002516.2	199600	201639	-	2040	73	76	49	38	87	19	75
gene-PA0177	NC_002516.2	201675	202160	-	486	34	36	14	14	23	7	23
gene-PA0178	NC_002516.2	202147	204066	-	1920	78	69	58	45	90	25	77
gene-PA0179	NC_002516.2	204094	204459	-	366	32	20	18	16	17	2	15
gene-PA0180	NC_002516.2	204657	205829	-	1173	151	120	81	79	47	20	85
gene-PA0181	NC_002516.2	206022	206954	-	933	102	80	57	40	40	15	74
gene-PA0182	NC_002516.2	207071	207823	+	753	47	37	27	26	17	9	43
gene-PA0183	NC_002516.2	207923	209533	-	1611	49	53	34	28	87	21	46
gene-PA0184	NC_002516.2	209621	210460	-	840	26	27	18	16	41	13	36
gene-PA0185	NC_002516.2	210457	212073	-	1617	26	30	17	15	59	11	33
gene-PA0186	NC_002516.2	212340	213401	+	1062	61	64	78	40	49	27	78
gene-PA0187	NC_002516.2	213819	214634	+	816	18	21	9	8	39	8	12
gene-PA0188	NC_002516.2	214631	215512	+	882	19	31	22	7	32	10	38
gene-PA0189	NC_002516.2	215550	216908	-	1359	46	28	31	18	35	20	45
gene-PA0190	NC_002516.2	217156	217881	+	726	27	40	28	21	33	24	47
gene-PA0191	NC_002516.2	217905	218822	-	918	30	47	54	14	39	15	43
gene-PA0192	NC_002516.2	219172	221544	+	2373	37	45	22	18	98	19	38
gene-PA0193	NC_002516.2	221585	222487	+	903	13	17	4	3	33	6	15
gene-PA0194	NC_002516.2	222555	223454	+	900	25	26	15	7	63	16	18
gene-PA0195	NC_002516.2	224101	225219	+	1119	112	66	49	30	34	66	123
gene-PA0195.1	NC_002516.2	225295	225603	+	309	32	27	16	5	18	4	28
gene-PA0196	NC_002516.2	225603	227039	+	1437	117	125	76	54	48	31	142
gene-PA0197	NC_002516.2	227382	228194	+	813	8	13	5	4	45	6	10
gene-PA0198	NC_002516.2	228223	228942	+	720	29	22	14	14	32	14	27
gene-PA0199	NC_002516.2	228944	229345	+	402	28	10	9	3	30	13	17
gene-PA0200	NC_002516.2	229526	229738	-	213	82	24	23	18	7	10	43
gene-PA0201	NC_002516.2	229954	230535	+	582	134	27	97	23	33	54	137
gene-PA0202	NC_002516.2	230543	232000	-	1458	47	30	54	13	55	29	72
gene-PA0203	NC_002516.2	232066	233100	-	1035	13	23	12	3	78	13	38
gene-PA0204	NC_002516.2	233123	233932	-	810	10	19	8	4	52	5	20
gene-PA0205	NC_002516.2	233929	234849	-	921	23	26	20	9	38	11	33
gene-PA0206	NC_002516.2	234875	235987	-	1113	44	51	25	18	57	13	28
gene-PA0207	NC_002516.2	236218	237111	+	894	117	77	60	48	24	20	76
gene-PA0208	NC_002516.2	237232	238896	+	1665	198	239	217	144	100	129	311
gene-PA0209	NC_002516.2	238896	239777	+	882	13	11	7	4	19	5	22
gene-PA0210	NC_002516.2	239779	240078	+	300	2	9	0	2	11	0	2
gene-PA0211	NC_002516.2	240071	240934	+	864	12	18	13	8	18	7	17
gene-PA0212	NC_002516.2	240931	241737	+	807	16	9	13	8	22	17	34
gene-PA0213	NC_002516.2	241753	242445	+	693	42	21	16	12	16	21	60
gene-PA0214	NC_002516.2	242442	243374	+	933	72	55	34	21	32	23	88
gene-PA0215	NC_002516.2	243431	243835	+	405	42	41	14	19	17	6	50
gene-PA0216	NC_002516.2	243841	244605	+	765	59	73	53	35	48	54	122
gene-PA0217	NC_002516.2	244690	245619	-	930	96	110	94	56	55	20	115
gene-PA0218	NC_002516.2	245948	246868	-	921	58	50	34	28	72	4	44
gene-PA0219	NC_002516.2	247219	248709	+	1491	35	32	27	15	71	13	27
gene-PA0220	NC_002516.2	248767	250200	+	1434	35	46	34	18	62	12	62
gene-PA0221	NC_002516.2	250231	251613	+	1383	21	44	22	8	38	7	17
gene-PA0222	NC_002516.2	251777	252835	+	1059	8	17	9	4	51	4	4
gene-PA0223	NC_002516.2	252913	253794	-	882	180	195	187	133	102	102	224
gene-PA0224	NC_002516.2	253854	254636	-	783	64	64	33	32	84	9	55
gene-PA0225	NC_002516.2	254791	255330	+	540	82	125	92	51	40	12	56
gene-PA0226	NC_002516.2	255481	256332	+	852	22	28	26	11	50	7	30
gene-PA0227	NC_002516.2	256329	257111	+	783	24	19	15	14	29	14	38
gene-PA0228	NC_002516.2	257108	258313	+	1206	62	54	56	34	46	25	65
gene-PA0229	NC_002516.2	258463	259761	+	1299	40	54	37	25	106	23	69
gene-PA0230	NC_002516.2	259784	261163	+	1380	178	119	111	79	70	113	241
gene-PA0231	NC_002516.2	261179	261970	+	792	21	11	18	13	38	9	34
gene-PA0232	NC_002516.2	261981	262382	+	402	7	20	14	7	35	5	20
gene-PA0233	NC_002516.2	262557	263498	+	942	82	98	53	45	36	31	91
gene-PA0234	NC_002516.2	263689	264522	+	834	65	103	58	34	56	23	70
gene-PA0235	NC_002516.2	264964	266310	-	1347	26	31	26	15	62	10	33
gene-PA0236	NC_002516.2	266616	267395	+	780	231	165	144	123	62	67	186
gene-PA0237	NC_002516.2	267638	268681	+	1044	22	16	20	15	42	9	23
gene-PA0238	NC_002516.2	268704	269519	+	816	57	48	29	27	47	50	101
gene-PA0239	NC_002516.2	269669	270547	+	879	61	47	30	38	48	12	42
gene-PA0240	NC_002516.2	270573	271838	-	1266	70	80	77	47	34	39	96
gene-PA0241	NC_002516.2	271904	273229	-	1326	17	30	17	9	61	12	24
gene-PA0242	NC_002516.2	273775	275679	+	1905	41	53	29	16	76	18	32
gene-PA0243	NC_002516.2	275772	276440	+	669	178	209	178	120	61	34	136
gene-PA0244	NC_002516.2	276480	277334	-	855	68	51	30	31	45	42	78
gene-PA0245	NC_002516.2	277331	277777	-	447	26	26	9	10	17	7	29
gene-PA0246	NC_002516.2	277894	279399	-	1506	131	109	88	65	54	62	190
gene-PA0247	NC_002516.2	279574	280758	-	1185	57	42	52	24	40	33	72
gene-PA0248	NC_002516.2	280936	281802	+	867	206	181	139	102	74	47	157
gene-PA0249	NC_002516.2	281799	282245	-	447	93	68	72	38	23	21	95
gene-PA0250	NC_002516.2	282323	282757	-	435	102	103	94	45	21	38	122
gene-PA0251	NC_002516.2	282912	283553	-	642	26	25	22	14	35	6	29
gene-PA0252	NC_002516.2	283818	284105	-	288	46	34	31	16	26	1	20
gene-PA0253	NC_002516.2	284197	284673	-	477	343	292	215	171	24	65	262
gene-PA0254	NC_002516.2	284714	286204	-	1491	76	109	66	46	84	23	95
gene-PA0255	NC_002516.2	286338	287024	-	687	169	141	161	131	50	47	215
gene-PA0256	NC_002516.2	287188	288120	-	933	79	101	64	44	39	38	83
gene-PA0257	NC_002516.2	288384	289175	-	792	120	168	81	80	26	12	91
gene-PA0258	NC_002516.2	289205	289390	-	186	41	77	28	26	9	5	43
gene-PA0259	NC_002516.2	289562	291004	-	1443	608	629	421	324	114	156	512
gene-PA0260	NC_002516.2	291154	293304	-	2151	253	296	216	142	146	56	219
gene-PA0261	NC_002516.2	293301	293798	-	498	65	39	42	43	30	10	31
gene-PA0262	NC_002516.2	293802	296861	-	3060	217	226	175	112	125	58	205
gene-PA0263	NC_002516.2	297043	297561	-	519	10	22	9	4	41	3	4
gene-PA0263.1	NC_002516.2	298816	298892	-	77	887	1289	603	493	137	456	1616
gene-PA0265	NC_002516.2	299522	300973	+	1452	1294	1364	2807	821	171	716	2137
gene-PA0266	NC_002516.2	301218	302498	+	1281	1396	1623	2880	944	242	976	2410
gene-PA0267	NC_002516.2	302824	304023	+	1200	359	158	163	135	56	116	298
gene-PA0268	NC_002516.2	304177	305598	-	1422	88	93	59	31	88	51	129
gene-PA0269	NC_002516.2	305725	306162	+	438	14	24	20	10	6	4	15
gene-PA0270	NC_002516.2	306174	306581	+	408	22	20	22	12	16	4	13
gene-PA0271	NC_002516.2	306615	306899	+	285	23	17	27	17	28	8	34
gene-PA0272	NC_002516.2	306896	307828	-	933	114	102	69	68	61	33	78
gene-PA0273	NC_002516.2	307878	309092	-	1215	12	9	8	4	38	7	21
gene-PA0274	NC_002516.2	309255	310025	-	771	16	12	9	3	33	3	13
gene-PA0275	NC_002516.2	310134	310820	-	687	86	79	56	35	27	16	45
gene-PA0276	NC_002516.2	310896	311411	+	516	95	51	31	37	37	5	73
gene-PA0277	NC_002516.2	311451	312209	-	759	1377	787	314	470	61	108	793
gene-PA0278	NC_002516.2	312381	313133	-	753	28	23	26	14	34	13	43
gene-PA0279	NC_002516.2	313227	313925	+	699	157	96	99	65	27	73	154
gene-PA0280	NC_002516.2	313938	314927	-	990	127	147	424	74	28	17	95
gene-PA0281	NC_002516.2	314931	315800	-	870	58	52	223	33	62	8	54
gene-PA0282	NC_002516.2	315811	316629	-	819	74	70	251	39	33	10	44
gene-PA0283	NC_002516.2	316791	317789	-	999	103	125	728	61	40	39	93
gene-PA0284	NC_002516.2	317966	318148	-	183	21	17	178	21	2	5	27
gene-PA0285	NC_002516.2	318312	320594	-	2283	519	457	286	253	116	108	415
gene-PA0286	NC_002516.2	320766	321944	+	1179	1526	1308	758	721	107	206	825
gene-PA0287	NC_002516.2	322175	323560	+	1386	39	43	27	25	61	8	44
gene-PA0288	NC_002516.2	323616	324572	+	957	33	44	33	20	57	23	49
gene-PA0289	NC_002516.2	324625	325587	+	963	96	71	104	42	46	16	95
gene-PA0290	NC_002516.2	325700	326671	+	972	94	99	93	74	39	23	71
gene-PA0291	NC_002516.2	327284	328666	+	1383	3299	1877	1660	1236	111	299	1214
gene-PA0292	NC_002516.2	328801	329907	-	1107	503	330	396	218	69	64	287
gene-PA0293	NC_002516.2	329993	330871	-	879	117	138	87	88	49	36	90
gene-PA0294	NC_002516.2	331034	331699	-	666	63	44	36	35	32	12	57
gene-PA0295	NC_002516.2	331762	332823	-	1062	114	84	64	62	57	22	82
gene-PA0296	NC_002516.2	333079	334455	-	1377	712	774	729	422	100	192	711
gene-PA0297	NC_002516.2	334734	335486	+	753	477	583	560	333	136	239	719
gene-PA0298	NC_002516.2	335527	336885	+	1359	481	589	854	301	177	307	968
gene-PA0299	NC_002516.2	336951	338321	+	1371	1197	1240	1995	703	166	377	1301
gene-PA0300	NC_002516.2	338437	339540	+	1104	1212	1402	1042	716	91	201	746
gene-PA0301	NC_002516.2	339959	341056	+	1098	374	383	361	241	59	40	239
gene-PA0302	NC_002516.2	341111	342265	+	1155	282	237	269	173	68	74	238
gene-PA0303	NC_002516.2	342292	343173	+	882	250	220	181	136	54	26	154
gene-PA0304	NC_002516.2	343256	344125	+	870	446	421	375	307	66	173	499
gene-PA0305	NC_002516.2	344303	346690	-	2388	151	136	103	68	135	41	145
gene-PA0306	NC_002516.2	346801	347853	+	1053	79	82	52	41	60	19	64
gene-PA0306a	NC_002516.2	347832	348335	-	504	175	171	126	103	18	20	122
gene-PA0307	NC_002516.2	348440	349051	-	612	155	158	113	86	36	36	175
gene-PA0308	NC_002516.2	349050	350069	+	1020	315	200	205	156	101	116	382
gene-PA0309	NC_002516.2	350089	350841	-	753	309	242	195	157	34	67	318
gene-PA0310	NC_002516.2	350890	351588	+	699	249	194	101	124	64	52	293
gene-PA0311	NC_002516.2	351610	352164	-	555	50	36	44	26	29	29	67
gene-PA0312	NC_002516.2	352430	352924	+	495	291	175	153	151	48	75	209
gene-PA0313	NC_002516.2	352927	353619	-	693	267	247	157	153	67	98	202
gene-PA0314	NC_002516.2	353691	354461	-	771	244	227	169	118	35	24	128
gene-PA0315	NC_002516.2	354754	355191	+	438	708	1003	835	572	35	50	414
gene-PA0316	NC_002516.2	355248	356477	-	1230	1794	1247	1026	783	115	254	1116
gene-PA0317	NC_002516.2	356681	358075	+	1395	1121	1093	848	605	99	180	890
gene-PA0318	NC_002516.2	358167	358832	+	666	475	376	368	239	72	95	373
gene-PA0319	NC_002516.2	358931	359920	+	990	499	427	313	222	55	71	229
gene-PA0320	NC_002516.2	359982	360332	+	351	78	93	51	38	22	10	42
gene-PA0321	NC_002516.2	360413	361447	-	1035	76	66	74	43	44	39	61
gene-PA0322	NC_002516.2	361463	362857	-	1395	44	56	33	23	40	10	50
gene-PA0323	NC_002516.2	363278	364321	-	1044	22	42	11	17	76	5	25
gene-PA0324	NC_002516.2	364369	365157	-	789	9	21	6	2	45	7	8
gene-PA0325	NC_002516.2	365154	366083	-	930	22	44	15	22	47	10	33
gene-PA0326	NC_002516.2	366080	367129	-	1050	12	21	3	6	40	6	18
