Geneid	10_R1	10_R2	15_R1	15_R2	20_R1	20_R2	25_R1	25_R2	35_R1	35_R2	Entity	Symbol
gene-PA5163	521	580	529	411	236	285	214	378	336	231	host	rmlA
gene-PA2173	2	3	2	2	1	0	3	2	2	0	host	gene-PA2173
gene-PA3339	208	192	223	187	143	178	150	289	233	187	host	plpD
gene-PA4394	403	424	652	374	231	251	214	413	326	257	host	gene-PA4394
gene-PA4546	219	251	193	163	88	140	427	168	131	108	host	pilS
gene-PA0526	43	69	39	22	10	18	14	14	11	13	host	gene-PA0526
gene-PA5116	19	29	36	22	20	15	15	26	33	10	host	gene-PA5116
gene-PA0780	91	131	128	86	78	70	70	98	135	91	host	pruR
gene-PA4911	13	9	20	13	8	16	18	9	17	15	host	gene-PA4911
gene-PA2156	3	6	5	5	3	5	4	8	9	3	host	gene-PA2156
gene-PA2028	24	30	20	9	21	20	8	9	14	14	host	gene-PA2028
gene-PA4209	82	77	86	49	35	53	67	70	69	46	host	phzM
gene-PA4073	33	52	47	36	24	28	21	54	41	35	host	gene-PA4073
gene-PA1820	225	254	208	152	110	140	99	142	177	128	host	nhaB
gene-PA1843	601	754	617	536	354	389	401	656	533	409	host	metH
gene-PA2476	70	77	50	44	26	37	25	39	44	36	host	dsbG
gene-PA0187	22	28	19	32	17	23	17	18	37	34	host	gene-PA0187
gene-PA4215	6	18	13	5	5	3	4	8	8	0	host	phzF1
gene-PA0903	978	1069	1413	1014	735	784	778	1416	1184	949	host	alaS
gene-PA2565	25	42	48	26	24	31	28	31	38	36	host	gene-PA2565
gene-PA3436	21	19	24	26	12	11	10	24	14	13	host	gene-PA3436
gene-PHIKZ006	2324	2015	2947	1780	1215	955	1014	1482	757	825	phage	gene-PHIKZ006
gene-PA2377	29	37	39	32	18	35	37	32	44	34	host	gene-PA2377
gene-PA2787	53	60	72	66	55	40	59	81	100	89	host	cpg2
gene-PA1298	48	34	35	29	21	40	31	50	40	33	host	gene-PA1298
gene-PA2004	94	90	123	68	58	80	47	67	81	57	host	gene-PA2004
gene-PA2437	4	3	1	4	3	1	5	4	4	3	host	gene-PA2437
gene-PA0907	63	63	75	61	47	54	50	84	103	67	host	gene-PA0907
gene-PA0576	3944	4148	5247	3938	3753	4100	4387	6972	7788	5835	host	rpoD
gene-PA5397	36	37	42	26	20	38	13	44	32	22	host	gene-PA5397
gene-PA2477	37	62	48	23	26	35	12	32	35	18	host	gene-PA2477
gene-PA2855	175	194	184	126	88	88	79	138	118	93	host	gene-PA2855
gene-PA0209	8	10	13	8	2	5	3	10	7	0	host	gene-PA0209
gene-PA4510	26	47	45	70	20	18	12	31	19	15	host	gene-PA4510
gene-PA4852	1180	1644	1563	1283	874	1987	1053	1947	4009	1735	host	gene-PA4852
gene-PA2467	23	28	23	27	21	31	19	40	51	28	host	foxR
gene-PA3926	53	39	57	50	25	36	31	51	49	47	host	gene-PA3926
gene-PHIKZ087	2176	2102	2708	2015	1907	2236	1527	2225	1655	1848	phage	gene-PHIKZ087
gene-PA5172	940	1039	973	929	332	357	288	426	377	333	host	arcB
gene-PA2985	323	296	335	330	245	288	281	354	415	339	host	gene-PA2985
gene-PA2160	20	12	29	21	15	29	11	30	33	18	host	gene-PA2160
gene-PA0033	49	76	78	60	34	22	36	77	58	47	host	gene-PA0033
gene-PA3359	38	45	46	36	13	15	18	34	31	23	host	gene-PA3359
gene-PA2584	283	274	269	230	122	222	164	264	264	222	host	pgsA
gene-PA5189	118	112	116	86	57	79	65	80	83	55	host	gene-PA5189
gene-PA2818	211	228	378	237	219	250	249	430	300	243	host	arr
gene-PA0494	81	98	106	104	57	60	99	141	124	70	host	gene-PA0494
gene-PA2511	33	36	44	24	29	23	15	28	26	27	host	gene-PA2511
gene-PA3864	169	182	188	141	109	115	63	152	126	100	host	dauR
gene-PA0961	578	130	123	108	56	73	59	96	108	73	host	gene-PA0961
gene-PA1115	368	1550	359	299	165	214	180	301	334	232	host	gene-PA1115
gene-PA3557	162	177	105	81	37	57	18	42	25	26	host	arnE
gene-PA0773	201	245	216	180	99	125	79	229	146	93	host	pdxJ
gene-PA1537	27	34	29	13	9	6	11	10	22	11	host	gene-PA1537
gene-PA5374	514	541	759	520	322	325	229	337	281	181	host	betI
gene-PA3312	46	38	41	39	33	45	35	48	47	39	host	gene-PA3312
gene-PHIKZ072	4384	3847	9706	8311	13421	19523	18772	28545	29397	23318	phage	gene-PHIKZ072
gene-PA2403	130	145	120	105	68	71	58	97	100	76	host	gene-PA2403
gene-PA2605	43	82	56	43	31	38	27	78	54	44	host	gene-PA2605
gene-PA2432	40	54	43	29	23	40	27	47	52	37	host	bexR
gene-PA3407	63	78	61	46	48	49	35	91	77	46	host	hasAp
gene-PA2468	45	37	33	26	38	45	47	104	131	83	host	foxI
gene-PHIKZ_p71	1573	1232	3123	3416	5334	3263	6726	8941	6506	6485	phage	gene-PHIKZ_p71
gene-PA0778	142	147	107	98	75	83	54	87	112	66	host	icp
gene-PA3718	57	86	65	36	35	25	32	64	43	50	host	gene-PA3718
gene-PA4335	59	52	68	52	39	34	28	49	52	65	host	gene-PA4335
gene-PA1229	35	26	31	35	24	35	22	50	47	33	host	gene-PA1229
gene-PA3585	23	33	37	18	20	33	24	42	52	40	host	glpM
gene-PA2199	114	120	127	90	80	75	74	122	80	80	host	gene-PA2199
gene-PA4221	125	118	107	111	82	93	75	136	97	105	host	fptA
gene-PA1084	380	392	407	312	145	176	118	219	172	107	host	flgI
gene-PA4313	238	324	341	235	124	166	145	268	272	186	host	gene-PA4313
gene-PA1872	47	49	50	26	20	34	30	38	45	23	host	gene-PA1872
gene-PA3287	41	61	66	61	29	66	37	86	84	53	host	gene-PA3287
gene-PA1606	27	24	18	24	17	23	16	28	22	13	host	gene-PA1606
gene-PA1514	51	58	44	35	22	27	32	32	25	19	host	gene-PA1514
gene-PA2351	8	9	12	5	9	14	5	10	8	10	host	gene-PA2351
gene-PA1870	19	32	36	13	24	18	14	28	29	24	host	gene-PA1870
gene-PA1198	1061	993	1165	960	967	1170	1094	1668	2136	1736	host	gene-PA1198
gene-PA0799	149	203	197	126	104	91	76	183	151	102	host	gene-PA0799
gene-PA1552.1	319	248	277	239	179	130	137	204	126	106	host	ccoQ1
gene-PA4558	616	418	364	267	163	190	108	250	215	138	host	gene-PA4558
gene-PHIKZ253	6339	5624	8243	7652	6872	5897	6076	9132	5427	5008	phage	gene-PHIKZ253
gene-PA1288	4131	12213	1239	1145	634	724	628	948	702	623	host	gene-PA1288
gene-PA3770	2290	1436	2109	1715	1525	1750	1708	2836	3482	2835	host	guaB
gene-PA2268	33	30	13	20	20	17	16	24	20	14	host	gene-PA2268
gene-PA3985	148	186	205	102	82	98	100	158	125	141	host	gene-PA3985
gene-PA3392	31	45	43	34	27	36	37	49	66	41	host	nosZ
gene-PA3809	248	251	230	180	130	126	108	187	199	147	host	fdx2
gene-PA1440	853	902	1065	872	684	929	854	1155	1358	996	host	gene-PA1440
gene-PA4167	16	13	19	14	25	16	19	26	25	14	host	gene-PA4167
gene-PA3056	65	106	78	64	44	61	54	80	67	54	host	gene-PA3056
gene-PA4895	1	3	8	5	2	0	2	13	8	4	host	gene-PA4895
gene-PA1410	10	19	34	19	18	23	15	11	20	13	host	gene-PA1410
gene-PA5307	469	554	591	431	341	435	402	597	672	498	host	gene-PA5307
gene-PA4945	2251	2251	3223	2264	1917	2249	2143	3247	4038	2964	host	miaA
gene-PA2514	8	17	11	4	8	10	7	7	7	5	host	antC
gene-PA1807	237	246	236	205	69	78	70	119	94	86	host	gene-PA1807
gene-PA4430	1494	1383	2054	1431	879	1010	812	1376	1022	811	host	gene-PA4430
gene-PA4555	120	125	128	100	72	77	80	115	104	96	host	pilY2
gene-PA1946	144	183	135	110	70	115	65	98	87	74	host	rbsB
gene-PA3654	585	624	1257	511	380	419	343	587	383	338	host	pyrH
gene-PA1734	44	52	47	28	22	18	21	32	29	23	host	gene-PA1734
gene-PA0237	7	20	5	5	5	14	10	26	25	14	host	gene-PA0237
gene-PHIKZ023	3125	2713	3691	3581	2245	2003	1915	2970	1454	1356	phage	gene-PHIKZ023
gene-PA2494	79	82	78	80	56	63	63	84	105	84	host	mexF
gene-PA3552	564	791	911	716	321	387	262	456	209	223	host	arnB
gene-PA3553	414	573	457	430	175	264	145	272	122	125	host	arnC
gene-PA1942	23	25	18	15	11	14	16	17	23	9	host	gene-PA1942
gene-PA4683	104	100	112	70	60	80	54	75	78	70	host	gene-PA4683
gene-PA4671	3657	3677	4568	3856	4204	3260	3298	2710	6846	3002	host	gene-PA4671
gene-PA5471	100	123	106	81	75	80	78	134	107	94	host	gene-PA5471
gene-PA5340	204	259	235	168	108	114	112	203	145	127	host	gene-PA5340
gene-PA3548	74	78	59	54	33	53	59	53	99	62	host	algI
gene-PHIKZ_p46	901	803	1169	831	788	921	718	1017	984	888	phage	gene-PHIKZ_p46
gene-PA4231	34	39	62	50	28	13	39	63	76	54	host	pchA
gene-PHIKZ167	10697	8859	25597	20159	29714	22455	35529	53601	34021	34061	phage	gene-PHIKZ167
gene-PA3806	2468	2765	2880	2166	1602	1603	1563	2867	1971	1550	host	gene-PA3806
gene-PA1631	35	53	37	30	29	37	22	37	31	30	host	gene-PA1631
gene-PA2357	21	44	22	22	16	16	8	17	19	9	host	msuE
gene-PA2559a	194	287	276	269	157	217	178	252	263	208	host	gene-PA2559a
gene-PA1255	3	13	10	4	2	4	4	14	11	9	host	gene-PA1255
gene-PA5042	284	338	312	225	157	176	149	254	247	151	host	pilO
gene-PHIKZ_p25	4891	5160	6137	4859	4240	3379	3632	5516	3090	2750	phage	gene-PHIKZ_p25
gene-PHIKZ110	1392	1387	1490	1337	802	617	612	953	439	463	phage	gene-PHIKZ110
gene-PA5154	174	242	217	149	78	86	68	114	75	67	host	gene-PA5154
gene-PA5302	566	623	578	426	285	289	224	453	335	255	host	dadX
gene-PA0266	321	271	375	278	183	172	153	198	204	170	host	gene-PA0266
gene-PA1302	106	128	147	98	54	103	89	146	165	101	host	gene-PA1302
gene-PA1900	10	8	12	7	7	2	8	2	6	12	host	phzB2
gene-PA2832	162	156	167	163	103	90	72	140	110	144	host	tpm
gene-PA0842	39	47	39	25	19	25	23	31	32	33	host	gene-PA0842
gene-PA2802	184	157	165	127	88	144	133	187	202	152	host	gene-PA2802
gene-PA0724	94	78	81	69	58	72	80	85	81	69	host	gene-PA0724
gene-PA2080	76	109	60	50	36	38	27	43	32	21	host	kynU
gene-PA4710	160	146	192	147	164	190	176	274	307	220	host	phuR
gene-PA4110	52	45	44	40	24	33	44	44	55	35	host	ampC
gene-PA1194	78	113	115	87	44	56	59	117	85	67	host	gene-PA1194
gene-PA2066	26	39	28	14	11	24	12	19	27	9	host	gene-PA2066
gene-PA1800	2952	2682	3216	2642	2093	2382	2368	3648	3813	3173	host	tig
gene-PA2679	56	80	76	39	25	48	35	59	48	28	host	gene-PA2679
gene-PA2844	49	37	51	24	21	26	21	52	36	26	host	gene-PA2844
gene-PA4045	200	248	192	152	96	103	112	207	148	124	host	gene-PA4045
gene-PHIKZ115	726	697	833	694	468	432	318	417	257	204	phage	gene-PHIKZ115
gene-PHIKZ233	2978	2397	5353	5236	6424	4454	7571	10847	7547	7572	phage	gene-PHIKZ233
gene-PA3608	82	118	87	85	39	56	49	80	68	37	host	potB
gene-PA4421	5603	5116	5721	4328	4558	5452	4197	7149	6904	5678	host	gene-PA4421
gene-PHIKZ054	9739	8661	16335	18215	22627	20038	29976	49605	35476	34220	phage	gene-PHIKZ054
gene-PA4636a	49	60	73	39	33	39	27	53	43	42	host	gene-PA4636a
gene-PA0077	659	846	761	582	427	503	383	748	346	333	host	icmF1
gene-PA4018	198	205	219	143	119	113	91	163	125	105	host	gene-PA4018
gene-PA3394	7	8	7	4	5	5	14	15	18	7	host	nosF
gene-PA1114	70	70	94	61	22	56	62	87	71	91	host	gene-PA1114
gene-PA3963a	18	34	36	17	24	16	5	13	22	20	host	gene-PA3963a
gene-PA0482	349	406	428	307	234	272	222	317	309	261	host	glcB
gene-PA2172	4	9	14	13	5	10	11	18	17	12	host	gene-PA2172
gene-PA2487	21	27	27	20	16	15	20	29	46	47	host	gene-PA2487
gene-PA0062	66	69	80	50	62	77	75	139	121	105	host	gene-PA0062
gene-PA1063	70	99	96	70	25	38	32	56	45	25	host	gene-PA1063
gene-PA0213	12	14	17	8	5	6	2	18	10	3	host	gene-PA0213
gene-PA4116	228	263	206	162	156	185	123	208	170	101	host	bphO
gene-PA2981	318	331	328	235	181	196	170	264	279	223	host	lpxK
gene-PHIKZ201	1154	1071	1380	1079	965	1127	881	1240	984	958	phage	gene-PHIKZ201
gene-PA2417	95	142	157	137	138	145	168	215	278	242	host	gene-PA2417
gene-PA3867	87	114	91	72	58	79	76	85	90	89	host	gene-PA3867
gene-PA1862	79	91	105	76	54	61	70	91	101	71	host	modB
gene-PA2902	254	256	339	257	167	231	175	320	306	236	host	gene-PA2902
gene-PA5380	158	197	170	133	91	98	105	179	160	95	host	gbdR
gene-PA2586	1041	1047	1258	968	813	1078	1039	1645	1762	1361	host	gacA
gene-PA3031.1	130	137	200	114	122	76	78	81	114	61	host	gene-PA3031.1
gene-PA4561	1065	1077	1190	1014	1028	1234	1188	1766	2192	1748	host	ribF
gene-PA1449	130	112	117	100	65	74	48	80	73	40	host	flhB
gene-PA2232	256	325	240	217	126	178	123	237	143	120	host	pslB
gene-PA3636	537	525	493	402	312	332	321	495	521	371	host	kdsA
gene-PA3192	315	363	332	241	129	135	113	230	122	116	host	gltR
gene-PA3309	1888	2267	1063	862	312	402	220	385	276	232	host	gene-PA3309
gene-PA2963	456	483	455	365	328	354	347	497	556	437	host	gene-PA2963
gene-PA2239	77	81	87	82	23	43	40	54	44	29	host	pslI
gene-PA5008	344	345	307	205	131	166	147	257	229	199	host	gene-PA5008
gene-PA2202	35	29	44	27	32	27	26	52	23	29	host	gene-PA2202
gene-PA4261	1565	1399	1360	1135	793	798	794	1147	1058	947	host	rplW
gene-PA1582	898	847	923	769	550	568	529	738	667	564	host	sdhD
gene-PA5410	52	66	64	48	43	40	37	80	58	44	host	gbcA
gene-PA3340	318	366	528	349	259	304	316	534	432	319	host	gene-PA3340
gene-PA0871	8689	182	183	171	104	100	93	118	123	100	host	phhB
gene-PA2881	31	32	24	26	16	19	9	17	23	18	host	gene-PA2881
gene-PHIKZ018	1868	1832	2079	1823	1170	929	1656	1201	633	575	phage	gene-PHIKZ018
gene-PA5183a	282	389	188	180	87	116	91	108	135	92	host	gene-PA5183a
gene-PA3420	24	39	34	25	8	11	20	30	21	14	host	gene-PA3420
gene-PA4504	34	46	62	48	16	34	16	57	33	23	host	gene-PA4504
gene-PA1307	292	285	250	180	119	151	109	189	145	111	host	gene-PA1307
gene-PA0401	229	281	304	267	141	152	150	224	171	133	host	gene-PA0401
gene-PA1344	138	142	186	124	86	92	84	132	118	82	host	gene-PA1344
gene-PA5404	38	43	41	30	22	15	23	46	37	32	host	gene-PA5404
gene-PA1838	320	312	284	226	693	860	811	1474	1498	1134	host	cysI
gene-PA3121	169	202	203	155	113	123	97	147	129	95	host	leuC
gene-PA3098	53	74	64	38	33	20	15	37	42	23	host	xcpW
gene-PA2075	35	28	34	19	15	27	19	36	42	23	host	gene-PA2075
gene-PA0479	63	72	58	33	31	28	44	44	67	44	host	gene-PA0479
gene-PA2343	2	5	2	2	1	0	2	5	0	2	host	mtlY
gene-PA3733a	64	53	73	53	39	62	46	85	81	72	host	gene-PA3733a
gene-PA2103	76	92	88	64	53	67	71	93	94	62	host	gene-PA2103
gene-PA1886	196	203	182	119	102	88	90	183	157	157	host	polB
gene-PA1290	31	41	47	39	22	30	17	45	59	35	host	gene-PA1290
gene-PA1308	184	208	198	147	78	92	77	152	104	84	host	gene-PA1308
gene-PA0489	23	31	45	25	37	18	20	53	53	34	host	gene-PA0489
gene-PA2675	19	16	16	18	10	19	14	28	16	21	host	gene-PA2675
gene-PA4202	50	51	61	33	23	33	21	44	46	33	host	gene-PA4202
gene-PA0112	9	36	16	21	4	11	15	25	9	10	host	gene-PA0112
gene-PA5285	814	908	755	570	386	459	426	851	613	509	host	gene-PA5285
gene-PHIKZ_p88	70	72	86	88	76	83	63	109	225	107	phage	gene-PHIKZ_p88
gene-PA0202	161	153	112	95	132	151	222	401	1710	1167	host	gene-PA0202
gene-PA1614	288	355	291	253	244	250	277	377	357	292	host	gpsA
gene-PA4098	42	46	35	24	23	35	40	57	46	45	host	gene-PA4098
gene-PA0276	79	94	118	69	64	48	52	137	58	56	host	gene-PA0276
gene-PA3771	45	63	64	60	34	40	29	51	62	40	host	gene-PA3771
gene-PA1548	76	111	164	87	63	77	75	108	97	88	host	gene-PA1548
gene-PA3849	435	480	652	414	327	339	318	659	518	387	host	gene-PA3849
gene-PA5261	1008	985	1028	786	709	812	1123	1444	1519	1155	host	algR
gene-PA5445	416	506	475	376	268	320	248	386	340	274	host	gene-PA5445
gene-PA5269	78	116	86	91	33	45	65	95	91	76	host	gene-PA5269
gene-PA3813	279	264	245	183	133	134	140	270	291	190	host	iscU
gene-PA2503	80	108	100	83	66	66	60	107	67	79	host	gene-PA2503
gene-PA0752	144	139	146	117	60	85	78	103	69	52	host	gene-PA0752
gene-PA3569	9	11	15	10	7	10	6	4	11	9	host	mmsB
gene-PA5095	32	64	33	31	32	37	33	51	57	34	host	gene-PA5095
gene-PA4784	103	104	198	144	96	90	84	118	114	67	host	gene-PA4784
gene-PA0457	91	88	94	66	46	79	56	78	63	48	host	gene-PA0457
gene-PA3244	950	954	935	753	538	647	618	819	843	710	host	minD
gene-PA1678	359	335	393	335	248	301	244	402	427	359	host	gene-PA1678
gene-PA0367	216	255	234	182	117	156	117	157	144	117	host	gene-PA0367
gene-PA3307	79	91	100	76	39	62	44	100	75	49	host	gene-PA3307
gene-PA4656	221	451	296	247	141	196	192	359	313	324	host	gene-PA4656
gene-PA2411	23	21	19	19	8	18	17	31	8	12	host	gene-PA2411
gene-PA3142	921	1024	1126	931	765	1100	956	1325	1488	1149	host	gene-PA3142
gene-PA3478	69	82	98	69	59	58	48	80	84	51	host	rhlB
gene-PA1674	643	759	446	339	209	260	228	333	370	252	host	folE2
gene-PA4050	405	457	351	306	198	249	205	342	289	233	host	pgpA
gene-PA0075	170	238	206	116	95	112	94	181	112	96	host	pppA
gene-PA2790	38	49	64	35	28	36	39	46	42	38	host	gene-PA2790
gene-PA4554	859	967	892	753	559	623	558	1004	863	700	host	pilY1
gene-PA3874	72	95	75	57	37	40	33	49	67	44	host	narH
gene-PHIKZ041	1913	2100	5400	4262	7138	5289	7364	15025	7226	6127	phage	gene-PHIKZ041
gene-PA2443	101	93	114	70	97	83	84	171	152	117	host	sdaA
gene-PA0841	43	54	46	42	35	33	41	33	53	43	host	gene-PA0841
gene-PA0745	31	38	41	17	13	11	10	19	22	12	host	gene-PA0745
gene-PA3535	210	228	207	147	91	86	109	149	120	96	host	gene-PA3535
gene-PA4308	166	203	212	171	102	113	127	205	221	170	host	gene-PA4308
gene-PA1833a	112	103	135	82	61	63	51	78	73	45	host	gene-PA1833a
gene-PA5160.1	199	188	258	136	161	443	87	75	414	82	host	gene-PA5160.1
gene-PA0452	28	36	34	25	20	25	29	43	48	31	host	gene-PA0452
gene-PA0284	37	41	65	40	66	102	168	240	906	653	host	gene-PA0284
gene-PA5132	52	65	57	41	27	41	23	48	45	41	host	gene-PA5132
gene-PA1719	30	21	28	8	7	13	5	17	11	12	host	pscF
gene-PA3940	922	710	822	608	456	462	442	536	606	395	host	gene-PA3940
gene-PA3856	59	43	47	42	33	29	33	71	37	34	host	gene-PA3856
gene-PA1381	39	34	25	26	19	24	16	35	40	26	host	gene-PA1381
gene-PA4794	68	94	81	59	35	51	20	51	48	26	host	gene-PA4794
gene-PA0469	245	247	326	189	155	147	152	277	210	181	host	gene-PA0469
gene-PA4836	17	23	11	15	5	12	14	14	13	9	host	gene-PA4836
gene-PA3695	151	193	159	124	80	94	98	127	116	83	host	gene-PA3695
gene-PA3239	240	207	237	166	125	154	125	234	198	191	host	gene-PA3239
gene-PA3563	162	159	146	154	95	98	74	151	144	137	host	fruR
gene-PA1689	580	577	451	340	215	194	164	298	206	170	host	gene-PA1689
gene-PA0583	173	155	157	134	82	94	70	130	124	108	host	gene-PA0583
gene-PA0715	652	596	756	638	409	377	379	538	508	478	host	gene-PA0715
gene-PA1530	179	189	128	134	85	103	86	158	103	95	host	gene-PA1530
gene-PA1783	9	7	9	15	7	1	7	14	8	7	host	nasA
gene-PA4409	971	965	1007	776	401	585	341	570	419	362	host	ftsQ
gene-PA4669	9483	7832	11750	9843	7838	10525	7026	9337	12967	10178	host	ipk
gene-PA1840	61	95	63	73	46	58	30	61	65	67	host	gene-PA1840
gene-PA3388	24	39	22	23	17	33	17	33	23	14	host	gene-PA3388
gene-PA4751	4909	5006	4330	3439	1966	2250	2036	3317	3582	2921	host	ftsH
gene-PA4252	1355	1458	1762	1394	902	791	885	1502	977	880	host	rplX
gene-PA0613	66	68	56	55	31	41	17	72	47	46	host	gene-PA0613
gene-PA2513	7	19	20	10	10	7	9	11	24	13	host	antB
gene-PA2002	138	132	121	94	44	63	59	65	39	51	host	gene-PA2002
gene-PA4108a	108	83	70	61	49	68	51	65	88	74	host	gene-PA4108a
gene-PA4022	180	193	216	216	100	119	100	134	83	83	host	gene-PA4022
gene-PA0152	102	105	139	98	68	87	83	127	119	106	host	pcaQ
gene-PA4457	1436	1334	1725	1448	1226	1517	1348	1997	2349	1813	host	gene-PA4457
gene-PHIKZ056	5067	4467	12597	11568	19508	16915	26051	39319	34792	30414	phage	gene-PHIKZ056
gene-PA2863	11	6	21	5	9	3	6	16	8	4	host	lipH
gene-PA0185	20	21	22	17	8	11	14	16	26	16	host	gene-PA0185
gene-PA4166	13	9	10	9	9	5	3	3	8	9	host	gene-PA4166
gene-PA0563	1019	896	1445	1082	934	1000	935	1677	1507	1206	host	gene-PA0563
gene-PA3451	56	61	50	53	45	38	27	43	72	63	host	gene-PA3451
gene-PA0708	35	46	23	32	27	12	12	27	25	24	host	gene-PA0708
gene-PA1505	465	580	354	238	201	185	188	274	258	198	host	moaA2
gene-PA0814	5	4	6	0	5	0	1	4	1	5	host	gene-PA0814
gene-PA2725	161	167	150	141	89	85	91	138	99	80	host	gene-PA2725
gene-PA2636	33	25	51	26	16	24	23	41	34	30	host	gene-PA2636
gene-PA3835	114	125	97	119	58	67	45	90	83	50	host	gene-PA3835
gene-PA3318	22	28	39	30	20	26	11	31	20	14	host	gene-PA3318
gene-PA1822	501	655	515	404	295	309	313	417	411	322	host	fimL
gene-PA4112	173	216	190	136	89	130	108	175	211	136	host	gene-PA4112
gene-PA2187	13	7	20	10	9	10	5	14	17	14	host	gene-PA2187
gene-PHIKZ275	1277	1196	1584	1649	1236	902	901	1225	710	594	phage	gene-PHIKZ275
gene-PA3013	500	482	600	441	307	370	386	528	466	438	host	foaB
gene-PA0006	775	749	913	702	608	707	607	760	1045	898	host	gene-PA0006
gene-PA2404	58	52	58	51	37	48	31	38	24	15	host	gene-PA2404
gene-PHIKZ021	2602	1762	2046	1967	1016	798	986	1205	561	584	phage	gene-PHIKZ021
gene-PA1793	429	456	408	374	278	286	297	396	352	325	host	ppiB
gene-PA2671	52	55	43	44	39	50	47	67	65	51	host	gene-PA2671
gene-PA1120	97	124	104	79	54	60	48	4669	83	58	host	tpbB
gene-PHIKZ151	48	52	50	46	46	53	53	50	220	86	phage	gene-PHIKZ151
gene-PA2162	12	23	15	9	7	8	13	18	18	11	host	gene-PA2162
gene-PA1491	104	108	139	78	82	94	97	130	116	98	host	gene-PA1491
gene-PA2216	15	13	13	9	10	6	4	8	25	16	host	gene-PA2216
gene-PA4390	252	268	280	264	221	292	246	352	450	337	host	gene-PA4390
gene-PA5003	671	722	588	514	346	401	387	633	563	384	host	gene-PA5003
gene-PA4829	105	114	86	102	90	91	62	108	126	82	host	lpd3
gene-PA5502	175	234	255	157	155	156	129	194	172	135	host	gene-PA5502
gene-PA4678	139	144	135	111	67	79	89	117	125	63	host	rimI
gene-PA1121	144	142	123	89	85	97	91	125	156	128	host	yfiR
gene-PA2593	34	33	29	28	50	32	38	58	162	125	host	qteE
gene-PA1437	103	117	121	83	51	67	54	77	80	69	host	gene-PA1437
gene-PA2402	359	512	512	370	244	300	297	459	394	332	host	gene-PA2402
gene-PA3429	23	29	38	26	23	24	15	27	35	15	host	gene-PA3429
gene-PA3588	48	62	53	22	24	28	31	56	39	42	host	gene-PA3588
gene-PA5498	126	159	157	95	81	91	85	153	187	140	host	gene-PA5498
gene-PA1731	15	37	44	24	16	21	20	37	25	12	host	gene-PA1731
gene-PA1185	14	14	14	8	15	3	6	20	11	12	host	gene-PA1185
gene-PA1309	108	137	137	93	65	79	74	126	139	94	host	gene-PA1309
gene-PA5171	1699	1808	8460	1732	623	686	625	867	752	697	host	arcA
gene-PA4339	119	181	149	102	53	54	54	108	70	64	host	gene-PA4339
gene-PA0670	27	26	34	28	32	24	27	46	38	47	host	gene-PA0670
gene-PA4193	16	22	21	12	24	32	22	26	31	20	host	gene-PA4193
gene-PA4560	2428	1820	1778	1159	788	935	785	1297	1017	776	host	ileS
gene-PA3396	27	27	21	33	22	28	28	44	42	53	host	nosL
gene-PA2355	9	20	6	18	4	10	2	14	14	10	host	gene-PA2355
gene-PA4726	690	866	711	538	389	413	382	633	539	431	host	cbrB
gene-PA2426	14	22	18	22	14	9	11	17	9	10	host	pvdS
gene-PA5299	263	289	313	260	162	210	195	310	267	216	host	gene-PA5299
gene-PA5458	160	191	168	150	86	80	62	111	100	73	host	gene-PA5458
