Geneid	10_R1	10_R2	15_R1	15_R2	20_R1	20_R2	25_R1	25_R2	35_R1	35_R2	Entity	Symbol
gene-PA1504	93	104	77	94	56	43	50	101	103	119	host	gene-PA1504
gene-PA3252	22	16	20	31	23	16	31	31	29	42	host	gene-PA3252
gene-PA0202	84	135	70	92	86	82	64	78	67	158	host	gene-PA0202
gene-PA2662	38	55	33	57	14	29	30	26	49	66	host	gene-PA2662
gene-PA2441	68	69	40	60	33	36	36	23	24	67	host	gene-PA2441
gene-PA0514	10	20	15	31	5	3	3	9	7	25	host	nirL
gene-PHIKZ082	186	238	1649	1145	8546	9380	8705	5641	4092	3078	phage	gene-PHIKZ082
gene-PA4887	162	210	157	219	738	128	116	97	151	412	host	gene-PA4887
gene-PA3225	86	103	84	79	45	51	60	48	73	167	host	gene-PA3225
gene-PA5163	490	456	333	380	249	190	217	197	222	376	host	rmlA
gene-PA1027	27	35	33	40	29	24	12	32	37	63	host	gene-PA1027
gene-PA1331	196	248	139	150	86	86	60	130	81	167	host	gene-PA1331
gene-PA1444	66	96	70	84	45	45	36	57	39	116	host	fliN
gene-PA4431	765	860	711	806	584	514	481	506	652	1773	host	gene-PA4431
gene-PA2153	15	18	15	14	8	9	13	9	9	43	host	glgB
gene-PA4729	290	333	249	322	225	176	225	239	306	561	host	panB
gene-PA2958.1	353	331	270	307	247	295	233	260	255	228	host	rgsA
gene-PA4048	110	159	90	83	57	60	55	46	63	93	host	gene-PA4048
gene-PA3335	17	18	43	35	38	30	23	39	25	52	host	gene-PA3335
gene-PA0528	232	255	250	375	181	191	156	141	203	287	host	gene-PA0528
gene-PA2805	303	470	283	371	179	182	185	143	245	464	host	gene-PA2805
gene-PA0135	4	7	3	11	4	4	1	4	11	9	host	gene-PA0135
gene-PA5543	16	19	13	17	10	10	8	5	11	24	host	gene-PA5543
gene-PA1381	23	18	10	14	21	13	16	13	34	26	host	gene-PA1381
gene-PHIKZ_p90	23	16	84	50	345	507	347	321	375	195	phage	gene-PHIKZ_p90
gene-PA0705	205	250	211	257	180	146	159	250	209	291	host	migA
gene-PA0589	47	43	42	53	30	28	35	50	30	77	host	gene-PA0589
gene-PA0889	215	220	177	242	131	124	126	116	88	159	host	aotQ
gene-PA4188	2	14	5	5	1	4	7	2	11	13	host	gene-PA4188
gene-PA2339	16	18	11	25	17	14	19	19	30	40	host	gene-PA2339
gene-PA5181.1	263	233	220	240	238	199	232	274	320	308	host	gene-PA5181.1
gene-PHIKZ_p56	3054	3287	4934	4518	2258	2832	1016	652	481	351	phage	gene-PHIKZ_p56
gene-PA2860	383	312	325	350	302	259	310	306	420	901	host	gene-PA2860
gene-PA1087	413	452	376	428	268	211	252	227	324	430	host	flgL
gene-PA2758	75	78	76	85	62	60	46	64	89	142	host	gene-PA2758
gene-PA2295	1	2	6	8	5	4	2	2	3	8	host	gene-PA2295
gene-PA0325	38	45	43	39	34	26	32	30	34	51	host	gene-PA0325
gene-PA2081	20	40	29	29	22	24	24	31	25	46	host	kynB
gene-PA0734	23	17	32	20	13	18	15	25	23	49	host	gene-PA0734
gene-PA1002	159	215	104	148	62	63	64	69	63	146	host	phnB
gene-PA5005	869	998	811	937	572	522	727	761	1453	1196	host	gene-PA5005
gene-PA4078	42	58	46	44	37	32	51	56	59	158	host	gene-PA4078
gene-PA0499	57	60	66	87	57	42	49	43	73	149	host	gene-PA0499
gene-PA5453	207	304	195	243	131	114	98	116	164	231	host	gmd
gene-PA0765	719	712	513	599	342	313	278	321	347	651	host	mucC
gene-PA0842	21	20	36	28	17	14	6	16	21	75	host	gene-PA0842
gene-PA1675	133	157	105	145	86	87	90	154	145	255	host	gene-PA1675
gene-PA0971	643	681	502	633	442	410	411	516	571	877	host	tolA
gene-PA1804.1	2756	2527	2265	3800	1766	1564	1384	1650	1700	10862	host	gene-PA1804.1
gene-PA2950	878	886	670	696	431	475	449	476	653	1083	host	gene-PA2950
gene-PA3535	145	192	149	189	91	101	83	104	76	239	host	gene-PA3535
gene-PA0214	22	16	14	34	13	15	15	9	21	78	host	gene-PA0214
gene-PHIKZ296	528	522	2226	1637	7960	8291	9927	7550	11007	7589	phage	gene-PHIKZ296
gene-PA4798	96	152	151	200	1893	121	152	216	177	464	host	gene-PA4798
gene-PA0664	225	257	195	234	145	160	132	146	213	280	host	gene-PA0664
gene-PA1526	286	314	320	362	330	293	288	291	346	348	host	gene-PA1526
gene-PA4749	1973	1924	1315	2847	497	2061	462	406	416	3599	host	glmM
gene-PA2976	814	1003	728	804	516	498	510	858	633	1180	host	rne
gene-PA4874	129	162	113	149	116	100	93	131	158	514	host	gene-PA4874
gene-PA1711	50	63	47	54	39	31	32	84	64	337	host	gene-PA1711
gene-PA1025	21	26	24	28	33	13	28	12	23	48	host	gene-PA1025
gene-PA4063	33	51	57	49	39	23	41	45	49	64	host	gene-PA4063
gene-PA0219	11	19	13	14	19	17	15	10	24	60	host	gene-PA0219
gene-PA0533	78	126	65	123	63	54	73	76	108	261	host	gene-PA0533
gene-PA1424a	79	67	64	60	44	40	60	77	80	83	host	gene-PA1424a
gene-PA2062	21	11	14	15	38	20	23	21	13	37	host	gene-PA2062
gene-PA1541	36	29	52	44	34	36	40	89	64	54	host	gene-PA1541
gene-PA4340	141	176	139	166	116	102	115	107	155	295	host	gene-PA4340
gene-PA1992	29	57	50	56	33	39	42	52	42	149	host	ercS
gene-PA2573	108	116	108	150	89	96	98	126	184	348	host	gene-PA2573
gene-PA3893	74	90	54	72	44	59	56	57	65	179	host	gene-PA3893
gene-PA1282	48	50	47	55	30	37	46	41	40	3543	host	gene-PA1282
gene-PA2803	11	21	9	4	7	7	12	5	12	34	host	gene-PA2803
gene-PA4159	13	14	12	16	9	6	17	34	43	80	host	fepB
gene-PA0821	162	189	162	173	132	137	159	138	187	188	host	gene-PA0821
gene-PA1656	511	704	613	855	289	308	225	206	242	411	host	gene-PA1656
gene-PA3753	194	289	202	219	136	145	147	130	142	185	host	gene-PA3753
gene-PA0381	208	221	161	229	97	81	102	98	122	175	host	thiG
gene-PA0206	23	18	47	34	18	25	38	43	24	99	host	gene-PA0206
gene-PA2789	38	51	31	45	36	36	43	51	61	102	host	gene-PA2789
gene-PHIKZ_p75	1177	1264	1630	1658	937	1172	426	336	340	266	phage	gene-PHIKZ_p75
gene-PA5112	565	667	563	820	445	376	381	346	561	719	host	estA
gene-PA1980	1	2	0	4	0	3	1	1	1	12	host	eraR
gene-PA5024	75	87	62	64	128	149	90	116	70	109	host	gene-PA5024
gene-PA2706	125	112	75	123	87	78	91	91	121	241	host	gene-PA2706
gene-PA4145	41	64	50	62	36	44	54	48	84	117	host	gene-PA4145
gene-PA1999	290	328	274	363	176	186	153	164	181	347	host	dhcA
gene-PA1250	61	53	53	71	38	37	33	59	55	148	host	aprI
gene-PA2289	99	118	73	107	75	68	66	94	108	149	host	gene-PA2289
gene-PA5152	583	728	463	590	432	359	398	514	691	925	host	gene-PA5152
gene-PA2136	3	28	7	13	6	6	1	4	7	15	host	gene-PA2136
gene-PA0025	155	151	129	148	75	70	68	82	59	218	host	aroE
gene-PA2956	116	152	90	115	70	78	84	93	92	136	host	gene-PA2956
gene-PA3337	149	272	110	162	60	79	75	97	98	162	host	rfaD
gene-PA5217	306	351	183	163	422	403	602	564	781	940	host	gene-PA5217
gene-PA1327	60	52	58	57	40	42	51	34	55	128	host	gene-PA1327
gene-PA3187	348	393	350	364	202	241	156	188	126	333	host	gene-PA3187
gene-PA1185	5	9	6	14	3	6	7	3	9	34	host	gene-PA1185
gene-PA1428a	37	51	45	44	39	35	35	35	60	81	host	gene-PA1428a
gene-PA5155	126	135	96	123	65	66	47	43	34	99	host	gene-PA5155
gene-PA0501	72	103	84	80	46	47	45	51	55	235	host	bioF
gene-PHIKZ_p25	4568	4723	4200	4828	1396	1341	640	603	666	939	phage	gene-PHIKZ_p25
gene-PA5044	657	764	640	799	569	573	562	639	845	1393	host	pilM
gene-PA5160.1	178	155	276	360	378	125	131	1415	380	1739	host	gene-PA5160.1
gene-PA0449	81	103	76	82	53	44	59	77	81	244	host	gene-PA0449
gene-PA3810	661	653	415	520	310	312	320	370	424	950	host	hscA
gene-PA3698	132	168	127	155	108	103	112	111	173	245	host	gene-PA3698
gene-PA5131	439	533	441	512	265	312	281	408	381	720	host	pgm
gene-PA0315	343	456	324	401	201	191	183	198	257	461	host	gene-PA0315
gene-PA0684	3	2	2	7	4	12	6	5	4	24	host	gene-PA0684
gene-PA4941	1436	1707	1246	1882	736	700	655	863	882	1766	host	hflC
gene-PA0042	127	180	152	172	126	106	135	121	219	280	host	gene-PA0042
gene-PA5002	771	774	397	654	311	358	327	363	382	1009	host	gene-PA5002
gene-PA0978	79	95	71	88	69	69	94	79	82	128	host	gene-PA0978
gene-PA2037	137	211	124	181	119	92	128	111	271	223	host	gene-PA2037
gene-PA1517	41	35	25	43	34	20	34	48	73	82	host	gene-PA1517
gene-PA3850	226	299	274	274	173	159	153	212	220	455	host	gene-PA3850
gene-PA0927	90	88	72	86	49	58	35	50	41	73	host	ldhA
gene-PA2494	59	55	52	74	35	47	43	76	103	166	host	mexF
gene-PA4325	196	238	219	253	291	169	166	199	229	449	host	gene-PA4325
gene-PA4851	252	321	232	307	170	175	167	254	380	698	host	gene-PA4851
gene-PA1971	81	91	81	95	64	54	57	72	93	263	host	braZ
gene-PA4110	25	71	42	46	20	22	32	26	50	68	host	ampC
gene-PA1595	48	96	50	58	53	61	47	52	49	155	host	gene-PA1595
gene-PA3306	233	307	203	300	205	193	158	211	206	458	host	gene-PA3306
gene-PHIKZ163	1135	1174	1638	1692	6234	5884	11012	8124	21610	32263	phage	gene-PHIKZ163
gene-PA1483	250	303	178	254	127	122	117	148	131	312	host	cycH
gene-PA4430	1422	1367	1120	1474	778	733	649	733	845	1344	host	gene-PA4430
gene-PA2539	111	118	85	95	49	56	38	50	61	218	host	gene-PA2539
gene-PA4150	30	30	41	49	37	28	24	33	41	104	host	gene-PA4150
gene-PA4302	24	34	18	18	22	21	24	15	33	63	host	tadA
gene-PA1825	38	54	30	47	25	31	29	31	44	108	host	gene-PA1825
gene-PA1879	25	26	23	16	17	11	12	16	20	45	host	gene-PA1879
gene-PA4199	72	62	53	86	51	38	39	39	43	146	host	gene-PA4199
gene-PA2272	91	100	70	90	45	42	53	56	84	131	host	pbpC
gene-PA1326	24	35	20	48	23	20	15	27	23	64	host	ilvA2
gene-PA3406	0	6	6	7	2	5	2	2	0	8	host	hasD
gene-PA2328	5	17	10	17	11	5	8	13	15	34	host	gene-PA2328
gene-PA4245	997	1132	836	912	627	581	509	564	509	701	host	rpmD
gene-PA2656	137	136	96	137	68	51	58	66	72	127	host	gene-PA2656
gene-PA4482	55	35	57	51	42	24	63	60	54	135	host	gatC
gene-PA3020	170	218	154	211	111	98	101	146	154	275	host	gene-PA3020
gene-PHIKZ_p39	2659	2715	4245	4281	15601	14785	32215	33546	56313	72570	phage	gene-PHIKZ_p39
gene-PA1120	86	103	79	95	47	28	56	50	59	115	host	tpbB
gene-PA5079	150	194	127	189	73	329	77	296	118	292	host	gene-PA5079
gene-PA5371	354	408	362	492	293	300	350	383	560	1076	host	gene-PA5371
gene-PA4921	107	155	98	144	60	71	50	73	66	244	host	gene-PA4921
gene-PA0777	49	41	34	57	23	26	21	32	25	82	host	gene-PA0777
gene-PA5462	282	347	238	284	233	229	199	228	281	257	host	gene-PA5462
gene-PA1153	33	26	23	23	8	3	8	21	17	33	host	gene-PA1153
gene-PA2915	43	73	40	40	28	23	18	32	38	64	host	gene-PA2915
gene-PA5379	27	39	37	36	28	24	38	32	46	104	host	sdaB
gene-PHIKZ_p26	146	112	1986	1099	10307	11349	12574	11759	6460	5690	phage	gene-PHIKZ_p26
gene-PA0195.1	17	37	14	27	13	15	20	23	24	45	host	pntAB
gene-PA3562	494	597	488	532	240	299	234	255	252	1189	host	fruI
gene-PA2894	67	62	58	67	47	37	44	71	46	199	host	gene-PA2894
gene-PA2826	49	59	45	74	60	60	52	58	67	100	host	gene-PA2826
gene-PHIKZ141	1070	1083	1304	1269	2058	2082	3418	2638	6546	6881	phage	gene-PHIKZ141
gene-PA5350	82	108	86	93	50	60	59	62	97	108	host	rubA2
gene-PA2102	37	41	20	36	18	17	22	19	44	50	host	gene-PA2102
gene-PA0925	127	42	28	62	37	23	35	59	53	82	host	gene-PA0925
gene-PA0671	19	7	10	11	4	17	11	30	11	29	host	gene-PA0671
gene-PA4716	147	167	179	197	157	138	190	186	259	548	host	gene-PA4716
gene-PA1293	145	227	150	205	114	139	115	143	186	239	host	gene-PA1293
gene-PHIKZ264	7103	8225	8320	8352	5282	6289	3465	2900	2098	1863	phage	gene-PHIKZ264
gene-PA5359	89	158	97	100	74	51	67	106	88	220	host	gene-PA5359
gene-PA4393	319	432	344	471	273	257	271	250	352	468	host	ampG
gene-PA3125	51	46	37	31	20	31	25	27	48	129	host	gene-PA3125
gene-PA0574.1	157	73	108	132	86	70	85	199	148	192	host	gene-PA0574.1
gene-PA4439	321	343	289	306	180	177	183	209	353	447	host	trpS
gene-PA4747	9623	10809	13701	15059	11664	14506	9047	8682	13414	24605	host	secG
gene-PA1285	48	63	52	64	36	44	57	58	63	333	host	gene-PA1285
gene-PA4913	70	75	47	59	34	59	55	42	91	168	host	gene-PA4913
gene-PA5542	41	53	38	39	23	25	14	27	25	55	host	gene-PA5542
gene-PA4873	164	226	149	222	97	131	100	102	144	280	host	gene-PA4873
gene-PA2449	344	433	353	451	282	320	278	266	385	632	host	gene-PA2449
gene-PA4420	970	1113	1709	1113	682	730	683	697	785	2212	host	gene-PA4420
gene-PA4565	1123	653	772	643	402	382	333	468	338	907	host	proB
gene-PA1853	112	110	63	113	62	72	66	59	87	176	host	gene-PA1853
gene-PHIKZ209	1255	1357	2162	1882	1166	1495	637	490	519	389	phage	gene-PHIKZ209
gene-PA1476	326	447	271	384	185	189	159	133	161	314	host	ccmB
gene-PA4398	132	166	131	154	86	90	86	126	120	180	host	gene-PA4398
gene-PA5488	846	435	422	585	270	342	289	388	368	875	host	gene-PA5488
gene-PA0199	22	42	14	29	9	15	25	16	29	46	host	exbD1
gene-PA1768	104	100	119	115	102	106	105	176	164	185	host	gene-PA1768
gene-PHIKZ_p74	3633	3180	3964	3502	1829	2190	1238	635	582	320	phage	gene-PHIKZ_p74
gene-PA4440	123	138	78	84	54	42	54	95	66	209	host	gene-PA4440
gene-PHIKZ223	854	818	1161	1089	972	1144	867	612	1743	1260	phage	gene-PHIKZ223
gene-PA0187	14	23	29	28	27	30	24	22	24	43	host	gene-PA0187
gene-PA0630	34	17	9	16	10	11	11	18	21	55	host	gene-PA0630
gene-PA3061	26	30	50	37	30	25	24	32	19	51	host	pelD
gene-PA3409	7	12	10	11	5	10	11	9	4	27	host	gene-PA3409
gene-PA0067	362	555	332	453	224	244	202	312	316	558	host	prlC
gene-PA0101	61	81	43	72	29	37	36	42	29	147	host	gene-PA0101
gene-PA3241	102	159	109	103	63	87	75	78	86	218	host	gene-PA3241
gene-PA2707	137	160	106	141	95	77	68	85	104	173	host	gene-PA2707
gene-PA0288	8	20	25	13	12	15	13	16	20	121	host	gpuA
gene-PA3996	726	810	581	732	396	383	326	434	423	601	host	lis
gene-PA5330	510	591	488	688	396	349	356	489	528	1068	host	gene-PA5330
gene-PA4890	139	189	140	170	106	102	86	193	118	284	host	desT
gene-PHIKZ288	5637	7023	8011	7855	5001	5587	2897	2943	4496	2359	phage	gene-PHIKZ288
gene-PA3646	949	1052	710	870	518	511	456	491	545	1139	host	lpxD
gene-PA4414	864	947	611	1437	396	357	253	355	262	904	host	murD
gene-PA1802	2242	2505	1932	2140	1207	1219	1153	1334	1462	2303	host	clpX
gene-PA2586	829	941	825	1126	792	732	775	916	1211	2628	host	gacA
gene-PA3740	70	69	73	94	53	55	56	99	90	167	host	gene-PA3740
gene-PA2951	856	1036	720	886	601	585	635	816	1128	2049	host	etfA
gene-PA4151	24	37	37	55	39	35	18	46	52	100	host	acoB
gene-PA0831	274	344	259	322	269	229	248	288	893	903	host	oruR
gene-PA1469	34	49	37	37	33	40	29	34	48	123	host	gene-PA1469
gene-PA1103	188	235	142	205	63	63	75	80	79	202	host	gene-PA1103
gene-PA1464	243	328	189	251	142	139	113	148	151	248	host	gene-PA1464
gene-PA1710	254	271	226	285	223	178	289	251	410	534	host	exsC
gene-PA0525	26	37	34	32	10	26	29	14	22	83	host	gene-PA0525
gene-PA1218	23	23	20	20	16	15	24	12	17	42	host	gene-PA1218
gene-PA0224	69	109	73	87	80	80	85	61	102	124	host	gene-PA0224
gene-PA1827	18	11	13	21	7	14	13	22	18	27	host	gene-PA1827
gene-PA5429	1050	1413	1070	1211	963	1002	1068	1519	1637	2649	host	aspA
gene-PA4626	15	43	43	41	16	21	30	51	63	95	host	hprA
gene-PA2633	82	91	68	67	46	22	47	51	41	84	host	gene-PA2633
gene-PA4968	368	535	290	475	341	301	290	265	440	515	host	gene-PA4968
gene-PA4964	1134	1140	832	1031	638	540	611	537	738	1210	host	parC
gene-PA5271	33	64	27	30	23	22	19	32	22	53	host	gene-PA5271
gene-PA3148	865	922	669	701	330	337	267	280	316	337	host	wbpI
gene-PA2893	66	78	69	104	69	64	50	56	58	176	host	atuH
gene-PHIKZ155	1395	1457	2160	2362	6434	7024	8238	6677	13286	14284	phage	gene-PHIKZ155
gene-PA3773	8	3	2	2	2	6	0	1	5	15	host	gene-PA3773
gene-PA5394	74	135	96	114	51	63	77	102	106	199	host	cls
gene-PA1478	84	84	52	63	33	27	24	24	33	46	host	gene-PA1478
gene-PA2557	116	188	147	206	82	63	79	86	87	160	host	gene-PA2557
gene-PA0418	108	112	94	115	68	63	41	87	73	198	host	gene-PA0418
gene-PA5498	416	109	76	125	60	53	67	122	108	426	host	gene-PA5498
gene-PA5335	268	357	299	387	273	323	287	477	379	907	host	gene-PA5335
gene-PA3508	21	32	16	30	17	15	16	11	32	46	host	gene-PA3508
gene-PA4897	76	110	87	106	61	74	94	103	135	250	host	gene-PA4897
gene-PHIKZ046	1175	1234	2151	1723	1117	1271	1015	696	687	498	phage	gene-PHIKZ046
gene-PA0581	255	344	241	343	224	249	242	343	287	849	host	gene-PA0581
gene-PA4270	7144	7202	6780	9001	5686	5404	5719	6029	7172	13923	host	rpoB
gene-PA5041	273	335	213	257	145	146	141	180	169	867	host	pilP
gene-PA0166	17	23	20	26	22	32	27	25	53	100	host	gene-PA0166
gene-PA0611	243	331	230	263	145	204	165	157	241	409	host	prtR
gene-PA1743	11	10	11	11	8	4	4	4	7	17	host	gene-PA1743
gene-PA3051	207	296	208	228	183	158	199	155	238	154	host	gene-PA3051
gene-PA5157	28	35	29	33	36	16	31	26	37	93	host	gene-PA5157
gene-PA2129	5	1	2	2	3	3	2	3	3	9	host	cupA2
gene-PA1162	121	155	107	119	78	66	83	144	122	217	host	dapE
gene-PA5091	22	43	35	41	21	17	17	22	24	56	host	hutG
gene-PA2973	691	852	535	712	379	342	354	360	362	774	host	gene-PA2973
gene-PA0792	46	61	61	74	31	35	39	50	44	125	host	prpD
gene-PHIKZ_p06	3874	4282	4076	5048	5602	5119	13920	28545	83402	330233	phage	gene-PHIKZ_p06
gene-PA2968	992	956	772	1075	506	452	465	492	656	1163	host	fabD
gene-PA5218	29	42	22	36	23	28	35	31	35	143	host	gene-PA5218
gene-PA1141	36	76	36	47	37	29	31	41	46	107	host	gene-PA1141
gene-PA4762	383	367	548	167	86	106	111	484	210	274	host	grpE
gene-PA3866	367	496	377	396	251	263	240	209	343	344	host	gene-PA3866
gene-PA3709	61	73	60	63	47	48	61	33	59	105	host	gene-PA3709
gene-PA1353	10	13	6	6	9	8	2	7	13	16	host	gene-PA1353
gene-PA4737	141	186	113	121	63	79	33	65	72	125	host	gene-PA4737
gene-PA4802.1	546	439	626	481	447	441	668	1523	761	1200	host	gene-PA4802.1
gene-PA2370	3	5	1	3	3	1	2	2	5	9	host	gene-PA2370
gene-PA0732	102	157	88	133	86	98	113	127	148	232	host	gene-PA0732
gene-PA3087	93	124	99	91	57	60	59	81	63	150	host	gene-PA3087
gene-PA3722	143	137	105	155	84	135	134	226	187	380	host	gene-PA3722
gene-PA3680	91	120	91	104	57	81	61	119	109	378	host	gene-PA3680
gene-PA2577	30	34	26	25	18	26	17	25	19	62	host	gene-PA2577
gene-PA1695	16	12	23	14	6	8	7	13	9	49	host	pscP
gene-PA2765	132	127	107	107	70	75	82	99	84	267	host	gene-PA2765
gene-PA0277	247	256	220	274	230	215	183	280	264	442	host	gene-PA0277
gene-PA2852	126	154	145	189	108	120	125	135	177	389	host	gene-PA2852
gene-PA0168	64	67	43	56	21	30	33	45	20	153	host	gene-PA0168
gene-PA4947	1277	1324	1437	1327	1063	1117	1759	1124	1855	2575	host	amiB
gene-PA1994	51	76	50	72	37	23	36	47	53	126	host	gene-PA1994
gene-PA4246	2374	2477	2070	2182	1486	1484	1400	1224	1281	1835	host	rpsE
gene-PA0961	71	93	73	82	53	52	45	108	110	287	host	gene-PA0961
gene-PA3615	300	301	287	365	160	164	126	195	217	430	host	gene-PA3615
gene-PA0585	27	25	23	30	30	22	23	21	45	56	host	gene-PA0585
gene-PA4218	9	7	15	10	8	4	5	5	6	22	host	gene-PA4218
gene-PHIKZ301	144	156	2099	1688	7747	7904	9131	4451	3571	3439	phage	gene-PHIKZ301
gene-PA1848	22	33	21	25	22	14	16	10	16	50	host	gene-PA1848
gene-PA1562	394	426	383	480	293	306	324	366	405	882	host	acnA
gene-PA1428	20	23	16	41	18	19	15	20	18	51	host	gene-PA1428
gene-PHIKZ130	688	588	713	808	1622	1395	5218	4411	15444	21974	phage	gene-PHIKZ130
gene-PA1300	93	98	82	108	116	127	546	430	478	469	host	gene-PA1300
gene-PA5531	170	169	157	186	259	277	362	884	602	1458	host	tonB1
gene-PA4342	20	28	14	37	21	16	17	24	18	83	host	gene-PA4342
gene-PA2256	8	3	8	16	1	6	7	8	4	21	host	pvcC
gene-PA1653	65	59	49	86	54	41	38	67	60	98	host	gene-PA1653
gene-PA0420	276	310	214	293	166	177	189	178	283	389	host	bioA
gene-PA2881	24	26	22	26	17	12	9	21	16	23	host	gene-PA2881
gene-PA5372	232	264	292	290	170	166	172	200	263	584	host	betA
gene-PA0105	95	117	95	142	96	87	93	93	165	339	host	coxB
gene-PA1193	125	188	122	153	99	76	117	122	150	205	host	gene-PA1193
gene-PA2287	42	30	27	34	40	44	45	43	44	100	host	gene-PA2287
gene-PA3466	180	214	178	206	160	127	160	164	179	383	host	gene-PA3466
gene-PA2677	34	43	27	41	22	23	31	27	30	57	host	gene-PA2677
gene-PA1850	18	14	22	34	18	11	14	33	36	95	host	gene-PA1850
gene-PA4105	3	4	4	10	1	4	5	2	8	13	host	gene-PA4105
gene-PA0148	76	85	65	83	55	48	58	88	85	107	host	gene-PA0148
gene-PA5134	503	493	481	470	267	305	277	352	331	718	host	gene-PA5134
gene-PA4368	85	96	72	84	35	52	37	65	115	176	host	gene-PA4368
gene-PA3969a	52	51	36	58	29	24	19	43	41	209	host	gene-PA3969a
gene-PA3444	7	12	7	7	10	6	5	9	10	16	host	gene-PA3444
gene-PA1548	70	94	73	103	63	72	46	66	55	179	host	gene-PA1548
