# Program:featureCounts v2.0.1; Command:"featureCounts" "-p" "-M" "-O" "--primary" "-a" "dualGenome.gff3" "-t" "gene" "-o" "countData.tsv" "-g" "ID" "SRR13160338_sorted.bam" "SRR13160334_sorted.bam" "SRR13160330_sorted.bam" "SRR13160332_sorted.bam" "SRR13160348_sorted.bam" "SRR13160335_sorted.bam" "SRR13160333_sorted.bam" "SRR13160331_sorted.bam" "SRR13160339_sorted.bam" "SRR13160350_sorted.bam" "SRR13160346_sorted.bam" "SRR13160336_sorted.bam" "SRR13160344_sorted.bam" "SRR13160345_sorted.bam" "SRR13160327_sorted.bam" "SRR13160329_sorted.bam" "SRR13160337_sorted.bam" "SRR13160341_sorted.bam" "SRR13160343_sorted.bam" "SRR13160328_sorted.bam" "SRR13160349_sorted.bam" "SRR13160347_sorted.bam" "SRR13160342_sorted.bam" "SRR13160340_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR13160338_sorted.bam	SRR13160334_sorted.bam	SRR13160330_sorted.bam	SRR13160332_sorted.bam	SRR13160348_sorted.bam	SRR13160335_sorted.bam	SRR13160333_sorted.bam	SRR13160331_sorted.bam	SRR13160339_sorted.bam	SRR13160350_sorted.bam	SRR13160346_sorted.bam	SRR13160336_sorted.bam	SRR13160344_sorted.bam	SRR13160345_sorted.bam	SRR13160327_sorted.bam	SRR13160329_sorted.bam	SRR13160337_sorted.bam	SRR13160341_sorted.bam	SRR13160343_sorted.bam	SRR13160328_sorted.bam	SRR13160349_sorted.bam	SRR13160347_sorted.bam	SRR13160342_sorted.bam	SRR13160340_sorted.bam
gene-PA0012	NC_002516.2	15207	15473	+	267	6	5	35	20	0	3	6	5	8	83	6	0	183	5	22	25	8	22	16	45	1	10	8	18
gene-PA0013	NC_002516.2	15620	16273	+	654	31	78	311	209	12	61	103	34	37	207	9	4	361	9	288	218	75	68	39	316	10	28	19	42
gene-PA0014	NC_002516.2	16335	16607	-	273	4	8	33	34	1	3	16	3	9	103	4	0	164	2	32	36	11	21	11	34	1	8	7	8
gene-PA0015	NC_002516.2	16900	17217	-	318	11	15	83	80	3	16	18	26	67	164	13	0	165	11	81	105	18	41	64	116	9	16	33	46
gene-PA0016	NC_002516.2	17366	18739	-	1374	33	42	242	215	25	26	55	55	103	262	45	3	319	33	203	309	33	75	227	302	23	40	151	155
gene-PA0017	NC_002516.2	18767	20071	-	1305	16	15	87	92	8	16	13	31	50	209	16	0	117	13	109	174	21	23	77	186	12	15	74	40
gene-PA0018	NC_002516.2	20068	21012	-	945	9	10	48	60	4	9	14	18	16	228	3	3	136	3	53	99	11	33	24	88	6	23	17	17
gene-PA0019	NC_002516.2	21067	21573	-	507	49	64	250	280	11	65	106	65	133	133	23	7	220	20	278	334	45	128	100	346	9	24	68	109
gene-PA0020	NC_002516.2	21712	22737	+	1026	104	90	547	405	22	87	142	91	407	256	20	9	260	41	487	496	122	101	136	690	22	32	116	396
gene-PA0021	NC_002516.2	22872	23960	+	1089	0	3	13	5	0	0	1	0	7	108	0	0	60	0	8	8	1	8	5	12	2	5	5	14
gene-PA0022	NC_002516.2	24001	24558	+	558	30	58	209	181	13	31	57	45	65	324	19	1	168	19	154	221	53	34	52	216	7	10	32	74
gene-PA0023	NC_002516.2	24568	25545	-	978	22	19	109	74	14	17	47	20	182	390	15	0	294	13	122	115	31	73	69	114	7	34	44	145
gene-PA0024	NC_002516.2	25736	26653	+	918	26	38	324	173	14	36	78	35	69	361	28	4	300	20	367	337	43	112	81	373	6	36	55	90
gene-PA0025	NC_002516.2	26711	27535	+	825	15	17	118	90	7	17	19	21	79	299	18	2	221	15	236	171	24	59	89	223	8	15	43	99
gene-PA0026	NC_002516.2	27646	28632	+	987	14	27	106	57	11	9	30	10	116	448	18	1	335	9	82	76	18	74	53	109	8	39	38	156
gene-PA0027	NC_002516.2	28613	29899	+	1287	10	12	104	74	13	9	16	10	249	476	11	0	194	18	81	76	22	60	195	121	8	18	92	263
gene-PA0028	NC_002516.2	29896	30498	+	603	3	8	46	26	2	2	11	11	59	74	10	1	30	4	19	22	8	18	50	46	3	6	26	88
gene-PA0029	NC_002516.2	30502	32055	-	1554	6	8	56	27	1	7	7	8	49	382	5	1	146	5	21	22	5	27	44	40	1	26	12	41
gene-PA0030	NC_002516.2	32060	32983	-	924	4	5	13	12	2	8	6	9	8	349	3	0	114	2	11	8	5	21	9	13	0	11	3	8
gene-PA0031	NC_002516.2	33000	34511	-	1512	13	33	83	77	5	37	30	29	46	280	5	3	241	9	37	83	28	50	22	131	9	35	12	49
gene-PA0032	NC_002516.2	34624	35538	+	915	12	7	58	50	3	10	19	10	37	336	5	0	157	6	64	50	19	32	11	75	1	20	13	38
gene-PA0032a	NC_002516.2	35549	35926	+	378	6	13	54	55	2	3	25	11	83	228	7	0	99	5	60	49	15	34	30	64	2	4	41	72
gene-PA0033	NC_002516.2	35905	36270	-	366	5	8	49	37	2	5	7	8	79	202	3	0	105	6	41	44	11	15	26	57	3	8	23	53
gene-PA0034	NC_002516.2	36278	36901	-	624	6	4	38	28	2	4	7	5	55	140	3	2	140	3	46	34	10	28	26	28	3	19	16	33
gene-PA0035	NC_002516.2	37087	37893	-	807	4	20	58	46	6	9	13	11	52	177	4	0	149	1	46	46	11	40	33	55	2	16	23	43
gene-PA0036	NC_002516.2	37890	39098	-	1209	11	26	112	102	7	21	41	15	77	373	4	3	293	4	85	102	25	77	44	136	5	36	19	75
gene-PA0037	NC_002516.2	39202	40089	+	888	10	12	38	29	5	6	9	5	16	98	6	0	89	1	52	61	19	29	14	103	0	23	5	18
gene-PA0038	NC_002516.2	40190	40405	+	216	15	24	159	155	7	31	65	41	114	32	31	2	100	17	166	75	26	58	128	109	6	14	108	226
gene-PA0039	NC_002516.2	40589	40816	+	228	176	172	990	710	157	149	342	113	620	61	311	8	313	222	716	540	278	195	768	924	106	29	435	641
gene-PA0040	NC_002516.2	41113	42801	+	1689	6	14	86	53	5	12	14	21	23	390	11	2	324	14	56	82	18	60	44	69	5	42	17	48
gene-PA0041	NC_002516.2	42914	53521	+	10608	111	189	835	790	66	101	220	184	303	1815	74	12	1581	41	767	832	174	750	498	1005	39	179	161	497
gene-PA0041a	NC_002516.2	54121	54822	+	702	7	12	71	40	1	17	20	8	5	234	1	3	372	0	118	56	12	222	13	133	1	53	5	14
gene-PA0042	NC_002516.2	56546	56941	+	396	12	21	98	63	8	21	31	17	95	258	8	0	272	9	114	68	27	33	27	138	0	20	25	72
gene-PA0043	NC_002516.2	57212	58594	-	1383	6	6	26	28	0	4	8	9	27	385	4	0	207	2	20	34	12	32	12	48	1	36	11	16
gene-PA0044	NC_002516.2	58786	60159	+	1374	49	59	310	427	30	52	69	99	3251	428	100	4	395	348	220	436	65	100	481	626	91	48	1511	638
gene-PA0045	NC_002516.2	60656	61342	+	687	46	40	271	469	39	52	92	77	86	148	88	4	457	79	170	330	61	197	344	356	39	69	294	183
gene-PA0046	NC_002516.2	61373	61726	+	354	43	50	194	356	41	32	93	83	107	111	59	3	182	58	200	274	48	91	241	291	31	31	196	115
gene-PA0047	NC_002516.2	61879	62388	+	510	21	47	214	278	11	20	30	60	50	196	24	0	124	32	125	202	42	31	109	229	18	10	96	51
gene-PA0048	NC_002516.2	62403	62786	-	384	7	10	59	81	9	5	18	18	32	106	11	3	68	12	35	62	10	16	56	61	2	10	56	14
gene-PA0049	NC_002516.2	63068	64729	-	1662	16	17	66	64	4	9	12	15	25	286	6	1	226	8	27	51	12	27	32	49	3	28	35	18
gene-PA0050	NC_002516.2	65339	65479	+	141	3	5	20	28	78	3	8	11	167	119	95	0	170	38	20	17	6	96	216	23	42	21	86	212
gene-PA0051	NC_002516.2	66303	68135	+	1833	2	6	17	15	3	4	7	0	13	715	3	0	398	3	10	12	3	41	23	16	1	34	6	15
gene-PA0052	NC_002516.2	68188	68616	-	429	0	1	6	2	1	3	1	1	6	374	2	0	189	0	5	5	3	14	2	3	0	9	2	2
gene-PA0054	NC_002516.2	69543	70091	-	549	19	26	91	71	5	22	29	23	62	158	14	2	124	4	72	71	23	26	56	114	10	24	28	49
gene-PA0055	NC_002516.2	70130	70636	-	507	16	17	60	49	1	18	22	18	65	125	13	3	157	9	39	53	25	50	56	65	7	27	31	51
gene-PA0056	NC_002516.2	70702	71622	-	921	1	8	18	20	2	3	4	5	9	183	2	1	104	2	17	17	9	21	15	33	3	15	3	9
gene-PA0057	NC_002516.2	71730	72617	+	888	1	3	10	10	0	1	2	2	16	512	2	0	211	1	9	7	5	21	4	8	0	23	7	8
gene-PA0058	NC_002516.2	72680	73384	+	705	2	2	5	6	0	2	0	2	4	208	2	0	55	2	2	4	5	6	3	8	0	8	1	4
gene-PA0059	NC_002516.2	73468	73923	+	456	7	11	56	52	3	11	25	15	30	265	3	1	114	2	14	19	15	18	7	31	1	13	16	13
gene-PA0060	NC_002516.2	74034	74267	+	234	13	28	128	101	9	22	44	26	41	198	6	1	107	11	57	78	25	20	25	98	6	8	15	32
gene-PA0061	NC_002516.2	74279	74716	-	438	7	11	45	33	0	10	13	6	40	122	2	0	82	4	24	27	6	22	18	42	1	12	12	33
gene-PA0062	NC_002516.2	74773	75189	-	417	1	9	48	37	1	4	16	16	7	143	1	1	110	2	15	18	13	11	5	18	2	11	8	5
gene-PA0063	NC_002516.2	75281	76408	+	1128	9	16	79	45	4	5	21	19	48	177	7	1	138	5	82	46	12	31	26	67	3	15	16	30
gene-PA0064	NC_002516.2	76416	77399	-	984	10	19	70	65	5	15	27	15	50	261	11	2	149	6	63	69	13	28	45	104	5	22	24	46
gene-PA0065	NC_002516.2	77432	78097	-	666	7	9	65	45	3	8	15	3	32	316	9	1	228	4	45	59	16	35	11	75	4	26	13	44
gene-PA0066	NC_002516.2	78090	78632	-	543	9	13	57	55	6	8	16	17	34	323	13	1	251	3	57	85	19	43	20	96	2	27	9	49
gene-PA0067	NC_002516.2	78710	80755	+	2046	40	44	235	268	20	51	58	57	361	967	25	5	530	29	259	263	59	143	128	310	11	52	148	268
gene-PA0068	NC_002516.2	80752	81027	+	276	10	9	66	47	5	17	22	11	151	325	9	0	123	9	57	64	8	41	39	53	1	7	41	78
gene-PA0069	NC_002516.2	81116	82174	+	1059	7	12	76	72	6	9	9	20	24	388	7	2	254	7	50	77	17	41	28	81	3	28	13	19
gene-PA0070	NC_002516.2	82404	83318	-	915	143	264	1349	1614	178	153	382	449	811	279	297	12	924	253	954	1212	294	1171	1006	1214	89	80	669	1005
gene-PA0071	NC_002516.2	83380	85092	-	1713	85	145	776	732	65	124	233	227	389	384	130	6	479	55	882	767	146	374	397	928	30	85	242	566
gene-PA0072	NC_002516.2	85085	86284	-	1200	2	5	67	26	1	4	7	8	21	134	2	1	67	0	63	59	4	9	26	74	0	9	13	26
gene-PA0073	NC_002516.2	86284	87003	-	720	0	8	57	23	1	2	3	7	22	44	2	0	20	1	27	34	2	18	10	48	1	11	6	7
gene-PA0074	NC_002516.2	87000	90098	-	3099	20	38	278	217	21	22	41	59	124	794	23	1	423	17	209	266	43	149	133	284	14	47	108	95
gene-PA0075	NC_002516.2	90106	90834	-	729	4	12	103	70	5	9	6	20	41	272	8	0	120	5	97	77	13	56	58	94	5	16	35	34
gene-PA0076	NC_002516.2	90844	91524	-	681	5	9	43	42	3	8	6	17	26	138	9	0	63	4	55	49	8	26	42	65	6	11	20	40
gene-PA0077	NC_002516.2	91521	94826	-	3306	47	74	469	444	34	49	55	83	153	1083	43	5	510	34	452	575	103	150	222	577	22	58	124	145
gene-PA0078	NC_002516.2	95048	96397	-	1350	9	25	164	108	7	13	18	29	46	228	13	1	135	8	86	126	21	41	46	153	6	16	37	41
gene-PA0079	NC_002516.2	96404	97738	-	1335	10	28	128	91	9	14	24	31	57	361	9	2	179	11	125	137	15	51	52	140	6	22	50	34
gene-PA0080	NC_002516.2	97754	98218	-	465	9	12	76	52	4	7	9	17	15	187	4	0	144	7	63	60	11	28	20	74	3	13	11	16
gene-PA0081	NC_002516.2	98263	99756	-	1494	40	34	248	153	15	26	67	61	165	138	27	3	238	19	313	194	39	105	92	325	13	36	70	157
gene-PA0082	NC_002516.2	100124	101158	+	1035	69	103	604	420	35	51	131	153	129	157	42	8	157	28	711	443	114	106	126	591	18	34	66	209
gene-PA0083	NC_002516.2	101247	101765	+	519	64	107	441	527	62	51	119	139	272	152	105	8	327	73	446	410	121	559	355	502	29	53	221	288
gene-PA0084	NC_002516.2	101778	103274	+	1497	170	356	1516	1676	183	176	392	425	568	451	279	17	899	159	1378	1343	399	1293	947	1474	96	114	603	1045
gene-PA0085	NC_002516.2	103350	103838	+	489	259	528	2431	2357	147	222	628	422	645	126	179	14	529	119	1965	1918	602	1045	761	2329	85	35	429	740
gene-PA0086	NC_002516.2	104006	104851	+	846	21	62	269	190	19	24	45	86	89	147	35	2	103	14	255	226	59	120	156	319	14	21	99	92
gene-PA0087	NC_002516.2	104853	105362	+	510	14	23	85	92	11	6	13	29	28	335	7	0	119	7	72	87	22	55	59	104	2	9	26	45
gene-PA0088	NC_002516.2	105359	107218	+	1860	18	58	171	154	25	11	46	27	58	436	25	6	256	9	207	202	42	117	125	215	3	31	46	85
gene-PA0089	NC_002516.2	107182	108228	+	1047	13	41	167	127	10	13	57	30	40	318	21	5	236	6	267	241	52	68	94	230	6	25	47	63
gene-PA0090	NC_002516.2	108221	110929	+	2709	52	100	542	419	45	48	100	106	148	516	34	6	671	24	463	481	109	444	304	575	26	63	168	207
gene-PA0091	NC_002516.2	110976	112907	+	1932	36	66	505	403	33	42	96	80	122	443	40	5	599	24	500	510	104	346	273	491	14	49	108	215
gene-PA0092	NC_002516.2	113022	113306	-	285	7	16	80	84	7	11	29	18	24	111	9	1	119	7	127	85	27	59	46	102	1	12	35	48
gene-PA0093	NC_002516.2	113303	114595	-	1293	26	45	189	106	11	31	81	35	58	200	36	2	184	17	232	146	55	54	45	184	11	25	35	57
gene-PA0094	NC_002516.2	114611	115045	-	435	8	5	40	24	3	6	11	7	17	165	7	0	110	6	60	53	7	21	10	61	5	14	5	9
gene-PA0095	NC_002516.2	115299	117524	+	2226	45	53	352	236	28	56	67	55	240	678	44	1	581	27	287	291	61	236	151	380	13	66	84	261
gene-PA0096	NC_002516.2	117552	118001	+	450	6	5	33	24	3	8	7	6	19	105	2	0	108	4	17	30	10	26	25	41	2	19	13	22
gene-PA0097	NC_002516.2	117931	119130	+	1200	4	8	56	43	2	7	12	10	43	199	8	0	147	9	35	42	13	44	38	43	2	34	20	26
gene-PA0098	NC_002516.2	119127	120164	+	1038	3	9	50	14	5	0	7	8	14	181	4	1	107	3	26	19	10	18	9	27	1	7	6	14
gene-PA0099	NC_002516.2	120164	121324	+	1161	14	28	132	94	15	7	42	27	50	202	22	1	414	17	64	65	20	152	121	89	7	38	56	111
gene-PA0100	NC_002516.2	121346	122266	+	921	24	59	252	217	20	37	90	59	229	145	38	5	332	29	190	202	59	218	277	212	13	29	124	235
gene-PA0101	NC_002516.2	122248	123495	+	1248	16	25	111	79	6	9	15	36	58	176	10	3	138	11	62	76	24	35	71	95	6	11	38	61
gene-PA0102	NC_002516.2	123871	124599	+	729	22	17	86	85	32	20	23	19	99	221	67	3	186	46	78	97	28	61	161	126	7	16	108	119
gene-PA0103	NC_002516.2	124810	126381	+	1572	6	6	41	9	10	7	8	7	20	379	11	1	264	8	31	29	12	41	22	39	3	26	8	13
gene-PA0103a	NC_002516.2	126368	127006	-	639	3	7	38	19	9	11	10	4	43	155	16	1	215	9	34	39	5	45	18	50	5	28	17	44
gene-PA0105	NC_002516.2	127378	128502	+	1125	13	15	55	26	5	9	18	14	118	189	20	0	295	16	50	26	18	70	100	65	1	38	85	80
gene-PA0106	NC_002516.2	128512	130104	+	1593	5	5	27	33	3	9	17	5	41	415	6	2	446	6	29	27	9	71	20	39	4	47	19	35
gene-PA0107	NC_002516.2	130115	130669	+	555	1	2	11	5	0	1	4	0	11	226	0	0	168	1	8	6	3	22	4	5	1	13	3	5
gene-PA0108	NC_002516.2	130680	131567	+	888	1	7	18	15	1	4	9	6	69	162	6	0	274	8	30	10	6	65	39	23	3	20	29	53
gene-PA0109	NC_002516.2	131583	131792	-	210	2	4	9	3	1	3	11	3	34	43	4	0	78	4	20	5	3	35	15	8	2	4	12	27
gene-PA0110	NC_002516.2	131808	132602	+	795	3	4	12	8	1	1	8	3	17	199	1	0	120	3	7	4	2	35	10	13	1	14	6	18
gene-PA0111	NC_002516.2	132577	133155	+	579	0	1	1	4	0	1	1	1	7	228	2	0	82	0	2	1	1	15	8	5	0	10	2	4
gene-PA0112	NC_002516.2	133220	134293	+	1074	2	4	12	10	0	1	1	1	9	300	2	0	143	1	5	10	5	22	4	7	0	19	4	10
gene-PA0113	NC_002516.2	134319	135233	+	915	6	6	28	28	1	3	4	8	27	200	5	0	172	1	30	36	12	32	14	55	0	21	8	30
gene-PA0114	NC_002516.2	135259	135894	+	636	7	11	96	82	6	9	18	24	85	338	9	3	261	11	62	82	19	74	43	101	6	38	27	70
gene-PA0115	NC_002516.2	135934	136386	-	453	23	14	155	110	6	16	27	22	98	308	9	3	190	19	116	131	20	43	66	159	4	16	38	112
gene-PA0116	NC_002516.2	136518	136991	+	474	14	28	79	80	15	26	27	18	72	177	7	1	166	16	84	59	24	59	51	96	7	16	26	66
gene-PA0117	NC_002516.2	137248	137976	+	729	5	4	29	28	1	6	6	6	10	168	1	0	137	1	25	17	8	33	7	52	0	24	6	5
gene-PA0118	NC_002516.2	138001	138588	+	588	4	11	19	13	1	6	10	3	6	291	0	1	231	2	19	8	8	53	2	28	0	41	2	7
gene-PA0119	NC_002516.2	138818	140167	+	1350	9	11	84	52	1	12	23	12	22	228	1	0	264	5	63	57	14	91	12	76	1	28	2	23
gene-PA0120	NC_002516.2	140216	140902	+	687	4	4	54	31	3	7	9	11	50	360	3	1	149	1	26	17	8	43	14	24	1	11	9	20
gene-PA0121	NC_002516.2	141003	141737	+	735	6	11	39	36	1	8	5	7	22	178	2	1	130	2	26	28	5	33	11	46	1	16	8	23
gene-PA0122	NC_002516.2	141917	142327	+	411	12	24	188	97	35	12	49	15	103	210	128	1	234	24	90	100	23	339	627	140	3	20	54	887
gene-PA0123	NC_002516.2	142359	143267	-	909	8	16	39	31	3	8	14	7	22	421	8	1	231	3	37	61	16	40	42	55	2	18	5	52
gene-PA0124	NC_002516.2	143567	143848	-	282	3	7	29	21	2	5	15	8	17	104	3	0	105	3	22	31	11	17	13	35	3	13	5	22
gene-PA0125	NC_002516.2	143845	144072	-	228	11	10	31	20	3	7	13	8	16	72	3	2	81	2	17	48	13	14	6	48	0	7	5	15
gene-PA0126	NC_002516.2	144248	144868	-	621	5	22	43	51	5	11	10	13	11	275	8	3	170	4	40	42	19	55	11	36	6	19	8	12
gene-PA0127	NC_002516.2	144969	145469	+	501	3	4	36	37	2	7	13	8	29	344	1	1	191	4	35	42	19	15	21	39	2	15	7	29
gene-PA0128	NC_002516.2	145542	145883	+	342	33	56	505	609	10	51	102	96	13	119	9	4	190	16	361	563	78	31	17	497	4	18	13	31
gene-PA0129	NC_002516.2	145965	147392	-	1428	29	48	131	182	7	26	61	23	38	293	11	3	370	7	86	106	48	56	48	123	5	41	19	26
gene-PA0130	NC_002516.2	147561	149054	-	1494	12	14	74	46	5	14	29	12	54	467	8	1	468	7	42	33	15	83	64	42	7	56	47	31
gene-PA0131	NC_002516.2	149138	149425	-	288	5	10	61	34	1	6	15	17	22	285	0	0	159	3	22	26	16	27	14	43	2	8	11	16
gene-PA0132	NC_002516.2	149425	150771	-	1347	7	13	55	32	1	8	14	7	23	519	9	0	288	10	30	28	19	38	37	38	2	27	21	24
gene-PA0133	NC_002516.2	150906	151823	+	918	4	14	39	43	3	13	18	8	36	284	4	0	210	5	23	38	12	19	10	45	2	18	16	19
gene-PA0134	NC_002516.2	151936	153306	-	1371	7	18	69	35	4	14	16	12	28	530	1	1	335	5	27	43	17	67	20	43	2	34	15	23
gene-PA0135	NC_002516.2	153696	153836	+	141	0	0	0	3	0	0	2	0	1	66	0	0	93	0	3	1	1	21	1	3	0	12	2	2
gene-PA0136	NC_002516.2	154417	155988	+	1572	3	6	26	10	3	2	4	3	14	417	1	1	264	1	23	21	8	31	7	28	2	27	7	9
gene-PA0137	NC_002516.2	155988	157085	+	1098	0	10	13	6	1	4	2	4	5	237	0	0	150	1	9	8	8	20	0	9	0	21	2	5
gene-PA0138	NC_002516.2	157108	158034	+	927	3	6	26	9	3	2	6	5	17	211	1	0	149	1	10	10	6	23	9	18	0	15	1	8
gene-PA0139	NC_002516.2	158199	158762	+	564	64	59	314	377	52	97	130	155	410	253	74	17	348	107	265	299	67	306	357	462	62	32	378	356
gene-PA0140	NC_002516.2	158907	160472	+	1566	38	43	440	268	28	29	47	81	131	402	27	4	368	47	157	214	57	186	160	305	28	28	111	117
gene-PA0141	NC_002516.2	160552	161448	-	897	17	50	513	332	2	34	160	168	22	199	13	6	543	4	157	114	34	414	33	119	2	53	21	24
gene-PA0142	NC_002516.2	161906	163255	+	1350	7	7	47	19	3	8	13	13	12	417	4	0	222	6	60	34	19	37	28	60	3	29	20	17
gene-PA0143	NC_002516.2	163363	164415	+	1053	15	19	103	90	5	14	20	20	24	243	5	2	223	4	86	130	25	45	36	160	3	24	20	41
gene-PA0144	NC_002516.2	164443	165069	-	627	8	10	57	45	0	3	6	10	17	164	2	0	62	5	63	70	7	7	16	100	1	13	11	21
gene-PA0145	NC_002516.2	165219	165737	-	519	6	10	31	23	1	2	9	11	13	190	0	0	89	2	19	19	8	12	9	30	1	6	7	10
gene-PA0146	NC_002516.2	165976	167073	+	1098	3	11	31	23	6	5	14	5	15	373	4	0	246	2	33	23	14	31	9	33	0	22	5	7
gene-PA0147	NC_002516.2	167146	168108	+	963	4	5	25	13	1	5	7	7	19	466	2	1	267	1	18	16	5	33	10	19	1	22	3	23
gene-PA0148	NC_002516.2	168213	169163	+	951	14	19	87	89	5	25	38	26	36	264	8	1	247	7	70	89	15	52	69	119	5	21	40	35
gene-PA0149	NC_002516.2	169361	169906	+	546	5	20	15	11	3	5	3	6	98	84	1	0	55	0	19	22	11	11	9	31	0	4	11	86
gene-PA0150	NC_002516.2	169903	170898	+	996	10	22	25	19	3	5	5	7	66	58	5	0	62	0	29	31	10	16	7	59	1	12	9	59
gene-PA0151	NC_002516.2	171047	173434	+	2388	9	11	40	32	4	4	18	9	37	473	4	0	344	5	27	22	12	50	22	46	3	46	16	35
gene-PA0152	NC_002516.2	173811	174638	+	828	12	21	53	34	1	15	5	5	21	341	2	1	138	0	25	67	22	28	10	97	1	12	10	13
gene-PA0153	NC_002516.2	174773	175492	+	720	1	10	16	18	2	3	4	3	8	472	3	0	246	2	11	13	8	43	9	11	1	23	8	11
gene-PA0154	NC_002516.2	175503	176108	+	606	4	2	29	21	1	5	22	9	15	238	5	1	142	3	34	29	10	27	21	25	0	15	19	10
gene-PA0155	NC_002516.2	176315	177154	+	840	5	6	19	26	4	5	9	4	17	322	3	1	261	6	20	30	5	39	4	36	1	31	8	4
gene-PA0156	NC_002516.2	177307	178458	+	1152	23	28	155	124	4	18	18	31	57	320	14	2	175	12	74	199	36	25	38	217	5	15	29	53
gene-PA0157	NC_002516.2	178455	179525	+	1071	7	13	68	77	2	10	11	17	39	296	10	1	179	10	44	74	18	21	36	99	2	9	27	41
gene-PA0158	NC_002516.2	179522	182569	+	3048	51	65	386	395	39	57	138	80	236	791	44	2	772	40	306	435	76	173	180	475	22	70	112	210
gene-PA0159	NC_002516.2	182768	183706	+	939	10	19	64	76	2	12	17	22	31	313	7	0	211	7	60	79	15	22	30	107	4	15	32	36
gene-PA0160	NC_002516.2	183822	184007	+	186	5	1	9	8	3	2	10	3	7	44	2	0	96	2	17	12	1	22	7	16	1	12	6	12
gene-PA0162	NC_002516.2	184594	185928	+	1335	19	37	158	274	5	39	48	65	18	404	3	7	441	5	149	303	46	96	30	371	3	28	24	21
gene-PA0163	NC_002516.2	185957	186754	-	798	4	6	36	37	3	4	9	11	24	400	2	0	213	3	60	51	12	33	10	61	1	16	6	17
gene-PA0164	NC_002516.2	186832	188448	+	1617	8	11	189	91	3	4	11	14	15	176	2	0	183	2	196	109	10	37	12	113	3	24	7	33
gene-PA0165	NC_002516.2	189120	189956	+	837	9	19	47	76	7	17	29	22	4	155	12	1	195	3	35	66	11	54	14	92	5	19	7	6
gene-PA0166	NC_002516.2	190198	191604	+	1407	6	4	13	13	2	7	4	4	15	442	2	0	261	5	19	12	7	32	11	16	1	31	6	9
