# Program:featureCounts v2.0.1; Command:"featureCounts" "-p" "-M" "-O" "--primary" "-a" "dualGenome.gff3" "-t" "gene" "-o" "countData.tsv" "-g" "ID" "SRR13084800_sorted.bam" "SRR13084797_sorted.bam" "SRR13084802_sorted.bam" "SRR13084812_sorted.bam" "SRR13084807_sorted.bam" "SRR13084801_sorted.bam" "SRR13084804_sorted.bam" "SRR13084811_sorted.bam" "SRR13084799_sorted.bam" "SRR13084805_sorted.bam" "SRR13084813_sorted.bam" "SRR13084814_sorted.bam" "SRR13084810_sorted.bam" "SRR13084815_sorted.bam" "SRR13084796_sorted.bam" "SRR13084795_sorted.bam" "SRR13084798_sorted.bam" "SRR13084809_sorted.bam" "SRR13084794_sorted.bam" "SRR13084808_sorted.bam" "SRR13084793_sorted.bam" "SRR13084806_sorted.bam" "SRR13084803_sorted.bam" "SRR13084816_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR13084800_sorted.bam	SRR13084797_sorted.bam	SRR13084802_sorted.bam	SRR13084812_sorted.bam	SRR13084807_sorted.bam	SRR13084801_sorted.bam	SRR13084804_sorted.bam	SRR13084811_sorted.bam	SRR13084799_sorted.bam	SRR13084805_sorted.bam	SRR13084813_sorted.bam	SRR13084814_sorted.bam	SRR13084810_sorted.bam	SRR13084815_sorted.bam	SRR13084796_sorted.bam	SRR13084795_sorted.bam	SRR13084798_sorted.bam	SRR13084809_sorted.bam	SRR13084794_sorted.bam	SRR13084808_sorted.bam	SRR13084793_sorted.bam	SRR13084806_sorted.bam	SRR13084803_sorted.bam	SRR13084816_sorted.bam
gene-b0023	U00096.3	20815	21078	-	264	31941	2757	12592	5817	7349	38566	2534	794	1585	1234	8446	6050	694	2056	10939	26024	3324	1882	30877	5397	934	6228	3406	1707
gene-b0024	U00096.3	21181	21399	+	219	2834	120	842	492	535	2827	110	38	112	39	693	355	29	69	845	1826	81	63	6872	265	22	453	124	58
gene-b0025	U00096.3	21407	22348	+	942	6182	141	883	1098	1437	6185	223	65	189	104	1368	555	50	176	463	3674	197	85	4842	444	75	1083	303	86
gene-b0026	U00096.3	22391	25207	+	2817	26116	965	4606	4435	7711	37441	967	565	790	397	6895	4194	469	1372	2851	17685	1225	785	10667	3809	609	5042	1176	685
gene-b0027	U00096.3	25207	25701	+	495	3208	212	1005	439	781	5225	200	70	180	75	729	525	71	150	586	2252	236	102	1399	487	72	538	247	77
gene-b0028	U00096.3	25826	26275	+	450	1876	81	314	466	973	2937	109	44	112	39	958	431	35	120	224	1377	88	61	702	419	64	499	121	52
gene-b0029	U00096.3	26277	27227	+	951	3034	135	587	670	1379	4636	153	82	191	51	1142	609	89	192	342	2321	178	124	1413	552	84	702	216	105
gene-b0030	U00096.3	27293	28207	+	915	397	66	278	48	105	633	100	16	160	28	99	87	6	29	109	277	78	15	204	39	9	50	145	9
gene-b0031	U00096.3	28374	29195	+	822	1189	105	392	571	733	1130	92	28	175	40	713	436	22	116	185	335	105	81	365	350	42	709	171	55
gene-b0032	U00096.3	29651	30799	+	1149	111953	1173	4138	5288	2781	49367	1768	29	895	686	2669	597	56	265	2572	27846	1945	115	69701	535	80	5759	1660	139
gene-b0033	U00096.3	30817	34038	+	3222	346975	8184	40243	16240	13588	394721	9297	382	4019	3958	11738	5319	480	1642	25676	186079	9839	996	158867	5263	628	20144	9210	819
gene-b0034	U00096.3	34300	34695	+	396	2696	110	467	186	98	2396	94	7	116	45	105	35	7	13	263	1328	106	10	2048	50	3	198	122	6
gene-b0035	U00096.3	34781	35371	-	591	438	62	203	31	15	402	52	3	119	31	24	20	2	9	84	250	59	4	377	15	0	38	109	2
gene-b0036	U00096.3	35377	36162	-	786	71	41	198	11	16	167	82	0	108	23	18	6	1	5	50	56	46	1	50	10	1	25	112	3
gene-b0037	U00096.3	36271	37824	-	1554	400	71	390	47	67	565	139	7	217	51	57	34	3	6	114	289	113	4	318	24	3	38	259	6
gene-b0038	U00096.3	37898	39115	-	1218	251	74	326	27	84	409	140	4	197	44	64	33	0	10	89	173	86	7	165	31	6	32	213	6
gene-b0039	U00096.3	39244	40386	-	1143	304	70	295	37	58	435	96	3	180	47	64	40	3	9	92	194	95	6	199	27	7	45	168	5
gene-b0040	U00096.3	40417	41931	-	1515	133	87	394	3	11	289	208	1	272	99	12	3	2	2	83	111	134	3	82	3	2	7	316	1
gene-b0041	U00096.3	42403	43173	+	771	46	36	178	8	8	148	94	2	133	28	10	7	0	0	36	45	43	0	54	2	0	5	124	1
gene-b0042	U00096.3	43188	44129	+	942	67	53	213	7	5	145	95	0	122	30	7	9	1	3	41	51	57	3	58	7	1	4	105	1
gene-b0043	U00096.3	44180	45466	+	1287	93	79	314	7	7	229	180	1	237	55	6	6	1	5	81	100	95	4	79	2	1	4	215	1
gene-b0044	U00096.3	45463	45750	+	288	27	26	92	1	0	83	47	1	82	15	2	1	0	2	20	31	22	0	19	2	0	1	62	0
gene-b0045	U00096.3	45807	47138	+	1332	87	103	325	4	10	251	183	1	268	68	11	7	1	6	82	81	103	3	88	1	1	3	230	3
gene-b0046	U00096.3	47246	47776	+	531	274	38	172	48	67	285	77	3	94	31	49	25	0	5	44	146	52	4	247	23	5	53	89	9
gene-b0047	U00096.3	47769	49631	+	1863	822	148	609	120	200	1347	286	18	456	128	169	56	12	30	180	608	176	26	452	62	7	163	362	18
gene-b0048	U00096.3	49823	50302	+	480	2416	95	343	249	227	1576	107	22	99	42	248	135	23	67	188	968	87	37	2240	81	21	286	127	48
gene-b0049	U00096.3	50380	51222	-	843	2005	112	465	206	531	2089	176	31	202	79	489	201	26	85	167	1061	137	47	1148	145	23	239	216	45
gene-b0050	U00096.3	51229	51606	-	378	1896	87	390	238	480	2019	98	36	95	46	442	222	17	69	224	1098	100	43	1025	188	18	225	136	32
gene-b0051	U00096.3	51609	52430	-	822	4944	202	770	761	1321	4946	229	74	241	93	1284	626	71	243	429	2716	256	132	2738	550	70	729	284	110
gene-b0052	U00096.3	52427	53416	-	990	3911	219	907	670	1195	4104	204	63	238	112	1136	529	45	165	483	1867	190	130	2151	433	64	649	321	105
gene-b0053	U00096.3	53416	54702	-	1287	10475	402	1595	2073	3138	15957	388	236	364	178	3031	1197	207	529	1140	8596	596	343	4795	1068	232	2211	495	318
gene-b0054	U00096.3	54755	57109	-	2355	15493	417	1805	2359	3158	14994	572	146	517	259	3321	883	160	393	875	8908	560	251	10292	735	206	2320	680	272
gene-b0055	U00096.3	57364	58179	+	816	977	76	374	201	281	1237	124	12	169	74	243	105	13	62	151	646	88	33	838	102	14	212	176	37
gene-b0056	U00096.3	58474	59124	+	651	637	80	347	172	187	1195	111	21	114	37	259	106	28	33	239	754	65	40	826	140	14	180	129	23
gene-b0057	U00096.3	59121	59279	+	159	270	50	240	91	94	441	37	11	26	15	114	58	10	20	169	279	34	23	589	75	4	80	50	16
gene-b0058	U00096.3	59687	60346	-	660	1143	183	598	206	425	1843	181	72	210	87	383	309	64	150	327	1093	177	108	673	255	80	212	263	97
gene-b0059	U00096.3	60358	63264	-	2907	4549	263	1230	966	2021	7767	361	216	427	173	1832	1109	166	529	721	4238	361	265	2232	847	267	1010	450	342
gene-b0060	U00096.3	63429	65780	-	2352	645	137	516	74	231	787	244	9	355	90	197	68	8	28	154	331	173	4	483	45	14	78	322	16
gene-b0061	U00096.3	65855	66550	-	696	56	38	173	10	6	124	69	1	126	32	5	6	2	2	28	50	43	1	85	7	2	6	95	1
gene-b0062	U00096.3	66835	68337	-	1503	138	100	349	13	25	373	167	2	243	72	19	10	1	4	84	128	99	2	121	12	1	27	224	5
gene-b0063	U00096.3	68348	70048	-	1701	106	89	339	12	7	284	174	1	295	61	8	4	1	7	100	94	87	3	97	6	0	15	229	1
gene-b0064	U00096.3	70387	71265	+	879	161	84	282	39	32	270	127	10	188	50	32	18	8	11	82	126	84	8	159	19	7	55	176	9
gene-b0065	U00096.3	71351	72115	+	765	177	73	214	54	113	264	105	7	191	54	107	48	11	16	62	134	67	15	169	50	7	79	150	11
gene-b0066	U00096.3	72229	72927	-	699	325	54	187	55	79	343	114	8	138	43	86	22	9	19	56	201	70	10	191	27	4	75	122	9
gene-b0067	U00096.3	72911	74521	-	1611	625	120	505	73	160	855	258	10	336	108	175	62	9	38	156	428	135	18	498	53	21	100	309	21
gene-b0068	U00096.3	74497	75480	-	984	1217	94	422	153	195	1098	152	12	248	61	188	78	12	29	153	666	118	25	924	73	21	168	186	22
gene-b4762	U00096.3	75516	75608	-	93	344	358	1040	32	47	350	347	12	210	167	35	16	7	12	498	366	373	15	988	27	9	36	489	12
gene-b0069	U00096.3	75644	77299	-	1656	782	135	505	96	126	961	232	11	294	105	126	57	10	34	196	556	131	30	700	49	15	82	309	18
gene-b4577	U00096.3	77367	77593	+	227	149	96	257	23	32	185	79	16	78	43	26	31	10	16	121	141	59	12	371	25	12	39	131	9
gene-b4662	U00096.3	77388	77519	+	132	135	93	238	23	32	169	64	16	54	39	25	30	10	15	115	133	48	12	351	25	11	38	116	9
gene-b0070	U00096.3	77621	78799	+	1179	291	81	315	95	59	429	150	12	231	71	73	44	8	21	102	194	73	12	296	33	9	162	230	16
gene-b0071	U00096.3	78848	79453	-	606	958	129	459	682	993	2356	104	57	145	41	865	648	46	161	342	1364	102	102	576	556	71	693	160	72
gene-b0072	U00096.3	79464	80864	-	1401	2299	233	1058	1467	2389	6104	258	93	280	109	2119	1304	64	394	561	3240	197	193	1450	1208	151	1414	377	168
gene-b0073	U00096.3	80867	81958	-	1092	2332	213	896	1077	1778	5440	205	72	232	115	1713	857	69	246	498	2907	169	159	1534	732	118	1126	320	108
gene-b0074	U00096.3	81958	83529	-	1572	2410	172	590	1031	1612	3967	200	64	249	80	1529	529	49	173	307	2088	192	110	1484	452	92	1124	285	92
gene-b0075	U00096.3	83622	83708	-	87	2932	253	1082	423	182	1585	104	10	110	194	190	67	5	2	456	1255	85	6	14923	48	0	512	223	10
gene-b0076	U00096.3	84368	85312	+	945	80	51	196	5	23	342	64	3	98	31	27	16	1	0	52	196	44	4	86	9	1	12	103	1
gene-b4726	U00096.3	85467	85511	-	45	10	5	23	0	1	25	11	0	16	5	1	0	0	0	9	10	9	0	8	0	1	1	26	0
gene-b0077	U00096.3	85630	87354	+	1725	2528	203	796	1351	2101	3593	232	64	328	85	1985	784	75	233	300	922	237	183	981	704	106	1664	419	132
gene-b0078	U00096.3	87357	87848	+	492	659	55	218	674	876	1440	53	40	85	29	903	386	38	98	87	395	57	67	228	374	31	695	102	44
gene-b0080	U00096.3	88028	89032	+	1005	2324	113	528	400	721	2547	147	47	143	52	692	258	28	85	219	1184	115	45	1038	197	30	436	226	65
gene-b0081	U00096.3	89634	90092	+	459	2102	194	581	457	472	2152	212	35	171	65	475	216	39	92	380	1287	261	75	1341	181	56	552	270	65
gene-b0082	U00096.3	90094	91035	+	942	3200	119	504	669	832	3550	172	72	261	88	703	282	51	128	251	1930	164	89	1856	185	65	714	272	71
gene-b0083	U00096.3	91032	91397	+	366	1320	277	1133	219	345	1731	224	33	217	163	319	154	17	58	464	1166	225	46	1459	146	29	231	386	36
gene-b0084	U00096.3	91413	93179	+	1767	3874	3173	8807	877	1334	5451	1937	319	1563	1353	1349	934	256	612	3568	3640	1361	420	10129	795	285	1095	3343	294
gene-b4810	U00096.3	92485	92658	+	174	1995	3039	8340	495	762	3099	1776	286	1334	1282	771	766	220	524	3347	2281	1227	365	8655	654	246	664	3101	254
gene-b0085	U00096.3	93166	94653	+	1488	2920	258	841	909	1339	3662	303	78	289	110	1128	444	68	212	405	1654	264	109	1529	410	108	1012	408	113
gene-b0086	U00096.3	94650	96008	+	1359	2523	151	557	638	1151	2821	182	62	249	70	1039	383	69	168	232	1181	160	95	964	301	81	675	290	82
gene-b0087	U00096.3	96002	97084	+	1083	1789	134	546	417	860	2529	200	59	237	61	773	310	57	112	179	978	166	81	823	241	52	467	273	72
gene-b0088	U00096.3	97087	98403	+	1317	2220	131	500	554	1312	3251	212	77	203	89	1133	440	75	150	177	1301	178	121	1048	359	91	656	294	82
gene-b0089	U00096.3	98403	99647	+	1245	1704	151	539	358	902	2446	169	46	229	92	767	312	30	110	210	1246	158	61	994	248	53	411	264	64
gene-b0090	U00096.3	99644	100711	+	1068	1919	144	503	577	1071	2528	176	52	247	68	1015	346	49	152	221	1224	153	101	1336	332	71	557	257	67
gene-b0091	U00096.3	100765	102240	+	1476	4537	205	745	817	1500	6027	252	88	247	75	1409	571	81	218	406	3361	268	149	2867	442	107	922	314	126
gene-b0092	U00096.3	102233	103153	+	921	2806	160	535	715	1108	3888	170	76	196	83	1051	395	69	149	303	2333	160	113	1969	381	72	851	225	90
gene-b0093	U00096.3	103155	103985	+	831	1829	122	464	783	932	2478	159	57	162	74	973	326	45	146	229	1359	140	97	1472	329	64	927	232	44
gene-b0094	U00096.3	103982	105244	+	1263	1995	139	527	1213	1568	1917	170	119	248	76	1459	532	79	235	236	825	152	177	1077	505	98	1542	268	103
gene-b4840	U00096.3	104948	105499	-	552	1773	70	256	1149	1528	1277	68	107	101	35	1455	609	76	239	103	327	78	162	400	552	116	1366	101	119
gene-b0095	U00096.3	105305	106456	+	1152	6807	263	818	1955	3153	5866	300	192	298	115	2876	1337	168	500	524	2037	283	318	2157	1227	236	2295	349	259
gene-b0096	U00096.3	106557	107474	+	918	19866	1078	3432	3108	4876	22895	855	391	645	320	4668	2144	406	821	2448	14058	1496	715	9854	1875	345	3916	1024	649
gene-b0097	U00096.3	107705	108217	+	513	2837	448	1019	390	754	3366	325	51	248	171	872	338	49	115	584	1898	240	74	2388	279	52	286	468	65
gene-b0098	U00096.3	108279	110984	+	2706	13706	650	3535	3750	5937	28892	779	372	629	344	6395	3351	406	1178	2649	15067	891	708	7063	3118	484	3936	921	622
gene-b0099	U00096.3	111044	111433	+	390	344	33	138	92	200	417	55	8	96	38	217	118	7	32	63	213	48	12	307	90	16	102	78	25
gene-b0101	U00096.3	111649	111846	-	198	675	31	133	77	127	617	31	9	36	14	105	69	10	14	70	410	32	24	427	41	7	96	61	10
gene-b0102	U00096.3	111856	112599	-	744	1741	77	285	222	318	1566	92	18	107	50	328	104	24	56	117	994	79	38	1022	76	19	241	129	34
gene-b0103	U00096.3	112599	113219	-	621	1046	60	177	165	165	790	76	16	84	22	184	40	6	22	102	554	54	13	873	46	14	160	86	13
gene-b4727	U00096.3	113244	113288	+	45	112	11	48	22	11	66	7	1	7	6	24	7	1	1	34	64	5	2	278	1	0	20	10	0
gene-b0104	U00096.3	113444	114487	+	1044	9650	282	1110	1328	1244	9675	406	73	308	166	1121	443	65	203	700	5691	343	112	5807	387	88	1481	405	120
gene-b0106	U00096.3	114522	115724	-	1203	172	67	290	25	41	300	138	6	213	46	46	16	5	9	99	125	74	7	204	18	1	31	183	5
gene-b0107	U00096.3	115714	117099	-	1386	194	71	336	20	50	358	157	3	157	49	50	14	1	11	88	160	93	4	237	15	2	15	188	3
gene-b0108	U00096.3	117109	117549	-	441	40	23	116	4	5	102	55	0	62	18	11	4	0	0	39	33	31	1	32	2	0	3	73	0
gene-b0109	U00096.3	117752	118645	-	894	1719	76	348	245	205	1266	118	17	142	41	191	61	16	37	139	652	90	20	1044	47	17	297	175	21
gene-b0110	U00096.3	118733	119284	+	552	469	48	181	153	179	508	70	10	86	25	187	43	11	30	73	241	60	10	359	45	14	161	104	9
gene-b0111	U00096.3	119281	120135	+	855	534	53	234	124	167	786	111	11	162	60	148	51	10	24	75	441	83	14	354	34	10	134	151	16
gene-b0112	U00096.3	120178	121551	-	1374	1283	137	464	371	503	2079	234	22	253	98	472	188	25	62	190	1147	198	43	800	129	34	364	285	41
gene-b0113	U00096.3	122092	122856	+	765	4683	158	424	142	183	1657	144	55	160	68	256	88	39	65	233	1091	198	28	3487	102	71	130	180	48
gene-b0114	U00096.3	123017	125680	+	2664	128650	2691	14859	4747	6074	102988	3134	1084	1428	1059	5676	4420	715	1847	8744	34963	3961	1028	42443	4070	1352	5812	2864	1345
gene-b0115	U00096.3	125695	127587	+	1893	79009	3647	15041	3925	5064	71664	2977	808	1605	1197	4569	4004	547	1785	7743	15620	3527	965	11555	3793	1119	4586	3504	1072
gene-b0116	U00096.3	127912	129336	+	1425	71398	2651	12369	10700	13761	63420	2278	895	1226	1231	13743	9497	849	3502	8021	30724	2572	1649	35366	8560	1436	11023	2714	1827
gene-b0117	U00096.3	129407	131260	-	1854	376	172	569	22	61	518	228	7	282	91	62	35	6	15	185	213	162	11	399	36	8	34	358	16
gene-b0118	U00096.3	131615	134212	+	2598	78059	3178	17068	14813	21801	77459	2818	1740	2176	1418	19782	15737	1654	5524	10522	29768	4222	3326	34646	14078	1748	16858	3470	2274
gene-b0119	U00096.3	134388	134750	+	363	412	43	180	265	268	553	49	17	89	29	254	157	18	86	75	226	47	38	339	168	32	337	83	30
gene-b0120	U00096.3	134788	135582	-	795	9819	229	1294	1010	999	9978	310	97	160	96	1284	629	69	157	1067	5101	279	136	4667	557	84	886	367	196
gene-b0121	U00096.3	135598	136464	-	867	9856	162	1009	918	1068	9529	286	80	174	98	1304	659	67	210	732	4369	221	124	3637	536	124	930	298	184
gene-b0122	U00096.3	136570	136917	-	348	631	31	130	37	53	298	52	2	70	39	93	24	4	9	56	205	27	6	728	26	4	39	53	11
gene-b0123	U00096.3	137083	138633	+	1551	984	137	605	334	358	1572	257	15	322	120	338	195	23	92	132	471	158	36	351	142	31	312	326	28
gene-b0124	U00096.3	138835	141225	-	2391	12546	513	2859	3010	5562	8890	585	372	606	259	4852	3438	375	1110	1639	3157	556	696	4328	2982	380	3613	753	516
gene-b0125	U00096.3	141431	141967	+	537	4664	153	793	488	678	4603	184	66	184	106	700	337	41	99	492	2692	190	104	4508	277	64	669	265	60
gene-b0126	U00096.3	142008	142670	-	663	16983	342	1410	2456	2119	12852	440	128	321	192	2003	636	128	223	1092	8850	592	196	12157	669	130	2727	526	164
gene-b0127	U00096.3	142779	143705	+	927	962	76	370	393	491	1579	134	35	168	45	609	214	36	89	105	704	92	69	499	183	41	394	186	48
gene-b0128	U00096.3	143702	144472	+	771	676	67	321	164	276	1208	116	20	139	48	300	121	25	63	133	516	94	34	285	120	22	214	190	30
gene-b0129	U00096.3	144577	145017	+	441	103	30	123	26	82	256	50	2	73	22	81	34	5	16	42	92	34	10	74	26	6	23	88	5
gene-b0130	U00096.3	145081	146310	+	1230	711	80	342	101	111	616	141	5	214	59	124	51	7	31	95	392	98	12	692	50	10	113	207	19
gene-b0131	U00096.3	146314	146694	-	381	5425	110	677	731	500	3831	150	34	129	82	512	201	23	89	319	2493	128	54	5118	171	46	814	218	54
gene-b0132	U00096.3	146968	147870	+	903	254	128	230	75	50	272	135	4	154	159	45	29	12	16	98	189	133	10	278	29	6	101	339	12
gene-b0133	U00096.3	147944	148795	-	852	6227	282	1214	1091	1109	7956	224	64	233	111	1057	565	50	190	838	4600	248	128	4580	526	114	1196	380	132
gene-b0134	U00096.3	148807	149601	-	795	4784	179	1175	741	845	6188	220	58	215	107	754	417	52	152	649	3309	234	89	4179	390	63	791	321	85
gene-b0135	U00096.3	149715	150953	-	1239	76	85	304	19	16	335	101	4	140	38	21	4	4	2	75	221	67	3	175	7	3	16	183	2
gene-b0136	U00096.3	151003	151599	-	597	17	29	75	3	1	94	26	0	40	7	5	1	1	1	23	54	17	1	18	2	0	0	43	1
gene-b0137	U00096.3	151626	152231	-	606	41	29	143	6	2	141	50	0	110	20	5	2	0	0	48	78	45	0	62	2	0	1	107	2
gene-b0138	U00096.3	152243	152812	-	570	31	37	112	7	1	128	48	2	70	17	5	0	0	1	21	80	34	2	28	5	0	2	68	4
gene-b0139	U00096.3	152829	155426	-	2598	115	118	427	20	7	372	200	7	308	82	12	8	6	4	120	155	127	12	131	10	3	18	280	25
gene-b0140	U00096.3	155461	156201	-	741	36	30	112	8	1	129	67	2	72	27	0	3	0	0	26	57	31	2	77	1	2	8	93	6
gene-b0141	U00096.3	156299	156883	-	585	41	40	113	2	2	104	48	3	74	38	6	4	2	2	24	54	32	2	37	2	0	2	72	6
gene-b0142	U00096.3	157253	157732	-	480	1195	35	176	49	155	682	90	11	113	33	140	31	7	25	69	431	68	8	737	32	12	36	117	12
gene-b0143	U00096.3	157729	159126	-	1398	12278	233	1013	847	1750	8760	354	104	360	146	1806	545	86	281	613	5316	375	166	6947	457	139	865	438	147
gene-b0144	U00096.3	159186	160112	-	927	425	73	232	60	194	592	86	11	123	34	151	69	10	26	105	347	60	17	360	50	7	66	118	31
gene-b0145	U00096.3	160149	160604	-	456	6722	617	2871	1624	1561	8760	422	140	283	179	1622	988	109	418	1734	4712	355	218	5502	945	238	1720	621	210
gene-b0146	U00096.3	160782	161486	-	705	269	64	172	368	366	269	65	14	90	30	391	194	17	50	79	130	44	18	278	147	26	443	90	29
gene-b0147	U00096.3	161501	162031	-	531	331	48	151	38	59	266	54	3	79	27	78	25	5	8	54	148	52	3	311	27	11	40	88	4
gene-b0148	U00096.3	162105	164534	+	2430	1541	181	673	224	408	2044	244	23	346	94	371	180	22	68	243	1064	214	34	1111	135	37	270	382	45
gene-b0149	U00096.3	164730	167264	+	2535	3492	322	1181	503	889	5209	491	62	439	229	854	357	69	179	494	2582	410	103	1709	348	77	628	631	108
gene-b0150	U00096.3	167484	169727	+	2244	5144	289	1055	862	1690	7989	328	73	356	116	1712	480	70	187	587	5088	371	135	3563	426	70	1158	453	88
gene-b0151	U00096.3	169778	170575	+	798	819	81	286	77	253	1359	85	4	130	30	236	79	10	19	112	667	71	18	430	83	8	101	162	16
gene-b0152	U00096.3	170575	171465	+	891	434	47	199	81	236	621	87	4	111	31	209	66	7	24	61	336	67	17	249	70	9	95	127	4
gene-b0153	U00096.3	171462	173444	+	1983	623	168	588	145	466	1145	272	32	348	109	393	188	31	76	181	442	174	38	338	142	27	174	379	29
gene-b0154	U00096.3	173602	174882	-	1281	9047	309	1526	1074	1233	9780	416	109	335	170	1048	573	64	225	853	5365	468	114	5420	402	138	1150	494	123
gene-b4765	U00096.3	175048	175095	+	48	80	14	27	22	29	47	10	2	10	1	28	11	1	1	16	32	7	2	168	3	0	18	13	2
gene-b0155	U00096.3	175107	176528	+	1422	702	86	386	215	415	779	176	20	266	72	381	152	11	54	125	381	85	32	524	111	23	241	243	30
gene-b4728	U00096.3	176552	176617	+	66	530	19	80	300	249	302	22	26	32	11	255	99	8	40	43	149	11	25	480	78	8	308	38	26
gene-b0156	U00096.3	176610	176954	+	345	1966	63	257	585	460	1151	71	54	79	44	459	218	41	95	133	518	66	60	1168	183	37	679	120	63
gene-b0157	U00096.3	177001	177624	-	624	382	58	234	66	83	513	97	7	115	25	107	43	11	28	82	261	53	19	319	39	12	66	121	18
