# Program:featureCounts v2.0.1; Command:"featureCounts" "-p" "-M" "-O" "--primary" "-a" "dualGenome.gff3" "-t" "gene" "-o" "countData.tsv" "-g" "ID" "SRR29715794_sorted.bam" "SRR29715795_sorted.bam" "SRR29715801_sorted.bam" "SRR29715800_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR29715794_sorted.bam	SRR29715795_sorted.bam	SRR29715801_sorted.bam	SRR29715800_sorted.bam
gene-PA0076	AE004091.2	90844	91524	-	681	107	146	42	101
gene-PA0077	AE004091.2	91521	94826	-	3306	576	727	269	581
gene-PA0078	AE004091.2	95048	96397	-	1350	128	241	78	133
gene-PA0079	AE004091.2	96404	97738	-	1335	184	246	99	185
gene-PA0080	AE004091.2	97754	98218	-	465	100	174	50	103
gene-PA0081	AE004091.2	98263	99756	-	1494	562	724	192	462
gene-PA0082	AE004091.2	100124	101158	+	1035	513	631	245	507
gene-PA0083	AE004091.2	101247	101765	+	519	470	662	188	449
gene-PA0084	AE004091.2	101778	103274	+	1497	873	1045	350	556
gene-PA0085	AE004091.2	103350	103838	+	489	508	637	258	429
gene-PA0086	AE004091.2	104006	104851	+	846	472	636	198	387
gene-PA0087	AE004091.2	104853	105362	+	510	202	280	82	168
gene-PA0088	AE004091.2	105359	107218	+	1860	470	500	166	372
gene-PA0089	AE004091.2	107182	108228	+	1047	281	284	87	167
gene-PA0090	AE004091.2	108221	110929	+	2709	539	872	268	517
gene-PA0091	AE004091.2	110976	112907	+	1932	445	546	171	314
gene-PA0092	AE004091.2	113022	113306	-	285	144	187	33	98
gene-PA0093	AE004091.2	113303	114595	-	1293	293	351	121	223
gene-PA0094	AE004091.2	114611	115045	-	435	289	266	79	207
gene-PA0095	AE004091.2	115299	117524	+	2226	306	437	151	373
gene-PA0096	AE004091.2	117552	118001	+	450	21	28	6	9
gene-PA0097	AE004091.2	117931	119130	+	1200	21	37	10	27
gene-PA0098	AE004091.2	119127	120164	+	1038	24	39	19	21
gene-PA0099	AE004091.2	120164	121324	+	1161	71	73	37	67
gene-PA0100	AE004091.2	121346	122266	+	921	133	184	89	146
gene-PA0101	AE004091.2	122248	123495	+	1248	51	48	25	34
gene-PA0102	AE004091.2	123871	124599	+	729	60	61	33	88
gene-PA0103	AE004091.2	124810	126381	+	1572	25	34	9	24
gene-PA0104	AE004091.2	126518	127114	+	597	75	70	35	90
gene-PA0105	AE004091.2	127378	128502	+	1125	55	84	15	54
gene-PA0106	AE004091.2	128512	130104	+	1593	23	60	9	39
gene-PA0107	AE004091.2	130115	130669	+	555	7	8	2	13
gene-PA0108	AE004091.2	130680	131567	+	888	33	57	7	33
gene-PA0109	AE004091.2	131583	131792	-	210	3	6	3	6
gene-PA0110	AE004091.2	131808	132602	+	795	5	3	2	7
gene-PA0111	AE004091.2	132577	133155	+	579	2	3	1	3
gene-PA0112	AE004091.2	133220	134293	+	1074	19	15	13	25
gene-PA0113	AE004091.2	134319	135233	+	915	49	44	16	63
gene-PA0114	AE004091.2	135259	135894	+	636	114	86	33	88
gene-PA0115	AE004091.2	135934	136386	-	453	43	73	26	64
gene-PA0116	AE004091.2	136518	136991	+	474	102	117	50	117
gene-PA0117	AE004091.2	137248	137976	+	729	21	24	8	26
gene-PA0118	AE004091.2	138001	138588	+	588	15	13	4	12
gene-PA0119	AE004091.2	138818	140167	+	1350	95	138	59	152
gene-PA0120	AE004091.2	140216	140902	+	687	12	26	12	22
gene-PA0121	AE004091.2	141003	141737	+	735	7	19	3	15
gene-PA0122	AE004091.2	141917	142327	+	411	37	77	19	60
gene-PA0123	AE004091.2	142359	143267	-	909	33	43	20	53
gene-PA0124	AE004091.2	143567	143848	-	282	35	42	12	41
gene-PA0125	AE004091.2	143845	144072	-	228	102	101	38	93
gene-PA0126	AE004091.2	144248	144868	-	621	43	56	14	48
gene-PA0127	AE004091.2	144969	145469	+	501	10	16	6	25
gene-PA0128	AE004091.2	145542	145883	+	342	104	151	67	133
gene-PA0129	AE004091.2	145965	147392	-	1428	71	77	40	83
gene-PA0130	AE004091.2	147561	149054	-	1494	49	56	48	76
gene-PA0131	AE004091.2	149138	149425	-	288	9	10	7	20
gene-PA0132	AE004091.2	149425	150771	-	1347	44	77	46	82
gene-PA0133	AE004091.2	150906	151823	+	918	51	69	30	76
gene-PA0134	AE004091.2	151936	153306	-	1371	84	107	42	58
gene-PA0135	AE004091.2	153696	153836	+	141	1	4	1	4
gene-PA0136	AE004091.2	154417	155988	+	1572	12	20	6	14
gene-PA0137	AE004091.2	155988	157085	+	1098	24	22	13	34
gene-PA0138	AE004091.2	157108	158034	+	927	20	8	5	13
gene-PA0139	AE004091.2	158199	158762	+	564	347	440	223	434
gene-PA0140	AE004091.2	158907	160472	+	1566	144	228	95	235
gene-PA0141	AE004091.2	160552	161448	-	897	94	110	38	78
gene-PA0142	AE004091.2	161906	163255	+	1350	68	89	26	66
gene-PA0143	AE004091.2	163363	164415	+	1053	85	130	27	89
gene-PA0144	AE004091.2	164443	165069	-	627	40	50	11	27
gene-PA0145	AE004091.2	165219	165737	-	519	22	20	11	16
gene-PA0146	AE004091.2	165976	167073	+	1098	16	21	9	13
gene-PA0147	AE004091.2	167146	168108	+	963	24	27	11	32
gene-PA0148	AE004091.2	168213	169163	+	951	49	65	35	59
gene-PA0149	AE004091.2	169361	169906	+	546	10	14	5	12
gene-PA0150	AE004091.2	169903	170898	+	996	18	20	13	22
gene-PA0151	AE004091.2	171047	173434	+	2388	22	45	16	34
gene-PA0152	AE004091.2	173811	174638	+	828	31	34	15	42
gene-PA0153	AE004091.2	174773	175492	+	720	13	14	10	22
gene-PA0154	AE004091.2	175503	176108	+	606	43	64	29	83
gene-PA0155	AE004091.2	176315	177154	+	840	47	75	16	63
gene-PA0156	AE004091.2	177307	178458	+	1152	53	64	33	57
gene-PA0157	AE004091.2	178455	179525	+	1071	49	68	34	68
gene-PA0158	AE004091.2	179522	182569	+	3048	315	363	201	405
gene-PA0159	AE004091.2	182768	183706	+	939	81	96	36	90
gene-PA0160	AE004091.2	183822	184007	+	186	10	8	4	6
gene-PA0161	AE004091.2	184287	184439	+	153	1209	1574	384	977
gene-PA0162	AE004091.2	184594	185928	+	1335	70	86	38	60
gene-PA0163	AE004091.2	185957	186754	-	798	38	92	37	75
gene-PA0164	AE004091.2	186832	188448	+	1617	64	65	25	61
gene-PA0165	AE004091.2	189120	189956	+	837	114	120	44	123
gene-PA0166	AE004091.2	190198	191604	+	1407	20	28	17	24
gene-PA0167	AE004091.2	191697	192362	+	666	80	106	39	140
gene-PA0168	AE004091.2	192368	192958	+	591	51	44	21	56
gene-PA0169	AE004091.2	192965	193672	-	708	114	138	78	167
gene-PA0170	AE004091.2	193799	194179	-	381	78	124	66	161
gene-PA0171	AE004091.2	194206	194748	-	543	125	166	67	149
gene-PA0172	AE004091.2	194757	196748	-	1992	373	504	207	573
gene-PA0173	AE004091.2	197011	198060	-	1050	10	10	2	3
gene-PA0174	AE004091.2	198080	198682	-	603	4	6	3	6
gene-PA0175	AE004091.2	198688	199530	-	843	9	8	5	13
gene-PA0176	AE004091.2	199600	201639	-	2040	31	41	22	34
gene-PA0177	AE004091.2	201675	202160	-	486	9	13	3	9
gene-PA0178	AE004091.2	202147	204066	-	1920	52	59	27	55
gene-PA0179	AE004091.2	204094	204459	-	366	32	42	9	19
gene-PA0180	AE004091.2	204657	205829	-	1173	63	62	25	65
gene-PA0181	AE004091.2	206022	206954	-	933	55	87	28	50
gene-PA0182	AE004091.2	207071	207823	+	753	14	7	8	8
gene-PA0183	AE004091.2	207923	209533	-	1611	19	26	8	24
gene-PA0184	AE004091.2	209621	210460	-	840	8	6	7	4
gene-PA0185	AE004091.2	210457	212073	-	1617	24	14	4	23
gene-PA0186	AE004091.2	212340	213401	+	1062	15	29	13	34
gene-PA0187	AE004091.2	213819	214634	+	816	5	2	3	8
gene-PA0188	AE004091.2	214631	215512	+	882	8	4	4	7
gene-PA0189	AE004091.2	215550	216908	-	1359	11	16	3	18
gene-PA0190	AE004091.2	217156	217881	+	726	10	9	3	3
gene-PA0191	AE004091.2	217905	218822	-	918	9	28	5	26
gene-PA0192	AE004091.2	219172	221544	+	2373	16	15	4	13
gene-PA0193	AE004091.2	221585	222487	+	903	5	5	2	2
gene-PA0194	AE004091.2	222555	223454	+	900	1	5	4	3
gene-PA0195	AE004091.2	224101	225219	+	1119	75	82	16	34
gene-PA0195.1	AE004091.2	225295	225603	+	309	27	16	15	20
gene-PA0196	AE004091.2	225603	227039	+	1437	80	86	7	64
gene-PA0197	AE004091.2	227382	228194	+	813	15	13	3	14
gene-PA0198	AE004091.2	228223	228942	+	720	20	23	5	28
gene-PA0199	AE004091.2	228944	229345	+	402	51	29	10	23
gene-PA0200	AE004091.2	229526	229738	-	213	77	169	54	172
gene-PA0201	AE004091.2	229954	230535	+	582	71	50	32	76
gene-PA0202	AE004091.2	230543	232000	-	1458	25	36	21	39
gene-PA0203	AE004091.2	232066	233100	-	1035	5	8	0	7
gene-PA0204	AE004091.2	233123	233932	-	810	15	23	6	20
gene-PA0205	AE004091.2	233929	234849	-	921	13	16	3	13
gene-PA0206	AE004091.2	234875	235987	-	1113	14	17	4	22
gene-PA0207	AE004091.2	236218	237111	+	894	45	56	29	58
gene-PA0208	AE004091.2	237232	238896	+	1665	27	39	24	54
gene-PA0209	AE004091.2	238896	239777	+	882	5	6	4	5
gene-PA0210	AE004091.2	239779	240078	+	300	0	0	1	2
gene-PA0211	AE004091.2	240071	240934	+	864	8	3	2	8
gene-PA0212	AE004091.2	240931	241737	+	807	5	7	4	6
gene-PA0213	AE004091.2	241753	242445	+	693	5	7	4	2
gene-PA0214	AE004091.2	242442	243374	+	933	11	10	5	7
gene-PA0215	AE004091.2	243431	243835	+	405	107	91	13	42
gene-PA0216	AE004091.2	243841	244605	+	765	8	20	13	16
gene-PA0217	AE004091.2	244690	245619	-	930	16	35	22	53
gene-PA0218	AE004091.2	245948	246868	-	921	35	33	14	39
gene-PA0219	AE004091.2	247219	248709	+	1491	24	17	3	13
gene-PA0220	AE004091.2	248767	250200	+	1434	32	46	13	39
gene-PA0221	AE004091.2	250231	251613	+	1383	10	12	6	16
gene-PA0222	AE004091.2	251777	252835	+	1059	8	18	4	12
gene-PA0223	AE004091.2	252913	253794	-	882	14	13	7	19
gene-PA0224	AE004091.2	253854	254636	-	783	43	47	31	93
gene-PA0225	AE004091.2	254791	255330	+	540	18	21	12	20
gene-PA0226	AE004091.2	255481	256332	+	852	21	23	12	24
gene-PA0227	AE004091.2	256329	257111	+	783	10	10	3	12
gene-PA0228	AE004091.2	257108	258313	+	1206	12	10	5	17
gene-PA0229	AE004091.2	258463	259761	+	1299	41	45	17	43
gene-PA0230	AE004091.2	259784	261163	+	1380	28	36	14	35
gene-PA0231	AE004091.2	261179	261970	+	792	20	15	12	23
gene-PA0232	AE004091.2	261981	262382	+	402	12	16	13	19
gene-PA0233	AE004091.2	262557	263498	+	942	46	32	13	58
gene-PA0234	AE004091.2	263689	264522	+	834	27	32	15	20
gene-PA0235	AE004091.2	264964	266310	-	1347	4	20	5	20
gene-PA0236	AE004091.2	266616	267395	+	780	21	35	16	21
gene-PA0237	AE004091.2	267638	268681	+	1044	8	7	3	10
gene-PA0238	AE004091.2	268704	269519	+	816	20	16	9	14
gene-PA0239	AE004091.2	269669	270547	+	879	44	49	30	55
gene-PA0240	AE004091.2	270573	271838	-	1266	27	34	12	41
gene-PA0241	AE004091.2	271904	273229	-	1326	8	11	11	9
gene-PA0242	AE004091.2	273775	275679	+	1905	13	14	12	13
gene-PA0243	AE004091.2	275772	276440	+	669	41	46	26	64
gene-PA0244	AE004091.2	276480	277334	-	855	20	10	13	32
gene-PA0245	AE004091.2	277331	277777	-	447	8	28	8	26
gene-PA0246	AE004091.2	277894	279399	-	1506	82	87	30	48
gene-PA0247	AE004091.2	279574	280758	-	1185	15	11	9	14
gene-PA0248	AE004091.2	280936	281802	+	867	115	156	35	124
gene-PA0249	AE004091.2	281799	282245	-	447	20	19	12	18
gene-PA0250	AE004091.2	282323	282757	-	435	40	51	32	52
gene-PA0251	AE004091.2	282912	283553	-	642	21	19	9	11
gene-PA0252	AE004091.2	283818	284105	-	288	8	6	12	9
gene-PA0253	AE004091.2	284197	284673	-	477	36	41	28	45
gene-PA0254	AE004091.2	284714	286204	-	1491	66	86	23	77
gene-PA0255	AE004091.2	286338	287024	-	687	98	126	69	111
gene-PA0256	AE004091.2	287188	288120	-	933	36	69	20	55
gene-PA0257	AE004091.2	288384	289175	-	792	104	120	41	104
gene-PA0258	AE004091.2	289205	289390	-	186	27	65	18	52
gene-PA0259	AE004091.2	289562	291004	-	1443	483	622	282	714
gene-PA0260	AE004091.2	291154	293304	-	2151	329	426	197	457
gene-PA0261	AE004091.2	293301	293798	-	498	25	22	10	26
gene-PA0262	AE004091.2	293802	296861	-	3060	182	234	96	226
gene-PA0263	AE004091.2	297043	297561	-	519	17	15	8	21
gene-PA0263.1	AE004091.2	298816	298892	-	77	625	489	2317	880
gene-PA0264	AE004091.2	299081	299497	-	417	86	102	53	125
gene-PA0265	AE004091.2	299522	300973	+	1452	372	530	250	614
gene-PA0266	AE004091.2	301218	302498	+	1281	275	311	167	353
gene-PA0267	AE004091.2	302824	304023	+	1200	78	102	47	94
gene-PA0268	AE004091.2	304177	305598	-	1422	26	28	16	26
gene-PA0269	AE004091.2	305725	306162	+	438	12	10	2	13
gene-PA0270	AE004091.2	306174	306581	+	408	10	5	3	8
gene-PA0271	AE004091.2	306615	306899	+	285	9	15	5	9
gene-PA0272	AE004091.2	306896	307828	-	933	46	39	11	60
gene-PA0273	AE004091.2	307878	309092	-	1215	4	3	0	3
gene-PA0274	AE004091.2	309255	310025	-	771	10	14	3	7
gene-PA0275	AE004091.2	310134	310820	-	687	25	39	9	35
gene-PA0276	AE004091.2	310896	311411	+	516	29	29	13	14
gene-PA0277	AE004091.2	311451	312209	-	759	299	383	109	162
gene-PA0278	AE004091.2	312381	313133	-	753	7	16	6	12
gene-PA0279	AE004091.2	313227	313925	+	699	10	22	5	16
gene-PA0280	AE004091.2	313938	314927	-	990	44	80	27	52
gene-PA0281	AE004091.2	314931	315800	-	870	65	101	32	89
gene-PA0282	AE004091.2	315811	316629	-	819	37	41	10	26
gene-PA0283	AE004091.2	316791	317789	-	999	94	162	46	100
gene-PA0284	AE004091.2	317966	318148	-	183	31	44	9	20
gene-PA0285	AE004091.2	318312	320594	-	2283	178	207	153	299
gene-PA0286	AE004091.2	320766	321944	+	1179	282	394	163	383
gene-PA0287	AE004091.2	322175	323560	+	1386	14	14	8	16
gene-PA0288	AE004091.2	323616	324572	+	957	5	4	4	6
gene-PA0289	AE004091.2	324625	325587	+	963	41	71	13	39
gene-PA0290	AE004091.2	325700	326671	+	972	25	48	21	47
gene-PA0291	AE004091.2	327284	328666	+	1383	323	309	285	503
gene-PA0292	AE004091.2	328801	329907	-	1107	150	143	95	209
gene-PA0293	AE004091.2	329993	330871	-	879	71	78	34	92
gene-PA0294	AE004091.2	331034	331699	-	666	24	32	11	34
gene-PA0295	AE004091.2	331762	332823	-	1062	99	110	38	115
gene-PA0296	AE004091.2	333079	334455	-	1377	539	731	486	1010
gene-PA0297	AE004091.2	334734	335486	+	753	518	698	272	852
gene-PA0298	AE004091.2	335527	336885	+	1359	180	239	234	487
gene-PA0299	AE004091.2	336951	338321	+	1371	223	224	182	511
gene-PA0300	AE004091.2	338437	339540	+	1104	233	295	190	373
gene-PA0301	AE004091.2	339959	341056	+	1098	119	169	109	199
gene-PA0302	AE004091.2	341111	342265	+	1155	98	138	85	175
gene-PA0303	AE004091.2	342292	343173	+	882	181	223	92	214
gene-PA0304	AE004091.2	343256	344125	+	870	111	140	44	116
gene-PA0305	AE004091.2	344303	346690	-	2388	70	85	49	128
gene-PA0306	AE004091.2	346801	347853	+	1053	36	40	32	41
gene-PA0307	AE004091.2	348440	349051	-	612	43	69	21	46
gene-PA0308	AE004091.2	349050	350069	+	1020	69	103	40	104
gene-PA0309	AE004091.2	350089	350841	-	753	83	121	45	112
gene-PA0310	AE004091.2	350890	351588	+	699	139	178	96	161
gene-PA0311	AE004091.2	351610	352164	-	555	14	11	12	22
gene-PA0312	AE004091.2	352430	352924	+	495	60	71	20	85
gene-PA0313	AE004091.2	352927	353619	-	693	48	54	40	90
gene-PA0314	AE004091.2	353691	354461	-	771	71	77	37	85
gene-PA0315	AE004091.2	354754	355191	+	438	45	48	29	72
gene-PA0316	AE004091.2	355248	356477	-	1230	524	609	301	609
gene-PA0317	AE004091.2	356681	358075	+	1395	316	378	175	496
gene-PA0318	AE004091.2	358167	358832	+	666	41	72	37	88
gene-PA0319	AE004091.2	358931	359920	+	990	117	136	68	204
gene-PA0320	AE004091.2	359982	360332	+	351	2	6	4	12
gene-PA0321	AE004091.2	360413	361447	-	1035	4	15	5	24
gene-PA0322	AE004091.2	361463	362857	-	1395	10	16	12	30
gene-PA0323	AE004091.2	363278	364321	-	1044	31	30	11	20
gene-PA0324	AE004091.2	364369	365157	-	789	34	34	13	26
gene-PA0325	AE004091.2	365154	366083	-	930	31	29	8	19
gene-PA0326	AE004091.2	366080	367129	-	1050	22	26	10	30
gene-PA0327	AE004091.2	367457	368422	+	966	39	49	16	48
gene-PA0328	AE004091.2	368462	370405	-	1944	32	51	28	52
gene-PA0329	AE004091.2	370706	371038	-	333	77	81	35	102
gene-PA0330	AE004091.2	371162	371833	-	672	143	237	137	255
gene-PA0331	AE004091.2	372091	373605	+	1515	287	395	190	439
gene-PA0332	AE004091.2	373725	374192	+	468	61	79	48	100
gene-PA0333	AE004091.2	374243	375514	+	1272	91	141	80	127
gene-PA0334	AE004091.2	375951	377189	-	1239	65	86	33	108
gene-PA0335	AE004091.2	377239	377892	-	654	109	103	53	115
gene-PA0336	AE004091.2	378096	378575	+	480	513	707	257	612
gene-PA0337	AE004091.2	378598	380877	+	2280	515	719	285	693
gene-PA0338	AE004091.2	380903	382033	+	1131	89	122	49	127
gene-PA0339	AE004091.2	382037	382792	-	756	54	49	17	70
gene-PA0340	AE004091.2	382914	383717	+	804	302	314	140	385
gene-PA0341	AE004091.2	383727	384527	+	801	241	266	150	356
gene-PA0342	AE004091.2	384733	385527	+	795	267	285	176	408
gene-PA0343	AE004091.2	385554	386351	-	798	149	179	87	213
gene-PA0344	AE004091.2	386386	387765	-	1380	60	88	30	52
gene-PA0345	AE004091.2	387758	389143	-	1386	54	77	35	58
gene-PA0346	AE004091.2	389334	389696	+	363	2	10	9	18
gene-PA0347	AE004091.2	389733	390884	-	1152	22	25	10	31
gene-PA0348	AE004091.2	391094	392188	+	1095	11	24	4	14
gene-PA0349	AE004091.2	392185	393225	+	1041	15	17	11	21
gene-PA0350	AE004091.2	393308	393814	+	507	53	46	18	39
gene-PA0351	AE004091.2	393830	394303	-	474	81	140	33	111
gene-PA0352	AE004091.2	394442	395827	-	1386	179	198	93	175
gene-PA0353	AE004091.2	396057	397895	-	1839	248	330	184	384
gene-PA0354	AE004091.2	398224	399420	-	1197	141	147	119	242
gene-PA0355	AE004091.2	399493	400032	-	540	9	13	8	14
gene-PA0356	AE004091.2	400248	401072	+	825	183	168	107	240
gene-PA0357	AE004091.2	401131	401943	+	813	116	152	71	170
gene-PA0358	AE004091.2	402020	402598	+	579	111	111	54	145
gene-PA0359	AE004091.2	402681	403025	+	345	64	58	16	36
gene-PA0360	AE004091.2	403295	404281	+	987	105	109	36	116
gene-PA0361	AE004091.2	404386	406119	-	1734	137	174	69	158
gene-PA0362	AE004091.2	406247	406498	-	252	276	324	135	283
gene-PA0363	AE004091.2	406619	407098	-	480	180	175	95	232
gene-PA0364	AE004091.2	407250	408845	-	1596	36	43	12	34
gene-PA0365	AE004091.2	408901	409449	-	549	3	15	2	5
gene-PA0366	AE004091.2	409504	410934	-	1431	72	82	25	86
gene-PA0367	AE004091.2	411224	411871	+	648	57	119	32	92
gene-PA0368	AE004091.2	412329	413327	-	999	137	133	60	166
gene-PA0369	AE004091.2	413364	413654	-	291	36	56	38	52
gene-PA0370	AE004091.2	413933	414529	-	597	93	102	44	111
gene-PA0371	AE004091.2	414529	416016	-	1488	169	212	101	212
gene-PA0372	AE004091.2	416009	417406	-	1398	176	206	128	242
gene-PA0373	AE004091.2	417527	418894	+	1368	341	494	295	701
gene-PA0374	AE004091.2	418891	419562	+	672	184	206	116	268
gene-PA0375	AE004091.2	419562	420569	+	1008	426	454	267	592
gene-PA0376	AE004091.2	420683	421537	+	855	511	578	392	804
gene-PA0377	AE004091.2	421602	422207	+	606	67	67	66	129
gene-PA0378	AE004091.2	422212	422943	-	732	92	128	41	125
gene-PA0379	AE004091.2	422980	423357	+	378	40	55	13	39
gene-PA0380	AE004091.2	423460	423660	+	201	94	105	50	160
gene-PA0381	AE004091.2	423719	424516	+	798	107	129	98	150
gene-PA0382	AE004091.2	424670	425341	+	672	96	123	98	186
gene-PA0383	AE004091.2	425504	426850	+	1347	50	65	48	105
gene-PA0384	AE004091.2	426863	427120	-	258	8	13	5	14
gene-PA0385	AE004091.2	427182	427505	-	324	28	43	27	51
gene-PA0386	AE004091.2	427586	428740	-	1155	51	66	43	115
gene-PA0387	AE004091.2	428861	429454	-	594	103	143	65	133
gene-PA0388	AE004091.2	429451	429870	-	420	163	171	64	152
gene-PA0389	AE004091.2	430002	430622	-	621	159	207	88	184
gene-PA0390	AE004091.2	430630	431769	-	1140	332	444	188	484
gene-PA0391	AE004091.2	431858	433825	-	1968	183	230	84	255
gene-PA0392	AE004091.2	434226	434819	-	594	133	153	107	179
gene-PA0393	AE004091.2	434830	435651	-	822	105	83	57	103
gene-PA0394	AE004091.2	435663	436355	-	693	109	150	61	139
gene-PA0395	AE004091.2	436570	437604	+	1035	178	232	130	314
gene-PA0396	AE004091.2	437782	438930	+	1149	113	172	71	211
gene-PA0397	AE004091.2	438938	439837	-	900	41	35	18	67
gene-PA0398	AE004091.2	439991	440395	+	405	129	173	59	168
gene-PA0399	AE004091.2	440638	442011	+	1374	107	136	65	137
gene-PA0400	AE004091.2	442008	443192	+	1185	73	85	39	87
gene-PA0401	AE004091.2	443419	444690	-	1272	183	206	106	227
gene-PA0402	AE004091.2	444687	445691	-	1005	343	438	202	418
gene-PA0403	AE004091.2	445715	446227	-	513	138	168	87	181
