Geneid	0_R1	0_R2	0_R3	5_R1	5_R2	5_R3	15_R1	15_R2	15_R3	30_R1	30_R2	30_R3	Entity	Symbol
gene-SERP1083	2584	2165	2192	1678	1547	1432	231	121	259	152	23	109	host	xseB
gene-FDH45_gp029	0	0	0	236	402	161	4857	3505	3214	42558	35065	39717	phage	gene-FDH45_gp029
gene-SERP1334	295	334	190	196	141	122	30	13	27	71	10	9	host	gene-SERP1334
gene-SERP1437	13881	9818	14140	11165	11049	10915	1851	928	2419	1211	254	1056	host	gatB
gene-FDH45_gp156	0	0	0	838	637	683	8101	9508	8640	627	953	1128	phage	gene-FDH45_gp156
gene-SERP0717	12565	7406	19066	12707	7930	19221	1538	883	2699	2898	240	1153	host	gene-SERP0717
gene-SERP2232	175	98	122	145	100	105	21	6	36	30	4	13	host	gene-SERP2232
gene-SERP0337	7794	6126	7719	6370	7186	4533	1103	784	1273	497	223	515	host	gene-SERP0337
gene-SERP0449	2881	2154	3613	2936	2712	3089	432	318	633	457	69	257	host	est
gene-FDH45_gp049	0	0	0	14117	10582	10689	33039	45459	44774	2789	4688	5140	phage	gene-FDH45_gp049
gene-SERP1325	1571	1143	1602	1283	1014	1329	199	120	342	193	24	126	host	ribH
gene-SERP2154	6930	7106	4966	3983	3578	3943	879	309	896	381	80	350	host	budA
gene-SERP0007	37	20	24	32	16	33	4	6	3	13	2	4	host	gene-SERP0007
gene-SERP0521	18409	9601	23979	14507	12882	28322	1866	893	3956	2691	218	1131	host	dltD
gene-SERP0800	7955	6398	6486	6020	5942	5927	916	444	1295	1040	110	521	host	gene-SERP0800
gene-SERP0995	581	445	448	399	311	294	55	47	63	24	11	29	host	gene-SERP0995
gene-SERP0549	232	116	198	143	93	159	23	10	33	43	3	27	host	argG
gene-SERP1088	3599	3166	3344	2328	2436	2530	399	163	471	250	40	178	host	accB
gene-SERP0041	5650	5630	5003	4326	5173	4110	754	447	952	406	150	384	host	gene-SERP0041
gene-SERP2521	1520	533	838	1013	440	720	170	105	383	548	56	237	host	mecA
gene-SERP1520	84	61	80	65	54	69	10	8	31	10	1	15	host	gene-SERP1520
gene-SERP0152	21425	27673	12301	13245	18728	8727	3183	2075	2450	1170	491	1110	host	cysK
gene-SERP0524	1291	1066	714	820	776	777	194	76	251	138	20	96	host	gene-SERP0524
gene-SERP1938	1862	1286	1278	940	766	956	137	78	213	133	19	69	host	corA
gene-FDH45_gp129	0	0	0	24852	15388	17450	47999	53169	51589	2812	3483	4793	phage	gene-FDH45_gp129
gene-SERP0740	456	409	436	474	388	311	60	37	62	83	13	51	host	gene-SERP0740
gene-SERP0850	4582	4726	3490	3467	3552	3070	421	252	539	284	63	213	host	pgsA
gene-SERP2524	26	18	29	23	20	21	0	1	3	9	1	0	host	gene-SERP2524
gene-SERP1433	898	1157	705	862	944	585	146	75	144	174	34	70	host	dinP
gene-SERP0906	2672	2086	2255	2032	1603	1514	684	180	699	440	70	349	host	guaC
gene-SERP1002	4824	5530	3692	3571	4786	2962	599	412	635	241	97	239	host	folA-1
gene-SERP0493	608	198	385	388	173	378	82	13	38	31	3	18	host	gene-SERP0493
gene-SERP0969	2011	2878	1305	2493	1455	1385	292	105	229	140	28	89	host	gene-SERP0969
gene-SERP0516	3529	3468	2681	3046	2813	2586	726	408	769	339	98	239	host	gene-SERP0516
gene-SERP0510	1713	2523	1423	1476	2165	1108	271	125	226	156	29	132	host	gene-SERP0510
gene-SERP0759	29	12	31	20	8	7	3	1	3	1	2	0	host	gene-SERP0759
gene-FDH45_gp106	0	0	0	19103	13252	14276	38625	55841	48095	3378	4124	3555	phage	gene-FDH45_gp106
gene-SERP2158	803	846	284	331	309	335	53	18	110	35	9	30	host	gene-SERP2158
gene-SERP0188	161208	66453	194486	142320	78267	205682	30076	10258	47994	14826	2400	13309	host	fusA
gene-SERP0678	8687	11297	6407	7430	8628	6085	685	530	776	414	95	361	host	def
gene-SERP2016	987	937	719	708	774	689	108	58	110	95	7	57	host	gene-SERP2016
gene-SERP1704	646	629	466	438	532	382	68	31	79	80	9	36	host	ywpF
gene-SERP0585	1897	2577	1184	1004	1266	873	148	90	152	92	27	71	host	gene-SERP0585
gene-SERP0752	2035	2646	1600	1558	2013	1342	227	144	266	152	38	105	host	gene-SERP0752
gene-SERP2406	889	880	730	663	731	559	81	50	118	68	16	33	host	gene-SERP2406
gene-SERP0753	7452	8511	5785	5064	5694	5038	731	402	850	438	79	385	host	gene-SERP0753
gene-SERP0643	11303	10029	6260	8872	5646	5890	2089	903	1897	672	212	569	host	qoxD
gene-SERP1181	7032	7644	4972	4810	4911	3861	705	446	728	612	82	356	host	gene-SERP1181
gene-SERP0602	5806	4521	5882	4419	4515	5110	744	297	958	526	99	361	host	gene-SERP0602
gene-SERP2531	4874	4115	4149	4455	4001	3171	627	321	724	445	39	281	host	yycI
gene-SERP1159	3435	2734	2620	2165	2056	2098	391	176	437	328	53	172	host	gene-SERP1159
gene-SERP1130	2008	2530	1369	1292	1665	1083	228	119	249	129	23	96	host	gene-SERP1130
gene-SERP0462	699	493	378	340	299	308	55	28	60	51	9	38	host	gene-SERP0462
gene-SERP0793	1959	2554	1365	1544	1885	1135	202	132	256	121	30	95	host	recG
gene-SERP1284	30147	16770	47799	28747	23506	45573	6635	3726	11199	4627	861	3191	host	rpsD
gene-SERP1391	1767	1040	1777	1135	1195	1264	221	112	242	144	26	101	host	gene-SERP1391
gene-SERP1636	9390	3907	11025	7222	3422	11381	6435	2214	10085	3757	1042	6679	host	gene-SERP1636
gene-SERP2248	92	80	110	82	56	91	14	6	18	9	1	2	host	gene-SERP2248
gene-SERP2363	4168	3536	2837	2549	2348	2615	424	180	435	214	49	199	host	brnQ-2
gene-SERP0356	79	43	44	42	45	50	11	2	12	5	0	4	host	gene-SERP0356
gene-SERP1305	3000	4890	2150	2550	3719	1925	388	316	383	206	77	152	host	pepA
gene-SERP1566	16	4	10	8	4	5	3	0	5	0	1	3	host	gene-SERP1566
gene-SERP1201	12287	8833	16307	10050	11163	12109	1736	817	2177	1480	250	846	host	gene-SERP1201
gene-SERP1641	2341	1275	3879	2069	1180	4024	1109	543	2927	778	261	1776	host	gene-SERP1641
gene-FDH45_gp145	0	1	0	48126	47299	37164	13583	12783	15418	6700	6918	8480	phage	gene-FDH45_gp145
gene-SERP1215	1273	762	814	778	448	733	259	143	343	237	28	157	host	gene-SERP1215
gene-SERP2464	141	102	140	94	83	103	12	4	13	8	2	13	host	gene-SERP2464
gene-SERP2241	1111	923	901	704	635	632	92	44	86	62	11	40	host	gene-SERP2241
gene-SERP1771	1244	1092	935	863	740	866	136	57	178	82	21	77	host	gene-SERP1771
gene-SERP1179	9584	10477	7142	7059	6879	5358	935	593	1033	701	142	444	host	gene-SERP1179
gene-SERP1276	5505	5929	3785	3356	5973	2750	685	464	692	359	98	298	host	gene-SERP1276
gene-SERP2381	447	299	100	135	83	117	23	14	16	37	4	8	host	gene-SERP2381
gene-SERP0246	10704	29380	15313	6720	12358	15817	1167	1033	3468	631	313	1304	host	gene-SERP0246
gene-SERP0432	2454	2939	2585	2327	3702	2005	483	329	507	274	87	248	host	trxB
gene-SERP1699	546	612	426	432	745	305	51	64	87	75	19	47	host	thiM
gene-SERP1091	231	258	106	152	136	78	33	15	27	39	7	19	host	argJ
gene-SERP2076	4777	3342	2276	2034	3660	1810	397	252	571	293	58	251	host	gene-SERP2076
gene-FDH45_gp124	0	0	0	1297	677	1383	23090	23522	24720	999	1875	1750	phage	gene-FDH45_gp124
gene-SERP1822	35220	16472	42326	32509	19579	55696	5154	1942	10770	2799	538	2968	host	rpsQ
gene-SERP0177	8337	6943	7779	6924	6099	6100	1110	558	1227	774	128	521	host	nusG
gene-SERP1841	808	389	742	571	389	545	81	27	114	73	10	39	host	gene-SERP1841
gene-SERP1254	7929	10919	4847	5844	8821	3878	894	591	830	530	185	352	host	polA
gene-SERP_tRNA-Ile-2	86	72	90	55	62	102	12	16	18	14	3	10	host	gene-SERP_tRNA-Ile-2
gene-SERP2092	7	4	7	6	1	4	0	0	0	0	0	0	host	gene-SERP2092
gene-FDH45_gp186	0	0	0	18945	15630	14955	76776	89576	66750	337688	288542	322443	phage	gene-FDH45_gp186
gene-SERP0981	9373	9929	6516	7685	6468	6381	731	369	768	510	93	292	host	gene-SERP0981
gene-SERP0726	2379	2301	2283	2162	2296	1937	342	187	414	318	37	154	host	gene-SERP0726
gene-SERP1751	1243	1142	851	775	929	794	120	76	150	82	18	44	host	gene-SERP1751
gene-SERP0379	22333	18685	22642	21497	19788	20682	3964	2593	5217	3878	564	2150	host	gene-SERP0379
gene-SERP0006	3547	2503	3784	3296	2937	3171	583	262	897	851	89	385	host	gene-SERP0006
gene-SERP2528	3734	3214	2415	2497	2550	1813	439	237	503	387	60	275	host	gene-SERP2528
gene-SERP2005	15899	12820	10692	8155	8381	5596	1539	720	1520	1258	202	804	host	gene-SERP2005
gene-FDH45_gp198	0	0	0	386	321	196	9436	5687	9092	13126	14425	14659	phage	gene-FDH45_gp198
gene-SERP2523	4303	8130	2814	3110	6630	2012	380	400	368	258	100	211	host	gene-SERP2523
gene-SERP0615	5257	4120	6525	3981	4535	4662	518	284	876	520	56	408	host	gene-SERP0615
gene-SERP2333	1718	2417	1258	1437	2196	1049	229	154	218	127	21	102	host	gene-SERP2333
gene-SERP2091	153	146	90	88	97	99	10	11	26	21	3	12	host	gene-SERP2091
gene-SERP0904	3840	2288	3116	2896	2483	2494	603	250	611	231	36	186	host	rpmG-2
gene-SERP0938	73	12	15	39	25	19	6	5	7	19	2	2	host	trpG
gene-SERP1741	5131	6876	3429	3758	6959	2539	606	523	515	374	116	321	host	luxS
gene-SERP0207	4872	1156	2743	3609	1025	2195	330	145	671	1419	66	363	host	gene-SERP0207
gene-SERP0353	3034	2521	2202	2226	3214	1819	443	304	523	449	66	272	host	norA
gene-SERP1123	3519	2938	3187	3255	2884	3563	487	230	661	400	77	251	host	nfo
gene-SERP1970	93071	47072	97431	56308	44744	93727	16928	9358	38672	2441	1334	5975	host	gene-SERP1970
gene-SERP0013	1844	827	1462	1158	669	980	231	77	236	192	10	108	host	gene-SERP0013
gene-SERP2073	372	452	246	232	538	179	50	60	49	54	17	33	host	gene-SERP2073
gene-SERP1587	53885	42809	48036	40063	28441	46367	6378	2304	8446	2657	459	2276	host	gene-SERP1587
gene-SERP1095	2213	1839	1454	1344	1235	1118	191	75	223	160	25	86	host	gene-SERP1095
gene-SERP1550	7541	3780	3647	6745	2506	4449	1272	433	1687	1820	116	524	host	gene-SERP1550
gene-SERP1552	47	7	15	20	10	13	5	0	2	4	1	1	host	gene-SERP1552
gene-SERP0587	3333	4285	2032	2207	2947	1801	378	200	401	187	62	151	host	gene-SERP0587
gene-SERP1988	1253	8581	331	549	984	250	70	63	53	83	19	20	host	gene-SERP1988
gene-SERP0290	65922	16598	50377	59687	9114	39424	8436	812	4994	4841	267	2367	host	sitC
gene-SERP0936	520	264	307	279	229	258	34	36	84	56	12	41	host	tyrA
gene-SERP1793	429	223	128	177	166	113	38	22	54	24	14	23	host	lacC
gene-SERP2203	1434	1056	1366	978	1219	1180	162	79	182	113	19	94	host	gene-SERP2203
gene-SERP0260	874	989	785	870	858	687	188	127	219	195	42	101	host	gene-SERP0260
gene-FDH45_gp039	0	0	0	12694	11690	9412	59403	58107	57724	116800	107081	118138	phage	gene-FDH45_gp039
gene-FDH45_gp160	0	0	0	5477	3980	3953	21449	24623	22604	1568	2406	2665	phage	gene-FDH45_gp160
gene-SERP2161	823	958	528	505	447	464	91	55	166	78	24	57	host	gene-SERP2161
gene-SERP1319	2078	1923	2068	2031	2559	1616	263	241	325	283	48	151	host	gene-SERP1319
gene-SERP0410	6250	5696	4095	4103	5347	3433	808	445	850	642	99	444	host	pepT
gene-SERP0495	7488	7538	3731	4285	3890	2626	339	239	299	272	39	138	host	gene-SERP0495
gene-SERP1255	3974	3334	2588	2678	2268	2242	458	192	562	320	47	213	host	phoR
gene-SERP1523	155	150	148	101	99	139	22	12	86	17	11	40	host	gene-SERP1523
gene-SERP_tRNA-Gly-1	1976	1732	2707	1722	1001	2738	411	220	467	160	50	147	host	gene-SERP_tRNA-Gly-1
gene-SERP0362	2112	1694	2343	1988	2779	1428	291	217	321	128	64	152	host	gene-SERP0362
gene-SERP0954	452	275	325	349	228	300	66	17	41	71	3	29	host	gene-SERP0954
gene-SERP0622	144	45	120	98	37	97	18	8	15	16	0	2	host	gene-SERP0622
gene-SERP0159	449	225	299	240	157	247	39	30	65	63	4	22	host	gene-SERP0159
gene-SERP0240	3120	1977	7044	4766	3344	5948	701	356	1018	434	59	308	host	gene-SERP0240
gene-SERP1422	1779	1524	1426	1243	1167	1200	236	119	296	215	40	145	host	vraR
gene-SERP1807	34304	18529	29365	28299	19192	46896	4302	1717	8505	2420	420	2155	host	rpsM
gene-SERP1266	9184	9203	7311	7333	7617	6679	1077	508	1242	722	124	522	host	dnaE
gene-SERP1362	258	161	152	165	122	124	38	10	27	34	3	12	host	gene-SERP1362
gene-SERP0939	210	39	73	176	43	73	15	8	16	70	1	8	host	trpD
gene-SERP1652	112	50	69	81	41	44	15	2	21	23	1	11	host	gene-SERP1652
gene-SERP2093	70	80	14	23	35	6	1	2	1	5	1	1	host	gene-SERP2093
gene-SERP1712	17130	9887	13354	12239	8845	12076	1915	720	2581	985	181	874	host	atpH
gene-SERP1333	222	129	184	157	83	103	16	9	23	26	1	11	host	gene-SERP1333
gene-SERP2414	322	168	284	209	125	207	32	25	56	61	4	35	host	gene-SERP2414
gene-SERP0576	40170	42875	35029	36747	24163	35708	11657	8023	13798	3651	1624	3685	host	gene-SERP0576
gene-SERP2340	1546	681	659	1221	502	632	150	70	104	188	15	44	host	gene-SERP2340
gene-FDH45_gp169	0	0	0	15777	17510	11775	153633	136551	130699	12013	20416	21036	phage	gene-FDH45_gp169
gene-SERP0321	369	138	361	281	188	262	50	14	73	39	1	43	host	sarX
gene-SERP0719	1070	1008	903	980	849	780	159	95	225	230	34	115	host	gene-SERP0719
gene-SERP1321	1802	1184	1695	1281	1453	1478	219	103	312	168	20	114	host	gene-SERP1321
gene-SERP0002	718	483	844	599	328	606	112	55	147	124	21	71	host	rnpA
gene-SERP1973	7925	4925	7706	6074	4986	5238	1039	746	1247	409	129	427	host	gene-SERP1973
gene-SERP0466	16948	13631	7005	16290	2870	16138	857	271	646	414	53	191	host	gene-SERP0466
gene-SERP2298	92	219	99	143	535	182	44	82	83	28	21	25	host	gene-SERP2298
gene-SERP1684	1593	1733	1035	1108	1224	748	161	107	141	80	13	63	host	acpS
gene-SERP0026	109	74	147	118	87	141	127	70	169	55	26	80	host	gene-SERP0026
gene-FDH45_gp167	0	0	0	2301	2435	1785	38586	39781	31216	5416	6909	6927	phage	gene-FDH45_gp167
gene-SERP2136	7809	2920	12131	7599	2951	6920	1200	758	1694	3289	204	884	host	gene-SERP2136
gene-SERP2539	15016	15649	13101	12325	12761	11075	1750	968	2051	1071	261	853	host	gene-SERP2539
gene-SERP0559	14	8	15	15	20	8	6	0	2	1	2	0	host	gene-SERP0559
gene-SERP1186	3307	3442	3458	3184	3885	2873	439	243	512	562	69	279	host	gene-SERP1186
gene-SERP1116	1984	1301	1593	1728	1184	1610	333	117	297	179	30	86	host	rpmG-3
gene-SERP0107	902	818	538	627	460	431	87	59	92	64	10	30	host	gene-SERP0107
gene-SERP0430	2624	2860	1891	2078	2698	1503	460	255	389	215	43	163	host	gene-SERP0430
gene-SERP0427	4774	4492	4656	5029	5168	3755	866	432	1028	486	93	396	host	uvrA
gene-SERP0767	9331	7228	12693	10927	6740	11794	1787	816	2313	1245	227	785	host	pyrC
gene-SERP2215	145	69	64	66	69	69	22	5	20	23	1	7	host	gene-SERP2215
gene-FDH45_gp130	0	0	0	27017	18385	19816	46765	60566	53797	3281	4222	5704	phage	gene-FDH45_gp130
gene-SERP2023	5080	2500	3175	2449	2019	2574	678	261	674	471	61	318	host	gene-SERP2023
gene-SERP0336	2839	1875	2818	2403	2372	1756	396	221	480	192	61	200	host	gene-SERP0336
gene-SERP0648	6918	13969	1817	5899	6870	1249	770	419	430	376	112	241	host	folD
gene-SERP0839	2968	2406	3135	2525	2880	3074	421	217	543	395	54	228	host	ribF
gene-SERP1000	5501	6553	4347	4413	6130	3445	744	476	739	307	125	323	host	msrA-2
gene-SERP2104	288	170	207	193	146	131	27	4	46	43	6	25	host	gene-SERP2104
gene-SERP1345	1318	969	888	1098	977	771	122	58	167	105	13	60	host	tnpC-2
gene-SERP2551	2106	2415	1457	1347	1410	1304	259	164	312	137	48	131	host	gene-SERP2551
gene-SERP0318	27326	27733	30748	20366	27202	17175	3604	2807	3728	3016	643	1541	host	gene-SERP0318
gene-SERP1750	4126	4055	3046	2822	3426	2637	500	265	507	277	65	241	host	gene-SERP1750
gene-SERP0810	253	215	183	134	169	133	20	10	22	28	2	15	host	gene-SERP0810
gene-SERP1113	1471	1346	1193	1057	1047	963	150	60	144	50	19	73	host	gene-SERP1113
gene-SERP2430	958	631	806	694	625	584	137	42	157	186	17	93	host	arsB
gene-SERP1871	990	570	734	660	472	574	142	39	177	121	20	80	host	ureC
gene-SERP1778	595	484	636	672	585	561	97	43	115	62	7	40	host	gene-SERP1778
gene-SERP1401	2978	3498	2074	2243	2692	1836	451	269	401	247	52	143	host	hemL-2
gene-SERP0182	3967	2458	5666	4529	2931	6921	705	400	1287	939	104	459	host	gene-SERP0182
gene-SERP1802	1990	1500	1718	1380	1235	1567	194	116	351	228	11	111	host	gene-SERP1802
gene-SERP0671	391	140	255	244	121	198	55	5	42	40	8	16	host	gene-SERP0671
gene-SERP2362	1162	965	784	827	698	552	150	72	138	157	18	72	host	gene-SERP2362
gene-SERP0803	8822	9612	8055	7373	9309	6485	1139	664	1395	976	175	609	host	ffh
gene-SERP0953	749	433	552	580	396	544	75	35	76	115	8	38	host	gene-SERP0953
gene-SERP1239	66491	59198	61966	53993	51532	51634	8130	4818	10289	5291	1277	4107	host	tig
gene-SERP1608	42	29	37	43	18	33	25	9	26	14	3	24	host	gene-SERP1608
gene-SERP0212	4259	4476	3086	3293	4583	2641	666	389	639	340	110	286	host	gene-SERP0212
gene-SERP1058	2705	2806	2076	1699	1728	1705	273	118	258	164	22	111	host	scpA
gene-SERP0249	1228	1157	1132	1000	932	914	171	115	209	130	21	92	host	gene-SERP0249
gene-SERP1800	2290	1248	2011	1648	1064	1768	227	92	330	270	32	159	host	truA
gene-SERP0463	327	287	204	271	174	125	18	19	33	56	9	11	host	gene-SERP0463
gene-SERP1666	350	296	188	191	160	179	45	12	91	70	5	33	host	ilvB
gene-SERP0065	2859	2795	2493	2292	3124	1716	390	226	359	131	69	153	host	gene-SERP0065
gene-SERP1081	2576	4200	1678	1648	2201	1214	208	187	279	182	48	117	host	argR
gene-SERP0629	3322	3467	3478	3450	3291	3172	605	281	577	241	65	219	host	gene-SERP0629
gene-SERP0934	1517	1552	1084	1379	988	1031	173	71	208	148	17	92	host	dmpI
gene-SERP1167	4237	3029	1834	3221	2940	1650	638	309	482	217	81	212	host	gene-SERP1167
gene-SERP1629	9796	3989	11913	7355	3391	12831	6231	2330	10936	3848	1172	7073	host	gene-SERP1629
gene-FDH45_gp089	0	0	0	1151	507	1101	8068	7861	8649	11425	8331	10381	phage	gene-FDH45_gp089
gene-SERP1819	43390	19005	49245	37100	21350	65916	5951	2005	12001	3256	488	3251	host	rplE
gene-FDH45_gp065	0	0	0	1773	1194	1600	44338	31558	39950	22621	30469	32999	phage	gene-FDH45_gp065
gene-SERP2067	1578	2830	1464	1377	2769	1295	266	198	290	194	59	133	host	gene-SERP2067
gene-SERP2083	965	1063	973	782	1463	618	160	149	154	93	39	72	host	gene-SERP2083
gene-SERP0169	1764	2033	1354	1387	1518	1049	232	120	227	99	23	103	host	cysE
gene-SERP2255	723	526	470	380	309	314	75	45	83	86	12	50	host	gene-SERP2255
gene-SERP0490	2732	2228	1549	1650	1138	1391	385	139	421	196	51	247	host	gene-SERP0490
gene-SERP2175	1244	1657	796	1069	1278	867	150	102	138	124	22	61	host	gene-SERP2175
gene-FDH45_gp050	0	0	0	14771	12424	12270	70036	88747	89632	7990	11457	11695	phage	gene-FDH45_gp050
gene-SERP0661	1713	1389	1619	1205	1127	1307	205	136	261	295	44	128	host	gene-SERP0661
gene-SERP0272	1504	703	1499	1167	801	1230	194	55	227	113	9	78	host	gene-SERP0272
gene-SERP0968	2240	3157	1215	2537	1431	1313	350	146	333	113	24	107	host	gene-SERP0968
gene-FDH45_gp072	0	0	0	3291	2735	2297	96505	86440	78124	16030	29639	26692	phage	gene-FDH45_gp072
gene-SERP1280	1199	854	1394	1022	696	1109	161	70	191	190	16	111	host	gene-SERP1280
gene-SERP0445	41888	48096	29427	26358	20791	18656	4392	1910	4323	2128	532	2268	host	pgm
gene-SERP1199	3366	2953	4833	3263	3067	3475	562	281	619	423	54	258	host	recJ
gene-SERP0948	799	709	575	377	479	380	60	27	83	35	10	22	host	gene-SERP0948
gene-SERP1120	2086	1344	1625	1672	1213	1512	251	110	279	254	25	93	host	gene-SERP1120
gene-SERP2273	881	982	893	653	885	705	121	68	194	108	21	53	host	gene-SERP2273
gene-SERP0980	2897	2971	2044	2470	2030	1996	237	118	245	148	29	106	host	gene-SERP0980
gene-SERP2230	36	7	13	42	13	18	4	3	7	24	1	3	host	gene-SERP2230
gene-FDH45_gp055	0	0	0	22470	18652	16647	118580	143131	113290	21326	33412	32479	phage	gene-FDH45_gp055
gene-SERP2432	401	180	252	286	164	191	44	18	79	83	8	40	host	gene-SERP2432
gene-SERP1317	1879	1495	1549	1455	1381	1321	208	87	344	115	28	110	host	gene-SERP1317
gene-FDH45_gp150	0	0	0	160720	162225	109450	43285	39554	53368	21016	18691	25817	phage	gene-FDH45_gp150
gene-SERP0345	741	552	454	459	448	400	77	29	69	41	11	33	host	gene-SERP0345
gene-SERP0278	31	16	33	23	22	13	6	0	3	19	0	2	host	gene-SERP0278
gene-SERP2393	182	121	225	186	138	165	30	16	28	33	1	9	host	bioW
gene-SERP1801	1654	945	1404	1126	795	1228	159	62	203	172	12	92	host	gene-SERP1801
gene-SERP1850	2791	2408	2367	2123	1769	1850	329	105	419	291	33	141	host	moaA
gene-SERP2105	654	432	467	488	430	339	65	18	107	123	7	52	host	capA
gene-SERP2446	202	116	141	139	83	84	27	7	30	32	4	12	host	gene-SERP2446
gene-SERP1074	2689	1446	2324	1463	1556	1420	313	152	474	298	55	202	host	gene-SERP1074
gene-SERP2345	1467	3401	403	645	1348	439	83	82	117	64	25	39	host	gene-SERP2345
gene-SERP1346	3277	2779	2191	2386	2659	1874	327	178	349	250	42	161	host	tnpB-2
gene-SERP2143	1422	1281	1323	1096	1226	967	161	122	153	136	22	103	host	gene-SERP2143
gene-SERP2011	44582	30737	40293	32912	22425	38619	5314	1897	6928	2150	380	1813	host	gene-SERP2011
gene-SERP0960	164	95	70	125	54	66	27	18	33	51	5	10	host	gene-SERP0960
gene-SERP2100	2401	1245	236	437	483	233	91	44	104	50	8	27	host	rbsK
gene-SERP_tRNA-Trp-1	3094	2295	4232	3397	2216	4952	763	371	1076	236	71	198	host	gene-SERP_tRNA-Trp-1
gene-SERP0761	270	206	293	180	229	222	24	18	39	15	1	17	host	gene-SERP0761
gene-SERP2206	1575	1737	926	886	1246	779	151	115	171	110	30	86	host	gene-SERP2206
gene-SERP2149	2438	2734	1774	1853	1586	1495	221	124	234	140	27	108	host	gene-SERP2149
gene-SERP0663	1183	1524	809	939	1075	845	182	97	197	218	28	97	host	gene-SERP0663
gene-SERP0120	1761	1714	1622	1642	2096	1198	299	231	323	143	37	109	host	tmk
gene-SERP1464	1106	413	799	633	368	639	120	20	71	64	8	43	host	gene-SERP1464
