# Program:featureCounts v2.0.1; Command:"featureCounts" "-p" "-M" "-O" "--primary" "-a" "dualGenome.gff3" "-t" "gene" "-o" "countData.tsv" "-g" "ID" "SRR29715797_sorted.bam" "SRR29715796_sorted.bam" "SRR29715803_sorted.bam" "SRR29715802_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR29715797_sorted.bam	SRR29715796_sorted.bam	SRR29715803_sorted.bam	SRR29715802_sorted.bam
gene-PA0030	AE004091.2	32060	32983	-	924	15	14	8	0
gene-PA0031	AE004091.2	33000	34511	-	1512	63	91	41	40
gene-PA0032	AE004091.2	34624	35538	+	915	66	76	35	44
gene-PA0033	AE004091.2	35905	36270	-	366	5	34	9	9
gene-PA0034	AE004091.2	36278	36901	-	624	57	85	46	33
gene-PA0035	AE004091.2	37087	37893	-	807	59	96	44	20
gene-PA0036	AE004091.2	37890	39098	-	1209	209	250	120	108
gene-PA0037	AE004091.2	39202	40089	+	888	55	65	25	15
gene-PA0038	AE004091.2	40190	40405	+	216	61	77	23	10
gene-PA0039	AE004091.2	40589	40816	+	228	52	109	62	45
gene-PA0040	AE004091.2	41113	42801	+	1689	587	692	419	274
gene-PA0041	AE004091.2	42914	53521	+	10608	779	1110	764	500
gene-PA0042	AE004091.2	56546	56941	+	396	42	86	31	16
gene-PA0043	AE004091.2	57212	58594	-	1383	60	99	54	46
gene-PA0044	AE004091.2	58786	60159	+	1374	91	127	73	76
gene-PA0045	AE004091.2	60656	61342	+	687	87	194	94	59
gene-PA0046	AE004091.2	61373	61726	+	354	170	280	159	113
gene-PA0047	AE004091.2	61879	62388	+	510	39	58	28	44
gene-PA0048	AE004091.2	62403	62786	-	384	31	44	12	18
gene-PA0049	AE004091.2	63068	64729	-	1662	20	35	18	19
gene-PA0050	AE004091.2	65339	65479	+	141	16	23	9	3
gene-PA0051	AE004091.2	66303	68135	+	1833	16	22	12	7
gene-PA0052	AE004091.2	68188	68616	-	429	6	12	1	1
gene-PA0053	AE004091.2	69272	69526	+	255	125	165	103	85
gene-PA0054	AE004091.2	69543	70091	-	549	92	135	90	64
gene-PA0055	AE004091.2	70130	70636	-	507	123	129	104	67
gene-PA0056	AE004091.2	70702	71622	-	921	17	17	20	20
gene-PA0057	AE004091.2	71730	72617	+	888	21	29	25	6
gene-PA0058	AE004091.2	72680	73384	+	705	10	22	6	5
gene-PA0059	AE004091.2	73468	73923	+	456	12	22	4	8
gene-PA0060	AE004091.2	74034	74267	+	234	124	126	70	64
gene-PA0061	AE004091.2	74279	74716	-	438	61	56	38	17
gene-PA0062	AE004091.2	74773	75189	-	417	47	41	8	12
gene-PA0063	AE004091.2	75281	76408	+	1128	204	292	167	137
gene-PA0064	AE004091.2	76416	77399	-	984	122	166	107	83
gene-PA0065	AE004091.2	77432	78097	-	666	106	160	65	60
gene-PA0066	AE004091.2	78090	78632	-	543	66	134	51	32
gene-PA0067	AE004091.2	78710	80755	+	2046	379	485	401	298
gene-PA0068	AE004091.2	80752	81027	+	276	62	90	49	33
gene-PA0069	AE004091.2	81116	82174	+	1059	61	83	42	34
gene-PA0070	AE004091.2	82404	83318	-	915	242	356	173	129
gene-PA0071	AE004091.2	83380	85092	-	1713	558	687	429	307
gene-PA0072	AE004091.2	85085	86284	-	1200	234	243	76	67
gene-PA0073	AE004091.2	86284	87003	-	720	39	60	29	24
gene-PA0074	AE004091.2	87000	90098	-	3099	722	862	603	331
gene-PA0075	AE004091.2	90106	90834	-	729	133	208	123	90
gene-PA0076	AE004091.2	90844	91524	-	681	97	122	63	58
gene-PA0077	AE004091.2	91521	94826	-	3306	686	798	563	357
gene-PA0078	AE004091.2	95048	96397	-	1350	119	199	144	108
gene-PA0079	AE004091.2	96404	97738	-	1335	266	311	182	112
gene-PA0080	AE004091.2	97754	98218	-	465	111	172	39	51
gene-PA0081	AE004091.2	98263	99756	-	1494	658	809	412	298
gene-PA0082	AE004091.2	100124	101158	+	1035	780	949	436	330
gene-PA0083	AE004091.2	101247	101765	+	519	423	677	329	282
gene-PA0084	AE004091.2	101778	103274	+	1497	799	1078	533	411
gene-PA0085	AE004091.2	103350	103838	+	489	440	571	301	217
gene-PA0086	AE004091.2	104006	104851	+	846	488	565	281	226
gene-PA0087	AE004091.2	104853	105362	+	510	221	239	154	96
gene-PA0088	AE004091.2	105359	107218	+	1860	483	576	373	250
gene-PA0089	AE004091.2	107182	108228	+	1047	284	393	165	100
gene-PA0090	AE004091.2	108221	110929	+	2709	693	808	485	301
gene-PA0091	AE004091.2	110976	112907	+	1932	520	636	293	190
gene-PA0092	AE004091.2	113022	113306	-	285	164	191	83	70
gene-PA0093	AE004091.2	113303	114595	-	1293	288	402	178	142
gene-PA0094	AE004091.2	114611	115045	-	435	286	288	164	129
gene-PA0095	AE004091.2	115299	117524	+	2226	327	422	230	211
gene-PA0096	AE004091.2	117552	118001	+	450	27	41	16	12
gene-PA0097	AE004091.2	117931	119130	+	1200	30	47	23	11
gene-PA0098	AE004091.2	119127	120164	+	1038	25	56	41	20
gene-PA0099	AE004091.2	120164	121324	+	1161	66	98	74	50
gene-PA0100	AE004091.2	121346	122266	+	921	182	254	149	109
gene-PA0101	AE004091.2	122248	123495	+	1248	51	57	22	24
gene-PA0102	AE004091.2	123871	124599	+	729	63	89	88	68
gene-PA0103	AE004091.2	124810	126381	+	1572	28	41	29	16
gene-PA0104	AE004091.2	126518	127114	+	597	94	131	67	45
gene-PA0105	AE004091.2	127378	128502	+	1125	83	94	45	22
gene-PA0106	AE004091.2	128512	130104	+	1593	39	55	23	23
gene-PA0107	AE004091.2	130115	130669	+	555	13	14	5	7
gene-PA0108	AE004091.2	130680	131567	+	888	40	41	23	17
gene-PA0109	AE004091.2	131583	131792	-	210	7	17	8	3
gene-PA0110	AE004091.2	131808	132602	+	795	8	13	6	0
gene-PA0111	AE004091.2	132577	133155	+	579	12	6	1	2
gene-PA0112	AE004091.2	133220	134293	+	1074	23	19	23	19
gene-PA0113	AE004091.2	134319	135233	+	915	66	97	37	39
gene-PA0114	AE004091.2	135259	135894	+	636	140	157	76	60
gene-PA0115	AE004091.2	135934	136386	-	453	47	77	53	31
gene-PA0116	AE004091.2	136518	136991	+	474	144	174	92	67
gene-PA0117	AE004091.2	137248	137976	+	729	20	42	18	15
gene-PA0118	AE004091.2	138001	138588	+	588	16	30	13	6
gene-PA0119	AE004091.2	138818	140167	+	1350	142	227	115	84
gene-PA0120	AE004091.2	140216	140902	+	687	14	25	11	14
gene-PA0121	AE004091.2	141003	141737	+	735	16	13	8	12
gene-PA0122	AE004091.2	141917	142327	+	411	57	99	47	25
gene-PA0123	AE004091.2	142359	143267	-	909	49	63	24	22
gene-PA0124	AE004091.2	143567	143848	-	282	40	70	26	18
gene-PA0125	AE004091.2	143845	144072	-	228	131	167	70	50
gene-PA0126	AE004091.2	144248	144868	-	621	39	69	24	26
gene-PA0127	AE004091.2	144969	145469	+	501	32	22	19	11
gene-PA0128	AE004091.2	145542	145883	+	342	118	174	109	77
gene-PA0129	AE004091.2	145965	147392	-	1428	106	142	94	55
gene-PA0130	AE004091.2	147561	149054	-	1494	65	93	91	51
gene-PA0131	AE004091.2	149138	149425	-	288	15	23	19	16
gene-PA0132	AE004091.2	149425	150771	-	1347	50	83	107	88
gene-PA0133	AE004091.2	150906	151823	+	918	69	100	59	48
gene-PA0134	AE004091.2	151936	153306	-	1371	114	143	61	57
gene-PA0135	AE004091.2	153696	153836	+	141	5	2	0	2
gene-PA0136	AE004091.2	154417	155988	+	1572	19	25	13	9
gene-PA0137	AE004091.2	155988	157085	+	1098	31	34	20	14
gene-PA0138	AE004091.2	157108	158034	+	927	13	25	9	11
gene-PA0139	AE004091.2	158199	158762	+	564	482	687	348	233
gene-PA0140	AE004091.2	158907	160472	+	1566	273	332	237	143
gene-PA0141	AE004091.2	160552	161448	-	897	86	142	63	60
gene-PA0142	AE004091.2	161906	163255	+	1350	86	69	77	38
gene-PA0143	AE004091.2	163363	164415	+	1053	90	142	63	46
gene-PA0144	AE004091.2	164443	165069	-	627	31	40	23	30
gene-PA0145	AE004091.2	165219	165737	-	519	27	36	13	17
gene-PA0146	AE004091.2	165976	167073	+	1098	26	18	15	8
gene-PA0147	AE004091.2	167146	168108	+	963	17	37	19	13
gene-PA0148	AE004091.2	168213	169163	+	951	49	65	64	33
gene-PA0149	AE004091.2	169361	169906	+	546	8	11	10	12
gene-PA0150	AE004091.2	169903	170898	+	996	33	29	10	10
gene-PA0151	AE004091.2	171047	173434	+	2388	44	52	25	22
gene-PA0152	AE004091.2	173811	174638	+	828	58	60	34	11
gene-PA0153	AE004091.2	174773	175492	+	720	24	28	18	12
gene-PA0154	AE004091.2	175503	176108	+	606	62	113	55	29
gene-PA0155	AE004091.2	176315	177154	+	840	56	82	40	23
gene-PA0156	AE004091.2	177307	178458	+	1152	57	67	24	29
gene-PA0157	AE004091.2	178455	179525	+	1071	44	84	63	39
gene-PA0158	AE004091.2	179522	182569	+	3048	384	521	412	235
gene-PA0159	AE004091.2	182768	183706	+	939	92	121	47	51
gene-PA0160	AE004091.2	183822	184007	+	186	11	11	5	6
gene-PA0161	AE004091.2	184287	184439	+	153	3774	4160	1175	897
gene-PA0162	AE004091.2	184594	185928	+	1335	109	110	60	44
gene-PA0163	AE004091.2	185957	186754	-	798	81	145	52	40
gene-PA0164	AE004091.2	186832	188448	+	1617	52	93	43	38
gene-PA0165	AE004091.2	189120	189956	+	837	87	135	73	65
gene-PA0166	AE004091.2	190198	191604	+	1407	30	31	23	16
gene-PA0167	AE004091.2	191697	192362	+	666	126	169	105	72
gene-PA0168	AE004091.2	192368	192958	+	591	54	71	45	25
gene-PA0169	AE004091.2	192965	193672	-	708	172	234	126	76
gene-PA0170	AE004091.2	193799	194179	-	381	101	211	149	90
gene-PA0171	AE004091.2	194206	194748	-	543	184	210	151	87
gene-PA0172	AE004091.2	194757	196748	-	1992	649	881	408	302
gene-PA0173	AE004091.2	197011	198060	-	1050	8	7	11	5
gene-PA0174	AE004091.2	198080	198682	-	603	10	12	4	6
gene-PA0175	AE004091.2	198688	199530	-	843	6	8	11	4
gene-PA0176	AE004091.2	199600	201639	-	2040	27	42	21	31
gene-PA0177	AE004091.2	201675	202160	-	486	8	15	10	6
gene-PA0178	AE004091.2	202147	204066	-	1920	52	82	51	36
gene-PA0179	AE004091.2	204094	204459	-	366	31	49	26	18
gene-PA0180	AE004091.2	204657	205829	-	1173	84	81	38	40
gene-PA0181	AE004091.2	206022	206954	-	933	82	109	65	33
gene-PA0182	AE004091.2	207071	207823	+	753	9	15	15	10
gene-PA0183	AE004091.2	207923	209533	-	1611	23	31	21	13
gene-PA0184	AE004091.2	209621	210460	-	840	7	5	10	5
gene-PA0185	AE004091.2	210457	212073	-	1617	17	35	21	7
gene-PA0186	AE004091.2	212340	213401	+	1062	22	43	29	18
gene-PA0187	AE004091.2	213819	214634	+	816	9	26	12	13
gene-PA0188	AE004091.2	214631	215512	+	882	10	10	6	5
gene-PA0189	AE004091.2	215550	216908	-	1359	13	26	11	7
gene-PA0190	AE004091.2	217156	217881	+	726	10	15	6	4
gene-PA0191	AE004091.2	217905	218822	-	918	27	26	27	18
gene-PA0192	AE004091.2	219172	221544	+	2373	22	28	15	14
gene-PA0193	AE004091.2	221585	222487	+	903	10	6	5	2
gene-PA0194	AE004091.2	222555	223454	+	900	7	11	5	1
gene-PA0195	AE004091.2	224101	225219	+	1119	69	110	30	22
gene-PA0195.1	AE004091.2	225295	225603	+	309	29	34	17	11
gene-PA0196	AE004091.2	225603	227039	+	1437	59	98	38	39
gene-PA0197	AE004091.2	227382	228194	+	813	6	17	2	5
gene-PA0198	AE004091.2	228223	228942	+	720	26	28	14	15
gene-PA0199	AE004091.2	228944	229345	+	402	51	53	26	30
gene-PA0200	AE004091.2	229526	229738	-	213	144	224	70	85
gene-PA0201	AE004091.2	229954	230535	+	582	102	117	72	59
gene-PA0202	AE004091.2	230543	232000	-	1458	59	81	33	21
gene-PA0203	AE004091.2	232066	233100	-	1035	11	25	13	9
gene-PA0204	AE004091.2	233123	233932	-	810	32	35	15	10
gene-PA0205	AE004091.2	233929	234849	-	921	16	25	6	11
gene-PA0206	AE004091.2	234875	235987	-	1113	16	31	16	6
gene-PA0207	AE004091.2	236218	237111	+	894	51	72	63	40
gene-PA0208	AE004091.2	237232	238896	+	1665	49	56	47	33
gene-PA0209	AE004091.2	238896	239777	+	882	3	15	5	6
gene-PA0210	AE004091.2	239779	240078	+	300	3	0	0	1
gene-PA0211	AE004091.2	240071	240934	+	864	1	2	3	5
gene-PA0212	AE004091.2	240931	241737	+	807	6	5	4	1
gene-PA0213	AE004091.2	241753	242445	+	693	9	4	2	3
gene-PA0214	AE004091.2	242442	243374	+	933	16	20	8	8
gene-PA0215	AE004091.2	243431	243835	+	405	88	113	36	27
gene-PA0216	AE004091.2	243841	244605	+	765	26	38	6	12
gene-PA0217	AE004091.2	244690	245619	-	930	37	61	33	22
gene-PA0218	AE004091.2	245948	246868	-	921	50	49	27	17
gene-PA0219	AE004091.2	247219	248709	+	1491	17	18	13	7
gene-PA0220	AE004091.2	248767	250200	+	1434	74	73	36	33
gene-PA0221	AE004091.2	250231	251613	+	1383	22	32	16	11
gene-PA0222	AE004091.2	251777	252835	+	1059	20	22	12	11
gene-PA0223	AE004091.2	252913	253794	-	882	10	18	21	12
gene-PA0224	AE004091.2	253854	254636	-	783	87	106	98	40
gene-PA0225	AE004091.2	254791	255330	+	540	21	37	12	17
gene-PA0226	AE004091.2	255481	256332	+	852	19	25	29	12
gene-PA0227	AE004091.2	256329	257111	+	783	4	13	14	8
gene-PA0228	AE004091.2	257108	258313	+	1206	14	20	18	7
gene-PA0229	AE004091.2	258463	259761	+	1299	58	66	34	39
gene-PA0230	AE004091.2	259784	261163	+	1380	22	47	28	18
gene-PA0231	AE004091.2	261179	261970	+	792	27	29	10	8
gene-PA0232	AE004091.2	261981	262382	+	402	13	23	12	11
gene-PA0233	AE004091.2	262557	263498	+	942	46	78	68	24
gene-PA0234	AE004091.2	263689	264522	+	834	42	56	37	27
gene-PA0235	AE004091.2	264964	266310	-	1347	12	21	10	4
gene-PA0236	AE004091.2	266616	267395	+	780	31	51	16	11
gene-PA0237	AE004091.2	267638	268681	+	1044	6	13	7	2
gene-PA0238	AE004091.2	268704	269519	+	816	4	15	6	6
gene-PA0239	AE004091.2	269669	270547	+	879	66	83	41	34
gene-PA0240	AE004091.2	270573	271838	-	1266	38	41	26	27
gene-PA0241	AE004091.2	271904	273229	-	1326	19	21	7	13
gene-PA0242	AE004091.2	273775	275679	+	1905	23	29	13	7
gene-PA0243	AE004091.2	275772	276440	+	669	65	70	51	20
gene-PA0244	AE004091.2	276480	277334	-	855	27	27	18	15
gene-PA0245	AE004091.2	277331	277777	-	447	14	15	8	10
gene-PA0246	AE004091.2	277894	279399	-	1506	108	132	73	37
gene-PA0247	AE004091.2	279574	280758	-	1185	23	25	13	9
gene-PA0248	AE004091.2	280936	281802	+	867	172	231	81	78
gene-PA0249	AE004091.2	281799	282245	-	447	37	42	23	9
gene-PA0250	AE004091.2	282323	282757	-	435	46	63	41	40
gene-PA0251	AE004091.2	282912	283553	-	642	11	35	17	10
gene-PA0252	AE004091.2	283818	284105	-	288	14	11	19	6
gene-PA0253	AE004091.2	284197	284673	-	477	50	71	33	23
gene-PA0254	AE004091.2	284714	286204	-	1491	98	113	50	44
gene-PA0255	AE004091.2	286338	287024	-	687	110	206	75	73
gene-PA0256	AE004091.2	287188	288120	-	933	70	83	40	42
gene-PA0257	AE004091.2	288384	289175	-	792	148	170	123	60
gene-PA0258	AE004091.2	289205	289390	-	186	55	99	36	30
gene-PA0259	AE004091.2	289562	291004	-	1443	710	894	550	413
gene-PA0260	AE004091.2	291154	293304	-	2151	467	576	427	296
gene-PA0261	AE004091.2	293301	293798	-	498	34	39	17	24
gene-PA0262	AE004091.2	293802	296861	-	3060	225	340	205	134
gene-PA0263	AE004091.2	297043	297561	-	519	27	25	20	12
gene-PA0263.1	AE004091.2	298816	298892	-	77	1292	672	1589	6229
gene-PA0264	AE004091.2	299081	299497	-	417	146	180	117	95
gene-PA0265	AE004091.2	299522	300973	+	1452	403	557	559	373
gene-PA0266	AE004091.2	301218	302498	+	1281	287	410	293	268
gene-PA0267	AE004091.2	302824	304023	+	1200	108	165	74	44
gene-PA0268	AE004091.2	304177	305598	-	1422	28	35	20	15
gene-PA0269	AE004091.2	305725	306162	+	438	12	19	6	5
gene-PA0270	AE004091.2	306174	306581	+	408	12	20	4	7
gene-PA0271	AE004091.2	306615	306899	+	285	26	28	16	12
gene-PA0272	AE004091.2	306896	307828	-	933	53	92	50	20
gene-PA0273	AE004091.2	307878	309092	-	1215	5	7	7	5
gene-PA0274	AE004091.2	309255	310025	-	771	19	10	10	8
gene-PA0275	AE004091.2	310134	310820	-	687	65	77	30	30
gene-PA0276	AE004091.2	310896	311411	+	516	40	36	13	12
gene-PA0277	AE004091.2	311451	312209	-	759	207	186	93	65
gene-PA0278	AE004091.2	312381	313133	-	753	13	37	4	9
gene-PA0279	AE004091.2	313227	313925	+	699	14	27	8	9
gene-PA0280	AE004091.2	313938	314927	-	990	104	118	57	31
gene-PA0281	AE004091.2	314931	315800	-	870	66	118	75	48
gene-PA0282	AE004091.2	315811	316629	-	819	49	44	31	18
gene-PA0283	AE004091.2	316791	317789	-	999	135	210	74	62
gene-PA0284	AE004091.2	317966	318148	-	183	54	54	14	11
gene-PA0285	AE004091.2	318312	320594	-	2283	203	325	280	156
gene-PA0286	AE004091.2	320766	321944	+	1179	401	527	371	273
gene-PA0287	AE004091.2	322175	323560	+	1386	21	31	20	12
gene-PA0288	AE004091.2	323616	324572	+	957	14	17	9	6
gene-PA0289	AE004091.2	324625	325587	+	963	55	69	30	33
gene-PA0290	AE004091.2	325700	326671	+	972	60	89	47	34
gene-PA0291	AE004091.2	327284	328666	+	1383	412	507	510	336
gene-PA0292	AE004091.2	328801	329907	-	1107	141	180	139	96
gene-PA0293	AE004091.2	329993	330871	-	879	89	101	51	35
gene-PA0294	AE004091.2	331034	331699	-	666	34	36	24	21
gene-PA0295	AE004091.2	331762	332823	-	1062	84	160	93	79
gene-PA0296	AE004091.2	333079	334455	-	1377	716	856	821	587
gene-PA0297	AE004091.2	334734	335486	+	753	869	870	738	454
gene-PA0298	AE004091.2	335527	336885	+	1359	256	311	510	346
gene-PA0299	AE004091.2	336951	338321	+	1371	242	380	426	278
gene-PA0300	AE004091.2	338437	339540	+	1104	279	392	307	260
gene-PA0301	AE004091.2	339959	341056	+	1098	133	199	220	163
gene-PA0302	AE004091.2	341111	342265	+	1155	124	199	147	110
gene-PA0303	AE004091.2	342292	343173	+	882	230	295	204	145
gene-PA0304	AE004091.2	343256	344125	+	870	100	159	79	82
gene-PA0305	AE004091.2	344303	346690	-	2388	128	170	106	89
gene-PA0306	AE004091.2	346801	347853	+	1053	54	58	42	40
gene-PA0307	AE004091.2	348440	349051	-	612	56	94	42	30
gene-PA0308	AE004091.2	349050	350069	+	1020	101	154	89	54
gene-PA0309	AE004091.2	350089	350841	-	753	116	158	102	65
gene-PA0310	AE004091.2	350890	351588	+	699	160	243	172	132
gene-PA0311	AE004091.2	351610	352164	-	555	17	24	12	9
gene-PA0312	AE004091.2	352430	352924	+	495	91	131	53	42
gene-PA0313	AE004091.2	352927	353619	-	693	79	107	77	60
gene-PA0314	AE004091.2	353691	354461	-	771	105	117	85	55
gene-PA0315	AE004091.2	354754	355191	+	438	57	71	28	27
gene-PA0316	AE004091.2	355248	356477	-	1230	537	715	475	337
gene-PA0317	AE004091.2	356681	358075	+	1395	383	581	405	273
gene-PA0318	AE004091.2	358167	358832	+	666	72	83	68	58
gene-PA0319	AE004091.2	358931	359920	+	990	143	194	142	121
gene-PA0320	AE004091.2	359982	360332	+	351	9	18	17	7
gene-PA0321	AE004091.2	360413	361447	-	1035	16	36	13	13
gene-PA0322	AE004091.2	361463	362857	-	1395	30	34	9	14
gene-PA0323	AE004091.2	363278	364321	-	1044	27	48	24	17
gene-PA0324	AE004091.2	364369	365157	-	789	23	43	23	11
gene-PA0325	AE004091.2	365154	366083	-	930	48	36	31	12
gene-PA0326	AE004091.2	366080	367129	-	1050	22	21	25	14
gene-PA0327	AE004091.2	367457	368422	+	966	80	80	40	32
gene-PA0328	AE004091.2	368462	370405	-	1944	60	88	71	57
gene-PA0329	AE004091.2	370706	371038	-	333	127	138	81	74
gene-PA0330	AE004091.2	371162	371833	-	672	215	333	275	191
gene-PA0331	AE004091.2	372091	373605	+	1515	358	544	345	312
gene-PA0332	AE004091.2	373725	374192	+	468	110	149	80	59
gene-PA0333	AE004091.2	374243	375514	+	1272	141	177	127	72
gene-PA0334	AE004091.2	375951	377189	-	1239	105	167	99	72
gene-PA0335	AE004091.2	377239	377892	-	654	119	154	114	99
gene-PA0336	AE004091.2	378096	378575	+	480	665	889	531	375
gene-PA0337	AE004091.2	378598	380877	+	2280	645	848	589	397
gene-PA0338	AE004091.2	380903	382033	+	1131	129	164	115	49
gene-PA0339	AE004091.2	382037	382792	-	756	77	90	49	35
gene-PA0340	AE004091.2	382914	383717	+	804	408	512	296	232
gene-PA0341	AE004091.2	383727	384527	+	801	320	391	294	186
gene-PA0342	AE004091.2	384733	385527	+	795	322	476	335	212
gene-PA0343	AE004091.2	385554	386351	-	798	190	295	179	109
gene-PA0344	AE004091.2	386386	387765	-	1380	76	99	43	43
gene-PA0345	AE004091.2	387758	389143	-	1386	67	84	48	35
gene-PA0346	AE004091.2	389334	389696	+	363	10	14	11	4
gene-PA0347	AE004091.2	389733	390884	-	1152	33	49	23	20
gene-PA0348	AE004091.2	391094	392188	+	1095	21	36	17	16
gene-PA0349	AE004091.2	392185	393225	+	1041	16	28	10	10
gene-PA0350	AE004091.2	393308	393814	+	507	54	71	25	27
gene-PA0351	AE004091.2	393830	394303	-	474	134	194	92	57
gene-PA0352	AE004091.2	394442	395827	-	1386	205	246	173	102
gene-PA0353	AE004091.2	396057	397895	-	1839	324	495	373	232
gene-PA0354	AE004091.2	398224	399420	-	1197	175	285	236	157
gene-PA0355	AE004091.2	399493	400032	-	540	8	33	10	7
gene-PA0356	AE004091.2	400248	401072	+	825	168	255	189	120
gene-PA0357	AE004091.2	401131	401943	+	813	156	213	117	109
gene-PA0358	AE004091.2	402020	402598	+	579	118	152	115	80
gene-PA0359	AE004091.2	402681	403025	+	345	56	79	36	35
gene-PA0360	AE004091.2	403295	404281	+	987	145	181	86	84
gene-PA0361	AE004091.2	404386	406119	-	1734	145	224	133	100
gene-PA0362	AE004091.2	406247	406498	-	252	321	396	214	202
gene-PA0363	AE004091.2	406619	407098	-	480	303	310	215	129
gene-PA0364	AE004091.2	407250	408845	-	1596	42	47	38	21
gene-PA0365	AE004091.2	408901	409449	-	549	6	22	14	7
gene-PA0366	AE004091.2	409504	410934	-	1431	91	141	54	38
gene-PA0367	AE004091.2	411224	411871	+	648	110	151	70	54
gene-PA0368	AE004091.2	412329	413327	-	999	179	199	144	97
gene-PA0369	AE004091.2	413364	413654	-	291	50	52	71	40
gene-PA0370	AE004091.2	413933	414529	-	597	102	180	102	74
gene-PA0371	AE004091.2	414529	416016	-	1488	230	290	183	134
gene-PA0372	AE004091.2	416009	417406	-	1398	170	244	210	152
gene-PA0373	AE004091.2	417527	418894	+	1368	560	736	601	387
gene-PA0374	AE004091.2	418891	419562	+	672	256	347	228	190
gene-PA0375	AE004091.2	419562	420569	+	1008	584	841	507	356
gene-PA0376	AE004091.2	420683	421537	+	855	761	1149	617	441
gene-PA0377	AE004091.2	421602	422207	+	606	137	141	138	62
gene-PA0378	AE004091.2	422212	422943	-	732	145	187	84	73
gene-PA0379	AE004091.2	422980	423357	+	378	52	70	42	28
gene-PA0380	AE004091.2	423460	423660	+	201	152	228	84	72
gene-PA0381	AE004091.2	423719	424516	+	798	167	161	117	97
gene-PA0382	AE004091.2	424670	425341	+	672	133	151	166	94
gene-PA0383	AE004091.2	425504	426850	+	1347	95	93	84	74
gene-PA0384	AE004091.2	426863	427120	-	258	10	24	14	8
gene-PA0385	AE004091.2	427182	427505	-	324	55	73	48	35
gene-PA0386	AE004091.2	427586	428740	-	1155	98	114	85	52
gene-PA0387	AE004091.2	428861	429454	-	594	95	135	98	99
gene-PA0388	AE004091.2	429451	429870	-	420	191	264	154	114
gene-PA0389	AE004091.2	430002	430622	-	621	166	254	144	95
gene-PA0390	AE004091.2	430630	431769	-	1140	429	604	351	241
gene-PA0391	AE004091.2	431858	433825	-	1968	253	286	230	142
gene-PA0392	AE004091.2	434226	434819	-	594	166	211	168	101
gene-PA0393	AE004091.2	434830	435651	-	822	83	112	69	48
gene-PA0394	AE004091.2	435663	436355	-	693	134	200	112	74
gene-PA0395	AE004091.2	436570	437604	+	1035	203	282	259	179
gene-PA0396	AE004091.2	437782	438930	+	1149	144	209	167	150
gene-PA0397	AE004091.2	438938	439837	-	900	74	66	46	43
gene-PA0398	AE004091.2	439991	440395	+	405	184	259	138	86
gene-PA0399	AE004091.2	440638	442011	+	1374	156	174	95	71
gene-PA0400	AE004091.2	442008	443192	+	1185	99	106	75	67
gene-PA0401	AE004091.2	443419	444690	-	1272	245	298	239	147
gene-PA0402	AE004091.2	444687	445691	-	1005	433	553	384	278
gene-PA0403	AE004091.2	445715	446227	-	513	170	254	143	135
