# Program:featureCounts v2.0.1; Command:"featureCounts" "-p" "-M" "-O" "--primary" "-a" "dualGenome.gff3" "-t" "gene" "-o" "countData.tsv" "-g" "ID" "SRR2932986_sorted.bam" "SRR2932982_sorted.bam" "SRR2932985_sorted.bam" "SRR2932987_sorted.bam" "SRR2932981_sorted.bam" "SRR2932980_sorted.bam" "SRR2932983_sorted.bam" "SRR2932984_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR2932986_sorted.bam	SRR2932982_sorted.bam	SRR2932985_sorted.bam	SRR2932987_sorted.bam	SRR2932981_sorted.bam	SRR2932980_sorted.bam	SRR2932983_sorted.bam	SRR2932984_sorted.bam
gene-TX72_RS00155	NC_005070.1	33466	34029	+	564	81	508	174	82	3016	3326	761	270
gene-TX72_RS00160	NC_005070.1	34026	34499	+	474	21	151	39	24	1016	1017	239	95
gene-TX72_RS00165	NC_005070.1	34496	35518	-	1023	8	37	16	11	271	267	73	22
gene-TX72_RS13670	NC_005070.1	35512	35700	+	189	3	8	5	0	81	64	18	6
gene-TX72_RS00170	NC_005070.1	35685	36590	-	906	2	10	8	0	49	68	14	10
gene-TX72_RS00175	NC_005070.1	36800	37201	-	402	5	13	5	3	74	78	33	9
gene-TX72_RS00180	NC_005070.1	37349	38968	+	1620	3	29	8	5	162	157	46	15
gene-TX72_RS00185	NC_005070.1	38923	39207	-	285	0	6	1	0	65	61	9	6
gene-TX72_RS00190	NC_005070.1	39293	39718	-	426	4	10	2	2	125	101	17	6
gene-TX72_RS00200	NC_005070.1	40349	40678	+	330	0	1	1	0	34	24	9	3
gene-TX72_RS00205	NC_005070.1	40717	40947	+	231	8	61	19	7	478	477	107	38
gene-TX72_RS00215	NC_005070.1	41242	41313	-	72	2	17	5	3	47	57	14	7
gene-TX72_RS00220	NC_005070.1	41347	42495	-	1149	20	134	37	17	1361	1293	218	96
gene-TX72_RS00225	NC_005070.1	42546	43655	+	1110	2	15	9	1	119	84	18	15
gene-TX72_RS00230	NC_005070.1	43692	45278	+	1587	11	107	29	20	1012	939	202	91
gene-TX72_RS00235	NC_005070.1	45331	45942	+	612	5	17	1	6	101	125	27	14
gene-TX72_RS00240	NC_005070.1	45952	46314	+	363	4	13	4	1	126	140	20	9
gene-TX72_RS00245	NC_005070.1	46318	48105	+	1788	7	39	8	7	264	242	63	35
gene-TX72_RS00250	NC_005070.1	48109	49254	-	1146	7	73	33	17	713	655	107	60
gene-TX72_RS00255	NC_005070.1	49268	50464	-	1197	60	315	116	59	3369	3535	589	256
gene-TX72_RS00260	NC_005070.1	50538	50711	-	174	6	33	9	5	253	305	54	18
gene-TX72_RS00265	NC_005070.1	50807	51631	-	825	3	18	6	3	168	154	24	11
gene-TX72_RS00270	NC_005070.1	51683	52234	+	552	14	56	20	11	458	520	98	27
gene-TX72_RS00275	NC_005070.1	52258	52773	-	516	24	119	56	26	815	844	237	106
gene-TX72_RS00280	NC_005070.1	52783	53130	-	348	20	193	67	23	1665	1457	294	133
gene-TX72_RS00285	NC_005070.1	53171	53368	-	198	24	164	47	23	2210	1932	280	109
gene-TX72_RS00290	NC_005070.1	53427	54974	+	1548	2	19	4	3	84	92	28	10
gene-TX72_RS00295	NC_005070.1	54999	56321	+	1323	15	104	35	24	781	924	189	71
gene-TX72_RS00300	NC_005070.1	56384	58165	-	1782	6	17	4	9	117	108	34	22
gene-TX72_RS00305	NC_005070.1	58189	58827	-	639	1	6	1	1	25	19	6	6
gene-TX72_RS00310	NC_005070.1	58846	60195	-	1350	15	51	18	13	228	268	62	33
gene-TX72_RS00315	NC_005070.1	60277	60951	-	675	21	99	29	21	675	724	141	64
gene-TX72_RS00320	NC_005070.1	60995	62413	-	1419	16	87	26	25	994	852	190	60
gene-TX72_RS00325	NC_005070.1	62578	63600	+	1023	11	75	31	27	522	580	92	65
gene-TX72_RS00330	NC_005070.1	63597	64505	+	909	7	74	16	17	389	417	101	61
gene-TX72_RS00335	NC_005070.1	64556	66592	+	2037	84	616	160	148	3052	3413	989	497
gene-TX72_RS14565	NC_005070.1	66593	67519	-	927	2	21	7	5	219	182	54	24
gene-TX72_RS00345	NC_005070.1	67497	69299	-	1803	8	24	5	6	207	190	58	29
gene-TX72_RS00350	NC_005070.1	69352	69798	-	447	1	2	3	0	17	19	1	4
gene-TX72_RS00355	NC_005070.1	69779	70087	-	309	0	3	0	0	36	33	3	0
gene-TX72_RS00360	NC_005070.1	70142	71107	-	966	1	3	0	2	11	14	8	2
gene-TX72_RS00365	NC_005070.1	71117	71743	+	627	2	12	2	2	78	83	32	11
gene-TX72_RS00370	NC_005070.1	71712	72761	-	1050	0	4	0	1	26	22	17	5
gene-TX72_RS00375	NC_005070.1	72760	73518	+	759	13	96	24	17	633	669	164	83
gene-TX72_RS00380	NC_005070.1	73579	75612	+	2034	7	57	30	11	452	436	110	44
gene-TX72_RS00385	NC_005070.1	75609	78311	-	2703	5	20	9	4	140	132	44	20
gene-TX72_RS00390	NC_005070.1	78348	79061	-	714	3	4	4	3	83	72	14	6
gene-TX72_RS00395	NC_005070.1	79065	79520	-	456	3	4	1	1	38	36	8	4
gene-TX72_RS00400	NC_005070.1	79608	79796	+	189	72	320	122	56	2309	2281	479	207
gene-TX72_RS00405	NC_005070.1	79853	80335	+	483	43	231	100	66	1617	1611	427	151
gene-TX72_RS00410	NC_005070.1	80332	81060	+	729	12	56	22	12	368	337	72	36
gene-TX72_RS12915	NC_005070.1	81057	82268	+	1212	13	49	32	9	255	223	98	44
gene-TX72_RS00430	NC_005070.1	82533	84980	-	2448	6805	29273	15923	6574	139672	143660	49002	20776
gene-TX72_RS00435	NC_005070.1	85193	85264	+	72	9	61	23	17	135	165	70	29
gene-TX72_RS00440	NC_005070.1	85592	88405	+	2814	58	358	128	73	2227	2263	551	240
gene-TX72_RS00445	NC_005070.1	88413	89363	+	951	16	60	29	13	400	428	108	45
gene-TX72_RS12765	NC_005070.1	89360	91012	+	1653	9	56	26	12	426	403	99	43
gene-TX72_RS00455	NC_005070.1	91136	91843	+	708	3	14	7	7	145	157	29	18
gene-TX72_RS00460	NC_005070.1	91797	92543	-	747	4	17	10	6	192	194	38	19
gene-TX72_RS00465	NC_005070.1	92554	93555	-	1002	0	20	4	1	221	196	26	6
gene-TX72_RS00470	NC_005070.1	93602	94387	+	786	2	17	5	3	132	155	29	17
gene-TX72_RS00475	NC_005070.1	94384	95037	-	654	25	181	58	38	1436	1268	316	121
gene-TX72_RS00480	NC_005070.1	95094	95993	-	900	2	15	3	5	102	90	22	18
gene-TX72_RS00485	NC_005070.1	96148	98115	+	1968	41	199	108	44	1182	1257	346	169
gene-TX72_RS00490	NC_005070.1	98115	98465	+	351	0	7	8	1	57	53	14	12
gene-TX72_RS00495	NC_005070.1	98446	98826	+	381	1	2	1	1	27	29	9	8
gene-TX72_RS00500	NC_005070.1	98819	99217	+	399	2	13	4	2	93	93	30	6
gene-TX72_RS00505	NC_005070.1	99183	99656	-	474	6	39	7	3	324	283	49	26
gene-TX72_RS00510	NC_005070.1	99682	100548	-	867	1	22	11	2	68	75	40	21
gene-TX72_RS00515	NC_005070.1	100801	102261	+	1461	2	36	16	14	301	274	69	28
gene-TX72_RS00520	NC_005070.1	102314	103312	+	999	4	65	30	11	489	508	95	43
gene-TX72_RS00525	NC_005070.1	103364	104506	+	1143	3	28	7	6	71	69	53	17
gene-TX72_RS00530	NC_005070.1	104574	106289	+	1716	18	52	40	17	482	506	146	40
gene-TX72_RS00535	NC_005070.1	106234	107169	-	936	4	38	6	6	179	215	46	25
gene-TX72_RS14795	NC_005070.1	107220	107495	+	276	0	6	5	0	41	32	6	7
gene-TX72_RS14800	NC_005070.1	107458	108129	+	672	1	5	1	0	22	31	12	4
gene-TX72_RS00545	NC_005070.1	108116	109006	+	891	2	8	2	0	27	45	6	1
gene-TX72_RS00550	NC_005070.1	109003	110241	+	1239	2	8	7	0	59	37	18	7
gene-TX72_RS00555	NC_005070.1	110275	110730	+	456	0	2	1	2	12	11	1	2
gene-TX72_RS00560	NC_005070.1	110803	111282	-	480	4	11	6	3	71	89	16	7
gene-TX72_RS00565	NC_005070.1	111329	111538	+	210	0	4	0	1	22	29	5	4
gene-TX72_RS00570	NC_005070.1	111505	113628	-	2124	3	35	6	1	134	127	38	19
gene-TX72_RS00575	NC_005070.1	113855	114055	+	201	0	6	6	0	31	28	16	6
gene-TX72_RS00580	NC_005070.1	114154	115296	+	1143	5	24	9	2	148	132	40	21
gene-TX72_RS00585	NC_005070.1	115326	116042	+	717	1	10	2	4	82	62	25	13
gene-TX72_RS00590	NC_005070.1	116052	117011	+	960	2	8	3	2	53	53	23	11
gene-TX72_RS00595	NC_005070.1	116978	117469	-	492	4	28	8	4	185	181	48	16
gene-TX72_RS00600	NC_005070.1	117498	118928	+	1431	45	236	121	71	1763	1516	518	261
gene-TX72_RS00605	NC_005070.1	118989	119648	+	660	12	54	19	14	430	463	98	51
gene-TX72_RS00610	NC_005070.1	119671	120048	-	378	6	39	11	8	392	384	76	34
gene-TX72_RS00615	NC_005070.1	120189	121241	+	1053	16	66	39	17	591	620	158	57
gene-TX72_RS00620	NC_005070.1	121246	121992	+	747	2	23	11	6	102	93	32	11
gene-TX72_RS00625	NC_005070.1	121995	122504	+	510	1	5	4	3	50	70	16	7
gene-TX72_RS00630	NC_005070.1	122501	123790	+	1290	4	13	4	5	69	94	26	8
gene-TX72_RS00635	NC_005070.1	123900	124661	+	762	46	139	78	32	1217	1310	274	127
gene-TX72_RS00640	NC_005070.1	124707	126215	+	1509	8	59	25	10	687	547	130	58
gene-TX72_RS00645	NC_005070.1	126243	126506	+	264	9	74	15	15	888	912	105	53
gene-TX72_RS00650	NC_005070.1	126508	126984	-	477	16	57	23	13	527	582	101	29
gene-TX72_RS00655	NC_005070.1	126981	127217	-	237	9	15	10	6	231	220	41	16
gene-TX72_RS00660	NC_005070.1	127240	128193	-	954	8	12	8	3	62	73	22	8
gene-TX72_RS00665	NC_005070.1	128190	129338	-	1149	1	4	5	3	46	41	17	12
gene-TX72_RS00670	NC_005070.1	129455	130480	+	1026	6	43	10	8	228	233	81	20
gene-TX72_RS00675	NC_005070.1	130482	130982	-	501	5	34	12	7	335	325	76	18
gene-TX72_RS00680	NC_005070.1	131033	132079	+	1047	0	17	1	2	110	119	34	11
gene-TX72_RS00685	NC_005070.1	132076	132849	+	774	1	14	1	2	67	68	17	12
gene-TX72_RS00690	NC_005070.1	132852	134027	+	1176	1	7	5	4	64	59	27	11
gene-TX72_RS00695	NC_005070.1	134027	134245	+	219	0	4	2	0	12	26	5	1
gene-TX72_RS00700	NC_005070.1	134256	134873	+	618	3	16	5	3	98	108	19	15
gene-TX72_RS00705	NC_005070.1	135058	136458	+	1401	44	225	61	44	1761	1727	326	155
gene-TX72_RS00710	NC_005070.1	136580	138589	-	2010	63	492	142	91	4450	3841	738	371
gene-TX72_RS00715	NC_005070.1	138643	139890	-	1248	40	246	87	57	2045	1879	412	193
gene-TX72_RS00720	NC_005070.1	139899	140141	-	243	42	219	77	48	1879	1859	411	136
gene-TX72_RS00725	NC_005070.1	140289	140534	+	246	15	84	36	25	2702	1514	100	45
gene-TX72_RS00730	NC_005070.1	140587	142476	+	1890	16	81	14	16	531	457	90	56
gene-TX72_RS13675	NC_005070.1	142495	143139	+	645	2	10	1	3	44	52	7	7
gene-TX72_RS13680	NC_005070.1	143152	143607	+	456	2	13	4	1	78	72	19	6
gene-TX72_RS00740	NC_005070.1	143583	145052	-	1470	19	70	25	13	757	736	154	61
gene-TX72_RS00745	NC_005070.1	145103	145636	-	534	3	21	7	1	164	147	37	7
gene-TX72_RS00750	NC_005070.1	145691	145876	+	186	3	13	2	3	213	201	29	15
gene-TX72_RS00755	NC_005070.1	145880	146704	+	825	5	31	7	3	241	235	44	26
gene-TX72_RS00760	NC_005070.1	146671	147387	-	717	4	53	26	10	395	453	88	55
gene-TX72_RS12910	NC_005070.1	147396	147782	-	387	15575	25347	19819	23496	86915	107364	54648	41360
gene-TX72_RS00765	NC_005070.1	147823	147896	+	74	7	25	16	5	29	45	13	12
gene-TX72_RS00770	NC_005070.1	147989	148315	+	327	2	12	4	3	76	72	25	7
gene-TX72_RS00775	NC_005070.1	148353	148817	+	465	61	255	106	63	1671	1965	446	179
gene-TX72_RS00780	NC_005070.1	148800	149819	-	1020	33	137	67	36	1119	1237	207	86
gene-TX72_RS00785	NC_005070.1	149876	152398	-	2523	13	56	24	17	417	355	89	40
gene-TX72_RS00790	NC_005070.1	152609	153985	+	1377	22	119	32	43	653	663	178	79
gene-TX72_RS00795	NC_005070.1	153986	154306	-	321	9	73	15	9	593	590	104	58
gene-TX72_RS00800	NC_005070.1	154356	155228	+	873	13	57	27	7	484	515	111	42
gene-TX72_RS00805	NC_005070.1	155296	156150	+	855	9	28	11	21	384	293	106	42
gene-TX72_RS00810	NC_005070.1	156135	157286	-	1152	4	26	5	5	226	216	51	22
gene-TX72_RS00815	NC_005070.1	157301	158647	+	1347	2	33	4	9	196	165	34	22
gene-TX72_RS00820	NC_005070.1	158546	159904	-	1359	4	28	9	8	177	175	42	37
gene-TX72_RS00825	NC_005070.1	161124	163178	+	2055	28	110	46	27	664	682	195	94
gene-TX72_RS00830	NC_005070.1	163235	164659	-	1425	22	171	60	26	1736	1522	314	130
gene-TX72_RS00835	NC_005070.1	164740	165675	+	936	2	16	2	2	134	129	29	10
gene-TX72_RS00840	NC_005070.1	165650	166837	-	1188	7	33	4	6	206	214	30	16
gene-TX72_RS00845	NC_005070.1	166834	167574	-	741	4	30	4	3	189	172	33	16
gene-TX72_RS00850	NC_005070.1	167654	168097	+	444	0	4	0	3	43	38	16	3
gene-TX72_RS00855	NC_005070.1	168173	168886	+	714	271	1308	384	274	7781	8030	1703	700
gene-TX72_RS00860	NC_005070.1	168890	169933	+	1044	52	253	86	51	1462	1480	326	158
gene-TX72_RS00865	NC_005070.1	170007	171824	+	1818	25	136	56	25	549	614	227	88
gene-TX72_RS00870	NC_005070.1	171825	173006	+	1182	8	41	16	10	145	160	49	26
gene-TX72_RS12920	NC_005070.1	173042	173995	+	954	7	53	9	12	264	291	70	42
gene-TX72_RS00875	NC_005070.1	173962	174876	+	915	8	39	19	7	112	123	62	28
gene-TX72_RS00880	NC_005070.1	175410	177107	+	1698	11	56	24	5	331	318	89	37
gene-TX72_RS00885	NC_005070.1	177104	178051	+	948	3	20	12	1	134	126	51	22
gene-TX72_RS13690	NC_005070.1	178048	179151	+	1104	7	52	20	6	209	186	63	34
gene-TX72_RS00895	NC_005070.1	179251	180102	-	852	4	42	16	12	443	465	82	29
gene-TX72_RS00900	NC_005070.1	180173	182566	+	2394	14	59	21	15	475	521	112	61
gene-TX72_RS00905	NC_005070.1	182559	183428	+	870	1	9	11	1	88	104	14	10
gene-TX72_RS00910	NC_005070.1	183454	184164	+	711	3	42	17	9	287	261	38	28
gene-TX72_RS00915	NC_005070.1	184164	184943	+	780	2	22	7	4	147	140	46	19
gene-TX72_RS00920	NC_005070.1	184952	185797	-	846	4	11	4	2	76	94	19	15
gene-TX72_RS00925	NC_005070.1	185781	186347	-	567	1	8	7	0	76	82	18	7
gene-TX72_RS00930	NC_005070.1	186344	187363	-	1020	6	45	14	8	256	307	55	16
gene-TX72_RS00935	NC_005070.1	187376	188587	+	1212	3	12	1	3	80	106	17	8
gene-TX72_RS00940	NC_005070.1	188584	190011	+	1428	2	20	7	3	98	79	31	12
gene-TX72_RS00945	NC_005070.1	189956	191980	-	2025	2	22	6	4	136	121	36	20
gene-TX72_RS00950	NC_005070.1	191977	193011	-	1035	2	15	5	2	134	130	29	19
gene-TX72_RS00955	NC_005070.1	193204	193857	+	654	10	60	22	14	335	370	103	46
gene-TX72_RS00960	NC_005070.1	193857	196775	+	2919	61	192	75	41	948	927	291	138
gene-TX72_RS00965	NC_005070.1	196778	197968	+	1191	36	130	62	28	672	662	229	82
gene-TX72_RS00970	NC_005070.1	197974	199224	+	1251	10	46	20	9	231	256	85	31
gene-TX72_RS12775	NC_005070.1	199343	201592	+	2250	9	53	17	7	193	195	61	37
gene-TX72_RS00980	NC_005070.1	201636	202928	+	1293	4	23	9	5	204	215	47	21
gene-TX72_RS00985	NC_005070.1	202930	203880	+	951	3	19	6	4	102	101	28	7
gene-TX72_RS00990	NC_005070.1	203877	205280	+	1404	20	76	24	21	664	731	159	74
gene-TX72_RS00995	NC_005070.1	205280	206302	+	1023	13	83	29	11	492	545	125	63
gene-TX72_RS01000	NC_005070.1	206387	206587	-	201	46	229	90	44	2501	2087	383	145
gene-TX72_RS01005	NC_005070.1	206598	206717	-	120	68	214	87	45	2662	2255	331	132
gene-TX72_RS01010	NC_005070.1	206726	206863	-	138	31	185	52	31	2600	2264	213	89
gene-TX72_RS01015	NC_005070.1	206867	207115	-	249	36	246	62	52	3383	2827	319	140
gene-TX72_RS01020	NC_005070.1	207186	208187	-	1002	37	188	63	37	1174	1013	267	131
gene-TX72_RS01025	NC_005070.1	208193	208609	-	417	12	91	26	20	737	748	136	74
gene-TX72_RS01030	NC_005070.1	208693	209055	+	363	18	122	49	22	967	898	147	84
gene-TX72_RS01035	NC_005070.1	209058	209798	+	741	16	135	36	28	1398	1207	184	104
gene-TX72_RS01040	NC_005070.1	209795	210361	+	567	8	83	28	28	715	680	134	42
gene-TX72_RS01045	NC_005070.1	210355	211680	-	1326	17	54	17	12	414	413	75	44
gene-TX72_RS01050	NC_005070.1	211865	212620	+	756	3	14	4	4	98	98	32	12
gene-TX72_RS01055	NC_005070.1	212626	213549	+	924	8	41	25	7	340	356	85	39
gene-TX72_RS01060	NC_005070.1	213608	215716	-	2109	13	81	17	16	579	581	109	54
gene-TX72_RS01065	NC_005070.1	215766	216140	-	375	1	2	2	0	37	29	4	1
gene-TX72_RS01070	NC_005070.1	216128	216346	-	219	2	3	1	0	27	29	6	1
gene-TX72_RS01075	NC_005070.1	216407	216898	+	492	0	9	3	0	33	50	8	3
gene-TX72_RS01080	NC_005070.1	216840	218597	-	1758	1	5	3	3	55	50	17	17
gene-TX72_RS01085	NC_005070.1	218632	219195	+	564	1	15	5	2	105	94	24	10
gene-TX72_RS01090	NC_005070.1	219192	220625	+	1434	7	51	23	6	353	354	84	29
gene-TX72_RS01095	NC_005070.1	220604	221839	-	1236	15	88	38	25	930	1018	172	74
gene-TX72_RS01100	NC_005070.1	221859	222443	-	585	3	8	5	1	43	60	12	7
gene-TX72_RS01105	NC_005070.1	222502	223014	+	513	0	3	1	0	20	31	4	5
gene-TX72_RS01110	NC_005070.1	222999	223436	-	438	3	6	1	0	30	17	8	5
gene-TX72_RS01115	NC_005070.1	223452	224351	-	900	4	17	7	5	85	76	11	11
gene-TX72_RS01120	NC_005070.1	224435	225217	+	783	30	98	41	25	1191	1081	225	90
gene-TX72_RS01125	NC_005070.1	225247	225855	+	609	9	56	11	12	652	543	105	50
gene-TX72_RS01130	NC_005070.1	225916	227385	+	1470	7	37	15	15	296	330	80	35
gene-TX72_RS01135	NC_005070.1	227538	228191	+	654	14	113	36	26	490	929	111	62
gene-TX72_RS01140	NC_005070.1	228184	229731	-	1548	14	144	35	25	850	815	235	113
gene-TX72_RS01145	NC_005070.1	229735	230925	-	1191	13	74	22	17	678	591	174	61
gene-TX72_RS01155	NC_005070.1	231978	233015	-	1038	13	118	49	24	1123	979	203	104
gene-TX72_RS01160	NC_005070.1	233086	233673	-	588	2	10	7	3	101	128	16	9
gene-TX72_RS01165	NC_005070.1	233670	235133	-	1464	7	54	18	11	490	517	100	39
gene-TX72_RS01170	NC_005070.1	235187	236662	+	1476	6	38	10	4	246	241	54	29
gene-TX72_RS01175	NC_005070.1	236644	237441	-	798	5	29	10	3	210	214	47	15
gene-TX72_RS01180	NC_005070.1	237438	238022	-	585	0	23	9	1	211	208	36	19
gene-TX72_RS01185	NC_005070.1	238077	238619	+	543	5	20	8	4	77	79	22	16
gene-TX72_RS13695	NC_005070.1	238635	238707	+	73	0	5	1	1	27	31	4	1
gene-TX72_RS01190	NC_005070.1	238721	240004	+	1284	11	43	10	7	275	321	59	29
gene-TX72_RS01195	NC_005070.1	240042	241049	+	1008	6	50	19	4	422	359	85	35
gene-TX72_RS01200	NC_005070.1	241069	244257	-	3189	9	89	37	13	623	610	163	44
gene-TX72_RS01205	NC_005070.1	244306	245040	+	735	25	136	45	37	1474	1280	222	106
gene-TX72_RS01210	NC_005070.1	245041	245184	-	144	19	90	31	22	1084	946	140	52
gene-TX72_RS01215	NC_005070.1	245216	246337	-	1122	4	27	10	3	233	247	42	18
gene-TX72_RS01220	NC_005070.1	246367	247128	+	762	0	16	7	2	89	108	22	12
gene-TX72_RS01225	NC_005070.1	247097	248236	-	1140	4	49	24	15	423	459	118	32
gene-TX72_RS13700	NC_005070.1	248375	248566	-	192	53	246	103	75	1091	1499	415	232
gene-TX72_RS01230	NC_005070.1	248585	248953	+	369	178	863	377	194	2525	3482	1075	635
gene-TX72_RS01235	NC_005070.1	248955	249524	-	570	49	294	142	59	816	1099	391	222
gene-TX72_RS01240	NC_005070.1	249582	251132	+	1551	5	109	25	9	1011	990	155	81
gene-TX72_RS01245	NC_005070.1	251186	251644	+	459	17	92	46	20	1200	1276	199	86
gene-TX72_RS01250	NC_005070.1	251653	252261	-	609	4	54	24	6	476	487	94	41
gene-TX72_RS01255	NC_005070.1	252316	253515	-	1200	13	95	37	14	1158	993	149	51
gene-TX72_RS01260	NC_005070.1	253620	255092	-	1473	321	1647	356	451	5708	6425	2198	1271
gene-TX72_RS01265	NC_005070.1	255198	255962	-	765	1	21	3	4	145	150	34	16
gene-TX72_RS01270	NC_005070.1	256032	257639	+	1608	7	31	13	10	176	183	53	26
gene-TX72_RS01275	NC_005070.1	257626	257889	-	264	2	11	7	6	116	137	33	14
gene-TX72_RS01280	NC_005070.1	257916	258206	-	291	0	9	4	3	63	63	13	6
gene-TX72_RS01285	NC_005070.1	258239	258493	-	255	1	5	4	4	86	107	14	5
gene-TX72_RS01290	NC_005070.1	258586	258659	+	74	5	17	7	9	11	20	11	2
gene-TX72_RS01295	NC_005070.1	258763	260052	+	1290	9	93	14	10	844	807	128	53
gene-TX72_RS01300	NC_005070.1	260146	261285	+	1140	12	27	11	14	331	344	75	37
gene-TX72_RS01305	NC_005070.1	261278	262537	+	1260	3	20	8	4	173	189	38	26
gene-TX72_RS01310	NC_005070.1	262565	263983	+	1419	14	140	32	16	1230	1020	209	97
gene-TX72_RS01315	NC_005070.1	263983	264597	+	615	7	53	13	6	360	356	86	34
gene-TX72_RS01320	NC_005070.1	264653	265075	+	423	4	23	7	3	193	179	32	12
gene-TX72_RS01325	NC_005070.1	265077	267872	-	2796	24	139	69	38	886	934	247	112
gene-TX72_RS01330	NC_005070.1	268029	268148	-	120	31	107	42	26	885	878	194	68
gene-TX72_RS01335	NC_005070.1	268186	271173	+	2988	4	50	12	9	390	361	73	18
gene-TX72_RS01340	NC_005070.1	271161	271301	-	141	2	17	2	3	262	200	24	9
gene-TX72_RS01345	NC_005070.1	271388	271588	+	201	48	260	93	50	2007	1959	340	140
gene-TX72_RS01350	NC_005070.1	271596	271829	+	234	41	141	58	38	1023	876	233	99
gene-TX72_RS01355	NC_005070.1	271836	272447	+	612	12	37	24	21	294	285	101	47
gene-TX72_RS01360	NC_005070.1	272444	272701	+	258	2	10	2	0	50	62	10	6
gene-TX72_RS01365	NC_005070.1	272679	273119	-	441	1	7	2	1	50	59	11	1
gene-TX72_RS01370	NC_005070.1	273116	274270	-	1155	8	27	16	11	290	286	77	27
gene-TX72_RS01375	NC_005070.1	274298	275011	-	714	6	28	17	18	111	124	101	50
gene-TX72_RS01380	NC_005070.1	275071	275820	-	750	0	16	7	1	179	153	29	10
gene-TX72_RS01385	NC_005070.1	275969	276562	+	594	0	5	3	0	54	63	9	3
gene-TX72_RS01390	NC_005070.1	276562	277155	+	594	1	12	3	3	66	66	19	10
gene-TX72_RS01395	NC_005070.1	277152	277874	-	723	1	23	4	6	148	102	33	12
gene-TX72_RS01400	NC_005070.1	277952	278506	-	555	4	19	6	5	199	189	26	16
gene-TX72_RS14610	NC_005070.1	278571	279074	+	504	2	20	4	2	91	103	24	8
gene-TX72_RS01410	NC_005070.1	281126	282514	+	1389	15	74	29	23	628	605	126	65
gene-TX72_RS01415	NC_005070.1	282501	283439	-	939	4	9	6	4	93	92	15	12
