Geneid	10_R1	10_R2	10_R3	50_R1	50_R2	50_R3	90_R1	90_R2	90_R3	Entity	Symbol
gene-SPD_RS02755	1028	1543	1613	1038	1569	1014	737	1240	789	host	pnp
gene-SPD_RS05255	111	192	171	133	200	104	63	112	86	host	gene-SPD_RS05255
gene-SPD_RS04785	788	1156	1168	493	808	432	397	571	335	host	phtE
gene-SPD_RS06255	42	43	48	36	71	34	41	41	31	host	gene-SPD_RS06255
gene-SPD_RS01180	1658	2587	2600	1449	2047	1196	1846	2244	1192	host	infA
gene-SPD_RS00155	674	950	985	792	1306	746	675	866	548	host	gene-SPD_RS00155
gene-SPD_RS02595	172	322	270	193	238	192	143	166	142	host	gene-SPD_RS02595
gene-SPD_RS08050	61	77	92	58	62	46	69	74	64	host	gene-SPD_RS08050
gene-SPD_RS00435	254	371	320	178	313	160	123	183	104	host	gene-SPD_RS00435
gene-SPD_RS03570	456	727	710	415	699	412	344	546	356	host	metK
gene-SPD_RS09275	762	1222	1318	767	1291	801	730	782	627	host	brpA
gene-SPD_RS05085	9	12	21	7	14	9	13	17	7	host	gene-SPD_RS05085
gene-SPD_RS02255	29436	43989	41123	23647	33492	22779	14512	21485	14438	host	pflB
gene-SPD_RS05930	89	152	160	109	182	103	81	92	77	host	gene-SPD_RS05930
gene-SPD_RS01325	444	665	711	329	636	358	410	544	308	host	gene-SPD_RS01325
gene-SPD_RS09680	253	347	383	247	446	219	196	279	133	host	nusG
gene-SPD_RS03905	433	602	720	412	706	389	314	415	255	host	gene-SPD_RS03905
gene-SPD_RS09980	20	31	35	25	49	50	36	70	71	host	gene-SPD_RS09980
gene-SPD_RS05875	419	730	605	336	648	337	220	362	177	host	gene-SPD_RS05875
gene-SPD_RS00125	4	9	9	3	4	3	3	1	5	host	ffs
gene-SPD_RS04265	66	104	117	61	83	48	37	103	43	host	gene-SPD_RS04265
gene-SPD_RS06090	1026	642	616	840	1672	811	491	757	500	host	gene-SPD_RS06090
gene-SPD_RS04850	425	489	479	265	597	290	269	352	175	host	mnmE
gene-SPD_RS04710	297	577	554	244	369	260	200	308	192	host	glmU
gene-SPD_RS05130	388	592	536	503	751	418	365	549	372	host	ftsW
gene-SPD_RS02765	310	586	588	310	368	256	209	452	254	host	gene-SPD_RS02765
gene-SPD_RS00025	95	140	143	114	186	110	144	187	113	host	pth
gene-SPD_RS09430	199	288	323	172	249	171	197	250	139	host	gene-SPD_RS09430
gene-SPD_RS07460	5991	9066	9516	5544	8381	5062	4304	5737	3647	host	lytC
gene-SPD_RS09850	1060	1702	1815	1159	1894	997	790	1130	610	host	gene-SPD_RS09850
gene-SPD_RS08035	1641	2475	2546	1414	2306	1394	1567	2018	1223	host	secA
gene-SPD_RS01835	209	427	399	195	325	201	204	349	194	host	recU
gene-SPD_RS04435	224	415	394	221	360	204	224	309	199	host	gene-SPD_RS04435
gene-SPD_RS06385	436	643	630	319	444	279	241	332	213	host	thrB
gene-SPD_RS04415	138	206	178	135	158	136	77	141	84	host	proB
gene-SPD_RS06320	4	4	4	1	8	0	2	0	0	host	gene-SPD_RS06320
gene-SPD_RS07495	22	28	39	19	28	18	20	23	12	host	gene-SPD_RS07495
gene-SPD_RS07430	423	594	656	296	598	292	262	324	196	host	gene-SPD_RS07430
gene-SPD_RS01270	35	44	54	35	56	28	16	21	11	host	gene-SPD_RS01270
gene-SPD_RS03610	458	797	779	357	512	329	268	396	277	host	gene-SPD_RS03610
gene-SPD_RS10710	70	107	111	64	68	54	48	42	31	host	gene-SPD_RS10710
gene-SPD_RS03820	1519	2588	2608	1391	1947	1206	1188	1792	1081	host	ezrA
gene-SPD_RS00920	220	404	321	240	348	208	130	236	181	host	mutL
gene-SPD_RS03635	642	893	878	497	580	421	615	770	495	host	rpsP
gene-SPD_RS00210	119	150	181	79	136	81	63	82	63	host	gene-SPD_RS00210
gene-SPD_RS06570	954	1364	1408	750	1119	725	461	706	490	host	pstB
gene-SPD_RS01120	1096	1652	1725	1043	1150	848	835	1349	928	host	rplN
gene-SPD_RS09800	5	7	8	8	2	5	7	7	5	host	gene-SPD_RS09800
gene-SPD_RS01430	4739	6666	7636	4310	6016	4263	1910	2841	1738	host	gene-SPD_RS01430
gene-SPD_RS08395	275	377	366	287	570	351	265	363	254	host	gene-SPD_RS08395
gene-SPD_RS09880	3	6	12	1	5	0	4	4	2	host	comGD
gene-SPD_RS09135	28	41	49	39	56	37	30	39	24	host	gene-SPD_RS09135
gene-SpSL1_37	12	34	32	12509	8307	10510	25139	36447	23969	phage	gene-SpSL1_37
gene-SPD_RS01905	504	728	904	247	413	307	247	275	205	host	gene-SPD_RS01905
gene-SPD_RS08820	447	734	766	314	586	339	221	290	188	host	gene-SPD_RS08820
gene-SPD_RS10415	174	269	331	11	16	9	5	7	7	host	gene-SPD_RS10415
gene-SPD_RS07355	1082	1889	1792	583	1040	622	412	670	377	host	gene-SPD_RS07355
gene-SPD_RS06515	363	587	546	308	510	303	301	414	301	host	gene-SPD_RS06515
gene-SPD_RS00995	953	1242	1316	490	922	545	720	850	453	host	gene-SPD_RS00995
gene-SPD_RS05840	36	43	61	56	88	57	44	67	42	host	gene-SPD_RS05840
gene-SPD_RS04470	299	467	442	242	413	205	165	241	136	host	trmFO
gene-SPD_RS02480	176	355	385	264	466	250	223	285	178	host	gene-SPD_RS02480
gene-SPD_RS03110	206	417	345	189	362	188	116	136	101	host	gene-SPD_RS03110
gene-SPD_RS04025	193	343	326	242	352	183	178	274	156	host	gene-SPD_RS04025
gene-SPD_RS01630	9	16	22	7	7	6	15	11	14	host	gene-SPD_RS01630
gene-SPD_RS01765	0	0	0	0	0	0	0	0	0	host	gene-SPD_RS01765
gene-SPD_RS09675	44	15	28	34	102	25	27	22	15	host	gene-SPD_RS09675
gene-SPD_RS08685	10	18	11	4	11	8	2	7	6	host	gene-SPD_RS08685
gene-SPD_RS01780	0	0	0	0	0	0	0	0	0	host	rfbA
gene-SPD_RS04615	274	553	512	180	224	173	229	310	195	host	mutM
gene-SPD_RS05975	930	1238	1279	739	1302	786	575	660	452	host	topA
gene-SPD_RS02875	517	880	864	509	888	448	392	658	354	host	murN
gene-SPD_RS02970	690	1106	1136	577	968	513	542	754	433	host	gene-SPD_RS02970
gene-SPD_RS05585	5691	6836	7323	4869	8839	4906	3616	4557	2981	host	gene-SPD_RS05585
gene-SPD_RS06520	196	304	279	153	265	162	189	254	194	host	gene-SPD_RS06520
gene-SPD_RS04035	294	530	482	274	451	294	181	278	165	host	gene-SPD_RS04035
gene-SPD_RS06150	176	312	288	195	397	177	139	207	120	host	gene-SPD_RS06150
gene-SPD_RS07750	145	241	218	113	190	87	79	103	52	host	dtd
gene-SPD_RS11910	1	1	1	3	1	1	1	0	0	host	gene-SPD_RS11910
gene-SPD_RS10905	8	16	20	13	33	12	15	19	8	host	gene-SPD_RS10905
gene-SPD_RS06810	1098	1564	1577	1053	1974	1080	684	1153	624	host	guaA
gene-SPD_RS07840	928	1816	1798	778	1089	706	772	1057	632	host	gene-SPD_RS07840
gene-SPD_RS05310	100	168	161	113	196	107	98	138	84	host	gene-SPD_RS05310
gene-SPD_RS03135	562	782	825	440	595	373	277	318	184	host	gene-SPD_RS03135
gene-SPD_RS03280	971	205	203	1057	3094	1048	700	1093	621	host	pyrE
gene-SPD_RS04120	11565	13755	13934	10416	16667	7999	8251	11363	6380	host	ssrA
gene-SPD_RS05405	828	1205	1247	627	904	597	460	639	407	host	glgA
gene-SPD_RS10400	166	236	212	146	142	123	86	131	79	host	rpmG
gene-SPD_RS05915	0	2	1	0	0	0	1	3	0	host	gene-SPD_RS05915
gene-SPD_RS03730	149	236	256	111	197	111	77	125	81	host	gene-SPD_RS03730
gene-SPD_RS03335	1153	1541	1553	1275	2186	1179	819	1301	734	host	lysS
gene-SPD_RS00385	2	3	0	2	7	3	1	3	3	host	gene-SPD_RS00385
gene-SPD_RS07630	504	922	846	493	782	529	436	641	441	host	gene-SPD_RS07630
gene-SPD_RS01865	2350	3552	3259	2181	3682	2100	1415	2098	1349	host	gndA
gene-SPD_RS02905	1311	1833	2005	1043	1895	1062	777	1163	691	host	pepV
gene-SpSL1_24	1747	2669	2547	2130	2566	1766	1248	1301	1228	phage	gene-SpSL1_24
gene-SpSL1_21	2706	4228	4277	2460	3492	2248	1328	1680	1110	phage	gene-SpSL1_21
gene-SpSL1_07	510	936	908	450	712	415	208	335	159	phage	gene-SpSL1_07
gene-SPD_RS10235	288	425	412	163	266	178	123	182	113	host	glgP
gene-SPD_RS07060	1529	2663	2486	1496	2104	1276	1202	2008	1181	host	gene-SPD_RS07060
gene-SPD_RS09010	4	23	25	4	14	15	19	20	15	host	gene-SPD_RS09010
gene-SPD_RS07505	323	504	613	296	500	286	333	442	298	host	codY
gene-SPD_RS04535	8	9	11	6	28	11	13	11	5	host	gene-SPD_RS04535
gene-SPD_RS09235	2	11	7	6	16	9	7	8	4	host	gene-SPD_RS09235
gene-SPD_RS00145	389	497	485	393	780	374	252	348	216	host	gene-SPD_RS00145
gene-SPD_RS01830	3258	4652	4725	2344	3680	2041	1658	2537	1647	host	pbp1a
gene-SPD_RS04045	34	60	69	49	71	36	70	62	37	host	gene-SPD_RS04045
gene-SPD_RS05390	686	1025	1225	727	1086	672	506	638	460	host	glgB
gene-SpSL1_19	3277	4055	5166	2631	4054	2635	1694	1787	1167	phage	gene-SpSL1_19
gene-SPD_RS10990	4	12	5	5	11	3	1	4	1	host	gene-SPD_RS10990
gene-SPD_RS10390	187	257	254	142	197	103	130	144	91	host	gene-SPD_RS10390
gene-SPD_RS02180	2203	3317	3512	1693	2809	1550	1368	2035	1169	host	gene-SPD_RS02180
gene-SPD_RS05905	1068	1603	1542	1403	2130	1286	1232	1815	1182	host	smc
gene-SPD_RS03710	221	432	421	230	251	192	192	271	172	host	gene-SPD_RS03710
gene-SpSL1_25	1911	2838	3072	2354	2808	1876	1342	1602	1127	phage	gene-SpSL1_25
gene-SPD_RS10085	630	1105	1062	412	626	431	366	525	293	host	patA
gene-SPD_RS03995	307	615	588	376	461	403	240	364	283	host	gene-SPD_RS03995
gene-SPD_RS01885	393	659	648	371	753	428	292	444	368	host	mvaD
gene-SPD_RS10475	530	991	872	361	403	345	352	545	352	host	gene-SPD_RS10475
gene-SPD_RS07970	8	3	12	4	8	6	8	7	5	host	gene-SPD_RS07970
gene-SPD_RS10470	401	816	752	298	364	287	291	422	302	host	gene-SPD_RS10470
gene-SPD_RS02150	634	970	885	574	863	461	359	589	373	host	gatA
gene-SPD_RS02300	2	6	4	2	9	3	9	5	3	host	gene-SPD_RS02300
gene-SPD_RS06410	410	549	644	327	573	338	274	337	179	host	gene-SPD_RS06410
gene-SPD_RS05625	14	26	16	4	14	12	7	9	5	host	gene-SPD_RS05625
gene-SPD_RS09705	6149	9540	9315	4824	7024	4229	2340	4168	2460	host	gap
gene-SPD_RS04080	29	46	47	9	42	29	11	13	11	host	gene-SPD_RS04080
gene-SPD_RS09895	10	12	33	11	21	18	17	17	11	host	comGA
gene-SPD_RS03410	270	462	364	167	301	200	147	223	115	host	thiD
gene-SPD_RS10130	3	17	17	6	14	5	11	12	10	host	pstC
gene-SPD_RS03870	70	173	148	61	102	59	32	53	46	host	gene-SPD_RS03870
gene-SPD_RS09425	626	1137	952	537	906	464	336	486	344	host	gene-SPD_RS09425
gene-SPD_RS11265	67	105	110	791	861	675	1210	1500	1220	host	gene-SPD_RS11265
gene-SPD_RS03065	102	148	174	68	108	60	80	85	54	host	gene-SPD_RS03065
gene-SPD_RS08765	305	539	502	194	259	199	129	188	89	host	gene-SPD_RS08765
gene-SPD_RS01740	0	0	0	0	0	0	0	1	0	host	cps2T
gene-SPD_RS02960	5	13	9	14	16	15	8	10	13	host	gene-SPD_RS02960
gene-SPD_RS06640	702	975	1016	723	1290	639	390	640	407	host	lgt
gene-SPD_RS08230	521	784	762	566	655	436	559	675	390	host	rpoZ
gene-SPD_RS09210	7	18	16	9	15	13	8	10	10	host	gene-SPD_RS09210
gene-SPD_RS02395	131	196	167	85	169	103	100	134	78	host	gene-SPD_RS02395
gene-SpSL1_31	202	284	315	19291	20408	19569	27090	37618	25737	phage	gene-SpSL1_31
gene-SPD_RS02645	70	113	102	68	87	72	50	63	63	host	gene-SPD_RS02645
gene-SPD_RS03140	333	585	508	303	482	280	184	212	170	host	gene-SPD_RS03140
gene-SPD_RS02250	68	94	95	50	86	43	36	68	32	host	dinB
gene-SPD_RS04760	214	353	337	141	239	132	116	183	87	host	ccdA2
gene-SPD_RS01940	496	699	797	317	497	305	213	297	205	host	gene-SPD_RS01940
gene-SPD_RS00120	20	28	27	15	28	15	14	19	15	host	tadA
gene-SPD_RS09040	1	16	12	3	7	5	11	7	13	host	gene-SPD_RS09040
gene-SPD_RS01455	1648	2963	2747	1345	1837	1424	1000	1866	1048	host	gene-SPD_RS01455
gene-SPD_RS03230	361	532	561	299	568	270	262	401	211	host	murD
gene-SPD_RS11270	104	139	169	97	172	103	71	78	62	host	gene-SPD_RS11270
gene-SPD_RS01625	4	13	15	8	11	6	12	13	9	host	gene-SPD_RS01625
gene-SPD_RS05485	392	573	614	387	791	405	436	586	340	host	ylqF
gene-SPD_RS10440	588	948	1020	109	147	118	82	107	58	host	gene-SPD_RS10440
gene-SPD_RS01185	516	712	771	496	686	417	465	587	422	host	rpmJ
gene-SPD_RS08305	152	250	269	131	187	138	121	156	100	host	gene-SPD_RS08305
gene-SPD_RS01620	7	4	5	4	5	1	4	10	3	host	gene-SPD_RS01620
gene-SPD_RS06795	2	1	0	0	1	1	0	1	0	host	gene-SPD_RS06795
gene-SPD_RS08065	89	130	133	92	160	79	72	133	80	host	rgg1518
gene-SPD_RS00315	326	497	491	333	559	306	190	312	178	host	purB
gene-SPD_RS08615	5	9	16	5	10	2	4	3	0	host	gene-SPD_RS08615
gene-SPD_RS11870	32	65	62	29	47	29	30	44	24	host	gene-SPD_RS11870
gene-SPD_RS03865	766	758	762	889	1784	951	709	762	578	host	gene-SPD_RS03865
gene-SPD_RS05415	124	182	198	122	210	103	108	146	90	host	gene-SPD_RS05415
gene-SPD_RS07485	232	330	367	317	538	313	229	302	200	host	gene-SPD_RS07485
gene-SPD_RS02210	82	96	110	80	142	87	78	79	55	host	ilvA
gene-SPD_RS06020	198	352	344	157	254	158	115	241	161	host	tacF
gene-SPD_RS03465	127	144	162	71	166	76	86	97	36	host	gene-SPD_RS03465
gene-SPD_RS05140	33	77	80	47	60	42	41	56	48	host	trpX
gene-SPD_RS09610	3	13	16	2	18	7	11	16	13	host	gene-SPD_RS09610
gene-SPD_RS10610	32	45	35	24	62	30	24	36	21	host	gene-SPD_RS10610
gene-SPD_RS05020	56	87	111	36	64	34	45	56	21	host	gene-SPD_RS05020
gene-SPD_RS11930	13	37	37	31	82	26	35	36	27	host	gene-SPD_RS11930
gene-SPD_RS09560	129	158	127	121	204	99	88	136	74	host	gene-SPD_RS09560
gene-SPD_RS06370	85	151	155	65	79	44	41	60	29	host	gene-SPD_RS06370
gene-SPD_RS03945	115	192	168	201	321	221	88	194	113	host	rpsT
gene-SPD_RS07175	160	307	277	121	217	112	126	188	104	host	gene-SPD_RS07175
gene-SPD_RS10870	1341	1648	1599	1809	2939	1877	1500	1747	1334	host	guaB
gene-SPD_RS09545	10	14	21	7	18	9	7	10	9	host	gene-SPD_RS09545
gene-SPD_RS01995	286	380	423	211	402	203	282	347	160	host	zapA
gene-SPD_RS03400	17	18	27	9	21	10	13	17	6	host	gene-SPD_RS03400
gene-SPD_RS04115	305	486	465	193	390	224	180	258	170	host	cozE
gene-SPD_RS06525	185	315	295	164	260	162	145	215	152	host	gene-SPD_RS06525
gene-SPD_RS00850	71	139	144	64	161	84	105	109	71	host	gene-SPD_RS00850
gene-SPD_RS00130	98	137	156	86	150	75	82	66	54	host	gene-SPD_RS00130
gene-SPD_RS09470	998	1379	1543	762	1274	743	793	920	588	host	rmuC
gene-SPD_RS07135	836	1437	1349	698	1183	687	384	561	368	host	atpB
gene-SPD_RS04310	6	8	7	13	17	9	8	8	9	host	gene-SPD_RS04310
gene-SPD_RS04215	1851	3013	2757	2042	3324	1836	1348	1967	1271	host	pfkA
gene-SPD_RS06820	89	156	170	82	114	87	56	83	52	host	gene-SPD_RS06820
gene-SPD_RS00410	631	1127	1127	405	671	452	396	542	353	host	gene-SPD_RS00410
gene-SPD_RS07440	599	936	908	465	841	496	303	437	257	host	clpX
gene-SPD_RS10535	32	55	53	24	21	9	15	15	8	host	gene-SPD_RS10535
gene-SPD_RS05340	180	275	309	224	280	180	177	204	149	host	gene-SPD_RS05340
gene-SPD_RS08725	69	83	91	43	76	31	32	35	20	host	gene-SPD_RS08725
gene-SPD_RS01140	1589	2342	2029	1168	1255	1028	757	1262	888	host	rpsH
gene-SPD_RS08355	96	173	180	67	84	71	43	71	51	host	gene-SPD_RS08355
gene-SPD_RS10880	641	1000	897	1011	1514	979	986	1536	897	host	gene-SPD_RS10880
gene-SPD_RS02725	270	447	450	282	502	270	251	395	259	host	gene-SPD_RS02725
gene-SPD_RS08565	0	1	0	0	1	0	0	1	0	host	gene-SPD_RS08565
gene-SPD_RS06010	606	988	926	616	895	515	590	807	511	host	gene-SPD_RS06010
gene-SPD_RS03155	209	346	332	181	259	146	163	257	142	host	miaA
gene-SPD_RS04050	9	13	11	5	14	9	17	13	15	host	gene-SPD_RS04050
gene-SPD_RS09645	25	36	51	31	31	63	48	12	22	host	gene-SPD_RS09645
gene-SPD_RS10645	2111	4037	3034	544	783	792	550	887	448	host	glpO
gene-SPD_RS00140	157	230	216	129	215	179	79	106	78	host	radA
gene-SPD_RS07465	1707	2548	2565	1625	2194	1248	1368	1985	1241	host	tpiA
gene-SpSL1_03	71	142	158	329	594	364	729	1023	540	phage	gene-SpSL1_03
gene-SPD_RS09385	79	199	174	78	108	76	61	85	65	host	gene-SPD_RS09385
gene-SPD_RS01035	302	535	499	349	501	353	216	313	241	host	gene-SPD_RS01035
gene-SPD_RS08580	16	21	31	13	25	10	19	25	12	host	gene-SPD_RS08580
gene-SPD_RS07535	448	715	651	280	489	311	211	397	202	host	gatD
gene-SPD_RS11940	4	18	10	11	5	7	8	8	8	host	gene-SPD_RS11940
gene-SPD_RS06085	177	247	255	178	254	154	123	228	138	host	rsmG
gene-SPD_RS06245	94	161	169	92	129	92	64	109	52	host	gene-SPD_RS06245
gene-SPD_RS05630	31	49	53	10	23	20	15	18	12	host	gene-SPD_RS05630
gene-SPD_RS06350	1074	2186	1937	1543	1646	1180	958	1667	1080	host	rplJ
gene-SpSL1_09	1483	2495	2276	723	1045	592	210	312	182	phage	gene-SpSL1_09
gene-SPD_RS03880	120	181	222	69	113	78	49	80	51	host	gene-SPD_RS03880
gene-SPD_RS02055	2364	4127	4017	2164	3966	2016	1592	2330	1395	host	gene-SPD_RS02055
gene-SPD_RS05285	410	705	726	639	941	519	590	719	448	host	gene-SPD_RS05285
gene-SPD_RS10160	863	1480	1316	1051	1818	919	618	976	620	host	gene-SPD_RS10160
gene-SPD_RS07780	601	862	749	439	483	350	226	333	212	host	psaA
gene-SPD_RS03245	32	48	40	31	44	25	36	42	12	host	gene-SPD_RS03245
gene-SpSL1_14	831	1439	1537	567	851	537	290	415	203	phage	gene-SpSL1_14
gene-SPD_RS11540	6	12	10	6	5	6	4	5	6	host	gene-SPD_RS11540
gene-SPD_RS04640	559	836	892	406	619	377	413	547	301	host	rnr
gene-SPD_RS02605	72	82	104	63	82	52	32	52	38	host	rbfA
gene-SPD_RS02820	4173	5350	5906	4786	8299	3695	2682	3351	2222	host	gene-SPD_RS02820
gene-SPD_RS04165	8	16	9	6	15	5	8	9	5	host	gene-SPD_RS04165
gene-SPD_RS04995	75	143	137	125	171	109	74	113	70	host	gene-SPD_RS04995
gene-SPD_RS10590	136	217	229	114	198	144	79	86	55	host	dltC
gene-SPD_RS03055	60	85	91	52	106	54	38	72	39	host	gene-SPD_RS03055
gene-SPD_RS09845	134	172	185	123	217	148	151	169	101	host	rnpA
gene-SPD_RS02155	139	180	195	134	282	137	119	130	92	host	gatC
gene-SPD_RS00495	1169	1901	1988	402	641	351	238	305	203	host	gene-SPD_RS00495
gene-SpSL1_02	27	68	68	153	268	138	340	481	229	phage	gene-SpSL1_02
gene-SPD_RS10855	130	310	265	155	230	149	179	272	190	host	yfmF
gene-SPD_RS10935	4	9	5	1	3	1	7	6	6	host	gene-SPD_RS10935
gene-SPD_RS08795	59	103	110	85	151	89	32	39	31	host	gene-SPD_RS08795
gene-SPD_RS00330	614	1161	1222	271	384	286	276	352	204	host	gene-SPD_RS00330
gene-SPD_RS00275	11	16	14	17	20	16	12	10	17	host	gene-SPD_RS00275
gene-SPD_RS04370	165	258	269	110	171	121	99	145	106	host	aguB
gene-SPD_RS05640	4866	7383	6913	3526	6010	3398	1841	2851	1834	host	gene-SPD_RS05640
gene-SPD_RS09905	1910	3030	3631	2249	2753	1349	908	1196	1038	host	gene-SPD_RS09905
gene-SPD_RS07385	240	363	386	209	311	184	134	233	88	host	gene-SPD_RS07385
gene-SPD_RS11825	55	140	120	33	54	39	33	54	24	host	gene-SPD_RS11825
gene-SPD_RS08060	26	38	50	29	67	43	33	36	29	host	gene-SPD_RS08060
gene-SPD_RS01700	303	474	461	305	533	259	201	305	189	host	gene-SPD_RS01700
gene-SPD_RS10735	154	233	274	218	292	253	170	163	151	host	gene-SPD_RS10735
gene-SPD_RS07225	435	622	671	308	604	347	283	462	232	host	gene-SPD_RS07225
gene-SPD_RS04755	8	19	23	7	14	4	9	7	5	host	gene-SPD_RS04755
gene-SPD_RS03485	30	31	47	38	64	18	17	33	23	host	gene-SPD_RS03485
gene-SPD_RS05515	110	236	174	70	109	42	61	83	31	host	gene-SPD_RS05515
gene-SpSL1_41	3	9	14	5177	3240	4638	9038	13675	12130	phage	gene-SpSL1_41
gene-SPD_RS09855	101	190	168	92	174	91	88	145	85	host	gene-SPD_RS09855
gene-SPD_RS05065	5	8	7	7	13	2	4	5	7	host	gene-SPD_RS05065
gene-SPD_RS02025	280	491	439	179	347	215	152	245	132	host	serS
gene-SPD_RS02500	204	331	353	180	301	160	151	190	114	host	gene-SPD_RS02500
gene-SPD_RS07650	2	7	3	6	5	1	1	3	2	host	gene-SPD_RS07650
gene-SPD_RS01665	396	573	516	418	672	409	362	564	435	host	rsmH
gene-SPD_RS02650	44	61	72	36	56	40	42	57	32	host	gene-SPD_RS02650
gene-SPD_RS12045	1	2	3	2	0	3	4	3	2	host	gene-SPD_RS12045
gene-SPD_RS07515	463	744	609	188	286	205	303	426	233	host	gene-SPD_RS07515
gene-SPD_RS03205	765	1326	1099	523	787	560	382	557	278	host	typA
gene-SPD_RS01985	431	606	628	391	643	338	472	535	344	host	lepB
gene-SPD_RS02550	188	331	329	85	164	78	92	105	67	host	gene-SPD_RS02550
gene-SPD_RS02860	990	1793	1726	954	1377	879	819	1143	718	host	gene-SPD_RS02860
gene-SPD_RS01100	1410	2325	2320	1253	1401	986	891	1581	916	host	rpsC
