Geneid	0_R1	0_R2	0_R3	5_R1	5_R2	5_R3	10_R1	10_R2	10_R3	15_R1	15_R2	15_R3	Entity	Symbol
gene-PA1217	27	32	23	31	7	28	14	7	5	0	10	6	host	gene-PA1217
gene-PA4280.4	9085	8796	6377	8092	1182	6025	4110	2431	2190	53	1310	791	host	gene-PA4280.4
gene-PA3599	37	29	30	39	7	22	7	10	1	0	3	4	host	gene-PA3599
gene-PA2364	18	26	16	23	2	14	2	11	4	1	5	4	host	gene-PA2364
gene-PA3949	106	131	149	113	21	74	24	15	18	1	33	8	host	gene-PA3949
gene-PA1117	53	61	50	27	12	35	9	4	8	1	8	5	host	gene-PA1117
gene-PA3918	52	116	57	61	22	49	12	16	18	1	13	11	host	moaC
gene-PA3355	54	103	86	92	18	65	36	31	20	1	44	14	host	gene-PA3355
gene-PA1227	23	55	41	46	15	37	10	5	7	2	6	15	host	gene-PA1227
gene-PA4326	47	50	42	43	10	49	18	14	9	0	17	4	host	gene-PA4326
gene-PA3303a	18	25	24	5	1	6	2	2	3	0	2	1	host	gene-PA3303a
gene-PA0370	55	33	32	39	10	43	14	4	9	0	11	1	host	gene-PA0370
gene-PA4765	823	853	620	683	179	707	329	123	112	11	184	110	host	omlA
gene-PA3618	100	131	106	107	18	59	20	12	15	0	11	8	host	gene-PA3618
gene-PA3768	214	429	373	149	52	223	106	74	73	5	91	44	host	gene-PA3768
gene-PA2475	4	13	10	17	2	12	9	5	3	0	5	2	host	gene-PA2475
gene-PA4506	33	35	23	24	3	19	23	4	7	1	7	1	host	gene-PA4506
gene-PA1039	9	14	16	25	3	14	1	7	4	0	11	4	host	gene-PA1039
gene-PA0099	64	89	65	132	27	94	42	28	7	1	20	14	host	gene-PA0099
gene-PA2954	53	80	64	57	16	71	17	16	14	0	21	13	host	gene-PA2954
gene-PA0927	31	55	46	36	9	33	12	11	6	1	19	8	host	ldhA
gene-PA2578	34	24	26	23	6	13	10	2	4	0	2	3	host	gene-PA2578
gene-PA4899	13	17	15	17	5	21	13	3	5	0	5	2	host	gene-PA4899
gene-PA0640	61	61	40	57	12	72	144	38	46	8	41	48	host	gene-PA0640
gene-PPLUZ19_gp12	7	0	2	9112	15041	27169	93795	45249	49597	1231	17302	11604	phage	gp12
gene-PA2358	5	3	3	5	0	4	0	1	1	0	0	0	host	gene-PA2358
gene-PA3283	33	38	49	27	9	50	14	2	5	0	3	2	host	gene-PA3283
gene-PA5520	137	110	88	96	14	58	52	24	20	2	29	15	host	gene-PA5520
gene-PA0582	115	143	140	94	24	89	32	7	9	1	23	12	host	folB
gene-PA1004	653	917	828	569	162	800	257	146	160	7	190	141	host	nadA
gene-PA3321	28	24	17	23	4	20	10	2	1	0	8	2	host	gene-PA3321
gene-PA4940	634	816	843	827	183	919	450	158	164	3	207	126	host	gene-PA4940
gene-PA2133	1	3	3	9	1	1	0	0	1	1	4	0	host	gene-PA2133
gene-PA0412	368	381	338	453	65	431	126	41	31	2	60	36	host	pilK
gene-PA1003	87	127	121	136	28	116	34	18	13	0	20	13	host	mvfR
gene-PA0905.2	4614	3099	2068	2606	510	2000	868	434	436	24	520	234	host	gene-PA0905.2
gene-PA5562	620	729	775	458	135	566	127	83	74	7	111	69	host	spoOJ
gene-PA4413	1168	1137	1048	1091	188	729	197	101	74	5	140	85	host	ftsW
gene-PA0871	48	58	46	73	21	42	26	15	10	0	7	4	host	phhB
gene-PA3101	71	108	100	90	32	138	42	18	20	1	19	15	host	xcpT
gene-PA0267	67	173	131	109	26	89	14	17	10	2	10	15	host	gene-PA0267
gene-PA2166	11	13	3	11	2	5	2	2	0	0	0	2	host	gene-PA2166
gene-PA2069	10	12	8	12	1	8	5	6	8	0	4	3	host	gene-PA2069
gene-PA3786	67	69	48	69	9	38	5	12	12	0	8	3	host	gene-PA3786
gene-PA3030	11	24	12	6	0	7	1	3	1	0	6	1	host	mobA
gene-PA2201	32	43	32	32	3	13	8	5	4	0	5	2	host	gene-PA2201
gene-PA3665	65	48	53	37	10	53	16	11	9	0	10	8	host	gene-PA3665
gene-PA1970	51	73	71	66	19	71	27	12	15	0	18	8	host	gene-PA1970
gene-PA3641	641	918	953	661	164	754	172	92	115	8	122	83	host	gene-PA3641
gene-PA2601	43	40	32	22	1	21	13	9	9	1	11	4	host	gene-PA2601
gene-PA5535	44	47	40	42	7	34	27	19	8	0	9	6	host	gene-PA5535
gene-PA4243	13398	22629	17204	13604	4668	23252	6887	3039	3252	200	3402	2282	host	secY
gene-PA4605	62	30	47	52	13	49	38	8	8	0	11	5	host	gene-PA4605
gene-PA4833	38	49	34	52	2	15	9	9	12	0	8	3	host	gene-PA4833
gene-PA4257	6192	14812	8887	6029	2856	16022	5050	1885	3040	202	2565	5843	host	rpsC
gene-PA3127	21	21	24	15	1	15	2	1	3	2	4	4	host	gene-PA3127
gene-PA5514	51	70	79	71	11	44	16	18	8	1	14	13	host	gene-PA5514
gene-PA4363	29	44	31	28	2	14	4	6	2	0	5	0	host	iciA
gene-PA4584	57	60	54	56	22	76	30	13	11	0	15	13	host	gene-PA4584
gene-PA0246	53	69	59	69	11	37	17	9	9	0	10	6	host	gene-PA0246
gene-PA2526	97	119	147	155	23	130	34	24	20	1	25	7	host	gene-PA2526
gene-PA2776	45	79	34	51	18	46	28	13	12	0	43	12	host	gene-PA2776
gene-PA3092	31	60	35	53	10	44	22	17	12	1	20	14	host	fadH1
gene-PA0153	11	11	13	16	3	18	4	10	3	0	8	1	host	pcaH
gene-PA4561	414	485	458	311	64	335	114	57	59	6	119	51	host	ribF
gene-PA2693	17	15	20	12	1	13	5	4	0	1	2	2	host	gene-PA2693
gene-PA1207	106	136	121	133	33	137	54	35	42	5	41	21	host	kefB
gene-PA3944	26	22	23	35	5	31	3	4	4	0	3	6	host	gene-PA3944
gene-PA1847	169	309	243	325	79	309	109	56	68	7	103	51	host	gene-PA1847
gene-PA4535	67	56	57	59	7	32	18	10	7	1	20	8	host	gene-PA4535
gene-PA4192	9	21	15	11	1	7	5	0	2	1	2	3	host	gene-PA4192
gene-PA3020	80	83	76	90	22	82	31	19	6	3	26	21	host	gene-PA3020
gene-PA0205	17	43	19	24	3	30	12	9	10	0	13	9	host	gene-PA0205
gene-PA2374	4	5	3	3	1	4	2	0	0	0	1	2	host	gene-PA2374
gene-PA3179	285	639	639	198	142	678	174	128	139	11	183	122	host	gene-PA3179
gene-PA0856	72	147	142	179	65	218	64	24	37	5	24	10	host	gene-PA0856
gene-PA0085	1965	2329	1918	2431	422	2357	628	528	222	14	602	259	host	hcp1
gene-PA3315	23	35	30	28	3	10	5	5	2	0	5	3	host	gene-PA3315
gene-PA0232	9	12	12	21	6	15	4	4	3	0	2	6	host	pcaC
gene-PA0506	223	337	271	229	114	358	99	72	60	5	92	62	host	gene-PA0506
gene-PA5433	32	48	53	23	6	30	7	6	3	1	7	5	host	gene-PA5433
gene-PA5133	196	233	169	200	57	159	62	28	39	3	22	27	host	gene-PA5133
gene-PA2763	6	10	7	12	0	6	2	1	1	0	2	0	host	gene-PA2763
gene-PA2253	32	85	78	50	14	66	16	19	6	1	12	9	host	ansA
gene-PA5300	1396	2432	1823	1543	327	1652	226	257	201	16	341	247	host	cycB
gene-PA5561	3754	2057	1803	883	310	1069	940	310	338	14	346	210	host	atpI
gene-PA4749	879	1434	1088	1473	275	1420	319	158	129	11	211	120	host	glmM
gene-PA0181	16	22	14	22	2	14	6	7	5	0	7	2	host	gene-PA0181
gene-PA2110	21	15	29	52	8	30	32	7	14	0	9	12	host	gene-PA2110
gene-PA2804	4	15	2	9	2	3	3	4	0	0	1	2	host	gene-PA2804
gene-PA1393	18	11	8	22	1	9	8	3	5	0	3	1	host	cysC
gene-PA3452	254	459	429	167	58	406	71	31	45	3	44	35	host	mqoA
gene-PA4942	1581	2731	2182	2145	494	2640	609	368	332	22	544	330	host	hflK
gene-PA1958	29	31	32	28	7	32	10	7	4	0	11	5	host	gene-PA1958
gene-PA0910	7	17	15	24	5	19	14	5	13	0	9	3	host	gene-PA0910
gene-PA1111	1	7	2	18	3	11	1	2	2	0	3	2	host	gene-PA1111
gene-PA2975	538	935	833	699	104	603	133	120	77	12	164	83	host	rluC
gene-PA4864	11	6	6	7	2	7	0	1	3	0	2	2	host	ureD
gene-PA0066	57	96	85	57	17	55	16	13	8	1	19	9	host	gene-PA0066
gene-PPLUZ19_gp25.1	4	2	15	158	253	792	66751	61593	56691	6789	88531	70075	phage	gp25.1
gene-PA2017	32	35	11	16	0	19	8	7	1	1	8	3	host	gene-PA2017
gene-PA0599	61	100	56	73	22	52	17	13	7	1	16	7	host	gene-PA0599
gene-PA3018	521	499	341	89	14	94	25	15	8	0	20	8	host	gene-PA3018
gene-PA2602	6	21	7	8	1	11	4	3	2	1	13	3	host	gene-PA2602
gene-PA0814	2	2	0	1	0	1	0	0	0	0	0	0	host	gene-PA0814
gene-PA4455	603	925	745	298	55	320	87	54	53	3	103	49	host	gene-PA4455
gene-PA3610	52	77	98	35	17	48	25	12	9	3	11	14	host	potD
gene-PA4089	3	7	146	6	3	3	5	2	0	0	3	1	host	gene-PA4089
gene-PA4229	2	6	6	2	2	3	2	3	0	1	5	2	host	pchC
gene-PA0818	4	35	21	14	3	15	2	6	5	0	5	2	host	gene-PA0818
gene-PA1046	163	205	208	178	28	139	38	42	23	4	38	19	host	gene-PA1046
gene-PA1331	83	85	69	88	13	33	9	10	8	0	8	5	host	gene-PA1331
gene-PA1373	14	49	33	34	7	22	8	11	7	0	9	9	host	fabF2
gene-PA1432	2361	2816	1818	2075	397	1822	563	281	272	6	235	186	host	lasI
gene-PA4108	36	34	30	53	2	28	25	10	6	0	15	5	host	gene-PA4108
gene-PA5130	182	250	273	287	72	286	58	62	45	3	43	46	host	gene-PA5130
gene-PA2864	135	156	151	149	26	141	41	18	19	1	23	19	host	gene-PA2864
gene-PA3597	16	25	18	27	4	14	12	7	8	1	7	5	host	gene-PA3597
gene-PA4916	65	62	36	32	8	23	10	6	5	0	5	3	host	gene-PA4916
gene-PA4907	40	71	84	50	18	49	20	14	14	1	8	7	host	gene-PA4907
gene-PA5277	309	448	420	389	82	395	84	54	53	1	64	49	host	lysA
gene-PA2935	5	2	2	5	4	0	3	1	1	1	0	1	host	gene-PA2935
gene-PA1545	131	304	164	193	86	190	126	151	88	13	134	79	host	gene-PA1545
gene-PA1731	7	12	10	21	2	6	6	3	2	0	3	1	host	gene-PA1731
gene-PA4352	1128	1429	926	390	25	130	23	27	15	1	20	7	host	gene-PA4352
gene-PA1048	332	353	358	326	49	306	119	59	38	6	70	43	host	gene-PA1048
gene-PA1938	35	38	31	43	7	32	32	10	4	0	13	3	host	gene-PA1938
gene-PA5475	228	180	117	84	9	37	14	6	7	0	8	6	host	gene-PA5475
gene-PA3402	25	53	38	33	11	36	5	10	6	0	3	11	host	gene-PA3402
gene-PA1567	28	32	22	29	3	10	8	8	2	0	10	6	host	gene-PA1567
gene-PA0404	39	54	46	51	12	24	7	4	5	1	9	4	host	gene-PA0404
gene-PA3427	42	57	47	71	15	45	14	14	13	0	20	9	host	gene-PA3427
gene-PA2077	18	29	23	27	6	19	9	9	4	0	1	4	host	gene-PA2077
gene-PA0061	24	42	27	45	6	33	13	11	10	0	6	7	host	gene-PA0061
gene-PA3026	39	60	45	79	4	45	16	17	11	1	16	6	host	gene-PA3026
gene-PA4616	66	152	125	71	19	94	21	16	19	0	15	13	host	gene-PA4616
gene-PA1410	8	5	8	9	1	9	6	1	1	0	2	1	host	gene-PA1410
gene-PA4547	67	92	88	71	22	77	21	13	14	1	16	8	host	pilR
gene-PA2230	37	36	33	41	6	26	14	3	2	0	2	4	host	gene-PA2230
gene-PA3243	114	185	139	263	52	203	58	34	43	2	35	14	host	minC
gene-PA4811	146	225	241	622	180	734	151	69	62	6	31	27	host	fdnH
gene-PA3386	21	14	17	12	4	8	6	6	2	0	6	4	host	gene-PA3386
gene-PA3318	7	10	12	9	4	13	3	2	4	1	5	2	host	gene-PA3318
gene-PA2795	58	106	139	69	14	61	26	12	12	0	31	13	host	gene-PA2795
gene-PA2775	118	133	113	112	25	91	37	22	16	0	38	12	host	gene-PA2775
gene-PA3400	42	53	36	40	4	30	10	12	3	0	5	6	host	gene-PA3400
gene-PA3172	66	161	157	111	21	98	11	16	11	2	20	14	host	gene-PA3172
gene-PA2189	4	7	6	8	1	3	6	3	0	0	1	1	host	gene-PA2189
gene-PA1781	16	28	6	23	1	8	13	5	5	0	11	4	host	nirB
gene-PA0444	20	34	20	20	5	20	14	8	10	1	12	3	host	gene-PA0444
gene-PA0654	361	980	496	293	154	451	142	97	126	19	151	101	host	speD
gene-PA0858	158	252	226	140	46	201	68	40	52	3	37	31	host	gene-PA0858
gene-PA3688	14	25	23	23	8	15	6	3	8	0	6	3	host	gene-PA3688
gene-PA1019	10	14	7	5	1	11	2	1	4	0	3	1	host	mucK
gene-PA4975	81	82	76	67	12	40	19	8	3	1	7	8	host	gene-PA4975
gene-PA0866	13	25	11	37	6	24	36	9	3	0	12	7	host	aroP2
gene-PA5390	17	33	24	25	7	21	11	7	7	1	11	3	host	gene-PA5390
gene-PA3261	91	116	100	108	12	74	32	18	18	1	29	15	host	gene-PA3261
gene-PA4705	103	131	111	118	16	74	25	32	6	3	37	14	host	gene-PA4705
gene-PA2755a	22	12	8	7	1	9	11	5	4	2	4	2	host	gene-PA2755a
gene-PA3077	7	18	16	14	3	18	5	4	1	0	2	3	host	gene-PA3077
gene-PA4196	37	46	43	45	6	34	9	12	4	1	11	8	host	bfiR
gene-PA1357	45	118	78	101	18	107	25	18	22	0	23	14	host	gene-PA1357
gene-PA5199	135	251	226	276	30	148	19	37	27	2	31	25	host	amgS
gene-PA3907	117	191	222	190	49	163	33	36	23	0	21	12	host	gene-PA3907
gene-PA4814	5	12	5	16	2	6	3	2	4	0	3	3	host	fadH2
gene-PA0773	255	458	430	268	64	349	41	49	50	3	54	35	host	pdxJ
gene-PA2777	14	64	25	68	16	47	11	20	11	1	12	11	host	gene-PA2777
gene-PA4206	29	42	24	30	7	19	14	7	10	1	14	6	host	mexH
gene-PA0629	57	70	89	76	16	87	83	45	54	8	71	67	host	gene-PA0629
gene-PA4556	55	91	75	82	13	62	24	8	9	1	8	6	host	pilE
gene-PA2523	7	15	5	8	2	9	2	3	3	0	1	1	host	gene-PA2523
gene-PA0547	1211	2107	1405	669	188	627	161	195	133	8	232	133	host	gene-PA0547
gene-PA3640	1145	2144	1819	1214	305	1822	370	249	268	16	336	248	host	dnaE
gene-PA2038	29	33	30	27	8	24	16	3	4	0	7	2	host	gene-PA2038
gene-PA4715	145	189	172	152	29	149	53	29	35	2	31	25	host	gene-PA4715
gene-PA3244	1353	1492	1240	1470	428	1898	518	248	255	18	369	219	host	minD
gene-PA0768	374	557	503	471	89	492	160	52	63	5	83	47	host	lepB
gene-PA3621	344	336	248	161	66	274	240	83	88	7	122	71	host	fdxA
gene-PA3290	184	140	122	133	42	147	61	20	19	2	33	15	host	gene-PA3290
gene-PA2058	6	7	2	6	1	3	2	2	0	0	1	3	host	gene-PA2058
gene-PA1654	62	51	52	35	8	31	11	8	6	1	8	4	host	gene-PA1654
gene-PA2014	30	32	23	118	16	40	32	32	15	3	28	17	host	liuB
gene-PA1062	52	86	55	59	14	45	14	7	2	0	10	7	host	gene-PA1062
gene-PA1574	81	128	134	114	41	103	29	14	43	7	27	22	host	gene-PA1574
gene-PA4571	242	133	183	95	21	99	32	23	17	1	26	16	host	gene-PA4571
gene-PA0891	197	409	321	436	82	379	82	67	45	3	53	36	host	gene-PA0891
gene-PA2696	25	27	17	23	5	12	9	7	3	0	6	1	host	gene-PA2696
gene-PA0018	53	88	99	48	18	60	14	10	9	3	11	9	host	fmt
gene-PA0880	0	4	0	0	0	1	0	1	0	0	0	0	host	gene-PA0880
gene-PA2191	50	84	48	28	8	44	13	10	4	0	14	7	host	exoY
gene-PA0368	72	106	102	97	10	55	15	13	9	3	12	12	host	gene-PA0368
gene-PA0378	71	114	118	105	13	71	26	14	22	4	18	9	host	gene-PA0378
gene-PA1772	156	234	166	196	29	185	61	33	33	2	43	43	host	gene-PA1772
gene-PA3241	61	79	77	68	14	37	8	13	9	0	15	9	host	gene-PA3241
gene-PA0097	35	43	42	56	10	43	12	8	7	0	13	4	host	gene-PA0097
gene-PA0790	13	25	23	38	10	48	17	8	5	0	4	2	host	gene-PA0790
gene-PA1143	7	6	3	7	1	2	4	3	1	0	0	1	host	gene-PA1143
gene-PA2782	3	5	5	8	1	4	2	3	0	1	5	3	host	gene-PA2782
gene-PA1023	7	19	11	13	6	19	7	4	4	0	6	6	host	gene-PA1023
gene-PA0771	262	473	500	351	95	449	85	47	54	7	60	47	host	era
gene-PA1463	213	242	230	231	55	187	49	38	23	1	39	22	host	gene-PA1463
gene-PA2048	3	4	1	9	0	2	1	1	0	1	0	2	host	gene-PA2048
gene-PA4543	76	104	91	77	19	75	23	10	6	1	15	8	host	gene-PA4543
gene-PA0833	112	299	312	556	91	452	101	67	77	14	80	35	host	gene-PA0833
gene-PA2037	86	75	51	73	13	61	41	9	13	1	21	12	host	gene-PA2037
gene-PA3651	485	613	630	454	81	507	94	55	62	4	98	51	host	cdsA
gene-PA3418	17	15	9	14	5	5	4	2	3	0	4	0	host	ldh
gene-PA0448	127	204	108	115	32	90	38	31	25	0	42	22	host	gene-PA0448
gene-PA0014	32	34	36	33	3	34	16	8	3	0	11	4	host	gene-PA0014
gene-PA3829	28	40	30	44	11	26	9	6	3	0	12	7	host	gene-PA3829
gene-PA0519	104	60	35	200	41	15	35	10	2	0	9	6	host	nirS
gene-PA4041	14	26	22	28	3	14	4	7	5	0	8	11	host	gene-PA4041
gene-PA5191	21	12	20	21	3	15	11	2	5	0	5	1	host	gene-PA5191
gene-PA3229	17	18	15	19	2	17	1	4	1	0	2	0	host	gene-PA3229
gene-PA4210	3	404	1	13	2	3	5	2	0	0	2	1	host	phzA1
gene-PA2194	28	47	39	94	33	99	25	20	13	1	14	8	host	hcnB
gene-PA2862	2	5	4	14	4	4	5	8	0	3	4	1	host	lipA
gene-PA1114	32	39	21	55	5	32	21	10	6	0	6	4	host	gene-PA1114
gene-PA4301	11	15	12	16	7	9	7	6	4	1	9	1	host	tadB
gene-PA4020	171	318	312	309	69	324	59	50	46	4	59	38	host	mpl
gene-PA1683	102	85	78	97	27	97	30	14	5	1	18	9	host	gene-PA1683
gene-PA1210	8	9	6	7	3	8	3	1	1	0	3	1	host	gene-PA1210
gene-PA3784	42	41	49	54	10	29	5	7	4	1	7	5	host	gene-PA3784
gene-PA2060	2	4	3	6	0	4	1	0	2	0	1	1	host	gene-PA2060
gene-PA4704	39	61	53	70	19	53	28	14	9	3	12	11	host	cbpA
gene-PA4010	195	176	205	101	15	60	35	21	19	2	30	15	host	gene-PA4010
gene-PA2952	592	1576	788	775	349	1209	358	214	261	27	316	221	host	etfB
gene-PA2494	37	50	44	44	12	29	19	27	12	0	19	9	host	mexF
gene-PA3977	284	315	296	296	56	219	91	72	45	2	60	40	host	hemL
gene-PA5503	103	157	114	89	18	60	25	14	15	2	13	10	host	gene-PA5503
gene-PA2553	12	31	15	79	9	45	14	13	18	0	2	4	host	gene-PA2553
gene-PA3231	3	4	3	4	0	3	4	1	1	0	1	0	host	gene-PA3231
gene-PA1030	146	194	134	89	30	89	50	21	28	3	49	24	host	gene-PA1030
gene-PA1918	9	12	13	10	3	7	3	0	5	0	6	7	host	gene-PA1918
gene-PA4785	26	41	25	47	12	50	13	20	10	3	25	13	host	gene-PA4785
gene-PA1198	1699	2542	2262	1903	341	1422	412	363	233	20	455	328	host	gene-PA1198
gene-PA0621	85	74	58	75	12	87	125	18	28	3	29	17	host	gene-PA0621
gene-PA1471	7	1	6	4	1	4	2	0	2	0	1	0	host	gene-PA1471
gene-PA2990	184	143	121	135	33	110	56	19	21	2	19	11	host	gene-PA2990
gene-PA0772	94	76	99	53	18	69	19	10	8	0	12	6	host	recO
gene-PA3701	247	423	427	336	97	338	98	63	78	4	74	58	host	prfB
gene-PA1903	17	14	13	13	4	12	4	10	7	0	11	4	host	phzE2
gene-PA0535	49	66	52	70	19	51	17	12	7	0	16	7	host	gene-PA0535
gene-PA3705	66	165	140	128	26	109	23	22	19	0	23	13	host	wspD
gene-PA2347	3	6	6	6	1	5	4	6	0	0	1	0	host	gene-PA2347
gene-PA1843	501	691	565	411	102	485	121	69	70	8	97	54	host	metH
gene-PA5309	98	118	88	110	29	73	18	18	19	3	18	12	host	gene-PA5309
gene-PA5467	14	30	12	18	6	10	5	222	1	0	8	4	host	gene-PA5467
gene-PA1180	496	485	519	71	17	59	20	27	13	2	48	12	host	phoQ
gene-PA4770	231	186	156	431	51	236	163	67	41	2	39	35	host	lldP
gene-PA0424	46	61	42	63	7	32	22	14	14	1	12	9	host	mexR
gene-PA4092	8	8	3	11	1	7	7	1	1	0	1	1	host	hpaC
gene-PA3225	40	54	55	46	10	34	9	9	8	1	4	8	host	gene-PA3225
gene-PA2458	224	380	377	849	105	488	117	72	44	4	63	42	host	gene-PA2458
gene-PA0820	263	315	166	219	49	201	94	29	44	2	41	27	host	gene-PA0820
gene-PA2748	73	131	76	77	20	81	27	30	23	3	37	22	host	gene-PA2748
gene-PA3308	314	551	459	373	67	337	96	62	58	11	79	49	host	gene-PA3308
gene-PA1551	128	235	159	128	23	107	19	17	10	2	38	8	host	gene-PA1551
gene-PA1286	24	17	17	18	0	12	3	3	3	0	7	4	host	gene-PA1286
gene-PA1945	26	34	24	34	8	16	9	7	6	0	9	6	host	gene-PA1945
gene-PA1889	53	76	80	169	25	135	39	27	25	0	43	7	host	gene-PA1889
gene-PA4501	29	23	35	70	8	59	20	18	6	0	9	5	host	opdP
gene-PA4872	51	112	93	107	21	71	21	17	21	2	21	12	host	gene-PA4872
gene-PA3928	23	35	19	40	7	29	12	10	2	0	8	5	host	gene-PA3928
gene-PA4607	250	277	208	348	67	319	123	74	46	4	86	68	host	gene-PA4607
gene-PA2459	364	242	208	657	63	283	204	26	37	5	48	15	host	gene-PA2459
gene-PA0274	8	11	5	7	1	4	5	2	2	0	4	0	host	gene-PA0274
gene-PA0746	22	25	17	23	5	17	13	10	6	0	5	3	host	gene-PA0746
gene-PA1054	332	449	466	325	35	188	57	35	19	3	48	24	host	gene-PA1054
gene-PA0016	203	302	309	242	55	215	55	42	26	3	33	33	host	trkA
gene-PA3263	77	160	131	124	49	128	37	15	25	3	30	12	host	gene-PA3263
gene-PA1270	17	31	12	11	4	2	2	1	4	0	5	2	host	gene-PA1270
gene-PA4267	4944	22782	6506	4343	2136	11257	2668	1051	1265	97	1565	1208	host	rpsG
gene-PA0551	235	464	413	332	67	381	76	60	67	7	78	60	host	epd
gene-PA4852	1020	1851	1530	859	246	1293	575	328	372	38	457	284	host	gene-PA4852
gene-PA3050	229	306	302	166	55	230	95	37	50	4	65	40	host	pyrD
gene-PA2738	1233	1322	772	852	179	607	383	122	134	9	143	80	host	himA
gene-PA1016	42	64	58	47	4	42	14	15	9	1	19	9	host	gene-PA1016
gene-PA0697	0	2	2	2	2	3	1	0	0	0	0	1	host	gene-PA0697
gene-PA3348	488	636	522	565	91	472	199	87	63	4	112	51	host	gene-PA3348
gene-PA5114	433	410	390	412	80	274	67	73	36	0	70	27	host	gene-PA5114
gene-PA3046	373	373	362	236	69	415	117	47	45	2	48	33	host	gene-PA3046
gene-PA0598	118	252	159	126	32	154	29	34	21	4	38	17	host	gene-PA0598
gene-PA4534	106	159	157	125	33	134	38	33	26	2	34	18	host	gene-PA4534
gene-PA3624	312	278	240	205	48	229	77	27	32	3	46	41	host	pcm
gene-PA0608	63	136	128	104	21	74	21	22	17	3	37	14	host	gene-PA0608
gene-PA4594	56	61	42	50	6	26	22	7	4	0	8	7	host	gene-PA4594
gene-PA3729	1033	1965	1177	1551	438	1768	300	363	175	9	307	168	host	gene-PA3729
gene-PA2752	11	17	14	16	2	13	8	4	2	0	1	2	host	gene-PA2752
gene-PA0472	5	13	15	9	1	12	9	13	8	1	6	3	host	gene-PA0472
gene-PA3316	48	57	42	31	10	19	13	5	3	0	7	5	host	gene-PA3316
gene-PA4850	67	97	91	80	26	80	15	15	23	3	14	11	host	prmA
gene-PA5283	93	120	82	75	11	58	22	12	8	0	18	7	host	gene-PA5283
gene-PA3360	8	24	16	14	1	14	2	6	8	0	8	3	host	gene-PA3360
gene-PA1491	31	39	29	30	7	31	11	9	4	0	9	5	host	gene-PA1491
gene-PA1563	93	89	83	81	22	68	29	15	8	0	18	9	host	gene-PA1563
gene-PA1068	228	397	354	380	80	395	82	95	67	5	75	38	host	gene-PA1068
gene-PA4703	17	16	5	7	3	5	5	2	2	1	1	1	host	gene-PA4703
gene-PA0148	70	119	89	87	26	89	38	19	25	1	15	14	host	gene-PA0148
gene-PA0933	723	983	837	697	130	702	186	120	92	6	151	111	host	ygcA
gene-PA3849	171	180	176	181	47	182	71	22	38	2	49	23	host	gene-PA3849
gene-PPLUZ19_gp22	2	0	17	358	437	1457	82918	85231	86537	12296	101305	83458	phage	gp22
gene-PA1732	5	13	10	15	2	5	8	2	3	0	3	4	host	gene-PA1732
gene-PA0489	6	14	4	4	3	12	3	3	4	0	9	2	host	gene-PA0489
gene-PA1691	14	28	25	10	6	12	7	3	1	2	1	0	host	pscT
gene-PA1520	118	261	197	174	38	206	51	43	41	7	51	40	host	gene-PA1520
gene-PA4044	269	404	427	371	71	302	92	70	51	7	82	48	host	dxs
gene-PPLUZ19_gp13	1	0	2	3605	5830	11072	30438	13567	12959	249	5735	3628	phage	gp13
