	seq_id	source	type	start	end	phase	strand	score	ID	Name	gbkey	gene_biotype	locus_tag	gene	product	ClassThreshold	ClassMax
61	NC_002516.2	RefSeq	gene	74279.0	74716.0	.	-	.	gene-PA0061	PA0061	Gene	protein_coding	PA0061	gene-PA0061	hypothetical protein	None	None
62	NC_002516.2	RefSeq	gene	74773.0	75189.0	.	-	.	gene-PA0062	PA0062	Gene	protein_coding	PA0062	gene-PA0062	hypothetical protein	None	None
63	NC_002516.2	RefSeq	gene	75281.0	76408.0	.	+	.	gene-PA0063	PA0063	Gene	protein_coding	PA0063	gene-PA0063	hypothetical protein	None	None
64	NC_002516.2	RefSeq	gene	76416.0	77399.0	.	-	.	gene-PA0064	PA0064	Gene	protein_coding	PA0064	gene-PA0064	hypothetical protein	None	None
65	NC_002516.2	RefSeq	gene	77432.0	78097.0	.	-	.	gene-PA0065	PA0065	Gene	protein_coding	PA0065	gene-PA0065	5'-nucleotidase	None	None
66	NC_002516.2	RefSeq	gene	78090.0	78632.0	.	-	.	gene-PA0066	PA0066	Gene	protein_coding	PA0066	gene-PA0066	hypothetical protein	None	None
67	NC_002516.2	RefSeq	gene	78710.0	80755.0	.	+	.	gene-PA0067	prlC	Gene	protein_coding	PA0067	prlC	oligopeptidase A	None	None
68	NC_002516.2	RefSeq	gene	80752.0	81027.0	.	+	.	gene-PA0068	PA0068	Gene	protein_coding	PA0068	gene-PA0068	hypothetical protein	None	None
69	NC_002516.2	RefSeq	gene	81116.0	82174.0	.	+	.	gene-PA0069	PA0069	Gene	protein_coding	PA0069	gene-PA0069	hypothetical protein	None	None
70	NC_002516.2	RefSeq	gene	82404.0	83318.0	.	-	.	gene-PA0070	PA0070	Gene	protein_coding	PA0070	gene-PA0070	hypothetical protein	None	None
71	NC_002516.2	RefSeq	gene	83380.0	85092.0	.	-	.	gene-PA0071	PA0071	Gene	protein_coding	PA0071	gene-PA0071	hypothetical protein	None	None
72	NC_002516.2	RefSeq	gene	85085.0	86284.0	.	-	.	gene-PA0072	PA0072	Gene	protein_coding	PA0072	gene-PA0072	hypothetical protein	None	None
73	NC_002516.2	RefSeq	gene	86284.0	87003.0	.	-	.	gene-PA0073	PA0073	Gene	protein_coding	PA0073	gene-PA0073	ABC transporter ATP-binding protein	None	None
74	NC_002516.2	RefSeq	gene	87000.0	90098.0	.	-	.	gene-PA0074	ppkA	Gene	protein_coding	PA0074	ppkA	serine/threonine protein kinase PpkA	None	None
75	NC_002516.2	RefSeq	gene	90106.0	90834.0	.	-	.	gene-PA0075	pppA	Gene	protein_coding	PA0075	pppA	serine/threonine phosphatase	None	None
76	NC_002516.2	RefSeq	gene	90844.0	91524.0	.	-	.	gene-PA0076	PA0076	Gene	protein_coding	PA0076	gene-PA0076	hypothetical protein	None	None
77	NC_002516.2	RefSeq	gene	91521.0	94826.0	.	-	.	gene-PA0077	icmF1	Gene	protein_coding	PA0077	icmF1	type VI secretion protein IcmF	None	None
78	NC_002516.2	RefSeq	gene	95048.0	96397.0	.	-	.	gene-PA0078	PA0078	Gene	protein_coding	PA0078	gene-PA0078	hypothetical protein	None	None
79	NC_002516.2	RefSeq	gene	96404.0	97738.0	.	-	.	gene-PA0079	PA0079	Gene	protein_coding	PA0079	gene-PA0079	hypothetical protein	None	None
80	NC_002516.2	RefSeq	gene	97754.0	98218.0	.	-	.	gene-PA0080	PA0080	Gene	protein_coding	PA0080	gene-PA0080	hypothetical protein	None	None
81	NC_002516.2	RefSeq	gene	98263.0	99756.0	.	-	.	gene-PA0081	fha1	Gene	protein_coding	PA0081	fha1	Fha domain-containing protein	None	None
82	NC_002516.2	RefSeq	gene	100124.0	101158.0	.	+	.	gene-PA0082	PA0082	Gene	protein_coding	PA0082	gene-PA0082	hypothetical protein	None	None
83	NC_002516.2	RefSeq	gene	101247.0	101765.0	.	+	.	gene-PA0083	PA0083	Gene	protein_coding	PA0083	gene-PA0083	hypothetical protein	None	None
84	NC_002516.2	RefSeq	gene	101778.0	103274.0	.	+	.	gene-PA0084	PA0084	Gene	protein_coding	PA0084	gene-PA0084	hypothetical protein	None	None
85	NC_002516.2	RefSeq	gene	103350.0	103838.0	.	+	.	gene-PA0085	hcp1	Gene	protein_coding	PA0085	hcp1	protein secretion apparatus assembly protein	None	None
86	NC_002516.2	RefSeq	gene	104006.0	104851.0	.	+	.	gene-PA0086	PA0086	Gene	protein_coding	PA0086	gene-PA0086	hypothetical protein	None	None
87	NC_002516.2	RefSeq	gene	104853.0	105362.0	.	+	.	gene-PA0087	PA0087	Gene	protein_coding	PA0087	gene-PA0087	hypothetical protein	None	None
88	NC_002516.2	RefSeq	gene	105359.0	107218.0	.	+	.	gene-PA0088	PA0088	Gene	protein_coding	PA0088	gene-PA0088	hypothetical protein	None	None
89	NC_002516.2	RefSeq	gene	107182.0	108228.0	.	+	.	gene-PA0089	PA0089	Gene	protein_coding	PA0089	gene-PA0089	hypothetical protein	None	None
90	NC_002516.2	RefSeq	gene	108221.0	110929.0	.	+	.	gene-PA0090	clpV1	Gene	protein_coding	PA0090	clpV1	secretion protein ClpV1	None	None
91	NC_002516.2	RefSeq	gene	110976.0	112907.0	.	+	.	gene-PA0091	vgrG1	Gene	protein_coding	PA0091	vgrG1	type VI secretion system protein VgrG	None	None
92	NC_002516.2	RefSeq	gene	113022.0	113306.0	.	-	.	gene-PA0092	PA0092	Gene	protein_coding	PA0092	gene-PA0092	hypothetical protein	None	None
93	NC_002516.2	RefSeq	gene	113303.0	114595.0	.	-	.	gene-PA0093	PA0093	Gene	protein_coding	PA0093	gene-PA0093	hypothetical protein	None	None
94	NC_002516.2	RefSeq	gene	114611.0	115045.0	.	-	.	gene-PA0094	PA0094	Gene	protein_coding	PA0094	gene-PA0094	hypothetical protein	None	None
95	NC_002516.2	RefSeq	gene	115299.0	117524.0	.	+	.	gene-PA0095	PA0095	Gene	protein_coding	PA0095	gene-PA0095	hypothetical protein	None	None
96	NC_002516.2	RefSeq	gene	117552.0	118001.0	.	+	.	gene-PA0096	PA0096	Gene	protein_coding	PA0096	gene-PA0096	hypothetical protein	None	None
97	NC_002516.2	RefSeq	gene	117931.0	119130.0	.	+	.	gene-PA0097	PA0097	Gene	protein_coding	PA0097	gene-PA0097	hypothetical protein	None	None
98	NC_002516.2	RefSeq	gene	119127.0	120164.0	.	+	.	gene-PA0098	PA0098	Gene	protein_coding	PA0098	gene-PA0098	3-oxoacyl-ACP synthase	None	None
99	NC_002516.2	RefSeq	gene	120164.0	121324.0	.	+	.	gene-PA0099	PA0099	Gene	protein_coding	PA0099	gene-PA0099	hypothetical protein	None	None
100	NC_002516.2	RefSeq	gene	121346.0	122266.0	.	+	.	gene-PA0100	PA0100	Gene	protein_coding	PA0100	gene-PA0100	hypothetical protein	None	None
101	NC_002516.2	RefSeq	gene	122248.0	123495.0	.	+	.	gene-PA0101	PA0101	Gene	protein_coding	PA0101	gene-PA0101	hypothetical protein	None	None
102	NC_002516.2	RefSeq	gene	123871.0	124599.0	.	+	.	gene-PA0102	PA0102	Gene	protein_coding	PA0102	gene-PA0102	carbonic anhydrase	None	None
103	NC_002516.2	RefSeq	gene	124810.0	126381.0	.	+	.	gene-PA0103	PA0103	Gene	protein_coding	PA0103	gene-PA0103	sulfate transporter	None	None
104	NC_002516.2	RefSeq	gene	126368.0	127006.0	.	-	.	gene-PA0103a	PA0103a	Gene	protein_coding	PA0103a	gene-PA0103a	hypothetical protein	None	None
105	NC_002516.2	RefSeq	gene	127378.0	128502.0	.	+	.	gene-PA0105	coxB	Gene	protein_coding	PA0105	coxB	cytochrome C oxidase subunit II	None	None
106	NC_002516.2	RefSeq	gene	128512.0	130104.0	.	+	.	gene-PA0106	coxA	Gene	protein_coding	PA0106	coxA	cytochrome C oxidase subunit I	None	None
107	NC_002516.2	RefSeq	gene	130115.0	130669.0	.	+	.	gene-PA0107	PA0107	Gene	protein_coding	PA0107	gene-PA0107	cytochrome C oxidase assembly protein	None	None
108	NC_002516.2	RefSeq	gene	130680.0	131567.0	.	+	.	gene-PA0108	coIII	Gene	protein_coding	PA0108	coIII	cytochrome C oxidase subunit III	None	None
109	NC_002516.2	RefSeq	gene	131583.0	131792.0	.	-	.	gene-PA0109	PA0109	Gene	protein_coding	PA0109	gene-PA0109	hypothetical protein	None	None
110	NC_002516.2	RefSeq	gene	131808.0	132602.0	.	+	.	gene-PA0110	PA0110	Gene	protein_coding	PA0110	gene-PA0110	hypothetical protein	None	None
111	NC_002516.2	RefSeq	gene	132577.0	133155.0	.	+	.	gene-PA0111	PA0111	Gene	protein_coding	PA0111	gene-PA0111	hypothetical protein	None	None
112	NC_002516.2	RefSeq	gene	133220.0	134293.0	.	+	.	gene-PA0112	PA0112	Gene	protein_coding	PA0112	gene-PA0112	hypothetical protein	None	None
113	NC_002516.2	RefSeq	gene	134319.0	135233.0	.	+	.	gene-PA0113	PA0113	Gene	protein_coding	PA0113	gene-PA0113	protoheme IX farnesyltransferase	None	None
114	NC_002516.2	RefSeq	gene	135259.0	135894.0	.	+	.	gene-PA0114	senC	Gene	protein_coding	PA0114	senC	cytochrome c oxidase assembly protein SenC	None	None
115	NC_002516.2	RefSeq	gene	135934.0	136386.0	.	-	.	gene-PA0115	PA0115	Gene	protein_coding	PA0115	gene-PA0115	hypothetical protein	None	None
116	NC_002516.2	RefSeq	gene	136518.0	136991.0	.	+	.	gene-PA0116	PA0116	Gene	protein_coding	PA0116	gene-PA0116	hypothetical protein	None	None
117	NC_002516.2	RefSeq	gene	137248.0	137976.0	.	+	.	gene-PA0117	PA0117	Gene	protein_coding	PA0117	gene-PA0117	short-chain dehydrogenase	None	None
118	NC_002516.2	RefSeq	gene	138001.0	138588.0	.	+	.	gene-PA0118	PA0118	Gene	protein_coding	PA0118	gene-PA0118	hypothetical protein	None	None
119	NC_002516.2	RefSeq	gene	138818.0	140167.0	.	+	.	gene-PA0119	PA0119	Gene	protein_coding	PA0119	gene-PA0119	C4-dicarboxylate transporter DctA	None	None
120	NC_002516.2	RefSeq	gene	140216.0	140902.0	.	+	.	gene-PA0120	PA0120	Gene	protein_coding	PA0120	gene-PA0120	transcriptional regulator	None	None
121	NC_002516.2	RefSeq	gene	141003.0	141737.0	.	+	.	gene-PA0121	PA0121	Gene	protein_coding	PA0121	gene-PA0121	hypothetical protein	None	None
122	NC_002516.2	RefSeq	gene	141917.0	142327.0	.	+	.	gene-PA0122	PA0122	Gene	protein_coding	PA0122	gene-PA0122	hypothetical protein	None	None
123	NC_002516.2	RefSeq	gene	142359.0	143267.0	.	-	.	gene-PA0123	PA0123	Gene	protein_coding	PA0123	gene-PA0123	transcriptional regulator	None	None
124	NC_002516.2	RefSeq	gene	143567.0	143848.0	.	-	.	gene-PA0124	PA0124	Gene	protein_coding	PA0124	gene-PA0124	hypothetical protein	None	None
125	NC_002516.2	RefSeq	gene	143845.0	144072.0	.	-	.	gene-PA0125	PA0125	Gene	protein_coding	PA0125	gene-PA0125	hypothetical protein	None	None
126	NC_002516.2	RefSeq	gene	144248.0	144868.0	.	-	.	gene-PA0126	PA0126	Gene	protein_coding	PA0126	gene-PA0126	hypothetical protein	None	None
127	NC_002516.2	RefSeq	gene	144969.0	145469.0	.	+	.	gene-PA0127	PA0127	Gene	protein_coding	PA0127	gene-PA0127	hypothetical protein	None	None
128	NC_002516.2	RefSeq	gene	145542.0	145883.0	.	+	.	gene-PA0128	PA0128	Gene	protein_coding	PA0128	gene-PA0128	hypothetical protein	None	None
129	NC_002516.2	RefSeq	gene	145965.0	147392.0	.	-	.	gene-PA0129	gabP	Gene	protein_coding	PA0129	gabP	gamma-aminobutyrate permease	None	None
130	NC_002516.2	RefSeq	gene	147561.0	149054.0	.	-	.	gene-PA0130	PA0130	Gene	protein_coding	PA0130	gene-PA0130	3-oxopropanoate dehydrogenase	None	None
131	NC_002516.2	RefSeq	gene	149138.0	149425.0	.	-	.	gene-PA0131	PA0131	Gene	protein_coding	PA0131	gene-PA0131	beta-alanine degradation protein BauB	None	None
132	NC_002516.2	RefSeq	gene	149425.0	150771.0	.	-	.	gene-PA0132	PA0132	Gene	protein_coding	PA0132	gene-PA0132	beta alanine--pyruvate transaminase	None	None
133	NC_002516.2	RefSeq	gene	150906.0	151823.0	.	+	.	gene-PA0133	PA0133	Gene	protein_coding	PA0133	gene-PA0133	HTH-type transcriptional activator BauR	None	None
134	NC_002516.2	RefSeq	gene	151936.0	153306.0	.	-	.	gene-PA0134	PA0134	Gene	protein_coding	PA0134	gene-PA0134	guanine deaminase	None	None
135	NC_002516.2	RefSeq	gene	153696.0	153836.0	.	+	.	gene-PA0135	PA0135	Gene	protein_coding	PA0135	gene-PA0135	hypothetical protein	None	None
136	NC_002516.2	RefSeq	gene	154417.0	155988.0	.	+	.	gene-PA0136	PA0136	Gene	protein_coding	PA0136	gene-PA0136	ABC transporter ATP-binding protein	None	None
137	NC_002516.2	RefSeq	gene	155988.0	157085.0	.	+	.	gene-PA0137	PA0137	Gene	protein_coding	PA0137	gene-PA0137	ABC transporter permease	None	None
138	NC_002516.2	RefSeq	gene	157108.0	158034.0	.	+	.	gene-PA0138	PA0138	Gene	protein_coding	PA0138	gene-PA0138	ABC transporter permease	None	None
139	NC_002516.2	RefSeq	gene	158199.0	158762.0	.	+	.	gene-PA0139	ahpC	Gene	protein_coding	PA0139	ahpC	alkyl hydroperoxide reductase	None	None
140	NC_002516.2	RefSeq	gene	158907.0	160472.0	.	+	.	gene-PA0140	ahpF	Gene	protein_coding	PA0140	ahpF	alkyl hydroperoxide reductase	None	None
141	NC_002516.2	RefSeq	gene	160552.0	161448.0	.	-	.	gene-PA0141	PA0141	Gene	protein_coding	PA0141	gene-PA0141	hypothetical protein	None	None
142	NC_002516.2	RefSeq	gene	161906.0	163255.0	.	+	.	gene-PA0142	PA0142	Gene	protein_coding	PA0142	gene-PA0142	8-oxoguanine deaminase	None	None
143	NC_002516.2	RefSeq	gene	163363.0	164415.0	.	+	.	gene-PA0143	nuh	Gene	protein_coding	PA0143	nuh	nonspecific ribonucleoside hydrolase	None	None
144	NC_002516.2	RefSeq	gene	164443.0	165069.0	.	-	.	gene-PA0144	PA0144	Gene	protein_coding	PA0144	gene-PA0144	hypothetical protein	None	None
145	NC_002516.2	RefSeq	gene	165219.0	165737.0	.	-	.	gene-PA0145	PA0145	Gene	protein_coding	PA0145	gene-PA0145	hypothetical protein	None	None
146	NC_002516.2	RefSeq	gene	165976.0	167073.0	.	+	.	gene-PA0146	PA0146	Gene	protein_coding	PA0146	gene-PA0146	hypothetical protein	None	None
147	NC_002516.2	RefSeq	gene	167146.0	168108.0	.	+	.	gene-PA0147	PA0147	Gene	protein_coding	PA0147	gene-PA0147	oxidoreductase	None	None
148	NC_002516.2	RefSeq	gene	168213.0	169163.0	.	+	.	gene-PA0148	PA0148	Gene	protein_coding	PA0148	gene-PA0148	adenosine deaminase	None	None
149	NC_002516.2	RefSeq	gene	169361.0	169906.0	.	+	.	gene-PA0149	PA0149	Gene	protein_coding	PA0149	gene-PA0149	ECF subfamily sigma-70 factor	None	None
150	NC_002516.2	RefSeq	gene	169903.0	170898.0	.	+	.	gene-PA0150	PA0150	Gene	protein_coding	PA0150	gene-PA0150	transmembrane sensor	None	None
151	NC_002516.2	RefSeq	gene	171047.0	173434.0	.	+	.	gene-PA0151	PA0151	Gene	protein_coding	PA0151	gene-PA0151	TonB-dependent receptor	None	None
152	NC_002516.2	RefSeq	gene	173811.0	174638.0	.	+	.	gene-PA0152	pcaQ	Gene	protein_coding	PA0152	pcaQ	transcriptional regulator PcaQ	None	None
153	NC_002516.2	RefSeq	gene	174773.0	175492.0	.	+	.	gene-PA0153	pcaH	Gene	protein_coding	PA0153	pcaH	protocatechuate 3%2C4-dioxygenase subunit beta	None	None
154	NC_002516.2	RefSeq	gene	175503.0	176108.0	.	+	.	gene-PA0154	pcaG	Gene	protein_coding	PA0154	pcaG	protocatechuate 3%2C4-dioxygenase subunit alpha	None	None
155	NC_002516.2	RefSeq	gene	176315.0	177154.0	.	+	.	gene-PA0155	pcaR	Gene	protein_coding	PA0155	pcaR	transcriptional regulator PcaR	None	None
156	NC_002516.2	RefSeq	gene	177307.0	178458.0	.	+	.	gene-PA0156	PA0156	Gene	protein_coding	PA0156	gene-PA0156	resistance-nodulation-cell division (RND) efflux membrane fusion protein	None	None
157	NC_002516.2	RefSeq	gene	178455.0	179525.0	.	+	.	gene-PA0157	PA0157	Gene	protein_coding	PA0157	gene-PA0157	resistance-nodulation-cell division (RND) efflux membrane fusion protein	None	None
158	NC_002516.2	RefSeq	gene	179522.0	182569.0	.	+	.	gene-PA0158	PA0158	Gene	protein_coding	PA0158	gene-PA0158	resistance-nodulation-cell division (RND) efflux transporter	None	None
159	NC_002516.2	RefSeq	gene	182768.0	183706.0	.	+	.	gene-PA0159	PA0159	Gene	protein_coding	PA0159	gene-PA0159	transcriptional regulator	None	None
160	NC_002516.2	RefSeq	gene	183822.0	184007.0	.	+	.	gene-PA0160	PA0160	Gene	protein_coding	PA0160	gene-PA0160	hypothetical protein	None	None
161	NC_002516.2	RefSeq	gene	184594.0	185928.0	.	+	.	gene-PA0162	opdC	Gene	protein_coding	PA0162	opdC	histidine porin OpdC	None	None
