# Program:featureCounts v2.0.1; Command:"featureCounts" "-p" "-M" "-O" "--primary" "-a" "dualGenome.gff3" "-t" "gene" "-o" "countData.tsv" "-g" "ID" "ERR1378069_sorted.bam" "ERR1378068_sorted.bam" "ERR1378065_sorted.bam" "ERR1378064_sorted.bam" "ERR1378066_sorted.bam" "ERR1378063_sorted.bam" "ERR1378062_sorted.bam" "ERR1378067_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	ERR1378069_sorted.bam	ERR1378068_sorted.bam	ERR1378065_sorted.bam	ERR1378064_sorted.bam	ERR1378066_sorted.bam	ERR1378063_sorted.bam	ERR1378062_sorted.bam	ERR1378067_sorted.bam
gene-BSU_00310	NC_000964.3	40665	41654	+	990	1951	4889	9140	7779	11371	3907	3998	7403
gene-BSU_00320	NC_000964.3	41657	42484	+	828	4130	7948	16383	13629	19820	7286	7441	13649
gene-BSU_00330	NC_000964.3	42499	42858	+	360	1588	3369	5594	4375	6398	3032	2982	4850
gene-BSU_00340	NC_000964.3	42917	43660	+	744	962	1606	3476	2727	3979	1442	1847	2970
gene-BSU_00350	NC_000964.3	43647	43946	+	300	504	988	1915	1367	2085	881	1150	1589
gene-BSU_00360	NC_000964.3	43921	44799	+	879	1380	2044	3856	2712	3976	1767	2584	3169
gene-BSU_00370	NC_000964.3	44848	45138	-	291	495	1207	811	407	697	300	825	1217
gene-BSU_00380	NC_000964.3	45633	47627	+	1995	4758	8069	6495	4451	7565	7534	7271	6944
gene-BSU_00390	NC_000964.3	47706	48473	+	768	648	905	2037	1624	2315	851	948	2016
gene-BSU_00400	NC_000964.3	48629	49942	+	1314	3290	4726	8976	6375	10554	3785	6126	8675
gene-BSU_00410	NC_000964.3	50087	50647	+	561	1247	1255	2830	1818	3057	1093	1925	2777
gene-BSU_00420	NC_000964.3	50640	51518	+	879	2284	2206	5048	3172	5152	1959	3452	4802
gene-BSU_00430	NC_000964.3	51680	52552	+	873	82	81	392	282	464	98	151	325
gene-BSU_00440	NC_000964.3	52763	53023	+	261	789	1662	3126	1799	2812	797	1505	2126
gene-BSU_00450	NC_000964.3	53183	53368	+	186	15	132	162	118	204	62	54	134
gene-BSU_00460	NC_000964.3	53516	54385	+	870	3356	2369	4199	2658	3985	2242	4222	5161
gene-BSU_00470	NC_000964.3	54441	55298	+	858	5111	5815	11325	8058	12420	5504	8027	11520
gene-BSU_00480	NC_000964.3	55295	55672	+	378	2571	3007	5333	3594	5568	2568	3421	5344
gene-BSU_00490	NC_000964.3	55866	56159	+	294	1534	1225	1100	818	1710	1215	1435	2475
gene-BSU_00500	NC_000964.3	56352	57722	+	1371	8239	10491	13214	9205	16247	10435	12685	13937
gene-BSU_00510	NC_000964.3	57745	58698	+	954	7319	9810	11355	8340	14133	9963	10705	11450
gene-BSU_00520	NC_000964.3	58783	59397	+	615	6440	10346	10152	7158	12156	8893	9832	10184
gene-BSU_00530	NC_000964.3	59504	60070	+	567	1678	1957	1756	1198	1843	1713	2157	2209
gene-BSU_00540	NC_000964.3	60130	60360	+	231	665	1023	967	623	947	808	1020	1105
gene-BSU_00550	NC_000964.3	60430	63963	+	3534	9885	9215	12651	8454	13129	8969	12242	15102
gene-BSU_00560	NC_000964.3	64099	64635	+	537	1475	1488	1771	1174	1617	1453	1928	2127
gene-BSU_00570	NC_000964.3	64817	66415	+	1599	1552	2140	3609	2563	4005	2237	2409	3442
gene-BSU_00580	NC_000964.3	66405	67874	+	1470	4222	5407	6148	4652	6862	5898	5658	6254
gene-BSU_00590	NC_000964.3	67877	68137	+	261	1215	1714	2039	1444	2189	1847	2128	2061
gene-BSU_00600	NC_000964.3	68216	68518	+	303	1077	1794	1951	1189	1859	2081	2474	2078
gene-BSU_00610	NC_000964.3	68515	69150	+	636	1548	3344	3245	2418	3223	3166	4189	3712
gene-BSU_00620	NC_000964.3	69168	69545	+	378	3268	5641	5621	3986	5857	4845	6408	6097
gene-BSU_00630	NC_000964.3	69626	70012	+	387	3461	6516	6560	3937	6393	4397	7238	8290
gene-BSU_tRNA_10	NC_000964.3	70181	70257	+	77	243	460	198	159	348	186	201	176
gene-BSU_tRNA_11	NC_000964.3	70267	70338	+	72	114	263	828	164	263	141	479	169
gene-BSU_00640	NC_000964.3	70538	73021	+	2484	588	1152	4507	3713	6007	1209	1258	3719
gene-BSU_00650	NC_000964.3	73106	73843	+	738	284	397	2032	1567	2355	469	542	1572
gene-BSU_00660	NC_000964.3	73809	74825	+	1017	182	243	977	771	1218	259	292	779
gene-BSU_00670	NC_000964.3	74929	76347	+	1419	8299	10879	12051	8608	13280	10885	11451	13477
gene-BSU_00680	NC_000964.3	76344	76886	+	543	4945	9477	7773	5254	7828	7928	9156	7900
gene-BSU_00690	NC_000964.3	76984	78897	+	1914	95805	115040	105913	72494	111764	119361	126510	105608
gene-BSU_00700	NC_000964.3	79092	79868	+	777	3617	3216	5601	3607	5376	3198	5263	5768
gene-BSU_00710	NC_000964.3	79880	80755	+	876	6366	4758	7496	4245	6357	4622	7929	8542
gene-BSU_00720	NC_000964.3	80802	81695	+	894	1033	1135	1171	552	1085	983	1618	1734
gene-BSU_00730	NC_000964.3	81771	82697	+	927	7768	9639	23335	17552	28767	9573	8539	21316
gene-BSU_00740	NC_000964.3	82864	84276	+	1413	1038	1851	4185	3633	5482	1850	1585	3565
gene-BSU_00750	NC_000964.3	84290	84874	+	585	1106	1672	3224	2841	4072	1730	1637	2721
gene-BSU_00760	NC_000964.3	84874	85755	+	882	984	1923	3816	3253	4981	1871	1778	3248
gene-BSU_00770	NC_000964.3	85737	86594	+	858	2218	2895	5938	4741	7198	3037	3021	5198
gene-BSU_00780	NC_000964.3	86587	86949	+	363	866	1249	2230	1736	2880	1334	1233	2045
gene-BSU_00790	NC_000964.3	86946	87449	+	504	1692	2004	3738	2835	4440	2078	2461	3763
gene-BSU_00800	NC_000964.3	87401	87610	+	210	1891	1784	3126	2158	3314	1637	2485	3358
gene-BSU_00810	NC_000964.3	87634	88635	+	1002	9645	8855	14637	9845	14740	8054	13495	15579
gene-BSU_00820	NC_000964.3	88727	90226	+	1500	12676	11466	14339	8981	13327	9861	17441	18301
gene-BSU_rRNA_6	NC_000964.3	90536	92089	+	1554	1016	1127	913	828	5762	1924	2311	1501
gene-BSU_rRNA_7	NC_000964.3	92254	95181	+	2928	1793	1855	2001	1694	16126	4280	5540	3140
gene-BSU_rRNA_8	NC_000964.3	95237	95354	+	118	10	21	23	18	37	30	17	12
gene-BSU_tRNA_12	NC_000964.3	95375	95450	+	76	184	548	173	117	189	115	187	94
gene-BSU_tRNA_13	NC_000964.3	95455	95530	+	76	1041	1988	943	593	1394	587	1470	623
gene-BSU_tRNA_14	NC_000964.3	95567	95642	+	76	693	1594	866	539	843	595	1716	586
gene-BSU_tRNA_15	NC_000964.3	95649	95731	+	83	1802	6259	2060	1850	4938	2124	2894	1580
gene-BSU_tRNA_16	NC_000964.3	95772	95846	+	75	611	1225	655	361	753	520	1244	449
gene-BSU_tRNA_17	NC_000964.3	95861	95946	+	86	863	1939	1016	762	1735	830	1431	722
gene-BSU_tRNA_18	NC_000964.3	95956	96032	+	77	485	926	377	169	320	238	603	286
gene-BSU_tRNA_19	NC_000964.3	96060	96136	+	77	204	421	182	117	1866	136	264	148
gene-BSU_tRNA_20	NC_000964.3	96146	96221	+	76	369	701	306	164	490	215	386	243
gene-BSU_rRNA_9	NC_000964.3	96392	97945	+	1554	1006	1117	886	790	5567	1844	2284	1538
gene-BSU_rRNA_10	NC_000964.3	98110	101037	+	2928	1769	1900	1917	1707	16012	4361	5416	3193
gene-BSU_rRNA_11	NC_000964.3	101093	101211	+	119	10	9	22	18	35	24	18	5
gene-BSU_00830	NC_000964.3	101449	101913	+	465	670	1354	3118	2638	4210	1304	1055	3525
gene-BSU_00840	NC_000964.3	101927	102484	+	558	1514	2508	6724	5605	8421	2603	2004	6921
gene-BSU_00850	NC_000964.3	102484	103575	+	1092	5113	6225	13066	10811	16331	7369	5128	14660
gene-BSU_00860	NC_000964.3	103572	106004	+	2433	21899	24531	46982	39509	60254	30513	20526	52418
gene-BSU_00870	NC_000964.3	106096	107472	+	1377	5602	7056	10198	8357	12495	6819	6039	11390
gene-BSU_00880	NC_000964.3	107476	108558	+	1083	4460	7392	7467	6020	8821	7733	6067	8088
gene-BSU_00890	NC_000964.3	108674	109774	+	1101	4164	8222	8458	6821	10155	9047	6577	9216
gene-BSU_00900	NC_000964.3	109789	110487	+	699	3758	5080	5376	4392	6179	5830	4115	5383
gene-BSU_00910	NC_000964.3	110480	110956	+	477	690	671	763	556	767	557	540	1053
gene-BSU_00920	NC_000964.3	111047	112498	+	1452	16112	18630	17302	11724	18075	19104	22049	21675
gene-BSU_00930	NC_000964.3	112800	113453	+	654	916	1099	1328	808	1194	1289	1422	1408
gene-BSU_00940	NC_000964.3	113450	114850	+	1401	2170	2774	2446	1475	2402	2796	2873	2630
gene-BSU_00950	NC_000964.3	114854	115285	+	432	674	883	847	485	801	774	849	895
gene-BSU_00960	NC_000964.3	115269	116018	+	750	1897	1860	2556	1718	2457	2031	2393	2790
gene-BSU_00970	NC_000964.3	116025	116537	+	513	1214	1267	1876	1261	1781	1347	1656	1956
gene-BSU_00980	NC_000964.3	116600	117256	+	657	1443	2616	4931	3557	5286	1873	3079	4784
gene-BSU_00990	NC_000964.3	117349	117498	+	150	332	1104	1985	1258	2116	614	1274	1865
gene-BSU_01000	NC_000964.3	117532	117711	+	180	303	1131	2069	1376	1831	725	1446	1939
gene-BSU_01010	NC_000964.3	117890	118423	+	534	2775	3270	5130	3280	5088	3082	5328	5668
gene-BSU_01020	NC_000964.3	118591	119016	+	426	29812	49377	51095	30617	48651	35126	65566	42975
gene-BSU_01030	NC_000964.3	119111	119809	+	699	38110	71116	78352	52760	78550	59780	96886	64785
gene-BSU_misc_RNA_3	NC_000964.3	119855	119995	+	141	11926	30713	32798	23210	33572	26683	40103	26079
gene-BSU_01040	NC_000964.3	120061	120561	+	501	48223	90206	101264	68748	103196	76405	112182	79835
gene-BSU_01050	NC_000964.3	120607	120978	+	372	26977	61981	69346	47645	71500	54664	79503	55758
gene-BSU_01060	NC_000964.3	121068	121673	+	606	1988	3041	7975	5465	8883	3216	5235	6761
gene-BSU_01070	NC_000964.3	121919	125500	+	3582	119321	77520	132182	81543	124581	76470	132394	165066
gene-BSU_01080	NC_000964.3	125562	129161	+	3600	173912	114636	163520	102613	146625	105599	171137	217653
gene-BSU_01090	NC_000964.3	129340	129588	+	249	11627	30982	39342	27093	38357	21488	40220	28985
gene-BSU_01100	NC_000964.3	129702	130118	+	417	45592	79521	115465	79523	110554	66530	112620	82238
gene-BSU_01110	NC_000964.3	130160	130630	+	471	39141	80754	99486	69117	95976	61406	102200	72663
gene-BSU_01120	NC_000964.3	130684	132762	+	2079	212773	353046	406922	282792	387361	281002	438098	311151
gene-BSU_01130	NC_000964.3	132882	134072	+	1191	251566	333971	332110	225100	314263	307397	397277	304652
gene-BSU_01140	NC_000964.3	134171	135127	+	957	348	1266	3274	2655	3673	1155	1248	2293
gene-BSU_01150	NC_000964.3	135364	135672	+	309	13670	32842	43291	29411	48516	27020	42307	35932
gene-BSU_01160	NC_000964.3	135712	136341	+	630	49359	81059	115887	81412	129936	74853	109018	96276
gene-BSU_01170	NC_000964.3	136369	136992	+	624	40077	74551	99606	71157	117518	67347	94143	83815
gene-BSU_01180	NC_000964.3	136992	137279	+	288	18504	42557	52684	37984	62009	35970	50199	44548
gene-BSU_01190	NC_000964.3	137311	138144	+	834	62435	96868	138240	98894	158357	95002	128789	113743
gene-BSU_01200	NC_000964.3	138202	138480	+	279	22410	33957	52125	35207	59407	36493	47687	41656
gene-BSU_01210	NC_000964.3	138497	138838	+	342	22854	36090	51848	34893	58796	36720	48194	40831
gene-BSU_01220	NC_000964.3	138842	139498	+	657	41656	67534	98603	67777	112554	72535	95014	78505
gene-BSU_01230	NC_000964.3	139500	139934	+	435	28757	53985	80665	54245	89691	58985	75298	63277
gene-BSU_01240	NC_000964.3	139924	140124	+	201	13324	30289	42642	28347	47158	31274	40658	33909
gene-BSU_01250	NC_000964.3	140147	140410	+	264	15572	36319	46152	31242	52421	35267	45922	36676
gene-BSU_01260	NC_000964.3	140451	140819	+	369	24040	43926	58445	39836	64127	44311	57192	46004
gene-BSU_01270	NC_000964.3	140857	141168	+	312	16853	36672	45149	30227	49058	34281	46318	35158
gene-BSU_01280	NC_000964.3	141195	141734	+	540	35124	66115	90949	61984	96742	71230	91364	71165
gene-BSU_01290	NC_000964.3	141757	141942	+	186	18832	34183	47970	31080	49150	35851	46399	37097
gene-BSU_01300	NC_000964.3	141974	142372	+	399	21618	48264	59277	38911	60914	44651	58647	45347
gene-BSU_01310	NC_000964.3	142402	142941	+	540	32193	65012	81681	54958	85099	61083	78105	63538
gene-BSU_01320	NC_000964.3	142974	143336	+	363	30991	57155	73503	50026	74872	54192	68165	57373
gene-BSU_01330	NC_000964.3	143361	143861	+	501	34182	66446	81630	56983	83012	60929	78980	64088
gene-BSU_01340	NC_000964.3	143875	144054	+	180	15196	32787	41522	28345	40565	30551	40820	32191
gene-BSU_01350	NC_000964.3	144085	144525	+	441	27927	60224	79233	53197	76015	55510	76587	60564
gene-BSU_01360	NC_000964.3	144527	145822	+	1296	78892	152123	216222	148978	207452	132771	193987	165303
gene-BSU_01370	NC_000964.3	145877	146530	+	654	28674	58652	85138	57442	79307	45602	74826	63537
gene-BSU_01380	NC_000964.3	146527	147273	+	747	38759	68487	100860	66842	90726	52315	88133	74537
gene-BSU_01389	NC_000964.3	147312	147536	+	225	10918	28357	39627	26100	36458	21051	35456	30132
gene-BSU_01390	NC_000964.3	147585	147803	+	219	12192	29988	43604	28856	39585	23617	40300	31959
gene-BSU_01400	NC_000964.3	147837	147950	+	114	10284	24721	32500	21623	29340	19352	31630	24398
gene-BSU_01410	NC_000964.3	147973	148338	+	366	27767	52176	66440	43558	62092	40188	64577	49726
gene-BSU_01420	NC_000964.3	148359	148754	+	396	39339	56847	75146	50000	68882	46562	71977	55865
gene-BSU_01430	NC_000964.3	148931	149875	+	945	61636	122572	141982	94535	126365	93898	151572	109953
gene-BSU_01440	NC_000964.3	149953	150315	+	363	24945	42493	45166	29334	39794	29057	49172	35263
gene-BSU_01450	NC_000964.3	150443	151288	+	846	2674	4964	23017	19182	28494	5843	5795	18539
gene-BSU_01460	NC_000964.3	151303	152133	+	831	3343	7435	30147	25149	36695	8042	7363	23674
gene-BSU_01470	NC_000964.3	152130	152927	+	798	2642	6660	23925	20614	29957	6856	6341	18741
gene-BSU_01480	NC_000964.3	152937	153680	+	744	6153	11968	27841	21732	29776	9294	15088	21225
gene-BSU_misc_RNA_4	NC_000964.3	153737	153793	+	57	10658	12218	14548	10448	15421	7479	13958	10448
gene-BSU_01490	NC_000964.3	153842	154279	+	438	26573	40510	49507	33999	51971	26108	46519	36914
gene-BSU_01500	NC_000964.3	154300	154692	+	393	23514	38012	49216	34013	49702	26854	46382	35872
gene-BSU_01510	NC_000964.3	155156	155923	+	768	780	1064	1070	599	926	668	1213	1344
gene-BSU_01520	NC_000964.3	156109	156552	+	444	67	40	140	92	112	62	94	123
gene-BSU_01530	NC_000964.3	156612	157325	+	714	72	86	327	211	264	97	134	189
gene-BSU_01540	NC_000964.3	157421	158479	+	1059	6994	14314	5035	4177	7696	13984	8293	7551
gene-BSU_01550	NC_000964.3	158515	159072	-	558	400	769	1195	805	1310	474	816	1176
gene-BSU_01560	NC_000964.3	159182	159778	+	597	244	390	867	596	824	332	603	925
gene-BSU_01570	NC_000964.3	159779	160543	-	765	302	371	1193	933	1395	382	524	1174
gene-BSU_rRNA_23	NC_000964.3	160893	162445	+	1553	906	1194	888	785	5671	2000	2385	1459
gene-BSU_rRNA_14	NC_000964.3	162610	165535	+	2926	1388	1463	1455	1221	12174	3089	3851	2453
gene-BSU_rRNA_15	NC_000964.3	165591	165707	+	117	9	12	17	20	31	23	12	12
gene-BSU_tRNA_23	NC_000964.3	165754	165825	+	72	262	460	420	90	230	116	836	186
gene-BSU_tRNA_24	NC_000964.3	165830	165902	+	73	301	529	557	114	282	1137	1083	251
gene-BSU_tRNA_25	NC_000964.3	165959	166033	+	75	81	207	190	84	149	72	193	95
gene-BSU_tRNA_26	NC_000964.3	166064	166140	+	77	185	401	123	101	128	102	212	100
gene-BSU_tRNA_27	NC_000964.3	166168	166244	+	77	118	250	105	75	94	90	177	93
gene-BSU_tRNA_28	NC_000964.3	166253	166328	+	76	295	488	485	103	616	158	314	156
gene-BSU_rRNA_16	NC_000964.3	166500	168053	+	1554	1322	1456	985	813	6533	2172	2698	1659
gene-BSU_rRNA_29	NC_000964.3	168218	171141	+	2924	2025	2177	1946	1666	16944	4306	5371	3418
gene-BSU_rRNA_24	NC_000964.3	171197	171314	+	118	8	10	16	20	54	25	17	6
gene-BSU_rRNA_25	NC_000964.3	171498	173049	+	1552	912	871	623	538	4123	1286	1905	1176
gene-BSU_rRNA_27	NC_000964.3	173214	176141	+	2928	1822	1876	1857	1583	14508	3913	4840	3084
gene-BSU_rRNA_28	NC_000964.3	176197	176315	+	119	10	13	14	32	57	27	16	23
gene-BSU_01580	NC_000964.3	177083	178519	+	1437	1988	4441	23513	20652	29755	4112	4324	17749
gene-BSU_01590	NC_000964.3	178665	179585	+	921	375	1110	4617	3956	5885	1006	1180	3441
gene-BSU_01600	NC_000964.3	179595	180347	-	753	1911	817	1761	1181	2436	1430	1352	2578
gene-BSU_01610	NC_000964.3	180344	181354	-	1011	3872	1825	2934	1992	4352	3235	2834	5035
gene-BSU_01620	NC_000964.3	181347	182351	-	1005	3121	2092	2025	1434	3798	3735	2587	4246
gene-BSU_01630	NC_000964.3	182370	183323	-	954	3491	2803	1837	1245	3866	5456	3143	3951
gene-BSU_01640	NC_000964.3	183414	185003	-	1590	1969	1326	1511	872	1656	1548	1879	2250
gene-BSU_01650	NC_000964.3	185194	186438	-	1245	202	188	883	783	1151	272	309	784
gene-BSU_01660	NC_000964.3	186452	188380	-	1929	267	283	1432	1181	1715	405	438	1198
gene-BSU_01670	NC_000964.3	188408	189733	-	1326	173	171	841	686	1061	258	235	827
gene-BSU_01680	NC_000964.3	189790	191157	-	1368	221	160	768	684	985	309	193	790
gene-BSU_01690	NC_000964.3	191183	192034	-	852	334	285	591	461	777	262	251	633
gene-BSU_01700	NC_000964.3	192051	192965	-	915	579	374	528	429	684	421	375	718
gene-BSU_01710	NC_000964.3	193075	193557	-	483	80	117	222	152	221	107	110	180
gene-BSU_01720	NC_000964.3	193570	194025	-	456	147	158	266	198	320	148	171	220
gene-BSU_tRNA_75	NC_000964.3	194205	194279	+	75	301	707	206	164	264	173	290	166
gene-BSU_tRNA_78	NC_000964.3	194283	194358	+	76	395	565	406	147	278	198	280	184
gene-BSU_tRNA_76	NC_000964.3	194363	194435	+	73	743	1084	550	365	936	396	578	359
gene-BSU_tRNA_77	NC_000964.3	194458	194542	+	85	290	700	412	215	762	364	392	259
gene-BSU_tRNA_74	NC_000964.3	194547	194621	+	75	203	724	226	149	510	249	252	196
gene-BSU_01730	NC_000964.3	194849	195412	+	564	8666	15981	11022	7027	11124	13600	20608	7578
gene-BSU_01740	NC_000964.3	195426	196052	+	627	7651	14131	9079	5637	6369	11060	16729	6073
gene-BSU_01750	NC_000964.3	196213	197034	+	822	3787	4152	5494	3820	5696	4443	4985	5733
gene-BSU_01760	NC_000964.3	197027	198478	+	1452	10486	11533	13814	9466	14191	13208	14846	14880
gene-BSU_01770	NC_000964.3	198497	199843	+	1347	12908	11251	11306	5949	9572	12526	16621	15414
gene-BSU_misc_RNA_5	NC_000964.3	200017	200187	+	171	580	776	1937	1564	2533	744	903	1622
gene-BSU_01780	NC_000964.3	200277	202079	+	1803	10243	12427	31288	26405	42395	14247	14363	25307
gene-BSU_01790	NC_000964.3	202126	202266	+	141	53	70	162	156	212	74	72	188
gene-BSU_01800	NC_000964.3	202547	203458	-	912	139	304	585	495	681	297	387	553
gene-BSU_01810	NC_000964.3	203729	204364	+	636	19	52	229	161	262	72	60	168
gene-BSU_01820	NC_000964.3	204351	204890	+	540	37	107	207	206	248	107	61	217
gene-BSU_01830	NC_000964.3	205409	206926	+	1518	171	369	1472	1378	1638	446	402	1140
gene-BSU_01845	NC_000964.3	206941	209556	+	2616	272	710	3128	2819	4005	838	641	2280
gene-BSU_01860	NC_000964.3	209633	210160	+	528	28	148	474	389	572	132	91	402
gene-BSU_01870	NC_000964.3	210224	210514	+	291	22	85	259	271	326	64	55	231
gene-BSU_01880	NC_000964.3	210572	210946	+	375	23	107	347	333	486	110	108	341
gene-BSU_01889	NC_000964.3	211429	211731	+	303	14	26	30	34	45	32	30	52
gene-BSU_01890	NC_000964.3	211859	213031	+	1173	290	338	425	319	414	321	379	419
gene-BSU_01900	NC_000964.3	213155	213469	+	315	8	10	55	70	51	56	23	41
gene-BSU_01910	NC_000964.3	213941	214108	+	168	16	25	91	34	40	38	23	42
gene-BSU_01920	NC_000964.3	214175	215407	+	1233	54	122	238	183	225	203	122	194
gene-BSU_01935	NC_000964.3	215404	216894	+	1491	122	178	280	159	240	185	251	310
gene-BSU_01950	NC_000964.3	216913	217632	+	720	157	106	221	116	216	162	207	287
gene-BSU_01960	NC_000964.3	217697	219040	+	1344	93	130	232	214	229	202	200	382
gene-BSU_01970	NC_000964.3	219087	219602	+	516	104	78	141	79	114	94	141	192
gene-BSU_01980	NC_000964.3	219607	220032	+	426	57	72	88	56	112	46	105	152
gene-BSU_01990	NC_000964.3	220279	221256	+	978	106	165	294	273	351	195	167	315
gene-BSU_02000	NC_000964.3	221258	221929	+	672	149	180	393	372	436	205	183	433
gene-BSU_02010	NC_000964.3	221950	222912	+	963	191	245	565	495	657	251	280	570
gene-BSU_02019	NC_000964.3	222971	223234	+	264	158	205	401	301	397	176	249	371
gene-BSU_02030	NC_000964.3	223219	223989	-	771	246	269	815	609	809	367	415	703
gene-BSU_02040	NC_000964.3	224075	224932	-	858	151	187	469	363	483	241	194	375
gene-BSU_02050	NC_000964.3	225064	226248	+	1185	289	399	1105	822	1189	422	432	872
gene-BSU_02060	NC_000964.3	226566	227954	+	1389	1361	2431	2022	1550	2290	2189	2055	1786
gene-BSU_02070	NC_000964.3	228066	228314	+	249	9	12	29	40	42	27	10	37
gene-BSU_02080	NC_000964.3	228331	228522	+	192	10	14	44	35	61	34	16	32
gene-BSU_02090	NC_000964.3	228549	229352	-	804	186	104	229	193	247	268	118	293
gene-BSU_02100	NC_000964.3	229525	230778	+	1254	205	428	418	265	367	517	309	386
gene-BSU_02110	NC_000964.3	230819	231079	-	261	29	68	79	65	93	86	69	83
