# Program:featureCounts v2.0.1; Command:"featureCounts" "-p" "-M" "-O" "--primary" "-a" "dualGenome.gff3" "-t" "gene" "-o" "countData.tsv" "-g" "ID" "SRR1393883_sorted.bam" "SRR1393887_sorted.bam" "SRR1393886_sorted.bam" "SRR1393882_sorted.bam" "SRR1393881_sorted.bam" "SRR1393880_sorted.bam" "SRR1393885_sorted.bam" "SRR1393884_sorted.bam" "SRR1393888_sorted.bam" "SRR1393889_sorted.bam" "SRR1393891_sorted.bam" "SRR1393890_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR1393883_sorted.bam	SRR1393887_sorted.bam	SRR1393886_sorted.bam	SRR1393882_sorted.bam	SRR1393881_sorted.bam	SRR1393880_sorted.bam	SRR1393885_sorted.bam	SRR1393884_sorted.bam	SRR1393888_sorted.bam	SRR1393889_sorted.bam	SRR1393891_sorted.bam	SRR1393890_sorted.bam
gene-PA0014	NC_002516.2	16335	16607	-	273	3	1	0	4	4	8	4	1	1	2	0	1
gene-PA0015	NC_002516.2	16900	17217	-	318	7	6	0	13	7	9	5	2	2	2	1	1
gene-PA0016	NC_002516.2	17366	18739	-	1374	28	17	2	33	29	25	11	6	0	0	1	2
gene-PA0017	NC_002516.2	18767	20071	-	1305	16	8	2	27	19	14	3	7	0	0	0	1
gene-PA0018	NC_002516.2	20068	21012	-	945	11	10	2	22	5	11	7	4	1	1	1	0
gene-PA0019	NC_002516.2	21067	21573	-	507	39	21	17	52	72	27	22	33	14	17	10	12
gene-PA0020	NC_002516.2	21712	22737	+	1026	43	8	14	51	29	25	14	16	4	6	15	14
gene-PA0021	NC_002516.2	22872	23960	+	1089	7	3	0	6	2	7	1	3	0	0	0	2
gene-PA0022	NC_002516.2	24001	24558	+	558	3	6	2	7	11	1	2	4	0	0	0	0
gene-PA0023	NC_002516.2	24568	25545	-	978	14	7	0	16	8	11	8	4	1	0	1	1
gene-PA0024	NC_002516.2	25736	26653	+	918	23	7	5	21	20	17	16	8	2	5	1	2
gene-PA0025	NC_002516.2	26711	27535	+	825	11	8	1	6	14	8	2	2	0	0	1	1
gene-PA0026	NC_002516.2	27646	28632	+	987	17	13	3	14	4	17	12	2	0	1	0	0
gene-PA0027	NC_002516.2	28613	29899	+	1287	10	13	1	7	7	7	5	4	0	0	0	0
gene-PA0028	NC_002516.2	29896	30498	+	603	4	6	1	6	3	4	6	3	0	0	0	0
gene-PA0029	NC_002516.2	30502	32055	-	1554	13	12	2	8	3	14	6	1	0	0	1	0
gene-PA0030	NC_002516.2	32060	32983	-	924	4	4	2	5	2	7	6	2	1	2	3	4
gene-PA0031	NC_002516.2	33000	34511	-	1512	18	15	2	17	4	22	12	2	1	3	2	1
gene-PA0032	NC_002516.2	34624	35538	+	915	16	6	1	13	7	6	2	5	0	1	0	0
gene-PA0032a	NC_002516.2	35549	35926	+	378	9	3	2	12	4	2	3	1	0	0	0	0
gene-PA0033	NC_002516.2	35905	36270	-	366	4	2	2	5	4	6	1	1	0	0	0	0
gene-PA0034	NC_002516.2	36278	36901	-	624	11	10	1	8	5	11	1	4	1	1	0	0
gene-PA0035	NC_002516.2	37087	37893	-	807	8	8	2	18	5	2	8	2	1	2	0	0
gene-PA0036	NC_002516.2	37890	39098	-	1209	14	18	8	15	15	16	10	8	0	0	4	2
gene-PA0037	NC_002516.2	39202	40089	+	888	10	5	4	4	3	10	5	0	0	0	0	0
gene-PA0038	NC_002516.2	40190	40405	+	216	9	4	2	7	3	5	5	7	4	4	5	5
gene-PA0039	NC_002516.2	40589	40816	+	228	85	7	3	80	156	72	46	46	2	1	4	3
gene-PA0040	NC_002516.2	41113	42801	+	1689	15	10	1	7	8	19	4	2	0	1	3	2
gene-PA0041	NC_002516.2	42914	53521	+	10608	80	70	15	81	46	118	49	23	115	118	94	100
gene-PA0041a	NC_002516.2	54121	54822	+	702	18	14	4	15	7	15	12	2	5	9	12	7
gene-PA0042	NC_002516.2	56546	56941	+	396	11	4	1	8	3	7	4	1	6	6	13	14
gene-PA0043	NC_002516.2	57212	58594	-	1383	16	13	1	15	5	15	9	8	0	0	1	2
gene-PA0044	NC_002516.2	58786	60159	+	1374	48	15	3	59	38	17	11	11	0	1	2	0
gene-PA0045	NC_002516.2	60656	61342	+	687	11	8	3	10	6	7	5	3	4	4	1	2
gene-PA0046	NC_002516.2	61373	61726	+	354	10	1	2	7	4	6	2	4	0	1	0	1
gene-PA0047	NC_002516.2	61879	62388	+	510	4	4	1	6	2	6	6	1	0	0	0	2
gene-PA0048	NC_002516.2	62403	62786	-	384	2	1	0	2	1	7	2	0	0	1	0	0
gene-PA0049	NC_002516.2	63068	64729	-	1662	17	13	2	30	8	21	10	2	0	0	1	0
gene-PA0050	NC_002516.2	65339	65479	+	141	2	1	0	3	4	3	3	0	1	0	0	0
gene-PA0051	NC_002516.2	66303	68135	+	1833	14	10	4	12	7	23	10	6	0	0	1	1
gene-PA0052	NC_002516.2	68188	68616	-	429	7	9	1	6	3	1	1	1	0	0	1	0
gene-PA0054	NC_002516.2	69543	70091	-	549	4	5	1	8	4	16	1	1	0	1	1	1
gene-PA0055	NC_002516.2	70130	70636	-	507	7	5	2	16	7	8	7	5	4	3	4	3
gene-PA0056	NC_002516.2	70702	71622	-	921	11	13	2	11	4	12	2	2	0	1	2	0
gene-PA0057	NC_002516.2	71730	72617	+	888	16	9	2	16	2	7	11	2	9	9	14	10
gene-PA0058	NC_002516.2	72680	73384	+	705	6	5	1	4	4	9	4	2	0	0	0	0
gene-PA0059	NC_002516.2	73468	73923	+	456	5	3	1	6	0	5	3	2	0	0	2	1
gene-PA0060	NC_002516.2	74034	74267	+	234	5	3	2	4	3	4	3	1	5	3	2	2
gene-PA0061	NC_002516.2	74279	74716	-	438	5	5	2	11	5	4	3	1	0	0	0	0
gene-PA0062	NC_002516.2	74773	75189	-	417	3	4	4	4	3	3	4	2	0	0	2	2
gene-PA0063	NC_002516.2	75281	76408	+	1128	17	7	3	22	5	16	7	4	2	0	5	3
gene-PA0064	NC_002516.2	76416	77399	-	984	12	6	0	17	7	13	2	6	1	1	0	0
gene-PA0065	NC_002516.2	77432	78097	-	666	12	8	1	14	3	7	7	6	3	1	1	0
gene-PA0066	NC_002516.2	78090	78632	-	543	14	6	1	9	5	10	10	2	1	0	0	0
gene-PA0067	NC_002516.2	78710	80755	+	2046	21	25	10	47	17	30	27	7	5	3	5	3
gene-PA0068	NC_002516.2	80752	81027	+	276	5	4	2	10	5	5	6	3	2	1	0	0
gene-PA0069	NC_002516.2	81116	82174	+	1059	17	11	1	13	11	15	5	2	0	0	0	2
gene-PA0070	NC_002516.2	82404	83318	-	915	11	7	0	15	11	29	15	14	2	2	3	6
gene-PA0071	NC_002516.2	83380	85092	-	1713	40	27	11	55	56	27	18	45	7	8	24	10
gene-PA0072	NC_002516.2	85085	86284	-	1200	5	5	2	14	4	16	10	1	0	0	0	0
gene-PA0073	NC_002516.2	86284	87003	-	720	5	8	0	5	1	6	1	2	0	0	1	0
gene-PA0074	NC_002516.2	87000	90098	-	3099	32	19	6	39	8	45	16	18	0	1	1	2
gene-PA0075	NC_002516.2	90106	90834	-	729	9	7	0	5	3	6	4	3	1	0	1	1
gene-PA0076	NC_002516.2	90844	91524	-	681	3	5	1	9	2	7	4	1	0	0	1	1
gene-PA0077	NC_002516.2	91521	94826	-	3306	32	32	0	30	15	37	23	12	0	0	5	3
gene-PA0078	NC_002516.2	95048	96397	-	1350	9	10	6	7	5	22	8	4	0	0	1	2
gene-PA0079	NC_002516.2	96404	97738	-	1335	10	7	2	23	9	12	11	2	0	0	0	2
gene-PA0080	NC_002516.2	97754	98218	-	465	5	6	2	8	6	3	3	1	2	4	7	6
gene-PA0081	NC_002516.2	98263	99756	-	1494	37	13	5	34	34	29	16	12	0	1	3	3
gene-PA0082	NC_002516.2	100124	101158	+	1035	19	11	4	28	14	22	13	10	3	4	2	1
gene-PA0083	NC_002516.2	101247	101765	+	519	12	4	6	8	5	6	5	2	9	5	3	3
gene-PA0084	NC_002516.2	101778	103274	+	1497	29	17	6	25	16	36	14	17	30	29	19	19
gene-PA0085	NC_002516.2	103350	103838	+	489	10	5	2	12	1	8	5	14	8	8	5	4
gene-PA0086	NC_002516.2	104006	104851	+	846	5	6	1	8	4	8	12	5	0	1	0	0
gene-PA0087	NC_002516.2	104853	105362	+	510	11	2	1	5	0	13	5	3	0	0	0	0
gene-PA0088	NC_002516.2	105359	107218	+	1860	9	16	3	23	8	31	22	7	0	0	0	0
gene-PA0089	NC_002516.2	107182	108228	+	1047	14	10	3	16	7	13	11	3	0	0	0	2
gene-PA0090	NC_002516.2	108221	110929	+	2709	31	21	7	34	12	45	32	12	7	9	7	2
gene-PA0091	NC_002516.2	110976	112907	+	1932	37	19	4	17	10	31	14	3	0	1	1	2
gene-PA0092	NC_002516.2	113022	113306	-	285	5	1	0	5	5	5	5	0	0	0	1	1
gene-PA0093	NC_002516.2	113303	114595	-	1293	24	13	1	22	9	27	16	5	0	0	2	2
gene-PA0094	NC_002516.2	114611	115045	-	435	11	3	4	8	12	12	8	8	1	2	1	1
gene-PA0095	NC_002516.2	115299	117524	+	2226	32	14	6	37	17	36	24	8	11	7	4	4
gene-PA0096	NC_002516.2	117552	118001	+	450	6	1	0	13	6	4	5	1	1	0	1	0
gene-PA0097	NC_002516.2	117931	119130	+	1200	9	5	2	12	5	10	6	3	1	0	0	0
gene-PA0098	NC_002516.2	119127	120164	+	1038	5	2	0	5	3	12	5	1	0	0	0	0
gene-PA0099	NC_002516.2	120164	121324	+	1161	12	11	3	15	17	15	7	2	1	2	0	0
gene-PA0100	NC_002516.2	121346	122266	+	921	17	5	2	16	6	17	9	5	4	7	2	3
gene-PA0101	NC_002516.2	122248	123495	+	1248	10	10	1	7	10	21	1	5	1	2	2	2
gene-PA0102	NC_002516.2	123871	124599	+	729	32	10	4	29	32	8	11	5	11	7	9	10
gene-PA0103	NC_002516.2	124810	126381	+	1572	8	13	3	19	14	19	14	4	0	0	0	0
gene-PA0103a	NC_002516.2	126368	127006	-	639	12	10	1	11	6	14	3	6	1	1	1	2
gene-PA0105	NC_002516.2	127378	128502	+	1125	12	11	3	16	9	24	15	3	0	0	0	0
gene-PA0106	NC_002516.2	128512	130104	+	1593	23	21	2	24	10	31	21	8	1	1	1	2
gene-PA0107	NC_002516.2	130115	130669	+	555	3	9	2	15	2	9	10	2	0	0	0	0
gene-PA0108	NC_002516.2	130680	131567	+	888	20	8	1	21	5	10	10	6	0	0	0	0
gene-PA0109	NC_002516.2	131583	131792	-	210	5	1	2	2	0	5	4	0	0	0	0	0
gene-PA0110	NC_002516.2	131808	132602	+	795	7	3	2	9	4	3	8	4	0	0	0	0
gene-PA0111	NC_002516.2	132577	133155	+	579	3	1	0	4	2	6	2	1	1	0	1	0
gene-PA0112	NC_002516.2	133220	134293	+	1074	7	10	1	13	3	16	7	4	0	0	3	2
gene-PA0113	NC_002516.2	134319	135233	+	915	12	4	2	13	3	18	11	4	0	0	2	2
gene-PA0114	NC_002516.2	135259	135894	+	636	14	10	2	13	12	11	18	7	4	1	0	2
gene-PA0115	NC_002516.2	135934	136386	-	453	8	6	0	16	11	6	6	6	0	1	0	0
gene-PA0116	NC_002516.2	136518	136991	+	474	8	2	1	11	16	4	2	3	0	1	1	1
gene-PA0117	NC_002516.2	137248	137976	+	729	17	7	1	13	7	18	10	2	1	1	2	2
gene-PA0118	NC_002516.2	138001	138588	+	588	13	4	1	7	6	9	6	4	2	1	3	1
gene-PA0119	NC_002516.2	138818	140167	+	1350	14	15	0	17	9	20	10	6	5	6	30	34
gene-PA0120	NC_002516.2	140216	140902	+	687	5	6	0	15	6	9	5	5	0	0	0	0
gene-PA0121	NC_002516.2	141003	141737	+	735	10	6	0	6	3	11	8	4	0	0	0	0
gene-PA0122	NC_002516.2	141917	142327	+	411	12	7	2	11	7	14	6	3	1	3	2	2
gene-PA0123	NC_002516.2	142359	143267	-	909	10	4	1	14	8	20	5	4	1	0	0	0
gene-PA0124	NC_002516.2	143567	143848	-	282	4	3	4	9	3	8	1	3	1	1	0	0
gene-PA0125	NC_002516.2	143845	144072	-	228	5	1	1	10	8	4	3	1	0	0	0	0
gene-PA0126	NC_002516.2	144248	144868	-	621	14	9	4	12	6	12	7	4	1	1	2	2
gene-PA0127	NC_002516.2	144969	145469	+	501	5	7	0	3	2	7	6	3	0	0	1	1
gene-PA0128	NC_002516.2	145542	145883	+	342	17	6	4	16	14	13	7	3	6	4	7	8
gene-PA0129	NC_002516.2	145965	147392	-	1428	15	11	2	20	6	18	21	6	0	0	1	1
gene-PA0130	NC_002516.2	147561	149054	-	1494	27	13	4	18	10	27	12	4	1	2	2	0
gene-PA0131	NC_002516.2	149138	149425	-	288	0	0	0	6	1	4	2	2	0	0	0	0
gene-PA0132	NC_002516.2	149425	150771	-	1347	19	14	1	24	12	17	13	7	0	0	0	1
gene-PA0133	NC_002516.2	150906	151823	+	918	13	3	4	12	6	11	10	4	0	0	0	1
gene-PA0134	NC_002516.2	151936	153306	-	1371	16	19	5	18	4	16	16	3	2	0	2	1
gene-PA0135	NC_002516.2	153696	153836	+	141	0	1	0	1	0	2	1	0	0	0	0	0
gene-PA0136	NC_002516.2	154417	155988	+	1572	11	15	1	19	6	15	23	5	1	12	29	4
gene-PA0137	NC_002516.2	155988	157085	+	1098	11	12	3	12	3	14	10	2	0	0	0	0
gene-PA0138	NC_002516.2	157108	158034	+	927	6	6	0	12	2	9	6	2	0	1	1	0
gene-PA0139	NC_002516.2	158199	158762	+	564	34	18	11	68	45	22	27	23	62	62	48	57
gene-PA0140	NC_002516.2	158907	160472	+	1566	23	8	5	31	16	26	14	3	1	1	2	1
gene-PA0141	NC_002516.2	160552	161448	-	897	14	11	0	17	8	9	12	7	1	3	0	1
gene-PA0142	NC_002516.2	161906	163255	+	1350	14	16	4	13	9	14	12	11	2	2	1	1
gene-PA0143	NC_002516.2	163363	164415	+	1053	8	14	2	15	6	13	12	4	0	0	0	1
gene-PA0144	NC_002516.2	164443	165069	-	627	7	3	0	11	7	6	1	0	0	0	0	0
gene-PA0145	NC_002516.2	165219	165737	-	519	6	2	0	12	3	5	4	0	1	0	0	0
gene-PA0146	NC_002516.2	165976	167073	+	1098	13	10	2	18	4	16	7	2	0	0	0	1
gene-PA0147	NC_002516.2	167146	168108	+	963	9	8	2	17	10	15	8	3	0	0	3	1
gene-PA0148	NC_002516.2	168213	169163	+	951	16	14	3	11	12	8	9	5	1	1	4	1
gene-PA0149	NC_002516.2	169361	169906	+	546	10	3	0	10	15	8	4	7	0	0	0	0
gene-PA0150	NC_002516.2	169903	170898	+	996	8	4	4	13	18	15	14	2	0	1	0	0
gene-PA0151	NC_002516.2	171047	173434	+	2388	28	17	2	40	12	22	20	9	0	1	2	3
gene-PA0152	NC_002516.2	173811	174638	+	828	8	8	2	8	7	11	5	7	0	0	0	0
gene-PA0153	NC_002516.2	174773	175492	+	720	18	8	0	11	8	12	8	3	1	1	2	2
gene-PA0154	NC_002516.2	175503	176108	+	606	9	6	0	8	8	5	6	1	0	0	1	0
gene-PA0155	NC_002516.2	176315	177154	+	840	14	9	3	29	13	12	12	4	9	6	7	10
gene-PA0156	NC_002516.2	177307	178458	+	1152	15	4	4	20	20	18	10	6	0	0	1	0
gene-PA0157	NC_002516.2	178455	179525	+	1071	5	7	3	10	4	11	7	3	1	2	5	6
gene-PA0158	NC_002516.2	179522	182569	+	3048	41	20	9	58	35	53	31	20	12	3	9	13
gene-PA0159	NC_002516.2	182768	183706	+	939	13	12	1	13	5	11	8	4	0	0	0	0
gene-PA0160	NC_002516.2	183822	184007	+	186	6	2	2	9	2	2	5	1	0	1	1	0
gene-PA0162	NC_002516.2	184594	185928	+	1335	22	7	4	16	11	11	11	5	0	0	2	2
gene-PA0163	NC_002516.2	185957	186754	-	798	13	4	1	21	4	16	8	4	0	0	0	1
gene-PA0164	NC_002516.2	186832	188448	+	1617	12	8	5	23	10	19	8	2	0	0	0	0
gene-PA0165	NC_002516.2	189120	189956	+	837	21	11	3	33	42	29	12	12	33	30	40	40
gene-PA0166	NC_002516.2	190198	191604	+	1407	11	7	2	26	6	19	8	5	0	1	0	0
gene-PA0167	NC_002516.2	191697	192362	+	666	15	9	2	17	13	12	8	3	1	1	0	0
gene-PA0168	NC_002516.2	192368	192958	+	591	3	3	1	11	5	5	5	3	0	0	0	0
gene-PA0169	NC_002516.2	192965	193672	-	708	12	3	1	10	4	8	4	3	0	0	0	0
gene-PA0170	NC_002516.2	193799	194179	-	381	5	3	0	8	7	4	2	1	0	0	0	0
gene-PA0171	NC_002516.2	194206	194748	-	543	7	4	0	11	4	9	5	2	0	0	0	0
gene-PA0172	NC_002516.2	194757	196748	-	1992	22	13	6	35	20	31	37	19	3	2	1	3
gene-PA0173	NC_002516.2	197011	198060	-	1050	13	8	2	13	2	11	8	0	4	1	4	5
gene-PA0174	NC_002516.2	198080	198682	-	603	9	5	1	6	7	9	5	6	1	0	2	3
gene-PA0175	NC_002516.2	198688	199530	-	843	17	8	1	17	7	14	12	3	0	0	1	0
gene-PA0176	NC_002516.2	199600	201639	-	2040	17	19	4	24	20	19	20	6	0	0	4	7
gene-PA0177	NC_002516.2	201675	202160	-	486	4	4	2	5	3	5	6	4	1	1	0	0
gene-PA0178	NC_002516.2	202147	204066	-	1920	25	14	3	28	9	20	16	10	2	1	1	1
gene-PA0179	NC_002516.2	204094	204459	-	366	10	1	1	4	6	3	7	0	0	1	0	0
gene-PA0180	NC_002516.2	204657	205829	-	1173	14	15	1	25	10	17	12	6	0	1	2	2
gene-PA0181	NC_002516.2	206022	206954	-	933	17	9	0	16	6	12	8	3	0	0	2	0
gene-PA0182	NC_002516.2	207071	207823	+	753	7	5	1	7	4	9	4	1	7	3	7	9
gene-PA0183	NC_002516.2	207923	209533	-	1611	22	14	2	29	12	14	13	6	0	0	0	1
gene-PA0184	NC_002516.2	209621	210460	-	840	15	8	1	12	4	9	9	4	1	0	0	0
gene-PA0185	NC_002516.2	210457	212073	-	1617	26	16	1	15	10	20	6	8	0	0	0	2
gene-PA0186	NC_002516.2	212340	213401	+	1062	4	2	4	13	2	10	4	3	1	0	0	0
gene-PA0187	NC_002516.2	213819	214634	+	816	10	4	2	18	5	8	7	0	0	1	1	0
gene-PA0188	NC_002516.2	214631	215512	+	882	11	8	3	21	7	15	8	3	0	0	0	0
gene-PA0189	NC_002516.2	215550	216908	-	1359	10	8	3	9	12	20	8	1	0	0	5	2
gene-PA0190	NC_002516.2	217156	217881	+	726	10	9	0	12	3	7	7	5	0	0	0	0
gene-PA0191	NC_002516.2	217905	218822	-	918	13	2	2	20	1	11	5	3	1	2	1	2
gene-PA0192	NC_002516.2	219172	221544	+	2373	31	19	5	34	23	52	39	7	1	0	0	1
gene-PA0193	NC_002516.2	221585	222487	+	903	9	4	2	10	4	10	5	7	0	0	0	0
gene-PA0194	NC_002516.2	222555	223454	+	900	11	8	2	15	7	12	4	3	0	0	0	0
gene-PA0195	NC_002516.2	224101	225219	+	1119	14	11	1	16	9	18	10	9	0	0	0	1
gene-PA0195.1	NC_002516.2	225295	225603	+	309	4	2	0	6	1	3	2	1	0	1	1	2
gene-PA0196	NC_002516.2	225603	227039	+	1437	21	17	2	18	9	16	16	13	0	0	1	1
gene-PA0197	NC_002516.2	227382	228194	+	813	13	7	1	11	6	9	5	3	0	0	5	4
gene-PA0198	NC_002516.2	228223	228942	+	720	14	7	2	16	5	10	8	3	0	0	1	0
gene-PA0199	NC_002516.2	228944	229345	+	402	9	2	0	9	3	6	2	3	0	0	0	0
gene-PA0200	NC_002516.2	229526	229738	-	213	8	1	0	5	1	1	4	2	0	0	1	0
gene-PA0201	NC_002516.2	229954	230535	+	582	1	6	2	4	3	4	0	3	0	0	0	1
gene-PA0202	NC_002516.2	230543	232000	-	1458	18	10	2	18	5	20	20	5	0	0	0	0
gene-PA0203	NC_002516.2	232066	233100	-	1035	11	11	1	11	2	16	11	2	0	1	1	2
gene-PA0204	NC_002516.2	233123	233932	-	810	10	12	0	18	7	20	9	4	1	0	1	2
gene-PA0205	NC_002516.2	233929	234849	-	921	14	14	3	20	12	17	11	2	2	2	2	2
gene-PA0206	NC_002516.2	234875	235987	-	1113	12	4	0	14	5	17	7	2	0	0	1	0
gene-PA0207	NC_002516.2	236218	237111	+	894	9	4	0	11	6	14	4	4	0	0	0	0
gene-PA0208	NC_002516.2	237232	238896	+	1665	20	14	4	27	9	27	11	11	0	0	1	0
gene-PA0209	NC_002516.2	238896	239777	+	882	4	2	0	7	5	8	2	1	0	1	0	0
gene-PA0210	NC_002516.2	239779	240078	+	300	2	2	0	4	1	2	3	0	0	0	0	0
gene-PA0211	NC_002516.2	240071	240934	+	864	10	4	0	7	5	7	3	2	0	0	0	0
gene-PA0212	NC_002516.2	240931	241737	+	807	8	7	1	10	6	11	6	3	0	0	0	1
gene-PA0213	NC_002516.2	241753	242445	+	693	6	3	1	7	4	9	5	2	0	0	0	0
gene-PA0214	NC_002516.2	242442	243374	+	933	8	4	0	11	1	10	1	1	0	0	0	0
gene-PA0215	NC_002516.2	243431	243835	+	405	8	1	0	5	1	2	2	1	0	0	0	0
gene-PA0216	NC_002516.2	243841	244605	+	765	15	5	2	17	4	11	10	4	1	0	0	1
gene-PA0217	NC_002516.2	244690	245619	-	930	10	9	1	10	9	8	16	9	1	0	1	1
gene-PA0218	NC_002516.2	245948	246868	-	921	11	10	1	22	9	23	8	6	0	0	0	0
gene-PA0219	NC_002516.2	247219	248709	+	1491	14	8	3	21	4	24	11	1	0	1	0	0
gene-PA0220	NC_002516.2	248767	250200	+	1434	22	18	5	27	11	28	20	8	0	3	7	0
gene-PA0221	NC_002516.2	250231	251613	+	1383	12	12	1	13	12	13	12	4	0	0	0	0
gene-PA0222	NC_002516.2	251777	252835	+	1059	11	12	0	17	9	16	8	2	0	0	0	0
gene-PA0223	NC_002516.2	252913	253794	-	882	14	9	0	10	5	10	10	4	0	0	1	1
gene-PA0224	NC_002516.2	253854	254636	-	783	12	9	6	17	10	18	9	1	1	0	3	2
gene-PA0225	NC_002516.2	254791	255330	+	540	9	3	1	15	9	14	5	5	3	5	7	4
gene-PA0226	NC_002516.2	255481	256332	+	852	6	8	2	14	6	13	9	4	0	0	0	0
gene-PA0227	NC_002516.2	256329	257111	+	783	8	3	2	18	1	5	1	1	4	0	2	10
gene-PA0228	NC_002516.2	257108	258313	+	1206	10	6	3	9	7	15	5	5	0	0	0	0
gene-PA0229	NC_002516.2	258463	259761	+	1299	24	20	4	23	11	26	12	12	1	2	2	1
gene-PA0230	NC_002516.2	259784	261163	+	1380	15	12	1	17	4	17	10	5	1	3	3	1
gene-PA0231	NC_002516.2	261179	261970	+	792	14	3	0	4	3	3	3	1	0	0	2	1
gene-PA0232	NC_002516.2	261981	262382	+	402	2	6	1	8	4	8	7	4	0	0	0	0
gene-PA0233	NC_002516.2	262557	263498	+	942	7	4	4	11	1	14	7	5	0	1	1	1
gene-PA0234	NC_002516.2	263689	264522	+	834	13	12	2	28	7	22	17	2	0	0	2	0
gene-PA0235	NC_002516.2	264964	266310	-	1347	18	17	0	26	9	27	13	7	0	0	0	0
gene-PA0236	NC_002516.2	266616	267395	+	780	8	8	0	16	7	9	12	1	0	0	1	0
gene-PA0237	NC_002516.2	267638	268681	+	1044	8	6	1	23	2	11	9	2	0	0	0	0
gene-PA0238	NC_002516.2	268704	269519	+	816	5	2	1	7	3	4	6	2	0	0	0	0
gene-PA0239	NC_002516.2	269669	270547	+	879	14	11	0	14	15	16	6	4	1	0	0	2
gene-PA0240	NC_002516.2	270573	271838	-	1266	8	16	1	16	11	10	14	4	0	0	1	0
gene-PA0241	NC_002516.2	271904	273229	-	1326	17	13	3	14	8	16	10	3	0	0	0	0
gene-PA0242	NC_002516.2	273775	275679	+	1905	11	14	4	20	10	35	11	8	0	0	0	0
gene-PA0243	NC_002516.2	275772	276440	+	669	8	9	2	14	8	9	10	3	0	0	2	2
gene-PA0244	NC_002516.2	276480	277334	-	855	7	6	0	5	7	13	6	2	0	2	4	1
gene-PA0245	NC_002516.2	277331	277777	-	447	10	8	0	5	2	9	6	1	0	0	1	0
gene-PA0246	NC_002516.2	277894	279399	-	1506	19	11	1	15	10	18	11	9	0	0	0	0
gene-PA0247	NC_002516.2	279574	280758	-	1185	7	9	2	13	5	13	9	4	1	1	1	0
gene-PA0248	NC_002516.2	280936	281802	+	867	11	6	7	13	8	8	6	6	0	0	0	2
gene-PA0249	NC_002516.2	281799	282245	-	447	11	9	0	14	2	5	5	3	0	0	0	0
gene-PA0250	NC_002516.2	282323	282757	-	435	6	6	0	9	6	10	6	5	1	0	1	1
gene-PA0251	NC_002516.2	282912	283553	-	642	9	6	1	7	0	12	3	3	0	0	1	0
gene-PA0252	NC_002516.2	283818	284105	-	288	7	2	0	7	3	10	9	2	0	0	0	0
gene-PA0253	NC_002516.2	284197	284673	-	477	14	3	2	12	15	8	8	7	0	0	3	3
gene-PA0254	NC_002516.2	284714	286204	-	1491	17	13	4	24	6	31	8	6	0	0	2	4
gene-PA0255	NC_002516.2	286338	287024	-	687	15	5	1	10	8	14	5	4	0	0	0	0
gene-PA0256	NC_002516.2	287188	288120	-	933	21	14	5	17	5	9	6	10	0	1	1	2
gene-PA0257	NC_002516.2	288384	289175	-	792	6	6	0	13	8	14	6	5	12	10	901	16
gene-PA0258	NC_002516.2	289205	289390	-	186	7	2	0	4	4	6	1	1	4	7	12	13
